name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalRevenue,"16,071,700,000","4,951,700,000","3,452,800,000","5,138,500,000","2,528,700,000","2,422,900,000","2,294,000,000","1,952,000,000","1,828,200,000","2,169,500,000","2,048,400,000","1,933,700,000","1,711,800,000","1,927,797,000","1,663,496,000","1,608,022,000","1,511,485,000","1,582,447,000","1,500,673,000","1,470,116,000","1,318,991,000","1,226,827,000","1,220,122,000","1,212,629,000","1,200,849,000","1,098,077,000","1,137,422,000","998,617,000","869,612,000","802,329,000","725,788,000","665,700,000","625,740,000","610,412,000","597,027,000","457,642,000","439,664,000","414,602,000","427,687,000","304,399,000","231,789,000","122,977,000","102,833,000","107,810,000","112,204,000","133,675,000","105,979,000","115,886,000","103,534,000","96,800,000","117,455,000","90,032,000","74,981,000","55,837,000","65,584,000","60,653,000","56,383,000","64,730,000","22,311,000","22,195,000","15,788,000","10,346,000","15,624,000","19,258,000","18,219,000","17,424,000","16,194,000","16,366,000","16,209,000","47,090,000","36,519,000","28,418,000","61,990,000","21,272,000","17,392,000","10,532,000","10,136,000","4,912,000","6,566,000","5,569,000","4,941,000","4,401,000","5,480,000","5,779,000","9,085,000","19,416,000","14,906,000","14,456,000","10,498,000","11,900,000","11,300,000","5,900,000","5,500,000","7,400,000","10,800,000","13,500,000","6,500,000","11,400,000","8,900,000","6,600,000","6,200,000","6,500,000","6,200,000","6,200,000","5,200,000","5,800,000","6,200,000","7,600,000","6,900,000","7,700,000","8,900,000","3,600,000","3,000,000","2,900,000","3,600,000","1,300,000","2,100,000","2,300,000","2,400,000","3,200,000","3,500,000","2,000,000","1,900,000","1,700,000","2,000,000","1,300,000","1,300,000","1,200,000","1,200,000"
	OperatingRevenue,"15,790,500,000","4,865,500,000","3,353,800,000","5,092,500,000","2,478,700,000","2,299,500,000","2,135,400,000","1,740,200,000","1,765,000,000","2,034,300,000","1,945,300,000","1,843,400,000","1,627,000,000","1,825,549,000","1,546,126,000","1,496,998,000","1,425,327,000","1,475,374,000","1,439,167,000","1,356,616,000","1,262,551,000","1,175,170,000","1,193,158,000","1,189,529,000","1,183,468,000","1,023,188,000","1,137,422,000","998,617,000","869,612,000","802,329,000","725,788,000","665,700,000","625,740,000","613,560,000","595,953,000","456,419,000","438,813,000","414,602,000","427,687,000","304,399,000","231,789,000","122,977,000","102,833,000","107,810,000","112,204,000","133,675,000","105,979,000","115,886,000","103,534,000","116,800,000","97,455,000","90,032,000","74,981,000","55,837,000","65,584,000","60,653,000","56,383,000","64,730,000","22,311,000","22,195,000","15,788,000","10,346,000","15,624,000","19,258,000","18,219,000","17,424,000","16,194,000","16,366,000","16,209,000","47,090,000","36,519,000","28,418,000","61,990,000","21,272,000","17,392,000","10,532,000","10,136,000","4,912,000","6,566,000","5,569,000","4,941,000","4,401,000","5,480,000","5,779,000","6,313,000","19,416,000","14,906,000","14,456,000","10,498,000","11,900,000","11,300,000","5,900,000","5,500,000","7,400,000","10,800,000","13,500,000","6,500,000","11,400,000","8,900,000","6,600,000","6,200,000","6,500,000","6,200,000","6,200,000","5,200,000","5,800,000","6,200,000","7,600,000","6,900,000","7,700,000","8,900,000","3,600,000","3,000,000","2,900,000","3,600,000","1,300,000","2,100,000","2,300,000","2,400,000","3,200,000","3,500,000","2,000,000","1,900,000","1,700,000","2,000,000","1,300,000","1,300,000","1,200,000","1,200,000"
CostOfRevenue,"2,437,500,000","982,600,000","453,200,000","693,700,000","308,000,000","353,100,000","274,000,000","275,500,000","217,300,000","223,900,000","226,600,000","152,500,000","179,200,000","117,172,000","110,369,000","91,661,000","114,898,000","105,740,000","104,232,000","102,921,000","84,168,000","74,681,000","44,228,000","69,033,000","111,752,000","110,831,000","109,083,000","88,840,000","83,955,000","59,474,000","55,593,000","46,379,000","43,572,000","48,114,000","38,573,000","39,613,000","29,055,000","30,169,000","20,145,000","21,843,000","12,298,000","2,989,000","450,000","395,000","382,000","599,000","372,000","405,000","717,000","387,000","472,000","435,000","392,000","631,000","292,000",,,,,,,"430,000","3,054,000","2,810,000","1,852,000","2,145,000","3,246,000","1,675,000","2,491,000","3,474,000","8,986,000","529,000","2,225,000","907,000","4,844,000","259,000","666,000","1,726,000","1,637,000","1,861,000","1,259,000","1,162,000","1,274,000","1,885,000","2,188,000","8,738,000","2,512,000","1,265,000","3,051,000","100,000","1,000,000","1,200,000","1,300,000","1,600,000","1,300,000","1,200,000","900,000","900,000","800,000","500,000","500,000",,,,,,,,,,,,,,"10,600,000",,,,,,,"5,000,000","2,400,000","2,900,000",,,,,
GrossProfit,"13,634,200,000","3,969,100,000","2,999,600,000","4,444,800,000","2,220,700,000","2,069,800,000","2,020,000,000","1,676,500,000","1,610,900,000","1,945,600,000","1,821,800,000","1,781,200,000","1,532,600,000","1,810,625,000","1,553,127,000","1,516,361,000","1,396,587,000","1,476,707,000","1,396,441,000","1,367,195,000","1,234,823,000","1,152,146,000","1,175,894,000","1,143,596,000","1,089,097,000","987,246,000","1,028,339,000","909,777,000","785,657,000","742,855,000","670,195,000","619,321,000","582,168,000","562,298,000","558,454,000","418,029,000","410,609,000","384,433,000","407,542,000","282,556,000","219,491,000","119,988,000","102,383,000","107,415,000","111,822,000","133,076,000","105,607,000","115,481,000","102,817,000","96,413,000","116,983,000","89,597,000","74,589,000","55,206,000","65,292,000",,,,,,,"9,916,000","12,570,000","16,448,000","16,367,000","15,279,000","12,948,000","14,691,000","13,718,000","43,616,000","27,533,000","27,889,000","59,765,000","20,365,000","12,548,000","10,273,000","9,470,000","3,186,000","4,929,000","3,708,000","3,682,000","3,239,000","4,206,000","3,894,000","6,897,000","10,678,000","12,394,000","13,191,000","7,447,000","11,800,000","10,300,000","4,700,000","4,200,000","5,800,000","9,500,000","12,300,000","5,600,000","10,500,000","8,100,000","6,100,000","5,700,000",,,,,,,,,,,,,,"-7,000,000",,,,,,,"-3,000,000","-500,000","-1,200,000",,,,,
OperatingExpense,"4,687,400,000","1,329,400,000","1,152,400,000","1,097,600,000","1,108,000,000","902,800,000","966,900,000","1,020,100,000","910,800,000","1,269,900,000","1,083,300,000","1,465,600,000","1,052,600,000","1,092,567,000","926,204,000","894,173,000","829,356,000","937,896,000","836,515,000","816,883,000","804,281,000","805,143,000","813,092,000","851,968,000","759,789,000","756,164,000","635,917,000","564,918,000","502,104,000","495,488,000","487,476,000","396,915,000","396,229,000","350,225,000","321,652,000","259,926,000","257,559,000","238,763,000","205,178,000","195,078,000","197,290,000","165,390,000","160,840,000","167,734,000","152,803,000","145,853,000","137,701,000","139,205,000","131,476,000","135,821,000","118,274,000","105,863,000","93,820,000","89,805,000","85,223,000","80,042,000","72,294,000","76,264,000","60,978,000","52,799,000","49,437,000","43,402,000","40,827,000","40,697,000","38,030,000","-204,036,000","47,335,000","46,858,000","42,058,000","39,642,000","37,012,000","40,532,000","35,971,000","37,504,000","38,251,000","37,205,000","37,849,000","37,820,000","37,105,000","33,658,000","28,875,000","32,832,000","27,500,000","21,979,000","18,836,000","20,188,000","16,976,000","17,166,000","15,927,000","12,500,000","15,400,000","13,100,000","13,500,000","12,000,000","11,900,000","11,600,000","10,500,000","9,300,000","9,200,000","9,800,000","9,800,000","9,900,000","10,600,000","9,900,000","9,900,000","8,500,000","8,600,000","8,900,000","9,000,000","12,800,000","12,600,000","13,600,000","13,400,000","42,600,000","2,300,000","11,100,000","11,300,000","8,400,000","8,000,000","6,700,000","6,700,000","700,000","2,000,000","800,000",,,,,
	SellingGeneralAndAdministration,"1,824,900,000","559,600,000","445,000,000","414,700,000","405,600,000","303,500,000","326,900,000","348,300,000","367,300,000","586,800,000","419,900,000","417,300,000","410,800,000","491,314,000","369,232,000","364,884,000","330,770,000","409,913,000","306,766,000","306,908,000","296,846,000","325,937,000","270,045,000","292,038,000","289,677,000","294,954,000","209,993,000","174,588,000","158,991,000","143,743,000","149,748,000","102,414,000","108,850,000","82,085,000","97,607,000","72,463,000","77,260,000","57,739,000","46,883,000","47,705,000","58,428,000","36,349,000","32,916,000","24,585,000","23,411,000","20,641,000","15,658,000","14,679,000","14,005,000","17,031,000","12,840,000","11,632,000","11,674,000","13,491,000","11,368,000","13,465,000","11,024,000","11,439,000","9,289,000","8,935,000","8,202,000","7,628,000","6,019,000","6,299,000","5,946,000","6,895,000","6,219,000","6,216,000","6,146,000","4,853,000","4,184,000","4,235,000","3,790,000","4,237,000","3,601,000","3,488,000","3,459,000","3,365,000","2,811,000","2,956,000","3,400,000","2,732,000","2,461,000","2,383,000","2,031,000","3,106,000","1,737,000","1,711,000","3,026,000","1,700,000","1,600,000","1,500,000","1,600,000","1,400,000","1,300,000","1,700,000","1,400,000","1,200,000","1,400,000","1,700,000","1,500,000","1,400,000","1,400,000","1,600,000","1,500,000","1,200,000","1,400,000","1,600,000","1,600,000","2,500,000","2,000,000","2,300,000","1,700,000","41,700,000","1,600,000","10,400,000","10,600,000","7,800,000","7,500,000","6,200,000","6,300,000","400,000","1,800,000","600,000",,,,,
	ResearchAndDevelopment,"2,908,100,000","785,600,000","665,400,000","714,200,000","742,900,000","744,500,000","684,600,000","722,000,000","583,900,000","683,100,000","663,400,000","1,048,300,000","641,800,000","601,253,000","556,972,000","529,289,000","498,586,000","527,983,000","529,749,000","509,975,000","507,435,000","479,206,000","543,047,000","559,930,000","470,112,000","461,210,000","425,924,000","390,330,000","343,113,000","351,745,000","337,728,000","294,501,000","287,379,000","268,140,000","224,045,000","187,463,000","180,299,000","181,024,000","158,295,000","147,373,000","138,862,000","129,041,000","127,924,000","143,149,000","129,392,000","125,212,000","122,043,000","124,526,000","117,471,000","118,790,000","105,434,000","94,231,000","82,146,000","76,314,000","73,855,000","66,577,000","61,270,000","64,825,000","51,689,000","43,864,000","41,235,000","35,774,000","34,808,000","34,398,000","32,084,000","37,911,000","41,116,000","40,642,000","35,912,000","34,789,000","32,828,000","36,297,000","32,181,000","33,267,000","34,650,000","33,717,000","34,390,000","34,455,000","34,294,000","30,702,000","25,475,000","30,100,000","25,039,000","19,596,000","16,805,000","15,786,000","14,085,000","14,410,000","11,975,000","9,900,000","12,900,000","10,800,000","11,200,000","9,900,000","9,900,000","9,100,000","8,200,000","7,000,000","6,800,000","6,900,000","7,100,000","6,900,000","7,700,000","6,800,000","6,900,000","6,000,000","5,700,000","5,800,000","5,800,000","9,100,000","9,500,000","10,300,000","10,800,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,296,000","1,154,000","1,045,000","926,000","900,000","900,000","800,000","700,000","700,000","700,000","800,000","900,000","1,100,000","1,000,000","1,200,000","1,200,000","1,600,000","1,500,000","1,500,000","1,500,000","1,300,000","1,500,000","1,500,000","1,600,000","1,200,000","1,100,000","1,000,000","900,000","900,000","700,000","700,000","700,000","600,000","500,000","500,000","400,000","300,000","200,000","200,000",,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,296,000","1,154,000","1,045,000","926,000","900,000","900,000","800,000","700,000","700,000","700,000","800,000","900,000","1,100,000","1,000,000","1,200,000","1,200,000","1,600,000","1,500,000","1,500,000","1,500,000","1,300,000","1,500,000","1,500,000","1,600,000","1,200,000","1,100,000","1,000,000","900,000","900,000","700,000","700,000","700,000","600,000","500,000","500,000","400,000","300,000","200,000","200,000",,,,,
	OtherOperatingExpenses,"-45,600,000","-15,800,000","42,000,000","-31,300,000","-40,500,000","-145,200,000","-44,600,000","-50,200,000","-40,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
