name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"1,166,161,000","296,924,000","307,375,000","287,159,000","274,703,000","258,460,000","242,944,000","231,113,000","283,658,000","288,732,000","282,276,000","275,872,000","286,257,000","284,560,000","278,310,000","281,412,000","276,693,000","264,750,000","262,141,000","261,305,000","196,131,000","159,561,000","152,768,000","152,412,000","149,628,000","146,167,000","142,068,000","141,129,000","140,399,000","136,165,000","133,559,000","134,892,000","133,280,000","120,534,000","122,110,000","125,842,000","126,088,000","120,402,000","120,013,000","129,767,000","127,389,000","120,727,000","125,747,000","128,382,000","127,114,000","120,067,000","120,793,000","121,251,000","124,368,000","118,135,000","133,742,000","116,461,000","119,658,000","131,090,000","122,798,000","123,381,000","119,648,000","119,346,000","116,980,000","108,760,000","106,715,000","104,144,000","105,632,000","108,825,000","104,069,000","92,179,000","93,626,000","111,484,000","101,688,000","106,102,000","98,991,000","95,935,000","95,810,000","73,033,569","106,643,598","101,468,403","97,495,849","91,175,801","104,232,480","95,331,948","94,591,055","102,569,982","97,717,376","95,270,408","92,991,743","101,480,171","92,638,418","86,263,174","81,201,655","90,086,931","79,800,000","80,300,000","51,900,000","28,896,001","37,100,000","35,900,000","41,200,000","27,986,897","27,100,000","24,900,000","17,900,000","12,947,567","12,200,000","11,200,000","10,600,000","9,700,000","8,700,000","8,200,000","8,000,000","7,900,000","7,600,000","7,100,000","6,000,000"
	OperatingRevenue,"1,151,256,000","296,255,000","293,742,000","286,612,000","274,647,000","257,572,000","242,765,000","230,625,000","283,269,000","287,316,000","281,613,000","275,872,000","285,584,000","214,866,000","211,626,000","216,551,000","211,421,000","203,384,000","202,587,000","204,049,000","150,852,000","122,844,000","118,236,000","116,538,000","116,141,000","115,077,000","111,343,000","108,698,000","109,351,000","106,691,000","104,772,000","104,576,000","102,239,000","94,957,000","96,287,000","96,650,000","99,035,000","12,670,000","120,013,000","129,767,000","127,389,000","120,727,000","125,747,000","128,382,000","127,114,000","120,067,000","120,793,000","121,251,000","124,368,000","118,135,000","133,742,000","116,461,000","119,658,000","131,090,000","122,798,000","123,381,000","119,648,000","119,346,000","116,980,000","113,800,000","106,715,000","104,144,000","105,632,000","108,825,000","104,069,000","111,149,000","98,003,000","115,625,000","3,318,000","5,369,000","1,917,000","100,482,000","99,793,000","-299,781,995","106,978,810","101,853,603","97,495,849","92,671,274","105,064,839","98,318,002","95,432,693","103,843,355","99,455,213","97,588,405","95,037,702","107,971,381","93,799,343","87,082,732","82,044,655","92,000,000","79,800,000","80,300,000","51,900,000","28,896,001","37,100,000","35,900,000","41,200,000","29,000,000","27,100,000","24,900,000","17,900,000","13,600,000","12,200,000","11,200,000","10,600,000","9,700,000","8,700,000","8,200,000","8,000,000","7,900,000","7,600,000","7,100,000","6,000,000"
CostOfRevenue,"326,682,000","83,674,000","79,247,000","82,013,000","81,748,000","80,713,000","77,283,000","76,825,000","78,256,000","79,790,000","75,296,000","76,265,000","74,793,000","83,870,000","75,686,000","73,392,000","72,941,000","70,189,000","67,335,000","64,976,000","51,213,000","41,953,000","40,431,000","40,478,000","38,555,000","36,872,000","35,805,000","35,852,000","36,303,000","34,138,000","32,981,000","34,396,000","35,304,000","31,492,000","30,593,000","32,186,000","31,807,000","72,802,000","16,389,000","17,806,000","18,594,000","17,520,000","18,101,000","17,861,000","19,575,000","20,709,000","17,147,000","17,221,000","17,649,000","17,923,000","16,578,000","15,547,000","15,920,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"839,479,000","213,250,000","228,128,000","205,146,000","192,955,000","177,747,000","165,661,000","154,288,000","205,402,000","208,942,000","206,980,000","199,607,000","211,464,000","200,690,000","202,624,000","208,020,000","203,752,000","194,561,000","194,806,000","196,329,000","144,918,000","117,608,000","112,337,000","111,934,000","111,073,000","109,295,000","106,263,000","105,277,000","104,096,000","102,027,000","100,578,000","100,496,000","97,976,000","89,042,000","91,517,000","93,656,000","94,281,000","47,600,000","103,624,000","111,961,000","108,795,000","103,207,000","107,646,000","110,521,000","107,539,000","99,358,000","103,646,000","104,030,000","106,719,000","100,212,000","117,164,000","100,914,000","103,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"387,300,000","99,415,000","94,060,000","94,581,000","99,244,000","114,868,000","105,598,000","108,740,000","104,337,000","113,234,000","110,380,000","113,839,000","119,628,000","109,681,000","108,792,000","108,680,000","107,763,000","116,054,000","109,868,000","115,592,000","149,238,000","67,524,000","57,797,000","59,089,000","57,321,000","59,964,000","53,662,000","53,103,000","53,536,000","56,636,000","52,942,000","53,041,000","54,276,000","51,774,000","49,102,000","48,476,000","52,262,000","7,961,000","60,762,000","61,477,000","64,252,000","58,359,000","58,696,000","63,117,000","67,473,000","53,554,000","61,978,000","58,492,000","62,561,000","61,737,000","62,181,000","58,991,000","58,369,000","12,507,000","70,154,000","68,287,000","68,824,000","73,537,000","63,611,000","61,065,000","58,755,000","69,425,000","55,604,000","58,247,000","58,703,000","53,146,000","53,308,000","54,490,000","55,164,000","60,699,000","53,606,000","51,401,000","50,534,000","52,694,406","49,021,589","48,798,917","46,970,855","46,155,293","49,040,524","46,630,432","45,696,604","46,901,688","44,770,023","45,091,967","43,535,530","53,897,795","41,600,387","31,307,953","36,789,625","218,816,340","-31,700,000","-30,000,000","-21,200,000","111,154,342","-14,400,000","-13,300,000","-12,400,000","76,671,216","-10,900,000","-9,500,000","-7,200,000","41,371,601","-5,200,000","-4,800,000","-4,500,000","-4,300,000","-3,800,000","-3,600,000","-3,500,000","-4,000,000","-3,100,000","-2,800,000","-2,500,000"
	SellingGeneralAndAdministration,"78,218,000","19,955,000","17,789,000","19,187,000","21,287,000","20,512,000","19,582,000","21,202,000","13,705,000","18,262,000","16,705,000","18,717,000","21,300,000","13,544,000","17,564,000","16,776,000","17,606,000","18,006,000","15,199,000","16,746,000","17,673,000","16,632,000","16,046,000","16,350,000","16,299,000","19,373,000","14,750,000","15,099,000","16,378,000","16,359,000","14,463,000","15,223,000","14,198,000","13,292,000","15,001,000","14,966,000","17,975,000","15,917,000","15,641,000","14,020,000","16,122,000","12,316,000","11,671,000","15,177,000","16,954,000","13,580,000","17,761,000","12,656,000","13,735,000","16,808,000","12,151,000","9,292,000","15,884,000","12,725,000","9,494,000","13,153,000","14,123,000","13,217,000","12,159,000","12,907,000","12,297,000","13,097,000","10,765,000","10,830,000","10,803,000","10,612,000","9,148,000","9,402,000","8,652,000","9,945,000","7,232,000","7,221,000","5,883,000","7,790,753","6,294,558","6,165,875","4,134,899","7,258,673","6,097,587","5,228,148","3,989,595","7,173,566","4,469,616","4,602,583","4,315,174","6,678,658","4,996,685","3,761,187","4,496,079","5,674,225","4,800,000","5,100,000","3,800,000","4,464,148","3,400,000","3,800,000","3,400,000","2,163,926","2,500,000","3,000,000","2,200,000","2,148,140","1,300,000","1,300,000","1,300,000","1,500,000","1,300,000","1,000,000","1,000,000","800,000","1,300,000","1,300,000","1,200,000"
		GeneralAndAdministrativeExpense,"78,218,000","19,955,000","17,789,000","19,187,000","21,287,000","20,512,000","19,582,000","21,202,000","13,705,000","18,262,000","16,705,000","18,717,000","21,300,000","13,544,000","17,564,000","16,776,000","17,606,000","18,006,000","15,199,000","16,746,000","17,673,000","16,632,000","16,046,000","16,350,000","16,299,000","19,373,000","14,750,000","15,099,000","16,378,000","16,359,000","14,463,000","15,223,000","14,198,000","13,292,000","15,001,000","14,966,000","17,975,000","15,917,000",,,,,,,"16,953,186",,,,,,,,,,,"13,153,000","14,123,000","13,217,000","12,159,000","12,907,000","12,297,000","13,097,000","10,765,000","10,830,000","10,803,000","10,612,000","9,148,000","9,402,000","8,652,000","9,945,000","7,232,000","7,221,000","5,883,000","7,790,753","6,294,558","6,165,875","4,134,899","7,258,673","6,097,587","5,228,148","3,989,595","7,173,566","4,469,616","4,602,583","4,315,174","6,678,658","4,996,685","3,761,187","4,496,079","5,674,225","4,800,000","5,100,000","3,800,000","4,464,148","3,400,000","3,800,000","3,400,000","2,163,926","2,500,000","3,000,000","2,200,000","2,148,140","1,300,000","1,300,000","1,300,000","1,500,000","1,300,000","1,000,000","1,000,000","800,000","1,300,000","1,300,000","1,200,000"
			SalariesAndWages,"12,651,000","3,183,000",,,,"3,284,000",,,,"4,128,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,292,569",,,,,,,,,,,"13,153,000","14,123,000","13,217,000","12,159,000","12,907,000","12,297,000","13,097,000","10,765,000","10,830,000","10,803,000","10,612,000","9,148,000","9,402,000","8,652,000","9,945,000","7,232,000","7,221,000","5,883,000","7,790,753","6,294,558","6,165,875","4,134,899","7,258,673","6,097,587","5,228,148","3,989,595","7,173,566","4,469,616","4,602,583","4,315,174","6,678,658","4,996,685","3,761,187","4,496,079","5,700,000","4,800,000","5,100,000","3,800,000","4,500,000","3,400,000","3,800,000","3,400,000","2,200,000","2,500,000","3,000,000","2,200,000","2,100,000","1,300,000","1,300,000","1,300,000","1,500,000","1,300,000","1,000,000","1,000,000","800,000","1,300,000","1,300,000","1,200,000"
			OtherGandA,"78,218,000","19,955,000","17,789,000","19,187,000","21,287,000","20,512,000","19,582,000","21,202,000","13,705,000","18,262,000","16,705,000","18,717,000","21,300,000","13,544,000","17,564,000","16,776,000","17,606,000","18,006,000","15,199,000","16,746,000","17,673,000","16,632,000","16,046,000","16,350,000","16,299,000","19,373,000","14,750,000","15,099,000","16,378,000","16,359,000","14,463,000","15,223,000","14,198,000","13,292,000","15,001,000","14,966,000","17,975,000","15,917,000",,,,,,,"15,660,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"303,331,000","76,396,000","75,459,000","74,217,000","77,259,000","86,739,000","84,808,000","85,058,000","89,295,000","91,644,000","91,856,000","93,589,000","97,194,000","92,876,000","89,183,000","89,105,000","88,525,000","90,444,000","91,474,000","92,230,000","60,053,000","42,606,000","40,705,000","40,299,000","38,716,000","37,580,000","37,032,000","36,225,000","35,992,000","37,446,000","36,417,000","36,023,000","37,905,000","34,389,000","33,184,000","31,930,000","32,764,000","30,942,000","30,155,000","33,045,000","32,841,000","32,123,000","33,166,000","32,057,000","35,190,000","30,701,000","30,181,000","31,395,000","31,331,000","29,207,000","29,801,000","29,843,000","28,083,000","26,030,000","27,130,000","26,929,000","25,522,000","25,454,000","24,364,000","21,988,000","21,518,000","20,530,000","21,989,000","21,667,000","21,147,000","19,406,000","20,438,000","21,166,000","21,004,000","21,114,000","20,375,000","20,330,000","20,207,000","18,540,508","18,997,852","18,670,025","18,819,364","17,699,161","18,645,739","17,753,379","17,090,842","17,764,237","16,972,770","16,872,664","15,895,916","16,266,494","14,776,780","14,625,223","13,761,765",,,,,,,,,,,,,,,,,,,,,,,,
