name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"11,300,998,000","3,048,129,000","2,786,705,000","2,836,724,000","2,629,440,000","2,670,638,000","2,521,406,000","2,332,769,000","1,960,448,000","2,314,384,000","1,998,762,000","1,970,732,000","1,960,083,000","1,794,697,000","1,944,413,000","1,892,939,000","1,745,157,000","1,867,211,000","1,725,471,000","1,530,611,000","1,484,778,000","1,613,960,000","1,510,456,000","1,427,884,000","1,242,046,000","1,561,952,000","1,375,165,000","1,435,786,000","1,464,986,000","1,518,433,000","1,535,880,000","1,452,460,000","1,283,816,000","1,517,122,000","1,401,498,000","1,354,543,000","1,367,673,000","1,272,650,000","1,218,981,000","1,182,055,000","1,249,124,000","1,285,931,000","1,024,794,000","1,176,791,000","1,206,445,000","1,258,374,000","1,178,090,000","1,099,431,000","1,169,912,000","1,181,456,000","1,156,508,000","1,171,319,000","989,295,000","722,781,000","809,672,000","1,078,360,000","916,766,000","1,108,985,000","1,202,010,000","1,268,738,000","1,202,314,000","1,172,994,000","1,113,889,000","1,052,728,000","1,177,689,000","1,068,628,000","1,102,248,000","1,249,556,000","1,134,667,000","1,362,212,000","1,263,594,000","1,264,117,000","1,118,762,000","1,212,990,000","1,119,941,000","952,647,000","821,165,000","806,301,000","623,002,000","554,354,000","573,980,000","480,728,000","424,091,000","486,644,000","410,082,000","1,894,213,000","370,603,000","351,648,000","339,843,000","1,664,810,000","341,400,000","330,700,000","294,100,000","354,500,000","327,400,000","330,400,000","302,900,000","360,900,000","331,700,000","319,100,000","287,500,000","353,200,000","288,300,000","269,400,000","258,500,000"
	OperatingRevenue,"11,300,998,000","3,048,129,000","2,786,705,000","2,836,724,000","2,629,440,000","2,670,638,000","2,521,406,000","2,332,769,000","1,960,448,000","2,314,384,000","1,998,762,000","1,970,732,000","1,960,083,000","1,794,697,000","1,944,413,000","1,892,939,000","1,745,157,000","1,867,211,000","1,725,471,000","1,530,611,000","1,484,778,000","1,613,960,000","1,510,456,000","1,427,884,000","1,242,046,000","1,561,952,000","1,375,165,000","1,435,786,000","1,464,986,000","1,518,433,000","1,535,880,000","1,452,460,000","1,283,816,000","1,517,122,000","1,401,498,000","1,354,543,000","1,367,673,000","1,272,650,000","1,218,981,000","1,182,055,000","1,249,124,000","1,285,931,000","1,024,794,000","1,176,791,000","1,206,445,000","1,258,374,000","1,178,090,000","1,099,431,000","1,169,912,000","1,181,456,000","1,156,508,000","1,171,319,000","989,295,000","722,781,000","809,672,000","1,078,360,000","916,766,000","1,108,985,000","1,202,010,000","1,268,738,000","1,202,314,000","1,172,994,000","1,113,889,000","1,052,728,000","1,177,689,000","1,068,628,000","1,102,248,000","1,249,556,000","1,134,667,000","1,362,212,000","1,263,594,000","1,264,117,000","1,118,762,000","1,212,990,000","1,119,941,000","952,647,000","821,165,000","806,301,000","623,002,000","554,354,000","573,980,000","480,728,000","424,091,000","486,644,000","410,082,000","1,894,213,000","370,603,000","351,648,000","339,843,000","1,664,810,000","341,400,000","330,700,000","294,100,000","354,500,000","327,400,000","330,400,000","302,900,000","360,900,000","331,700,000","319,100,000","287,500,000","353,200,000","288,300,000","269,400,000","258,500,000"
NetNonOperatingInterestIncomeExpense,"-70,149,000","-23,364,000","-15,539,000","-15,607,000","-15,639,000","-14,846,000","-6,641,000","-7,253,000","-7,583,000","-7,721,000","-7,907,000","-8,434,000","-7,631,000","-7,984,000","-7,901,000","-7,728,000","-7,418,000","-7,314,000","-7,266,000","-8,059,000","-8,964,000","-9,034,000","-8,893,000","-9,073,000","-9,228,000","-9,185,000","-8,990,000","-9,026,000","-8,990,000","-9,563,000","-12,424,000","-8,978,000","-7,568,000","-7,638,000","-7,637,000","-17,362,000","-13,481,000","-13,930,000","-13,331,000","-13,244,000","-13,178,000","-13,120,000","-13,085,000","-13,116,000","-12,998,000","-13,034,000","-13,138,000","-13,016,000","-16,642,000","-17,447,000","-17,376,000","-17,116,000","-20,142,000","-19,795,000","-19,795,000","-19,794,000","-19,787,000","-21,485,000","-23,754,000","-21,479,000","-17,151,000","-17,151,000","-17,150,000","-17,149,000","-17,148,000","-17,148,000","-17,147,000","-17,169,000","-21,707,000","-22,303,000","-19,439,000","-19,318,000","-14,479,000","-10,061,000","-10,060,000","-10,081,000","-10,091,000","-10,503,000","-10,696,000","-10,581,000","-10,637,000","-10,738,000","-11,300,000","-11,545,000","-12,421,000","-12,762,000","-11,931,000","-11,610,000","-3,083,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"70,149,000","23,364,000","15,539,000","15,607,000","15,639,000","14,846,000","6,641,000","7,253,000","7,583,000","7,721,000","7,907,000","8,434,000","7,631,000","7,984,000","7,901,000","7,728,000","7,418,000","7,314,000","7,266,000","8,059,000","8,964,000","9,034,000","8,893,000","9,073,000","9,228,000","9,185,000","8,990,000","9,026,000","8,990,000","9,563,000","12,424,000","8,978,000","7,568,000","7,638,000","7,637,000","17,362,000","13,481,000","13,930,000","13,331,000","13,244,000","13,178,000","13,120,000","13,085,000","13,116,000","12,998,000","13,034,000","13,138,000","13,016,000","16,642,000","17,447,000","17,376,000","17,116,000","20,142,000","19,795,000","19,795,000","19,794,000","19,787,000","21,485,000","23,754,000","21,479,000","17,151,000","17,151,000","17,150,000","17,149,000","17,148,000","17,148,000","17,147,000","17,169,000","21,707,000","22,303,000","19,439,000","19,318,000","14,479,000","10,061,000","10,060,000","10,081,000","10,091,000","10,503,000","10,696,000","10,581,000","10,637,000","10,738,000","11,300,000","11,545,000","12,421,000","12,762,000","11,931,000","11,610,000","3,083,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"36,987,000","-7,203,000","-19,517,000","7,114,000","56,593,000","-41,867,000","57,481,000","-32,490,000","23,363,000","41,516,000","-31,025,000","-7,977,000","-9,053,000","-18,702,000","-5,458,000","3,036,000","12,064,000","23,704,000","-54,568,000","388,000","-4,966,000","10,362,000","9,435,000","-28,367,000","-2,066,000","874,000","17,413,000","-3,925,000","46,073,000","24,272,000","11,332,000","-13,871,000","-3,296,000","-2,169,000","-2,726,000","8,295,000","-8,887,000","-12,357,000","-5,943,000","27,812,000","-6,194,000","8,655,000","-14,911,000","-13,446,000","-3,387,000","21,878,000","1,714,000","7,798,000","5,339,000","-6,011,000","-15,322,000","23,740,000","-24,883,000","-26,437,000","6,700,000","-8,086,000","-8,956,000","3,452,000","13,574,000","-2,049,000","897,000","-586,000","-575,000","3,591,000","-2,728,000","-4,407,000","-2,392,000","-7,701,000","-6,611,000","4,217,000","-10,177,000","6,333,000","-2,292,000","8,453,000","3,360,000","-3,148,000","-3,847,000","1,441,000","-11,330,000","-7,798,000","1,087,000","-5,459,000","-1,879,000","567,000","398,000","1,478,779,000","605,000","-370,000","810,000","1,135,360,000","55,900,000","55,300,000","60,000,000","57,800,000","62,200,000","65,700,000","61,600,000","60,600,000","60,200,000","71,600,000","57,100,000","54,000,000","43,000,000","50,600,000","48,200,000"
PretaxIncome,"1,545,621,000","500,064,000","-87,719,000","760,181,000","373,095,000","119,396,000","272,508,000","237,067,000","-43,622,000","219,078,000","93,020,000","382,593,000","408,791,000","-702,298,000","197,421,000","60,763,000","217,643,000","695,305,000","-904,067,000","275,533,000","338,413,000","415,591,000","320,887,000","186,299,000","177,067,000","455,527,000","101,439,000","271,306,000","380,237,000","406,967,000","322,109,000","361,785,000","355,254,000","452,118,000","310,554,000","322,455,000","469,839,000","38,098,000","319,205,000","239,402,000","342,821,000","-42,490,000","9,388,000","140,825,000","-341,670,000","236,227,000","204,438,000","160,340,000","-9,767,000","219,688,000","273,691,000","312,867,000","133,075,000","-55,057,000","-282,171,000","169,383,000","84,238,000","5,685,000","311,486,000","353,417,000","357,368,000","245,783,000","299,655,000","251,562,000","194,750,000","-238,849,000","-470,736,000","235,036,000","193,628,000","79,534,000","7,768,000","326,031,000","146,378,000","143,302,000","112,025,000","125,073,000","110,813,000","57,820,000","74,969,000","53,552,000","75,703,000","40,050,000","-78,717,000","69,878,000","59,132,000","61,618,000","60,030,000","47,069,000","63,037,000","196,582,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
TaxProvision,"166,538,000","69,357,000","-14,251,000","80,199,000","31,233,000","55,794,000","29,451,000","46,187,000","-60,234,000","1,434,000","-11,378,000","39,738,000","59,891,000","-320,024,000","-8,192,000","-9,132,000","7,325,000","124,280,000","-264,693,000","29,859,000","46,770,000","42,019,000","25,493,000","30,607,000","5,381,000","63,153,000","-6,133,000","35,834,000","41,167,000","49,704,000","20,856,000","63,860,000","53,232,000","85,370,000","72,027,000","46,813,000","85,496,000","-20,679,000","68,283,000","24,851,000","38,117,000","-83,532,000","-53,666,000","9,513,000","-25,776,000","-66,306,000","30,238,000","3,667,000","12,885,000","22,461,000","45,073,000","40,279,000","24,519,000","-38,466,000","-49,044,000","16,356,000","6,305,000","-6,553,000","64,899,000","70,549,000","59,786,000","39,432,000","53,977,000","31,159,000","26,354,000","-76,652,000","-52,991,000","40,856,000","26,533,000","-13,793,000","-3,695,000","62,064,000","20,277,000","21,522,000","11,699,000","15,518,000","16,446,000","2,255,000","13,699,000","145,000","14,642,000","4,688,000","-34,952,000","12,587,000","9,002,000","10,212,000","12,343,000","8,340,000","14,479,000","10,121,000","8,800,000","8,800,000","10,800,000","10,300,000","11,500,000","13,500,000","12,200,000","12,200,000","12,400,000","16,300,000","11,500,000","9,100,000","6,100,000","9,300,000","7,200,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,000,000","46,900,000","52,000,000","50,000,000","53,600,000","57,000,000","52,000,000","50,000,000","50,800,000","60,600,000","46,000,000","41,400,000","29,300,000","38,000,000","35,000,000"
NetIncomeCommonStockholders,"1,360,887,000","425,139,000","-73,468,000","670,656,000","337,446,000","62,893,000","240,138,000","188,381,000","16,406,000","215,006,000","103,273,000","339,018,000","345,237,000","-378,206,000","203,537,000","69,183,000","208,107,000","566,191,000","-639,374,000","243,068,000","288,507,000","369,618,000","292,233,000","154,050,000","169,907,000","353,604,000","87,657,000","206,835,000","319,571,000","336,604,000","272,038,000","287,117,000","291,108,000","361,234,000","232,609,000","273,086,000","381,241,000","52,116,000","250,922,000","214,551,000","304,704,000","41,042,000","63,054,000","131,312,000","-315,894,000","302,533,000","174,200,000","156,673,000","-22,652,000","197,227,000","228,618,000","272,588,000","108,556,000","-16,591,000","-233,127,000","153,027,000","77,933,000","12,238,000","246,587,000","282,868,000","297,582,000","206,351,000","245,678,000","220,403,000","168,396,000","-162,197,000","-417,745,000","194,180,000","167,095,000","93,327,000","11,463,000","263,967,000","126,101,000","121,780,000","100,326,000","109,555,000","94,367,000","55,565,000","61,270,000","53,407,000","61,061,000","35,362,000","-43,765,000","57,291,000","50,130,000","51,406,000","47,687,000","38,729,000","48,558,000","39,561,000","39,200,000","38,100,000","41,200,000","39,700,000","42,100,000","43,500,000","39,800,000","37,800,000","38,400,000","44,300,000","34,500,000","32,300,000","23,200,000","28,700,000","27,800,000"
	NetIncome,"1,379,083,000","430,707,000","-73,468,000","679,982,000","341,862,000","63,602,000","243,057,000","190,880,000","16,612,000","217,644,000","104,398,000","342,855,000","348,900,000","-382,274,000","205,613,000","69,895,000","210,318,000","571,025,000","-639,374,000","245,674,000","291,643,000","373,572,000","295,394,000","155,692,000","171,686,000","357,281,000","88,553,000","209,057,000","322,978,000","340,123,000","274,916,000","290,184,000","293,933,000","364,638,000","234,759,000","275,642,000","384,343,000","58,777,000","250,922,000","214,551,000","304,704,000","41,042,000","63,054,000","131,312,000","-315,894,000","302,533,000","174,200,000","156,673,000","-22,652,000","197,227,000","228,618,000","272,588,000","108,556,000","-16,591,000","-233,127,000","153,027,000","77,933,000","12,238,000","246,587,000","282,868,000","297,582,000","206,351,000","245,678,000","220,403,000","168,396,000","-162,197,000","-417,745,000","194,180,000","167,095,000","93,327,000","11,463,000","263,967,000","126,101,000","121,780,000","100,326,000","109,555,000","94,367,000","55,565,000","61,270,000","53,407,000","61,061,000","35,362,000","-43,765,000","57,291,000","50,130,000","51,406,000","47,687,000","38,729,000","48,558,000","39,561,000","39,200,000","38,100,000","41,200,000","39,700,000","42,100,000","43,500,000","39,800,000","37,800,000","38,400,000","44,300,000","34,500,000","32,300,000","23,200,000","28,700,000","27,800,000"
