name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"6,353,000,000","1,619,000,000","1,592,000,000","1,556,000,000","1,593,000,000","1,666,000,000","1,614,000,000","1,516,000,000","1,425,000,000","1,470,000,000","1,479,000,000","1,450,000,000","1,470,000,000","1,506,000,000","1,457,000,000","1,451,000,000","1,432,000,000","1,449,000,000","1,410,000,000","1,412,000,000","1,377,000,000","1,381,000,000","1,445,000,000","1,380,000,000","1,387,000,000","1,396,000,000","1,265,000,000","1,389,000,000","1,258,000,000","1,195,000,000","1,292,000,000","1,273,000,000","1,252,000,000","1,222,000,000","1,316,000,000","1,297,000,000","1,284,000,000","1,141,000,000","1,350,000,000","1,345,000,000","1,351,000,000","485,000,000","1,603,000,000","1,645,000,000","1,706,000,000","1,694,000,000","1,618,000,000","1,612,000,000","1,643,000,000","1,363,000,000","1,617,000,000","2,030,000,000","1,875,000,000","1,534,122,000","1,640,859,000","1,722,928,000","1,925,783,000","1,785,743,000","1,808,925,000","1,802,136,000","1,865,950,000","1,697,685,000","1,243,648,000","1,253,246,000","1,212,844,000","1,148,698,000","1,167,735,000","1,206,137,000","1,099,373,000","1,080,682,000","1,214,003,000","728,222,000","744,481,000","710,887,000","716,551,000","744,425,000","701,492,000","735,455,000","706,826,000","665,791,000","648,394,000","677,550,000","613,746,000","620,178,000","495,904,000","493,892,000","488,866,000","486,341,000","520,908,000","499,500,000","493,700,000","493,700,000","497,100,000","471,200,000","440,100,000","326,800,000","322,700,000","283,100,000","278,700,000","267,400,000","250,800,000","237,600,000","232,000,000","232,000,000","219,600,000","169,400,000","167,400,000","160,300,000","153,500,000","147,900,000","147,400,000","140,500,000","133,900,000","122,100,000","120,000,000","117,600,000","114,400,000","113,400,000","110,700,000","105,200,000","102,500,000","96,100,000","94,100,000","90,200,000","86,100,000","84,100,000","85,200,000","74,000,000","71,600,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"6,353,000,000","1,619,000,000","1,592,000,000","1,556,000,000","1,593,000,000","1,666,000,000","1,614,000,000","1,516,000,000","1,425,000,000","1,470,000,000","1,479,000,000","1,450,000,000","1,470,000,000","1,506,000,000","1,457,000,000","1,451,000,000","1,432,000,000","1,449,000,000","1,410,000,000","1,412,000,000","1,377,000,000","1,381,000,000","1,445,000,000","1,380,000,000","1,387,000,000","1,396,000,000","1,265,000,000","1,389,000,000","1,258,000,000","1,195,000,000","1,292,000,000","1,273,000,000","1,252,000,000","1,222,000,000","1,316,000,000","1,297,000,000","1,284,000,000","1,141,000,000","1,350,000,000","1,345,000,000","1,351,000,000","485,000,000","1,603,000,000","1,645,000,000","1,706,000,000","1,694,000,000","1,618,000,000","1,612,000,000","1,643,000,000","1,363,000,000","1,617,000,000","2,030,000,000","1,875,000,000","1,534,122,000","1,640,859,000","1,722,928,000","1,925,783,000","1,785,743,000","1,808,925,000","1,802,136,000","1,865,950,000","1,697,685,000","1,243,648,000","1,253,246,000","1,212,844,000","1,148,698,000","1,167,735,000","1,206,137,000","1,099,373,000","1,080,682,000","1,214,003,000","728,222,000","744,481,000","710,887,000","716,551,000","744,425,000","701,492,000","735,455,000","706,826,000","665,791,000","648,394,000","677,550,000","613,746,000","620,178,000","495,904,000","493,892,000","488,866,000","486,341,000","520,908,000","499,500,000","493,700,000","493,700,000","497,100,000","471,200,000","440,100,000","326,800,000","322,700,000","283,100,000","278,700,000","267,400,000","250,800,000","237,600,000","232,000,000","232,000,000","219,600,000","169,400,000","167,400,000","160,300,000","153,500,000","147,900,000","147,400,000","140,500,000","133,900,000","122,100,000","120,000,000","117,600,000","114,400,000","113,400,000","110,700,000","105,200,000","102,500,000","96,100,000","94,100,000","90,200,000","86,100,000","84,100,000","85,200,000","74,000,000","71,600,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"3,215,000,000","541,000,000","831,000,000","1,021,000,000","822,000,000","737,000,000","634,000,000","-261,000,000","204,000,000","487,000,000","516,000,000","483,000,000","499,000,000","491,000,000","455,000,000","467,000,000","542,000,000","548,000,000","451,000,000","450,000,000","422,000,000","428,000,000","471,000,000","387,000,000","386,000,000","408,000,000","378,000,000","413,000,000","331,000,000","291,000,000","449,000,000","424,000,000","435,000,000","333,000,000","417,000,000","390,000,000","447,000,000","415,000,000","448,000,000","477,000,000","321,000,000","-127,000,000","182,000,000","49,000,000","57,000,000","142,000,000","-305,000,000","-365,000,000","-357,000,000","-830,000,000","-651,000,000","-113,000,000","392,000,000","-6,796,733,000","96,228,000","273,554,000","494,524,000","70,934,000","573,531,000","684,401,000","709,984,000","528,977,000","504,055,000","496,733,000","429,250,000","354,662,000","364,112,000","355,786,000","347,535,000","342,973,000","365,735,000","228,493,000","238,381,000","228,940,000","230,374,000","230,440,000","221,818,000","219,113,000","219,375,000","214,718,000","216,034,000","192,070,000","191,376,000","161,822,000","172,683,000","152,599,000","182,781,000","185,750,000","220,596,000","184,900,000","197,800,000","209,500,000","213,800,000","188,500,000","78,100,000","133,900,000","132,000,000","114,000,000","116,200,000","109,000,000","103,700,000","92,500,000","74,300,000","94,000,000","77,700,000","64,400,000","67,000,000","62,400,000","61,000,000","54,200,000","56,300,000","53,200,000","49,500,000","40,600,000","41,300,000","42,500,000","41,100,000","35,600,000","37,400,000","34,500,000","32,500,000","28,200,000","29,800,000","27,800,000","26,100,000","24,500,000","26,300,000","23,200,000","22,100,000",,,,,,,,,,,,,,,,,,
TaxProvision,"694,000,000","103,000,000","180,000,000","231,000,000","180,000,000","121,000,000","104,000,000","-47,000,000","42,000,000","98,000,000","107,000,000","93,000,000","105,000,000","85,000,000","85,000,000","89,000,000","128,000,000","214,000,000","139,000,000","133,000,000","128,000,000","134,000,000","152,000,000","115,000,000","113,000,000","120,000,000","116,000,000","124,000,000","95,000,000","77,000,000","127,000,000","125,000,000","128,000,000","92,000,000","124,000,000","122,000,000","114,000,000","138,000,000","136,000,000","126,000,000","82,000,000","17,000,000","27,000,000","-60,000,000","-12,000,000","53,000,000","-150,000,000","-88,000,000","-161,000,000","-287,000,000","-274,000,000","75,000,000","315,000,000","-578,706,000","5,870,000","66,908,000","157,814,000","-181,000","179,291,000","230,669,000","235,908,000","167,426,000","152,398,000","151,476,000","134,570,000","100,666,000","107,556,000","107,435,000","105,894,000","106,513,000","108,989,000","66,469,000","69,846,000","65,187,000","65,652,000","65,674,000","63,218,000","62,879,000","62,896,000","61,592,000","61,971,000","53,886,000","56,177,000","49,023,000","49,931,000","24,233,000","54,922,000","60,457,000","74,591,000","55,800,000","66,800,000","67,500,000","77,300,000","61,500,000","26,800,000","44,300,000","45,800,000","35,000,000","39,200,000","35,600,000","35,000,000","27,700,000","23,700,000","32,500,000","24,900,000","19,700,000","23,000,000","21,500,000","20,800,000","16,900,000","18,900,000","17,800,000","16,300,000","12,600,000","12,700,000","14,600,000","13,700,000","11,000,000","12,200,000","11,400,000","10,400,000","8,400,000","9,200,000","8,600,000","7,500,000","6,900,000","8,100,000","6,100,000","6,200,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,400,000,000","414,000,000","624,000,000","748,000,000","614,000,000","588,000,000","501,000,000","-237,000,000","139,000,000","366,000,000","385,000,000","374,000,000","378,000,000","390,000,000","548,000,000","359,000,000","398,000,000","319,000,000","295,000,000","300,000,000","285,000,000","279,000,000","304,000,000","259,000,000","257,000,000","269,000,000","242,000,000","269,000,000","218,000,000","195,000,000","305,000,000","292,000,000","311,000,000","219,000,000","285,000,000","259,000,000","327,000,000","261,000,000","301,000,000","284,000,000","145,000,000","-602,000,000","101,000,000","55,000,000","17,000,000","36,000,000","-209,000,000","-335,000,000","-255,000,000","-606,000,000","-437,000,000","-244,000,000","26,000,000","-6,244,532,000","79,461,000","206,393,000","336,668,000","62,088,000","394,164,000","453,309,000","332,981,000","361,551,000","351,657,000","345,257,000","294,680,000","253,996,000","256,556,000","248,351,000","241,641,000","236,460,000","256,746,000","162,024,000","168,535,000","163,753,000","164,722,000","164,766,000","158,600,000","156,234,000","156,479,000","153,126,000","154,063,000","138,184,000","135,199,000","112,799,000","122,752,000","128,366,000","127,859,000","125,293,000","146,005,000","129,100,000","131,000,000","142,000,000","136,500,000","127,000,000","51,300,000","89,600,000","86,200,000","79,000,000","77,000,000","73,400,000","68,700,000","64,800,000","50,600,000","61,500,000","52,800,000","44,700,000","44,000,000","40,900,000","40,200,000","37,300,000","37,400,000","35,400,000","33,200,000","28,000,000","28,600,000","27,900,000","27,400,000","24,600,000","25,200,000","23,100,000","22,100,000","19,800,000","20,600,000","19,200,000","18,600,000","17,600,000","18,200,000","17,100,000","15,900,000",,,,,,,,,,,,,,,,,,
	NetIncome,"2,521,000,000","438,000,000","651,000,000","790,000,000","642,000,000","616,000,000","530,000,000","-214,000,000","162,000,000","389,000,000","409,000,000","390,000,000","394,000,000","406,000,000","564,000,000","375,000,000","414,000,000","335,000,000","311,000,000","316,000,000","301,000,000","295,000,000","320,000,000","275,000,000","273,000,000","285,000,000","258,000,000","285,000,000","234,000,000","211,000,000","325,000,000","300,000,000","319,000,000","227,000,000","293,000,000","267,000,000","335,000,000","265,000,000","301,000,000","355,000,000","199,000,000","-548,000,000","155,000,000","109,000,000","69,000,000","89,000,000","-155,000,000","-277,000,000","-196,000,000","-543,000,000","-377,000,000","-244,000,000","77,000,000","-6,218,296,000","79,461,000","206,393,000","336,668,000","70,641,000","394,164,000","453,309,000","332,981,000","361,551,000","351,657,000","345,257,000","294,680,000","253,996,000","256,556,000","248,351,000","241,641,000","236,460,000","256,746,000","162,024,000","168,535,000","163,753,000","164,722,000","164,766,000","158,600,000","156,234,000","156,479,000","153,126,000","154,063,000","138,184,000","135,199,000","112,799,000","122,752,000","128,366,000","127,859,000","125,293,000","146,005,000","129,100,000","131,000,000","142,000,000","136,500,000","127,000,000","51,300,000","89,600,000","86,200,000","79,000,000","77,000,000","73,400,000","68,700,000","64,800,000","50,600,000","61,500,000","52,800,000","44,700,000","44,000,000","40,900,000","40,200,000","37,300,000","37,400,000","35,400,000","33,200,000","28,000,000","28,600,000","27,900,000","27,400,000","24,600,000","25,200,000","23,100,000","22,100,000","19,800,000","20,600,000","19,200,000","18,600,000","17,600,000","18,200,000","17,100,000","15,900,000",,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"2,521,000,000","438,000,000","651,000,000","790,000,000","642,000,000","616,000,000","530,000,000","-214,000,000","162,000,000","389,000,000","409,000,000","390,000,000","394,000,000","406,000,000","564,000,000","375,000,000","414,000,000","335,000,000","311,000,000","316,000,000","301,000,000","295,000,000","320,000,000","275,000,000","273,000,000","285,000,000","258,000,000","285,000,000","234,000,000","211,000,000","325,000,000","300,000,000","319,000,000","227,000,000","293,000,000","267,000,000","335,000,000","265,000,000","301,000,000","355,000,000","199,000,000","-548,000,000","155,000,000","109,000,000","69,000,000","89,000,000","-155,000,000","-277,000,000","-196,000,000","-543,000,000","-377,000,000","-244,000,000","77,000,000","-6,218,296,000","79,461,000","206,393,000","336,668,000","70,641,000","394,164,000","453,309,000","332,981,000","361,551,000","351,657,000","345,257,000","294,680,000","253,996,000","256,556,000","248,351,000","241,641,000","236,460,000","256,746,000","162,024,000","168,535,000","163,753,000","164,722,000","164,766,000","158,600,000","156,234,000","156,479,000","153,126,000","154,063,000","138,184,000","135,199,000","112,799,000","122,752,000","128,366,000","127,859,000","125,293,000","146,005,000","129,100,000","131,000,000","142,000,000","136,500,000","127,000,000","51,300,000","89,600,000","86,200,000","79,000,000","77,000,000","73,400,000","68,700,000","64,800,000","50,600,000","61,500,000","52,800,000","44,700,000","44,000,000","40,900,000","40,200,000","37,300,000","37,400,000","35,400,000","33,200,000","28,000,000","28,600,000","27,900,000","27,400,000","24,600,000","25,200,000","23,100,000","22,100,000","19,800,000","20,600,000","19,200,000","18,600,000","17,600,000","18,200,000","17,100,000","15,900,000","15,600,000","15,900,000","15,100,000","15,900,000","15,000,000","15,200,000","14,100,000","13,900,000","15,100,000","13,700,000","13,700,000","13,700,000","14,500,000","13,300,000","12,800,000","12,800,000","12,100,000","13,800,000"
			NetIncomeContinuousOperations,"2,521,000,000","438,000,000","651,000,000","790,000,000","642,000,000","616,000,000","530,000,000","-214,000,000","162,000,000","389,000,000","409,000,000","390,000,000","394,000,000","406,000,000","370,000,000","378,000,000","414,000,000","334,000,000","312,000,000","317,000,000","294,000,000","294,000,000","319,000,000","272,000,000","273,000,000","288,000,000","262,000,000","289,000,000","236,000,000","214,000,000","322,000,000","299,000,000","307,000,000","241,000,000","293,000,000","268,000,000","333,000,000","277,000,000","312,000,000","351,000,000","239,000,000","-144,000,000","155,000,000","109,000,000","69,000,000","89,000,000","-155,000,000","-277,000,000","-196,000,000","-543,000,000","-377,000,000","-244,000,000","77,000,000","-6,218,027,000","90,358,000","206,646,000","336,710,000","71,115,000","394,240,000","453,732,000","474,076,000","361,551,000","351,657,000","345,257,000","294,680,000","253,996,000","256,556,000","248,351,000","241,641,000","236,460,000","256,746,000","162,024,000","168,535,000","163,753,000","164,722,000","164,766,000","158,600,000","156,234,000","156,479,000","153,126,000","154,063,000","138,184,000","135,199,000","112,799,000","122,752,000","128,366,000","127,859,000","125,293,000","146,005,000","129,100,000","131,000,000","142,000,000","136,500,000","127,000,000","51,300,000","89,600,000","86,200,000","79,000,000","77,000,000","73,400,000","68,700,000","64,800,000","50,600,000","61,500,000","52,800,000","44,700,000","44,000,000","40,900,000","40,200,000","37,300,000","37,400,000","35,400,000","33,200,000","28,000,000","28,600,000","27,900,000","27,400,000","24,600,000","25,200,000","23,100,000","22,100,000","19,800,000","20,600,000","19,200,000","18,600,000","17,600,000","18,200,000","17,100,000","15,900,000","15,600,000","15,900,000","15,100,000","15,900,000","15,000,000","15,200,000","14,100,000","13,900,000","15,100,000","13,700,000","13,700,000","13,700,000","14,500,000","13,300,000","12,800,000","12,800,000","12,100,000","13,800,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,"0","0","0","0","0","194,000,000","-3,000,000",,"1,000,000","-1,000,000","-1,000,000","7,000,000","1,000,000","1,000,000","3,000,000","0","-3,000,000","-4,000,000","-4,000,000","-2,000,000","-3,000,000","3,000,000","1,000,000","12,000,000","-14,000,000","0","-1,000,000","2,000,000","-12,000,000","-11,000,000","4,000,000","-40,000,000",,,,,,,,,"0","0","0",,"-269,000","-10,897,000","-253,000","-42,000","-474,000","-76,000","-423,000","-141,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,"118,000,000","24,000,000","26,000,000","41,000,000","27,000,000","28,000,000","26,000,000","22,000,000","23,000,000","25,000,000","24,000,000","35,000,000","23,000,000","16,000,000","16,000,000","15,000,000","16,000,000","3,000,000","8,000,000","15,000,000","16,000,000","11,000,000","16,000,000","10,000,000","21,000,000","5,000,000","9,000,000","10,000,000","11,000,000","4,000,000","13,000,000","2,000,000","6,000,000","8,000,000","5,000,000","8,000,000","-7,000,000","-8,000,000",,"71,000,000","54,000,000","2,000,000",,"54,000,000","52,000,000","-280,000,000",,,,"159,000,000","60,000,000",,,"26,341,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
