name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"6,461,444,000","1,769,917,000","1,712,566,000","1,580,581,000","1,398,380,000","1,304,086,000","1,189,897,000","1,108,326,000","1,506,691,000","1,537,385,000","1,552,132,000","1,516,385,000","1,468,530,000","1,481,658,000","1,466,226,000","1,457,054,000","1,395,333,000","1,346,282,000","1,324,709,000","1,308,428,000","1,287,370,000","1,265,073,000","1,338,541,000","1,344,160,000","1,302,625,000","1,304,594,000","1,312,718,000","1,272,058,000","1,205,563,000","1,221,450,000","1,224,308,000","1,164,914,000","1,084,342,000","1,083,864,000","1,075,119,000","1,063,228,000","1,023,684,000","1,034,213,000","1,033,173,000","1,028,383,000","1,015,444,000","973,473,000","984,668,000","937,966,000","880,869,000","851,572,000","817,258,000","769,090,000","737,173,000","737,423,000","725,912,000","749,887,000","823,325,000","989,837,000","1,160,086,000","1,224,641,000","1,225,990,000","1,220,068,000","1,179,045,000","1,149,128,000","1,097,425,000","1,060,234,000","1,027,563,000","981,825,000","943,924,000","884,765,000","867,015,000","816,711,000","769,948,000","754,197,000","707,987,000","641,230,000","572,282,000","517,664,000","501,137,000","482,962,000","473,228,000","478,581,000","484,778,000","473,121,000","468,471,000","510,483,000","574,690,000","648,404,000","719,273,000","705,888,000","689,585,000","671,000,000","632,846,000","569,800,000","529,500,000","497,100,000","485,000,000","478,900,000","470,700,000","442,200,000","401,300,000","368,500,000","339,800,000","311,600,000","283,000,000","258,800,000","233,000,000","210,600,000","196,200,000","175,900,000","159,300,000","148,600,000","144,700,000","125,000,000","114,900,000","106,500,000","99,900,000","87,100,000","77,100,000","72,400,000","69,600,000","59,000,000","55,100,000","53,400,000","52,700,000","50,900,000","50,900,000","51,400,000","56,300,000","59,100,000","60,100,000","62,800,000","66,600,000","60,200,000","58,600,000","57,600,000","58,100,000","47,400,000","45,600,000","44,000,000","45,100,000","26,500,000","26,400,000","26,400,000","26,400,000","1,900,000","1,800,000","1,800,000","1,800,000","4,800,000","9,400,000"
	OperatingRevenue,"6,461,444,000","1,769,917,000","1,712,566,000","1,580,581,000","1,398,380,000","1,304,086,000","1,189,897,000","1,108,326,000","1,506,691,000","1,537,385,000","1,552,132,000","1,516,385,000","1,468,530,000","1,481,658,000","1,466,226,000","1,457,054,000","1,395,333,000","1,346,282,000","1,324,709,000","1,308,428,000","1,287,370,000","1,265,073,000","1,338,541,000","1,344,160,000","1,302,625,000","1,304,594,000","1,312,718,000","1,272,058,000","1,205,563,000","1,221,450,000","1,224,308,000","1,164,914,000","1,084,342,000","1,083,864,000","1,075,119,000","1,063,228,000","1,023,684,000","1,034,213,000","1,033,173,000","1,028,383,000","1,015,444,000","973,473,000","984,668,000","937,966,000","880,869,000","851,572,000","817,258,000","769,090,000","737,173,000","737,423,000","725,912,000","749,887,000","823,325,000","989,837,000","1,160,086,000","1,224,641,000","1,225,990,000","1,220,068,000","1,179,045,000","1,149,128,000","1,097,425,000","1,060,234,000","1,027,563,000","981,825,000","943,924,000","884,765,000","867,015,000","816,711,000","769,948,000","754,197,000","707,987,000","641,230,000","572,282,000","517,664,000","501,137,000","482,962,000","473,228,000","478,581,000","484,778,000","473,121,000","468,471,000","510,483,000","574,690,000","648,404,000","719,273,000","705,888,000","689,585,000","671,000,000","632,846,000","569,800,000","529,500,000","497,100,000","485,000,000","478,900,000","470,700,000","442,200,000","401,300,000","368,500,000","339,800,000","311,600,000","283,000,000","258,800,000","233,000,000","210,600,000","196,200,000","175,900,000","159,300,000","148,600,000","144,700,000","125,000,000","114,900,000","106,500,000","99,900,000","87,100,000","77,100,000","72,400,000","69,600,000","59,000,000","55,100,000","53,400,000","52,700,000","50,900,000","50,900,000","51,400,000","56,300,000","59,100,000","60,100,000","62,800,000","66,600,000","60,200,000","58,600,000","57,600,000","58,100,000","47,400,000","45,600,000","44,000,000","45,100,000","26,500,000","26,400,000","26,400,000","26,400,000","1,900,000","1,800,000","1,800,000","1,800,000","4,800,000","9,400,000"
CostOfRevenue,"3,765,416,000","1,025,798,000","987,239,000","915,709,000","836,669,000","789,759,000","722,551,000","685,249,000","895,974,000","898,441,000","905,686,000","878,844,000","860,942,000","861,596,000","855,758,000","849,936,000","822,967,000","793,136,000","778,309,000","769,990,000","761,542,000","745,871,000","786,032,000","787,167,000","770,653,000","764,513,000","762,917,000","741,556,000","711,476,000","720,693,000","719,088,000","686,470,000","645,847,000","640,648,000","637,641,000","631,120,000","613,394,000","617,788,000","617,924,000","613,080,000","613,361,000","586,151,000","592,765,000","565,678,000","542,780,000","524,665,000","508,118,000","479,232,000","469,045,000","458,940,000","459,501,000","484,830,000","529,597,000","587,451,000","676,513,000","708,017,000","715,002,000","696,447,000","678,252,000","656,443,000","636,696,000","609,184,000","595,566,000","563,823,000","550,720,000","517,841,000","511,005,000","480,430,000","456,114,000","450,889,000","425,652,000","386,598,000","356,255,000","325,064,000","314,026,000","305,587,000","303,576,000","307,301,000","309,342,000","290,003,000","283,570,000","308,219,000","344,125,000","375,641,000","408,287,000","387,598,000","380,729,000","369,127,000","349,620,000","321,600,000","298,700,000","284,500,000","280,400,000","279,500,000","275,500,000","259,900,000","236,400,000","218,500,000","201,200,000","184,400,000","168,500,000","155,700,000","139,400,000","125,400,000","118,400,000","106,700,000","96,300,000","90,100,000","87,900,000","76,000,000","69,700,000","64,400,000","60,700,000","53,700,000","47,000,000","43,400,000","41,600,000","35,600,000","32,700,000","30,900,000","30,200,000","28,700,000","28,400,000","27,700,000","30,100,000","31,500,000","30,800,000","31,800,000","34,200,000","30,600,000","29,400,000",,,,,,,,,,,,,,,,
GrossProfit,"2,696,028,000","744,119,000","725,327,000","664,872,000","561,711,000","514,327,000","467,346,000","423,077,000","610,717,000","638,944,000","646,446,000","637,541,000","607,588,000","620,062,000","610,468,000","607,118,000","572,366,000","553,146,000","546,400,000","538,438,000","525,828,000","519,202,000","552,509,000","556,993,000","531,972,000","540,081,000","549,801,000","530,502,000","494,087,000","500,757,000","505,220,000","478,444,000","438,495,000","443,216,000","437,478,000","432,108,000","410,290,000","416,425,000","415,249,000","415,303,000","402,083,000","387,322,000","391,903,000","372,288,000","338,089,000","326,907,000","309,140,000","289,858,000","268,128,000","278,483,000","266,411,000","265,057,000","293,728,000","402,386,000","483,573,000","516,624,000","510,988,000","523,621,000","500,793,000","492,685,000","460,729,000","451,050,000","431,997,000","418,002,000","393,204,000","366,924,000","356,010,000","336,281,000","313,834,000","303,308,000","282,335,000","254,632,000","216,027,000","192,600,000","187,111,000","177,375,000","169,652,000","171,280,000","175,436,000","183,118,000","184,901,000","202,264,000","230,565,000","272,763,000","310,986,000","318,290,000","308,856,000","301,873,000","283,226,000","248,200,000","230,800,000","212,600,000","204,600,000","199,400,000","195,200,000","182,300,000","164,900,000","150,000,000","138,600,000","127,200,000","114,500,000","103,100,000","93,600,000","85,200,000","77,800,000","69,200,000","63,000,000","58,500,000","56,800,000","49,000,000","45,200,000","42,100,000","39,200,000","33,400,000","30,100,000","29,000,000","28,000,000","23,400,000","22,400,000","22,500,000","22,500,000","22,200,000","22,500,000","23,700,000","26,200,000","27,600,000","29,300,000","31,000,000","32,400,000","29,600,000","29,200,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,953,523,000","545,068,000","496,148,000","488,669,000","423,638,000","425,379,000","391,133,000","365,158,000","479,911,000","486,054,000","483,894,000","478,480,000","461,701,000","466,524,000","459,759,000","458,049,000","438,462,000","424,799,000","414,660,000","408,086,000","400,550,000","394,814,000","406,468,000","407,810,000","398,362,000","395,916,000","390,735,000","381,355,000","365,985,000","367,590,000","366,967,000","355,015,000","336,719,000","339,551,000","333,998,000","331,748,000","321,218,000","319,513,000","321,130,000","343,316,000","322,053,000","315,514,000","319,856,000","311,242,000","293,725,000","282,759,000","272,024,000","267,565,000","255,937,000","256,253,000","249,151,000","255,287,000","277,668,000","335,674,000","374,738,000","394,011,000","395,072,000","394,665,000","381,779,000","375,454,000","348,653,000","331,811,000","316,963,000","308,401,000","287,628,000","263,751,000","253,538,000","244,145,000","230,389,000","222,218,000","212,254,000","199,715,000","191,220,000","185,294,000","178,888,000","177,761,000","175,683,000","183,473,000","181,416,000","179,423,000","171,511,000","183,315,000","195,293,000","213,885,000","236,320,000","244,154,000","234,119,000","228,410,000","214,374,000","187,100,000","175,300,000","158,200,000","146,900,000","141,300,000","138,400,000","129,400,000","117,200,000","105,500,000","98,000,000","90,500,000","81,400,000","73,900,000","67,200,000","61,600,000","55,700,000","49,800,000","45,400,000","42,500,000","41,200,000","35,900,000","33,300,000","30,800,000","28,900,000","26,300,000","23,300,000","22,700,000","22,500,000","20,600,000","19,200,000","19,200,000","19,500,000","18,800,000","19,000,000","20,200,000","22,000,000","24,500,000","23,700,000","24,300,000","24,200,000","21,900,000","21,700,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,951,282,000","544,551,000","495,576,000","488,093,000","423,062,000","425,162,000","390,799,000","364,828,000","479,573,000","485,715,000","483,555,000","478,139,000","461,359,000","466,153,000","459,330,000","457,607,000","437,999,000","424,383,000","414,179,000","407,721,000","400,249,000","394,505,000","406,142,000","407,496,000","398,074,000","395,724,000","390,735,000","381,355,000","365,985,000","367,590,000","366,967,000","354,791,000","336,386,000","339,151,000","333,565,000","331,314,000","320,785,000","319,302,000","321,030,000","343,264,000","322,018,000","315,479,000","319,817,000","311,202,000","293,686,000","283,868,000","271,978,000","267,519,000","255,668,000","255,972,000","248,870,000","255,007,000","277,050,000","334,895,000","374,120,000","393,393,000","394,431,000","393,911,000","381,031,000","374,636,000","348,379,000","331,565,000","316,732,000","308,173,000","287,482,000","263,657,000","253,445,000","244,071,000","230,315,000","222,119,000","212,155,000","198,977,000","191,131,000","183,342,000","176,097,000","175,002,000","172,908,000","180,736,000","178,731,000","178,564,000","171,511,000","181,982,000","193,960,000","212,552,000","234,984,000","228,842,000","219,880,000","214,752,000","200,944,000","176,000,000","164,700,000","148,700,000","139,000,000","134,100,000","132,000,000","123,600,000","112,000,000","100,500,000","93,400,000","86,200,000","77,600,000","70,400,000","64,000,000","58,900,000","53,200,000","47,400,000","43,400,000","40,600,000","39,300,000","34,100,000","31,500,000","28,900,000","27,200,000","24,500,000","21,600,000","21,100,000","20,900,000","19,000,000","17,600,000","17,600,000","17,900,000","17,200,000","17,400,000","18,600,000","20,400,000","22,900,000","22,300,000","22,700,000","22,800,000","20,400,000","20,300,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,241,000","517,000","572,000","576,000","576,000","217,000","334,000","330,000","338,000","339,000","339,000","341,000","342,000","371,000","429,000","442,000","463,000","416,000","481,000","365,000","301,000","309,000","326,000","314,000","288,000","192,000","0","0","0","0","0","224,000","333,000","400,000","433,000","434,000","433,000","211,000","100,000","52,000","35,000","35,000","39,000","40,000","39,000","49,000","46,000","46,000","269,000","281,000","281,000","280,000","618,000","740,000","618,000","618,000","641,000","754,000","748,000","818,000","274,000","246,000","231,000","228,000","146,000","94,000","93,000","74,000","74,000","99,000","99,000","738,000","89,000","1,952,000","2,791,000","2,759,000","2,775,000","2,737,000","2,685,000","859,000",,"1,333,000","1,333,000","1,333,000","1,336,000","15,312,000","14,239,000","13,658,000","13,430,000","11,100,000","10,600,000","9,500,000","7,900,000","7,200,000","6,400,000","5,800,000","5,200,000","5,000,000","4,600,000","4,300,000","3,800,000","3,500,000","3,200,000","2,700,000","2,500,000","2,400,000","2,000,000","1,900,000","1,900,000","1,800,000","1,800,000","1,900,000","1,700,000","1,800,000","1,700,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,400,000","1,600,000","1,400,000","1,500,000","1,400,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,241,000","517,000","572,000","576,000","576,000","217,000","334,000","330,000","338,000","339,000","339,000","341,000","342,000","371,000","429,000","442,000","463,000","416,000","481,000","365,000","301,000","309,000","326,000","314,000","288,000","192,000","0","0","0","0","0","224,000","333,000","400,000","433,000","434,000","433,000","211,000","100,000","52,000","35,000","35,000","39,000","40,000","39,000","49,000","46,000","46,000","269,000","281,000","281,000","280,000","618,000","740,000","618,000","618,000","641,000","754,000","748,000","818,000","274,000","246,000","231,000","228,000","146,000","94,000","93,000","74,000","74,000","99,000","99,000","738,000","89,000","1,952,000","2,791,000","2,759,000","2,775,000","2,737,000","2,685,000","859,000",,"1,333,000","1,333,000","1,333,000","1,336,000","15,312,000","14,239,000","13,658,000","13,430,000","11,100,000","10,600,000","9,500,000","7,900,000","7,200,000","6,400,000","5,800,000","5,200,000","5,000,000","4,600,000","4,300,000","3,800,000","3,500,000","3,200,000","2,700,000","2,500,000","2,400,000","2,000,000","1,900,000","1,900,000","1,800,000","1,800,000","1,900,000","1,700,000","1,800,000","1,700,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,400,000","1,600,000","1,400,000","1,500,000","1,400,000",,,,,,,,,,,,,,,,
			Amortization,"2,241,000","517,000","572,000","576,000","576,000","217,000","334,000","330,000","338,000","339,000","339,000","341,000","342,000","371,000","429,000","442,000","463,000","416,000","481,000","365,000","301,000","309,000","326,000","314,000","288,000","192,000","0","0","0","0","0","224,000","333,000","400,000","433,000","434,000","433,000","211,000","100,000","52,000","35,000","35,000","39,000","40,000","39,000","49,000","46,000","46,000","269,000","281,000","281,000","280,000","618,000","740,000","618,000","618,000","641,000","754,000","748,000","818,000","274,000","246,000","231,000","228,000","146,000","94,000","93,000","74,000","74,000","99,000","99,000","738,000","89,000","1,952,000","2,791,000","2,759,000","2,775,000","2,737,000","2,685,000","859,000",,"1,333,000","1,333,000","1,333,000","1,336,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"2,241,000","517,000","572,000","576,000","576,000","217,000","334,000","330,000","338,000","339,000","339,000","341,000","342,000","371,000","429,000","442,000","463,000","416,000","481,000","365,000","301,000","309,000","326,000","314,000","288,000","192,000","0","0","0","0","0","224,000","333,000","400,000","433,000","434,000","433,000","211,000","100,000","52,000","35,000","35,000","39,000","40,000","39,000","49,000","46,000","46,000","269,000","281,000","281,000","280,000","618,000","740,000","618,000","618,000","641,000","754,000","748,000","818,000","274,000","246,000","231,000","228,000","146,000","94,000","93,000","74,000","74,000","99,000","99,000","738,000","89,000","1,952,000","2,791,000","2,759,000","2,775,000","2,737,000","2,685,000","859,000",,"1,333,000","1,333,000","1,333,000","1,336,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
