name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
TotalRevenue,"5,982,800,000","1,815,400,000","1,504,100,000","1,376,300,000","1,287,000,000","1,432,800,000","1,193,500,000","487,500,000","1,274,100,000","1,750,700,000","1,706,200,000","1,428,800,000","1,505,700,000","1,725,800,000","1,690,900,000","1,390,600,000","1,529,200,000","1,641,800,000","1,664,200,000","1,347,100,000","1,565,800,000","1,714,000,000","1,821,000,000","1,552,000,000","1,871,000,000","1,946,000,000","1,970,000,000","1,618,000,000","1,885,000,000","2,033,000,000","1,994,000,000","1,708,000,000","1,867,000,000","2,015,000,000","1,915,000,000","1,653,000,000","1,643,300,000","1,846,100,000","1,862,000,000","1,593,400,000","1,622,900,000","1,805,600,000","1,904,600,000","1,526,400,000","1,426,900,000","1,548,000,000","1,532,100,000","1,153,300,000","1,337,100,000","1,243,900,000","1,374,200,000","1,023,700,000","1,224,400,000","1,252,000,000","1,428,900,000","1,113,600,000","1,240,900,000","1,269,800,000","1,299,100,000","1,070,300,000","1,031,300,000","1,143,700,000","1,166,800,000","953,600,000","971,492,000","995,482,000","1,027,384,000","751,942,000","940,992,000","887,993,000","883,680,000","592,750,000","818,781,000","645,365,000","707,777,000","477,731,000","692,331,000","639,170,000","640,839,000","467,000,000","633,088,000","617,095,000","595,695,000","517,829,000","542,426,000","612,518,000","584,667,000","486,163,000","465,777,000","508,800,000","541,800,000","432,300,000","443,100,000","444,600,000","471,000,000","354,500,000","356,100,000","405,700,000","421,100,000","287,900,000"
	OperatingRevenue,"5,982,800,000","1,815,400,000","1,504,100,000","1,376,300,000","1,287,000,000","1,432,800,000","1,193,500,000","487,500,000","1,274,100,000","1,750,700,000","1,706,200,000","1,428,800,000","1,505,700,000","1,725,800,000","1,690,900,000","1,390,600,000","1,529,200,000","1,641,800,000","1,664,200,000","1,347,100,000","1,565,800,000","1,714,000,000","1,821,000,000","1,552,000,000","1,871,000,000","1,946,000,000","1,970,000,000","1,618,000,000","1,885,000,000","2,033,000,000","1,994,000,000","1,708,000,000","1,867,000,000","2,015,000,000","1,915,000,000","1,653,000,000","1,643,300,000","1,846,100,000","1,862,000,000","1,593,400,000","1,622,900,000","1,805,600,000","1,904,600,000","1,526,400,000","1,426,900,000","1,548,000,000","1,532,100,000","1,153,300,000","1,337,100,000","1,243,900,000","1,374,200,000","1,023,700,000","1,224,400,000","1,252,000,000","1,428,900,000","1,113,600,000","1,240,900,000","1,269,800,000","1,299,100,000","1,070,300,000","1,031,300,000","1,143,700,000","1,166,800,000","953,600,000","971,492,000","995,482,000","1,027,384,000","751,942,000","940,992,000","887,993,000","883,680,000","592,750,000","818,781,000","645,365,000","707,777,000","477,731,000","692,331,000","639,170,000","640,839,000","467,000,000","633,088,000","617,095,000","595,695,000","517,829,000","542,426,000","612,518,000","584,667,000","486,163,000","465,777,000","508,800,000","541,800,000","432,300,000","443,100,000","444,600,000","471,000,000","354,500,000","356,100,000","405,700,000","421,100,000","287,900,000"
CostOfRevenue,"2,018,500,000","617,300,000","488,900,000","408,200,000","504,100,000","502,400,000","394,100,000","138,800,000","679,700,000","661,600,000","657,200,000","508,000,000","604,200,000","666,300,000","661,600,000","494,900,000","620,700,000","645,600,000","668,400,000","495,900,000","746,700,000","731,000,000","867,000,000","657,000,000","857,000,000","852,000,000","857,000,000","652,000,000","841,000,000","874,000,000","862,000,000","665,000,000","817,000,000","843,000,000","831,000,000","649,000,000","669,000,000","752,000,000","766,700,000","601,300,000","696,500,000","774,000,000","826,000,000","564,900,000","616,600,000","640,100,000","644,200,000","441,100,000","547,700,000","520,200,000","589,400,000","422,500,000","590,000,000","582,300,000","640,700,000","475,200,000","566,600,000","593,300,000","603,900,000","478,300,000","473,200,000","529,700,000","534,200,000","422,100,000","446,530,000","464,017,000","475,839,000","337,514,000","439,334,000","449,960,000","445,925,000","285,650,000","427,782,000","312,363,000","357,211,000","228,979,000","346,510,000","331,260,000","319,573,000","234,396,000","321,296,000","330,086,000","310,055,000","255,468,000","257,158,000","297,281,000","315,266,000","214,423,000","226,510,000","249,900,000","253,600,000","206,000,000","233,600,000","229,500,000","229,800,000","165,400,000","177,600,000","206,500,000","207,500,000","136,600,000"
GrossProfit,"3,964,300,000","1,198,100,000","1,015,200,000","968,100,000","782,900,000","930,400,000","799,400,000","348,700,000","594,400,000","1,089,100,000","1,049,000,000","920,800,000","901,500,000","1,059,500,000","1,029,300,000","895,700,000","908,500,000","996,200,000","995,800,000","851,200,000","819,100,000","983,000,000","954,000,000","895,000,000","1,014,000,000","1,094,000,000","1,113,000,000","966,000,000","1,044,000,000","1,159,000,000","1,132,000,000","1,043,000,000","1,050,000,000","1,172,000,000","1,084,000,000","1,004,000,000","974,300,000","1,094,100,000","1,095,300,000","992,100,000","926,400,000","1,031,600,000","1,078,600,000","961,500,000","810,300,000","907,900,000","887,900,000","712,200,000","789,400,000","723,700,000","784,800,000","601,200,000","634,400,000","669,700,000","788,200,000","638,400,000","674,300,000","676,500,000","695,200,000","592,000,000","558,100,000","614,000,000","632,600,000","531,500,000","524,962,000","531,465,000","551,545,000","414,428,000","501,658,000","438,033,000","437,755,000","307,100,000","390,999,000","333,002,000","350,566,000","248,752,000","345,821,000","307,910,000","321,266,000","232,604,000","311,792,000","287,009,000","285,640,000","262,361,000","285,268,000","315,237,000","269,401,000","271,740,000","239,267,000","258,900,000","288,200,000","226,300,000","209,500,000","215,100,000","241,200,000","189,100,000","178,500,000","199,200,000","213,600,000","151,300,000"
OperatingExpense,"3,146,100,000","910,200,000","760,000,000","728,200,000","755,200,000","747,500,000","628,200,000","507,600,000","852,200,000","843,300,000","795,300,000","746,700,000","809,400,000","823,400,000","793,600,000","741,900,000","828,600,000","779,800,000","772,700,000","714,400,000","765,500,000","778,000,000","809,000,000","821,000,000","902,000,000","838,000,000","845,000,000","828,000,000","844,000,000","843,000,000","844,000,000","795,000,000","822,000,000","824,000,000","789,000,000","744,000,000","777,400,000","775,700,000","747,000,000","700,100,000","775,400,000","761,500,000","727,800,000","679,400,000","689,400,000","661,700,000","579,100,000","537,900,000","618,000,000","545,700,000","530,900,000","484,100,000","517,500,000","501,600,000","545,300,000","491,800,000","530,100,000","505,800,000","502,600,000","446,200,000","437,400,000","429,800,000","415,900,000","395,900,000","400,208,000","387,823,000","374,562,000","334,207,000","460,589,000","322,981,000","313,186,000","285,764,000","262,504,000","256,614,000","267,613,000","243,226,000","222,816,000","230,391,000","236,618,000","214,916,000","216,747,000","212,561,000","199,507,000","208,773,000","128,999,000","227,111,000","239,435,000","226,727,000","181,307,000","202,500,000","193,200,000","178,500,000","164,400,000","174,200,000","160,100,000","155,800,000","132,700,000","149,900,000","137,700,000","122,600,000"
	SellingGeneralAndAdministration,"3,146,100,000","910,200,000","760,000,000","728,200,000","755,200,000","747,500,000","628,200,000","507,600,000","852,200,000","843,300,000","795,300,000","746,700,000","809,400,000","823,400,000","793,600,000","741,900,000","846,600,000","773,800,000","766,700,000","708,400,000","759,400,000","772,000,000","803,000,000","815,000,000","895,000,000","833,000,000","839,000,000","822,000,000","838,000,000","837,000,000","837,000,000","789,000,000","815,000,000","815,000,000","779,000,000","735,000,000","770,900,000","768,900,000","689,700,000","693,400,000","768,300,000","754,300,000","720,300,000","672,300,000","682,500,000","655,400,000","572,900,000","531,900,000","612,000,000","540,400,000","525,700,000","478,900,000","519,400,000","496,500,000","533,200,000","486,900,000","513,600,000","492,200,000","488,200,000","438,500,000","434,200,000","426,800,000","412,100,000","390,300,000","394,008,000","381,615,000","368,019,000","334,207,000","460,589,000","322,981,000","313,186,000","285,764,000","262,504,000","256,614,000","267,613,000","243,226,000","222,816,000","230,391,000","236,618,000","214,916,000","216,747,000","212,561,000","199,507,000","208,773,000","189,083,000","208,172,000","218,617,000","206,400,000","168,127,000","181,700,000","172,300,000","167,100,000","151,300,000","163,000,000","148,800,000","145,000,000","125,300,000","142,400,000","131,100,000","116,700,000"
		GeneralAndAdministrativeExpense,,"910,200,000","760,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,"1,400,000","5,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"908,800,000","754,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","6,000,000","6,100,000","6,000,000","6,000,000","6,000,000","7,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","7,000,000","6,000,000","7,000,000","9,000,000","10,000,000","9,000,000","6,500,000","6,800,000","57,300,000","6,700,000","7,100,000","7,200,000","7,500,000","7,100,000","6,900,000","6,300,000","6,200,000","6,000,000","6,000,000","5,300,000","5,200,000","5,200,000","5,200,000","5,100,000","5,000,000","4,900,000","11,500,000","13,600,000","14,400,000","7,700,000","3,200,000","3,000,000","3,800,000","5,600,000","4,758,000","1,765,000","1,628,000",,,,,,,,,,,,,,,,,,"18,515,000","18,939,000","20,818,000","20,327,000","13,180,000","20,800,000","20,900,000","11,400,000","13,100,000","11,200,000","11,300,000","10,800,000","7,400,000","7,500,000","6,600,000","5,900,000"
