name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992
TotalRevenue,"3,443,760,000","894,874,000","904,015,000","876,103,000","768,767,000","800,011,000","751,944,000","770,344,000","769,455,000","736,157,000","681,056,000","704,964,000","662,228,000","651,100,000","588,279,000","623,630,000","591,634,000","601,273,000","523,659,000","556,686,000","514,204,000","530,397,000","465,450,000","518,647,000","453,879,000","454,540,000","411,647,000","453,064,000","422,497,000","422,952,000","380,399,000","415,211,000","397,758,000","384,341,000","357,662,000","414,607,000","383,581,000","376,537,000","339,731,000","371,929,000","349,073,000","332,738,000","314,774,000","341,893,000","313,258,000","305,986,000","282,012,000","291,572,000","278,659,000","275,134,000","246,992,000","251,959,000","227,865,000","222,980,000","217,931,000","235,151,000","211,827,000","202,679,000","185,740,000","191,309,000","182,990,000","178,428,000","163,605,000","171,172,000","162,280,000","146,416,000","127,127,000","125,425,000","108,454,000","103,893,000","87,733,000","92,891,000","91,277,000","82,292,000","72,878,000","80,695,000","68,996,000","65,293,000","58,586,000","56,247,000","52,776,000","48,924,000","46,129,000","47,028,000","42,680,000","34,366,000","31,082,000","31,564,000","29,971,000","28,100,000","25,900,000","25,100,000","22,800,000","21,500,000","19,200,000","19,300,000","17,100,000","16,100,000","14,000,000","14,000,000","12,500,000","11,600,000","11,100,000","10,600,000","9,400,000","7,900,000","6,700,000","6,700,000","5,600,000","5,600,000","5,600,000","3,400,000","3,500,000","3,500,000","3,500,000","2,000,000","1,900,000","1,900,000","1,900,000"
	OperatingRevenue,"3,443,760,000","894,874,000","904,015,000","876,103,000","768,767,000","800,011,000","751,944,000","770,344,000","769,455,000","736,157,000","681,056,000","704,964,000","662,228,000","651,100,000","588,279,000","623,630,000","591,634,000","601,273,000","523,659,000","556,686,000","514,204,000","530,397,000","465,450,000","518,647,000","453,879,000","454,540,000","411,647,000","453,064,000","422,497,000","422,952,000","380,399,000","415,211,000","397,758,000","384,341,000","357,662,000","414,607,000","383,581,000","376,537,000","339,731,000","371,929,000","349,073,000","332,738,000","314,774,000","341,893,000","313,258,000","305,986,000","282,012,000","291,572,000","278,659,000","275,134,000","246,992,000","251,959,000","227,865,000","222,980,000","217,931,000","235,151,000","211,827,000","202,679,000","185,740,000","191,309,000","182,990,000","178,428,000","163,605,000","171,172,000","162,280,000","146,416,000","127,127,000","125,425,000","108,454,000","103,893,000","87,733,000","92,891,000","91,277,000","82,292,000","72,878,000","80,695,000","68,996,000","65,293,000","58,586,000","56,247,000","52,776,000","48,924,000","46,129,000","47,028,000","42,680,000","34,366,000","31,082,000","31,564,000","29,971,000","28,100,000","25,900,000","25,100,000","22,800,000","21,500,000","19,200,000","19,300,000","17,100,000","16,100,000","14,000,000","14,000,000","12,500,000","11,600,000","11,100,000","10,600,000","9,400,000","7,900,000","6,700,000","6,700,000","5,600,000","5,600,000","5,600,000","3,400,000","3,500,000","3,500,000","3,500,000","2,000,000","1,900,000","1,900,000","1,900,000"
CostOfRevenue,"1,495,196,000","390,556,000","397,726,000","385,406,000","321,509,000","337,528,000","313,283,000","320,971,000","319,793,000","309,027,000","276,001,000","287,113,000","270,318,000","267,369,000","245,186,000","261,158,000","247,339,000","251,481,000","218,054,000","232,910,000","214,490,000","221,326,000","196,266,000","217,158,000","193,999,000","188,031,000","173,028,000","193,634,000","171,066,000","159,730,000","143,086,000","153,953,000","145,970,000","135,582,000","129,680,000","154,759,000","144,132,000","143,825,000","131,083,000","145,460,000","138,577,000","134,023,000","129,720,000","143,022,000","130,755,000","119,987,000","108,058,000","117,055,000","112,076,000","110,929,000","96,814,000","95,251,000","88,922,000","91,955,000","90,804,000","101,067,000","85,269,000","81,348,000","73,963,000","74,103,000","128,758,000","66,670,000","62,309,000","66,988,000","61,414,000","54,690,000","47,008,000","45,649,000","38,159,000","35,515,000","31,322,000","33,287,000","33,727,000","29,868,000","25,720,000","30,331,000","25,809,000","23,454,000","20,889,000","19,439,000","19,005,000","17,087,000","15,296,000","20,988,000","11,792,000","9,566,000","8,031,000","8,623,000","8,192,000","7,100,000","6,800,000","7,200,000","6,800,000","5,900,000","5,100,000","5,500,000","4,900,000","4,500,000","4,500,000","4,800,000","4,400,000","4,100,000","4,400,000","4,400,000","4,600,000",,,,,,,,,,,,,,
GrossProfit,"1,948,564,000","504,318,000","506,289,000","490,697,000","447,258,000","462,483,000","438,661,000","449,373,000","449,662,000","427,130,000","405,055,000","417,851,000","391,910,000","383,731,000","343,093,000","362,472,000","344,295,000","349,792,000","305,605,000","323,776,000","299,714,000","309,071,000","269,184,000","301,489,000","259,880,000","266,509,000","238,619,000","259,430,000","251,431,000","263,222,000","237,313,000","261,258,000","251,788,000","248,759,000","227,982,000","259,848,000","239,449,000","232,712,000","208,648,000","226,469,000","210,496,000","198,715,000","185,054,000","198,871,000","182,503,000","185,999,000","173,954,000","174,517,000","166,583,000","164,205,000","150,178,000","156,708,000","138,943,000","131,025,000","127,127,000","134,084,000","126,558,000","121,331,000","111,777,000","117,206,000","54,232,000","111,758,000","101,296,000","104,184,000","100,866,000","91,726,000","80,119,000","79,776,000","70,295,000","68,378,000","56,411,000","59,604,000","57,550,000","52,424,000","47,158,000","50,364,000","43,187,000","41,839,000","37,697,000","36,808,000","33,771,000","31,837,000","30,833,000","26,040,000","30,888,000","24,800,000","23,051,000","22,941,000","21,779,000","21,000,000","19,100,000","17,900,000","16,000,000","15,600,000","14,100,000","13,800,000","12,200,000","11,600,000","9,500,000","9,200,000","8,100,000","7,500,000","6,700,000","6,200,000","4,800,000",,,,,,,,,,,,,,
OperatingExpense,"972,874,000","255,607,000","244,376,000","249,059,000","223,832,000","232,094,000","221,765,000","226,126,000","232,162,000","229,921,000","233,953,000","246,175,000","234,933,000","220,530,000","198,961,000","208,078,000","197,000,000","203,776,000","193,047,000","196,415,000","184,372,000","189,187,000","175,038,000","182,852,000","155,568,000","151,618,000","140,594,000","159,883,000","145,563,000","154,076,000","142,638,000","156,446,000","147,090,000","143,739,000","131,098,000","173,682,000","143,350,000","140,642,000","128,159,000","136,739,000","132,948,000","131,461,000","124,180,000","133,174,000","118,541,000","116,126,000","106,560,000","108,898,000","104,404,000","105,283,000","96,515,000","96,309,000","86,425,000","87,695,000","90,563,000","99,098,000","87,108,000","84,480,000","77,716,000","81,158,000","76,124,000","71,066,000","65,980,000","66,417,000","64,121,000","59,282,000","54,650,000","50,104,000","41,689,000","41,811,000","33,483,000","35,081,000","35,059,000","33,031,000","28,204,000","31,813,000","26,081,000","25,767,000","22,186,000","126,821,000","21,200,000","18,391,000","17,646,000","19,107,000","16,744,000","15,008,000","13,944,000","14,046,000","13,522,000","12,500,000","11,700,000","10,700,000","9,200,000","9,600,000","8,800,000","8,200,000","7,800,000","6,900,000","6,900,000","6,600,000","5,900,000","5,600,000","5,200,000","5,000,000","3,700,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"704,010,000","185,362,000","176,719,000","181,483,000","160,446,000","169,470,000","158,989,000","165,385,000","172,441,000","171,422,000","167,440,000","171,600,000","164,529,000","161,579,000","147,303,000","156,810,000","147,893,000","151,816,000","143,849,000","147,940,000","137,864,000","139,307,000","128,851,000","135,843,000","122,901,000","118,219,000","111,095,000","129,250,000","116,336,000","122,520,000","110,520,000","122,242,000","115,101,000","111,748,000","101,323,000","115,057,000","109,628,000","107,815,000","98,303,000","105,909,000","100,958,000","100,552,000","94,203,000","103,329,000","92,549,000","91,581,000","84,791,000","86,874,000","84,133,000","84,094,000","76,756,000","77,586,000","70,866,000","70,086,000","71,337,000","77,443,000","70,118,000","67,644,000","62,882,000","65,211,000","61,335,000","57,336,000","53,444,000","52,930,000","53,408,000","49,149,000","44,680,000","41,121,000","34,449,000","33,469,000","26,664,000","28,553,000","28,201,000","25,765,000","22,187,000","25,578,000","21,013,000","20,931,000","17,691,000","19,014,000","16,408,000","14,774,000","14,285,000","15,872,000","13,727,000","10,724,000","9,591,000","10,123,000","9,459,000","9,000,000","8,400,000","7,500,000","6,600,000","6,900,000","6,400,000","6,100,000","5,300,000","5,000,000","4,700,000","4,700,000","4,100,000","4,100,000","3,900,000","3,600,000","2,900,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,"238,273,000","62,507,000","59,950,000","59,875,000","55,941,000","54,935,000","54,533,000","52,521,000","51,449,000","49,943,000","48,033,000","51,138,000","47,610,000","43,111,000","38,791,000","39,657,000","37,434,000","40,643,000","37,415,000","36,706,000","35,130,000","38,190,000","34,446,000","34,380,000","28,109,000","28,970,000","27,192,000","28,523,000","27,024,000","29,294,000","30,024,000","31,796,000","29,530,000","29,537,000","27,363,000","31,389,000","31,189,000","30,326,000","27,220,000","27,911,000","28,398,000","27,218,000","26,206,000","26,975,000","23,319,000","21,972,000","19,739,000","19,950,000","18,279,000","19,059,000","17,914,000","16,967,000","13,882,000","14,915,000","17,293,000","17,589,000","15,003,000","14,919,000","13,013,000","14,164,000","13,059,000","12,028,000","10,855,000","11,061,000","9,143,000","8,588,000","8,425,000","8,113,000","7,240,000","8,342,000","6,819,000","6,028,000","6,858,000","7,266,000","6,017,000","6,235,000","5,068,000","4,836,000","4,395,000","4,140,000","3,792,000","3,617,000","3,361,000","3,235,000","3,017,000","2,505,000","2,389,000","2,535,000","2,103,000","2,000,000","1,900,000","1,900,000","1,500,000","1,600,000","1,400,000","1,200,000","1,300,000","1,200,000","1,300,000","1,100,000","1,100,000","900,000","800,000","800,000","600,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"30,591,000","7,738,000","7,707,000","7,701,000","7,445,000","7,689,000","8,243,000","8,220,000","8,272,000","8,556,000","18,480,000","23,437,000","22,794,000","15,840,000","12,867,000","11,611,000","11,673,000","11,317,000","11,783,000","11,769,000","11,378,000","11,690,000","11,741,000","12,629,000","4,558,000","4,429,000","2,307,000","2,110,000","2,203,000","2,262,000","2,094,000","2,408,000","2,459,000","2,454,000","2,412,000","2,471,000","2,533,000","2,501,000","2,636,000","2,919,000","3,592,000","3,691,000","3,771,000","2,870,000","2,673,000","2,573,000","2,030,000","2,074,000","1,992,000","2,130,000","1,845,000","1,756,000","1,677,000","1,694,000","1,933,000","2,066,000","1,987,000","1,917,000","1,821,000","1,783,000","1,730,000","1,702,000","1,681,000","1,666,000","1,570,000","1,545,000","1,545,000",,,,,,,,,,,,,,,,,,"1,965,000","1,779,000","1,964,000","1,388,000","1,960,000","1,500,000","1,400,000","1,300,000","1,100,000","1,100,000","1,000,000","900,000","1,200,000","700,000","900,000","800,000","700,000","600,000","500,000","600,000","200,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"30,591,000","7,738,000","7,707,000","7,701,000","7,445,000","7,689,000","8,243,000","8,220,000","8,272,000","8,556,000","18,480,000","23,437,000","22,794,000","15,840,000","12,867,000","11,611,000","11,673,000","11,317,000","11,783,000","11,769,000","11,378,000","11,690,000","11,741,000","12,629,000","4,558,000","4,429,000","2,307,000","2,110,000","2,203,000","2,262,000","2,094,000","2,408,000","2,459,000","2,454,000","2,412,000","2,471,000","2,533,000","2,501,000","2,636,000","2,919,000","3,592,000","3,691,000","3,771,000","2,870,000","2,673,000","2,573,000","2,030,000","2,074,000","1,992,000","2,130,000","1,845,000","1,756,000","1,677,000","1,694,000","1,933,000","2,066,000","1,987,000","1,917,000","1,821,000","1,783,000","1,730,000","1,702,000","1,681,000","1,666,000","1,570,000","1,545,000","1,545,000",,,,,,,,,,,,,,,,,,"1,965,000","1,779,000","1,964,000","1,388,000","1,960,000","1,500,000","1,400,000","1,300,000","1,100,000","1,100,000","1,000,000","900,000","1,200,000","700,000","900,000","800,000","700,000","600,000","500,000","600,000","200,000",,,,,,,,,,,,,,
			Amortization,"30,591,000","7,738,000","7,707,000","7,701,000","7,445,000","7,689,000","8,243,000","8,220,000","8,272,000","8,556,000","18,480,000","23,437,000","22,794,000","15,840,000","12,867,000","11,611,000","11,673,000","11,317,000","11,783,000","11,769,000","11,378,000","11,690,000","11,741,000","12,629,000","4,558,000","4,429,000","2,307,000","2,110,000","2,203,000","2,262,000","2,094,000","2,408,000","2,459,000","2,454,000","2,412,000","2,471,000","2,533,000","2,501,000","2,636,000","2,919,000","3,592,000","3,691,000","3,771,000","2,870,000","2,673,000","2,573,000","2,030,000","2,074,000","1,992,000","2,130,000","1,845,000","1,756,000","1,677,000","1,694,000","1,933,000","2,066,000","1,987,000","1,917,000","1,821,000","1,783,000","1,730,000","1,702,000","1,681,000","1,666,000","1,570,000","1,545,000","1,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
