name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,289,400,000","1,857,300,000","1,807,800,000","1,848,200,000","1,776,100,000","1,565,300,000","1,570,000,000","1,394,000,000","1,681,300,000","1,684,500,000","1,730,200,000","1,665,100,000","1,657,200,000","1,642,300,000","1,729,500,000","1,698,700,000","1,651,200,000","1,586,600,000","1,667,500,000","1,599,200,000","1,554,300,000","1,490,300,000","1,538,600,000","1,474,000,000","1,440,300,000","1,426,600,000","1,607,500,000","1,575,200,000","1,550,800,000","1,574,400,000","1,781,800,000","1,649,500,000","1,600,500,000","1,591,700,000","1,715,700,000","1,624,200,000","1,522,800,000","1,489,200,000","1,664,000,000","1,560,400,000","1,561,100,000","1,473,900,000","1,654,300,000","1,516,200,000","1,464,100,000","1,365,800,000","1,356,900,000","1,268,100,000","1,164,500,000","1,067,500,000","1,074,400,000","1,010,800,000","1,058,100,000","1,189,200,000","1,484,300,000","1,475,000,000","1,406,600,000","1,331,900,000","1,370,500,000","1,280,600,000","1,206,500,000","1,146,300,000","1,453,700,000","1,428,400,000","1,377,900,000","1,301,400,000","1,335,200,000","1,264,700,000","1,218,400,000","1,184,900,000","1,119,000,000","1,163,500,000","1,112,900,000","1,015,700,000","1,058,000,000","1,033,000,000","1,029,000,000","984,000,000","1,017,000,000","995,000,000","965,000,000","938,000,000","1,005,000,000","1,027,000,000","1,163,000,000","1,107,000,000","1,887,000,000","1,820,000,000","1,784,000,000","1,660,000,000","1,926,000,000","1,808,000,000","1,701,000,000","1,608,000,000","1,812,000,000","1,664,000,000","1,941,000,000","1,979,000,000","2,081,000,000","1,929,000,000","1,899,000,000","2,608,000,000","400,000,000","3,489,000,000","3,464,000,000","3,094,000,000","3,662,700,000","3,452,400,000","3,361,000,000","2,623,000,000","2,970,000,000","2,872,300,000","2,761,500,000","2,601,000,000","2,843,900,000","2,813,400,000","2,694,000,000","2,488,600,000","2,888,600,000","2,702,900,000","2,758,000,000","2,560,400,000","3,021,100,000","2,978,100,000","2,990,300,000","2,937,900,000","3,216,800,000","3,126,300,000","3,150,700,000","2,884,900,000","3,275,000,000","3,212,100,000","3,161,700,000","2,869,300,000","3,156,800,000","3,072,600,000","3,035,400,000","2,681,500,000","3,066,400,000","3,021,000,000","3,168,000,000","2,868,000,000","3,325,700,000","3,126,000,000","3,077,000,000","2,767,000,000","3,183,500,000"
	OperatingRevenue,"7,289,400,000","1,857,300,000","1,807,800,000","1,848,200,000","1,776,100,000","1,565,300,000","1,570,000,000","1,394,000,000","1,681,300,000","1,684,500,000","1,730,200,000","1,665,100,000","1,657,200,000","1,642,300,000","1,729,500,000","1,698,700,000","1,651,200,000","1,586,600,000","1,667,500,000","1,599,200,000","1,554,300,000","1,490,300,000","1,538,600,000","1,474,000,000","1,440,300,000","1,426,600,000","1,607,500,000","1,575,200,000","1,550,800,000","1,574,400,000","1,781,800,000","1,649,500,000","1,600,500,000","1,591,700,000","1,715,700,000","1,624,200,000","1,522,800,000","1,489,200,000","1,664,000,000","1,560,400,000","1,561,100,000","1,473,900,000","1,654,300,000","1,516,200,000","1,464,100,000","1,365,800,000","1,356,900,000","1,268,100,000","1,164,500,000","1,067,500,000","1,074,400,000","1,010,800,000","1,058,100,000","1,189,200,000","1,484,300,000","1,475,000,000","1,406,600,000","1,331,900,000","1,370,500,000","1,280,600,000","1,206,500,000","1,146,300,000","1,453,700,000","1,428,400,000","1,377,900,000","1,301,400,000","1,335,200,000","1,264,700,000","1,218,400,000","1,184,900,000","1,119,000,000","1,163,500,000","1,112,900,000","1,015,700,000","1,058,000,000","1,033,000,000","1,029,000,000","984,000,000","1,017,000,000","995,000,000","958,000,000","938,000,000","988,000,000","1,021,000,000","1,163,000,000","1,107,000,000","1,887,000,000","1,820,000,000","1,784,000,000","1,660,000,000","1,926,000,000","1,808,000,000","1,701,000,000","1,608,000,000","1,812,000,000","1,664,000,000","1,941,000,000","1,979,000,000","2,081,000,000","1,929,000,000","1,899,000,000","2,608,000,000","400,000,000","3,489,000,000","3,464,000,000","3,094,000,000","3,662,700,000","3,452,400,000","3,361,000,000","2,623,000,000","2,970,000,000","2,872,300,000","2,761,500,000","2,601,000,000","2,843,900,000","2,813,400,000","2,694,000,000","2,488,600,000","2,888,600,000","2,702,900,000","2,758,000,000","2,560,400,000","3,021,100,000","2,978,100,000","2,990,300,000","2,937,900,000","3,216,800,000","3,126,300,000","3,150,700,000","2,884,900,000","3,275,000,000","3,212,100,000","3,161,700,000","2,869,300,000","3,156,800,000","3,072,600,000","3,035,400,000","2,681,500,000","3,066,400,000","3,021,000,000","3,168,000,000","2,868,000,000","3,325,700,000","3,126,000,000","3,077,000,000","2,767,000,000","3,183,500,000"
CostOfRevenue,"4,289,100,000","1,108,200,000","1,088,400,000","1,083,800,000","1,008,700,000","918,800,000","930,700,000","839,800,000","982,500,000","981,600,000","1,007,300,000","934,800,000","949,000,000","903,600,000","996,900,000","957,000,000","950,400,000","889,500,000","1,019,800,000","921,500,000","897,800,000","848,000,000","886,700,000","857,200,000","846,200,000","813,900,000","943,300,000","897,000,000","877,600,000","886,900,000","1,028,900,000","968,000,000","944,700,000","928,000,000","1,018,500,000","971,300,000","906,400,000","881,900,000","1,009,800,000","928,900,000","942,800,000","855,200,000","991,100,000","909,400,000","887,600,000","821,900,000","827,700,000","760,800,000","691,400,000","640,700,000","709,100,000","640,600,000","694,500,000","718,800,000","896,000,000","869,400,000","835,300,000","756,400,000","796,400,000","729,500,000","732,000,000","648,700,000","887,900,000","863,200,000","829,000,000","786,900,000","827,100,000","783,700,000","762,500,000","735,800,000","719,300,000","740,400,000","713,100,000","675,500,000","707,000,000","689,000,000","693,000,000","663,000,000","698,000,000","670,000,000","659,000,000","646,000,000","718,000,000","791,000,000","778,000,000","744,000,000","1,213,000,000","1,161,000,000","1,135,000,000","1,038,000,000","1,243,000,000","1,160,000,000","1,100,000,000","1,067,000,000","739,000,000","1,657,000,000","1,281,000,000","1,284,000,000","1,349,000,000","1,252,000,000","1,244,000,000","1,801,000,000","261,000,000","2,455,000,000","2,444,000,000","2,175,000,000","2,569,100,000","2,512,600,000","2,433,000,000","1,911,300,000","2,138,400,000","2,092,500,000","2,039,000,000","1,911,400,000","2,089,300,000","2,089,700,000","2,010,500,000","1,858,100,000","2,169,800,000","2,042,100,000","2,115,200,000","1,924,300,000","2,284,300,000","2,225,800,000","2,231,600,000","2,200,800,000","2,409,800,000","2,255,100,000","2,364,200,000","2,168,000,000","2,536,800,000","2,379,200,000",,,,,,,,,,,,,,,
GrossProfit,"3,000,300,000","749,100,000","719,400,000","764,400,000","767,400,000","646,500,000","639,300,000","554,200,000","698,800,000","702,900,000","722,900,000","730,300,000","708,200,000","738,700,000","732,600,000","741,700,000","700,800,000","697,100,000","647,700,000","677,700,000","656,500,000","642,300,000","651,900,000","616,800,000","594,100,000","612,700,000","664,200,000","678,200,000","673,200,000","687,500,000","752,900,000","681,500,000","655,800,000","663,700,000","697,200,000","652,900,000","616,400,000","607,300,000","654,200,000","631,500,000","618,300,000","618,700,000","663,200,000","606,800,000","576,500,000","543,900,000","529,200,000","507,300,000","473,100,000","426,800,000","365,300,000","370,200,000","363,600,000","470,400,000","588,300,000","605,600,000","571,300,000","575,500,000","574,100,000","551,100,000","474,500,000","497,600,000","565,800,000","565,200,000","548,900,000","514,500,000","508,100,000","481,000,000","455,900,000","449,100,000","399,700,000","423,100,000","399,800,000","340,200,000","351,000,000","344,000,000","336,000,000","321,000,000","319,000,000","325,000,000","306,000,000","292,000,000","287,000,000","236,000,000","385,000,000","363,000,000","674,000,000","659,000,000","649,000,000","622,000,000","683,000,000","648,000,000","601,000,000","541,000,000","1,073,000,000","7,000,000","660,000,000","695,000,000","732,000,000","677,000,000","655,000,000","807,000,000","139,000,000","1,034,000,000","1,020,000,000","919,000,000","1,093,600,000","939,800,000","928,000,000","711,700,000","831,600,000","779,800,000","722,500,000","689,600,000","754,600,000","723,700,000","683,500,000","630,500,000","718,800,000","660,800,000","642,800,000","636,100,000","736,800,000","752,300,000","758,700,000","737,100,000","807,000,000","871,200,000","786,500,000","716,900,000","738,200,000","832,900,000",,,,,,,,,,,,,,,
OperatingExpense,"1,752,900,000","447,500,000","447,200,000","436,900,000","421,300,000","374,600,000","354,400,000","370,200,000","352,000,000","403,200,000","405,100,000","361,700,000","385,000,000","386,700,000","418,300,000","402,200,000","389,200,000","389,300,000","425,500,000","386,800,000","409,200,000","370,000,000","402,100,000","346,700,000","358,700,000","359,900,000","360,700,000","376,400,000","382,400,000","386,900,000","397,800,000","394,400,000","392,500,000","385,400,000","403,700,000","383,700,000","376,800,000","373,500,000","386,400,000","369,800,000","373,100,000","362,400,000","390,200,000","370,000,000","356,100,000","347,000,000","354,300,000","333,300,000","323,200,000","312,500,000","316,800,000","305,000,000","292,800,000","313,400,000","397,600,000","377,600,000","358,300,000","348,600,000","340,200,000","319,700,000","325,600,000","293,100,000","326,500,000","330,700,000","322,600,000","295,500,000","307,900,000","286,600,000","263,300,000","263,000,000","245,600,000","277,400,000","278,400,000","257,200,000","249,000,000","253,000,000","254,000,000","251,000,000","234,000,000","244,000,000","235,000,000","240,000,000","250,000,000","272,000,000","263,000,000","256,000,000","438,000,000","421,000,000","416,000,000","382,000,000","452,000,000","415,000,000","381,000,000","359,000,000","384,000,000","472,000,000","508,000,000","577,000,000","549,000,000","497,000,000","420,000,000","532,000,000","343,000,000","638,000,000","620,000,000","556,000,000","660,900,000","594,100,000","583,600,000","438,400,000","526,600,000","494,300,000","454,300,000","430,300,000","536,300,000","467,900,000","450,100,000","410,800,000","492,000,000","467,100,000","477,100,000","453,700,000","509,900,000","496,500,000","499,800,000","480,400,000","556,200,000","582,300,000","483,200,000","447,400,000","572,200,000","525,500,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,752,900,000","447,500,000","447,200,000","436,900,000","421,300,000","374,600,000","354,400,000","370,200,000","352,000,000","403,200,000","405,100,000","361,700,000","385,000,000","386,700,000","418,300,000","402,200,000","389,200,000","389,300,000","425,500,000","386,800,000","409,200,000","370,000,000","402,100,000","346,700,000","358,700,000","359,900,000","360,700,000","376,400,000","382,400,000","386,900,000","397,800,000","394,400,000","392,500,000","385,400,000","403,700,000","383,700,000","376,800,000","373,500,000","386,400,000","369,800,000","373,100,000","362,400,000","388,100,000","370,000,000","356,100,000","347,000,000","354,300,000","333,300,000","323,200,000","312,500,000","316,800,000","305,000,000","292,800,000","313,400,000","397,600,000","377,600,000","358,300,000","348,600,000","340,200,000","319,700,000","325,600,000","293,100,000","326,500,000","330,700,000","322,600,000","295,500,000","307,900,000","286,600,000","263,300,000","263,000,000","245,600,000","277,400,000","278,400,000","257,200,000","249,000,000","253,000,000","254,000,000","251,000,000","234,000,000","244,000,000","235,000,000","240,000,000","250,000,000","272,000,000","263,000,000","256,000,000","340,000,000","327,000,000","324,000,000","297,000,000","351,000,000","330,000,000","298,000,000","291,000,000","212,000,000","472,000,000","381,000,000","356,000,000","384,000,000","348,000,000","339,000,000","390,000,000","267,000,000","464,000,000","473,000,000","411,000,000","496,400,000","445,800,000","444,700,000","319,100,000","393,500,000","369,200,000","335,400,000","313,500,000","409,600,000","345,200,000","328,100,000","291,300,000","345,800,000","334,000,000","335,100,000","316,900,000","353,600,000","347,000,000","351,600,000","333,000,000","384,600,000","431,300,000","304,200,000","329,000,000","404,700,000","376,500,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,000,000","23,000,000","30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,000,000","94,000,000","92,000,000","85,000,000","101,000,000","85,000,000","83,000,000","68,000,000","69,000,000",,"127,000,000","118,000,000","142,000,000","119,000,000","81,000,000","142,000,000","76,000,000","174,000,000","147,000,000","145,000,000","164,500,000","148,300,000","138,900,000","119,300,000","133,100,000","125,100,000","118,900,000","116,800,000","126,700,000","122,700,000","122,000,000","119,500,000","146,200,000","133,100,000","142,000,000","136,800,000","156,300,000","149,500,000","148,200,000","147,400,000","171,600,000","151,000,000","179,000,000","118,400,000","167,500,000","149,000,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,000,000","94,000,000","92,000,000","85,000,000","101,000,000","85,000,000","83,000,000","68,000,000","69,000,000",,"127,000,000","118,000,000","142,000,000","119,000,000","81,000,000","142,000,000","76,000,000","174,000,000","147,000,000","145,000,000","164,500,000","148,300,000","138,900,000","119,300,000","133,100,000","125,100,000","118,900,000","116,800,000","126,700,000","122,700,000","122,000,000","119,500,000","146,200,000","133,100,000","142,000,000","136,800,000","156,300,000","149,500,000","148,200,000","147,400,000","171,600,000","151,000,000","179,000,000","118,400,000","167,500,000","149,000,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
