name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991
TotalRevenue,"5,777,800,000","1,512,300,000","1,462,800,000","1,587,600,000","1,528,600,000","1,505,300,000","1,366,100,000","1,305,000,000","1,350,700,000","1,394,800,000","1,354,500,000","1,330,300,000","1,287,200,000","1,376,300,000","1,318,700,000","1,293,700,000","1,202,500,000","1,226,583,000","1,159,912,000","1,134,671,000","1,086,305,000","1,010,800,000","945,144,000","931,558,000","902,423,000","943,640,000","883,933,000","889,541,000","865,281,000","946,145,000","884,122,000","885,175,000","834,052,000","889,173,000","827,810,000","784,010,000","737,135,000","809,910,000","747,641,000","724,872,000","711,066,000","739,204,000","712,705,000","699,871,000","645,309,000","679,479,000","605,088,000","567,104,000","534,441,000","553,638,000","485,676,000","504,910,000","505,444,000","575,862,000","593,100,000","594,414,000","542,995,000","560,084,000","532,902,000","530,636,000","478,427,000","465,484,000","427,217,000","425,310,000","382,723,000","393,166,000","365,164,000","361,564,000","333,837,000","276,549,000","240,141,000","232,434,000","220,640,000","169,794,000","172,064,000","165,627,000","165,527,000","138,311,000","168,997,000","154,640,000","153,809,000","149,584,000","164,043,000","137,969,000","146,830,000","137,664,000","147,002,000","124,583,000","122,775,000","109,500,000","113,700,000","104,100,000","100,500,000","89,100,000","105,700,000","97,400,000","96,000,000","90,100,000","87,500,000","88,500,000","67,000,000","55,100,000","65,800,000","59,900,000","47,100,000","52,900,000","54,100,000","47,100,000","39,800,000","34,400,000","43,100,000","32,700,000","38,400,000","33,500,000","43,200,000","41,100,000","28,500,000","19,700,000","20,400,000","17,300,000","17,500,000","14,500,000","18,600,000","18,800,000","18,800,000","18,800,000"
	OperatingRevenue,"5,777,800,000","1,512,300,000","1,462,800,000","1,587,600,000","1,528,600,000","1,505,300,000","1,366,100,000","1,305,000,000","1,350,700,000","1,394,800,000","1,354,500,000","1,330,300,000","1,287,200,000","1,376,300,000","1,318,700,000","1,293,700,000","1,202,500,000","1,226,583,000","1,159,912,000","1,134,671,000","1,086,305,000","1,010,800,000","945,144,000","931,558,000","902,423,000","943,640,000","883,933,000","889,541,000","865,281,000","946,145,000","884,122,000","885,175,000","834,052,000","889,173,000","827,810,000","784,010,000","737,135,000","809,910,000","747,641,000","724,872,000","711,066,000","739,204,000","712,705,000","699,871,000","645,309,000","679,479,000","605,088,000","567,104,000","534,441,000","553,638,000","485,676,000","504,910,000","505,444,000","575,862,000","593,100,000","594,414,000","542,995,000","560,084,000","532,902,000","530,636,000","478,427,000","465,484,000","427,217,000","425,310,000","382,723,000","393,166,000","365,164,000","361,564,000","333,837,000","276,549,000","240,141,000","232,434,000","220,640,000","169,794,000","172,064,000","165,627,000","165,527,000","138,311,000","168,997,000","154,640,000","153,809,000","149,584,000","164,043,000","137,969,000","146,830,000","137,664,000","147,002,000","124,583,000","122,775,000","109,500,000","113,700,000","104,100,000","100,500,000","89,100,000","105,700,000","97,400,000","96,000,000","90,100,000","87,500,000","88,500,000","67,000,000","55,100,000","65,800,000","59,900,000","47,100,000","52,900,000","54,100,000","47,100,000","39,800,000","34,400,000","43,100,000","32,700,000","38,400,000","33,500,000","43,200,000","41,100,000","28,500,000","19,700,000","20,400,000","17,300,000","17,500,000","14,500,000","18,600,000","18,800,000","18,800,000","18,800,000"
CostOfRevenue,"1,860,400,000","494,300,000","466,700,000","553,500,000","534,800,000","538,700,000","490,200,000","461,300,000","493,900,000","501,900,000","480,900,000","480,300,000","476,600,000","503,200,000","478,700,000","477,800,000","452,000,000","461,471,000","433,492,000","429,021,000","418,691,000","383,922,000","366,651,000","364,038,000","342,904,000","364,549,000","350,450,000","355,630,000","347,120,000","380,404,000","360,082,000","361,993,000","345,116,000","355,953,000","345,185,000","338,503,000","315,559,000","343,549,000","331,086,000","327,264,000","319,873,000","333,355,000","330,149,000","322,808,000","295,213,000","307,614,000","283,339,000","265,157,000","254,876,000","262,226,000","240,156,000","249,840,000","254,308,000","278,054,000","284,340,000","289,084,000","266,605,000","274,011,000","261,123,000","268,241,000","240,279,000","229,689,000","208,967,000","210,427,000","190,326,000","194,082,000","180,407,000","181,622,000","171,213,000","136,528,000","120,570,000","116,419,000","111,202,000","80,714,000","78,894,000","77,161,000","79,517,000","66,888,000","77,974,000","71,853,000","70,729,000","70,155,000","74,291,000","64,150,000","72,925,000","61,322,000","67,992,000","54,802,000","52,276,000","47,600,000","49,800,000","45,700,000","43,700,000","41,500,000","53,100,000","45,300,000","44,100,000","41,300,000","33,900,000","43,700,000","30,000,000","25,700,000","23,000,000","30,300,000","24,600,000","23,900,000","17,300,000","21,600,000","8,400,000","16,600,000","13,300,000","17,000,000","16,400,000","17,300,000","16,000,000","18,700,000","14,500,000","9,800,000","6,700,000","9,900,000","10,400,000",,,,,
GrossProfit,"3,917,400,000","1,018,000,000","996,100,000","1,034,100,000","993,800,000","966,600,000","875,900,000","843,700,000","856,800,000","892,900,000","873,600,000","850,000,000","810,600,000","873,100,000","840,000,000","815,900,000","750,500,000","765,112,000","726,420,000","705,650,000","667,614,000","626,878,000","578,493,000","567,520,000","559,519,000","579,091,000","533,483,000","533,911,000","518,161,000","565,741,000","524,040,000","523,182,000","488,936,000","533,220,000","482,625,000","445,507,000","421,576,000","466,361,000","416,555,000","397,608,000","391,193,000","405,849,000","382,556,000","377,063,000","350,096,000","371,865,000","321,749,000","301,947,000","279,565,000","291,412,000","245,520,000","255,070,000","251,136,000","297,808,000","308,760,000","305,330,000","276,390,000","286,073,000","271,779,000","262,395,000","238,148,000","235,795,000","218,250,000","214,883,000","192,397,000","199,084,000","184,757,000","179,942,000","162,624,000","140,021,000","119,571,000","116,015,000","109,438,000","89,080,000","93,170,000","88,466,000","86,010,000","71,423,000","91,023,000","82,787,000","83,080,000","79,429,000","89,752,000","73,819,000","73,905,000","76,342,000","79,010,000","69,781,000","70,499,000","61,900,000","63,900,000","58,400,000","56,800,000","47,600,000","52,600,000","52,100,000","51,900,000","48,800,000","53,600,000","44,800,000","37,000,000","29,400,000","42,800,000","29,600,000","22,500,000","29,000,000","36,800,000","25,500,000","31,400,000","17,800,000","29,800,000","15,700,000","22,000,000","16,200,000","27,200,000","22,400,000","14,000,000","9,900,000","13,700,000","7,400,000","7,100,000",,,,,
OperatingExpense,"2,337,700,000","597,900,000","592,600,000","616,100,000","593,300,000","585,900,000","508,300,000","510,100,000","507,600,000","494,500,000","488,400,000","481,600,000","464,200,000","508,700,000","462,500,000","461,600,000","450,300,000","418,129,000","415,673,000","411,392,000","409,358,000","337,774,000","311,103,000","314,442,000","314,528,000","300,414,000","283,112,000","281,937,000","271,265,000","281,992,000","278,382,000","276,516,000","265,536,000","275,131,000","263,276,000","265,761,000","236,399,000","241,119,000","233,298,000","218,824,000","220,889,000","218,495,000","215,341,000","213,093,000","208,096,000","205,707,000","193,516,000","182,760,000","178,849,000","170,644,000","153,648,000","159,106,000","164,344,000","178,753,000","176,461,000","178,789,000","168,124,000","163,264,000","158,041,000","154,439,000","145,297,000","138,530,000","130,730,000","129,491,000","124,921,000","118,217,000","114,981,000","117,550,000","110,760,000","87,819,000","74,151,000","75,307,000","76,466,000","59,776,000","60,649,000","60,488,000","60,156,000","55,554,000","59,250,000","54,830,000","52,628,000","54,782,000","60,617,000","50,515,000","51,533,000","54,478,000","52,299,000","49,012,000","47,023,000","44,600,000","40,600,000","37,200,000","36,600,000","34,000,000","39,900,000","34,100,000","34,200,000","31,000,000","38,300,000","25,400,000","20,500,000","19,600,000","29,200,000","18,200,000","13,700,000","15,400,000","22,600,000","14,700,000","24,300,000","12,500,000","18,300,000","10,600,000","11,800,000","10,100,000","15,900,000","11,000,000","9,000,000","7,300,000","9,900,000","4,300,000","6,200,000",,,,,
	SellingGeneralAndAdministration,"2,337,700,000","597,900,000","592,600,000","616,100,000","593,300,000","585,900,000","508,300,000","510,100,000","507,600,000","494,500,000","488,400,000","481,600,000","464,200,000","508,700,000","462,500,000","461,600,000","450,300,000","418,129,000","415,673,000","411,392,000","409,358,000","337,774,000","311,103,000","314,442,000","314,528,000","300,414,000","283,112,000","281,937,000","271,265,000","281,992,000","278,382,000","276,516,000","265,536,000","275,131,000","263,276,000","265,761,000","236,399,000","241,119,000","233,298,000","218,824,000","220,889,000","218,495,000","215,341,000","213,093,000","208,096,000","205,707,000","193,516,000","182,760,000","178,849,000","170,644,000","153,648,000","159,106,000","164,344,000","178,753,000","176,461,000","178,789,000","168,124,000","162,264,000","158,041,000","154,439,000","145,297,000","138,530,000","130,730,000","129,491,000","124,921,000","118,217,000","114,981,000","117,550,000","110,760,000","87,819,000","74,151,000","75,307,000","76,466,000","59,776,000","60,649,000","60,488,000","60,156,000","55,554,000","59,250,000","54,830,000","52,628,000","54,782,000","60,617,000","50,515,000","51,533,000","47,877,000","45,911,000","43,205,000","41,420,000","40,100,000","36,500,000","33,100,000","32,700,000","30,100,000","36,100,000","30,300,000","30,700,000","27,700,000","26,900,000","25,400,000","20,500,000","19,600,000","21,300,000","18,200,000","13,700,000","15,400,000","16,600,000","14,700,000","12,600,000","12,500,000","13,000,000","10,600,000","11,800,000","10,100,000","10,800,000","11,000,000","9,000,000","7,300,000","5,500,000","4,300,000","6,200,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,753,000","6,601,000","6,388,000","5,807,000","5,603,000","4,500,000","4,100,000","4,100,000","3,900,000","3,900,000","3,800,000","3,800,000","3,500,000","3,300,000",,,,,,,,,,,"11,700,000",,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,753,000","6,601,000","6,388,000","5,807,000","5,603,000","4,500,000","4,100,000","4,100,000","3,900,000","3,900,000","3,800,000","3,800,000","3,500,000","3,300,000",,,,,,,,,,,"11,700,000",,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,753,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,579,700,000","420,100,000","403,500,000","418,000,000","400,500,000","380,700,000","367,600,000","333,600,000","349,200,000","398,400,000","385,200,000","368,400,000","346,400,000","364,400,000","377,500,000","354,300,000","300,200,000","346,983,000","310,747,000","294,258,000","258,256,000","289,104,000","267,390,000","253,078,000","244,991,000","278,677,000","250,371,000","251,974,000","246,896,000","283,749,000","245,658,000","246,666,000","223,400,000","258,089,000","219,349,000","179,746,000","185,177,000","225,242,000","183,257,000","178,784,000","170,304,000","187,354,000","167,215,000","163,970,000","142,000,000","166,158,000","128,233,000","119,187,000","100,716,000","120,768,000","91,872,000","95,964,000","86,792,000","119,055,000","132,299,000","126,541,000","108,266,000","122,809,000","113,738,000","107,956,000","92,851,000","97,265,000","87,520,000","85,392,000","67,476,000","80,867,000","69,776,000","62,392,000","51,864,000","52,202,000","45,420,000","40,708,000","32,972,000","29,304,000","32,521,000","27,978,000","25,854,000","15,869,000","31,773,000","27,957,000","30,452,000","24,647,000","29,135,000","23,304,000","22,372,000","21,864,000","26,711,000","20,769,000","23,476,000","17,300,000","23,300,000","21,200,000","20,200,000","13,600,000","12,700,000","18,000,000","17,700,000","17,800,000","15,300,000","19,400,000","16,500,000","9,800,000","13,600,000","11,400,000","8,800,000","13,600,000","14,200,000","10,800,000","7,100,000","5,300,000","11,500,000","5,100,000","10,200,000","6,100,000","11,300,000","11,400,000","5,000,000","2,600,000","3,800,000","3,100,000","900,000","14,500,000","-43,700,000","18,800,000","18,800,000","18,800,000"
