name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"64,388,000,000","17,044,000,000","16,213,000,000","15,880,000,000","15,251,000,000","16,419,000,000","14,747,000,000","14,061,000,000","18,210,000,000","19,551,000,000","19,496,000,000","19,634,000,000","18,365,000,000","18,044,000,000","16,510,000,000","16,705,000,000","15,242,000,000","15,680,000,000","15,062,000,000","15,280,000,000","13,815,000,000","14,659,000,000","14,354,000,000","14,874,000,000","13,357,000,000","14,300,000,000","13,788,000,000","16,333,000,000","14,541,000,000","16,996,000,000","16,168,000,000","17,191,000,000","14,745,000,000","16,759,000,000","15,462,000,000","16,006,000,000","14,399,000,000","16,443,000,000","15,042,000,000","13,807,000,000","12,424,000,000","14,966,000,000","14,804,000,000","15,076,000,000","13,344,000,000","14,818,000,000","13,527,000,000","13,890,000,000","12,091,000,000","14,100,000,000","13,375,000,000","13,196,000,000","12,249,000,000","14,499,000,000","14,814,000,000","15,667,000,000","13,701,000,000","14,714,000,000","13,863,000,000","13,904,000,000","12,278,000,000","12,787,000,000","12,163,000,000","12,264,000,000","10,615,000,000","11,261,000,000","10,905,000,000","11,152,000,000","9,407,000,000","9,838,000,000","9,339,000,000","9,622,000,000","8,646,000,000","8,588,000,000","7,954,000,000","7,790,000,000","6,702,000,000","7,215,000,000","7,299,000,000","7,324,000,000","6,374,000,000","6,974,000,000","6,920,000,000","7,332,000,000","6,671,000,000","6,689,000,000","6,339,000,000","6,871,000,000","6,307,000,000","6,410,000,000","6,068,000,000","5,984,000,000","5,382,000,000","6,543,000,000","6,440,000,000","6,680,000,000","6,024,000,000","6,241,000,000","5,936,000,000","6,432,000,000","5,886,000,000","6,015,000,000","5,908,000,000","6,002,000,000","5,449,000,000","5,928,000,000","5,604,000,000","5,774,000,000","5,318,000,000","5,615,000,000","5,135,000,000","5,306,000,000","4,745,000,000","5,174,000,000","5,128,000,000","5,508,000,000","4,864,000,000","5,755,000,000","5,375,000,000","5,736,000,000","5,166,000,000","5,807,800,000","5,273,800,000","5,376,900,000","4,803,500,000","5,945,600,000","5,346,300,000","5,689,800,000","4,730,700,000","5,169,300,000","4,709,900,000","5,273,800,000","4,464,800,000","5,174,700,000","4,356,000,000","4,360,100,000","4,109,300,000","4,735,100,000","4,212,600,000","4,285,200,000","3,937,300,000","4,401,400,000","3,848,600,000","4,006,500,000","3,503,300,000","4,202,700,000","3,412,200,000"
	OperatingRevenue,"64,388,000,000","17,044,000,000","16,213,000,000","15,880,000,000","15,251,000,000","16,419,000,000","14,747,000,000","14,061,000,000","18,210,000,000","19,551,000,000","19,496,000,000","19,634,000,000","18,365,000,000","18,044,000,000","16,510,000,000","16,705,000,000","15,242,000,000","15,680,000,000","15,062,000,000","15,280,000,000","13,815,000,000","14,659,000,000","14,354,000,000","14,874,000,000","13,357,000,000","14,300,000,000","13,788,000,000","16,333,000,000","14,541,000,000","16,996,000,000","16,168,000,000","17,191,000,000","14,745,000,000","16,759,000,000","15,462,000,000","16,006,000,000","14,399,000,000","16,443,000,000","15,042,000,000","13,807,000,000","12,424,000,000","14,966,000,000","14,804,000,000","15,076,000,000","13,344,000,000","14,864,000,000","13,620,000,000","13,802,000,000","12,040,000,000","13,979,000,000","13,187,000,000","13,060,000,000","12,199,000,000","14,229,000,000","14,702,000,000","15,535,000,000","13,577,000,000","15,339,000,000","13,718,000,000","13,766,000,000","11,936,000,000","12,654,000,000","11,972,000,000","12,046,000,000","10,446,000,000","11,172,000,000","10,823,000,000","10,974,000,000","9,309,000,000","9,640,000,000","9,248,000,000","9,455,000,000","8,357,000,000","8,487,000,000","7,875,000,000","7,708,000,000","6,653,000,000","7,138,000,000","7,250,000,000","7,271,000,000","6,321,000,000","6,894,000,000","6,734,000,000","7,260,000,000","6,597,000,000","6,689,000,000","6,339,000,000","6,871,000,000","6,307,000,000","6,410,000,000","6,068,000,000","5,984,000,000","5,382,000,000","6,543,000,000","6,440,000,000","6,680,000,000","6,024,000,000","6,241,000,000","5,936,000,000","6,432,000,000","5,886,000,000","6,015,000,000","5,908,000,000","6,002,000,000","5,449,000,000","5,928,000,000","5,604,000,000","5,774,000,000","5,318,000,000","5,615,000,000","5,135,000,000","5,306,000,000","4,745,000,000","5,174,000,000","5,128,000,000","5,508,000,000","4,864,000,000","5,755,000,000","5,375,000,000","5,736,000,000","5,166,000,000","5,807,800,000","5,273,800,000","5,376,900,000","4,803,500,000","5,945,600,000","5,346,300,000","5,689,800,000","4,730,700,000","5,169,300,000","4,709,900,000","5,273,800,000","4,464,800,000","5,174,700,000","4,356,000,000","4,360,100,000","4,109,300,000","4,735,100,000","4,212,600,000","4,285,200,000","3,937,300,000","4,401,400,000","3,848,600,000","4,006,500,000","3,503,300,000","4,202,700,000","3,412,200,000"
CostOfRevenue,"51,897,000,000","13,616,000,000","13,089,000,000","12,655,000,000","12,537,000,000","14,266,000,000","13,004,000,000","12,214,000,000","13,408,000,000","14,734,000,000","14,211,000,000","14,413,000,000","13,707,000,000","13,747,000,000","12,536,000,000","12,422,000,000","11,280,000,000","11,733,000,000","11,043,000,000","11,100,000,000","10,077,000,000","10,723,000,000","10,342,000,000","10,741,000,000","9,654,000,000","10,653,000,000","9,800,000,000","11,825,000,000","10,523,000,000","12,360,000,000","11,466,000,000","12,931,000,000","10,690,000,000","12,284,000,000","11,020,000,000","11,552,000,000","10,465,000,000","12,286,000,000","11,003,000,000","9,934,000,000","8,941,000,000","10,851,000,000","10,756,000,000","10,905,000,000","9,641,000,000","11,000,000,000","9,667,000,000","10,015,000,000","8,732,000,000","10,317,000,000","9,836,000,000","9,601,000,000","9,107,000,000","10,557,000,000","10,664,000,000","11,359,000,000","9,981,000,000","10,729,000,000","10,068,000,000","10,129,000,000","8,996,000,000","9,521,000,000","8,794,000,000","8,775,000,000","7,650,000,000","8,239,000,000","7,891,000,000","7,990,000,000","6,815,000,000","7,183,000,000","6,797,000,000","6,971,000,000","6,270,000,000","6,310,000,000","5,713,000,000","5,619,000,000","4,866,000,000","5,248,000,000","5,238,000,000","5,190,000,000","4,485,000,000","5,168,000,000","4,923,000,000","4,959,000,000","4,590,000,000","4,610,000,000","4,315,000,000","4,770,000,000","4,416,000,000","4,749,000,000","4,648,000,000","4,150,000,000","3,794,000,000","4,681,000,000","4,579,000,000","4,764,000,000","4,398,000,000","4,529,000,000","4,281,000,000","4,669,000,000","4,325,000,000","4,377,000,000","4,265,000,000","4,343,000,000","4,000,000,000","4,383,000,000","4,125,000,000","4,272,000,000","3,976,000,000","4,165,000,000","3,805,000,000","3,994,000,000","3,531,000,000","4,038,000,000","3,714,000,000","4,124,000,000","3,549,000,000","4,427,000,000","3,815,000,000","4,157,000,000","3,668,000,000","4,488,800,000","3,784,300,000","3,939,700,000","3,422,300,000","4,351,300,000","3,634,400,000","4,039,800,000","3,308,500,000","3,691,600,000","3,286,800,000",,,,,,,,,,,,,,,,
GrossProfit,"12,491,000,000","3,428,000,000","3,124,000,000","3,225,000,000","2,714,000,000","2,153,000,000","1,743,000,000","1,847,000,000","4,802,000,000","4,817,000,000","5,285,000,000","5,221,000,000","4,658,000,000","4,297,000,000","3,974,000,000","4,283,000,000","3,962,000,000","3,947,000,000","4,019,000,000","4,180,000,000","3,738,000,000","3,936,000,000","4,012,000,000","4,133,000,000","3,703,000,000","3,647,000,000","3,988,000,000","4,508,000,000","4,018,000,000","4,636,000,000","4,702,000,000","4,260,000,000","4,055,000,000","4,475,000,000","4,442,000,000","4,454,000,000","3,934,000,000","4,157,000,000","4,039,000,000","3,873,000,000","3,483,000,000","4,115,000,000","4,048,000,000","4,171,000,000","3,703,000,000","3,818,000,000","3,860,000,000","3,875,000,000","3,359,000,000","3,783,000,000","3,539,000,000","3,595,000,000","3,142,000,000","3,942,000,000","4,150,000,000","4,308,000,000","3,720,000,000","3,985,000,000","3,795,000,000","3,775,000,000","3,282,000,000","3,266,000,000","3,369,000,000","3,489,000,000","2,965,000,000","3,022,000,000","3,014,000,000","3,162,000,000","2,592,000,000","2,655,000,000","2,542,000,000","2,651,000,000","2,376,000,000","2,278,000,000","2,241,000,000","2,171,000,000","1,836,000,000","1,967,000,000","2,061,000,000","2,134,000,000","1,889,000,000","1,806,000,000","1,997,000,000","2,373,000,000","2,081,000,000","2,079,000,000","2,024,000,000","2,101,000,000","1,891,000,000","1,661,000,000","1,420,000,000","1,834,000,000","1,588,000,000","1,862,000,000","1,861,000,000","1,916,000,000","1,626,000,000","1,712,000,000","1,655,000,000","1,763,000,000","1,561,000,000","1,638,000,000","1,643,000,000","1,659,000,000","1,449,000,000","1,545,000,000","1,479,000,000","1,502,000,000","1,342,000,000","1,450,000,000","1,330,000,000","1,312,000,000","1,214,000,000","1,136,000,000","1,414,000,000","1,384,000,000","1,315,000,000","1,328,000,000","1,560,000,000","1,579,000,000","1,498,000,000","1,319,000,000","1,489,500,000","1,437,200,000","1,381,200,000","1,594,300,000","1,711,900,000","1,650,000,000","1,422,200,000","1,477,700,000","1,423,100,000",,,,,,,,,,,,,,,,
OperatingExpense,"7,533,000,000","2,108,000,000","1,781,000,000","1,943,000,000","1,701,000,000","2,011,000,000","1,309,000,000","2,424,000,000","2,995,000,000","2,966,000,000","2,799,000,000","2,637,000,000","2,613,000,000","2,386,000,000","2,136,000,000","1,407,000,000","2,034,000,000","1,995,000,000","1,856,000,000","1,890,000,000","1,471,000,000","2,297,000,000","1,761,000,000","1,796,000,000","1,758,000,000","3,255,000,000","1,686,000,000","1,956,000,000","1,744,000,000","2,066,000,000","1,956,000,000","1,905,000,000","1,957,000,000","2,145,000,000","2,076,000,000","1,947,000,000","1,928,000,000","1,555,000,000","2,209,000,000","1,694,000,000","2,082,000,000","1,117,000,000","2,300,000,000","1,951,000,000","1,924,000,000","2,044,000,000","1,911,000,000","1,950,000,000","1,821,000,000","1,976,000,000","1,768,000,000","1,958,000,000","1,892,000,000","2,139,000,000","2,101,000,000","2,209,000,000","2,046,000,000","2,192,000,000","1,907,000,000","1,910,000,000","1,778,000,000","1,838,000,000","1,722,000,000","1,748,000,000","1,683,000,000","1,801,000,000","1,630,000,000","1,673,000,000","1,504,000,000","1,574,000,000","1,366,000,000","1,401,000,000","1,413,000,000","1,351,000,000","1,193,000,000","1,138,000,000","999,000,000","1,140,000,000","1,059,000,000","1,103,000,000","1,092,000,000","1,161,000,000","1,175,000,000","1,384,000,000","1,304,000,000","1,412,000,000","1,300,000,000","1,313,000,000","1,307,000,000","1,614,000,000","1,301,000,000","1,196,000,000","1,158,000,000","1,330,000,000","1,259,000,000","1,284,000,000","1,253,000,000","1,344,000,000","1,160,000,000","1,262,000,000","1,184,000,000","1,318,000,000","1,189,000,000","1,198,000,000","1,142,000,000","1,192,000,000","1,093,000,000","1,119,000,000","1,054,000,000","1,139,000,000","1,048,000,000","1,117,000,000","1,047,000,000","1,173,000,000","1,071,000,000","1,142,000,000","1,110,000,000","1,725,000,000","1,228,000,000","1,216,000,000","1,229,000,000","1,253,700,000","1,182,700,000","1,253,500,000","1,214,000,000","1,246,900,000","1,204,700,000","1,186,400,000","1,158,400,000","1,154,600,000","1,028,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"5,224,000,000","1,407,000,000","1,229,000,000","1,368,000,000","1,220,000,000","1,351,000,000","1,401,000,000","1,811,000,000","2,248,000,000","2,314,000,000","2,104,000,000","2,106,000,000","1,997,000,000","1,915,000,000","1,681,000,000","1,759,000,000","1,711,000,000","1,639,000,000","1,524,000,000","1,538,000,000","1,482,000,000","1,856,000,000","1,390,000,000","1,451,000,000","1,363,000,000","1,625,000,000","1,359,000,000","1,543,000,000","1,563,000,000","1,701,000,000","1,580,000,000","1,623,000,000","1,596,000,000","1,721,000,000","1,633,000,000","1,737,000,000","1,627,000,000","1,795,000,000","1,619,000,000","1,509,000,000","1,535,000,000","1,699,000,000","1,578,000,000","1,644,000,000","1,543,000,000","1,631,000,000","1,478,000,000","1,491,000,000","1,424,000,000","1,555,000,000","1,424,000,000","1,574,000,000","1,483,000,000","1,649,000,000","1,665,000,000","1,775,000,000","1,635,000,000","1,711,000,000","1,508,000,000","1,494,000,000","1,396,000,000","1,432,000,000","1,338,000,000","1,378,000,000","1,314,000,000","1,378,000,000","1,295,000,000","1,355,000,000","1,213,000,000","1,235,000,000","1,070,000,000","1,088,000,000","1,105,000,000","1,100,000,000","933,000,000","857,000,000","764,000,000","862,000,000","789,000,000","798,000,000","754,000,000","860,000,000","857,000,000","821,000,000","785,000,000","842,000,000","761,000,000","787,000,000","781,000,000","953,000,000","786,000,000","693,000,000","701,000,000","757,000,000","719,000,000","750,000,000","731,000,000","796,000,000","690,000,000","727,000,000","702,000,000","772,000,000","708,000,000","709,000,000","683,000,000","708,000,000","642,000,000","672,000,000","629,000,000","674,000,000","611,000,000","648,000,000","603,000,000","-180,000,000","871,000,000","946,000,000","910,000,000","1,484,000,000","1,024,000,000","1,013,000,000","1,029,000,000","1,093,600,000","991,100,000","1,054,600,000","1,012,700,000","1,107,200,000","1,026,300,000","1,003,900,000","977,800,000","1,005,100,000","871,500,000",,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,732,000,000","810,000,000","676,000,000","657,000,000","589,000,000","710,000,000","642,000,000","695,000,000","671,000,000","812,000,000","732,000,000","743,000,000","728,000,000","733,000,000","586,000,000","589,000,000","554,000,000","619,000,000","582,000,000","609,000,000","577,000,000","626,000,000","582,000,000","588,000,000","541,000,000","611,000,000","546,000,000","606,000,000","602,000,000","668,000,000","677,000,000","666,000,000","624,000,000","658,000,000","630,000,000","631,000,000","610,000,000","712,000,000","590,000,000","525,000,000","547,000,000","552,000,000","495,000,000","526,000,000","485,000,000","457,000,000","433,000,000","459,000,000","397,000,000","421,000,000","344,000,000","384,000,000","409,000,000","490,000,000","436,000,000","434,000,000","411,000,000","481,000,000","399,000,000","416,000,000","382,000,000","406,000,000","384,000,000","370,000,000","369,000,000","423,000,000","335,000,000","318,000,000","291,000,000","339,000,000","296,000,000","313,000,000","308,000,000","251,000,000","260,000,000","281,000,000","235,000,000","278,000,000","270,000,000","305,000,000","338,000,000","301,000,000","318,000,000","338,000,000","297,000,000","350,000,000","329,000,000","309,000,000","314,000,000","406,000,000","306,000,000","306,000,000","274,000,000","363,000,000","324,000,000","320,000,000","308,000,000","332,000,000","268,000,000","316,000,000","271,000,000","328,000,000","270,000,000","274,000,000","250,000,000","261,000,000","251,000,000","233,000,000","218,000,000","248,000,000","229,000,000","261,000,000","240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,000,000","222,000,000","220,000,000","210,000,000","217,000,000","212,000,000","255,000,000","209,000,000","197,000,000","183,000,000","210,000,000","216,000,000","214,000,000","214,000,000","216,000,000","202,000,000","219,000,000","211,000,000","218,000,000","211,000,000","215,000,000","209,000,000","223,000,000","200,000,000","214,000,000","207,000,000","217,000,000","208,000,000","208,000,000","204,000,000","216,000,000","200,000,000","196,000,000","200,000,000","241,000,000","204,000,000","203,000,000","200,000,000","160,100,000","191,600,000","198,900,000","201,300,000","139,700,000","178,400,000","182,500,000","180,600,000","149,500,000","156,900,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,000,000","222,000,000","220,000,000","210,000,000","217,000,000","212,000,000","255,000,000","209,000,000","197,000,000","183,000,000","210,000,000","216,000,000","214,000,000","214,000,000","216,000,000","202,000,000","219,000,000","211,000,000","218,000,000","211,000,000","215,000,000","209,000,000","223,000,000","200,000,000","214,000,000","207,000,000","217,000,000","208,000,000","208,000,000","204,000,000","216,000,000","200,000,000","196,000,000","200,000,000","241,000,000","204,000,000","203,000,000","200,000,000","160,100,000","191,600,000","198,900,000","201,300,000","139,700,000","178,400,000","182,500,000","180,600,000","149,500,000","156,900,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"-423,000,000","-109,000,000","-124,000,000","-82,000,000","-108,000,000","-50,000,000","-734,000,000","-82,000,000","76,000,000","-160,000,000","-37,000,000","-212,000,000","-112,000,000","-262,000,000","-131,000,000","-941,000,000","-231,000,000","-263,000,000","-250,000,000","-257,000,000","-588,000,000","-185,000,000","-211,000,000","-243,000,000","-146,000,000","1,019,000,000","-219,000,000","-193,000,000","-421,000,000","-303,000,000","-301,000,000","-384,000,000","-263,000,000","-234,000,000","-187,000,000","-421,000,000","-309,000,000","-101,000,000",,"-340,000,000",,"-1,134,000,000","227,000,000","-219,000,000","-104,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
