name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"2,308,834,000","595,138,000","589,305,000","575,528,000","548,739,000","535,907,000","522,940,000","507,226,000","517,067,000","513,658,000","507,547,000","500,147,000","493,293,000","483,849,000","467,221,000","456,323,000","458,302,000","443,072,000","433,945,000","427,294,000","423,363,000","416,505,000","411,319,000","405,532,000","399,769,000","406,941,000","410,735,000","410,704,000","410,094,000","404,734,000","393,293,000","383,420,000","345,550,000","335,396,000","332,094,000","324,305,000","313,071,000","293,841,000","238,606,000","229,147,000","192,490,000","183,819,000","175,549,000","171,053,000","167,749,000","165,497,000","158,642,000","154,515,000","147,965,000","144,980,000","139,289,000","136,195,000","135,050,000","134,429,000","118,656,000","111,952,000","109,917,000","108,903,000","103,201,000","100,289,000","95,808,000","96,750,000","98,172,000","87,376,000","68,804,000","72,419,000","66,021,000","63,248,000","58,304,000","65,533,000","58,743,000","56,347,000","57,301,000","57,633,000","52,375,000","50,375,000","58,221,000","64,075,000","67,048,000","69,608,000","63,944,000","69,150,000","63,033,000","57,755,000","52,956,000","53,578,755","45,395,003","38,502,886","30,429,025","29,300,000","24,600,000","19,400,000","13,700,000"
	OperatingRevenue,"2,308,834,000","595,138,000","589,305,000","575,528,000","548,739,000","535,907,000","522,940,000","507,226,000","517,067,000","513,658,000","507,547,000","500,147,000","493,293,000","483,849,000","467,221,000","456,323,000","458,302,000","443,072,000","433,945,000","427,294,000","423,363,000","416,505,000","411,319,000","405,532,000","399,769,000","406,941,000","410,735,000","410,704,000","410,094,000","404,734,000","393,293,000","383,420,000","345,550,000","335,396,000","332,094,000","324,305,000","313,071,000","293,841,000","238,606,000","229,147,000","192,490,000","183,819,000","175,549,000","171,053,000","167,749,000","165,497,000","158,642,000","154,515,000","147,965,000","144,980,000","139,289,000","136,195,000","135,050,000","134,429,000","118,656,000","111,952,000","109,917,000","108,903,000","103,201,000","100,289,000","95,808,000","96,750,000","98,172,000","87,376,000","68,804,000","72,419,000","66,021,000","63,248,000","58,304,000","65,533,000","58,743,000","56,347,000","57,301,000","57,633,000","52,375,000","50,375,000","58,221,000","64,075,000","67,048,000","69,608,000","63,944,000","69,150,000","63,033,000","57,755,000","52,956,000","53,578,755","45,395,003","38,502,886","30,429,025","29,300,000","24,600,000","19,400,000","13,700,000"
CostOfRevenue,"545,484,000","139,802,000","140,023,000","135,759,000","129,774,000","127,991,000","121,519,000","111,502,000","115,514,000","121,258,000","123,509,000","124,448,000","123,815,000","122,302,000","116,741,000","114,414,000","115,337,000","114,529,000","111,468,000","109,344,000","110,970,000","106,267,000","105,468,000","106,567,000","102,595,000","109,439,000","111,733,000","112,112,000","111,110,000","112,004,000","111,876,000","107,438,000","97,167,000","100,538,000","103,295,000","103,725,000","100,695,000","89,426,000","71,683,000","66,205,000","52,193,000","50,263,000","51,847,000","50,107,000","50,704,000","51,811,000","50,601,000","49,958,000","47,072,000","46,844,000","45,288,000","43,872,000","44,538,000","46,561,000","42,008,000","39,361,000","40,235,000","42,985,000","43,652,000","39,250,000","37,466,000","39,993,000","42,154,000","40,176,000","34,263,000","38,974,000","35,005,000","34,679,000","31,294,000","41,557,000","30,701,000","29,847,000","32,865,000","33,103,000","29,815,000","27,504,000","31,654,000","36,706,000","39,216,000","40,273,000","35,920,000","41,075,000","37,109,000","34,324,000","32,146,000","61,022,379","28,834,848","18,755,998","13,360,952","19,700,000","16,900,000","12,800,000","9,000,000"
GrossProfit,"1,763,350,000","455,336,000","449,282,000","439,769,000","418,965,000","407,916,000","401,421,000","395,724,000","401,553,000","392,400,000","384,038,000","375,699,000","369,478,000","361,547,000","350,480,000","341,909,000","342,965,000","328,543,000","322,477,000","317,950,000","312,393,000","310,238,000","305,851,000","298,965,000","297,174,000","297,502,000","299,002,000","298,592,000","298,984,000","292,730,000","281,417,000","275,982,000","248,383,000","234,858,000","228,799,000","220,580,000","212,376,000","204,415,000","166,923,000","162,942,000","140,297,000","133,556,000","123,702,000","120,946,000","117,045,000","113,686,000","108,041,000","104,557,000","100,893,000","98,136,000","94,001,000","92,323,000","90,512,000","87,868,000","76,648,000","72,591,000","69,682,000","65,918,000","59,549,000","61,039,000","58,342,000","56,757,000","56,018,000","47,200,000","34,541,000","33,445,000","31,016,000","28,569,000","27,010,000","23,976,000","28,042,000","26,500,000","24,436,000","24,530,000","22,560,000","22,871,000","26,567,000","27,369,000","27,832,000","29,335,000","28,024,000","28,075,000","25,924,000","23,431,000","20,810,000","-7,443,624","16,560,155","19,746,888","17,068,073","9,600,000","7,700,000","6,600,000","4,700,000"
OperatingExpense,"922,072,000","234,109,000","222,323,000","229,736,000","235,902,000","227,971,000","228,641,000","227,873,000","232,843,000","223,450,000","217,259,000","227,088,000","221,997,000","205,079,000","202,611,000","205,501,000","201,447,000","193,163,000","194,466,000","192,914,000","193,254,000","191,577,000","192,366,000","207,387,000","190,207,000","190,395,000","192,202,000","190,639,000","201,737,000","188,824,000","185,999,000","186,446,000","169,118,000","155,039,000","155,108,000","162,596,000","146,067,000","150,981,000","118,577,000","111,742,000","99,315,000","95,238,000","93,551,000","92,412,000","90,773,000","87,701,000","84,144,000","83,128,000","81,952,000","80,032,000","78,150,000","77,415,000","75,728,000","75,419,000","65,221,000","61,801,000","57,844,000","56,218,000","54,238,000","53,228,000","51,117,000","50,703,000","49,702,000","44,380,000","39,371,000","29,559,000","28,382,000","28,796,000","29,057,000","41,311,000","28,040,000","29,198,000","28,071,000","34,965,000","29,049,000","38,227,000","34,540,000","33,952,000","35,361,000","33,190,000","35,427,000","12,479,000","54,553,000","29,127,000","25,648,000","-357,890","23,107,590","20,622,532","19,022,132","33,200,000","9,100,000","8,400,000","12,400,000"
	SellingGeneralAndAdministration,"220,029,000","63,483,000","51,000,000","53,945,000","51,601,000","47,411,000","48,152,000","49,088,000","49,617,000","43,962,000","42,272,000","55,524,000","50,959,000","35,625,000","34,908,000","35,943,000","36,049,000","30,520,000","32,559,000","33,394,000","34,223,000","33,023,000","32,255,000","47,664,000","30,406,000","28,934,000","27,872,000","28,262,000","29,884,000","26,610,000","26,589,000","25,441,000","24,676,000","21,711,000","21,827,000","21,507,000","20,431,000","19,624,000","17,565,000","17,744,000","17,215,000","15,797,000","15,415,000","15,721,000","15,895,000","14,978,000","14,417,000","14,297,000","14,506,000","14,345,000","13,204,000","13,164,000","12,075,000","13,305,000","12,496,000","12,548,000","10,491,000","11,878,000","11,289,000","11,578,000","10,824,000","10,810,000","11,044,000","11,495,000","8,703,000","7,141,000","6,725,000","7,112,000","7,200,000","14,327,000","7,374,000","7,096,000","7,322,000","7,859,000","7,933,000","7,242,000","8,483,000","8,249,000","8,983,000","8,998,000","9,374,000","9,933,000","10,009,000","10,759,000","10,641,000","8,305,637","7,036,945","6,338,187","5,974,932","5,600,000","4,800,000","4,900,000","4,100,000"
	DepreciationAmortizationDepletionIncomeStatement,"700,161,000","169,895,000","170,916,000","175,469,000","183,881,000","180,383,000","180,302,000","178,706,000","182,579,000","179,488,000","174,987,000","171,564,000","171,038,000","169,454,000","167,703,000","169,558,000","165,398,000","162,643,000","161,907,000","159,520,000","159,031,000","158,554,000","160,111,000","159,723,000","159,801,000","161,461,000","164,330,000","162,377,000","171,853,000","162,214,000","159,410,000","161,005,000","144,442,000","133,328,000","133,281,000","141,089,000","125,636,000","131,357,000","101,012,000","93,998,000","82,100,000","79,441,000","78,136,000","76,691,000","74,878,000","72,723,000","69,727,000","68,831,000","67,446,000","65,687,000","64,946,000","64,251,000","63,653,000","53,455,000","55,979,000","52,169,000","49,842,000","46,615,000","45,194,000","43,872,000","42,085,000","42,734,000","43,509,000","36,258,000","21,884,000","23,063,000","22,374,000","22,190,000","22,441,000","29,532,000","21,411,000","21,432,000","21,587,000","22,253,000","22,409,000","21,992,000","26,760,000","59,221,000","26,378,000","24,192,000","26,053,000","26,945,000","20,145,000","18,368,000","15,007,000","-8,663,527","16,070,645","14,284,345","13,047,200","27,600,000","4,300,000","3,500,000","8,300,000"
		DepreciationAndAmortizationInIncomeStatement,"700,161,000","169,895,000","170,916,000","175,469,000","183,881,000","180,383,000","180,302,000","178,706,000","182,579,000","179,488,000","174,987,000","171,564,000","171,038,000","169,454,000","167,703,000","169,558,000","165,398,000","162,643,000","161,907,000","159,520,000","159,031,000","158,554,000","160,111,000","159,723,000","159,801,000","161,461,000","164,330,000","162,377,000","171,853,000","162,214,000","159,410,000","161,005,000","144,442,000","133,328,000","133,281,000","141,089,000","125,636,000","131,357,000",,,,,,,,,,,,,,,,,"55,979,000","52,169,000","49,842,000","46,615,000","45,194,000","43,872,000","42,085,000","42,734,000","43,509,000","36,258,000","21,884,000","23,063,000","22,374,000","22,190,000","22,441,000","29,532,000","21,411,000","21,432,000","21,587,000","22,253,000","22,409,000","21,992,000","26,760,000","59,221,000","26,378,000","24,192,000","26,053,000","26,945,000","20,145,000","18,368,000","15,007,000","-8,663,527","16,070,645","14,284,345","13,047,200","27,600,000","4,300,000","3,500,000","8,300,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,725,000","49,253,000","47,353,000","44,340,000","42,949,000","41,650,000","40,293,000","39,893,000","39,015,000","32,885,000","21,008,000","22,258,000","21,673,000","21,644,000","21,643,000","28,698,000","20,511,000","20,559,000","20,749,000","20,908,000","21,066,000","20,720,000","25,605,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,254,000","2,916,000","2,489,000","2,275,000","2,245,000","2,222,000","1,792,000","2,841,000","4,494,000","3,373,000","876,000","805,000","701,000","546,000","798,000","834,000","900,000","873,000","838,000","1,345,000","1,343,000","1,272,000","1,155,000",,,,,,,,,,,,,,,,
