name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
TotalRevenue,"1,963,865,000","551,915,000","526,404,000","480,057,000","405,489,000","358,107,000","338,095,000","331,851,000","431,218,000","418,223,000","410,556,000","325,010,000","271,871,000","263,670,000","236,578,000","227,118,000","209,871,000","189,340,000","166,552,000","136,099,000","115,054,000","128,484,000","124,752,000","125,205,000","124,832,000","115,054,000","98,420,000","86,399,000","73,290,000","66,969,000","44,573,000","30,560,000"
	OperatingRevenue,"1,963,865,000","551,915,000","526,404,000","480,057,000","405,489,000","358,107,000","338,095,000","331,851,000","431,218,000","418,223,000","410,556,000","325,010,000","271,871,000","263,670,000","236,578,000","227,118,000","209,871,000","189,340,000","166,552,000","136,099,000","115,054,000","128,484,000","124,752,000","125,205,000","124,832,000","115,054,000","98,420,000","86,399,000","73,290,000","66,969,000","44,573,000","30,560,000"
CostOfRevenue,"1,334,547,000","391,424,000","353,843,000","323,865,000","265,415,000","247,782,000","230,032,000","228,888,000","291,210,000","274,974,000","271,247,000","214,340,000","185,761,000","183,959,000","158,596,000","145,172,000","130,274,000","118,370,000","108,498,000","89,033,000","76,378,000","86,609,000","85,639,000","84,471,000","86,250,000","81,527,000","70,149,000","62,698,000","57,509,000","52,939,000","35,849,000","24,331,000"
GrossProfit,"629,318,000","160,491,000","172,561,000","156,192,000","140,074,000","110,325,000","108,063,000","102,963,000","140,008,000","143,249,000","139,309,000","110,670,000","86,110,000","79,711,000","77,982,000","81,946,000","79,597,000","70,970,000","58,054,000","47,066,000","38,676,000","41,875,000","39,113,000","40,734,000","38,582,000","33,527,000","28,271,000","23,701,000","15,781,000","14,030,000","8,724,000","6,229,000"
OperatingExpense,"420,829,000","119,453,000","106,147,000","100,633,000","93,737,000","95,898,000","77,669,000","72,998,000","72,233,000","101,026,000","64,987,000","65,317,000","58,062,000","55,757,000","43,945,000","41,281,000","38,769,000","36,399,000","32,658,000","27,951,000","26,672,000","23,635,000","21,229,000","20,995,000","19,320,000","18,653,000","16,398,000","13,902,000","11,547,000","11,679,000","11,164,000","10,774,000"
	SellingGeneralAndAdministration,"201,196,000","55,127,000","50,481,000","48,828,000","46,760,000","46,914,000","36,852,000","34,900,000","40,438,000","35,430,000","34,240,000","35,812,000","31,863,000","31,047,000","23,836,000","21,730,000","20,894,000","19,979,000","18,295,000","15,226,000","15,214,000","13,700,000","11,997,000","12,286,000","11,021,000","11,662,000","9,697,000","8,412,000","6,779,000","6,620,000","6,594,000","5,910,000"
		GeneralAndAdministrativeExpense,"82,196,000","21,879,000","21,098,000","19,370,000","19,849,000","18,042,000","14,928,000","13,964,000","16,185,000","11,771,000","12,214,000","13,685,000","11,691,000","11,837,000","6,898,000","5,776,000","4,689,000","5,900,000","5,078,000","3,265,000","4,439,000","3,664,000","3,067,000","3,460,000","2,188,000","3,418,000","2,265,000","1,990,000","1,121,000","1,159,000","1,174,000","1,318,000"
			SalariesAndWages,"0"
			OtherGandA,"82,196,000","21,879,000","21,098,000","19,370,000","19,849,000","18,042,000","14,928,000","13,964,000","16,185,000","11,771,000","12,214,000","13,685,000","11,691,000","11,837,000","6,898,000","5,776,000","4,689,000","5,900,000","5,078,000","3,265,000","4,439,000","3,664,000","3,067,000","3,460,000","2,188,000","3,418,000","2,265,000","1,990,000","1,121,000","1,159,000","1,174,000","1,318,000"
		SellingAndMarketingExpense,"119,000,000","33,248,000","29,383,000","29,458,000","26,911,000","28,872,000","21,924,000","20,936,000","24,253,000","23,659,000","22,026,000","22,127,000","20,172,000","19,210,000","16,938,000","15,954,000","16,205,000","14,079,000","13,217,000","11,961,000","10,775,000","10,036,000","8,930,000","8,826,000","8,833,000","8,244,000","7,432,000","6,422,000","5,658,000","5,461,000","5,420,000","4,592,000"
	ResearchAndDevelopment,"219,633,000","64,326,000","55,666,000","52,664,000","46,977,000","47,513,000","40,817,000","38,098,000","36,695,000","34,900,000","30,747,000","29,505,000","26,199,000","24,710,000","20,109,000","19,551,000","17,875,000","16,420,000","14,363,000","12,725,000","11,458,000","9,935,000","9,232,000","8,709,000","8,299,000","6,991,000","6,701,000","5,490,000","4,768,000","5,059,000","4,570,000","4,864,000"
	OtherOperatingExpenses,"1,350,000",,,"-859,000","2,209,000","1,471,000",,,"-4,900,000","22,391,000",,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"208,489,000","41,038,000","66,414,000","55,559,000","46,337,000","14,427,000","30,394,000","29,965,000","67,775,000","42,223,000","74,322,000","45,353,000","28,048,000","23,954,000","34,037,000","40,665,000","40,828,000","34,571,000","25,396,000","19,115,000","12,004,000","18,240,000","17,884,000","19,739,000","19,262,000","14,874,000","11,873,000","9,799,000","4,234,000","2,351,000","-2,440,000","-4,545,000"
