name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,944,600,000","4,762,100,000","5,146,700,000","5,379,800,000","4,656,000,000","4,488,800,000","5,122,200,000","4,604,000,000","4,146,700,000","4,114,429,000","4,867,650,000","4,877,860,000","4,040,861,000","4,064,221,000","4,731,470,000","4,773,796,000","3,965,006,000","3,979,564,000","4,507,020,000","3,735,817,000","2,761,387,000","2,782,591,000","3,279,462,000","3,219,525,000","2,574,024,000","2,604,596,000","3,152,285,000","3,132,139,000","2,450,284,000","2,569,412,000","3,150,570,000","3,042,995,000","2,366,556,000","2,457,058,000","2,847,417,000","2,713,889,000","2,167,168,000","2,221,870,000","2,603,226,000","2,573,022,000","2,136,344,000","2,070,442,000","2,484,920,000","2,354,751,000","1,855,586,000","1,895,619,000","2,172,259,000","2,143,064,000","1,565,482,000","1,598,836,000","1,996,909,000","1,947,827,000","1,550,677,000","1,699,842,000","2,268,658,000","2,229,545,000","1,781,682,000","1,853,884,000","2,197,042,000","2,198,188,000","1,756,178,000","1,794,550,000","2,116,711,000","2,129,970,000","1,768,528,000","1,710,030,000","1,976,728,000","1,965,358,000","1,538,545,000","1,499,183,000","1,677,130,000","1,617,955,000","1,319,522,000","1,284,539,000","1,503,086,000","1,471,678,000","1,148,461,000","1,156,146,000","1,426,266,000","1,453,198,000","1,149,178,000","1,133,353,000","1,366,768,000","1,407,514,000","1,158,370,000","1,148,538,000","1,411,903,000","1,429,267,000","1,221,916,000","1,146,400,000","1,345,500,000","1,384,100,000","1,127,900,000","1,111,000,000","1,341,400,000","1,377,800,000","1,104,100,000","1,091,400,000","1,346,500,000","1,373,400,000","1,069,800,000","958,900,000","1,171,000,000","1,145,300,000","857,800,000","740,900,000","911,300,000","904,700,000","716,800,000","703,700,000","876,700,000","880,500,000","639,200,000","668,000,000","838,800,000","824,200,000","618,300,000","607,900,000","772,800,000","772,500,000","594,600,000","553,600,000","736,800,000","722,800,000","528,100,000","517,300,000","638,500,000","611,400,000","499,500,000","478,800,000","596,000,000","584,000,000","464,800,000","444,600,000","548,000,000","544,500,000","413,400,000","408,300,000","512,300,000","491,500,000","380,500,000","350,500,000","438,200,000","432,000,000","332,300,000","517,400,000","578,800,000"
	OperatingRevenue,"19,944,600,000","4,762,100,000","5,146,700,000","5,379,800,000","4,656,000,000","4,488,800,000","5,122,200,000","4,604,000,000","4,146,700,000","4,114,429,000","4,867,650,000","4,877,860,000","4,040,861,000","4,064,221,000","4,731,470,000","4,773,796,000","3,965,006,000","3,979,564,000","4,507,020,000","3,735,817,000","2,761,387,000","2,782,591,000","3,279,462,000","3,219,525,000","2,574,024,000","2,604,596,000","3,152,285,000","3,132,139,000","2,450,284,000","2,569,412,000","3,150,570,000","3,042,995,000","2,366,556,000","2,457,058,000","2,847,417,000","2,713,889,000","2,167,168,000","2,221,870,000","2,603,226,000","2,573,022,000","2,136,344,000","2,070,442,000","2,484,920,000","2,354,751,000","1,855,586,000","1,895,619,000","2,172,259,000","2,143,064,000","1,565,482,000","1,598,836,000","1,996,909,000","1,947,827,000","1,550,677,000","1,699,842,000","2,268,658,000","2,229,545,000","1,781,682,000","1,853,884,000","2,197,042,000","2,198,188,000","1,756,178,000","1,794,550,000","2,116,711,000","2,129,970,000","1,768,528,000","1,710,030,000","1,976,728,000","1,965,358,000","1,538,545,000","1,499,183,000","1,677,130,000","1,617,955,000","1,319,522,000","1,284,539,000","1,503,086,000","1,471,678,000","1,148,461,000","1,156,146,000","1,426,266,000","1,453,198,000","1,149,178,000","1,133,353,000","1,366,768,000","1,407,514,000","1,158,370,000","1,148,538,000","1,411,903,000","1,429,267,000","1,221,916,000","1,146,400,000","1,345,500,000","1,384,100,000","1,127,900,000","1,111,000,000","1,341,400,000","1,377,800,000","1,104,100,000","1,091,400,000","1,346,500,000","1,373,400,000","1,069,800,000","958,900,000","1,171,000,000","1,145,300,000","857,800,000","740,900,000","911,300,000","904,700,000","716,800,000","703,700,000","876,700,000","880,500,000","639,200,000","668,000,000","838,800,000","824,200,000","618,300,000","607,900,000","772,800,000","772,500,000","594,600,000","553,600,000","736,800,000","722,800,000","528,100,000","517,300,000","638,500,000","611,400,000","499,500,000","478,800,000","596,000,000","584,000,000","464,800,000","444,600,000","548,000,000","544,500,000","413,400,000","408,300,000","512,300,000","491,500,000","380,500,000","350,500,000","438,200,000","432,000,000","332,300,000","517,400,000","578,800,000"
CostOfRevenue,"11,401,900,000","2,882,400,000","3,007,100,000","2,968,400,000","2,544,000,000","2,360,100,000","2,666,900,000","2,395,100,000","2,257,000,000","2,220,395,000","2,642,096,000","2,696,425,000","2,305,784,000","2,381,538,000","2,721,066,000","2,735,168,000","2,278,159,000","2,180,825,000","2,604,878,000","1,998,761,000","1,418,247,000","1,394,153,000","1,643,173,000","1,583,732,000","1,312,279,000","1,282,357,000","1,577,733,000","1,602,153,000","1,317,835,000","1,351,437,000","1,679,615,000","1,633,342,000","1,300,655,000","1,332,880,000","1,551,459,000","1,480,310,000","1,204,317,000","1,226,362,000","1,452,944,000","1,422,425,000","1,226,505,000","1,184,342,000","1,446,621,000","1,331,996,000","1,058,178,000","1,049,987,000","1,200,674,000","1,171,171,000","873,514,000","840,598,000","1,067,926,000","1,052,485,000","870,071,000","914,942,000","1,308,169,000","1,256,642,000","1,001,174,000","1,021,882,000","1,208,654,000","1,211,618,000","964,812,000","1,023,687,000","1,180,933,000","1,193,382,000","997,117,000","968,350,000","1,136,983,000","1,127,192,000","877,771,000","834,361,000","933,585,000","896,538,000","747,895,000","675,406,000","824,440,000","805,926,000","646,697,000","606,766,000","780,974,000","801,388,000","657,074,000","612,323,000","765,729,000","798,977,000","669,347,000","584,062,000","745,825,000","747,204,000","666,892,000","557,300,000","693,600,000","735,200,000","613,400,000","584,500,000","716,600,000","741,900,000","613,600,000","583,300,000","726,300,000","745,700,000","589,900,000","503,100,000","653,000,000","649,600,000","496,000,000","393,500,000","502,200,000","498,300,000","405,700,000","377,500,000","484,200,000","487,400,000","363,200,000","356,800,000","463,200,000","466,300,000","355,600,000","299,300,000","432,500,000","443,600,000","347,700,000","285,100,000","426,400,000","427,200,000","313,600,000","286,600,000","364,100,000","347,200,000","295,500,000","275,200,000","343,500,000","335,900,000",,,,,,,,,,,,,,,
GrossProfit,"8,542,700,000","1,879,700,000","2,139,600,000","2,411,400,000","2,112,000,000","2,128,700,000","2,455,300,000","2,208,900,000","1,889,700,000","1,894,034,000","2,225,554,000","2,181,435,000","1,735,077,000","1,682,683,000","2,010,404,000","2,038,628,000","1,686,847,000","1,798,739,000","1,902,142,000","1,737,056,000","1,343,140,000","1,388,438,000","1,636,289,000","1,635,793,000","1,261,745,000","1,322,239,000","1,574,552,000","1,529,986,000","1,132,449,000","1,217,975,000","1,470,955,000","1,409,653,000","1,065,901,000","1,124,178,000","1,295,958,000","1,233,579,000","962,851,000","995,508,000","1,150,282,000","1,150,597,000","909,839,000","886,100,000","1,038,299,000","1,022,755,000","797,408,000","845,632,000","971,585,000","971,893,000","691,968,000","758,238,000","928,983,000","895,342,000","680,606,000","784,900,000","960,489,000","972,903,000","780,508,000","832,002,000","988,388,000","986,570,000","791,366,000","770,863,000","935,778,000","936,588,000","771,411,000","741,680,000","839,745,000","838,166,000","660,774,000","664,822,000","743,545,000","721,417,000","571,627,000","609,133,000","678,646,000","665,752,000","501,764,000","549,380,000","645,292,000","651,810,000","492,104,000","521,030,000","601,039,000","608,537,000","489,023,000","564,476,000","666,078,000","682,063,000","555,024,000","589,100,000","651,900,000","648,900,000","514,500,000","526,500,000","624,800,000","635,900,000","490,500,000","508,100,000","620,200,000","627,700,000","479,900,000","455,800,000","518,000,000","495,700,000","361,800,000","347,400,000","409,100,000","406,400,000","311,100,000","326,200,000","392,500,000","393,100,000","276,000,000","311,200,000","375,600,000","357,900,000","262,700,000","308,600,000","340,300,000","328,900,000","246,900,000","268,500,000","310,400,000","295,600,000","214,500,000","230,700,000","274,400,000","264,200,000","204,000,000","203,600,000","252,500,000","248,100,000",,,,,,,,,,,,,,,
OperatingExpense,"5,878,000,000","1,506,700,000","1,445,600,000","1,518,100,000","1,407,600,000","1,567,700,000","1,495,600,000","1,377,200,000","1,387,900,000","1,437,950,000","1,433,321,000","1,416,049,000","1,323,380,000","1,459,361,000","1,355,442,000","1,413,007,000","1,300,379,000","1,421,223,000","1,394,015,000","1,175,520,000","1,016,730,000","1,066,693,000","1,058,811,000","1,056,479,000","1,020,384,000","1,003,855,000","1,000,753,000","1,009,734,000","930,247,000","1,010,341,000","995,575,000","969,442,000","883,654,000","957,084,000","890,274,000","838,570,000","779,002,000","889,185,000","800,255,000","814,107,000","762,837,000","756,688,000","760,179,000","754,847,000","691,123,000","717,949,000","703,672,000","696,340,000","614,781,000","631,975,000","661,115,000","656,052,000","619,253,000","652,856,000","681,352,000","676,984,000","651,707,000","642,395,000","670,433,000","666,899,000","617,799,000","624,860,000","648,920,000","641,562,000","597,585,000","589,043,000","602,517,000","593,063,000","541,597,000","542,863,000","527,124,000","514,403,000","484,546,000","477,056,000","480,076,000","484,082,000","440,450,000","440,723,000","456,101,000","465,517,000","422,186,000","420,646,000","443,173,000","444,377,000","421,659,000","472,324,000","477,937,000","475,435,000","474,701,000","458,100,000","459,500,000","462,600,000","449,000,000","419,700,000","441,700,000","455,000,000","429,800,000","404,500,000","434,900,000","449,100,000","424,200,000","368,500,000","364,000,000","356,200,000","324,000,000","287,500,000","292,700,000","289,500,000","283,100,000","270,400,000","276,600,000","280,100,000","252,000,000","269,600,000","267,300,000","257,700,000","241,800,000","263,500,000","250,300,000","242,100,000","225,200,000","221,500,000","230,000,000","221,100,000","201,200,000","200,900,000","203,100,000","195,400,000","190,700,000","175,300,000","190,400,000","188,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"5,572,500,000","1,439,900,000","1,368,900,000","1,437,800,000","1,325,900,000","1,472,200,000","1,406,800,000","1,291,300,000","1,307,600,000","1,354,424,000","1,345,171,000","1,331,288,000","1,244,017,000","1,238,288,000","1,273,066,000","1,307,861,000","1,214,565,000","1,323,627,000","1,306,121,000","1,145,492,000","1,016,211,000","1,044,980,000","1,058,128,000","1,053,972,000","1,002,355,000","991,472,000","993,625,000","999,224,000","929,197,000","985,329,000","984,366,000","969,183,000","884,088,000","962,188,000","889,690,000","837,124,000","778,679,000","882,449,000","800,255,000","810,207,000","762,837,000","756,688,000","760,179,000","755,555,000","691,123,000","720,360,000","703,672,000","696,340,000","614,781,000","631,975,000","661,115,000","656,052,000","619,253,000","633,537,000","681,352,000","676,984,000","651,707,000","642,395,000","670,433,000","666,899,000","617,799,000","624,860,000","648,920,000","641,562,000","597,585,000","589,043,000","602,517,000","593,063,000","541,597,000","542,863,000","527,124,000","514,403,000","484,546,000","477,056,000","480,076,000","484,082,000","440,450,000","440,723,000","456,101,000","465,517,000","422,186,000","420,646,000","443,173,000","444,377,000","421,659,000","431,646,000","437,954,000","434,846,000","435,921,000","420,200,000","417,500,000","424,100,000","411,600,000","380,700,000","404,800,000","418,600,000","394,200,000","368,500,000","398,100,000","419,000,000","387,900,000","340,700,000","338,200,000","330,500,000","299,700,000","265,800,000","274,000,000","271,000,000","264,600,000","253,400,000","261,600,000","265,700,000","237,900,000","255,400,000","253,200,000","244,100,000","228,600,000","234,700,000","237,600,000","229,500,000","213,000,000","209,000,000","217,800,000","209,300,000","189,800,000","189,400,000","191,900,000","184,400,000","179,900,000","165,500,000","178,000,000","178,100,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"309,500,000","76,300,000","76,200,000","77,800,000","79,200,000","79,200,000","78,700,000","77,400,000","78,100,000","78,400,000","77,548,000","78,081,000","78,771,000","79,093,000","80,077,000","73,893,000","85,049,000","87,965,000","83,711,000","28,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,678,000","39,983,000","40,589,000","38,780,000","37,900,000","42,000,000","38,500,000","37,400,000","39,000,000","36,900,000","36,400,000","35,600,000","36,000,000","36,800,000","30,100,000","36,300,000","27,800,000","25,800,000","25,700,000","24,300,000","21,700,000","18,700,000","18,500,000","18,500,000","17,000,000","15,000,000","14,400,000","14,100,000","14,200,000","14,100,000","13,600,000","13,200,000","28,800,000","12,700,000","12,600,000","12,200,000","12,500,000","12,200,000","11,800,000","11,400,000","11,500,000","11,200,000","11,000,000","10,800,000","9,800,000","12,400,000","10,500,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"309,500,000","76,300,000","76,200,000","77,800,000","79,200,000","79,200,000","78,700,000","77,400,000","78,100,000","78,400,000","77,548,000","78,081,000","78,771,000","79,093,000","80,077,000","73,893,000","85,049,000","87,965,000","83,711,000","28,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,678,000","39,983,000","40,589,000","38,780,000","37,900,000","42,000,000","38,500,000","37,400,000","39,000,000","36,900,000","36,400,000","35,600,000","36,000,000","36,800,000","30,100,000","36,300,000","27,800,000","25,800,000","25,700,000","24,300,000","21,700,000","18,700,000","18,500,000","18,500,000","17,000,000","15,000,000","14,400,000","14,100,000","14,200,000","14,100,000","13,600,000","13,200,000","28,800,000","12,700,000","12,600,000","12,200,000","12,500,000","12,200,000","11,800,000","11,400,000","11,500,000","11,200,000","11,000,000","10,800,000","9,800,000","12,400,000","10,500,000",,,,,,,,,,,,,,,
			Amortization,"309,500,000","76,300,000","76,200,000","77,800,000","79,200,000","79,200,000","78,700,000","77,400,000","78,100,000","78,400,000","77,548,000","78,081,000","78,771,000","79,093,000","80,077,000","73,893,000","85,049,000","87,965,000","83,711,000","28,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"309,500,000","76,300,000","76,200,000","77,800,000","79,200,000","79,200,000","78,700,000","77,400,000","78,100,000","78,400,000","77,548,000","78,081,000","78,771,000","79,093,000","80,077,000","73,893,000","85,049,000","87,965,000","83,711,000","28,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
