name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,917,000,000","1,500,000,000","1,524,000,000","1,470,000,000","1,382,224,000","1,193,033,000","1,058,907,000","860,757,000","807,152,000","838,721,000","799,015,000","844,124,000","777,640,000","689,718,000","694,081,000","648,452,000","568,770,000","537,804,000","522,655,000","461,729,000","418,668,000","400,973,000","424,312,000","389,858,000","359,608,000","374,852,000","356,459,000","363,017,000","403,938,000","396,479,000","294,239,000","213,315,000","500,991,000","420,108,000","429,920,000","263,415,000","236,783,000","269,173,000","223,569,000","232,360,000","210,230,000","213,129,000","231,066,000","254,161,000","210,253,000","176,382,000","192,577,000","146,593,000","150,113,000","142,882,000","131,125,000","119,956,000","87,901,000","125,834,000","136,876,000","131,801,000","133,646,000","150,474,000","160,742,000","150,276,000","140,825,000","138,867,000","120,776,000","126,740,000","107,280,000","117,813,000","102,657,000","101,823,000","96,103,000","95,743,000","82,795,000","86,537,000","75,706,000","66,701,000","67,614,000","64,205,000","65,424,000","64,287,000","64,449,000","67,927,000","65,903,000","63,190,000","76,879,000","88,138,000","105,611,000","119,527,000","130,824,000","116,493,000","152,634,000","96,600,000","67,800,000","53,300,000","46,700,000","46,500,000","46,200,000","39,800,000","37,300,000","33,500,000","31,900,000","30,000,000","28,700,000","27,400,000","24,900,000","24,500,000","22,200,000","23,600,000","23,000,000","20,900,000","19,200,000","18,100,000","16,000,000","15,400,000","15,700,000","13,600,000","14,900,000","14,100,000","17,100,000","15,400,000","13,900,000","14,400,000","14,200,000","13,300,000","12,800,000",,,,,,,,,,,,,,,,,,,,,,,,
	OperatingRevenue,"5,917,000,000","1,500,000,000","1,524,000,000","1,470,000,000","1,382,224,000","1,193,033,000","1,058,907,000","860,757,000","807,152,000","838,721,000","799,015,000","844,124,000","777,640,000","689,718,000","694,081,000","648,452,000","568,770,000","537,804,000","522,655,000","461,729,000","418,668,000","400,973,000","424,312,000","389,858,000","359,608,000","374,852,000","356,459,000","363,017,000","403,938,000","396,479,000","294,239,000","213,315,000","500,991,000","420,108,000","429,920,000","263,415,000","236,783,000","269,173,000","223,569,000","232,360,000","210,230,000","213,129,000","231,066,000","254,161,000","210,253,000","176,382,000","192,577,000","146,593,000","150,113,000","142,882,000","131,125,000","119,956,000","87,901,000","125,834,000","136,876,000","131,801,000","133,646,000","150,474,000","160,742,000","150,276,000","140,825,000","138,867,000","120,776,000","126,740,000","107,280,000","117,813,000","102,657,000","101,823,000","96,103,000","95,743,000","82,795,000","86,537,000","75,706,000","66,701,000","67,614,000","64,205,000","65,424,000","64,287,000","64,449,000","67,927,000","65,903,000","63,190,000","76,879,000","88,138,000","105,611,000","119,527,000","130,824,000","116,493,000","152,634,000","96,600,000","67,800,000","53,300,000","46,700,000","46,500,000","46,200,000","39,800,000","37,300,000","33,500,000","31,900,000","30,000,000","28,700,000","27,400,000","24,900,000","24,500,000","22,200,000","23,600,000","23,000,000","20,900,000","19,200,000","18,100,000","16,000,000","15,400,000","15,700,000","13,600,000","14,900,000","14,100,000","17,100,000","15,400,000","13,900,000","14,400,000","14,200,000","13,300,000","12,800,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,724,000,000","550,000,000","624,000,000","801,000,000","749,079,000","586,897,000","636,320,000","335,658,000","183,006,000","368,877,000","386,793,000","455,685,000","399,047,000","379,931,000","376,673,000","324,313,000","281,992,000","259,715,000","251,469,000","204,172,000","159,285,000","158,467,000","192,524,000","159,427,000","130,181,000","143,706,000","144,979,000","149,433,000","208,348,000","172,939,000","102,133,000","43,782,000","333,623,000","228,191,000","263,584,000","106,456,000","86,946,000","129,188,000","81,610,000","88,595,000","63,689,000","70,174,000","102,846,000","132,995,000","95,865,000","44,987,000","77,435,000","35,005,000","40,792,000","37,684,000","43,288,000","9,551,000","-42,705,000","4,741,000","44,456,000","37,795,000","46,704,000","59,069,000","64,170,000","38,418,000","48,759,000","49,546,000","43,921,000","22,686,000","38,822,000","42,338,000","37,966,000","35,056,000","39,939,000","32,161,000","25,338,000","25,579,000","22,039,000","-25,113,000","26,266,000","-1,395,000","15,411,000","17,544,000","18,021,000","23,513,000","20,999,000","18,055,000","29,791,000","38,248,000","55,058,000","59,668,000","58,330,000","56,435,000","92,543,000","41,900,000","16,500,000","14,700,000","13,100,000","7,500,000","14,600,000","14,000,000","13,000,000","12,800,000","12,600,000","11,700,000","10,700,000","9,800,000","8,800,000","9,400,000","7,800,000","9,400,000","7,800,000","7,000,000","5,700,000","5,800,000","3,700,000","3,900,000","3,000,000","400,000","500,000",,"1,700,000","600,000","-15,700,000","5,800,000","5,700,000","5,800,000","5,700,000",,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"651,000,000","142,000,000","149,000,000","173,000,000","187,315,000","148,096,000","162,265,000","87,869,000","49,357,000","94,061,000","105,075,000","119,114,000","107,435,000","105,000,000","95,308,000","77,287,000","73,966,000","135,051,000","97,351,000","71,656,000","51,405,000","54,825,000","76,877,000","65,047,000","53,584,000","53,697,000","57,017,000","54,974,000","63,066,000","42,302,000","38,961,000","33,582,000","58,917,000","35,285,000","47,404,000","29,968,000","26,401,000","29,526,000","28,470,000","31,517,000","23,756,000","26,284,000","26,770,000","43,263,000","22,770,000","11,005,000","24,996,000","13,819,000","11,582,000","13,602,000","16,879,000","7,174,000","-1,702,000","2,319,000","17,448,000","16,500,000","18,801,000","24,803,000","26,054,000","15,553,000","20,368,000","21,196,000","18,751,000","9,092,000","16,743,000","16,692,000","14,907,000","14,160,000","15,789,000","12,606,000","9,235,000","9,871,000","8,029,000","-9,819,000","8,837,000","-819,000","4,993,000","5,627,000","4,925,000","8,528,000","7,639,000","5,971,000","11,189,000","14,116,000","21,722,000","23,929,000","23,391,000","22,700,000","37,888,000","17,000,000","6,000,000","5,700,000","5,300,000","2,900,000","6,000,000","5,800,000","5,400,000","5,300,000","5,300,000","4,900,000","4,500,000","3,900,000","3,500,000","3,800,000","3,100,000","3,900,000","2,300,000","3,000,000","2,400,000","2,800,000","1,600,000","1,700,000","1,300,000","200,000","200,000",,"700,000","200,000","-6,300,000","2,300,000","2,300,000","2,400,000","2,500,000",,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,770,000,000","371,000,000","365,000,000","502,000,000","532,220,000","388,316,000","441,713,000","228,935,000","132,253,000","262,856,000","267,281,000","317,987,000","288,732,000","266,264,000","274,817,000","237,798,000","194,961,000","117,210,000","148,620,000","123,193,000","101,483,000","99,466,000","111,081,000","92,964,000","79,174,000","87,512,000","81,733,000","86,143,000","88,516,000","58,832,000","62,995,000","50,797,000","91,301,000","58,757,000","67,621,000","48,584,000","40,891,000","50,421,000","42,289,000","47,603,000","34,790,000","35,574,000","37,571,000","65,750,000","33,007,000","17,487,000","37,787,000","21,120,000","18,557,000","6,044,000","20,608,000","7,793,000","-10,546,000","1,715,000","27,008,000","21,295,000","27,903,000","34,266,000","38,116,000","22,865,000","28,391,000","28,350,000","25,170,000","13,594,000","22,271,000","25,646,000","23,059,000","20,896,000","24,150,000","19,555,000","16,103,000","15,708,000","14,010,000","-15,294,000","17,429,000","-576,000","10,418,000","11,917,000","13,096,000","14,985,000","13,360,000","12,084,000","18,602,000","24,132,000","33,336,000","35,739,000","34,939,000","33,735,000","54,655,000","24,900,000","10,500,000","9,000,000","7,800,000","4,600,000","8,600,000","8,200,000","7,600,000","7,500,000","7,300,000","6,800,000","6,200,000","5,900,000","5,300,000","5,600,000","4,700,000","5,500,000","5,500,000","4,000,000","3,300,000","3,000,000","2,100,000","2,200,000","1,700,000","200,000","300,000","100,000","1,000,000","400,000","-9,400,000","3,500,000","3,400,000","3,400,000","3,200,000",,,,,,,,,,,,,,,,,,,,,,,,
	NetIncome,"1,833,000,000","394,000,000","387,000,000","515,000,000","536,814,000","392,910,000","446,307,000","233,529,000","135,622,000","262,856,000","267,281,000","317,987,000","288,732,000","266,264,000","274,817,000","237,798,000","194,961,000","117,210,000","148,620,000","123,193,000","101,483,000","99,466,000","111,081,000","92,964,000","79,174,000","87,512,000","81,733,000","86,143,000","88,516,000","58,832,000","62,995,000","50,797,000","91,301,000","58,757,000","67,621,000","48,584,000","40,891,000","50,421,000","42,289,000","47,603,000","34,790,000","35,574,000","37,571,000","65,750,000","33,007,000","17,487,000","37,787,000","21,120,000","18,557,000","20,744,000","24,163,000","11,338,000","-7,010,000","2,422,000","27,008,000","21,295,000","27,903,000","34,266,000","38,116,000","22,865,000","28,391,000","28,350,000","25,170,000","13,594,000","22,271,000","25,646,000","23,059,000","20,896,000","24,150,000","19,555,000","16,103,000","15,708,000","14,010,000","-15,294,000","17,429,000","-576,000","10,418,000","11,917,000","13,096,000","14,985,000","13,360,000","12,084,000","18,602,000","24,132,000","33,336,000","35,739,000","34,939,000","33,735,000","54,655,000","24,900,000","10,500,000","9,000,000","7,800,000","4,600,000","8,600,000","8,200,000","7,600,000","7,500,000","7,300,000","6,800,000","6,200,000","5,900,000","5,300,000","5,600,000","4,700,000","5,500,000","5,500,000","4,000,000","3,300,000","3,000,000","2,100,000","2,200,000","1,700,000","200,000","300,000","100,000","1,000,000","400,000","-9,400,000","3,500,000","3,400,000","3,400,000","3,200,000",,,,,,,,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"2,073,000,000","408,000,000","475,000,000","628,000,000","561,764,000","438,801,000","474,055,000","247,789,000","133,649,000","274,816,000","281,718,000","336,571,000","291,612,000","274,931,000","281,365,000","247,026,000","208,026,000","124,664,000","154,118,000","132,516,000","107,880,000","103,642,000","115,647,000","94,380,000","76,597,000","90,009,000","87,962,000","94,459,000","145,282,000","130,637,000","63,172,000","10,200,000","274,706,000","192,906,000","216,180,000","76,488,000","60,545,000","99,662,000","53,140,000","57,078,000","39,933,000","43,890,000","76,076,000","89,732,000","73,095,000","33,982,000","52,439,000","21,186,000","29,210,000","24,082,000","26,409,000","2,377,000","-41,003,000","45,796,000","25,315,000","19,761,000","23,685,000","36,223,000","48,574,000","28,690,000","38,747,000","29,519,000","24,251,000","19,408,000","22,515,000","28,574,000","24,340,000","20,524,000","23,534,000","22,084,000","16,105,000","15,775,000","14,491,000","-16,732,000","17,422,000","-3,341,000","6,939,000","9,687,000","10,796,000","13,588,000","11,520,000","7,978,000","16,378,000","23,419,000","32,833,000","35,488,000","34,730,000","33,735,000","54,655,000","24,900,000","10,500,000","9,000,000","7,800,000","4,600,000","8,600,000","8,200,000","7,600,000","7,500,000","7,300,000","6,800,000","6,200,000","5,900,000","5,300,000","5,600,000","4,700,000","5,500,000","5,500,000","4,000,000","3,300,000","3,000,000","2,100,000","2,200,000","1,700,000","200,000","300,000","100,000","1,000,000","400,000","-9,400,000","3,500,000","3,400,000","3,400,000","3,200,000","2,900,000","2,900,000","2,700,000","2,600,000","2,500,000","2,300,000","2,100,000","1,900,000","1,600,000","1,500,000","1,200,000","1,000,000","700,000","600,000","500,000","400,000","300,000","300,000","100,000","200,000","200,000","100,000","0","0"
			NetIncomeContinuousOperations,"2,073,000,000","408,000,000","475,000,000","628,000,000","561,764,000","438,801,000","474,055,000","247,789,000","133,649,000","274,816,000","281,718,000","336,571,000","291,612,000","274,931,000","281,365,000","247,026,000","208,026,000","124,664,000","154,118,000","132,516,000","107,880,000","103,642,000","115,647,000","94,380,000","76,597,000","90,009,000","87,962,000","94,459,000","145,282,000","130,637,000","63,172,000","10,200,000","274,706,000","192,906,000","216,180,000","76,488,000","60,545,000","99,662,000","53,140,000","57,078,000","39,933,000","43,890,000","76,076,000","89,732,000","73,095,000","33,982,000","52,439,000","21,186,000","29,210,000","24,082,000","26,409,000","2,377,000","-41,003,000","2,422,000","27,008,000","21,295,000","27,903,000","34,266,000","38,116,000","22,865,000","28,391,000","28,350,000","25,170,000","13,594,000","22,079,000","25,646,000","23,059,000","20,896,000","24,150,000","19,555,000","16,103,000","15,708,000","14,010,000","-15,294,000","17,429,000","-576,000","10,418,000","11,917,000","13,096,000","14,985,000","13,360,000","12,084,000","18,602,000","24,132,000","33,336,000","35,739,000","34,939,000","33,735,000","54,655,000","24,900,000","10,500,000","9,000,000","7,800,000","4,600,000","8,600,000","8,200,000","7,600,000","7,500,000","7,300,000","6,800,000","6,200,000","5,900,000","5,300,000","5,600,000","4,700,000","5,500,000","5,500,000","4,000,000","3,300,000","3,000,000","2,100,000","2,200,000","1,700,000","200,000","300,000","100,000","1,000,000","400,000","-9,400,000","3,500,000","3,400,000","3,400,000","3,200,000","2,900,000","2,900,000","2,700,000","2,600,000","2,500,000","2,300,000","2,100,000","1,900,000","1,600,000","1,500,000","1,200,000","1,000,000","700,000","600,000","500,000","400,000","300,000","300,000","100,000","200,000","200,000","100,000","0","0"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-240,000,000","-14,000,000","-88,000,000","-113,000,000","-24,950,000","-45,891,000","-27,748,000","-14,260,000","1,973,000","-11,960,000","-14,437,000","-18,584,000","-2,880,000","-8,667,000","-6,548,000","-9,228,000","-13,065,000","-7,454,000","-5,498,000","-9,323,000","-6,397,000","-4,176,000","-4,566,000","-1,416,000","2,577,000","-2,497,000","-6,229,000","-8,316,000","-56,766,000","-71,805,000","-177,000","40,597,000","-183,405,000","-134,149,000","-148,559,000","-27,904,000","-19,654,000","-49,241,000","-10,851,000","-9,475,000","-5,143,000","-8,316,000","-38,505,000","-23,982,000","-40,088,000","-16,495,000","-14,652,000","-66,000","-10,653,000","-3,338,000","-2,246,000","8,961,000","33,993,000","11,694,000","1,693,000","1,534,000","4,218,000","-1,957,000","-10,458,000","-5,825,000","-10,356,000","-1,169,000","919,000","-5,814,000","-244,000","-2,928,000","-1,281,000","372,000","616,000","-2,529,000","-2,000","-67,000","-481,000","1,438,000","7,000","2,765,000","3,479,000","2,230,000","2,300,000","1,397,000","1,840,000","4,106,000","2,224,000","713,000","503,000","251,000","209,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
