name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"7,885,300,000","2,057,100,000","2,050,000,000","1,858,000,000","1,920,200,000","2,076,700,000","2,034,000,000","1,971,800,000","2,092,000,000","1,972,300,000","1,957,800,000","1,778,900,000","1,902,100,000","2,011,900,000","2,021,500,000","1,902,500,000","1,781,300,000","1,903,300,000","1,923,600,000","1,748,900,000","1,783,800,000","1,878,800,000","1,913,900,000","1,815,800,000","1,807,600,000","1,973,900,000","2,077,700,000","1,952,000,000","1,447,100,000","1,440,000,000","1,481,800,000","1,323,800,000","1,234,300,000","1,465,500,000","1,559,900,000","1,350,900,000","1,339,693,000","1,559,558,000","1,628,746,000","1,369,703,000","1,355,353,000","1,467,641,000","1,513,905,000","1,188,883,000","1,187,167,000","1,312,351,000","1,278,913,000","1,047,312,000","1,069,079,000","1,205,939,000","1,278,745,000","1,051,526,000","1,068,540,000","1,182,594,000","843,142,000","663,657,000","589,998,000","665,373,000","707,890,000","561,513,000","493,472,000","523,081,000","604,955,000","526,509,000","501,678,000","536,453,000","606,264,000","510,331,000","491,454,000","550,234,000","588,922,000","415,816,000","325,409,000","355,297,000","385,998,000","350,307,000","329,007,000","340,826,000","366,975,000","274,936,000","176,120,000","168,392,000","172,844,000","169,792,000","169,693,000","151,020,000","166,862,000","163,667,000","156,598,000","150,428,000","164,000,000","161,500,000","156,257,000","140,800,000","154,900,000","150,500,000","142,276,000","130,700,000","145,200,000","147,400,000","141,102,000","124,500,000","142,800,000","134,200,000","41,776,000","159,700,000","179,200,000","148,000,000","142,279,000","157,300,000","184,300,000","144,300,000","134,225,000","120,600,000","138,400,000","118,300,000","122,300,000","110,400,000","133,900,000","124,800,000","121,100,000","112,000,000","130,800,000","119,700,000","117,100,000","102,000,000","125,200,000","110,700,000","108,500,000","95,400,000","118,400,000","100,100,000","93,600,000","85,000,000","100,300,000","88,100,000","79,500,000","75,400,000","82,200,000","77,100,000","73,200,000","67,600,000","78,100,000","69,400,000","65,200,000","62,000,000","71,600,000"
	OperatingRevenue,"7,885,300,000","2,057,100,000","2,050,000,000","1,858,000,000","1,920,200,000","2,076,700,000","2,034,000,000","1,971,800,000","2,092,000,000","1,972,300,000","1,957,800,000","1,778,900,000","1,902,100,000","2,011,900,000","2,021,500,000","1,902,500,000","1,781,300,000","1,903,300,000","1,923,600,000","1,748,900,000","1,783,800,000","1,878,800,000","1,913,900,000","1,815,800,000","1,807,600,000","1,973,900,000","2,077,700,000","1,952,000,000","1,447,100,000","1,440,000,000","1,481,800,000","1,323,800,000","1,234,300,000","1,465,500,000","1,559,900,000","1,350,900,000","1,339,693,000","1,559,558,000","1,628,746,000","1,369,703,000","1,355,353,000","1,467,641,000","1,513,905,000","1,188,883,000","1,187,167,000","1,312,351,000","1,278,913,000","1,047,312,000","1,069,079,000","1,205,939,000","1,278,745,000","1,051,526,000","1,068,540,000","1,182,594,000","843,142,000","663,657,000","589,998,000","665,373,000","707,890,000","561,513,000","493,472,000","523,081,000","604,955,000","526,509,000","501,678,000","536,453,000","606,264,000","510,331,000","491,454,000","550,234,000","588,922,000","415,816,000","325,409,000","355,297,000","385,998,000","350,307,000","329,007,000","340,826,000","366,975,000","274,936,000","176,120,000","168,392,000","172,844,000","169,792,000","169,693,000","151,020,000","166,862,000","163,667,000","156,598,000","150,428,000","164,000,000","161,500,000","156,257,000","140,800,000","154,900,000","150,500,000","142,276,000","130,700,000","145,200,000","147,400,000","141,102,000","124,500,000","142,800,000","134,200,000","41,776,000","159,700,000","179,200,000","148,000,000","142,279,000","157,300,000","184,300,000","144,300,000","134,225,000","120,600,000","138,400,000","118,300,000","122,300,000","110,400,000","133,900,000","124,800,000","121,100,000","112,000,000","130,800,000","119,700,000","117,100,000","102,000,000","125,200,000","110,700,000","108,500,000","95,400,000","118,400,000","100,100,000","93,600,000","85,000,000","100,300,000","88,100,000","79,500,000","75,400,000","82,200,000","77,100,000","73,200,000","67,600,000","78,100,000","69,400,000","65,200,000","62,000,000","71,600,000"
CostOfRevenue,"5,115,600,000","1,374,000,000","1,338,500,000","1,218,600,000","1,184,500,000","1,267,300,000","1,215,800,000","1,196,400,000","1,303,600,000","1,212,300,000","1,203,800,000","1,079,300,000","1,209,700,000","1,238,100,000","1,250,200,000","1,224,300,000","1,090,800,000","1,174,800,000","1,168,600,000","1,086,800,000","1,137,000,000","1,155,900,000","1,171,000,000","1,093,100,000","1,119,600,000","1,210,100,000","1,290,400,000","1,223,300,000","1,016,500,000","917,100,000","945,300,000","845,100,000","794,000,000","920,300,000","1,007,300,000","858,000,000","860,006,000","1,023,329,000","1,086,835,000","899,930,000","905,568,000","1,001,956,000","1,015,236,000","757,799,000","766,169,000","837,937,000","784,243,000","638,877,000","638,972,000","747,635,000","786,495,000","645,497,000","669,350,000","781,553,000","599,723,000","455,878,000","407,759,000","469,920,000","489,402,000","375,529,000","313,569,000","350,114,000","413,764,000","368,515,000","341,681,000","372,599,000","402,841,000","345,618,000","341,305,000","376,036,000","400,041,000","271,220,000","221,586,000","225,464,000","248,963,000","229,608,000","214,621,000","217,895,000","240,563,000","182,584,000","119,130,000","113,391,000","116,761,000","112,875,000","126,004,000","96,510,000","110,374,000","105,592,000","105,980,000","95,937,000","109,100,000","103,500,000","104,344,000","91,700,000","103,200,000","96,600,000","90,213,000","83,400,000","96,000,000","96,000,000","88,549,000","80,400,000","94,200,000","85,900,000","17,495,000","104,500,000","120,400,000","94,600,000","95,213,000","100,600,000","120,800,000","94,400,000","86,255,000","77,000,000","88,500,000","74,400,000","63,200,000","69,800,000","86,600,000","81,400,000","65,500,000","72,700,000","85,300,000","77,800,000","64,300,000","66,000,000","82,200,000","71,300,000","61,000,000","65,100,000","79,500,000","65,400,000",,,,,,,,,,,,,,,
GrossProfit,"2,769,700,000","683,100,000","711,500,000","639,400,000","735,700,000","809,400,000","818,200,000","775,400,000","788,400,000","760,000,000","754,000,000","699,600,000","692,400,000","773,800,000","771,300,000","678,200,000","690,500,000","728,500,000","755,000,000","662,100,000","646,800,000","722,900,000","742,900,000","722,700,000","688,000,000","763,800,000","787,300,000","728,700,000","430,600,000","522,900,000","536,500,000","478,700,000","440,300,000","545,200,000","552,600,000","492,900,000","479,687,000","536,229,000","541,911,000","469,773,000","449,785,000","465,685,000","498,669,000","431,084,000","420,998,000","474,414,000","494,670,000","408,435,000","430,107,000","458,304,000","492,250,000","406,029,000","399,190,000","401,041,000","243,419,000","207,779,000","182,239,000","195,453,000","218,488,000","185,984,000","179,903,000","172,967,000","191,191,000","157,994,000","159,997,000","163,854,000","203,423,000","164,713,000","150,149,000","174,198,000","188,881,000","144,596,000","103,823,000","129,833,000","137,035,000","120,699,000","114,386,000","122,931,000","126,412,000","92,352,000","56,990,000","55,001,000","56,083,000","56,917,000","43,689,000","54,510,000","56,488,000","58,075,000","50,618,000","54,491,000","54,900,000","58,000,000","51,913,000","49,100,000","51,700,000","53,900,000","52,063,000","47,300,000","49,200,000","51,400,000","52,553,000","44,100,000","48,600,000","48,300,000","24,281,000","55,200,000","58,800,000","53,400,000","47,066,000","56,700,000","63,500,000","49,900,000","47,970,000","43,600,000","49,900,000","43,900,000","59,100,000","40,600,000","47,300,000","43,400,000","55,600,000","39,300,000","45,500,000","41,900,000","52,800,000","36,000,000","43,000,000","39,400,000","47,500,000","30,300,000","38,900,000","34,700,000",,,,,,,,,,,,,,,
OperatingExpense,"1,630,900,000","380,100,000","398,400,000","378,200,000","474,200,000","401,500,000","437,400,000","414,300,000","435,100,000","415,300,000","420,900,000","438,700,000","428,700,000","430,200,000","415,400,000","443,600,000","378,600,000","383,300,000","414,600,000","401,200,000","382,500,000","391,500,000","413,000,000","406,700,000","400,900,000","404,100,000","442,900,000","438,700,000","320,800,000","261,900,000","278,900,000","278,500,000","243,100,000","274,600,000","294,900,000","273,800,000","258,352,000","271,052,000","282,896,000","255,400,000","238,333,000","245,897,000","258,541,000","236,787,000","241,038,000","232,840,000","241,322,000","222,508,000","241,255,000","234,184,000","253,138,000","220,992,000","202,170,000","232,516,000","150,785,000","132,032,000","115,768,000","122,907,000","131,361,000","116,750,000","109,540,000","108,789,000","116,088,000","108,397,000","105,063,000","103,610,000","120,025,000","110,624,000","95,270,000","106,464,000","115,279,000","91,222,000","74,431,000","76,614,000","79,203,000","76,615,000","72,958,000","71,907,000","74,948,000","59,947,000","42,393,000","39,787,000","41,307,000","41,685,000","29,430,000","41,758,000","44,928,000","42,009,000","49,934,000","46,242,000","39,800,000","40,800,000","37,338,000","35,500,000","37,400,000","37,300,000","37,099,000","35,000,000","35,300,000","35,400,000","37,249,000","33,100,000","35,100,000","35,000,000","15,987,000","42,500,000","42,100,000","37,000,000","35,467,000","41,800,000","42,800,000","34,700,000","40,888,000","31,800,000","32,400,000","29,600,000","43,500,000","28,900,000","30,400,000","28,000,000","41,100,000","28,400,000","30,500,000","27,700,000","39,300,000","25,800,000","28,600,000","25,900,000","34,700,000","20,700,000","25,000,000","22,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,418,800,000","336,000,000","347,700,000","324,000,000","411,100,000","371,700,000","382,800,000","357,500,000","373,400,000","358,900,000","361,500,000","380,500,000","369,800,000","373,100,000","382,400,000","383,300,000","327,800,000","331,900,000","360,900,000","350,200,000","334,400,000","337,200,000","363,100,000","356,000,000","351,800,000","381,100,000","389,800,000","387,600,000","288,200,000","237,300,000","252,400,000","253,400,000","218,000,000","250,300,000","270,300,000","250,200,000","233,481,000","251,016,000","257,187,000","232,216,000","214,513,000","225,016,000","236,602,000","216,552,000","222,707,000","214,325,000","222,821,000","203,261,000","229,648,000","214,411,000","232,985,000","201,177,000","181,709,000","211,633,000","151,292,000","131,884,000","119,647,000","122,907,000","131,361,000","116,750,000","109,540,000","108,789,000","116,088,000","108,397,000","104,198,000","103,610,000","120,025,000","110,624,000","95,270,000","106,464,000","115,279,000","91,222,000","70,812,000","77,039,000","81,009,000","76,615,000","72,958,000","71,907,000","74,948,000","59,947,000","42,393,000","39,787,000","41,307,000","41,685,000","29,430,000","41,758,000","42,776,000","42,009,000","40,247,000","41,437,000","39,800,000","40,800,000","37,338,000","35,500,000","37,400,000","37,300,000","37,099,000","35,000,000","35,300,000","35,400,000","37,249,000","33,100,000","35,100,000","35,000,000","15,987,000","42,500,000","42,100,000","37,000,000","35,467,000","41,800,000","42,800,000","34,700,000","40,888,000","31,800,000","32,400,000","29,600,000","30,400,000","28,900,000","30,400,000","28,000,000","28,300,000","28,400,000","30,500,000","27,700,000","27,500,000","25,800,000","28,600,000","25,900,000","24,200,000","20,700,000","25,000,000","22,000,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,"98,600,000",,"95,100,000","130,500,000",,"128,800,000","100,200,000","122,500,000","107,600,000",,,,,,,,,"117,800,000","109,600,000","126,400,000","117,400,000","111,800,000","122,100,000","154,500,000","125,300,000","118,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"98,600,000",,"95,100,000","130,500,000",,"128,800,000","100,200,000","122,500,000","107,600,000",,,,,,,,,"117,800,000","109,600,000","126,400,000","117,400,000","111,800,000","122,100,000","154,500,000","125,300,000","118,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,"237,400,000",,"228,900,000","280,600,000",,"254,000,000","257,300,000","250,900,000","251,300,000",,,,,,,,,"243,100,000","240,600,000","208,000,000","219,800,000","251,300,000","233,900,000","197,300,000","255,800,000","271,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"223,000,000","55,300,000","55,400,000","55,400,000","56,900,000","57,000,000","59,500,000","59,600,000","59,900,000","58,800,000","58,800,000","58,800,000","60,400,000","59,700,000","59,700,000","60,500,000","52,100,000","51,600,000","51,600,000","51,500,000","52,100,000","51,700,000","51,800,000","51,700,000","50,200,000","52,200,000","53,000,000","53,000,000","35,600,000","25,200,000","25,200,000","24,900,000","24,800,000","24,900,000","24,700,000","24,500,000","24,206,000","24,200,000","24,203,000","24,191,000","25,235,000","22,031,000","20,559,000","20,235,000","18,331,000","18,515,000","18,501,000","18,497,000","18,398,000","18,570,000","18,312,000","18,377,000","16,803,000","20,558,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
