name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
TotalRevenue,"4,504,127,000","1,270,255,000","1,152,419,000","1,057,130,000","1,024,323,000","970,321,000","1,025,439,000","964,134,000","861,327,000","834,381,000","851,081,000","852,970,000","836,242,000","820,401,000","795,082,000","779,714,000","776,836,000","769,426,000","696,644,000","695,381,000","680,069,000","652,786,000","633,719,000","615,204,000","605,005,000","568,604,000","587,159,000","555,805,000","557,204,000","542,043,000","539,012,000","521,812,000","517,697,000","478,951,000","504,875,000","482,945,000","499,257,000","475,137,000","454,213,000","443,747,000","432,561,000","425,496,000","390,534,000","386,795,000","393,670,000","364,644,000","375,459,000","336,929,000","338,106,000","330,167,000","338,278,000","345,177,000","336,835,000","339,755,000","352,805,000","344,128,000","324,553,000","315,465,000","315,233,000","304,098,000","292,928,000","300,210,000","283,384,000","277,208,000","274,779,000","260,189,000","254,838,000","251,450,000","244,339,000","241,304,000","230,555,000","281,681,000","294,604,000","285,264,000","316,453,000","300,366,000","292,028,000","268,136,000","309,256,000","236,095,000","185,638,000","175,545,000","183,562,000","176,110,000","163,524,000","157,154,000","133,222,000","228,835,000","204,853,000","216,900,000","228,300,000","207,400,000","190,200,000","180,200,000","194,000,000","179,600,000","170,100,000","174,200,000","133,200,000","125,000,000","124,200,000","102,500,000","98,500,000","91,000,000","85,000,000","79,000,000","73,500,000","68,100,000","62,500,000","58,000,000","54,300,000","50,300,000","47,200,000","34,000,000","32,300,000","29,500,000","25,000,000","21,200,000","19,500,000","16,100,000","14,400,000","13,000,000","11,700,000","11,100,000","9,600,000","8,100,000","5,600,000","5,500,000","5,500,000","5,500,000"
	OperatingRevenue,"4,504,127,000","1,270,255,000","1,152,419,000","1,057,130,000","1,024,323,000","970,321,000","1,025,439,000","964,134,000","861,327,000","834,381,000","851,081,000","852,970,000","836,242,000","820,401,000","795,082,000","779,714,000","776,836,000","769,426,000","696,644,000","695,381,000","680,069,000","652,786,000","633,719,000","615,204,000","605,005,000","568,604,000","587,159,000","555,805,000","557,204,000","542,043,000","539,012,000","521,812,000","517,697,000","478,951,000","504,875,000","482,945,000","499,257,000","475,137,000","454,213,000","443,747,000","432,561,000","425,496,000","390,534,000","386,795,000","393,670,000","364,644,000","375,459,000","336,929,000","338,106,000","330,167,000","338,278,000","345,177,000","336,835,000","339,755,000","352,805,000","344,128,000","324,553,000","315,465,000","315,233,000","304,098,000","292,928,000","300,210,000","283,384,000","277,208,000","274,779,000","260,189,000","254,838,000","251,450,000","244,339,000","241,304,000","230,555,000","281,681,000","294,604,000","285,264,000","316,453,000","300,366,000","292,028,000","268,136,000","309,256,000","236,095,000","185,638,000","175,545,000","183,562,000","176,110,000","163,524,000","157,154,000","133,222,000","228,835,000","204,853,000","216,900,000","228,300,000","207,400,000","190,200,000","180,200,000","194,000,000","179,600,000","170,100,000","174,200,000","133,200,000","125,000,000","124,200,000","102,500,000","98,500,000","91,000,000","85,000,000","79,000,000","73,500,000","68,100,000","62,500,000","58,000,000","54,300,000","50,300,000","47,200,000","34,000,000","32,300,000","29,500,000","25,000,000","21,200,000","19,500,000","16,100,000","14,400,000","13,000,000","11,700,000","11,100,000","9,600,000","8,100,000","5,600,000","5,500,000","5,500,000","5,500,000"
CostOfRevenue,"910,762,000","256,984,000","234,726,000","205,066,000","213,986,000","207,999,000","224,549,000","193,008,000","184,265,000","192,868,000","182,743,000","186,632,000","190,679,000","192,892,000","190,582,000","185,381,000","178,779,000","181,156,000","166,864,000","169,546,000","162,028,000","155,746,000","142,211,000","139,677,000","131,630,000","129,444,000","139,844,000","129,471,000","124,972,000","124,633,000","121,421,000","115,530,000","114,085,000","105,849,000","119,109,000","115,647,000","107,733,000","111,063,000","102,524,000","99,789,000","100,506,000","89,854,000","85,385,000","84,732,000","86,028,000","84,305,000","79,743,000","66,743,000","69,027,000","65,581,000","73,172,000","70,035,000","65,019,000","65,424,000","66,868,000","67,026,000","63,692,000","61,310,000","62,082,000","58,391,000","55,417,000","58,375,000","56,812,000","55,445,000","55,855,000","46,562,000","46,021,000","43,080,000","41,624,000","41,876,000","40,666,000","38,756,000","39,183,000","35,882,000","39,533,000","34,302,000","59,376,000","38,559,000","35,321,000","34,320,000","34,392,000","35,190,000","34,390,000","32,720,000","30,956,000","32,056,000","20,629,000","18,586,000","18,512,000","18,100,000","19,000,000","19,600,000","14,000,000","10,100,000","14,200,000","12,500,000","10,800,000","12,100,000","8,200,000","8,700,000","6,400,000","5,900,000","5,100,000","5,200,000","5,000,000","4,800,000","4,300,000","4,600,000","3,300,000","2,100,000","3,300,000","3,900,000","3,800,000","2,600,000","2,700,000","2,300,000","2,200,000","1,900,000","1,200,000","1,800,000","1,400,000","1,200,000",,,,,,,,
GrossProfit,"3,593,365,000","1,013,271,000","917,693,000","852,064,000","810,337,000","762,322,000","800,890,000","771,126,000","677,062,000","641,513,000","668,338,000","666,338,000","645,563,000","627,509,000","604,500,000","594,333,000","598,057,000","588,270,000","529,780,000","525,835,000","518,041,000","497,040,000","491,508,000","475,527,000","473,375,000","439,160,000","447,315,000","426,334,000","432,232,000","417,410,000","417,591,000","406,282,000","403,612,000","373,102,000","385,766,000","367,298,000","391,524,000","364,074,000","351,689,000","343,958,000","332,055,000","335,642,000","305,149,000","302,063,000","307,642,000","280,339,000","295,716,000","270,186,000","269,079,000","264,586,000","265,106,000","275,142,000","271,816,000","274,331,000","285,937,000","277,102,000","260,861,000","254,155,000","253,151,000","245,707,000","237,511,000","241,835,000","226,572,000","221,763,000","218,924,000","213,627,000","208,817,000","208,370,000","202,715,000","199,428,000","189,889,000","242,925,000","255,421,000","249,382,000","276,920,000","266,064,000","232,652,000","229,577,000","273,935,000","201,775,000","151,246,000","140,355,000","149,172,000","143,390,000","132,568,000","125,098,000","112,593,000","210,249,000","186,341,000","198,800,000","209,300,000","187,800,000","176,200,000","170,100,000","179,800,000","167,100,000","159,300,000","162,100,000","125,000,000","116,300,000","117,800,000","96,600,000","93,400,000","85,800,000","80,000,000","74,200,000","69,200,000","63,500,000","59,200,000","55,900,000","51,000,000","46,400,000","43,400,000","31,400,000","29,600,000","27,200,000","22,800,000","19,300,000","18,300,000","14,300,000","13,000,000","11,800,000",,,,,,,,
OperatingExpense,"2,614,736,000","654,489,000","709,151,000","634,990,000","616,106,000","613,974,000","605,145,000","562,505,000","521,495,000","545,246,000","525,177,000","519,406,000","515,618,000","480,130,000","531,947,000","530,342,000","468,867,000","480,834,000","432,519,000","414,439,000","451,528,000","388,061,000","402,105,000","398,805,000","385,675,000","365,957,000","389,757,000","365,100,000","356,305,000","330,575,000","360,091,000","339,055,000","339,778,000","312,946,000","334,752,000","312,303,000","312,021,000","303,093,000","312,199,000","280,563,000","314,919,000","265,639,000","248,832,000","243,884,000","255,957,000","233,677,000","262,459,000","219,393,000","224,111,000","209,494,000","240,184,000","214,053,000","217,148,000","206,759,000","220,633,000","222,270,000","210,924,000","200,316,000","214,175,000","220,609,000","200,163,000","222,013,000","215,138,000","208,610,000","210,813,000","202,937,000","201,506,000","198,396,000","194,944,000","189,982,000","196,906,000","175,590,000","192,131,000","179,464,000","191,984,000","177,889,000","182,991,000","189,841,000","184,295,000","278,697,000","131,743,000","131,257,000","136,058,000","141,639,000","136,121,000","136,661,000","160,570,000","157,184,000","145,494,000","137,800,000","140,800,000","127,200,000","120,800,000","119,100,000","122,600,000","118,200,000","115,200,000","171,300,000","83,300,000","89,900,000","102,200,000","76,200,000","74,300,000","68,200,000","63,700,000","58,300,000","54,500,000","50,000,000","46,800,000","44,600,000","33,200,000","41,400,000","34,800,000","24,600,000","23,000,000","21,600,000","18,400,000","15,800,000","15,100,000","11,500,000","10,600,000","9,800,000",,,,,,,,
	SellingGeneralAndAdministration,"1,048,881,000","261,518,000","286,641,000","255,274,000","245,448,000","248,116,000","256,295,000","229,972,000","208,674,000","221,599,000","224,594,000","224,491,000","215,003,000","198,020,000","230,368,000","242,289,000","205,997,000","206,884,000","180,196,000","177,870,000","220,649,000","167,377,000","173,658,000","169,876,000","162,479,000","162,317,000","174,514,000","160,913,000","161,554,000","142,523,000","163,201,000","149,709,000","155,359,000","140,025,000","154,002,000","139,891,000","136,184,000","139,696,000","153,288,000","131,773,000","158,784,000","129,243,000","119,873,000","117,784,000","129,032,000","109,189,000","129,918,000","111,183,000","108,076,000","105,469,000","121,739,000","105,708,000","111,211,000","104,566,000","115,034,000","113,328,000","109,058,000","101,211,000","110,488,000","119,594,000","101,563,000","119,485,000","112,929,000","107,863,000","112,386,000","107,993,000","111,759,000","108,282,000","106,090,000","108,213,000","112,088,000","98,589,000","113,359,000","99,883,000","103,762,000","97,952,000","105,210,000","93,789,000","221,523,000","91,030,000","80,738,000","78,507,000","84,968,000","88,094,000","84,306,000","86,268,000","94,655,000","89,682,000","84,428,000","79,200,000","81,100,000","71,600,000","69,400,000","66,700,000","74,600,000","70,000,000","68,600,000","115,500,000","47,200,000","53,000,000","64,600,000","45,000,000","45,000,000","41,000,000","39,100,000","36,600,000","33,700,000","32,000,000","29,300,000","40,500,000","29,700,000","38,500,000","22,800,000","22,600,000","21,200,000","19,600,000","16,700,000","14,300,000","13,600,000","10,300,000","9,100,000","8,400,000",,,,,,,,
		GeneralAndAdministrativeExpense,"326,508,000","81,008,000","88,960,000","83,846,000","72,694,000","77,488,000","79,796,000","73,516,000","62,474,000","68,744,000","63,424,000","67,382,000","56,351,000","42,061,000","63,043,000","84,336,000","58,809,000","56,372,000","26,190,000","46,350,000","83,438,000","40,866,000","42,164,000","42,548,000","41,553,000","39,697,000","43,843,000","43,925,000","40,975,000","36,354,000","42,969,000","37,438,000","40,575,000","34,233,000","39,089,000","34,510,000","32,254,000","37,938,000","41,903,000","31,769,000","49,948,000","33,839,000","26,373,000","27,052,000","29,470,000","29,865,000","32,950,000","27,371,000","28,713,000","25,853,000","35,492,000","27,735,000","28,691,000","27,182,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"326,508,000","81,008,000","88,960,000","83,846,000","72,694,000","77,488,000","79,796,000","73,516,000","62,474,000","68,744,000","63,424,000","67,382,000","56,351,000","42,061,000","63,043,000","84,336,000","58,809,000","56,372,000","26,190,000","46,350,000","83,438,000","40,866,000","42,164,000","42,548,000","41,553,000","39,697,000","43,843,000","43,925,000","40,975,000","36,354,000","42,969,000","37,438,000","40,575,000","34,233,000","39,089,000","34,510,000","32,254,000","37,938,000","41,903,000","31,769,000","49,948,000","33,839,000","26,373,000","27,052,000","29,470,000","29,865,000","32,950,000","27,371,000","28,713,000","25,853,000","35,492,000","27,735,000","28,691,000","27,182,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"722,373,000","180,510,000","197,681,000","171,428,000","172,754,000","170,628,000","176,499,000","156,456,000","146,200,000","152,855,000","161,170,000","157,109,000","158,652,000","155,959,000","167,325,000","157,953,000","147,188,000","150,512,000","154,006,000","131,520,000","137,211,000","126,511,000","131,494,000","127,328,000","120,926,000","122,620,000","130,671,000","116,988,000","120,579,000","106,169,000","120,232,000","112,271,000","114,784,000","105,792,000","114,913,000","105,381,000","103,930,000","101,758,000","111,385,000","100,004,000","108,836,000","95,404,000","93,500,000","90,732,000","99,562,000","79,324,000","96,968,000","83,812,000","79,363,000","79,616,000","86,247,000","77,973,000","82,520,000","77,384,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,531,326,000","383,971,000","413,864,000","371,146,000","362,345,000","357,468,000","339,566,000","322,602,000","302,571,000","314,283,000","290,503,000","284,804,000","290,299,000","271,326,000","290,875,000","277,402,000","252,134,000","264,411,000","244,515,000","228,663,000","223,015,000","212,648,000","221,954,000","221,874,000","216,172,000","196,705,000","208,305,000","197,999,000","188,315,000","181,610,000","190,373,000","182,809,000","178,043,000","167,543,000","175,057,000","166,668,000","169,962,000","157,510,000","153,568,000","143,955,000","151,230,000","132,875,000","125,415,000","122,547,000","123,169,000","120,740,000","129,298,000","105,649,000","113,050,000","101,232,000","115,316,000","105,389,000","102,996,000","98,407,000","102,564,000","104,394,000","95,275,000","92,514,000","97,016,000","94,365,000","91,956,000","95,884,000","95,518,000","93,972,000","91,296,000","87,604,000","82,102,000","81,948,000","80,025,000","72,917,000","76,337,000","68,471,000","70,136,000","70,337,000","79,283,000","70,716,000","68,612,000","67,269,000","68,609,000","61,581,000","46,649,000","48,706,000","46,592,000","49,382,000","47,636,000","46,221,000","48,728,000","50,323,000","45,962,000","44,300,000","45,100,000","41,900,000","39,200,000","40,900,000","36,500,000","37,400,000","36,100,000","44,400,000","27,800,000","29,400,000","29,300,000","24,900,000","23,600,000","21,900,000","20,400,000","18,200,000","16,700,000","15,300,000","13,000,000",,,,"9,200,000",,,,,,,,,,,,,,,,,
