name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"23,113,000,000","5,767,000,000","6,238,000,000","5,198,000,000","5,910,000,000","5,117,000,000","5,620,000,000","4,620,000,000","5,018,000,000","4,914,000,000","5,995,000,000","5,098,000,000","5,412,000,000","5,337,000,000","6,159,000,000","5,627,000,000","6,372,000,000","5,628,000,000","6,201,000,000","5,430,000,000","5,771,000,000","5,181,000,000","6,264,000,000","4,459,000,000","3,965,000,000","3,568,000,000","5,401,000,000","4,337,000,000","4,183,000,000","4,017,000,000","5,339,000,000","4,467,000,000","4,644,000,000","3,927,000,000","5,017,000,000","4,246,000,000","3,897,000,000","3,703,000,000","5,049,000,000","4,181,000,000","3,604,000,000","3,696,000,000","5,428,000,000","4,521,000,000","4,012,000,000","3,771,352,000","5,320,000,000","4,208,000,000","4,157,317,000","3,510,047,000","4,681,482,000","3,885,164,000","3,666,307,000","3,802,404,000","5,426,499,000","4,215,187,000","3,682,910,000","3,340,360,000","4,832,043,000","3,771,928,000","3,408,669,000","3,151,859,000","4,549,378,000","3,591,503,000","3,063,260,000","3,167,461,000","4,377,644,000","3,144,435,000","2,864,460,000","2,719,985,000","3,440,805,000","3,008,895,000","2,754,050,000","2,538,629,000","3,319,096,000","2,859,223,000","2,552,902,000","2,456,632,000","3,248,008,000","2,630,772,000","2,213,588,000","2,159,217,000","3,164,461,000","2,561,804,000","2,269,518,000","-3,181,213,000","7,478,977,000","3,195,649,000","2,572,587,000","2,615,700,000","3,736,600,000","2,791,100,000","2,441,600,000","2,519,100,000","3,456,800,000","2,913,400,000","2,513,700,000","3,238,200,000","4,071,200,000","2,717,200,000","2,584,400,000","2,487,200,000","2,916,600,000","2,538,600,000","2,415,600,000","2,308,500,000","2,758,800,000","2,183,600,000","1,929,000,000","1,914,700,000","2,381,300,000","2,068,500,000","1,932,400,000","1,944,900,000","2,636,400,000","2,068,100,000","1,839,600,000","1,868,000,000","2,385,600,000","2,011,500,000","1,807,900,000","1,888,100,000","2,363,200,000","2,015,400,000","1,783,200,000","1,851,400,000","2,437,600,000","2,018,400,000","1,667,600,000","1,780,300,000","2,150,900,000","1,882,100,000","1,679,000,000","1,644,100,000","2,123,900,000","1,773,000,000","1,694,000,000","1,612,700,000","2,089,700,000","1,767,500,000","1,540,500,000","1,604,800,000","1,988,500,000","1,667,700,000","1,585,600,000","1,603,300,000","1,920,200,000"
	OperatingRevenue,"22,405,000,000","5,572,000,000","6,084,000,000","4,997,000,000","5,751,000,000","4,872,000,000","5,468,000,000","4,458,000,000","4,896,000,000","4,708,000,000","5,798,000,000","4,932,000,000","5,225,000,000","5,105,000,000","5,960,000,000","5,232,000,000","5,959,000,000","5,319,000,000","6,033,000,000","5,246,000,000","5,630,000,000","5,020,000,000","6,120,000,000","4,360,000,000","3,954,000,000","3,555,000,000","5,390,000,000","4,324,000,000","4,172,000,000","3,998,000,000","5,327,000,000","4,454,000,000","4,627,000,000","3,915,000,000","5,005,000,000","4,230,000,000","3,885,000,000","3,644,000,000","5,049,000,000","4,181,000,000","3,604,000,000","3,696,000,000","5,428,000,000","4,521,000,000","4,012,000,000","3,771,352,000","5,320,000,000","4,208,000,000","4,157,317,000","3,510,047,000","4,681,482,000","3,885,164,000","3,666,307,000","3,802,404,000","5,426,499,000","4,215,187,000","3,682,910,000","3,340,360,000","4,832,043,000","3,771,928,000","3,408,669,000","3,151,859,000","4,549,378,000","3,591,503,000","3,063,260,000","3,167,461,000","4,377,644,000","3,144,435,000","2,864,460,000","2,719,985,000","3,440,805,000","3,008,895,000","2,754,050,000","2,538,629,000","3,319,096,000","2,859,223,000","2,552,902,000","2,456,632,000","3,248,008,000","2,630,772,000","2,213,588,000","2,159,217,000","3,164,461,000","2,561,804,000","2,269,518,000","-3,181,213,000","7,478,977,000","3,195,649,000","2,572,587,000","2,615,700,000","3,736,600,000","2,791,100,000","2,441,600,000","2,519,100,000","3,456,800,000","2,913,400,000","2,513,700,000","3,238,200,000","4,071,200,000","2,717,200,000","2,584,400,000","2,487,200,000","2,916,600,000","2,538,600,000","2,415,600,000","2,308,500,000","2,758,800,000","2,183,600,000","1,929,000,000","1,914,700,000","2,381,300,000","2,068,500,000","1,932,400,000","1,944,900,000","2,636,400,000","2,068,100,000","1,839,600,000","1,868,000,000","2,385,600,000","2,011,500,000","1,807,900,000","1,888,100,000","2,363,200,000","2,015,400,000","1,783,200,000","1,851,400,000","2,437,600,000","2,018,400,000","1,667,600,000","1,780,300,000","2,150,900,000","1,882,100,000","1,679,000,000","1,644,100,000","2,123,900,000","1,773,000,000","1,694,000,000","1,612,700,000","2,089,700,000","1,767,500,000","1,540,500,000","1,604,800,000","1,988,500,000","1,667,700,000","1,585,600,000","1,603,300,000","1,920,200,000"
CostOfRevenue,"13,052,000,000","3,955,000,000","3,168,000,000","2,837,000,000","3,092,000,000","3,037,000,000","2,592,000,000","2,242,000,000","2,607,000,000","3,171,000,000","2,811,000,000","2,706,000,000","3,136,000,000","3,610,000,000","3,195,000,000","3,405,000,000","3,828,000,000","3,544,000,000","3,052,000,000","2,950,000,000","3,311,000,000","3,399,000,000","3,255,000,000","2,369,000,000","2,182,000,000","2,052,000,000","2,810,000,000","2,471,000,000","2,478,000,000","2,726,000,000","2,871,000,000","2,614,000,000","2,820,000,000","2,385,000,000","2,653,000,000","2,448,000,000","2,331,000,000","5,030,000,000","1,717,000,000","1,440,000,000","1,205,000,000","1,353,000,000","2,123,000,000","1,818,000,000","1,576,000,000","1,553,948,000","2,179,000,000","1,757,000,000","1,771,724,000","1,429,445,000","1,900,318,000","1,582,326,000","1,513,911,000","1,737,732,000","2,531,087,000","1,819,334,000","1,544,847,000","1,412,584,000","2,020,182,000","1,557,642,000","1,380,592,000","1,230,614,000","1,864,937,000","1,446,493,000","1,152,956,000","1,290,543,000","1,779,706,000","1,136,151,000","1,019,600,000","3,249,162,000","1,170,264,000","1,088,066,000","927,377,000","3,033,609,000","1,075,993,000","867,820,000","847,429,000","2,922,287,000","1,028,715,000","810,188,000","641,810,000","2,484,410,000","1,088,846,000","852,237,000","721,507,000","-1,020,459,000","4,326,602,000","1,043,687,000","753,170,000","2,940,900,000","1,244,100,000","901,000,000","786,900,000","2,956,500,000","1,067,700,000","919,500,000","782,300,000","3,467,000,000","1,832,600,000","1,000,400,000","944,000,000","2,760,700,000","894,700,000","778,500,000","774,100,000","712,100,000","780,300,000","616,300,000","508,300,000","555,000,000","639,700,000","579,600,000","560,700,000",,"811,300,000","647,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"10,061,000,000","1,812,000,000","3,070,000,000","2,361,000,000","2,818,000,000","2,080,000,000","3,028,000,000","2,378,000,000","2,411,000,000","1,743,000,000","3,184,000,000","2,392,000,000","2,276,000,000","1,727,000,000","2,964,000,000","2,222,000,000","2,544,000,000","2,084,000,000","3,149,000,000","2,480,000,000","2,460,000,000","1,782,000,000","3,009,000,000","2,090,000,000","1,783,000,000","1,516,000,000","2,591,000,000","1,866,000,000","1,705,000,000","1,291,000,000","2,468,000,000","1,853,000,000","1,824,000,000","1,542,000,000","2,364,000,000","1,798,000,000","1,566,000,000","-1,327,000,000","3,332,000,000","2,741,000,000","2,399,000,000","2,343,000,000","3,305,000,000","2,703,000,000","2,436,000,000","2,217,404,000","3,141,000,000","2,451,000,000","2,385,593,000","2,080,602,000","2,781,164,000","2,302,838,000","2,152,396,000","2,064,672,000","2,895,412,000","2,395,853,000","2,138,063,000","1,927,776,000","2,811,861,000","2,214,286,000","2,028,077,000","1,921,245,000","2,684,441,000","2,145,010,000","1,910,304,000","1,876,918,000","2,597,938,000","2,008,284,000","1,844,860,000","-529,177,000","2,270,541,000","1,920,829,000","1,826,673,000","-494,980,000","2,243,103,000","1,991,403,000","1,705,473,000","-465,655,000","2,219,293,000","1,820,584,000","1,571,778,000","-325,193,000","2,075,615,000","1,709,567,000","1,548,011,000","-2,160,754,000","3,152,375,000","2,151,962,000","1,819,417,000","-325,200,000","2,492,500,000","1,890,100,000","1,654,700,000","-437,400,000","2,389,100,000","1,993,900,000","1,731,400,000","-228,800,000","2,238,600,000","1,716,800,000","1,640,400,000","-273,500,000","2,021,900,000","1,760,100,000","1,641,500,000","1,596,400,000","1,978,500,000","1,567,300,000","1,420,700,000","1,359,700,000","1,741,600,000","1,488,900,000","1,371,700,000",,"1,825,100,000","1,421,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"6,547,000,000","2,148,000,000","1,472,000,000","1,664,000,000","1,264,000,000","1,377,000,000","1,193,000,000","1,320,000,000","1,187,000,000","1,084,000,000","1,067,000,000","1,058,000,000","1,082,000,000","1,110,000,000","1,107,000,000","2,159,000,000","1,168,000,000","1,290,000,000","1,104,000,000","4,074,000,000","1,154,000,000","1,195,000,000","1,092,000,000","905,000,000","850,000,000","938,000,000","942,000,000","768,000,000","748,000,000","730,000,000","1,190,000,000","750,000,000","1,124,000,000","743,000,000","873,000,000","1,158,000,000","1,241,000,000","-2,141,000,000","1,592,000,000","1,617,000,000","1,633,000,000","1,754,000,000","1,653,000,000","1,567,000,000","1,582,000,000","1,746,964,000","1,682,000,000","1,500,000,000","1,463,599,000","1,603,749,000","1,365,888,000","1,416,644,000","1,662,719,000","1,595,525,000","1,490,716,000","1,471,785,000","1,429,974,000","1,518,743,000","1,430,278,000","1,370,229,000","1,336,750,000","1,452,316,000","1,326,728,000","1,353,219,000","1,320,011,000","1,464,648,000","1,335,385,000","1,290,169,000","1,275,798,000","-925,158,000","1,157,574,000","1,225,912,000","1,172,407,000","-926,326,000","1,148,754,000","1,210,181,000","1,117,390,000","-805,636,000","1,149,241,000","1,161,871,000","1,054,278,000","-658,206,000","1,077,730,000","1,124,753,000","1,072,697,000","-1,958,139,000","1,884,181,000","1,412,317,000","1,250,041,000","-910,900,000","1,382,400,000","1,222,800,000","1,169,800,000","-783,600,000","1,322,300,000","1,345,200,000","1,141,100,000","-863,700,000","1,334,100,000","1,133,600,000","1,098,100,000","-626,500,000","1,044,700,000","1,072,600,000","1,058,200,000","1,085,900,000","981,900,000","920,800,000","883,200,000","899,800,000","845,700,000","861,600,000","928,900,000",,"870,300,000","834,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","202,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"3,565,000,000","907,000,000","896,000,000","891,000,000","871,000,000","899,000,000","889,000,000","873,000,000","857,000,000","771,000,000","760,000,000","755,000,000","751,000,000","793,000,000","787,000,000","783,000,000","769,000,000","774,000,000","767,000,000","754,000,000","716,000,000","697,000,000","695,000,000","569,000,000","541,000,000","519,000,000","528,000,000","500,000,000","487,000,000","430,000,000","514,000,000","504,000,000","497,000,000","479,000,000","480,000,000","476,000,000","466,000,000","452,000,000","449,000,000","445,000,000","441,000,000","438,000,000","431,000,000","430,000,000","418,000,000","376,270,000","427,000,000","367,000,000","343,380,000","403,784,000","332,117,000","377,341,000","389,758,000","373,356,000","367,014,000","358,745,000","343,885,000","316,431,000","311,939,000","310,286,000","306,344,000","303,438,000","300,104,000","297,532,000","298,926,000","295,621,000","299,891,000","287,879,000","292,609,000","239,763,000","241,134,000","233,449,000","240,654,000","263,092,000","260,623,000","258,297,000","244,988,000","281,556,000","265,538,000","254,271,000","240,389,000","303,551,000","282,396,000","283,387,000","303,666,000","21,122,000","376,300,000","410,585,000","377,292,000","258,100,000","347,000,000","343,900,000","358,000,000","164,900,000","478,000,000","508,100,000","388,000,000","21,200,000","465,700,000","373,600,000","385,500,000","-18,200,000","343,600,000","335,500,000","335,100,000","421,200,000","300,700,000","265,700,000","270,400,000","263,200,000","267,400,000","260,300,000","259,100,000",,"264,400,000","201,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"3,565,000,000","907,000,000","896,000,000","891,000,000","871,000,000","899,000,000","889,000,000","873,000,000","857,000,000","771,000,000","760,000,000","755,000,000","751,000,000","793,000,000","787,000,000","783,000,000","769,000,000","774,000,000","767,000,000","754,000,000","716,000,000","697,000,000","695,000,000","569,000,000","541,000,000","519,000,000","528,000,000","500,000,000","487,000,000","430,000,000","514,000,000","504,000,000","497,000,000","479,000,000","480,000,000","476,000,000","466,000,000","452,000,000","449,000,000","445,000,000","441,000,000","438,000,000","431,000,000","430,000,000","418,000,000","376,270,000","427,000,000","367,000,000","343,380,000","403,784,000","332,117,000","377,341,000","389,758,000","373,356,000","367,014,000","358,745,000",,"316,431,000","311,939,000","310,286,000",,"303,438,000","300,104,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"1,290,000,000","321,000,000","312,000,000","313,000,000","345,000,000","302,000,000","304,000,000","298,000,000","330,000,000","299,000,000","303,000,000","299,000,000","329,000,000","325,000,000","319,000,000","316,000,000","355,000,000","309,000,000","303,000,000","308,000,000","330,000,000","292,000,000","309,000,000","255,000,000","256,000,000","236,000,000","264,000,000","245,000,000","252,000,000","230,000,000","258,000,000","246,000,000","247,000,000","224,000,000","243,000,000","232,000,000","235,000,000","224,000,000","237,000,000","228,000,000","225,000,000","215,000,000","239,000,000","227,000,000","220,000,000","207,479,000","236,000,000","214,000,000","212,195,000","197,149,000","212,882,000","208,089,000","199,880,000","194,388,000","215,298,000","198,042,000","189,272,000","166,671,000","206,763,000","184,527,000","183,039,000","177,166,000","186,631,000","179,200,000","175,003,000","175,036,000","179,103,000","162,863,000","162,998,000","152,768,000","161,165,000","154,583,000","158,484,000","139,174,000","155,263,000","142,737,000","148,826,000","132,280,000","146,996,000","137,877,000","139,847,000","120,415,000","142,372,000","134,904,000","137,309,000","36,962,000","181,376,000","157,887,000","159,775,000","161,500,000","159,200,000","145,100,000","146,300,000","159,900,000","148,600,000","143,200,000","147,300,000","135,400,000","145,700,000","139,300,000","151,700,000","150,700,000","162,400,000","152,300,000","168,600,000","158,100,000","132,000,000","121,400,000","123,400,000","116,700,000","121,300,000","118,000,000","118,900,000",,"121,400,000","112,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"1,692,000,000","920,000,000","264,000,000","460,000,000","48,000,000","176,000,000",,"149,000,000",,"14,000,000","4,000,000","4,000,000","2,000,000","-8,000,000","1,000,000","1,060,000,000","44,000,000","207,000,000","34,000,000","3,012,000,000","108,000,000","206,000,000","88,000,000","81,000,000","53,000,000","183,000,000","150,000,000","23,000,000","9,000,000","70,000,000","418,000,000",,"380,000,000","40,000,000","150,000,000","450,000,000","540,000,000",,,"-19,000,000",,,,,,,,,,,"821,000,000",,,,"644,191,000","619,369,000","896,817,000","692,124,000","651,127,000","586,377,000","847,367,000","669,281,000","603,346,000","876,487,000","846,082,000","-122,009,000","856,391,000","839,427,000","820,191,000",,"755,275,000","837,880,000","773,269,000",,"732,868,000","809,147,000","723,576,000",,"736,707,000","769,723,000","674,042,000",,"652,962,000","706,462,000","631,722,000",,"1,326,505,000","843,845,000","712,974,000",,"876,200,000","733,800,000","665,500,000",,"695,700,000","693,900,000","605,800,000","-1,783,300,000","722,700,000","620,700,000","560,900,000","-1,541,000,000","538,700,000","584,800,000","554,500,000","506,600,000","549,200,000","533,700,000","489,400,000","519,900,000","457,000,000","483,300,000","550,900,000",,"484,500,000","521,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
