name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalRevenue,"11,975,000,000","3,116,000,000","3,115,000,000","3,013,000,000","2,731,000,000","2,623,000,000","2,314,000,000","2,517,000,000","2,718,000,000","2,696,000,000","2,578,000,000","2,371,000,000","2,313,000,000","2,715,000,000","2,991,000,000","2,835,000,000","2,803,000,000","2,914,000,000","2,632,000,000","2,406,000,000","2,674,000,000","2,894,000,000","2,797,000,000","2,654,000,000","2,595,000,000","2,986,000,000","2,925,000,000","2,928,000,000","3,330,000,000","3,696,000,000","3,785,000,000","3,301,000,000","3,406,000,000","3,528,000,000","3,489,000,000","3,424,000,000","3,526,000,000","3,668,000,000","3,732,000,000","4,482,000,000","4,450,000,000","3,195,000,000","2,811,000,000","2,859,000,000","2,695,000,000","2,719,000,000","2,697,000,000","2,657,000,000","3,049,000,000","3,027,000,000","2,663,000,000","2,353,000,000","2,150,000,000","2,270,000,000","3,033,000,000","2,899,000,000","3,104,000,000","3,420,000,000","3,285,000,000","2,744,000,000","2,828,000,000","2,996,000,000","2,793,000,000","2,529,000,000","2,289,000,000","2,300,000,000","2,088,000,000","2,179,000,000","1,969,000,000","1,847,000,000","1,558,000,000","1,336,000,000","1,388,000,000","1,760,000,000","1,740,000,000","1,553,000,000","1,620,000,000","1,734,000,000","1,579,000,000"
	OperatingRevenue,"11,975,000,000","3,116,000,000","3,115,000,000","3,013,000,000","2,731,000,000","2,623,000,000","2,314,000,000","2,517,000,000","2,718,000,000","2,696,000,000","2,578,000,000","2,371,000,000","2,313,000,000","2,715,000,000","2,991,000,000","2,835,000,000","2,803,000,000","2,914,000,000","2,632,000,000","2,406,000,000","2,674,000,000","2,894,000,000","2,797,000,000","2,654,000,000","2,595,000,000","2,986,000,000","2,925,000,000","2,928,000,000","3,330,000,000","3,696,000,000","3,785,000,000","3,301,000,000","3,406,000,000","3,528,000,000","3,489,000,000","3,424,000,000","3,526,000,000","3,668,000,000","3,732,000,000","4,482,000,000","4,450,000,000","3,195,000,000","2,811,000,000","2,859,000,000","2,695,000,000","2,719,000,000","2,697,000,000","2,657,000,000","3,049,000,000","3,027,000,000","2,663,000,000","2,353,000,000","2,150,000,000","2,270,000,000","3,033,000,000","2,899,000,000","3,104,000,000","3,420,000,000","3,285,000,000","2,744,000,000","2,828,000,000","2,996,000,000","2,793,000,000","2,529,000,000","2,289,000,000","2,300,000,000","2,088,000,000","2,179,000,000","1,969,000,000","1,847,000,000","1,558,000,000","1,336,000,000","1,388,000,000","1,760,000,000","1,740,000,000","1,553,000,000","1,620,000,000","1,734,000,000","1,579,000,000"
CostOfRevenue,"8,446,000,000","2,168,000,000","2,159,000,000","2,128,000,000","1,991,000,000","1,927,000,000","1,718,000,000","1,850,000,000","1,972,000,000","1,938,000,000","1,907,000,000","1,747,000,000","1,712,000,000","1,921,000,000","2,078,000,000","1,931,000,000","1,956,000,000","2,037,000,000","1,896,000,000","1,740,000,000","1,858,000,000","2,003,000,000","1,996,000,000","1,992,000,000","2,071,000,000","2,245,000,000","2,236,000,000","2,152,000,000","2,375,000,000","2,669,000,000","2,734,000,000","2,376,000,000","2,447,000,000","2,541,000,000","2,514,000,000","2,485,000,000","2,578,000,000","2,676,000,000","2,671,000,000","2,998,000,000","2,809,000,000","2,185,000,000","2,262,000,000","2,308,000,000","2,179,000,000","2,190,000,000","2,147,000,000","1,930,000,000","2,148,000,000","2,104,000,000","2,010,000,000","1,947,000,000","1,993,000,000","1,948,000,000","2,508,000,000","2,208,000,000","2,288,000,000","2,531,000,000","2,476,000,000","2,150,000,000","2,225,000,000","2,450,000,000","2,351,000,000","2,074,000,000","1,733,000,000","1,709,000,000","1,553,000,000","1,639,000,000","1,492,000,000","1,467,000,000","1,283,000,000","1,107,000,000","1,087,000,000","1,299,000,000","1,272,000,000","1,125,000,000","1,186,000,000","1,241,000,000","1,207,000,000"
GrossProfit,"3,529,000,000","948,000,000","956,000,000","885,000,000","740,000,000","696,000,000","596,000,000","667,000,000","746,000,000","758,000,000","671,000,000","624,000,000","601,000,000","794,000,000","913,000,000","904,000,000","847,000,000","877,000,000","736,000,000","666,000,000","816,000,000","891,000,000","801,000,000","662,000,000","524,000,000","741,000,000","689,000,000","776,000,000","955,000,000","1,027,000,000","1,051,000,000","925,000,000","959,000,000","987,000,000","975,000,000","939,000,000","948,000,000","992,000,000","1,061,000,000","1,484,000,000","1,641,000,000","1,010,000,000","549,000,000","551,000,000","516,000,000","529,000,000","550,000,000","727,000,000","901,000,000","923,000,000","653,000,000","406,000,000","157,000,000","322,000,000","525,000,000","691,000,000","816,000,000","889,000,000","809,000,000","594,000,000","603,000,000","546,000,000","442,000,000","455,000,000","556,000,000","591,000,000","535,000,000","540,000,000","477,000,000","380,000,000","275,000,000","229,000,000","301,000,000","461,000,000","468,000,000","428,000,000","434,000,000","493,000,000","372,000,000"
OperatingExpense,"1,463,000,000","367,000,000","369,000,000","371,000,000","356,000,000","346,000,000","344,000,000","337,000,000","368,000,000","374,000,000","381,000,000","355,000,000","354,000,000","371,000,000","387,000,000","405,000,000","395,000,000","411,000,000","430,000,000","456,000,000","502,000,000","488,000,000","498,000,000","480,000,000","477,000,000","495,000,000","544,000,000","561,000,000","598,000,000","591,000,000","589,000,000","511,000,000","513,000,000","527,000,000","495,000,000","492,000,000","482,000,000","436,000,000","437,000,000","427,000,000","430,000,000","402,000,000","313,000,000","357,000,000","334,000,000","316,000,000","315,000,000","337,000,000","337,000,000","345,000,000","322,000,000","342,000,000","390,000,000","2,681,000,000","422,000,000","458,000,000","433,000,000","442,000,000","408,000,000","377,000,000","353,000,000","379,000,000","434,000,000","383,000,000","303,000,000","307,000,000","266,000,000","258,000,000","242,000,000","233,000,000","217,000,000","227,000,000","242,000,000","239,000,000","247,000,000","255,000,000","252,000,000","274,000,000","246,000,000"
	SellingGeneralAndAdministration,"531,000,000","136,000,000","133,000,000","136,000,000","126,000,000","122,000,000","118,000,000","112,000,000","119,000,000","120,000,000","122,000,000","108,000,000","110,000,000","120,000,000","115,000,000","140,000,000","135,000,000","142,000,000","145,000,000","149,000,000","150,000,000","155,000,000","155,000,000","144,000,000","150,000,000","160,000,000","182,000,000","203,000,000","219,000,000","218,000,000","216,000,000","161,000,000","190,000,000","190,000,000","181,000,000","178,000,000","168,000,000","139,000,000","150,000,000","140,000,000","142,000,000","141,000,000","105,000,000","128,000,000","110,000,000","102,000,000","105,000,000","114,000,000","105,000,000","110,000,000","106,000,000","113,000,000","134,000,000","142,000,000","148,000,000","175,000,000","164,000,000","167,000,000","153,000,000","143,000,000","126,000,000","141,000,000","180,000,000","144,000,000","108,000,000","108,000,000","86,000,000","87,000,000","78,000,000","75,000,000","65,000,000","66,000,000","73,000,000","73,000,000","78,000,000","81,000,000","85,000,000","105,000,000","86,000,000"
	ResearchAndDevelopment,"920,000,000","228,000,000","233,000,000","232,000,000","227,000,000","221,000,000","223,000,000","222,000,000","246,000,000","250,000,000","255,000,000","241,000,000","238,000,000","246,000,000","266,000,000","259,000,000","254,000,000","250,000,000","263,000,000","288,000,000","324,000,000","305,000,000","315,000,000","307,000,000","298,000,000","304,000,000","328,000,000","324,000,000","346,000,000","341,000,000","342,000,000","323,000,000","297,000,000","312,000,000","294,000,000","294,000,000","294,000,000","277,000,000","268,000,000","269,000,000","270,000,000","259,000,000","208,000,000","229,000,000","224,000,000","213,000,000","209,000,000","219,000,000","224,000,000","227,000,000","208,000,000","215,000,000","243,000,000","235,000,000","260,000,000","270,000,000","254,000,000","262,000,000","242,000,000","221,000,000","214,000,000","226,000,000","243,000,000","232,000,000","195,000,000","199,000,000","180,000,000","171,000,000","164,000,000","158,000,000","152,000,000","161,000,000","169,000,000","166,000,000","169,000,000","174,000,000","167,000,000","169,000,000","160,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"12,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","4,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","19,000,000","22,000,000","19,000,000","28,000,000","28,000,000","28,000,000","29,000,000","29,000,000","31,000,000","34,000,000","34,000,000","33,000,000","32,000,000","31,000,000","27,000,000","26,000,000","25,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","18,000,000","2,000,000","0","0","0","1,000,000","1,000,000","4,000,000","8,000,000","8,000,000","8,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","15,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","11,000,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"12,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","4,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","19,000,000","22,000,000","19,000,000","28,000,000","28,000,000","28,000,000","29,000,000","29,000,000","31,000,000","34,000,000","34,000,000","33,000,000","32,000,000","31,000,000","27,000,000","26,000,000","25,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","18,000,000","2,000,000","0","0","0","1,000,000","1,000,000","4,000,000","8,000,000","8,000,000","8,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","15,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","11,000,000",,,,,,,,,,,,,,,,
			Amortization,"12,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","4,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","19,000,000","22,000,000","19,000,000","28,000,000","28,000,000","28,000,000","29,000,000","29,000,000","31,000,000","34,000,000","34,000,000","33,000,000","32,000,000","31,000,000","27,000,000","26,000,000","25,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","18,000,000","2,000,000","0","0","0","1,000,000","1,000,000","4,000,000","8,000,000","8,000,000","8,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","15,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","11,000,000",,,,,,,,,,,,,,,,
