name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"8,820,700,000","2,102,500,000","2,320,600,000","2,371,100,000","2,026,500,000","1,953,000,000","2,438,100,000","2,260,400,000","1,963,400,000","1,902,900,000","1,999,400,000","2,344,000,000","2,097,200,000","1,797,200,000","1,972,600,000","2,299,100,000","2,047,100,000","1,765,900,000","1,799,100,000","2,084,500,000","1,935,500,000","1,628,000,000","1,810,500,000","2,021,200,000","1,871,800,000","1,543,200,000","1,640,500,000","1,733,400,000","1,631,300,000","1,356,200,000","1,541,700,000","1,604,100,000","1,526,000,000","1,291,200,000","1,443,300,000","1,459,800,000","673,400,000","695,900,000","766,900,000","698,500,000","634,800,000","628,100,000","700,700,000","690,200,000","635,300,000","715,300,000","966,400,000","862,800,000","787,500,000","708,700,000","987,700,000","876,800,000","791,600,000","735,100,000","1,031,200,000","956,500,000","931,800,000","884,400,000","1,094,800,000","892,600,000","901,200,000","1,142,200,000","1,500,800,000","1,417,500,000","1,155,900,000","1,047,867,000","1,267,087,000","1,191,959,000","1,096,535,000","1,037,681,000","1,085,711,000","1,036,941,000","927,305,000","881,315,000","987,248,000","908,760,000","771,629,000","653,034,000","738,379,000","689,806,000","648,941,000","673,544,000","764,074,000","741,530,000","642,110,000","544,038,000","629,577,000","637,490,000","585,580,000","527,169,000","661,500,000","621,600,000","530,200,000","459,400,000","375,600,000","349,400,000","312,900,000","282,600,000","322,700,000","301,500,000","306,000,000","261,600,000","317,700,000","279,200,000","276,500,000","285,600,000","229,200,000","222,800,000","210,900,000","243,500,000","180,900,000","154,200,000","140,000,000","154,500,000","115,900,000","60,500,000","58,800,000","71,100,000","59,600,000","65,100,000","56,900,000","63,600,000","40,700,000","49,600,000","41,500,000","44,800,000","45,000,000","49,900,000","41,200,000","43,700,000","43,000,000","43,600,000","37,500,000","40,200,000","46,000,000","42,900,000","33,400,000","41,300,000","40,000,000","57,200,000","36,100,000","38,000,000","55,800,000","55,000,000","29,900,000","32,800,000","46,000,000"
	OperatingRevenue,"9,529,100,000","2,268,800,000","2,507,000,000","2,565,000,000","2,188,300,000","2,120,600,000","2,643,700,000","2,459,700,000","2,131,700,000","2,075,600,000","2,181,500,000","2,573,400,000","2,282,500,000","1,968,000,000","2,160,600,000","2,525,700,000","2,230,000,000","1,935,400,000","1,978,900,000","2,297,200,000","2,115,300,000","1,793,100,000","1,992,700,000","2,222,800,000","2,053,000,000","1,700,500,000","1,812,400,000","1,912,900,000","1,798,000,000","1,506,400,000","1,708,600,000","1,770,000,000","1,687,100,000","1,438,000,000","1,593,500,000","1,613,300,000","766,200,000","788,000,000","860,400,000","797,700,000","725,300,000","709,000,000","789,000,000","770,400,000","710,700,000","107,500,000","1,191,400,000","1,056,900,000","976,200,000","893,000,000","1,225,500,000","1,090,700,000","1,003,800,000","964,900,000","1,306,900,000","1,239,200,000","1,212,000,000","1,135,400,000","1,406,400,000","1,167,900,000","1,175,400,000","1,422,500,000","1,834,200,000","1,714,900,000","1,430,200,000","1,304,082,000","1,567,869,000","1,468,665,000","1,096,535,000","1,304,875,000","1,360,431,000","1,300,242,000","1,174,315,000","1,114,972,000","1,213,541,000","1,148,213,000","989,067,000","853,863,000","969,759,000","898,997,000","859,011,000","859,935,000","987,776,000","951,228,000","835,774,000","1,301,647,000","629,577,000","637,490,000","585,580,000","527,169,000","661,500,000","621,600,000","530,200,000","459,400,000","375,600,000","349,400,000","312,900,000","282,600,000","322,700,000","301,500,000","306,000,000","261,600,000","317,700,000","279,200,000","276,500,000","285,600,000","229,200,000","222,800,000","210,900,000","243,500,000","180,900,000","154,200,000","140,000,000","154,500,000","115,900,000","60,500,000","58,800,000","71,100,000","59,600,000","65,100,000","56,900,000","63,600,000","40,700,000","49,600,000","41,500,000","44,800,000","45,000,000","49,900,000","41,200,000","43,700,000","43,000,000","43,600,000","37,500,000","40,200,000","46,000,000","42,900,000","33,400,000","41,300,000","40,000,000","57,200,000","36,100,000","38,000,000","55,800,000","55,000,000","29,900,000","32,800,000","46,000,000"
	ExciseTaxes,"708,400,000","166,300,000","186,400,000","193,900,000","161,800,000","167,600,000","205,600,000","199,300,000","168,300,000","172,700,000","182,100,000","229,400,000","185,300,000","170,800,000","188,000,000","226,600,000","182,900,000","169,500,000","179,800,000","212,700,000","179,800,000","165,100,000","182,200,000","201,600,000","181,200,000","157,300,000","171,900,000","179,500,000","166,700,000","150,200,000","166,900,000","165,900,000","161,100,000","146,800,000","150,200,000","153,500,000","92,800,000","92,100,000","93,500,000","99,200,000","90,500,000","80,900,000","88,300,000","80,200,000","75,400,000",,"225,000,000","194,100,000","188,700,000","184,300,000","237,800,000","213,900,000","212,200,000","229,800,000","275,700,000","282,700,000","280,200,000","251,000,000","311,600,000","275,300,000","274,200,000","280,300,000","333,400,000","297,400,000","274,300,000","256,215,000","300,782,000","276,706,000",,"267,194,000","274,720,000","263,301,000","247,010,000","233,657,000","226,293,000","239,453,000","217,438,000","200,829,000","231,380,000","209,191,000","210,070,000","186,391,000","223,702,000","209,698,000","193,664,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"4,113,400,000","969,900,000","1,094,900,000","1,141,400,000","907,200,000","959,300,000","1,169,900,000","1,044,600,000","975,100,000","953,100,000","1,011,900,000","1,158,100,000","1,068,500,000","903,700,000","1,002,600,000","1,130,900,000","998,500,000","916,800,000","891,600,000","1,019,200,000","940,200,000","840,300,000","919,100,000","1,052,200,000","990,500,000","847,100,000","907,000,000","957,800,000","894,200,000","758,600,000","902,800,000","932,100,000","855,900,000","742,300,000","833,600,000","882,800,000","417,300,000","434,100,000","456,100,000","413,400,000","384,200,000","382,900,000","417,800,000","407,200,000","384,300,000","461,300,000","614,500,000","548,600,000","517,500,000","486,300,000","643,600,000","567,200,000","522,900,000","543,900,000","627,200,000","650,700,000","602,800,000","572,700,000","702,900,000","582,900,000","633,000,000","796,900,000","1,055,600,000","1,002,700,000","837,300,000","761,503,000","882,866,000","843,959,000","790,529,000","750,901,000","772,047,000","747,258,000","676,843,000","637,760,000","704,632,000","670,532,000","563,717,000","475,801,000","524,885,000","496,544,000","473,667,000","452,537,000","505,666,000","503,854,000","426,155,000","390,016,000","402,349,000","419,007,000","383,245,000","345,659,000","434,900,000","412,100,000","360,100,000","307,700,000","252,000,000","239,200,000","211,400,000","189,900,000","216,100,000","208,200,000","216,400,000","189,200,000","227,400,000","200,700,000","195,000,000","201,000,000","163,600,000","154,500,000","147,500,000","167,800,000","124,100,000","107,400,000","95,200,000","106,700,000","81,000,000","40,000,000","39,000,000","48,000,000","41,600,000","44,700,000","38,100,000","56,600,000","4,400,000","44,000,000","37,100,000","40,200,000","7,800,000","45,900,000","37,600,000","39,600,000",,,,,,,,,,,,,,,,,
GrossProfit,"4,707,300,000","1,132,600,000","1,225,700,000","1,229,700,000","1,119,300,000","993,700,000","1,268,200,000","1,215,800,000","988,300,000","949,800,000","987,500,000","1,185,900,000","1,028,700,000","893,500,000","970,000,000","1,168,200,000","1,048,600,000","849,100,000","907,500,000","1,065,300,000","995,300,000","787,700,000","891,400,000","969,000,000","881,300,000","696,100,000","733,500,000","775,600,000","737,100,000","597,600,000","638,900,000","672,000,000","670,100,000","548,900,000","609,700,000","577,000,000","256,100,000","261,800,000","310,800,000","285,100,000","250,600,000","245,200,000","282,900,000","283,000,000","251,000,000","254,000,000","351,900,000","314,200,000","270,000,000","222,400,000","344,100,000","309,600,000","268,700,000","191,200,000","404,000,000","305,800,000","329,000,000","311,700,000","391,900,000","309,700,000","268,200,000","345,300,000","445,200,000","414,800,000","318,600,000","286,364,000","384,221,000","348,000,000","306,006,000","286,780,000","313,664,000","289,683,000","250,462,000","243,555,000","282,616,000","238,228,000","207,912,000","177,233,000","213,494,000","193,262,000","175,274,000","221,007,000","258,408,000","237,676,000","215,955,000","154,022,000","227,228,000","218,483,000","202,335,000","181,510,000","226,600,000","209,500,000","170,100,000","151,700,000","123,600,000","110,200,000","101,500,000","92,700,000","106,600,000","93,300,000","89,600,000","72,400,000","90,300,000","78,500,000","81,500,000","84,600,000","65,600,000","68,300,000","63,400,000","75,700,000","56,800,000","46,800,000","44,800,000","47,800,000","34,900,000","20,500,000","19,800,000","23,100,000","18,000,000","20,400,000","18,800,000","7,000,000","36,300,000","5,600,000","4,400,000","4,600,000","37,200,000","4,000,000","3,600,000","4,100,000",,,,,,,,,,,,,,,,,
OperatingExpense,"1,711,400,000","454,900,000","385,800,000","490,500,000","378,300,000","453,300,000","463,800,000","399,100,000","353,300,000","370,100,000","406,300,000","466,400,000","406,000,000","428,200,000","413,500,000","403,200,000","423,200,000","333,400,000","420,700,000","351,400,000","427,200,000","348,300,000","357,400,000","358,100,000","328,600,000","285,000,000","286,200,000","296,200,000","309,800,000","243,900,000","263,300,000","293,300,000","277,900,000","219,500,000","245,900,000","244,100,000","186,500,000","134,700,000","151,700,000","154,300,000","144,000,000","123,300,000","121,800,000","138,200,000","138,200,000","128,700,000","176,100,000","167,300,000","168,800,000","143,600,000","204,300,000","167,800,000","166,600,000","171,200,000","200,500,000","225,200,000","233,500,000","227,100,000","192,100,000","190,500,000","197,600,000","194,000,000","197,800,000","204,400,000","172,600,000","133,845,000","156,978,000","163,717,000","157,864,000","154,578,000","130,333,000","132,355,000","138,428,000","108,849,000","113,333,000","124,989,000","106,629,000","87,146,000","85,470,000","87,616,000","89,309,000","146,273,000","149,585,000","148,675,000","132,027,000","809,556,000","141,990,000","147,779,000","144,871,000","127,759,000","149,200,000","145,700,000","124,400,000","109,900,000","82,600,000","76,100,000","69,900,000","67,300,000","68,900,000","64,900,000","64,100,000","53,900,000","67,000,000","61,600,000","58,500,000","57,400,000","43,400,000","43,800,000","41,000,000","51,700,000","61,800,000","31,400,000","31,200,000","34,700,000","23,700,000","13,900,000","13,400,000","15,800,000","11,400,000","13,800,000","13,500,000","1,500,000","32,000,000","1,300,000","1,000,000","1,200,000","35,000,000","1,200,000","1,200,000","1,200,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,711,400,000","454,900,000","385,800,000","490,500,000","378,300,000","453,300,000","463,800,000","399,100,000","353,300,000","370,100,000","406,300,000","466,400,000","406,000,000","428,200,000","413,500,000","403,200,000","423,200,000","333,400,000","420,700,000","351,400,000","427,200,000","348,300,000","357,400,000","358,100,000","328,600,000","285,000,000","286,200,000","296,200,000","309,800,000","243,900,000","263,300,000","293,300,000","277,900,000","219,500,000","245,900,000","244,100,000","186,500,000","134,700,000","151,700,000","154,300,000","144,000,000","123,300,000","121,800,000","138,200,000","138,200,000","128,700,000","176,100,000","167,300,000","168,800,000","143,600,000","204,300,000","167,800,000","166,600,000","171,200,000","200,500,000","225,200,000","233,500,000","227,100,000","192,100,000","190,500,000","197,600,000","194,000,000","197,800,000","204,400,000","172,600,000","133,845,000","156,978,000","163,717,000","157,864,000","154,578,000","130,333,000","132,355,000","138,428,000","108,849,000","113,333,000","124,989,000","106,629,000","87,146,000","85,470,000","87,616,000","89,309,000","146,273,000","149,585,000","148,675,000","132,027,000","107,428,000","122,815,000","129,935,000","126,409,000","113,809,000","132,300,000","125,300,000","110,500,000","96,900,000","73,800,000","67,500,000","61,300,000","59,900,000","60,300,000","56,300,000","55,200,000","47,900,000","58,300,000","52,900,000","49,900,000","50,100,000","40,400,000","38,800,000","34,900,000","45,100,000","58,300,000","27,400,000","28,000,000","31,600,000","22,500,000","11,800,000","11,400,000","14,300,000","10,000,000","12,200,000","11,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,005,000","-10,868,000","19,175,000","17,844,000","18,462,000","13,950,000","16,900,000","20,400,000","13,900,000","13,000,000","8,800,000","8,600,000","8,600,000","7,400,000","8,600,000","8,600,000","8,900,000","6,000,000","8,700,000","8,700,000","8,600,000","7,300,000","3,000,000","5,000,000","6,100,000","6,600,000","3,500,000","4,000,000","3,200,000","3,100,000","1,200,000","2,100,000","2,000,000","1,500,000","1,400,000","1,600,000","1,600,000","1,500,000","1,800,000","1,300,000","1,000,000","1,200,000","1,600,000","1,200,000","1,200,000","1,200,000",,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,005,000","-10,868,000","19,175,000","17,844,000","18,462,000","13,950,000","16,900,000","20,400,000","13,900,000","13,000,000","8,800,000","8,600,000","8,600,000","7,400,000","8,600,000","8,600,000","8,900,000","6,000,000","8,700,000","8,700,000","8,600,000","7,300,000","3,000,000","5,000,000","6,100,000","6,600,000","3,500,000","4,000,000","3,200,000","3,100,000","1,200,000","2,100,000","2,000,000","1,500,000","1,400,000","1,600,000","1,600,000","1,500,000","1,800,000","1,300,000","1,000,000","1,200,000","1,600,000","1,200,000","1,200,000","1,200,000",,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,005,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
