name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"15,617,200,000","2,856,000,000","4,263,200,000","4,300,900,000","4,197,100,000","4,407,600,000","3,850,200,000","3,147,400,000","3,129,400,000","3,714,200,000","3,633,100,000","3,761,300,000","3,333,600,000","3,634,700,000","3,494,800,000","3,643,600,000","3,209,300,000","3,413,500,000","3,298,600,000","3,229,500,000","2,805,600,000","2,920,400,000","2,882,000,000","2,932,400,000","2,672,100,000","2,845,400,000","2,829,500,000","2,866,900,000","2,630,000,000","2,911,400,000","2,902,200,000","2,885,500,000","2,640,800,000","2,906,000,000","2,759,300,000","2,869,300,000","2,487,200,000","1,936,700,000","2,786,700,000","2,814,200,000","2,652,900,000","2,736,100,000","2,636,400,000","2,623,200,000","2,380,700,000","2,412,900,000","2,369,100,000","2,365,600,000","1,262,000,000","969,400,000","935,500,000","919,200,000","913,000,000","1,078,600,000","1,119,700,000","1,154,200,000","1,096,900,000","1,167,400,000","1,131,300,000","1,123,000,000","1,062,100,000","1,019,300,000","1,012,700,000","1,017,900,000","968,700,000","810,200,000","844,800,000","824,000,000","806,300,000","678,900,000","791,200,000","794,700,000","778,600,000","596,500,000","715,700,000","699,700,000","666,200,000","661,700,000","665,500,000","649,100,000","616,700,000","645,600,000","676,100,000","676,500,000","626,200,000","666,300,000","684,400,000","702,800,000","695,400,000","690,600,000","692,000,000","685,500,000","683,700,000","675,800,000","689,600,000","691,800,000","671,900,000","698,800,000","650,500,000","673,600,000","646,600,000","685,400,000","672,900,000","677,200,000","635,300,000","669,800,000","655,700,000","655,500,000","643,300,000","663,800,000","632,600,000","628,800,000","585,700,000","578,200,000","576,300,000","565,200,000","553,400,000","598,800,000","555,900,000","560,900,000","502,100,000","512,500,000","506,100,000","490,000,000","453,600,000","501,400,000","492,300,000","498,900,000","484,100,000","511,700,000","487,700,000","491,500,000","480,600,000","486,200,000","470,000,000","486,500,000","466,300,000","458,500,000","454,400,000","433,400,000","416,800,000","256,200,000","388,300,000","402,600,000","324,200,000","322,400,000","297,100,000"
	OperatingRevenue,"15,617,200,000","2,856,000,000","4,263,200,000","4,300,900,000","4,197,100,000","4,407,600,000","3,850,200,000","3,147,400,000","3,129,400,000","3,714,200,000","3,633,100,000","3,761,300,000","3,333,600,000","3,634,700,000","3,494,800,000","3,643,600,000","3,209,300,000","3,413,500,000","3,298,600,000","3,229,500,000","2,805,600,000","2,920,400,000","2,882,000,000","2,932,400,000","2,672,100,000","2,845,400,000","2,829,500,000","2,866,900,000","2,630,000,000","2,911,400,000","2,902,200,000","2,885,500,000","2,640,800,000","2,906,000,000","2,759,300,000","2,869,300,000","2,487,200,000","1,936,700,000","2,786,700,000","2,814,200,000","2,652,900,000","2,736,100,000","2,636,400,000","2,623,200,000","2,380,700,000","2,412,900,000","2,369,100,000","2,365,600,000","1,262,000,000","969,400,000","935,500,000","919,200,000","913,000,000","1,078,600,000","1,119,700,000","1,154,200,000","1,096,900,000","1,167,400,000","1,131,300,000","1,123,000,000","1,062,100,000","1,019,300,000","1,012,700,000","1,017,900,000","968,700,000","810,200,000","844,800,000","824,000,000","806,300,000","678,900,000","791,200,000","794,700,000","778,600,000","596,500,000","715,700,000","699,700,000","666,200,000","661,700,000","665,500,000","649,100,000","616,700,000","645,600,000","676,100,000","676,500,000","626,200,000","666,300,000","684,400,000","702,800,000","695,400,000","690,600,000","692,000,000","685,500,000","683,700,000","675,800,000","689,600,000","691,800,000","671,900,000","698,800,000","650,500,000","673,600,000","646,600,000","685,400,000","672,900,000","677,200,000","635,300,000","669,800,000","655,700,000","655,500,000","643,300,000","663,800,000","632,600,000","628,800,000","585,700,000","578,200,000","576,300,000","565,200,000","553,400,000","598,800,000","555,900,000","560,900,000","502,100,000","512,500,000","506,100,000","490,000,000","453,600,000","501,400,000","492,300,000","498,900,000","484,100,000","511,700,000","487,700,000","491,500,000","480,600,000","486,200,000","470,000,000","486,500,000","466,300,000","458,500,000","454,400,000","433,400,000","416,800,000","256,200,000","388,300,000","402,600,000","324,200,000","322,400,000","297,100,000"
CostOfRevenue,"10,423,000,000","2,161,200,000","2,871,700,000","2,757,300,000","2,632,800,000","2,851,800,000","2,473,900,000","2,134,700,000","2,106,300,000","2,553,600,000","2,393,600,000","2,461,500,000","2,228,000,000","2,474,800,000","2,256,400,000","2,356,500,000","2,043,600,000","2,165,100,000","2,046,500,000","2,017,300,000","1,740,300,000","1,843,800,000","1,797,900,000","1,803,500,000","1,694,500,000","1,831,200,000","1,802,500,000","1,809,700,000","1,656,400,000","1,872,300,000","1,852,100,000","1,832,200,000","1,680,500,000","1,875,300,000","1,771,600,000","1,861,800,000","1,576,300,000","1,250,000,000","1,777,200,000","1,791,800,000","1,666,900,000","1,766,900,000","1,662,000,000","1,655,800,000","1,498,200,000","1,543,300,000","1,514,800,000","1,596,600,000","806,100,000","575,200,000","549,100,000","552,600,000","551,900,000","686,500,000","688,300,000","712,300,000","681,900,000","733,700,000","700,200,000","690,900,000","666,800,000","647,200,000","634,900,000","641,200,000","636,800,000","525,100,000","539,700,000","521,800,000","517,400,000","416,400,000","503,700,000","511,800,000","499,200,000","392,600,000","476,300,000","468,700,000","447,700,000","474,300,000","455,600,000","426,100,000","401,200,000","428,700,000","436,800,000","437,300,000","398,500,000","427,000,000","439,400,000","447,100,000","438,000,000","441,100,000","426,000,000","433,900,000","427,300,000","434,100,000","433,200,000","430,600,000","415,200,000","452,800,000","418,100,000","427,200,000","412,900,000","448,900,000","428,400,000","434,300,000","409,200,000","443,000,000","427,000,000","422,800,000","415,700,000","426,000,000","406,000,000","397,000,000","373,200,000","376,400,000","377,500,000","365,800,000","352,600,000","389,000,000","345,500,000","353,400,000","315,500,000","320,400,000","313,800,000","302,300,000","282,400,000","314,100,000","303,000,000","302,200,000","298,700,000","311,200,000","307,300,000","302,900,000",,,,,,,,,,,,,,,
GrossProfit,"5,194,200,000","694,800,000","1,391,500,000","1,543,600,000","1,564,300,000","1,555,800,000","1,376,300,000","1,012,700,000","1,023,100,000","1,160,600,000","1,239,500,000","1,299,800,000","1,105,600,000","1,159,900,000","1,238,400,000","1,287,100,000","1,165,700,000","1,248,400,000","1,252,100,000","1,212,200,000","1,065,300,000","1,076,600,000","1,084,100,000","1,128,900,000","977,600,000","1,014,200,000","1,027,000,000","1,057,200,000","973,600,000","1,039,100,000","1,050,100,000","1,053,300,000","960,300,000","1,030,700,000","987,700,000","1,007,500,000","910,900,000","686,700,000","1,009,500,000","1,022,400,000","986,000,000","969,200,000","974,400,000","967,400,000","882,500,000","869,600,000","854,300,000","769,000,000","455,900,000","394,200,000","386,400,000","366,600,000","361,100,000","392,100,000","431,400,000","441,900,000","415,000,000","433,700,000","431,100,000","432,100,000","395,300,000","372,100,000","377,800,000","376,700,000","331,900,000","285,100,000","305,100,000","302,200,000","288,900,000","262,500,000","287,500,000","282,900,000","279,400,000","203,900,000","239,400,000","231,000,000","218,500,000","187,400,000","209,900,000","223,000,000","215,500,000","216,900,000","239,300,000","239,200,000","227,700,000","239,300,000","245,000,000","255,700,000","257,400,000","249,500,000","266,000,000","251,600,000","256,400,000","241,700,000","256,400,000","261,200,000","256,700,000","246,000,000","232,400,000","246,400,000","233,700,000","236,500,000","244,500,000","242,900,000","226,100,000","226,800,000","228,700,000","232,700,000","227,600,000","237,800,000","226,600,000","231,800,000","212,500,000","201,800,000","198,800,000","199,400,000","200,800,000","209,800,000","210,400,000","207,500,000","186,600,000","192,100,000","192,300,000","187,700,000","171,200,000","187,300,000","189,300,000","196,700,000","185,400,000","200,500,000","180,400,000","188,600,000",,,,,,,,,,,,,,,
OperatingExpense,"3,430,500,000","624,900,000","938,300,000","901,600,000","852,900,000","896,900,000","813,200,000","818,900,000","748,500,000","790,200,000","811,100,000","844,500,000","844,300,000","831,700,000","858,300,000","925,100,000","843,600,000","851,000,000","828,900,000","799,000,000","790,900,000","730,100,000","702,200,000","714,500,000","674,000,000","664,400,000","662,300,000","695,000,000","686,700,000","692,800,000","712,000,000","721,600,000","709,300,000","781,700,000","736,200,000","754,000,000","740,900,000","267,000,000","732,700,000","761,000,000","759,700,000","742,400,000","734,500,000","694,300,000","658,200,000","636,900,000","634,900,000","649,300,000","447,400,000","364,300,000","251,400,000","255,300,000","252,700,000","378,500,000","275,000,000","283,200,000","279,500,000","274,700,000","256,500,000","268,200,000","259,000,000","239,900,000","231,900,000","244,600,000","238,800,000","182,700,000","179,800,000","189,100,000","185,200,000","165,800,000","178,500,000","177,500,000","172,500,000","143,700,000","148,000,000","173,800,000","172,300,000","143,800,000","133,400,000","134,900,000","135,100,000","137,100,000","152,100,000","151,000,000","153,500,000","154,400,000","162,200,000","168,100,000","171,900,000","200,200,000","187,800,000","203,400,000","197,200,000","196,400,000","192,700,000","184,400,000","190,900,000","189,000,000","166,700,000","172,700,000","171,700,000","170,600,000","171,700,000","171,800,000","169,100,000","165,300,000","169,000,000","169,400,000","169,200,000","167,000,000","159,200,000","161,000,000","155,000,000","149,200,000","145,400,000","146,200,000","152,200,000","153,900,000","157,200,000","149,000,000","146,200,000","133,200,000","136,700,000","133,700,000","133,700,000","135,300,000","133,700,000","132,800,000","135,500,000","128,600,000","118,000,000","130,300,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,236,500,000","591,400,000","895,200,000","902,500,000","847,400,000","866,400,000","731,300,000","713,000,000","737,800,000","718,400,000","752,800,000","776,200,000","760,600,000","770,200,000","792,900,000","801,800,000","778,800,000","796,900,000","758,400,000","733,900,000","676,500,000","678,100,000","643,800,000","659,700,000","620,400,000","615,500,000","598,400,000","631,500,000","613,700,000","629,600,000","645,800,000","655,700,000","643,900,000","699,000,000","665,000,000","679,000,000","668,100,000","514,700,000","651,100,000","666,700,000","676,600,000","663,900,000","640,800,000","628,500,000","602,900,000","617,700,000","579,300,000","581,100,000","378,500,000","265,000,000","248,600,000","253,200,000","247,600,000","256,700,000","275,000,000","283,200,000","279,500,000","274,700,000","256,500,000","268,200,000","259,000,000","239,900,000","231,900,000","244,600,000","238,800,000","182,700,000","179,800,000","189,100,000","185,200,000","165,800,000","178,500,000","177,500,000","172,500,000","143,700,000","148,000,000","173,800,000","172,300,000","143,800,000","133,400,000","134,900,000","135,100,000","137,100,000","152,100,000","151,000,000","153,500,000","154,400,000","162,200,000","168,100,000","171,900,000","180,800,000","166,900,000","182,200,000","173,100,000","174,800,000","172,700,000","166,100,000","171,100,000","172,500,000","148,200,000","153,800,000","153,200,000","154,700,000","151,700,000","153,100,000","149,000,000","147,800,000","148,000,000","148,600,000","147,300,000","147,700,000","139,500,000","139,400,000","133,800,000","127,600,000","126,100,000","128,500,000","130,100,000","138,100,000","132,700,000","130,000,000","127,000,000","118,700,000","114,200,000","114,800,000","114,700,000","118,300,000","114,600,000","113,800,000","116,300,000","112,700,000","108,700,000","112,600,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,400,000","20,900,000","21,200,000","24,100,000","21,600,000","20,000,000","18,300,000","19,800,000","16,500,000","18,500,000","18,900,000","18,500,000","15,900,000","20,000,000","18,700,000","20,100,000","17,500,000","21,000,000","20,800,000","21,900,000","19,300,000","19,700,000","21,600,000","21,200,000","21,600,000","19,300,000","17,700,000","22,100,000","15,800,000","24,500,000","19,000,000","19,200,000","14,500,000","22,500,000","18,900,000","19,000,000","17,000,000","19,100,000","19,000,000","19,200,000","15,900,000","9,300,000","17,700,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,400,000","20,900,000","21,200,000","24,100,000","21,600,000","20,000,000","18,300,000","19,800,000","16,500,000","18,500,000","18,900,000","18,500,000","15,900,000","20,000,000","18,700,000","20,100,000","17,500,000","21,000,000","20,800,000","21,900,000","19,300,000","19,700,000","21,600,000","21,200,000","21,600,000","19,300,000","17,700,000","22,100,000","15,800,000","24,500,000","19,000,000","19,200,000","14,500,000","22,500,000","18,900,000","19,000,000","17,000,000","19,100,000","19,000,000","19,200,000","15,900,000","9,300,000","17,700,000",,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,"3,900,000","-4,300,000","3,600,000","-900,000","5,500,000","3,800,000","7,600,000","19,000,000","10,700,000","5,300,000","3,300,000","6,100,000","18,300,000","11,200,000","6,000,000","4,000,000","6,800,000","-3,600,000","5,000,000","4,800,000","8,200,000","5,700,000","1,600,000","7,200,000","7,400,000","-4,900,000","9,900,000","13,000,000","9,300,000","5,500,000","4,400,000","7,200,000","3,800,000","4,100,000","4,600,000","3,300,000","1,800,000","1,000,000","4,600,000","3,300,000","2,400,000","3,200,000","3,800,000","6,000,000","2,800,000","1,900,000","3,300,000","3,100,000","4,000,000","4,000,000","2,800,000","2,100,000","5,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"190,100,000","37,800,000","39,500,000","53,800,000",,"26,700,000","74,300,000","86,900,000","74,900,000","66,500,000","55,000,000","62,200,000","65,400,000","50,300,000","59,400,000","119,300,000","58,000,000","57,700,000","65,500,000","60,300,000","106,200,000","46,300,000","56,800,000","47,600,000","46,200,000","53,800,000","54,000,000","50,500,000","63,700,000","57,700,000","61,800,000","58,700,000","61,600,000","78,600,000","66,600,000","71,700,000","71,000,000","83,900,000","77,000,000","91,000,000","80,700,000","75,300,000","89,900,000","59,800,000","52,500,000","17,300,000","52,300,000","65,100,000","64,900,000",,"33,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
