name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
TotalRevenue,"4,884,000,000","1,194,000,000","1,279,000,000","1,218,000,000","1,194,000,000","1,108,000,000","1,173,000,000","1,022,000,000","1,443,000,000","1,465,000,000","1,375,644,000","1,658,319,000","1,195,938,000","993,302,000","1,049,434,000","980,662,000","933,070,000","847,960,000","909,369,000","907,667,000","873,232,000","814,018,000","875,223,000","797,692,000","796,801,000","701,695,000","809,792,000","691,395,000","619,030,000","586,898,000","642,241,000","610,582,000","590,761,000","529,322,000","539,737,000","488,636,000","465,609,000","430,418,000","462,606,000","461,660,000","423,469,000","352,473,000","342,953,000","325,209,000","311,345,000","240,046,000","223,117,000","214,182,000","206,077,000","184,278,000","197,354,000","189,875,000","193,047,000","181,276,000","189,238,000","186,052,000","175,285,000","163,136,000","168,038,000","157,613,000","144,438,000","122,709,000","115,892,000","110,856,000","108,276,000","100,140,000"
	OperatingRevenue,"4,884,000,000","1,194,000,000","1,279,000,000","1,218,000,000","1,194,000,000","1,108,000,000","1,173,000,000","1,022,000,000","1,443,000,000","1,465,000,000","1,375,644,000","1,658,319,000","1,195,938,000","993,302,000","1,049,434,000","980,662,000","933,070,000","847,960,000","909,369,000","907,667,000","873,232,000","814,018,000","875,223,000","797,692,000","796,801,000","701,695,000","809,792,000","691,395,000","619,030,000","586,898,000","642,241,000","610,582,000","590,761,000","529,322,000","539,737,000","488,636,000","465,609,000","430,418,000","303,989,000","461,660,000","423,469,000","352,473,000","342,953,000","325,209,000","311,345,000","240,046,000","223,117,000","214,182,000","206,077,000","184,278,000","197,354,000","189,875,000","193,047,000","181,276,000","189,238,000","186,052,000","175,285,000","163,136,000","168,038,000","157,613,000","144,438,000","122,709,000","115,892,000","110,856,000","108,276,000","100,140,000"
CostOfRevenue,"2,251,000,000","533,000,000","554,000,000","563,000,000","602,000,000","567,000,000","637,000,000","531,000,000","625,000,000","664,000,000","551,300,000","896,800,000","536,600,000","429,200,000","452,152,000","411,142,000","399,000,000","371,300,000","381,900,000","385,900,000","382,100,000","369,800,000","390,900,000","354,200,000","371,100,000","327,100,000","382,200,000","331,900,000","277,400,000","265,700,000","293,600,000","283,100,000","283,200,000","245,200,000","256,900,000","219,700,000","206,300,000","191,900,000","205,795,000","208,358,000","187,429,000","152,918,000","149,937,000","142,060,000","152,789,000","112,314,000","90,746,000","91,749,000","90,874,000","81,219,000","88,958,000","82,024,000","84,236,000","76,988,000","85,800,000","85,570,000","81,366,000","75,044,000","79,964,000","75,360,000","69,367,000","59,075,000","57,429,000","53,749,000","51,799,000","50,897,000"
GrossProfit,"2,633,000,000","661,000,000","725,000,000","655,000,000","592,000,000","541,000,000","536,000,000","491,000,000","818,000,000","801,000,000","824,360,000","761,474,000","659,320,000","564,117,000","597,266,000","569,520,000","534,074,000","476,650,000","527,513,000","521,771,000","491,088,000","444,255,000","484,319,000","443,515,000","425,661,000","374,567,000","427,600,000","359,455,000","341,617,000","321,173,000","348,628,000","327,528,000","307,582,000","284,136,000","282,719,000","268,986,000","259,310,000","238,547,000","256,820,000","253,302,000","236,040,000","199,555,000","193,016,000","183,149,000","158,556,000","127,732,000","132,371,000","122,433,000","115,203,000","103,059,000","108,396,000","107,851,000","108,811,000","104,288,000","103,438,000","100,482,000","93,919,000","88,092,000","88,074,000","82,253,000","75,071,000","63,634,000","58,463,000","57,107,000","56,477,000","49,243,000"
OperatingExpense,"778,000,000","202,000,000","185,000,000","204,000,000","187,000,000","212,000,000","217,000,000","189,000,000","219,000,000","236,000,000","223,566,000","278,389,000","166,463,000","136,334,000","140,861,000","128,524,000","123,057,000","122,512,000","121,091,000","130,670,000","120,834,000","125,731,000","127,171,000","106,229,000","105,822,000","95,223,000","104,853,000","91,510,000","81,530,000","80,326,000","88,923,000","87,202,000","86,300,000","72,783,000","75,675,000","86,989,000","64,535,000","65,040,000","66,093,000","67,438,000","58,813,000","54,289,000","50,626,000","43,994,000","45,352,000","106,175,000","29,091,000","27,156,000","27,144,000","26,606,000","25,855,000","22,654,000","24,037,000","21,400,000","22,262,000","22,064,000","21,143,000","21,183,000","22,530,000","20,947,000","17,954,000","13,763,000","12,927,000","61,414,000","13,876,000","15,086,000"
	SellingGeneralAndAdministration,"634,000,000","166,000,000","149,000,000","168,000,000","151,000,000","183,000,000","176,000,000","147,000,000","173,000,000","196,000,000","173,600,000","236,500,000","143,400,000","116,300,000","122,200,000","109,300,000","105,600,000","105,400,000","103,100,000","107,100,000","98,700,000","100,200,000","103,200,000","87,600,000","87,300,000","78,900,000","88,600,000","77,600,000","70,500,000","67,300,000","75,700,000","70,800,000","68,700,000","56,400,000","59,800,000","77,500,000","54,800,000","54,500,000","54,979,000","56,097,000","49,474,000","41,850,000","38,471,000","31,549,000","33,790,000","101,760,000","25,514,000","23,344,000","23,594,000","22,466,000","22,081,000","19,349,000","20,412,000","18,176,000","19,101,000","19,317,000","18,360,000","17,872,000","18,843,000","17,340,000","14,586,000","12,121,000","11,250,000","11,543,000","12,426,000","13,090,000"
		GeneralAndAdministrativeExpense,"634,000,000","166,000,000","149,000,000","168,000,000","151,000,000","183,000,000","176,000,000","147,000,000","173,000,000","196,000,000","173,600,000","236,500,000","143,400,000","116,300,000","122,200,000","109,300,000","105,600,000","105,400,000","103,100,000","107,100,000","98,700,000","100,200,000","103,200,000","87,600,000","87,300,000","78,900,000","88,600,000","77,600,000","70,500,000","67,300,000","75,700,000","70,800,000","68,700,000","56,400,000","59,800,000","77,500,000","54,800,000","54,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"105,000,000","33,000,000","21,000,000","32,000,000","19,000,000","44,000,000","31,000,000","19,000,000","10,000,000","23,000,000","20,900,000","28,600,000","18,500,000","16,000,000","19,800,000","12,300,000","10,400,000","10,000,000","11,600,000","10,400,000","10,000,000","9,000,000","13,100,000","10,200,000","10,000,000","9,100,000","6,900,000","8,400,000","6,700,000","4,900,000","6,400,000","5,500,000","6,900,000","3,500,000","2,500,000","27,000,000","6,100,000","6,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"529,000,000","133,000,000","128,000,000","136,000,000","132,000,000","139,000,000","145,000,000","128,000,000","163,000,000","173,000,000","152,700,000","207,900,000","124,900,000","100,300,000","102,400,000","97,000,000","95,200,000","95,400,000","91,500,000","96,700,000","88,700,000","91,200,000","90,100,000","77,400,000","77,300,000","69,800,000","81,700,000","69,200,000","63,800,000","62,400,000","69,300,000","65,300,000","61,800,000","52,900,000","57,300,000","50,500,000","48,700,000","48,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"144,000,000","36,000,000","36,000,000","36,000,000","36,000,000","29,000,000","41,000,000","42,000,000","46,000,000","40,000,000","49,966,000","41,889,000","23,063,000","20,034,000","18,661,000","19,224,000","17,457,000","17,112,000","17,991,000","23,570,000","22,134,000","25,531,000","23,971,000","18,629,000","18,522,000","16,323,000","16,253,000","13,910,000","11,030,000","13,026,000","13,223,000","16,402,000","17,600,000","16,383,000","15,875,000","9,489,000","9,735,000","10,540,000","11,114,000","11,341,000","9,339,000","12,439,000","12,155,000","12,445,000","11,562,000","4,415,000","3,577,000","3,812,000","3,550,000","4,140,000","3,774,000","3,305,000","3,625,000","3,224,000","3,161,000","2,747,000","2,783,000","3,311,000","3,687,000","3,607,000","3,368,000","1,642,000","1,516,000","1,415,000","1,450,000","1,816,000"
