name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"4,614,300,000","1,375,700,000","1,311,900,000","1,121,000,000","805,700,000","809,300,000","749,000,000","743,300,000","784,600,000","834,200,000","802,200,000","782,000,000","745,200,000","748,400,000","725,300,000","732,500,000","695,600,000","704,400,000","662,200,000","671,100,000","566,100,000","563,000,000","526,800,000","534,900,000","530,500,000","600,000,000","555,400,000","577,700,000","565,000,000","622,300,000","601,100,000","597,100,000","573,500,000","596,600,000","571,600,000","601,000,000","569,400,000","567,400,000","547,400,000","518,500,000","494,000,000","474,500,000","496,400,000","502,900,000","468,100,000","318,600,000","443,900,000","442,500,000","439,200,000","454,400,000","429,400,000","441,100,000","440,300,000","464,800,000","497,600,000","478,800,000","451,800,000","427,500,000","408,900,000","400,300,000","385,600,000","391,300,000","363,600,000","348,100,000","330,200,000","310,400,000","295,300,000","303,300,000","297,500,000","288,100,000","270,000,000","238,900,000","219,600,000","222,400,000","215,700,000","205,400,000","197,200,000","209,600,000","191,800,000","188,000,000","183,300,000","185,000,000","185,600,000","184,000,000","189,700,000","196,300,000","201,100,000","202,300,000","203,500,000","200,400,000","201,000,000","201,000,000","201,000,000","191,700,000","189,500,000","200,500,000","198,800,000"
	OperatingRevenue,"4,614,300,000","1,375,700,000","1,311,900,000","1,121,000,000","805,700,000","809,300,000","749,000,000","743,300,000","784,600,000","834,200,000","802,200,000","782,000,000","745,200,000","748,400,000","725,300,000","732,500,000","695,600,000","704,400,000","662,200,000","671,100,000","566,100,000","563,000,000","526,800,000","534,900,000","530,500,000","600,000,000","555,400,000","577,700,000","565,000,000","622,300,000","601,100,000","597,100,000","573,500,000","596,600,000","571,600,000","601,000,000","569,400,000","567,400,000","547,400,000","518,500,000","494,000,000","474,500,000","496,400,000","502,900,000","468,100,000","318,600,000","443,900,000","442,500,000","439,200,000","454,400,000","429,400,000","441,100,000","440,300,000","464,800,000","497,600,000","478,800,000","451,800,000","427,500,000","408,900,000","400,300,000","385,600,000","391,300,000","363,600,000","348,100,000","330,200,000","310,400,000","295,300,000","303,300,000","297,500,000","288,100,000","270,000,000","238,900,000","219,600,000","222,400,000","215,700,000","205,400,000","197,200,000","209,600,000","191,800,000","188,000,000","183,300,000","185,000,000","185,600,000","184,000,000","189,700,000","196,300,000","201,100,000","202,300,000","203,500,000","200,400,000","201,000,000","201,000,000","201,000,000","191,700,000","189,500,000","200,500,000","198,800,000"
CostOfRevenue,"2,772,900,000","829,600,000","787,700,000","663,100,000","492,500,000","493,600,000","458,500,000","460,600,000","492,600,000","505,100,000","487,700,000","463,600,000","463,900,000","459,600,000","446,200,000","447,000,000","438,200,000","433,900,000","405,800,000","418,300,000","354,200,000","349,200,000","317,000,000","331,800,000","324,800,000","378,400,000","345,800,000","357,700,000","345,900,000","391,600,000","375,400,000","368,400,000","351,700,000","382,000,000","369,000,000","383,600,000","365,400,000","359,000,000","349,000,000","343,000,000","328,100,000","315,700,000","331,300,000","330,600,000","313,100,000","218,400,000","307,600,000","309,900,000","312,200,000","324,200,000","304,200,000","313,800,000","313,800,000","344,800,000","348,500,000","330,900,000","315,300,000","304,600,000","284,900,000","274,900,000","272,000,000","276,700,000","261,300,000","245,400,000","236,800,000","222,600,000","212,500,000","220,000,000","214,500,000","205,100,000","194,600,000","178,300,000","168,300,000","168,500,000","163,100,000","153,500,000","151,600,000","160,600,000","143,600,000","141,700,000","139,000,000","138,100,000","141,100,000","147,900,000","146,300,000","143,600,000","141,600,000","143,400,000","143,600,000",,,,,,,,
GrossProfit,"1,841,400,000","546,100,000","524,200,000","457,900,000","313,200,000","315,700,000","290,500,000","282,700,000","292,000,000","329,100,000","314,500,000","318,400,000","281,300,000","288,800,000","279,100,000","285,500,000","257,400,000","270,500,000","256,400,000","252,800,000","211,900,000","213,800,000","209,800,000","203,100,000","205,700,000","221,600,000","209,600,000","220,000,000","219,100,000","230,700,000","225,700,000","228,700,000","221,800,000","214,600,000","202,600,000","217,400,000","204,000,000","208,400,000","198,400,000","175,500,000","165,900,000","158,800,000","165,100,000","172,300,000","155,000,000","100,200,000","136,300,000","132,600,000","127,000,000","130,200,000","125,200,000","127,300,000","126,500,000","120,000,000","149,100,000","147,900,000","136,500,000","122,900,000","124,000,000","125,400,000","113,600,000","114,600,000","102,300,000","102,700,000","93,400,000","87,800,000","82,800,000","83,300,000","83,000,000","83,000,000","75,400,000","60,600,000","51,300,000","53,900,000","52,600,000","51,900,000","45,600,000","49,000,000","48,200,000","46,300,000","44,300,000","46,900,000","44,500,000","36,100,000","43,400,000","52,700,000","59,500,000","58,900,000","59,900,000",,,,,,,,
OperatingExpense,"1,217,100,000","351,000,000","334,600,000","353,500,000","178,000,000","171,900,000","168,000,000","172,900,000","188,000,000","195,300,000","185,800,000","186,500,000","184,000,000","177,600,000","173,600,000","174,000,000","169,000,000","172,100,000","163,500,000","166,600,000","153,800,000","145,800,000","139,300,000","148,800,000","144,700,000","145,600,000","140,100,000","151,100,000","151,800,000","150,800,000","151,400,000","154,400,000","155,800,000","151,100,000","149,600,000","152,500,000","145,100,000","140,800,000","138,100,000","115,800,000","110,400,000","105,000,000","108,300,000","110,400,000","100,300,000","54,200,000","89,400,000","86,900,000","87,100,000","86,900,000","81,500,000","83,600,000","91,200,000","86,500,000","97,200,000","92,100,000","88,800,000","81,100,000","84,000,000","81,800,000","76,700,000","81,400,000","70,200,000","69,200,000","67,100,000","60,800,000","59,400,000","56,600,000","-190,900,000","60,900,000","56,900,000","43,900,000","-158,700,000","40,600,000","40,700,000","39,300,000","36,400,000","36,600,000","36,700,000","36,600,000","35,700,000","35,900,000","34,800,000","45,300,000","35,300,000","37,400,000","42,600,000","52,800,000","41,200,000",,,,,,,,
	SellingGeneralAndAdministration,"1,067,800,000","299,600,000","279,300,000","320,700,000","178,000,000","171,900,000","168,000,000","172,900,000","188,000,000","195,300,000","185,800,000","186,500,000","184,000,000","177,600,000","173,600,000","174,000,000","169,000,000","172,100,000","163,500,000","166,600,000","153,800,000","145,800,000","139,300,000","148,800,000","144,700,000","145,600,000","140,100,000","151,100,000","151,800,000","150,800,000","151,400,000","154,400,000","155,800,000","151,100,000","149,600,000","152,500,000","145,100,000","140,800,000","138,100,000","115,800,000","110,400,000","105,000,000","108,300,000","110,400,000","100,300,000","54,200,000","89,400,000","86,900,000","87,100,000","86,900,000","81,500,000","83,600,000","91,200,000","86,500,000","97,200,000","92,100,000","88,800,000","81,100,000","84,000,000","81,800,000","76,700,000","81,400,000","70,200,000","69,200,000","67,100,000","60,800,000","59,400,000","56,600,000","59,400,000","60,900,000","56,900,000","43,900,000","41,700,000","40,600,000","40,700,000","39,300,000","36,400,000","36,600,000","36,700,000","36,600,000","35,700,000","35,800,000","34,800,000","37,900,000","35,300,000","34,200,000","38,800,000","49,300,000","36,900,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"149,300,000","51,400,000","55,300,000","32,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,200,000","3,800,000","3,500,000","4,300,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"149,300,000","51,400,000","55,300,000","32,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,200,000","3,800,000","3,500,000","4,300,000",,,,,,,,
			Amortization,"149,300,000","51,400,000","55,300,000","32,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"149,300,000","51,400,000","55,300,000","32,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
