name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
TotalRevenue,"1,029,575,000","269,276,000","257,719,000","259,028,000","243,552,000","224,253,000","204,199,000","175,834,000","194,680,000","184,934,000","183,243,000","191,665,000","184,861,000","174,510,000","162,970,000","180,254,000","163,973,000","154,153,000","144,613,000","156,578,000","144,037,000","131,807,000","130,581,000","134,762,000","130,973,000","120,907,000","112,381,000","117,663,000","114,158,000","111,948,000","108,477,000","92,523,000","95,555,000","84,017,000","85,668,000","79,475,000","80,992,000","75,083,000","75,025,000","78,681,000","83,621,000","74,662,000","77,596,000","78,038,000","76,271,000","67,708,000","67,945,000","66,714,000","70,278,000","65,521,000","66,534,000","64,890,000","67,866,000","61,876,000","69,324,000","67,769,000","69,522,000","62,142,000","57,987,000","58,425,000","60,197,000","52,509,000","52,351,000","52,066,000","54,813,000","48,029,000","47,709,000","47,551,000","47,935,000","42,247,000","40,919,000","42,459,000","42,541,000","38,264,000","37,993,000","39,425,932","37,736,518","33,300,214","34,548,236","35,635,542","34,285,276","31,136,911","29,842,666","30,705,444","30,240,889","26,688,666","27,721,563","27,313,357","26,776,906","25,100,000","24,600,000","24,300,000","23,800,000","21,500,000","21,300,000","18,600,000","17,700,000","15,500,000","15,500,000","16,200,000","16,300,000","14,400,000","14,000,000","14,600,000","14,700,000","12,500,000","12,800,000","12,800,000","12,600,000","11,400,000","11,000,000","10,900,000","11,000,000","9,000,000","9,400,000","7,700,000","7,800,000","6,900,000","6,300,000","6,300,000","5,900,000","4,900,000","5,200,000","5,100,000","5,400,000","4,800,000","4,000,000","4,300,000","4,100,000","4,100,000","3,200,000"
	OperatingRevenue,"1,029,575,000","269,276,000","257,719,000","259,028,000","243,552,000","224,253,000","204,199,000","175,834,000","194,680,000","184,934,000","183,243,000","191,665,000","184,861,000","174,510,000","162,970,000","180,254,000","163,973,000","154,153,000","144,613,000","156,578,000","144,037,000","131,807,000","130,581,000","134,762,000","130,973,000","120,907,000","112,381,000","117,663,000","114,158,000","111,948,000","108,477,000","92,523,000","95,555,000","84,017,000","85,668,000","79,475,000","80,992,000","75,083,000","75,025,000","78,681,000","83,621,000","74,662,000","77,596,000","78,038,000","76,271,000","67,708,000","67,945,000","66,714,000","70,278,000","65,521,000","66,534,000","64,890,000","67,866,000","61,876,000","69,324,000","67,769,000","69,522,000","62,142,000","57,987,000","58,425,000","60,197,000","52,509,000","52,351,000","52,066,000","54,813,000","48,029,000","47,709,000","47,551,000","47,935,000","42,247,000","40,919,000","42,459,000","42,541,000","38,264,000","37,993,000","39,425,932","37,736,518","33,300,214","34,548,236","35,635,542","34,285,276","31,136,911","29,842,666","30,705,444","30,240,889","26,688,666","27,721,563","27,313,357","26,776,906","25,100,000","24,600,000","24,300,000","23,800,000","21,500,000","21,300,000","18,600,000","17,700,000","15,500,000","15,500,000","16,200,000","16,300,000","14,400,000","14,000,000","14,600,000","14,700,000","12,500,000","12,800,000","12,800,000","12,600,000","11,400,000","11,000,000","10,900,000","11,000,000","9,000,000","9,400,000","7,700,000","7,800,000","6,900,000","6,300,000","6,300,000","5,900,000","4,900,000","5,200,000","5,100,000","5,400,000","4,800,000","4,000,000","4,300,000","4,100,000","4,100,000","3,200,000"
CostOfRevenue,"330,668,000","85,585,000","86,722,000","83,084,000","75,278,000","73,353,000","66,468,000","62,520,000","64,617,000","63,531,000","64,829,000","63,405,000","60,251,000","61,492,000","55,367,000","58,073,000","53,712,000","52,319,000","46,745,000","45,771,000","49,854,000","46,725,000","46,111,000","45,070,000","40,984,000","39,320,000","36,990,000","38,575,000","34,778,000","36,205,000","35,411,000","28,930,000","27,444,000","25,424,000","24,554,000","20,358,000","19,845,000","19,820,000","19,442,000","19,817,000","20,238,000","19,492,000","19,209,000","18,733,000","15,833,000","15,218,000","15,241,000","13,834,000","14,399,000","13,329,000","12,901,000","14,656,000","14,316,000","13,430,000","13,086,000","13,888,000","14,146,000","12,751,000","12,104,000","12,697,000","12,019,000","10,714,000","11,237,000","11,822,000","12,105,000","10,695,000","11,096,000","9,847,000","9,138,000","8,941,000","8,887,000","8,837,000","8,946,000","8,441,000","8,663,000","9,579,002","8,756,163","8,370,754","8,690,255","8,539,454","8,392,165","8,028,285","7,547,942","16,795,374","4,332,632","5,835,674","5,905,853","5,338,463","6,382,933","6,300,000","6,200,000","6,600,000","6,700,000","5,600,000","6,100,000","4,500,000","4,900,000","4,400,000","3,900,000","4,200,000","4,500,000","4,000,000","4,300,000","4,100,000","4,500,000","4,200,000","4,300,000","4,100,000","4,600,000","4,000,000","4,100,000","3,900,000","4,100,000","3,400,000","3,900,000","3,300,000","3,200,000","2,900,000","2,600,000","2,000,000","2,500,000","2,300,000","2,500,000","2,200,000","2,400,000","2,300,000","1,900,000","1,800,000","2,000,000","2,200,000","1,400,000"
GrossProfit,"698,907,000","183,691,000","170,997,000","175,944,000","168,274,000","150,900,000","137,731,000","113,314,000","130,063,000","121,403,000","118,414,000","128,260,000","124,610,000","113,018,000","107,603,000","122,181,000","110,261,000","101,834,000","97,868,000","110,807,000","94,183,000","85,082,000","84,470,000","89,692,000","89,989,000","81,587,000","75,391,000","79,088,000","79,380,000","75,743,000","73,066,000","63,593,000","68,111,000","58,593,000","61,114,000","59,117,000","61,147,000","55,263,000","55,583,000","58,864,000","63,383,000","55,170,000","58,387,000","59,305,000","60,438,000","52,490,000","52,704,000","52,880,000","55,879,000","52,192,000","53,633,000","50,234,000","53,550,000","48,446,000","56,238,000","53,881,000","55,376,000","49,391,000","45,883,000","45,728,000","48,178,000","41,795,000","41,114,000","40,244,000","42,708,000","37,334,000","36,613,000","37,704,000","38,797,000","33,306,000","32,032,000","33,622,000","33,595,000","29,823,000","29,330,000","29,846,930","28,980,355","24,929,460","25,857,981","27,096,088","25,893,111","23,108,626","22,294,724","13,910,070","25,908,257","20,852,992","21,815,710","21,974,894","20,393,973","18,800,000","18,400,000","17,700,000","17,100,000","15,900,000","15,200,000","14,100,000","12,800,000","11,100,000","11,600,000","12,000,000","11,800,000","10,400,000","9,700,000","10,500,000","10,200,000","8,300,000","8,500,000","8,700,000","8,000,000","7,400,000","6,900,000","7,000,000","6,900,000","5,600,000","5,500,000","4,400,000","4,600,000","4,000,000","3,700,000","4,300,000","3,400,000","2,600,000","2,700,000","2,900,000","3,000,000","2,500,000","2,100,000","2,500,000","2,100,000","1,900,000","1,800,000"
OperatingExpense,"430,734,000","121,343,000","107,775,000","101,968,000","99,648,000","99,905,000","88,639,000","82,576,000","82,272,000","84,411,000","85,087,000","84,611,000","80,520,000","79,415,000","81,840,000","81,069,000","67,177,000","77,686,000","71,837,000","40,144,000","61,878,000","68,936,000","59,028,000","49,680,000","46,462,000","45,562,000","44,362,000","41,287,000","39,954,000","41,163,000","37,850,000","26,687,000","22,342,000","22,849,000","21,723,000","21,493,000","17,201,000","18,359,000","17,780,000","19,773,000","17,021,000","17,488,000","17,440,000","16,702,000","15,700,000","15,139,000","14,341,000","13,955,000","14,231,000","15,638,000","14,432,000","13,799,000","13,110,000","15,789,000","14,990,000","15,080,000","15,116,000","16,489,000","13,559,000","13,257,000","12,801,000","14,278,000","12,325,000","11,533,000","12,154,000","13,046,000","11,663,000","10,919,000","11,315,000","11,215,000","10,627,000","11,345,000","10,938,000","11,368,000","10,446,000","10,787,481","10,475,916","10,365,177","10,418,817","12,524,211","11,106,075","11,280,459","10,662,963","1,123,474","13,790,877","10,902,839","10,863,885","10,069,766","9,132,075","10,400,000","10,700,000","10,100,000","10,200,000","10,400,000","10,100,000","7,300,000","7,000,000","6,900,000","7,100,000","7,000,000","7,600,000","7,200,000","6,700,000","6,700,000","6,600,000","6,100,000","6,000,000","5,900,000","5,400,000","5,400,000","4,800,000","4,500,000","4,800,000","4,300,000","3,900,000","2,600,000","2,600,000","2,500,000","2,200,000","2,200,000","2,200,000","1,900,000","2,400,000","2,100,000","2,300,000","2,100,000","1,700,000","1,800,000","1,700,000","1,700,000","1,600,000"
	SellingGeneralAndAdministration,"321,078,000","100,693,000","86,175,000","51,614,000","82,596,000","83,116,000","72,598,000","37,524,000","66,318,000","68,030,000","69,010,000","41,245,000","64,968,000","63,603,000","67,051,000","65,287,000","53,285,000","63,775,000","58,289,000","3,301,000","48,107,000","55,655,000","46,263,000","38,037,000","35,217,000","34,585,000","33,040,000","30,474,000","29,089,000","31,137,000","28,701,000","17,103,000","14,666,000","14,926,000","14,021,000","12,118,000","9,982,000","10,956,000","10,328,000","10,360,000","9,899,000","10,651,000","10,773,000","10,747,000","9,233,000","8,365,000","7,552,000","7,464,000","7,666,000","9,007,000","8,038,000","7,560,000","7,061,000","9,703,000","8,840,000","8,986,000","8,994,000","10,645,000","8,090,000","7,839,000","7,229,000","8,830,000","7,067,000","6,269,000","6,901,000","7,980,000","6,454,000","6,173,000","6,379,000","6,290,000","5,634,000","5,667,000","5,456,000","5,519,000","5,083,000","4,818,843","4,705,923","4,901,125","5,100,907","5,657,697","4,526,706","4,833,875","4,535,917","4,533,682","4,551,285","4,154,722","4,474,526","3,829,655","4,356,323","4,700,000","4,400,000","3,700,000","4,300,000","4,500,000","4,400,000","3,800,000","3,700,000","3,900,000","4,000,000","3,500,000","4,100,000","3,700,000","3,300,000","3,200,000","3,500,000","3,200,000","3,100,000","3,000,000","2,900,000","2,900,000","2,400,000","2,300,000","2,500,000","3,800,000","3,500,000","2,200,000","2,300,000","2,200,000","1,900,000","1,900,000","1,900,000","1,700,000","2,200,000","1,900,000","2,200,000","2,000,000","1,600,000","1,700,000","1,700,000","1,700,000","1,500,000"
	ResearchAndDevelopment,"80,023,000","20,650,000","21,600,000","20,721,000","17,052,000","16,789,000","16,041,000","16,779,000","15,954,000","16,381,000","16,077,000","16,259,000","15,552,000","15,812,000","14,789,000","13,979,000","13,892,000","13,911,000","13,548,000","13,697,000","13,771,000","13,281,000","12,765,000","11,643,000","11,245,000","10,977,000","11,322,000","10,813,000","10,865,000","10,026,000","9,149,000","7,644,000","7,676,000","7,923,000","7,702,000","7,183,000","7,219,000","7,403,000","7,452,000","7,286,000","7,122,000","6,837,000","6,667,000","6,466,000","6,297,000","6,603,000","6,619,000","6,251,000","6,325,000","6,391,000","6,154,000","5,999,000","5,809,000","5,846,000","5,910,000","5,812,000","5,839,000","5,562,000","5,181,000","5,014,000","5,169,000","5,044,000","4,855,000","4,773,000","4,761,000","4,574,000","4,717,000","4,441,000","4,631,000","4,619,000","4,688,000","5,278,000","5,082,000","5,450,000","4,963,000","5,483,826","5,285,180","4,979,240","4,833,097","4,729,203","4,442,057","4,309,273","3,989,734","3,801,908","3,857,116","3,594,500","3,268,709","2,878,047","2,468,439","2,700,000","3,200,000","3,300,000","3,000,000","2,900,000","2,800,000","2,900,000","2,700,000","2,500,000","2,500,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,600,000","2,500,000","2,500,000","2,400,000","2,100,000","2,100,000","2,000,000","1,800,000","1,800,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,000","171,000","170,000","240,000","240,000","240,000","240,000","240,000","240,000","240,000","240,000","282,000","283,000","282,000","288,000","404,000","403,000","404,000","403,000","491,000","492,000","492,000","492,000","305,000","305,000","306,000","305,000","400,000","400,000","399,000","400,000","484,812","484,813","484,812","484,813","2,137,311","2,137,312","2,137,311","2,137,312","-7,212,116","5,382,476","3,153,617","3,120,650","3,362,064","2,307,313","3,000,000","3,100,000","3,100,000","2,900,000","3,000,000","2,900,000","600,000","600,000","500,000","600,000","600,000","600,000","600,000","500,000","600,000","500,000","400,000","400,000","500,000","400,000","400,000","400,000","400,000","500,000","500,000","400,000","400,000","300,000","300,000","300,000","300,000","300,000","200,000","200,000","200,000","100,000","100,000","100,000","100,000",,,"100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,000","171,000","170,000","240,000","240,000","240,000","240,000","240,000","240,000","240,000","240,000","282,000","283,000","282,000","288,000","404,000","403,000","404,000","403,000","491,000","492,000","492,000","492,000","305,000","305,000","306,000","305,000","400,000","400,000","399,000","400,000","484,812","484,813","484,812","484,813","2,137,311","2,137,312","2,137,311","2,137,312","-7,212,116","5,382,476","3,153,617","3,120,650","3,362,064","2,307,313","3,000,000","3,100,000","3,100,000","2,900,000","3,000,000","2,900,000","600,000","600,000","500,000","600,000","600,000","600,000","600,000","500,000","600,000","500,000","400,000","400,000","500,000","400,000","400,000","400,000","400,000","500,000","500,000","400,000","400,000","300,000","300,000","300,000","300,000","300,000","200,000","200,000","200,000","100,000","100,000","100,000","100,000",,,"100,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,160,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
