name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"22,259,000,000","5,529,000,000","5,598,000,000","5,650,000,000","5,445,000,000","5,651,000,000","5,572,000,000","5,871,000,000","5,611,000,000","3,625,000,000","3,003,000,000","3,042,000,000","2,898,000,000","2,940,000,000","2,926,000,000","2,879,000,000","2,813,000,000","2,869,000,000","2,813,000,000","2,855,000,000","2,780,000,000","2,727,000,000","2,792,000,000","2,811,000,000","2,605,000,000","2,571,000,000","2,510,000,000","2,421,000,000","2,388,000,000","2,423,000,000","2,372,000,000","2,364,000,000","2,342,000,000","2,391,000,000","2,396,000,000","2,546,000,000","2,482,000,000","2,814,000,000","2,446,000,000","2,430,000,000","2,310,000,000","2,663,000,000","2,106,000,000","2,141,000,000","1,999,000,000","2,412,000,000","2,424,000,000","2,399,000,000","2,158,000,000","2,266,000,000","2,177,000,000","2,209,000,000","2,177,000,000","1,792,000,000","1,880,000,000","1,895,000,000","1,788,000,000","1,688,000,000","1,653,000,000","1,695,000,000","1,597,000,000","1,526,337,000","1,597,970,000","1,567,446,000","1,506,247,000","1,518,695,000","1,504,112,000","1,461,884,000","1,365,804,000","1,374,616,000","1,394,519,000","1,413,358,000","1,285,001,000","1,350,964,000","1,318,561,000","1,164,516,000","1,137,099,000","1,199,441,000","1,124,339,000","1,094,163,000","1,021,992,000","996,447,000","957,996,000","881,699,000","838,179,000","760,933,000","582,365,000","675,872,000","646,417,000","680,900,000","574,600,000","546,500,000","505,600,000","464,700,000","451,000,000","428,600,000","417,200,000","397,500,000","432,200,000","316,700,000","303,300,000","294,400,000","282,500,000","272,600,000","261,300,000","250,300,000","245,900,000","251,400,000","219,000,000","105,500,000","101,000,000","98,200,000","101,800,000","74,100,000","69,100,000","68,800,000","78,900,000","62,700,000","61,500,000","59,000,000","53,200,000","52,200,000","47,900,000","46,300,000","44,300,000","45,800,000","40,500,000","37,600,000","37,900,000","48,000,000","34,200,000",,,,,,,,,,,,,,,,
	OperatingRevenue,"22,259,000,000","5,529,000,000","5,598,000,000","5,650,000,000","5,445,000,000","5,651,000,000","5,572,000,000","5,871,000,000","5,611,000,000","3,625,000,000","3,003,000,000","3,042,000,000","2,898,000,000","2,940,000,000","2,926,000,000","2,879,000,000","2,813,000,000","2,869,000,000","2,813,000,000","2,855,000,000","2,780,000,000","2,727,000,000","2,792,000,000","2,811,000,000","2,605,000,000","2,571,000,000","2,510,000,000","2,421,000,000","2,388,000,000","2,423,000,000","2,372,000,000","2,364,000,000","2,342,000,000","2,391,000,000","2,396,000,000","2,546,000,000","2,482,000,000","2,814,000,000","2,446,000,000","2,430,000,000","2,310,000,000","2,663,000,000","2,106,000,000","2,141,000,000","1,999,000,000","2,412,000,000","2,424,000,000","2,399,000,000","2,158,000,000","2,266,000,000","2,177,000,000","2,209,000,000","2,177,000,000","1,792,000,000","1,880,000,000","1,895,000,000","1,788,000,000","1,688,000,000","1,653,000,000","1,695,000,000","1,597,000,000","1,526,337,000","1,597,970,000","1,567,446,000","1,506,247,000","1,518,695,000","1,504,112,000","1,461,884,000","1,365,804,000","1,374,616,000","1,394,519,000","1,413,358,000","1,285,001,000","1,350,964,000","1,318,561,000","1,164,516,000","1,137,099,000","1,199,441,000","1,124,339,000","1,094,163,000","1,021,992,000","996,447,000","957,996,000","881,699,000","838,179,000","760,933,000","582,365,000","675,872,000","646,417,000","680,900,000","574,600,000","546,500,000","505,600,000","464,700,000","451,000,000","428,600,000","417,200,000","397,500,000","432,200,000","316,700,000","303,300,000","294,400,000","282,500,000","272,600,000","261,300,000","250,300,000","245,900,000","251,400,000","219,000,000","105,500,000","101,000,000","98,200,000","101,800,000","74,100,000","69,100,000","68,800,000","78,900,000","62,700,000","61,500,000","59,000,000","53,200,000","52,200,000","47,900,000","46,300,000","44,300,000","45,800,000","40,500,000","37,600,000","37,900,000","48,000,000","34,200,000",,,,,,,,,,,,,,,,
PretaxIncome,"7,993,000,000","1,969,000,000","2,127,000,000","2,073,000,000","1,824,000,000","1,641,000,000","1,396,000,000","1,149,000,000","1,287,000,000","879,000,000","1,046,000,000","1,119,000,000","975,000,000","1,010,000,000","1,049,000,000","1,024,000,000","977,000,000","876,000,000","942,000,000","978,000,000","530,000,000","930,000,000","915,000,000","839,000,000","816,000,000","793,000,000","755,000,000","581,000,000","788,000,000","845,000,000","695,000,000","651,000,000","795,000,000","831,000,000","759,000,000","797,000,000","737,000,000","756,000,000","673,000,000","729,000,000","634,000,000","484,000,000","439,000,000","418,000,000","287,000,000","232,000,000","246,000,000","249,000,000","242,000,000","207,000,000","148,000,000","249,000,000","432,000,000","330,000,000","507,000,000","603,000,000","629,000,000","583,000,000","660,000,000","684,000,000","643,000,000","563,244,000","620,156,000","650,105,000","639,495,000","631,335,000","660,171,000","581,172,000","594,053,000","618,228,000","620,912,000","598,707,000","484,515,000","558,328,000","136,595,000","452,096,000","470,011,000","460,426,000","454,278,000","458,811,000","417,182,000","387,725,000","307,262,000","319,138,000","309,237,000","321,451,000","65,120,000","258,387,000","238,170,000","259,200,000","207,600,000","224,400,000","203,700,000","199,100,000","186,600,000","178,100,000","166,200,000","153,900,000","97,700,000","129,800,000","125,300,000","115,700,000","81,300,000","110,200,000","103,900,000","101,300,000","94,100,000","84,400,000","-16,800,000","43,200,000","43,100,000","40,800,000","40,200,000","27,500,000","26,800,000","26,400,000","32,800,000","20,700,000","21,500,000","18,500,000","15,000,000","12,500,000","12,300,000","10,600,000","9,600,000","6,700,000","6,800,000","8,500,000","7,700,000","14,000,000","8,200,000",,,,,,,,,,,,,,,,
TaxProvision,"1,556,000,000","367,000,000","423,000,000","415,000,000","351,000,000","311,000,000","255,000,000","191,000,000","224,000,000","153,000,000","218,000,000","234,000,000","177,000,000","205,000,000","210,000,000","202,000,000","186,000,000","209,000,000","294,000,000","304,000,000","104,000,000","287,000,000","273,000,000","252,000,000","246,000,000","251,000,000","222,000,000","80,000,000","241,000,000","236,000,000","134,000,000","173,000,000","217,000,000","243,000,000","450,000,000","221,000,000","481,000,000","207,000,000","177,000,000","191,000,000","189,000,000","84,000,000","68,000,000","91,000,000","53,000,000","15,000,000","27,000,000","25,000,000","48,000,000","13,000,000","-9,000,000","41,000,000","114,000,000","25,000,000","149,000,000","175,000,000","201,000,000","172,000,000","216,000,000","226,000,000","222,000,000","312,885,000","203,128,000","221,005,000","207,982,000","201,761,000","218,165,000","194,367,000","198,669,000","201,344,000","208,027,000","198,601,000","156,015,000","253,301,000","20,704,000","135,859,000","142,263,000","123,171,000","126,121,000","130,859,000","117,317,000","109,782,000","85,296,000","88,333,000","90,876,000","95,995,000","15,856,000","85,643,000","75,933,000","85,500,000","66,500,000","71,600,000","65,300,000","62,600,000","59,400,000","56,100,000","52,500,000","50,500,000","36,400,000","43,800,000","42,200,000","36,000,000","25,300,000","36,300,000","34,300,000","31,200,000","31,600,000","27,100,000","-4,300,000","14,500,000","15,100,000","13,900,000","14,200,000","8,800,000","9,000,000","8,500,000","11,600,000","6,900,000","7,500,000","6,200,000","4,900,000","4,000,000","4,000,000","3,300,000","2,900,000","1,900,000","1,600,000","2,500,000","2,200,000","4,700,000","2,200,000",,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"6,033,000,000","1,524,000,000","1,616,000,000","1,559,000,000","1,334,000,000","1,228,000,000","1,068,000,000","902,000,000","986,000,000","702,000,000","735,000,000","842,000,000","749,000,000","754,000,000","789,000,000","775,000,000","745,000,000","614,000,000","597,000,000","631,000,000","378,000,000","592,000,000","599,000,000","541,000,000","527,000,000","502,000,000","492,000,000","454,000,000","488,000,000","557,000,000","520,000,000","425,000,000","501,000,000","537,000,000","268,000,000","547,000,000","210,000,000","506,000,000","469,000,000","510,000,000","431,000,000","391,000,000","366,000,000","307,000,000","225,000,000","208,000,000","210,000,000","210,000,000","188,000,000","185,000,000","152,000,000","121,000,000","271,000,000","284,000,000","358,000,000","428,000,000","428,000,000","411,000,000","444,000,000","458,000,000","421,000,000","250,359,000","417,028,000","429,100,000","431,513,000","429,574,000","442,006,000","386,805,000","395,384,000","416,884,000","412,885,000","400,106,000","328,500,000","305,027,000","115,891,000","316,237,000","327,748,000","337,255,000","328,157,000","327,952,000","309,645,000","277,943,000","221,966,000","230,805,000","218,361,000","225,456,000","49,264,000","172,744,000","162,237,000","173,700,000","141,100,000","152,800,000","138,400,000","136,500,000","127,200,000","122,000,000","113,700,000","103,400,000","61,300,000","86,000,000","83,100,000","79,700,000","56,000,000","73,900,000","69,000,000","68,800,000","61,200,000","56,000,000","-13,800,000","27,400,000","26,700,000","25,600,000","26,000,000","17,400,000","16,500,000","16,600,000","23,500,000","12,500,000","12,700,000","12,300,000","10,100,000","8,500,000","8,300,000","7,300,000","6,700,000","4,800,000","5,200,000","6,000,000","5,500,000","9,300,000","6,000,000",,,,,,,,,,,,,,,,
	NetIncome,"6,440,000,000","1,602,000,000","1,704,000,000","1,657,000,000","1,477,000,000","1,329,000,000","1,138,000,000","955,000,000","1,060,000,000","721,000,000","825,000,000","886,000,000","792,000,000","798,000,000","832,000,000","819,000,000","788,000,000","658,000,000","640,000,000","675,000,000","421,000,000","636,000,000","642,000,000","584,000,000","564,000,000","539,000,000","529,000,000","491,000,000","525,000,000","594,000,000","557,000,000","462,000,000","538,000,000","574,000,000","305,000,000","560,000,000","240,000,000","536,000,000","494,000,000","518,000,000","431,000,000","391,000,000","366,000,000","307,000,000","225,000,000","208,000,000","210,000,000","210,000,000","188,000,000","185,000,000","152,000,000","204,000,000","312,000,000","305,000,000","358,000,000","428,000,000","428,000,000","411,000,000","444,000,000","458,000,000","421,000,000","250,359,000","417,028,000","429,100,000","431,513,000","429,574,000","442,006,000","386,805,000","395,384,000","416,884,000","412,885,000","400,106,000","328,500,000","305,027,000","115,891,000","316,237,000","327,748,000","337,255,000","328,157,000","327,952,000","309,645,000","277,943,000","221,966,000","230,805,000","218,361,000","225,456,000","49,264,000","172,744,000","162,237,000","173,700,000","141,100,000","152,800,000","138,400,000","136,500,000","127,200,000","122,000,000","113,700,000","103,400,000","61,300,000","86,000,000","83,100,000","79,700,000","56,000,000","73,900,000","69,600,000","70,100,000","62,500,000","57,300,000","-12,500,000","28,700,000","28,000,000","26,900,000","27,300,000","18,700,000","17,800,000","17,900,000","24,800,000","13,800,000","14,000,000","12,300,000","10,100,000","8,500,000","8,300,000","7,300,000","6,700,000","4,800,000","5,200,000","6,000,000","5,500,000","9,300,000","6,000,000",,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"6,437,000,000","1,602,000,000","1,704,000,000","1,658,000,000","1,473,000,000","1,330,000,000","1,141,000,000","958,000,000","1,063,000,000","726,000,000","828,000,000","885,000,000","798,000,000","805,000,000","839,000,000","822,000,000","791,000,000","667,000,000","648,000,000","674,000,000","426,000,000","643,000,000","642,000,000","587,000,000","570,000,000","542,000,000","533,000,000","501,000,000","547,000,000","609,000,000","561,000,000","478,000,000","578,000,000","588,000,000","309,000,000","576,000,000","256,000,000","549,000,000","496,000,000","538,000,000","445,000,000","400,000,000","371,000,000","327,000,000","234,000,000","217,000,000","219,000,000","224,000,000","194,000,000","194,000,000","157,000,000","208,000,000","318,000,000","305,000,000","358,000,000","428,000,000","428,000,000","411,000,000","444,000,000","458,000,000","421,000,000","250,359,000","417,028,000","429,100,000","431,513,000","429,574,000","442,006,000","386,805,000","395,384,000","416,884,000","412,885,000","400,106,000","328,500,000","305,027,000","115,891,000","316,237,000","327,748,000","337,255,000","328,157,000","327,952,000","309,645,000","277,943,000","221,966,000","230,805,000","218,361,000","225,456,000","49,264,000","172,744,000","162,237,000","173,700,000","141,100,000","152,800,000","138,400,000","136,500,000","127,200,000","122,000,000","113,700,000","103,400,000","61,300,000","86,000,000","83,100,000","79,700,000","56,000,000","73,900,000","69,600,000","70,100,000","62,500,000","57,300,000","-12,500,000","28,700,000","28,000,000","26,900,000","27,300,000","18,700,000","17,800,000","17,900,000","24,800,000","13,800,000","14,000,000","12,300,000","10,100,000","8,500,000","8,300,000","7,300,000","6,700,000","4,800,000","5,200,000","6,000,000","5,500,000","9,300,000","6,000,000","5,600,000","5,200,000","6,300,000","6,000,000","5,100,000","4,200,000","6,400,000","4,700,000","4,200,000","3,800,000","5,000,000","3,700,000","2,900,000","3,300,000","2,600,000","2,900,000"
			NetIncomeContinuousOperations,"6,437,000,000","1,602,000,000","1,704,000,000","1,658,000,000","1,473,000,000","1,330,000,000","1,141,000,000","958,000,000","1,063,000,000","726,000,000","828,000,000","885,000,000","798,000,000","805,000,000","839,000,000","822,000,000","791,000,000","667,000,000","648,000,000","674,000,000","426,000,000","643,000,000","642,000,000","587,000,000","570,000,000","542,000,000","533,000,000","501,000,000","547,000,000","609,000,000","561,000,000","478,000,000","578,000,000","588,000,000","309,000,000","576,000,000","256,000,000","549,000,000","496,000,000","538,000,000","445,000,000","400,000,000","371,000,000","327,000,000","234,000,000","217,000,000","219,000,000","224,000,000","194,000,000","194,000,000","157,000,000","208,000,000","318,000,000","305,000,000","358,000,000","428,000,000","428,000,000","411,000,000","444,000,000","458,000,000","421,000,000","250,359,000","417,028,000","429,100,000","431,513,000","429,574,000","442,006,000","386,805,000","395,384,000","416,884,000","412,885,000","400,106,000","328,500,000","305,027,000","115,891,000","316,237,000","327,748,000","337,255,000","328,157,000","327,952,000","299,865,000","277,943,000","221,966,000","230,805,000","218,361,000","225,456,000","49,264,000","172,744,000","162,237,000","173,700,000","141,100,000","152,800,000","138,400,000","136,500,000","127,200,000","122,000,000","113,700,000","103,400,000","61,300,000","86,000,000","83,100,000","79,700,000","56,000,000","73,900,000","69,600,000","70,100,000","62,500,000","57,300,000","-12,500,000","28,700,000","28,000,000","26,900,000","26,000,000","18,700,000","17,800,000","17,900,000","21,200,000","13,800,000","14,000,000","12,300,000","10,100,000","8,500,000","8,300,000","7,300,000","6,700,000","4,800,000","5,200,000","6,000,000","5,500,000","9,300,000","6,000,000","5,600,000","5,200,000","6,300,000","6,000,000","5,100,000","4,200,000","6,400,000","4,700,000","4,200,000","3,800,000","5,000,000","3,700,000","2,900,000","3,300,000","2,600,000","2,900,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"9,780,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"3,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
