name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986
TotalRevenue,"48,549,982,000","13,854,368,000","12,531,890,000","12,077,063,000","10,086,661,000","10,943,210,000","10,117,289,000","6,667,575,000","4,408,888,000","12,206,462,000","10,451,334,000","9,781,596,000","9,277,585,000","11,127,340,000","9,825,759,000","9,331,115,000","8,688,720,000","10,960,720,000","8,762,220,000","8,357,700,000","7,784,024,000","9,467,647,000","8,291,688,000","7,882,053,000","7,542,356,000","8,962,075,000","7,753,495,000","7,363,731,000","6,865,637,000","8,303,953,000","7,366,066,000","6,917,212,000","6,491,176,000","7,808,787,000","6,981,876,000","6,442,424,000","6,189,609,000","7,723,814,000","6,410,913,000","5,945,559,000","5,798,086,000","6,709,758,000","5,793,128,000","5,468,274,000","5,220,295,000","6,331,726,000","5,525,847,000","5,068,080,000","5,016,540,000","5,941,746,000","5,244,946,000","4,747,528,000","4,354,224,000","5,380,025,000","4,761,530,000","4,621,292,000","4,364,125,000","5,488,256,000","4,737,491,000","4,313,298,000","4,108,081,000","5,018,849,000","4,501,073,000","3,988,232,000","3,896,483,000","4,716,327,000","4,041,912,000","3,647,866,000","3,651,830,000","4,329,109,000","3,817,350,000","3,414,287,000","3,352,737,000","4,105,597,000","3,387,452,000","3,046,184,000","2,788,705,000","3,505,481,000","3,044,950,000","2,765,089,000","2,665,687,000","3,208,712,000","2,741,769,000","2,487,622,000","2,270,895,000","2,751,305,000","2,461,411,000","2,258,174,000","2,108,116,000","2,487,547,000","2,257,100,000","2,098,600,000","1,952,100,000","2,282,400,000","2,026,600,000","1,864,200,000","1,775,800,000","2,242,900,000","1,887,700,000","1,698,400,000","1,560,200,000","1,946,500,000","1,722,400,000","1,641,200,000","1,604,200,000","1,755,500,000","1,012,700,000","848,900,000","911,600,000","1,112,500,000","1,011,900,000","866,700,000","851,700,000","1,040,300,000","959,700,000","841,100,000","785,600,000","997,500,000","839,100,000","753,600,000","670,900,000","799,600,000","705,300,000","649,500,000","603,300,000","714,100,000","646,000,000","572,500,000","513,800,000","618,600,000","563,500,000","500,300,000","466,400,000","480,200,000","480,200,000","480,200,000","480,200,000","411,000,000","410,900,000","410,900,000","410,900,000","348,700,000","348,700,000","348,600,000","348,600,000"
	OperatingRevenue,"48,549,982,000","13,854,368,000","12,531,890,000","12,077,063,000","10,086,661,000","10,943,210,000","10,117,289,000","6,667,575,000","4,408,888,000","12,206,462,000","10,451,334,000","9,781,596,000","9,277,585,000","11,127,340,000","9,825,759,000","9,331,115,000","8,688,720,000","10,960,720,000","8,762,220,000","8,357,700,000","7,784,024,000","9,467,647,000","8,291,688,000","7,882,053,000","7,542,356,000","8,962,075,000","7,753,495,000","7,363,731,000","6,865,637,000","8,303,953,000","7,366,066,000","6,917,212,000","6,491,176,000","7,808,787,000","6,981,876,000","6,442,424,000","6,189,609,000","7,723,814,000","6,410,913,000","5,945,559,000","5,798,086,000","6,709,758,000","5,793,128,000","5,468,274,000","5,220,295,000","6,331,726,000","5,525,847,000","5,068,080,000","5,016,540,000","5,941,746,000","5,244,946,000","4,747,528,000","4,354,224,000","5,380,025,000","4,761,530,000","4,621,292,000","4,364,125,000","5,488,256,000","4,737,491,000","4,313,298,000","4,108,081,000","5,018,849,000","4,501,073,000","3,988,232,000","3,896,483,000","4,716,327,000","4,041,912,000","3,647,866,000","3,651,830,000","4,329,109,000","3,817,350,000","3,414,287,000","3,352,737,000","4,105,597,000","3,387,452,000","3,046,184,000","2,788,705,000","3,505,481,000","3,044,950,000","2,765,089,000","2,665,687,000","3,208,712,000","2,741,769,000","2,487,622,000","2,270,895,000","2,751,305,000","2,461,411,000","2,258,174,000","2,108,116,000","2,487,547,000","2,257,100,000","2,098,600,000","1,952,100,000","2,282,400,000","2,026,600,000","1,864,200,000","1,775,800,000","2,242,900,000","1,887,700,000","1,698,400,000","1,560,200,000","1,946,500,000","1,722,400,000","1,641,200,000","1,604,200,000","1,755,500,000","1,012,700,000","848,900,000","911,600,000","1,112,500,000","1,011,900,000","866,700,000","851,700,000","1,040,300,000","959,700,000","841,100,000","785,600,000","997,500,000","839,100,000","753,600,000","670,900,000","799,600,000","705,300,000","649,500,000","603,300,000","714,100,000","646,000,000","572,500,000","513,800,000","618,600,000","563,500,000","500,300,000","466,400,000","480,200,000","480,200,000","480,200,000","480,200,000","411,000,000","410,900,000","410,900,000","410,900,000","348,700,000","348,700,000","348,600,000","348,600,000"
CostOfRevenue,"34,713,812,000","10,094,515,000","8,835,532,000","8,528,130,000","7,255,635,000","7,882,575,000","7,062,285,000","5,174,490,000","4,414,465,000","8,741,805,000","7,440,033,000","7,026,057,000","6,637,885,000","8,033,640,000","6,983,483,000","6,635,815,000","6,178,239,000","7,849,400,000","6,150,020,000","5,972,675,000","5,530,072,000","6,786,777,000","5,843,873,000","5,562,961,000","5,372,143,000","6,388,192,000","5,506,899,000","5,219,191,000","4,920,241,000","5,959,037,000","5,203,629,000","4,935,856,000","4,678,000,000","5,650,300,000","4,934,465,000","4,586,739,000","4,433,533,000","5,514,526,000","4,566,073,000","4,275,073,000","4,165,728,000","4,884,369,000","4,166,587,000","3,976,035,000","3,827,258,000","4,666,173,000","4,006,404,000","3,719,210,000","3,648,674,000","4,358,602,000","3,802,179,000","3,534,302,000","3,273,346,000","4,160,712,000","3,528,009,000","3,492,815,000","3,315,735,000","4,146,038,000","3,541,498,000","3,277,697,000","3,117,215,000","3,859,696,000","3,356,757,000","3,054,467,000","2,942,783,000","3,647,047,000","3,065,064,000","2,801,376,000","2,781,529,000","3,367,089,000","2,857,105,000","2,629,207,000","2,518,346,000","3,108,457,000","2,528,049,000","2,327,058,000","2,113,630,000","2,721,877,000","2,290,136,000","2,078,736,000","1,988,830,000","2,481,606,000","2,059,996,000","1,894,704,000","1,686,616,000","2,079,331,000","1,759,499,000","1,660,075,000","1,513,438,000","1,860,307,000","1,620,100,000","1,544,300,000","1,394,300,000","1,692,000,000","1,445,800,000","1,385,500,000","1,297,700,000","1,703,900,000","1,382,400,000","1,292,600,000","1,172,700,000","1,471,400,000","1,276,200,000","1,244,900,000","1,208,600,000","1,360,400,000","728,500,000","641,100,000","677,900,000","863,600,000","731,200,000","638,500,000","617,400,000","785,600,000","680,400,000","620,000,000","569,200,000","752,600,000","598,600,000","561,500,000","492,800,000","615,100,000","513,300,000","486,900,000","445,600,000","550,200,000","469,900,000","427,300,000","379,600,000","469,700,000","412,900,000","378,700,000",,,,,,,,,,,,,
GrossProfit,"13,836,170,000","3,759,853,000","3,696,358,000","3,548,933,000","2,831,026,000","3,060,635,000","3,055,004,000","1,493,085,000","-5,577,000","3,464,657,000","3,011,301,000","2,755,539,000","2,639,700,000","3,093,700,000","2,842,276,000","2,695,300,000","2,510,481,000","3,111,320,000","2,612,200,000","2,385,025,000","2,253,952,000","2,680,870,000","2,447,815,000","2,319,092,000","2,170,213,000","2,573,883,000","2,246,596,000","2,144,540,000","1,945,396,000","2,344,916,000","2,162,437,000","1,981,356,000","1,813,176,000","2,158,487,000","2,047,411,000","1,855,685,000","1,756,076,000","2,209,288,000","1,844,840,000","1,670,486,000","1,632,358,000","1,825,389,000","1,626,541,000","1,492,239,000","1,393,037,000","1,665,553,000","1,519,443,000","1,348,870,000","1,367,866,000","1,583,144,000","1,442,767,000","1,213,226,000","1,080,878,000","1,219,313,000","1,233,521,000","1,128,477,000","1,048,390,000","1,342,218,000","1,195,993,000","1,035,601,000","990,866,000","1,159,153,000","1,144,316,000","933,765,000","953,700,000","1,069,280,000","976,848,000","846,490,000","870,301,000","962,020,000","960,245,000","785,080,000","834,391,000","997,140,000","859,403,000","719,126,000","675,075,000","783,604,000","754,814,000","686,353,000","676,857,000","727,106,000","681,773,000","592,918,000","584,279,000","671,974,000","701,912,000","598,099,000","594,678,000","627,240,000","637,000,000","554,300,000","557,800,000","590,400,000","580,800,000","478,700,000","478,100,000","539,000,000","505,300,000","405,800,000","387,500,000","475,100,000","446,200,000","396,300,000","395,600,000","395,100,000","284,200,000","207,800,000","233,700,000","248,900,000","280,700,000","228,200,000","234,300,000","254,700,000","279,300,000","221,100,000","216,400,000","244,900,000","240,500,000","192,100,000","178,100,000","184,500,000","192,000,000","162,600,000","157,700,000","163,900,000","176,100,000","145,200,000","134,200,000","148,900,000","150,600,000","121,600,000",,,,,,,,,,,,,
OperatingExpense,"9,081,238,000","2,495,905,000","2,296,649,000","2,223,692,000","2,064,992,000","2,193,101,000","1,986,128,000","1,527,768,000","1,313,920,000","2,135,329,000","1,885,923,000","1,731,335,000","1,702,401,000","1,916,627,000","1,756,448,000","1,699,714,000","1,550,775,000","1,895,601,000","1,584,219,000","1,483,648,000","1,411,603,000","1,577,595,000","1,462,574,000","1,393,248,000","1,335,050,000","1,497,119,000","1,292,401,000","1,247,538,000","1,168,657,000","1,306,279,000","1,193,297,000","1,122,758,000","1,073,050,000","1,215,192,000","1,158,668,000","1,074,320,000","1,018,909,000","1,239,524,000","1,090,282,000","978,514,000","942,126,000","1,057,739,000","954,238,000","923,693,000","954,474,000","1,062,097,000","912,808,000","862,795,000","821,363,000","938,914,000","864,097,000","790,876,000","735,057,000","816,031,000","809,814,000","808,277,000","757,106,000","1,072,707,000","792,552,000","749,051,000","729,281,000","778,053,000","762,143,000","698,779,000","689,545,000","776,946,000","687,385,000","638,082,000","621,547,000","672,074,000","625,987,000","584,751,000","553,474,000","609,315,000","552,142,000","510,818,000","482,891,000","527,646,000","508,341,000","469,528,000","433,016,000","467,955,000","431,721,000","406,442,000","380,271,000","459,646,000","433,915,000","406,697,000","378,559,000","419,758,000","378,100,000","369,300,000","347,900,000","396,500,000","357,200,000","336,300,000","332,400,000","373,500,000","319,100,000","314,500,000","303,600,000","343,700,000","296,000,000","323,900,000","329,100,000","324,800,000","216,500,000","183,400,000","209,700,000","221,500,000","216,900,000","190,200,000","196,000,000","200,700,000","194,000,000","172,600,000","174,100,000","193,000,000","165,300,000","153,000,000","145,000,000","152,900,000","137,400,000","132,100,000","126,000,000","133,200,000","118,900,000","114,400,000","103,600,000","107,400,000","99,000,000","96,900,000",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"9,081,238,000","2,495,905,000","2,296,649,000","2,223,692,000","2,064,992,000","2,193,101,000","1,986,128,000","1,527,768,000","1,313,920,000","2,135,329,000","1,885,923,000","1,731,335,000","1,702,401,000","1,916,627,000","1,756,448,000","1,699,714,000","1,550,775,000","1,895,601,000","1,584,219,000","1,483,648,000","1,411,603,000","1,577,595,000","1,462,574,000","1,393,248,000","1,335,050,000","1,497,119,000","1,292,401,000","1,247,538,000","1,168,657,000","1,306,279,000","1,193,297,000","1,122,758,000","1,073,050,000","1,215,192,000","1,158,668,000","1,074,320,000","1,018,909,000","1,239,524,000","1,090,282,000","978,514,000","942,126,000","1,057,739,000","954,238,000","923,693,000","954,474,000","1,122,081,000","912,808,000","853,801,000","821,363,000","938,914,000","864,097,000","790,876,000","735,057,000","816,031,000","809,814,000","808,277,000","757,106,000","1,072,707,000","792,552,000","749,051,000","729,281,000","778,053,000","762,143,000","698,779,000","689,545,000","776,946,000","687,385,000","638,082,000","621,547,000","672,074,000","625,987,000","584,751,000","553,474,000","609,315,000","552,142,000","510,818,000","482,891,000","527,646,000","508,341,000","469,528,000","433,016,000","467,955,000","431,721,000","406,442,000","380,271,000","414,939,000","385,666,000","364,474,000","337,957,000","375,165,000","338,300,000","330,500,000","310,700,000","360,300,000","322,500,000","303,300,000","299,800,000","341,100,000","287,200,000","283,800,000","273,700,000","311,100,000","266,900,000","290,900,000","297,000,000","295,900,000","197,000,000","166,900,000","188,600,000","201,200,000","197,200,000","172,000,000","177,600,000","182,900,000","177,100,000","156,100,000","157,900,000","176,800,000","149,200,000","137,900,000","129,900,000","137,100,000","123,100,000","118,500,000","112,900,000","120,200,000","106,700,000","102,500,000","92,200,000","97,200,000","88,400,000","86,600,000",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,707,000","48,249,000","42,223,000","40,602,000","44,593,000","39,800,000","38,800,000","37,200,000","36,200,000","34,700,000","33,000,000","32,600,000","32,400,000","31,900,000","30,700,000","29,900,000","32,600,000","29,100,000","33,000,000","32,100,000","28,900,000","19,500,000","16,500,000","21,100,000","20,300,000","19,700,000","18,200,000","18,400,000","17,800,000","16,900,000","16,500,000","16,200,000","16,200,000","16,100,000","15,100,000","15,100,000","15,800,000","14,300,000","13,600,000","13,100,000","13,000,000","12,200,000","11,900,000","11,400,000","10,200,000","10,600,000","10,300,000",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,707,000","48,249,000","42,223,000","40,602,000","44,593,000","39,800,000","38,800,000","37,200,000","36,200,000","34,700,000","33,000,000","32,600,000","32,400,000","31,900,000","30,700,000","29,900,000","32,600,000","29,100,000","33,000,000","32,100,000","28,900,000","19,500,000","16,500,000","21,100,000","20,300,000","19,700,000","18,200,000","18,400,000","17,800,000","16,900,000","16,500,000","16,200,000","16,200,000","16,100,000","15,100,000","15,100,000","15,800,000","14,300,000","13,600,000","13,100,000","13,000,000","12,200,000","11,900,000","11,400,000","10,200,000","10,600,000","10,300,000",,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-71,534,000",,"8,994,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
