name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
TotalRevenue,"6,510,800,000","2,141,200,000","1,480,900,000","1,615,400,000","1,273,300,000","1,685,400,000","1,172,200,000","714,800,000","1,072,700,000","1,816,000,000","1,357,900,000","1,513,700,000","1,331,400,000","1,800,800,000","1,381,200,000","1,483,700,000","1,322,400,000","1,785,000,000","1,288,900,000","1,133,800,000","995,200,000","1,321,700,000","1,037,600,000","1,154,600,000","1,033,100,000","1,273,800,000","1,030,300,000","1,004,100,000","929,300,000","1,219,400,000","1,038,800,000","1,136,216,000","1,099,626,000","1,419,624,000","1,150,760,000","1,222,688,000","1,187,578,000","1,503,774,000","1,161,350,000","1,155,191,000","1,108,981,000","1,448,649,000","1,050,359,000","1,031,675,000","950,706,000","1,264,457,000","911,669,000","950,525,000","830,669,000","1,065,005,000","761,437,000","777,744,000","739,939,000","960,256,000","752,529,000","781,500,000","744,522,000","978,017,000","676,718,000","652,129,000","625,303,000","836,387,000","553,851,000","514,355,000","497,859,000","650,336,000","448,951,000","418,660,000","415,939,000","531,759,000","344,065,000","338,145,000","313,073,000","411,513,000","258,375,000","231,516,000","220,396,000","308,523,000","192,791,000","171,380,000","161,571,000","235,750,000","150,702,000","136,771,000","130,598,000","214,158,000","134,552,000"
	OperatingRevenue,"6,510,800,000","2,141,200,000","1,480,900,000","1,615,400,000","1,273,300,000","1,685,400,000","1,172,200,000","714,800,000","1,072,700,000","1,816,000,000","1,357,900,000","1,513,700,000","1,331,400,000","1,800,800,000","1,381,200,000","1,483,700,000","1,322,400,000","1,785,000,000","1,288,900,000","1,133,800,000","995,200,000","1,321,700,000","1,037,600,000","1,154,600,000","1,033,100,000","1,273,800,000","1,030,300,000","1,004,100,000","929,300,000","1,219,400,000","1,038,800,000","1,136,216,000","1,099,626,000","1,419,624,000","1,150,760,000","1,222,688,000","1,187,578,000","1,503,774,000","1,161,350,000","1,155,191,000","1,108,981,000","1,448,649,000","1,050,359,000","1,031,675,000","950,706,000","1,264,457,000","911,669,000","950,525,000","830,669,000","1,065,005,000","761,437,000","777,744,000","739,939,000","960,256,000","752,529,000","781,500,000","744,522,000","978,017,000","676,718,000","652,129,000","625,303,000","836,387,000","553,851,000","514,355,000","497,859,000","650,336,000","448,951,000","418,660,000","415,939,000","531,759,000","344,065,000","338,145,000","313,073,000","411,513,000","258,375,000","231,516,000","220,396,000","308,523,000","192,791,000","171,380,000","161,571,000","235,750,000","150,702,000","136,771,000","130,598,000","214,158,000","134,552,000"
CostOfRevenue,"1,906,700,000","683,800,000","412,200,000","449,300,000","361,400,000","511,700,000","342,000,000","215,900,000","456,500,000","606,300,000","443,400,000","514,500,000","415,500,000","597,300,000","446,100,000","480,500,000","413,500,000","607,600,000","524,500,000","379,300,000","289,500,000","415,500,000","322,900,000","371,900,000","320,100,000","414,700,000","333,800,000","316,400,000","263,800,000","379,400,000","323,400,000","429,844,000","318,287,000","436,945,000","324,187,000","335,278,000","307,390,000","418,392,000","316,182,000","317,044,000","290,914,000","403,438,000","285,706,000","291,136,000","259,051,000","349,281,000","235,498,000","253,526,000","215,094,000","294,066,000","211,259,000","230,426,000","214,876,000","268,220,000","194,336,000","188,208,000","186,204,000","240,745,000","158,497,000","142,853,000","138,893,000","191,911,000","129,171,000","111,282,000","108,090,000","145,660,000","107,590,000","93,704,000","91,266,000","128,791,000","85,891,000","78,632,000","75,556,000","106,370,000","70,466,000","61,960,000","60,589,000","91,681,000","61,567,000","57,313,000","50,465,000","74,132,000","54,131,000","65,846,000","39,953,000","68,541,000","44,167,000"
GrossProfit,"4,604,100,000","1,457,400,000","1,068,700,000","1,166,100,000","911,900,000","1,173,700,000","830,200,000","498,900,000","616,200,000","1,209,700,000","914,500,000","999,200,000","915,900,000","1,203,500,000","935,100,000","1,003,200,000","908,900,000","1,177,400,000","764,400,000","754,500,000","705,700,000","906,200,000","714,700,000","782,700,000","713,000,000","859,100,000","696,500,000","687,700,000","665,500,000","840,000,000","715,400,000","706,372,000","781,339,000","982,679,000","826,573,000","887,410,000","880,188,000","1,085,382,000","845,168,000","838,147,000","818,067,000","1,045,211,000","764,653,000","740,539,000","691,655,000","915,176,000","676,171,000","696,999,000","615,575,000","770,939,000","550,178,000","547,318,000","525,063,000","692,036,000","558,193,000","593,292,000","558,318,000","737,272,000","518,221,000","509,276,000","486,410,000","644,476,000","424,680,000","403,073,000","389,769,000","504,676,000","341,361,000","324,956,000","324,673,000","402,968,000","258,174,000","259,513,000","237,517,000","305,143,000","187,909,000","169,556,000","159,807,000","216,842,000","131,224,000","114,067,000","111,106,000","161,618,000","96,571,000","70,925,000","90,645,000","145,617,000","90,385,000"
OperatingExpense,"3,469,900,000","994,600,000","773,700,000","906,400,000","795,200,000","784,300,000","628,000,000","778,900,000","824,000,000","846,600,000","862,900,000","829,300,000","810,100,000","822,800,000","777,400,000","816,000,000","749,900,000","831,000,000","786,200,000","561,500,000","554,600,000","628,800,000","548,800,000","665,900,000","578,700,000","598,100,000","555,100,000","648,900,000","541,500,000","564,600,000","535,600,000","606,584,000","518,630,000","546,736,000","504,939,000","569,656,000","531,695,000","558,805,000","513,451,000","486,517,000","480,575,000","544,310,000","442,687,000","428,447,000","437,818,000","461,841,000","390,511,000","400,034,000","366,453,000","390,102,000","326,931,000","342,631,000","339,686,000","343,673,000","324,707,000","344,676,000","301,626,000","334,209,000","279,463,000","263,875,000","259,783,000","282,489,000","227,014,000","222,956,000","224,333,000","230,734,000","196,252,000","183,547,000","178,842,000","179,833,000","246,739,000","148,246,000","136,648,000","144,439,000","116,284,000","118,749,000","107,060,000","114,242,000","93,616,000","90,197,000","87,379,000","91,677,000","77,101,000","55,467,000","77,919,000","83,905,000","73,643,000"
	SellingGeneralAndAdministration,"3,469,900,000","994,600,000","773,700,000","906,400,000","795,200,000","784,300,000","628,000,000","778,900,000","824,000,000","846,600,000","862,900,000","829,300,000","810,100,000","822,800,000","777,400,000","816,000,000","749,900,000","831,000,000","786,200,000","561,500,000","554,600,000","628,800,000","548,800,000","665,900,000","578,700,000","598,100,000","555,100,000","648,900,000","541,500,000","564,600,000","535,600,000","606,584,000","518,630,000","546,736,000","504,939,000","569,656,000","531,695,000","558,805,000","513,451,000","486,517,000","480,575,000","544,310,000","442,687,000","428,447,000","437,818,000","461,841,000","390,511,000","400,034,000","366,453,000","390,102,000","326,931,000","342,631,000","339,686,000","343,673,000","324,707,000","344,676,000","301,626,000","334,209,000","279,463,000","263,875,000","259,783,000","282,489,000","227,014,000","222,956,000","224,333,000","230,734,000","196,252,000","183,547,000","178,842,000","179,833,000","146,739,000","148,246,000","136,648,000","144,439,000","116,284,000","118,749,000","107,060,000","114,242,000","93,616,000","90,197,000","87,379,000","91,677,000","77,101,000","71,806,000","72,963,000","78,300,000","68,246,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,319,000","5,605,000","5,397,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,319,000","5,605,000","5,397,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000",,,,,,,,,,,,,"-18,000","-363,000",,
