name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"3,659,100,000","926,000,000","901,400,000","945,200,000","886,500,000","829,700,000","792,100,000","733,600,000","792,300,000","824,000,000","783,900,000","854,800,000","801,600,000","785,500,000","795,200,000","785,500,000","742,200,000","708,400,000","670,000,000","661,900,000","613,900,000","585,500,000","584,100,000","609,600,000","583,000,000","559,700,000","562,300,000","585,800,000","582,600,000","563,830,000","584,796,000","642,199,000","604,721,000","599,218,000","556,502,000","576,293,000","556,111,000","515,523,000","504,763,000","517,560,000","502,267,000","435,170,000","417,433,000","407,169,000","384,293,000","323,349,000","318,210,000","333,363,000","319,015,000","277,529,000","269,713,000","290,063,000","288,954,000","268,084,000","328,087,000","377,767,000","355,296,000","312,783,000","296,023,000","327,732,000","285,732,000","234,120,000","234,851,000","245,326,000","225,854,000","186,821,000","188,484,000","204,225,000","195,383,000","162,683,000","170,164,000","179,451,000","156,510,000","135,877,000","139,569,000","138,132,000","127,325,000","124,569,000","114,748,000","123,256,000","104,029,000","106,405,000","117,437,000","133,587,000","117,863,000","124,167,000","109,227,000","71,264,000","65,140,000","62,200,000","69,600,000","70,800,000","68,800,000","59,300,000","57,400,000","75,900,000","76,600,000","78,100,000","64,700,000","68,900,000","60,600,000","64,300,000","54,100,000","58,600,000","56,700,000","63,700,000","62,800,000","59,000,000","49,900,000","47,300,000","46,700,000","44,400,000","37,200,000","38,700,000","38,900,000","39,000,000","33,000,000","37,300,000","36,500,000","31,600,000","22,100,000","28,500,000","36,600,000","49,100,000","36,800,000","24,100,000","16,100,000","12,800,000","10,300,000","9,500,000","6,800,000","7,100,000","4,500,000","4,000,000","4,600,000","4,500,000","4,900,000"
	OperatingRevenue,"3,659,100,000","926,000,000","901,400,000","945,200,000","886,500,000","829,700,000","792,100,000","733,600,000","792,300,000","824,000,000","783,900,000","854,800,000","801,600,000","785,500,000","795,200,000","785,500,000","742,200,000","708,400,000","670,000,000","661,900,000","613,900,000","585,500,000","584,100,000","609,600,000","583,000,000","559,700,000","562,300,000","585,800,000","582,600,000","563,830,000","584,796,000","642,199,000","604,721,000","599,218,000","556,502,000","576,293,000","556,111,000","515,523,000","504,763,000","517,560,000","502,267,000","435,170,000","417,433,000","407,169,000","384,293,000","323,349,000","318,210,000","333,363,000","319,015,000","277,529,000","269,713,000","290,063,000","288,954,000","268,084,000","328,087,000","377,767,000","355,296,000","312,783,000","296,023,000","327,732,000","285,732,000","234,120,000","234,851,000","245,326,000","225,854,000","186,821,000","188,484,000","204,225,000","195,383,000","162,683,000","170,164,000","179,451,000","156,510,000","135,877,000","139,569,000","138,132,000","127,325,000","124,569,000","114,748,000","123,256,000","104,029,000","106,405,000","117,437,000","133,587,000","117,863,000","124,167,000","109,227,000","71,264,000","65,140,000","62,200,000","69,600,000","70,800,000","68,800,000","59,300,000","57,400,000","75,900,000","76,600,000","78,100,000","64,700,000","68,900,000","60,600,000","64,300,000","54,100,000","58,600,000","56,700,000","63,700,000","62,800,000","59,000,000","49,900,000","47,300,000","46,700,000","44,400,000","37,200,000","38,700,000","38,900,000","39,000,000","33,000,000","37,300,000","36,500,000","31,600,000","22,100,000","28,500,000","36,600,000","49,100,000","36,800,000","24,100,000","16,100,000","12,800,000","10,300,000","9,500,000","6,800,000","7,100,000","4,500,000","4,000,000","4,600,000","4,500,000","4,900,000"
CostOfRevenue,"1,624,400,000","414,500,000","396,900,000","419,800,000","393,200,000","361,200,000","352,400,000","327,900,000","351,300,000","364,000,000","361,900,000","394,200,000","363,300,000","350,300,000","368,300,000","362,800,000","346,000,000","338,400,000","320,500,000","315,400,000","287,300,000","272,700,000","275,100,000","294,000,000","282,400,000","266,600,000","264,300,000","281,900,000","275,400,000","271,222,000","268,023,000","287,628,000","277,829,000","279,764,000","261,449,000","273,892,000","269,197,000","259,059,000","241,895,000","249,864,000","243,117,000","217,412,000","205,874,000","198,435,000","192,763,000","160,019,000","158,462,000","169,937,000","160,018,000","146,877,000","137,255,000","147,263,000","144,996,000","146,046,000","162,464,000","190,668,000","180,920,000","157,117,000","149,083,000","160,563,000","142,602,000","118,348,000","118,660,000","123,670,000","118,391,000","94,522,000","91,192,000","101,818,000","97,576,000","85,324,000","86,792,000","91,132,000","80,750,000","69,809,000","70,457,000","67,037,000","65,570,000","63,002,000","57,167,000","62,305,000","49,696,000","52,516,000","57,122,000","68,056,000","60,363,000","49,032,000","59,217,000","29,379,000","28,095,000","18,900,000","32,700,000","33,200,000","33,200,000","20,000,000","32,600,000","39,600,000","38,600,000","28,100,000","30,500,000","32,300,000","29,000,000","22,000,000","27,500,000","27,000,000","26,000,000","23,400,000","27,500,000","23,500,000","20,100,000","10,900,000","18,100,000","17,000,000","15,800,000","9,300,000","17,600,000","18,200,000","15,200,000","10,200,000","18,900,000","18,500,000","13,700,000","8,800,000","16,700,000","21,900,000","17,400,000","9,500,000","6,800,000","5,700,000","4,400,000",,,,,,,,
GrossProfit,"2,034,700,000","511,500,000","504,500,000","525,400,000","493,300,000","468,500,000","439,700,000","405,700,000","441,000,000","460,000,000","422,000,000","460,600,000","438,300,000","435,200,000","426,900,000","422,700,000","396,200,000","370,000,000","349,500,000","346,500,000","326,600,000","312,800,000","309,000,000","315,600,000","300,600,000","293,100,000","298,000,000","303,900,000","307,200,000","292,608,000","316,773,000","354,571,000","326,892,000","319,454,000","295,053,000","302,401,000","286,914,000","256,464,000","262,868,000","267,696,000","259,150,000","217,758,000","211,559,000","208,734,000","191,530,000","163,330,000","159,748,000","163,426,000","158,997,000","130,652,000","132,458,000","142,800,000","143,958,000","122,038,000","165,623,000","187,099,000","174,376,000","155,666,000","146,940,000","167,169,000","143,130,000","115,772,000","116,191,000","121,656,000","107,463,000","92,299,000","97,292,000","102,407,000","97,807,000","77,359,000","83,372,000","88,319,000","75,760,000","66,068,000","69,112,000","71,095,000","61,755,000","61,567,000","57,581,000","60,951,000","54,333,000","53,889,000","60,315,000","65,531,000","57,500,000","75,135,000","50,010,000","41,885,000","37,045,000","43,300,000","36,900,000","37,600,000","35,600,000","39,300,000","24,800,000","36,300,000","38,000,000","50,000,000","34,200,000","36,600,000","31,600,000","42,300,000","26,600,000","31,600,000","30,700,000","40,300,000","35,300,000","35,500,000","29,800,000","36,400,000","28,600,000","27,400,000","21,400,000","29,400,000","21,300,000","20,800,000","17,800,000","27,100,000","17,600,000","13,100,000","8,400,000","19,700,000","19,900,000","27,200,000","19,400,000","14,600,000","9,300,000","7,100,000","5,900,000",,,,,,,,
OperatingExpense,"1,463,400,000","380,900,000","355,500,000","376,100,000","350,900,000","340,900,000","325,600,000","303,000,000","339,800,000","355,000,000","326,700,000","348,000,000","348,500,000","343,700,000","347,000,000","331,000,000","330,400,000","306,800,000","284,200,000","281,600,000","267,100,000","255,700,000","250,200,000","270,600,000","268,900,000","257,800,000","249,300,000","262,700,000","266,600,000","215,323,000","305,465,000","256,648,000","250,844,000","250,750,000","231,993,000","234,530,000","228,852,000","225,802,000","199,097,000","207,663,000","198,821,000","188,533,000","178,464,000","156,806,000","147,088,000","143,726,000","127,840,000","122,490,000","122,251,000","117,387,000","111,421,000","112,772,000","116,083,000","111,311,000","111,546,000","121,761,000","116,336,000","116,403,000","103,154,000","110,886,000","99,058,000","87,540,000","79,810,000","81,967,000","74,398,000","68,219,000","64,265,000","63,670,000","67,329,000","61,217,000","58,572,000","61,322,000","57,522,000","53,814,000","54,537,000","53,258,000","50,467,000","51,271,000","49,217,000","49,081,000","49,941,000","57,571,000","58,176,000","60,639,000","60,668,000","71,667,000","48,504,000","29,862,000","27,823,000","37,800,000","31,100,000","32,000,000","31,800,000","47,900,000","35,800,000","36,200,000","35,800,000","47,300,000","32,600,000","32,300,000","29,800,000","38,800,000","35,100,000","35,000,000","32,200,000","39,700,000","30,600,000","30,000,000","27,000,000","32,100,000","23,500,000","23,100,000","19,900,000","27,200,000","19,000,000","18,200,000","17,100,000","25,100,000","17,000,000","18,800,000","20,400,000","25,600,000","18,700,000","19,000,000","13,000,000","13,000,000","8,400,000","6,700,000","5,700,000",,,,,,,,
	SellingGeneralAndAdministration,"875,900,000","232,600,000","210,700,000","224,800,000","207,800,000","199,800,000","191,000,000","172,400,000","204,700,000","219,000,000","196,900,000","208,700,000","210,200,000","212,400,000","211,300,000","202,200,000","203,700,000","192,300,000","174,600,000","175,500,000","164,100,000","157,800,000","147,800,000","163,000,000","165,000,000","156,000,000","152,300,000","160,400,000","161,200,000","115,675,000","207,242,000","156,985,000","154,787,000","152,167,000","139,155,000","138,067,000","135,593,000","136,805,000","122,204,000","127,576,000","122,910,000","115,103,000","114,750,000","100,647,000","94,679,000","94,487,000","82,865,000","77,812,000","78,315,000","73,668,000","70,259,000","71,785,000","74,977,000","68,535,000","70,736,000","77,193,000","73,848,000","76,918,000","66,536,000","71,824,000","63,789,000","58,667,000","52,883,000","51,952,000","48,467,000","45,760,000","42,761,000","40,628,000","43,203,000","39,372,000","37,376,000","39,310,000","36,690,000","34,714,000","35,321,000","34,456,000","32,632,000","33,132,000","32,150,000","31,771,000","32,925,000","31,071,000","35,072,000","37,509,000","37,533,000","36,125,000","34,664,000","20,680,000","18,946,000","19,900,000","21,400,000","22,600,000","23,300,000","24,400,000","23,700,000","24,400,000","24,000,000","23,400,000","22,700,000","22,200,000","20,800,000","19,900,000","25,200,000","25,900,000","23,500,000","31,000,000","22,400,000","21,900,000","19,200,000","24,600,000","23,500,000","23,100,000","19,900,000","19,700,000","19,000,000","18,200,000","17,100,000","17,500,000","17,000,000","18,800,000","20,400,000","20,900,000","18,700,000","19,000,000","12,200,000","11,500,000","7,900,000","6,300,000","5,300,000",,,,,,,,
		GeneralAndAdministrativeExpense,"369,100,000","98,900,000","85,200,000","99,600,000","85,400,000","79,700,000","79,400,000","68,800,000","73,000,000","90,700,000","77,200,000","79,900,000","82,800,000","87,200,000","91,600,000","89,400,000","81,600,000","83,900,000","74,000,000","75,100,000","69,300,000","62,900,000","59,200,000","65,600,000","68,300,000","63,200,000","63,200,000","64,200,000","64,700,000","16,924,000","111,399,000","61,364,000","57,433,000","58,498,000","53,648,000","52,760,000","51,970,000","53,207,000","45,723,000","49,987,000","46,886,000","43,658,000","44,088,000","37,157,000","33,472,000","32,878,000","29,637,000","27,290,000","28,547,000","24,929,000","23,237,000","26,622,000","26,042,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"369,100,000","98,900,000","85,200,000","99,600,000","85,400,000","79,700,000","79,400,000","68,800,000","73,000,000","90,700,000","77,200,000","79,900,000","82,800,000","87,200,000","91,600,000","89,400,000","81,600,000","83,900,000","74,000,000","75,100,000","69,300,000","62,900,000","59,200,000","65,600,000","68,300,000","63,200,000","63,200,000","64,200,000","64,700,000","16,924,000","111,399,000","61,364,000","57,433,000","58,498,000","53,648,000","52,760,000","51,970,000","53,207,000","45,723,000","49,987,000","46,886,000","43,658,000","44,088,000","37,157,000","33,472,000","32,878,000","29,637,000","27,290,000","28,547,000","24,929,000","23,237,000","26,622,000","26,042,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"506,800,000","133,700,000","125,500,000","125,200,000","122,400,000","120,100,000","111,600,000","103,600,000","131,700,000","128,300,000","119,700,000","128,800,000","127,400,000","125,200,000","119,700,000","112,800,000","122,100,000","108,400,000","100,600,000","100,400,000","94,800,000","94,900,000","88,600,000","97,400,000","96,700,000","92,800,000","89,100,000","96,200,000","96,500,000","98,751,000","95,843,000","95,621,000","97,354,000","93,669,000","85,507,000","85,307,000","83,623,000","83,598,000","76,481,000","77,589,000","76,024,000","71,445,000","70,662,000","63,490,000","61,207,000","61,609,000","53,228,000","50,522,000","49,768,000","48,739,000","47,022,000","45,163,000","48,935,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"536,600,000","136,400,000","132,500,000","138,300,000","129,400,000","125,800,000","117,900,000","114,000,000","118,200,000","119,600,000","112,300,000","119,600,000","118,200,000","112,600,000","114,100,000","110,100,000","109,300,000","98,100,000","92,600,000","90,800,000","88,700,000","83,000,000","86,900,000","92,000,000","87,700,000","85,400,000","79,600,000","84,500,000","87,200,000","80,855,000","78,954,000","81,807,000","76,376,000","77,636,000","71,622,000","76,555,000","73,608,000","70,737,000","61,181,000","64,305,000","60,235,000","57,555,000","49,928,000","46,292,000","43,232,000","40,750,000","36,897,000","36,552,000","35,890,000","35,795,000","33,250,000","33,457,000","34,137,000","36,168,000","35,348,000","39,405,000","37,345,000","34,731,000","31,707,000","33,867,000","31,163,000","26,606,000","25,180,000","27,607,000","24,446,000","20,944,000","20,639,000","20,865,000","21,828,000","19,596,000","19,177,000","19,937,000","18,848,000","17,178,000","17,346,000","17,077,000","16,040,000","15,973,000","15,235,000","14,986,000","15,038,000","15,600,000","15,726,000","15,736,000","15,819,000","14,621,000","13,840,000","9,182,000","8,877,000","8,800,000","9,700,000","9,400,000","8,500,000","11,000,000","12,100,000","11,800,000","11,800,000","11,700,000","9,900,000","10,100,000","9,000,000","8,800,000","9,900,000","9,100,000","8,700,000","700,000","8,200,000","8,100,000","7,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
