name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,671,900,000","1,961,700,000","1,954,100,000","1,929,300,000","1,826,800,000","1,732,900,000","1,595,800,000","1,415,400,000","1,462,600,000","1,468,700,000","1,426,700,000","1,395,200,000","1,327,300,000","1,305,000,000","1,394,600,000","1,345,000,000","1,328,000,000","1,286,100,000","1,221,700,000","1,171,600,000","1,113,600,000","1,091,200,000","1,092,900,000","1,044,700,000","994,100,000","1,052,200,000","1,049,000,000","1,072,400,000","1,027,000,000","1,022,400,000","1,020,800,000","984,300,000","954,600,000","929,800,000","884,400,000","854,300,000","815,700,000","787,300,000","769,700,000","736,800,000","728,700,000","671,600,000","679,400,000","713,700,000","682,400,000","647,500,000","586,100,000","577,400,000","556,200,000","547,100,000","498,100,000","442,200,000","384,500,000","415,900,000","554,800,000","586,500,000","559,100,000","597,800,000","571,000,000","551,100,000","508,400,000","489,056,000","450,628,000","445,995,000","429,321,000","402,844,000","388,703,000","363,546,000","357,071,000","345,498,000","316,228,000","309,672,000","306,476,000","281,961,000","259,100,000","238,280,000","219,514,000","227,261,000","220,296,000","236,123,000","242,149,000","241,266,000","243,618,000","262,130,000","280,482,000","291,610,000","303,704,000","300,682,000","316,331,000","284,900,000","259,900,000","245,800,000","245,800,000","234,800,000","218,600,000","222,300,000","210,400,000","207,200,000","199,800,000","180,100,000","168,000,000","159,800,000","150,200,000","143,700,000","132,400,000","123,400,000","113,200,000","104,800,000","97,800,000","101,100,000","96,900,000","92,500,000","91,900,000","89,800,000","78,800,000","72,700,000","68,700,000","65,400,000","62,200,000","59,000,000","58,500,000","55,900,000","52,600,000","51,100,000","45,600,000","40,000,000","44,600,000","43,200,000","42,200,000","42,600,000","40,300,000","39,000,000","37,700,000","36,800,000","36,200,000","35,700,000","33,400,000","33,000,000","33,800,000","34,300,000","31,300,000","29,000,000","29,400,000","28,600,000","24,200,000","21,300,000","21,300,000"
	OperatingRevenue,"7,671,900,000","1,961,700,000","1,954,100,000","1,929,300,000","1,826,800,000","1,732,900,000","1,595,800,000","1,415,400,000","1,462,600,000","1,468,700,000","1,426,700,000","1,395,200,000","1,327,300,000","1,305,000,000","1,394,600,000","1,345,000,000","1,328,000,000","1,286,100,000","1,221,700,000","1,171,600,000","1,113,600,000","1,091,200,000","1,092,900,000","1,044,700,000","994,100,000","1,052,200,000","1,049,000,000","1,072,400,000","1,027,000,000","1,022,400,000","1,020,800,000","984,300,000","954,600,000","929,700,000","884,200,000","854,200,000","815,400,000","785,500,000","769,700,000","736,800,000","728,700,000","671,600,000","679,400,000","714,500,000","683,200,000","647,500,000","586,100,000","577,400,000","556,200,000","547,100,000","498,100,000","442,200,000","384,500,000","415,900,000","554,800,000","586,500,000","559,100,000","638,000,000","590,100,000","564,000,000","521,400,000","513,576,000","468,758,000","445,734,000","437,861,000","416,780,000","393,974,000","369,980,000","360,016,000","352,250,000","318,555,000","311,411,000","307,629,000","283,345,000","259,688,000","240,128,000","219,514,000","218,988,000","220,296,000","236,123,000","242,149,000","241,266,000","243,618,000","262,130,000","280,482,000","291,610,000","303,704,000","300,682,000","316,331,000","284,900,000","259,900,000","245,800,000","245,800,000","234,800,000","218,600,000","222,300,000","210,400,000","207,200,000","199,800,000","180,100,000","168,000,000","159,800,000","150,200,000","143,700,000","132,400,000","123,400,000","113,200,000","104,800,000","97,800,000","101,100,000","96,900,000","92,500,000","91,900,000","89,800,000","78,800,000","72,700,000","68,700,000","65,400,000","62,200,000","59,000,000","58,500,000","55,900,000","52,600,000","51,100,000","45,600,000","40,000,000","44,600,000","43,200,000","42,200,000","42,600,000","40,300,000","39,000,000","37,700,000","36,800,000","36,200,000","35,700,000","33,400,000","33,000,000","33,800,000","34,300,000","31,300,000","29,000,000","29,400,000","28,600,000","24,200,000","21,300,000","21,300,000"
CostOfRevenue,"2,993,200,000","812,400,000","730,900,000","739,800,000","710,100,000","755,200,000","662,600,000","650,600,000","548,000,000","633,000,000","568,800,000","581,000,000","602,100,000","564,800,000","563,600,000","564,700,000","553,800,000","484,300,000","454,800,000","440,200,000","432,600,000","417,100,000","422,900,000","406,600,000","389,100,000","394,100,000","417,500,000","399,500,000","384,000,000","375,000,000","383,800,000","361,800,000","352,600,000","330,600,000","321,800,000","316,400,000","305,300,000","1,143,700,000","0","55,100,000","52,300,000","189,600,000","0","0","0","29,300,000","28,300,000","25,800,000","25,700,000","26,600,000","26,000,000","24,400,000","25,400,000","26,100,000","25,700,000","24,900,000","25,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"4,678,700,000","1,149,300,000","1,223,200,000","1,189,500,000","1,116,700,000","977,700,000","933,200,000","764,800,000","914,600,000","835,700,000","857,900,000","814,200,000","725,200,000","740,200,000","831,000,000","780,300,000","774,200,000","801,800,000","766,900,000","731,400,000","681,000,000","674,100,000","670,000,000","638,100,000","605,000,000","658,100,000","631,500,000","672,900,000","643,000,000","647,400,000","637,000,000","622,500,000","602,000,000","599,200,000","562,600,000","537,900,000","510,400,000","-356,400,000","769,700,000","681,700,000","676,400,000","482,000,000","679,400,000","713,700,000","682,400,000","618,200,000","557,800,000","551,600,000","530,500,000","520,500,000","472,100,000","417,800,000","359,100,000","389,800,000","529,100,000","561,600,000","534,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"968,700,000","286,800,000","227,000,000","231,400,000","223,500,000","221,800,000","204,300,000","211,100,000","207,400,000","255,400,000","198,800,000","199,100,000","192,700,000","213,100,000","190,400,000","185,600,000","190,400,000","270,800,000","218,400,000","223,800,000","209,300,000","210,800,000","194,300,000","188,400,000","194,100,000","203,100,000","173,200,000","165,100,000","165,200,000","167,400,000","148,300,000","149,400,000","152,900,000","159,100,000","136,700,000","139,100,000","137,800,000","-717,600,000","410,800,000","353,700,000","360,200,000","188,400,000","384,200,000","358,200,000","343,200,000","335,400,000","295,900,000","298,500,000","291,800,000","286,200,000","264,800,000","263,900,000","248,500,000","268,800,000","290,300,000","303,000,000","303,900,000","335,200,000","307,200,000","300,000,000","289,500,000","274,118,000","250,109,000","253,076,000","250,797,000","230,470,000","208,851,000","208,025,000","209,790,000","202,008,000","185,314,000","181,658,000","183,615,000","168,423,000","153,570,000","153,464,000","155,070,000","147,158,000","148,629,000","151,346,000","155,858,000","163,783,000","155,924,000","171,396,000","193,112,000","949,328,000","-71,125,000","-66,448,000","-67,463,000","-63,300,000","-54,800,000","-51,100,000","-48,900,000","-55,700,000","-48,100,000","-123,600,000","-114,700,000","-98,200,000","-27,300,000","-23,100,000","-42,000,000","-44,000,000","-42,600,000","-18,700,000","-17,100,000","-32,300,000","-29,900,000","-27,500,000","-27,700,000","-82,300,000","-6,200,000","-38,800,000","-37,300,000","-33,800,000","-34,100,000","-5,300,000","-17,000,000","-41,600,000","-23,400,000","-23,100,000","-23,100,000","-22,300,000","-20,800,000","-19,900,000","-19,400,000","-17,300,000","-17,500,000","-23,400,000","-16,000,000","-15,800,000","-15,300,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"968,700,000","286,800,000","227,000,000","231,400,000","223,500,000","221,800,000","204,300,000","211,100,000","207,400,000","255,400,000","198,800,000","199,100,000","192,700,000","213,100,000","190,400,000","185,600,000","190,400,000","87,500,000","63,000,000","65,400,000","71,000,000","72,500,000","60,000,000","55,700,000","64,500,000","67,700,000","53,500,000","54,100,000","63,600,000","62,700,000","48,600,000","50,600,000","58,000,000","63,600,000","48,300,000","54,300,000","58,300,000","-797,400,000","336,700,000","281,300,000","286,500,000","166,500,000","299,800,000","269,400,000","268,300,000","248,100,000","232,800,000","235,200,000","231,200,000","225,800,000","209,300,000","213,400,000","198,100,000","210,000,000","227,600,000","238,200,000","243,900,000","35,800,000","18,400,000","21,900,000","31,800,000","30,786,000","17,464,000","21,062,000","27,988,000","28,437,000","15,394,000","18,823,000","23,471,000","24,140,000","12,952,000","16,117,000","21,059,000","20,383,000","9,885,000","12,392,000","16,345,000","16,943,000","10,766,000","14,436,000","16,911,000","17,201,000","10,315,000","15,595,000","21,527,000","-258,057,000","114,459,000","113,736,000","118,077,000","105,800,000","96,800,000","99,200,000","101,700,000","102,100,000","92,000,000","17,000,000","20,100,000","36,200,000","97,900,000","93,900,000","71,600,000","64,100,000","58,000,000","77,800,000","76,400,000","52,300,000","43,100,000","41,800,000","41,000,000","-13,000,000","58,200,000","24,200,000","27,300,000","27,800,000","21,600,000","46,400,000","33,100,000","7,200,000","20,300,000","20,500,000","22,400,000","19,400,000","16,200,000","17,600,000","16,100,000","15,700,000","14,300,000","13,600,000","14,600,000","14,900,000","12,000,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"868,500,000","248,000,000","204,900,000","211,000,000","204,600,000","190,600,000","190,100,000","197,700,000","182,500,000","217,100,000","181,700,000","179,300,000","171,100,000","177,300,000","170,200,000","166,600,000","165,800,000","53,700,000","49,000,000","46,800,000","45,400,000","45,300,000","45,300,000","40,800,000","41,400,000","40,700,000","40,300,000","39,900,000","38,300,000","36,600,000","35,900,000","36,000,000","35,400,000","34,800,000","32,900,000","35,100,000","33,000,000","-753,800,000","294,800,000","261,500,000","260,700,000","140,700,000","280,800,000","248,800,000","242,900,000","223,400,000","214,200,000","215,100,000","207,700,000","202,000,000","196,300,000","199,700,000","175,400,000","179,300,000","210,900,000","218,000,000","207,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,912,000","92,665,000","92,967,000","81,500,000","83,500,000","82,900,000","81,500,000","79,900,000","78,200,000",,,"13,800,000","84,500,000","80,200,000","54,100,000","47,600,000","46,700,000","63,400,000","60,300,000","38,600,000","36,000,000","35,700,000","33,100,000","-21,000,000","52,200,000","17,300,000","16,900,000","18,500,000","14,800,000","40,200,000","26,000,000","600,000","15,100,000","14,800,000","13,800,000","13,300,000","13,000,000","13,700,000","12,100,000","12,100,000","11,500,000","10,500,000","10,000,000","11,100,000","9,400,000",,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,800,000","261,500,000","260,700,000",,"280,800,000","248,800,000","242,900,000","223,400,000","214,200,000","215,100,000","207,700,000","202,000,000","196,300,000","199,700,000","175,400,000","179,300,000","210,900,000","218,000,000","207,400,000","207,200,000","208,800,000","197,000,000","184,200,000","163,931,000","168,750,000","165,722,000","159,997,000","133,098,000","132,011,000","130,123,000","127,142,000","117,086,000","117,955,000","113,084,000","109,780,000","99,025,000","97,441,000","94,343,000","92,147,000","83,886,000","88,621,000","90,713,000","94,366,000","92,867,000","91,219,000","96,214,000","104,643,000","96,092,000","98,912,000","92,665,000","92,967,000","81,500,000","83,500,000","82,900,000","81,500,000","79,900,000","78,200,000",,,"13,800,000","84,500,000","80,200,000","54,100,000","47,600,000","46,700,000","63,400,000","60,300,000","38,600,000","36,000,000","35,700,000","33,100,000","-21,000,000","52,200,000","17,300,000","16,900,000","18,500,000","14,800,000","40,200,000","26,000,000","600,000","15,100,000","14,800,000","13,800,000","13,300,000","13,000,000","13,700,000","12,100,000","12,100,000","11,500,000","10,500,000","10,000,000","11,100,000","9,400,000",,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,"53,700,000","49,000,000","46,800,000","45,400,000","45,300,000","45,300,000","40,800,000","41,400,000","40,700,000","40,300,000","39,900,000","38,300,000","36,600,000","35,900,000","36,000,000","35,400,000","34,800,000","32,900,000","35,100,000","33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"868,500,000","248,000,000","204,900,000","211,000,000","204,600,000","190,600,000","190,100,000","197,700,000","182,500,000","217,100,000","181,700,000","179,300,000","171,100,000","177,300,000","170,200,000","166,600,000","165,800,000",,,,,,,,,,,,,,,,,,,,,,"31,000,000",,,,,,,,,,,,,,,,,,,"-207,200,000","-208,800,000","-197,000,000","-184,200,000","-163,931,000","-168,750,000","-165,722,000","-159,997,000","-133,098,000","-132,011,000","-130,123,000","-127,142,000","-117,086,000","-117,955,000","-113,084,000","-109,780,000","-99,025,000","-97,441,000","-94,343,000","-92,147,000","-83,886,000","-88,621,000","-90,713,000","-94,366,000","-92,867,000","-91,219,000","-96,214,000","-104,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
