name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"34,816,000,000","9,011,000,000","8,805,000,000","8,687,000,000","8,313,000,000","8,397,000,000","8,275,000,000","7,401,000,000","7,908,000,000","8,063,000,000","8,013,000,000","7,834,000,000","7,671,000,000","7,796,000,000","7,723,000,000","7,477,000,000","7,286,000,000","7,451,000,000","7,325,000,000","7,184,000,000","6,942,000,000","7,193,000,000","6,961,000,000","6,785,000,000","6,686,000,000","6,674,000,000","6,794,000,000","6,706,000,000","6,626,000,000","6,783,000,000","6,886,000,000","6,785,000,000","6,708,000,000","6,737,000,000","6,452,000,000","6,674,000,000","6,328,000,000","6,477,000,000","6,512,000,000","6,359,000,000","6,392,000,000","6,373,000,000","6,407,000,000","6,388,000,000","6,278,000,000","6,332,000,000","6,482,000,000","6,179,000,000","6,119,000,000","6,456,000,000","6,327,000,000","6,162,000,000","5,735,000,000","5,805,000,000","6,145,000,000","6,295,000,000","6,232,000,000","6,491,000,000","6,526,000,000","6,573,000,000","6,427,000,000","6,469,000,000","6,316,000,000","6,255,000,000","6,050,000,000","6,181,000,000","6,042,000,000","6,037,000,000","6,105,000,000","6,365,000,000","6,261,000,000","6,181,000,000","4,127,500,000","2,323,000,000","2,246,000,000","2,171,000,000","2,113,000,000","2,012,000,000","2,288,000,000","2,314,000,000","2,317,000,000","2,388,000,000","2,230,000,000","2,166,000,000","2,165,000,000","2,220,000,000","2,031,000,000","2,105,000,000","2,253,000,000","1,741,000,000","1,856,000,000","1,998,000,000","2,244,000,000","2,196,101,000","2,211,300,000","2,376,800,000","1,467,200,000","1,544,273,000","1,497,000,000","1,620,700,000","1,557,200,000","1,308,656,000","1,565,600,000","1,451,100,000","1,408,700,000","1,446,530,000","1,364,900,000","1,330,700,000","1,267,500,000","1,173,285,000","1,199,100,000","1,165,100,000","1,163,800,000","1,171,900,000","1,105,000,000","1,069,300,000","1,114,000,000","1,101,400,000","1,125,100,000","1,173,000,000","1,099,200,000","1,141,200,000","1,125,800,000","1,063,500,000","1,021,200,000","1,073,900,000","1,005,100,000","979,300,000","947,000,000","971,200,000","944,900,000","924,300,000","948,200,000","987,100,000","898,800,000","900,500,000","847,700,000","844,800,000","859,700,000","822,800,000","838,500,000","843,000,000","804,600,000","755,700,000","778,400,000","749,400,000","663,100,000"
	OperatingRevenue,"34,816,000,000","9,011,000,000","8,805,000,000","8,687,000,000","8,313,000,000","8,397,000,000","8,275,000,000","7,401,000,000","7,908,000,000","8,063,000,000","8,013,000,000","7,834,000,000","7,671,000,000","7,796,000,000","7,723,000,000","7,477,000,000","7,286,000,000","7,451,000,000","7,325,000,000","7,184,000,000","6,942,000,000","7,193,000,000","6,961,000,000","6,785,000,000","6,686,000,000","6,674,000,000","6,794,000,000","6,706,000,000","6,626,000,000","6,783,000,000","6,886,000,000","6,785,000,000","6,708,000,000","6,737,000,000","6,452,000,000","6,674,000,000","6,328,000,000","6,477,000,000","6,512,000,000","6,359,000,000","6,392,000,000","6,373,000,000","6,407,000,000","6,388,000,000","6,278,000,000","6,332,000,000","6,482,000,000","6,179,000,000","6,119,000,000","6,456,000,000","6,327,000,000","6,162,000,000","5,735,000,000","5,805,000,000","6,145,000,000","6,295,000,000","6,232,000,000","6,491,000,000","6,526,000,000","6,573,000,000","6,427,000,000","6,469,000,000","6,316,000,000","6,255,000,000","6,050,000,000","6,181,000,000","6,042,000,000","6,037,000,000","6,105,000,000","6,365,000,000","6,261,000,000","6,181,000,000","4,127,500,000","2,323,000,000","2,246,000,000","2,171,000,000","2,113,000,000","2,012,000,000","2,288,000,000","2,314,000,000","2,317,000,000","2,388,000,000","2,230,000,000","2,166,000,000","2,165,000,000","2,220,000,000","2,031,000,000","2,105,000,000","2,253,000,000","1,741,000,000","1,856,000,000","1,998,000,000","2,244,000,000","2,196,101,000","2,211,300,000","2,376,800,000","1,467,200,000","1,544,273,000","1,497,000,000","1,620,700,000","1,557,200,000","1,308,656,000","1,565,600,000","1,451,100,000","1,408,700,000","1,446,530,000","1,364,900,000","1,330,700,000","1,267,500,000","1,173,285,000","1,199,100,000","1,165,100,000","1,163,800,000","1,171,900,000","1,105,000,000","1,069,300,000","1,114,000,000","1,101,400,000","1,125,100,000","1,173,000,000","1,099,200,000","1,141,200,000","1,125,800,000","1,063,500,000","1,021,200,000","1,073,900,000","1,005,100,000","979,300,000","947,000,000","971,200,000","944,900,000","924,300,000","948,200,000","987,100,000","898,800,000","900,500,000","847,700,000","844,800,000","859,700,000","822,800,000","838,500,000","843,000,000","804,600,000","755,700,000","778,400,000","749,400,000","663,100,000"
NetNonOperatingInterestIncomeExpense,"-340,000,000","-88,000,000","-87,000,000","-83,000,000","-82,000,000","-83,000,000","-87,000,000","-85,000,000","-84,000,000","-83,000,000","-84,000,000","-89,000,000","-88,000,000","-87,000,000","-86,000,000","-90,000,000","-89,000,000","-93,000,000","-95,000,000","-92,000,000","-89,000,000","-90,000,000","-89,000,000","-93,000,000","-91,000,000","-95,000,000","-94,000,000","-92,000,000","-92,000,000","-92,000,000","-93,000,000","-92,000,000","-92,000,000","-92,000,000","-91,000,000","-86,000,000","-92,000,000","-93,000,000","-93,000,000","-96,000,000","-96,000,000","-96,000,000","-97,000,000","-97,000,000","-96,000,000","-98,000,000","-95,000,000","-97,000,000","-98,000,000","-98,000,000","-98,000,000","-94,000,000","-92,000,000","-94,000,000","-95,000,000","-91,000,000","-90,000,000","-91,000,000","-94,000,000","-85,000,000","-76,000,000","-82,000,000","-88,000,000","-78,000,000","-76,000,000","-75,000,000","-70,000,000","-70,000,000","-71,000,000","-73,000,000","-69,000,000","-66,000,000","-36,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"340,000,000","88,000,000","87,000,000","83,000,000","82,000,000","83,000,000","87,000,000","85,000,000","84,000,000","83,000,000","84,000,000","89,000,000","88,000,000","87,000,000","86,000,000","90,000,000","89,000,000","93,000,000","95,000,000","92,000,000","89,000,000","90,000,000","89,000,000","93,000,000","91,000,000","95,000,000","94,000,000","92,000,000","92,000,000","92,000,000","93,000,000","92,000,000","92,000,000","92,000,000","91,000,000","86,000,000","92,000,000","93,000,000","93,000,000","96,000,000","96,000,000","96,000,000","97,000,000","97,000,000","96,000,000","98,000,000","95,000,000","97,000,000","98,000,000","98,000,000","98,000,000","94,000,000","92,000,000","94,000,000","95,000,000","91,000,000","90,000,000","91,000,000","94,000,000","85,000,000","76,000,000","82,000,000","88,000,000","78,000,000","76,000,000","75,000,000","70,000,000","70,000,000","71,000,000","73,000,000","69,000,000","66,000,000","36,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"355,000,000","86,000,000","100,000,000","88,000,000","81,000,000","84,000,000","86,000,000","51,000,000","58,000,000","72,000,000","68,000,000","57,000,000","72,000,000","53,000,000","57,000,000","39,000,000","54,000,000","49,000,000","40,000,000","39,000,000","31,000,000","148,000,000","31,000,000","31,000,000","53,000,000","31,000,000","21,000,000","22,000,000","25,000,000","36,000,000","34,000,000","34,000,000","41,000,000","64,000,000","44,000,000","135,000,000","34,000,000","20,000,000","34,000,000","29,000,000","37,000,000","27,000,000","31,000,000","34,000,000","34,000,000","-29,000,000","35,000,000","32,000,000","32,000,000","39,000,000","42,000,000","49,000,000","33,000,000","32,000,000","31,000,000","34,000,000","34,000,000","52,000,000","33,000,000","1,000,000","38,000,000","98,000,000","36,000,000","37,000,000","40,000,000","40,000,000","45,000,000","-12,000,000","50,000,000","180,000,000","188,000,000","159,000,000","212,000,000","196,000,000","155,000,000","129,000,000","142,000,000","133,000,000","136,000,000","141,000,000","127,000,000","126,000,000","162,000,000","116,000,000","126,000,000","127,000,000","121,000,000","115,000,000","125,000,000","-1,259,000,000","547,000,000","586,000,000","568,000,000","-1,302,645,000","512,500,000","624,600,000","352,400,000","-875,106,000","342,300,000","455,400,000","385,700,000","-910,522,000","396,700,000","395,700,000","378,100,000","-449,783,000","371,600,000","338,900,000","321,400,000","-421,164,000","336,300,000","319,100,000","318,400,000","322,000,000","324,300,000","322,400,000","313,100,000","321,800,000","337,900,000","393,600,000","302,200,000","316,300,000","322,200,000","289,800,000","277,200,000","307,400,000","283,500,000","278,000,000","242,400,000",,,,,,,,,,,,,,,,,,
	SecuritiesAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"971,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"4,458,000,000","1,650,000,000","786,000,000","1,131,000,000","891,000,000","1,616,000,000","986,000,000","-85,000,000","720,000,000","1,074,000,000","432,000,000","665,000,000","967,000,000","746,000,000","806,000,000","631,000,000","778,000,000","860,000,000","320,000,000","790,000,000","760,000,000","1,302,000,000","947,000,000","887,000,000","917,000,000","1,209,000,000","1,307,000,000","1,076,000,000","1,148,000,000","1,460,000,000","1,258,000,000","901,000,000","1,470,000,000","1,371,000,000","1,177,000,000","1,177,000,000","1,220,000,000","311,000,000","1,170,000,000","608,000,000","1,077,000,000","778,000,000","332,000,000","-727,000,000","969,000,000","1,197,000,000","1,371,000,000","881,000,000","857,000,000","1,793,000,000","1,250,000,000","941,000,000","727,000,000","927,000,000","188,000,000","1,287,000,000","1,314,000,000","1,441,000,000","1,674,000,000","1,641,000,000","1,460,000,000","1,589,000,000","1,454,000,000","1,344,000,000","1,338,000,000","197,000,000","-8,000,000","1,294,000,000","1,188,000,000","371,000,000","425,000,000","-485,000,000","817,400,000","-54,000,000","331,000,000","308,000,000","251,000,000","249,000,000","95,000,000","-364,000,000","196,000,000","-985,000,000","-877,000,000","133,000,000","298,000,000","283,000,000","331,000,000","301,000,000","538,000,000","1,017,000,000","0","0","0","-46,287,000","0","0","0","1,018,733,000","0","0","0","699,136,000","0","0","0","656,233,000","0","0","0","563,578,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
TaxProvision,"796,000,000","317,000,000","124,000,000","197,000,000","158,000,000","306,000,000","159,000,000","-45,000,000","120,000,000","201,000,000","36,000,000","108,000,000","171,000,000","125,000,000","97,000,000","107,000,000","109,000,000","309,000,000","27,000,000","195,000,000","143,000,000","359,000,000","231,000,000","223,000,000","226,000,000","343,000,000","379,000,000","264,000,000","315,000,000","422,000,000","339,000,000","218,000,000","418,000,000","383,000,000","313,000,000","252,000,000","324,000,000","7,000,000","306,000,000","109,000,000","271,000,000","160,000,000","-1,000,000","-363,000,000","130,000,000","303,000,000","366,000,000","211,000,000","210,000,000","508,000,000","315,000,000","201,000,000","65,000,000","126,000,000","-26,000,000","345,000,000","347,000,000","378,000,000","476,000,000","387,000,000","374,000,000","400,000,000","411,000,000","374,000,000","332,000,000","19,000,000","-83,000,000","363,000,000","311,000,000","56,000,000","72,000,000","-217,000,000","226,600,000","-120,000,000","94,000,000","93,000,000","70,000,000","-1,000,000","26,000,000","-146,000,000","48,000,000","-266,000,000","-282,000,000","37,000,000","89,000,000","81,000,000","101,000,000","82,000,000","176,000,000","65,000,000","39,000,000","69,000,000","63,000,000","-10,135,000","-31,800,000","-149,400,000","39,200,000","75,610,000","39,100,000","77,900,000","52,900,000","333,078,000","-265,500,000","38,400,000","35,300,000","31,524,000","35,700,000","30,300,000","37,600,000","36,350,000","35,400,000","31,400,000","17,600,000","25,300,000","17,000,000","30,900,000","21,800,000","-35,500,000","-44,800,000","58,300,000","29,500,000","43,000,000","32,200,000","26,700,000","21,200,000","20,300,000","32,100,000","39,200,000","21,000,000",,,,,,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,600,000","0","-21,000,000",,,"0",,,,,,,,,,,,,"180,000,000","290,000,000","258,000,000",,"32,000,000","-446,700,000","193,200,000",,"202,500,000","308,400,000","245,200,000",,"-136,600,000","168,500,000","164,100,000",,"178,100,000","143,300,000","148,200,000",,"165,200,000","159,200,000","82,000,000","115,000,000","158,400,000","139,400,000","109,800,000","-453,000,000","-108,700,000","201,400,000","135,200,000","152,500,000","139,900,000","130,400,000","105,400,000","113,700,000","139,300,000","153,000,000","97,900,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"3,635,000,000","1,323,000,000","657,000,000","927,000,000","728,000,000","1,300,000,000","821,000,000","-41,000,000","595,000,000","866,000,000","393,000,000","553,000,000","791,000,000","616,000,000","704,000,000","520,000,000","664,000,000","547,000,000","291,000,000","590,000,000","613,000,000","937,000,000","710,000,000","659,000,000","686,000,000","859,000,000","922,000,000","806,000,000","827,000,000","1,030,000,000","912,000,000","678,000,000","1,045,000,000","981,000,000","858,000,000","918,000,000","890,000,000","285,000,000","864,000,000","499,000,000","806,000,000","606,000,000","333,000,000","-364,000,000","839,000,000","894,000,000","1,005,000,000","670,000,000","647,000,000","1,285,000,000","935,000,000","740,000,000","662,000,000","801,000,000","214,000,000","942,000,000","967,000,000","1,063,000,000","1,198,000,000","1,254,000,000","1,086,000,000","1,189,000,000","1,043,000,000","970,000,000","1,006,000,000","179,000,000","162,000,000","1,069,000,000","212,000,000","303,000,000","340,000,000","-275,000,000","587,200,000","49,000,000","210,000,000","210,000,000","177,000,000","240,000,000","60,000,000","-227,000,000","134,000,000","-747,000,000","-661,000,000","102,000,000","200,000,000","191,000,000","229,000,000","210,000,000","356,000,000","138,000,000","327,000,000","204,000,000","165,000,000","119,648,000","63,800,000","-297,300,000","154,000,000","187,073,000","163,400,000","230,500,000","124,500,000","53,599,000","128,900,000","130,100,000","128,800,000","153,009,000","140,200,000","113,000,000","108,500,000","118,728,000","127,700,000","125,700,000","62,300,000","87,500,000","139,400,000","106,400,000","85,900,000","-419,500,000","-66,000,000","141,000,000","180,100,000","107,500,000","105,700,000","101,700,000","82,200,000","91,400,000","105,200,000","111,800,000","75,400,000","126,600,000","78,800,000","102,600,000","90,200,000","91,000,000","102,500,000","75,900,000","83,300,000","63,000,000","95,000,000","77,900,000","70,000,000","55,500,000","48,200,000","25,800,000","24,400,000","43,700,000","-20,600,000"
