name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997
TotalRevenue,"3,414,227,000","903,252,000","858,198,000","813,346,000","839,431,000","860,889,000","841,142,000","831,310,000","760,541,000","930,129,000","857,841,000","540,459,000","539,007,000","1,248,738,000","492,667,000","387,982,000","450,274,000","480,840,000","443,562,000","418,216,000","571,556,000","476,473,000","420,167,000","311,552,000","377,206,000","414,221,000","346,974,000","275,297,000","300,089,000","531,147,000","126,277,000","125,425,000","195,208,000","1,863,869,000","148,824,000","142,667,000","299,487,000","415,773,000","273,084,000","226,139,000","148,084,000","236,325,000","107,034,000","334,380,000","182,255,000","334,259,000","354,076,000","268,002,000","163,238,000","343,392,000","138,564,000","229,722,000","256,810,000","323,442,000","433,836,000","539,810,000","240,442,000","292,600,000","206,415,000","205,436,000","277,340,000","266,556,000","241,181,000","265,122,000","264,981,000","308,154,000","169,899,000","222,068,000","502,474,000","438,013,000","160,858,000","153,368,000","375,512,000","275,099,000","155,587,000","194,213,000","408,794,000","218,259,000","122,461,000","170,330,000","282,926,000","142,008,000","84,502,000","93,320,000","131,226,000","122,607,615","71,472,587","70,036,073","122,900,000","121,900,000","63,600,000","52,200,000","68,300,000","124,200,000","21,900,000","22,900,000","22,100,000","6,500,000","2,800,000","2,800,000","5,000,000"
	OperatingRevenue,"3,414,227,000","903,252,000","858,198,000","813,346,000","839,431,000","860,889,000","841,142,000","831,310,000","760,541,000","930,129,000","857,841,000","540,459,000","539,007,000","1,248,738,000","492,667,000","387,982,000","450,274,000","480,840,000","443,562,000","418,216,000","571,556,000","476,473,000","420,167,000","311,552,000","377,206,000","414,221,000","346,974,000","275,297,000","300,089,000","531,147,000","126,277,000","125,425,000","195,208,000","1,863,869,000","148,824,000","142,667,000","299,487,000","415,773,000","273,084,000","226,139,000","148,084,000","236,325,000","107,034,000","334,380,000","182,255,000","334,259,000","354,076,000","268,002,000","163,238,000","343,392,000","138,564,000","229,722,000","256,810,000","323,442,000","433,836,000","539,810,000","240,442,000","292,600,000","206,415,000","205,436,000","277,340,000","266,556,000","241,181,000","265,122,000","264,981,000","308,154,000","169,899,000","222,068,000","502,474,000","438,013,000","160,858,000","153,368,000","375,512,000","275,099,000","155,587,000","194,213,000","408,794,000","218,259,000","122,461,000","170,330,000","282,926,000","142,008,000","84,502,000","93,320,000","131,226,000","122,607,615","71,472,587","70,036,073","122,900,000","121,900,000","63,600,000","52,200,000","68,300,000","124,200,000","21,900,000","22,900,000","22,100,000","6,500,000","2,800,000","2,800,000","5,000,000"
CostOfRevenue,"1,416,423,000","350,379,000","456,682,000","329,715,000","279,647,000","346,244,000","432,505,000","476,689,000","395,640,000","437,093,000","468,248,000","241,469,000","258,914,000","898,484,000","234,880,000","131,365,000","189,211,000","267,983,000","246,548,000","194,569,000","314,900,000","311,074,000","205,605,000","191,380,000","209,457,000","257,861,000","143,940,000","202,615,000","410,682,000","278,013,000","52,016,000","54,156,000","108,288,000","1,119,734,000","92,463,000","93,842,000","154,320,000","216,299,000","158,487,000","186,731,000","116,466,000","126,467,000","74,703,000","211,219,000","120,043,000","188,650,000","240,259,000","156,779,000","100,358,000","240,414,000","114,909,000","161,602,000","200,902,000","224,772,000","259,656,000","318,259,000","186,008,000","202,948,000","168,279,000","159,582,000","204,225,000","184,757,000","184,055,000","247,350,000","209,314,000","332,484,000","92,525,000","128,284,000","321,899,000","264,162,000","117,998,000","119,162,000","248,358,000","177,230,000","93,918,000","121,739,000","244,667,000","135,223,000","76,579,000","106,675,000","179,465,000","104,655,000","51,229,000","58,372,000","88,222,000","79,485,735","40,042,537","41,652,454","86,200,000","81,400,000","43,600,000","36,100,000","53,500,000","102,300,000","12,600,000","14,700,000","14,100,000","4,200,000","2,800,000","1,400,000",
GrossProfit,"1,997,804,000","552,873,000","401,516,000","483,631,000","559,784,000","514,645,000","408,637,000","354,621,000","364,901,000","493,036,000","389,593,000","298,990,000","280,093,000","350,254,000","257,787,000","256,617,000","261,063,000","212,857,000","197,014,000","223,647,000","256,656,000","165,399,000","214,562,000","120,172,000","167,749,000","156,360,000","203,034,000","72,682,000","-110,593,000","253,134,000","74,261,000","71,269,000","86,920,000","744,135,000","56,361,000","48,825,000","145,167,000","199,474,000","114,597,000","39,408,000","31,618,000","109,858,000","32,331,000","123,161,000","62,212,000","145,609,000","113,817,000","111,223,000","62,880,000","102,978,000","23,655,000","68,120,000","55,908,000","98,670,000","174,180,000","221,551,000","54,434,000","89,652,000","38,136,000","45,854,000","73,115,000","81,799,000","57,126,000","17,772,000","55,667,000","-24,330,000","77,374,000","93,784,000","180,575,000","173,851,000","42,860,000","34,206,000","127,154,000","97,869,000","61,669,000","72,474,000","164,127,000","83,036,000","45,882,000","63,655,000","103,461,000","37,353,000","33,273,000","34,948,000","43,004,000","43,121,880","31,430,050","28,383,619","36,700,000","40,500,000","20,000,000","16,100,000","14,800,000","21,900,000","9,300,000","8,200,000","8,000,000","2,300,000","0","1,400,000",
OperatingExpense,"1,396,844,000","398,644,000","381,039,000","313,060,000","304,101,000","338,965,000","293,031,000","272,478,000","243,401,000","316,449,000","314,446,000","246,874,000","220,817,000","304,405,000","231,801,000","186,013,000","171,508,000","203,305,000","206,620,000","162,829,000","145,153,000","193,808,000","167,368,000","159,155,000","123,061,000","144,385,000","136,603,000","135,319,000","131,760,000","187,522,000","122,774,000","104,478,000","110,504,000","137,840,000","174,252,000","98,389,000","116,105,000","118,482,000","118,530,000","140,290,000","92,760,000","89,610,000","73,840,000","125,024,000","82,172,000","96,927,000","93,132,000","84,585,000","89,403,000","104,293,000","73,261,000","81,995,000","106,573,000","110,294,000","113,366,000","117,494,000","87,350,000","85,111,000","88,142,000","87,642,000","94,449,000","96,063,000","104,070,000","-59,396,000","104,457,000","94,525,000","90,403,000","83,867,000","72,754,000","76,144,000","64,218,000","58,459,000","50,038,000","57,391,000","49,358,000","47,389,000","78,990,000","44,189,000","38,013,000","45,900,000","45,217,000","35,122,000","29,159,000","30,717,000","27,739,000","22,878,302","23,697,538","20,903,177","27,700,000","25,700,000","15,700,000","12,700,000","9,700,000","15,700,000","8,800,000","6,800,000","5,600,000","4,200,000","1,500,000","1,700,000",
	SellingGeneralAndAdministration,"942,705,000","265,992,000","263,350,000","208,301,000","205,062,000","238,530,000","205,124,000","186,952,000","162,181,000","221,599,000","226,225,000","166,654,000","153,148,000","231,960,000","161,485,000","126,041,000","107,901,000","145,464,000","137,738,000","112,817,000","100,354,000","148,759,000","129,872,000","117,877,000","82,415,000","108,907,000","104,837,000","94,602,000","90,669,000","150,456,000","93,111,000","76,198,000","78,350,000","105,194,000","144,365,000","74,461,000","92,116,000","93,604,000","96,660,000","122,209,000","75,198,000","69,933,000","54,558,000","105,260,000","61,196,000","75,353,000","71,492,000","68,045,000","69,789,000","85,853,000","54,918,000","62,459,000","80,522,000","88,613,000","89,926,000","95,150,000","65,131,000","67,246,000","69,926,000","68,630,000","73,638,000","75,566,000","71,845,000","65,899,000","80,097,000","71,866,000","64,976,000","64,980,000","79,618,000","60,207,000","49,362,000","46,321,000","59,942,000","46,469,000","39,385,000","39,431,000","65,813,000","35,794,000","33,302,000","39,446,000","40,992,000","32,319,000","23,354,000","20,721,000","23,325,000","19,294,277","18,161,407","17,236,771","24,600,000","21,400,000","13,700,000","11,500,000","8,600,000","15,100,000","6,600,000","5,700,000","3,900,000","3,000,000","1,000,000","1,300,000",
		GeneralAndAdministrativeExpense,"460,937,000","130,706,000","127,331,000","104,447,000","98,453,000","98,624,000","91,433,000","102,173,000","82,212,000","84,531,000","76,659,000","74,833,000","75,541,000","70,638,000","67,320,000","67,735,000","60,450,000","65,951,000","60,824,000","60,603,000","62,042,000","52,939,000","49,685,000","46,743,000","44,395,000","49,061,000","49,961,000","49,035,000","38,202,000","53,564,000","43,975,000","39,352,000","50,773,000","34,718,000","43,023,000","32,860,000","40,369,000","32,880,000","30,809,000","43,202,000","35,133,000","29,705,000","25,785,000","30,577,000","29,170,000","27,492,000","24,786,000","24,569,000","28,695,000","34,382,000","29,583,000","31,415,000","39,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"460,937,000","130,706,000","127,331,000","104,447,000","98,453,000","98,624,000","91,433,000","102,173,000","82,212,000","84,531,000","76,659,000","74,833,000","75,541,000","70,638,000","67,320,000","67,735,000","60,450,000","65,951,000","60,824,000","60,603,000","62,042,000","52,939,000","49,685,000","46,743,000","44,395,000","49,061,000","49,961,000","49,035,000","38,202,000","53,564,000","43,975,000","39,352,000","50,773,000","34,718,000","43,023,000","32,860,000","40,369,000","32,880,000","30,809,000","43,202,000","35,133,000","29,705,000","25,785,000","30,577,000","29,170,000","27,492,000","24,786,000","24,569,000","28,695,000","34,382,000","29,583,000","31,415,000","39,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"481,768,000","135,286,000","136,019,000","103,854,000","106,609,000","139,906,000","113,691,000","84,779,000","79,969,000","137,068,000","149,566,000","91,821,000","77,607,000","161,322,000","94,165,000","58,306,000","47,451,000","79,513,000","76,914,000","52,214,000","38,312,000","95,820,000","80,187,000","71,134,000","38,020,000","59,846,000","54,876,000","45,567,000","52,467,000","96,892,000","49,136,000","36,846,000","27,577,000","70,476,000","101,342,000","41,601,000","51,747,000","60,724,000","65,851,000","79,007,000","40,065,000","40,228,000","28,773,000","74,683,000","32,026,000","47,861,000","46,706,000","43,476,000","41,094,000","51,471,000","25,335,000","31,044,000","40,774,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"394,017,000","116,656,000","101,508,000","92,294,000","83,559,000","86,428,000","74,216,000","73,108,000","68,718,000","82,520,000","76,197,000","68,963,000","56,588,000","62,305,000","60,565,000","50,712,000","54,128,000","49,977,000","49,999,000","42,269,000","36,421,000","37,589,000","30,005,000","33,900,000","33,308,000","27,944,000","24,413,000","34,142,000","35,157,000","31,221,000","24,533,000","24,132,000","28,632,000","29,233,000","26,520,000","20,871,000","21,183,000","22,369,000","19,320,000","15,312,000","14,822,000","16,823,000","15,998,000","16,519,000","17,248,000","18,073,000","17,582,000","12,908,000","15,455,000","14,159,000","13,887,000","14,759,000","20,943,000","16,052,000","17,239,000","14,828,000","15,810,000","11,159,000","11,210,000","11,936,000","14,150,000","13,046,000","17,406,000","16,097,000","17,709,000","3,191,000","23,782,000","13,785,000","23,417,000","11,073,000","10,529,000","8,228,000","13,429,000","7,688,000","7,043,000","4,761,000","5,615,000","3,821,000","1,812,000","3,937,000","1,954,000","1,205,000","1,984,000","1,601,000","1,400,000","1,021,955","1,656,737","1,363,870","1,600,000","3,100,000","1,000,000","600,000","600,000","0","500,000","400,000","500,000","300,000","300,000","300,000",
