name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"14,136,400,000","3,569,300,000","3,719,800,000","3,829,700,000","3,017,600,000","3,179,100,000","3,495,500,000","3,138,800,000","2,641,300,000","4,150,900,000","4,344,300,000","4,527,800,000","3,575,900,000","3,895,100,000","4,030,900,000","4,357,700,000","3,384,500,000","3,618,100,000","3,670,500,000","3,908,400,000","3,000,600,000","3,358,800,000","3,567,800,000","3,688,200,000","2,894,100,000","3,325,800,000","3,486,900,000","3,600,200,000","2,887,800,000","3,240,500,000","3,385,000,000","3,542,900,000","2,722,900,000","1,556,000,000","3,749,500,000","3,932,700,000","3,112,400,000","3,470,200,000","3,592,800,000","3,821,300,000","3,150,700,000","3,453,800,000","3,928,500,000","3,892,200,000","3,138,000,000","3,711,700,000","3,730,300,000","3,703,400,000","2,953,400,000","3,305,900,000","3,482,700,000","3,473,800,000","2,932,900,000","3,670,100,000","4,313,200,000","3,080,800,000","2,163,300,000","2,323,300,000","2,239,000,000","2,224,600,000","2,668,100,000","2,890,400,000","2,766,000,000","3,041,900,000","2,711,000,000","2,713,300,000","2,615,300,000","2,759,500,000","2,458,800,000","2,459,000,000","2,368,000,000","2,713,900,000","2,292,000,000","2,665,900,000","2,519,500,000","2,525,100,000","2,198,700,000","1,539,900,000","2,518,100,000","2,587,400,000","2,305,900,000","2,535,600,000","2,383,100,000","2,285,600,000","2,119,600,000","2,379,800,000","2,255,900,000","2,185,800,000","1,976,700,000","1,887,500,000","1,846,100,000","2,249,300,000","2,083,300,000","2,082,400,000","2,020,000,000","2,186,200,000","2,002,900,000","1,932,500,000","1,694,000,000","1,837,400,000","1,639,400,000","1,740,400,000","1,595,800,000","1,761,900,000","1,604,900,000","1,630,000,000","1,521,300,000","1,392,100,000","1,185,600,000","1,239,700,000","1,113,700,000","1,143,800,000","1,010,300,000","1,088,700,000","973,500,000","1,006,800,000","952,100,000","1,091,600,000","904,000,000","926,900,000","861,200,000","933,900,000","865,500,000","922,600,000","864,200,000","967,000,000","936,600,000","932,000,000","902,300,000","893,000,000","845,300,000","907,400,000","801,800,000","815,100,000","715,400,000","779,800,000","711,000,000","743,100,000","631,100,000","664,300,000","609,400,000","768,400,000","644,800,000","726,000,000","660,300,000","726,900,000","612,200,000"
	OperatingRevenue,"14,136,400,000","3,569,300,000","3,719,800,000","3,829,700,000","3,017,600,000","3,179,100,000","3,495,500,000","3,138,800,000","2,641,300,000","4,150,900,000","4,344,300,000","4,527,800,000","3,575,900,000","3,895,100,000","4,030,900,000","4,357,700,000","3,384,500,000","3,618,100,000","3,670,500,000","3,908,400,000","3,000,600,000","3,358,800,000","3,567,800,000","3,688,200,000","2,894,100,000","3,325,800,000","3,486,900,000","3,600,200,000","2,887,800,000","3,240,500,000","3,385,000,000","3,542,900,000","2,722,900,000","1,556,000,000","3,749,500,000","3,932,700,000","3,112,400,000","3,470,200,000","3,592,800,000","3,821,300,000","3,150,700,000","3,453,800,000","3,928,500,000","3,892,200,000","3,138,000,000","3,711,700,000","3,730,300,000","3,703,400,000","2,953,400,000","3,305,900,000","3,482,700,000","3,473,800,000","2,932,900,000","3,670,100,000","4,313,200,000","3,080,800,000","2,163,300,000","2,323,300,000","2,239,000,000","2,224,600,000","2,668,100,000","2,890,400,000","2,766,000,000","3,041,900,000","2,711,000,000","2,713,300,000","2,615,300,000","2,759,500,000","2,458,800,000","2,459,000,000","2,368,000,000","2,713,900,000","2,292,000,000","2,665,900,000","2,519,500,000","2,525,100,000","2,198,700,000","1,539,900,000","2,518,100,000","2,587,400,000","2,305,900,000","2,535,600,000","2,383,100,000","2,285,600,000","2,119,600,000","2,379,800,000","2,255,900,000","2,185,800,000","1,976,700,000","1,887,500,000","1,846,100,000","2,249,300,000","2,083,300,000","2,082,400,000","2,020,000,000","2,186,200,000","2,002,900,000","1,932,500,000","1,694,000,000","1,837,400,000","1,639,400,000","1,740,400,000","1,595,800,000","1,761,900,000","1,604,900,000","1,630,000,000","1,521,300,000","1,392,100,000","1,185,600,000","1,239,700,000","1,113,700,000","1,143,800,000","1,010,300,000","1,088,700,000","973,500,000","1,006,800,000","952,100,000","1,091,600,000","904,000,000","926,900,000","861,200,000","933,900,000","865,500,000","922,600,000","864,200,000","967,000,000","936,600,000","932,000,000","902,300,000","893,000,000","845,300,000","907,400,000","801,800,000","815,100,000","715,400,000","779,800,000","711,000,000","743,100,000","631,100,000","664,300,000","609,400,000","768,400,000","644,800,000","726,000,000","660,300,000","726,900,000","612,200,000"
CostOfRevenue,"9,666,800,000","2,527,800,000","2,515,600,000","2,559,000,000","2,064,400,000","2,231,200,000","2,360,800,000","2,160,500,000","1,898,800,000","2,904,300,000","2,935,800,000","3,094,100,000","2,517,300,000","2,745,000,000","2,718,300,000","2,964,100,000","2,420,200,000","2,542,500,000","2,489,900,000","2,653,100,000","2,126,100,000","2,351,300,000","2,418,700,000","2,512,300,000","2,047,000,000","2,341,000,000","2,379,400,000","2,494,500,000","2,086,700,000","2,261,100,000","2,327,000,000","2,439,900,000","1,954,800,000","1,300,000,000","2,504,700,000","2,678,800,000","2,192,100,000","2,410,500,000","2,454,400,000","2,644,000,000","2,249,400,000","2,461,000,000","2,771,800,000","2,708,400,000","2,249,800,000","2,700,800,000","2,651,400,000","2,655,800,000","2,173,300,000","2,411,700,000","2,486,600,000","2,540,400,000","2,206,400,000","2,801,700,000","3,209,400,000","2,196,100,000","1,540,900,000","1,658,200,000","1,608,200,000","1,589,700,000","1,953,000,000","2,166,900,000","2,043,900,000","2,215,400,000","1,998,000,000","1,993,700,000","1,920,700,000","2,019,100,000","1,810,700,000","1,777,700,000","1,738,800,000","2,002,600,000","1,682,000,000","1,973,300,000","1,921,100,000","1,907,600,000","1,689,500,000","1,105,900,000","1,951,500,000","1,994,900,000","1,774,300,000","2,016,200,000","1,868,200,000","1,697,500,000","1,552,800,000","1,708,400,000","1,585,300,000","1,501,400,000","1,368,900,000","1,263,800,000","1,268,000,000","1,548,100,000","1,458,200,000","1,413,000,000","1,413,700,000","1,522,600,000","1,414,700,000","1,366,500,000","1,201,200,000","1,311,400,000","1,172,300,000","1,228,400,000","1,153,900,000","1,288,300,000","1,156,800,000","1,155,500,000","1,109,900,000","1,009,000,000","856,400,000","860,800,000","807,400,000","832,100,000","744,100,000","771,200,000","704,500,000","720,200,000","697,100,000","798,100,000","661,000,000","674,400,000","631,800,000","657,900,000","628,800,000","685,500,000","644,200,000","695,900,000","687,500,000","667,100,000","646,500,000","627,800,000","620,300,000","662,100,000",,,,,,,,,,,,,,,
GrossProfit,"4,469,600,000","1,041,500,000","1,204,200,000","1,270,700,000","953,200,000","947,900,000","1,134,700,000","978,300,000","742,500,000","1,246,600,000","1,408,500,000","1,433,700,000","1,058,600,000","1,150,100,000","1,312,600,000","1,393,600,000","964,300,000","1,075,600,000","1,180,600,000","1,255,300,000","874,500,000","1,007,500,000","1,149,100,000","1,175,900,000","847,100,000","984,800,000","1,107,500,000","1,105,700,000","801,100,000","979,400,000","1,058,000,000","1,103,000,000","768,100,000","256,000,000","1,244,800,000","1,253,900,000","920,300,000","1,059,700,000","1,138,400,000","1,177,300,000","901,300,000","992,800,000","1,156,700,000","1,183,800,000","888,200,000","1,010,900,000","1,078,900,000","1,047,600,000","780,100,000","894,200,000","996,100,000","933,400,000","726,500,000","868,400,000","1,103,800,000","884,700,000","622,400,000","665,100,000","630,800,000","634,900,000","715,100,000","723,500,000","722,100,000","826,500,000","713,000,000","719,600,000","694,600,000","740,400,000","648,100,000","681,300,000","629,200,000","711,300,000","610,000,000","692,600,000","598,400,000","617,500,000","509,200,000","434,000,000","566,600,000","592,500,000","531,600,000","519,400,000","514,900,000","588,100,000","566,800,000","671,400,000","670,600,000","684,400,000","607,800,000","623,700,000","578,100,000","701,200,000","625,100,000","669,400,000","606,300,000","663,600,000","588,200,000","566,000,000","492,800,000","526,000,000","467,100,000","512,000,000","441,900,000","473,600,000","448,100,000","474,500,000","411,400,000","383,100,000","329,200,000","378,900,000","306,300,000","311,700,000","266,200,000","317,500,000","269,000,000","286,600,000","255,000,000","293,500,000","243,000,000","252,500,000","229,400,000","276,000,000","236,700,000","237,100,000","220,000,000","271,100,000","249,100,000","264,900,000","255,800,000","265,200,000","225,000,000","245,300,000",,,,,,,,,,,,,,,
OperatingExpense,"2,446,300,000","605,800,000","620,800,000","619,700,000","600,000,000","559,900,000","567,800,000","554,800,000","588,100,000","821,200,000","785,300,000","783,200,000","740,100,000","703,400,000","725,600,000","753,300,000","720,900,000","689,000,000","674,500,000","697,700,000","659,500,000","660,600,000","645,400,000","670,700,000","629,800,000","625,500,000","632,100,000","653,500,000","630,000,000","633,100,000","618,000,000","639,700,000","613,100,000","315,400,000","756,800,000","770,900,000","726,800,000","696,700,000","690,600,000","703,600,000","689,300,000","656,000,000","712,200,000","708,300,000","656,300,000","697,300,000","670,700,000","664,600,000","646,600,000","671,400,000","677,800,000","682,800,000","676,600,000","4,398,200,000","756,400,000","523,100,000","375,400,000","366,300,000","354,500,000","360,800,000","415,200,000","398,000,000","364,400,000","410,000,000","371,900,000","373,900,000","354,600,000","361,300,000","351,200,000","383,400,000","351,000,000","376,800,000","373,100,000","428,700,000","376,000,000","398,000,000","343,800,000","325,200,000","387,500,000","378,800,000","348,200,000","401,100,000","364,700,000","404,400,000","391,300,000","374,900,000","394,400,000","335,900,000","338,500,000","340,700,000","305,200,000","381,900,000","378,400,000","375,100,000","356,100,000","377,300,000","374,600,000","361,600,000","313,100,000","316,400,000","300,500,000","304,100,000","293,200,000","297,300,000","297,500,000","304,500,000","292,300,000","264,400,000","240,000,000","242,600,000","217,300,000","219,800,000","206,100,000","205,000,000","204,400,000","217,200,000","209,800,000","283,100,000","195,500,000","183,100,000","181,600,000","168,400,000","174,000,000","178,800,000","175,200,000","178,600,000","171,500,000","167,500,000","165,900,000","151,200,000","150,000,000","149,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,446,300,000","605,800,000","620,800,000","619,700,000","600,000,000","559,900,000","567,800,000","554,800,000","588,100,000","821,200,000","785,300,000","783,200,000","740,100,000","703,400,000","725,600,000","753,300,000","720,900,000","689,000,000","674,500,000","697,700,000","659,500,000","660,600,000","645,400,000","670,700,000","629,800,000","625,500,000","632,100,000","653,500,000","630,000,000","633,100,000","618,000,000","639,700,000","613,100,000","315,400,000","756,800,000","770,900,000","726,800,000","692,200,000","690,600,000","703,600,000","689,600,000","656,000,000","712,200,000","708,300,000","656,300,000","697,300,000","670,700,000","664,600,000","646,600,000","671,400,000","677,800,000","682,800,000","676,600,000","688,200,000","756,400,000","523,100,000","375,400,000","366,300,000","354,500,000","360,800,000","415,200,000","398,000,000","364,400,000","410,000,000","371,900,000","373,900,000","354,600,000","361,300,000","351,200,000","383,400,000","351,000,000","376,800,000","373,100,000","428,700,000","376,000,000","398,000,000","343,800,000","325,200,000","387,500,000","378,800,000","348,200,000","401,100,000","364,700,000","319,100,000","306,400,000","296,800,000","310,800,000","269,600,000","269,500,000","272,800,000","248,500,000","312,300,000","300,200,000","306,400,000","285,700,000","303,200,000","305,200,000","299,100,000","263,500,000","272,300,000","244,400,000","256,000,000","240,400,000","247,600,000","245,500,000","257,000,000","239,100,000","222,400,000","203,300,000","208,500,000","184,500,000","186,100,000","174,300,000","176,600,000","172,800,000","184,600,000","178,900,000","253,200,000","166,500,000","154,200,000","152,800,000","142,300,000","147,000,000","151,000,000","147,400,000","154,400,000","145,900,000","143,000,000","142,900,000","131,600,000","129,000,000","129,000,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,300,000","84,900,000","78,100,000","83,600,000","66,300,000","69,000,000","67,900,000","56,700,000","69,600,000","78,200,000","68,700,000","70,400,000","74,100,000","69,400,000","62,500,000","49,600,000","44,100,000","56,100,000","48,100,000","52,800,000","49,700,000","52,000,000","47,500,000","53,200,000","42,000,000","36,700,000","34,100,000","32,800,000","33,700,000","31,800,000","28,400,000","31,600,000","32,600,000","30,900,000","29,900,000","29,000,000","28,900,000","28,800,000","26,100,000","27,000,000","27,800,000","27,800,000","24,200,000","25,600,000","24,500,000","23,000,000","19,600,000","21,000,000","20,000,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,300,000","84,900,000","78,100,000","83,600,000","66,300,000","69,000,000","67,900,000","56,700,000","69,600,000","78,200,000","68,700,000","70,400,000","74,100,000","69,400,000","62,500,000","49,600,000","44,100,000","56,100,000","48,100,000","52,800,000","49,700,000","52,000,000","47,500,000","53,200,000","42,000,000","36,700,000","34,100,000","32,800,000","33,700,000","31,800,000","28,400,000","31,600,000","32,600,000","30,900,000","29,900,000","29,000,000","28,900,000","28,800,000","26,100,000","27,000,000","27,800,000","27,800,000","24,200,000","25,600,000","24,500,000","23,000,000","19,600,000","21,000,000","20,000,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,023,300,000","435,700,000","583,400,000","651,000,000","353,200,000","388,000,000","566,900,000","423,500,000","154,400,000","425,400,000","623,200,000","650,500,000","318,500,000","446,700,000","587,000,000","640,300,000","243,400,000","386,600,000","506,100,000","557,600,000","215,000,000","346,900,000","503,700,000","505,200,000","217,300,000","359,300,000","475,400,000","452,200,000","171,100,000","346,300,000","440,000,000","463,300,000","155,000,000","-59,400,000","488,000,000","483,000,000","193,500,000","363,000,000","447,800,000","473,700,000","212,000,000","336,800,000","444,500,000","475,500,000","231,900,000","313,600,000","408,200,000","383,000,000","133,500,000","222,800,000","318,300,000","250,600,000","49,900,000","-3,529,800,000","347,400,000","361,600,000","247,000,000","298,800,000","276,300,000","274,100,000","299,900,000","325,500,000","357,700,000","416,500,000","341,100,000","345,700,000","340,000,000","379,100,000","296,900,000","297,900,000","278,200,000","334,500,000","236,900,000","263,900,000","222,400,000","219,500,000","165,400,000","108,800,000","179,100,000","213,700,000","183,400,000","118,300,000","150,200,000","183,700,000","175,500,000","296,500,000","276,200,000","348,500,000","269,300,000","283,000,000","272,900,000","319,300,000","246,700,000","294,300,000","250,200,000","286,300,000","213,600,000","204,400,000","179,700,000","209,600,000","166,600,000","207,900,000","148,700,000","176,300,000","150,600,000","170,000,000","119,100,000","118,700,000","89,200,000","136,300,000","89,000,000","91,900,000","60,100,000","112,500,000","64,600,000","69,400,000","45,200,000","10,400,000","47,500,000","69,400,000","47,800,000","107,600,000","62,700,000","58,300,000","44,800,000","92,500,000","77,600,000","97,400,000","89,900,000","114,000,000","75,000,000","96,300,000","801,800,000","-1,920,800,000","715,400,000","779,800,000","711,000,000","-1,636,200,000","631,100,000","664,300,000","609,400,000","-1,815,700,000","644,800,000","726,000,000","660,300,000","-1,707,400,000","612,200,000"
