name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,382,000,000","3,322,000,000","2,990,000,000","3,191,000,000","2,879,000,000","3,667,000,000","2,735,000,000","2,472,000,000","2,777,000,000","4,035,000,000","3,259,000,000","3,227,000,000","3,109,000,000","3,750,000,000","3,200,000,000","3,726,000,000","3,296,000,000","4,017,000,000","3,484,000,000","3,604,000,000","3,093,000,000","3,825,000,000","3,251,000,000","3,511,000,000","3,201,000,000","3,923,000,000","3,180,000,000","3,247,000,000","3,073,000,000","4,096,000,000","3,430,000,000","3,505,000,000","2,847,000,000","3,506,000,000","2,904,000,000","2,839,000,000","2,855,000,000","3,362,000,000","3,000,000,000","3,019,000,000","2,856,000,000","3,254,000,000","2,814,000,000","2,728,000,000","2,479,000,000","3,127,000,000","2,479,000,000","2,709,000,000","2,210,000,000","2,813,000,000","2,549,000,000","2,612,000,000","2,526,000,000","3,606,000,000","3,533,000,000","3,919,000,000","3,518,000,000","3,763,000,000","3,263,000,000","3,235,000,000","2,964,000,000","3,201,000,000","2,837,000,000","2,820,000,000","2,632,000,000","1,202,000,000","2,862,000,000","3,188,000,000","2,791,000,000","2,772,000,000","2,569,000,000","2,547,000,000","2,354,000,000","2,663,000,000","2,243,000,000","2,599,000,000","2,457,000,000","2,862,000,000","2,554,000,000","2,824,000,000","2,418,000,000","3,183,000,000","2,810,000,000","3,288,000,000","3,040,000,000","3,497,000,000","3,134,000,000","3,222,000,000","3,237,000,000","3,234,000,000","2,709,000,000","2,887,000,000","2,749,000,000","2,870,000,000","2,253,000,000","2,953,000,000","2,718,000,000","2,818,000,000","2,508,000,000","2,667,000,000","2,551,000,000","2,428,000,000","2,248,000,000","2,384,000,000","2,214,000,000","2,659,000,000","2,425,000,000","2,502,000,000","2,387,000,000","2,377,000,000","2,381,000,000","2,517,000,000","2,408,000,000","2,427,300,000","2,233,100,000","2,253,200,000","2,164,700,000","2,159,700,000","2,031,100,000","2,161,600,000","1,995,100,000","2,016,000,000","1,906,100,000","2,009,300,000","1,908,700,000","2,145,300,000","1,899,300,000","1,989,100,000","1,883,900,000","1,025,300,000","1,734,800,000","1,847,300,000","1,824,900,000","1,917,900,000","1,736,200,000","1,810,700,000","1,334,000,000","1,382,500,000","1,285,500,000","1,352,500,000","1,367,900,000","1,541,200,000","1,339,300,000","1,127,600,000","1,015,200,000","1,186,500,000","936,000,000"
	OperatingRevenue,"12,382,000,000","3,322,000,000","2,990,000,000","3,191,000,000","2,879,000,000","3,667,000,000","2,735,000,000","2,472,000,000","2,777,000,000","4,035,000,000","3,259,000,000","3,227,000,000","3,109,000,000","3,750,000,000","3,200,000,000","3,726,000,000","3,296,000,000","4,017,000,000","3,484,000,000","3,604,000,000","3,093,000,000","3,825,000,000","3,251,000,000","3,511,000,000","3,201,000,000","3,923,000,000","3,180,000,000","3,247,000,000","3,073,000,000","4,096,000,000","3,430,000,000","3,505,000,000","2,847,000,000","3,506,000,000","2,904,000,000","2,839,000,000","2,855,000,000","3,362,000,000","3,000,000,000","3,019,000,000","2,856,000,000","3,254,000,000","2,814,000,000","2,728,000,000","2,479,000,000","3,127,000,000","2,479,000,000","2,709,000,000","2,210,000,000","2,813,000,000","2,549,000,000","2,612,000,000","2,526,000,000","3,606,000,000","3,533,000,000","3,919,000,000","3,518,000,000","3,763,000,000","3,263,000,000","3,235,000,000","2,964,000,000","3,201,000,000","2,837,000,000","2,820,000,000","2,632,000,000","1,202,000,000","2,862,000,000","3,188,000,000","2,791,000,000","2,772,000,000","2,569,000,000","2,547,000,000","2,354,000,000","2,663,000,000","2,243,000,000","2,599,000,000","2,457,000,000","2,862,000,000","2,554,000,000","2,824,000,000","2,418,000,000","3,183,000,000","2,810,000,000","3,288,000,000","3,040,000,000","3,497,000,000","3,134,000,000","3,222,000,000","3,237,000,000","3,234,000,000","2,709,000,000","2,887,000,000","2,749,000,000","2,870,000,000","2,253,000,000","2,953,000,000","2,718,000,000","2,818,000,000","2,508,000,000","2,667,000,000","2,551,000,000","2,428,000,000","2,248,000,000","2,384,000,000","2,214,000,000","2,659,000,000","2,425,000,000","2,502,000,000","2,387,000,000","2,377,000,000","2,381,000,000","2,517,000,000","2,408,000,000","2,427,300,000","2,233,100,000","2,253,200,000","2,164,700,000","2,159,700,000","2,031,100,000","2,161,600,000","1,995,100,000","2,016,000,000","1,906,100,000","2,009,300,000","1,908,700,000","2,145,300,000","1,899,300,000","1,989,100,000","1,883,900,000","1,025,300,000","1,734,800,000","1,847,300,000","1,824,900,000","1,917,900,000","1,736,200,000","1,810,700,000","1,334,000,000","1,382,500,000","1,285,500,000","1,352,500,000","1,367,900,000","1,541,200,000","1,339,300,000","1,127,600,000","1,015,200,000","1,186,500,000","936,000,000"
CostOfRevenue,"10,297,000,000","2,751,000,000","2,486,000,000","2,660,000,000","2,400,000,000","3,124,000,000","2,332,000,000","2,251,000,000","2,387,000,000","3,441,000,000","2,747,000,000","2,641,000,000","2,577,000,000","3,105,000,000","2,687,000,000","3,073,000,000","2,729,000,000","3,344,000,000","2,877,000,000","2,990,000,000","2,584,000,000","3,126,000,000","2,661,000,000","2,889,000,000","2,635,000,000","3,251,000,000","2,584,000,000","2,635,000,000","2,509,000,000","3,344,000,000","2,845,000,000","2,875,000,000","2,357,000,000","2,938,000,000","2,473,000,000","2,338,000,000","2,382,000,000","2,797,000,000","2,475,000,000","2,435,000,000","2,312,000,000","2,715,000,000","2,313,000,000","2,225,000,000","2,055,000,000","2,605,000,000","2,037,000,000","2,188,000,000","1,776,000,000","2,320,000,000","2,048,000,000","2,101,000,000","1,999,000,000","2,817,000,000","2,641,000,000","2,948,000,000","2,594,000,000","2,771,000,000","2,390,000,000","2,374,000,000","2,180,000,000","2,393,000,000","2,099,000,000","2,081,000,000","1,955,000,000","611,000,000","2,209,000,000","2,495,000,000","2,146,000,000","2,111,000,000","1,991,000,000","1,957,000,000","1,835,000,000","2,130,000,000","1,718,000,000","2,008,000,000","1,905,000,000","2,186,000,000","1,981,000,000","2,175,000,000","1,879,000,000","2,538,000,000","2,385,000,000","2,419,000,000","2,215,000,000","2,513,000,000","2,276,000,000","2,333,000,000","2,412,000,000","2,424,000,000","1,998,000,000","2,113,000,000","2,137,000,000","1,927,000,000","1,805,000,000","1,896,000,000","1,649,000,000","1,742,000,000","1,483,000,000","1,622,000,000","1,554,000,000","1,428,000,000","1,298,000,000","1,423,000,000","1,301,000,000","1,282,000,000","1,172,000,000","1,249,000,000","1,171,000,000","1,170,000,000","1,237,000,000","1,410,000,000","1,354,000,000","1,491,100,000","1,140,300,000","1,221,700,000","1,155,600,000","1,029,300,000","984,800,000","1,121,200,000","989,100,000","1,026,700,000","932,700,000","1,055,200,000","962,100,000","1,199,000,000","960,900,000","1,028,500,000","959,600,000",,,,,,,,,,,,,,,,,,
GrossProfit,"2,085,000,000","571,000,000","504,000,000","531,000,000","479,000,000","543,000,000","403,000,000","221,000,000","390,000,000","594,000,000","512,000,000","586,000,000","532,000,000","645,000,000","513,000,000","653,000,000","567,000,000","673,000,000","607,000,000","614,000,000","509,000,000","699,000,000","590,000,000","622,000,000","566,000,000","672,000,000","596,000,000","612,000,000","564,000,000","752,000,000","585,000,000","630,000,000","490,000,000","568,000,000","431,000,000","501,000,000","473,000,000","565,000,000","525,000,000","584,000,000","544,000,000","539,000,000","501,000,000","503,000,000","424,000,000","522,000,000","442,000,000","521,000,000","434,000,000","493,000,000","501,000,000","511,000,000","527,000,000","789,000,000","892,000,000","971,000,000","924,000,000","992,000,000","873,000,000","861,000,000","784,000,000","808,000,000","738,000,000","739,000,000","677,000,000","591,000,000","653,000,000","693,000,000","645,000,000","661,000,000","578,000,000","590,000,000","519,000,000","533,000,000","525,000,000","591,000,000","552,000,000","676,000,000","573,000,000","649,000,000","539,000,000","645,000,000","425,000,000","869,000,000","825,000,000","984,000,000","858,000,000","889,000,000","825,000,000","810,000,000","711,000,000","774,000,000","612,000,000","943,000,000","448,000,000","1,057,000,000","1,069,000,000","1,076,000,000","1,025,000,000","1,045,000,000","997,000,000","1,000,000,000","950,000,000","961,000,000","913,000,000","1,377,000,000","1,253,000,000","1,253,000,000","1,216,000,000","1,207,000,000","1,144,000,000","1,107,000,000","1,054,000,000","936,200,000","1,092,800,000","1,031,500,000","1,009,100,000","1,130,400,000","1,046,300,000","1,040,400,000","1,006,000,000","989,300,000","973,400,000","954,100,000","946,600,000","946,300,000","938,400,000","960,600,000","924,300,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"1,221,000,000","326,000,000","283,000,000","314,000,000","298,000,000","285,000,000","258,000,000","239,000,000","263,000,000","298,000,000","255,000,000","292,000,000","307,000,000","271,000,000","307,000,000","370,000,000","327,000,000","350,000,000","335,000,000","343,000,000","309,000,000","355,000,000","323,000,000","318,000,000","308,000,000","335,000,000","303,000,000","329,000,000","337,000,000","402,000,000","304,000,000","353,000,000","302,000,000","306,000,000","245,000,000","296,000,000","279,000,000","309,000,000","265,000,000","283,000,000","312,000,000","507,000,000","254,000,000","307,000,000","316,000,000","360,000,000","330,000,000","343,000,000","342,000,000","371,000,000","391,000,000","427,000,000","422,000,000","545,000,000","461,000,000","479,000,000","456,000,000","506,000,000","403,000,000","440,000,000","372,000,000","425,000,000","379,000,000","375,000,000","361,000,000","263,000,000","398,000,000","376,000,000","385,000,000","434,000,000","342,000,000","356,000,000","343,000,000","387,000,000","317,000,000","362,000,000","365,000,000","486,000,000","324,000,000","474,000,000","360,000,000","148,000,000","355,000,000","519,000,000","465,000,000","573,000,000","469,000,000","475,000,000","453,000,000","433,000,000","420,000,000","460,000,000","332,000,000","385,000,000","283,000,000","590,000,000","568,000,000","504,000,000","478,000,000","488,000,000","464,000,000","467,000,000","432,000,000","439,000,000","423,000,000","522,000,000","488,000,000","482,000,000","480,000,000","477,000,000","469,000,000","453,000,000","433,000,000","313,600,000","476,200,000","431,400,000","421,900,000","536,700,000","441,300,000","439,300,000","420,800,000","382,500,000","385,100,000","381,500,000","389,400,000","370,000,000","393,400,000","404,700,000","397,600,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,221,000,000","326,000,000","283,000,000","314,000,000","298,000,000","285,000,000","258,000,000","239,000,000","263,000,000","298,000,000","255,000,000","292,000,000","307,000,000","271,000,000","307,000,000","370,000,000","327,000,000","350,000,000","335,000,000","343,000,000","309,000,000","355,000,000","323,000,000","318,000,000","308,000,000","335,000,000","303,000,000","329,000,000","337,000,000","402,000,000","304,000,000","353,000,000","302,000,000","306,000,000","245,000,000","296,000,000","279,000,000","312,000,000","265,000,000","283,000,000","308,000,000","333,000,000","251,000,000","295,000,000","304,000,000","345,000,000","301,000,000","299,000,000","287,000,000","310,000,000","348,000,000","340,000,000","422,000,000","412,000,000","427,000,000","479,000,000","456,000,000","473,000,000","403,000,000","440,000,000","372,000,000","399,000,000","379,000,000","375,000,000","361,000,000","234,000,000","398,000,000","376,000,000","385,000,000","376,000,000","342,000,000","356,000,000","343,000,000","321,000,000","317,000,000","362,000,000","365,000,000","353,000,000","324,000,000","375,000,000","360,000,000","408,000,000","355,000,000","414,000,000","367,000,000","449,000,000","346,000,000","349,000,000","332,000,000","311,000,000","310,000,000","352,000,000","233,000,000","285,000,000","255,000,000","473,000,000","452,000,000","385,000,000","372,000,000","380,000,000","362,000,000","366,000,000","335,000,000","342,000,000","331,000,000","415,000,000","384,000,000","380,000,000","378,000,000","382,000,000","368,000,000","380,000,000","361,000,000","350,100,000","370,400,000","364,200,000","356,500,000","331,400,000","377,700,000","376,300,000","361,400,000","326,300,000","329,600,000","345,200,000","335,700,000","315,700,000","338,200,000","349,600,000","340,100,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"346,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,000,000","98,000,000","124,000,000","123,000,000","126,000,000","121,000,000","122,000,000","110,000,000","108,000,000","99,000,000","100,000,000","28,000,000","117,000,000","116,000,000","119,000,000","106,000,000","108,000,000","102,000,000","101,000,000","97,000,000","97,000,000","92,000,000","107,000,000","104,000,000","102,000,000","102,000,000","95,000,000","101,000,000","73,000,000","72,000,000","-36,500,000","105,800,000","67,200,000","65,400,000","205,300,000","63,600,000","63,000,000","59,400,000","56,200,000","55,500,000","36,300,000","53,700,000","54,300,000","55,200,000","55,100,000","57,500,000",,,,,,,,,,,,,,,,,,
