name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"1,592,287,000","433,537,000","459,873,000","404,075,000","294,802,000","283,285,000","285,746,000","271,091,000","276,541,000","288,837,000","275,400,000","275,124,000","247,066,000","241,981,000","236,067,000","236,060,000","221,174,000","217,851,000","214,146,000","209,123,000","199,542,000","193,281,000","194,497,000","188,972,000","179,293,000","158,916,000","150,845,000","146,295,000","134,966,000","127,440,000","128,664,000","124,371,000","112,626,000","110,735,000","107,021,000","103,088,000","95,799,000","95,368,000","93,845,000","91,368,000","82,723,000","82,079,000","77,184,000","76,735,000","73,393,000","72,439,000","73,769,000","72,600,000","69,820,000","74,217,000","74,332,000","72,172,000","69,565,000","69,544,000","68,638,000","67,569,000","59,351,000","60,420,000","54,932,000","54,112,000","50,332,000","51,155,000","50,139,000","49,151,000","44,858,000","44,307,000","42,306,000","43,185,000","40,659,000","44,734,000","41,811,000","44,263,000","41,462,000","39,120,000","37,874,000","36,135,000","32,325,000","37,232,000","34,693,000","33,316,000","28,656,000","31,204,000","28,435,000","30,977,000","27,272,000","-5,808,000","34,376,000","32,139,000","32,491,000","29,801,000","29,500,000","28,700,000","20,400,000","-41,800,000","35,700,000","33,200,000","23,400,000","18,200,000","20,200,000","23,000,000","26,500,000","45,200,000","25,900,000","26,600,000","30,800,000","-114,000,000","86,400,000","87,900,000","80,300,000","112,400,000","83,700,000","85,100,000","76,600,000","66,900,000","77,900,000","76,800,000","60,800,000","65,800,000","77,000,000","76,900,000","66,500,000","65,300,000","77,700,000","73,300,000","50,100,000","47,900,000","59,500,000","58,900,000","51,300,000","44,700,000","51,700,000","51,700,000","41,300,000","44,900,000","48,100,000","48,200,000","38,000,000"
	OperatingRevenue,"1,592,287,000","433,537,000","459,873,000","404,075,000","294,802,000","283,285,000","285,746,000","271,091,000","276,541,000","288,837,000","275,400,000","275,124,000","247,066,000","241,981,000","236,067,000","236,060,000","221,174,000","217,851,000","214,146,000","209,123,000","199,542,000","193,281,000","194,497,000","188,972,000","179,293,000","158,916,000","150,845,000","146,295,000","134,966,000","127,440,000","128,664,000","124,371,000","112,626,000","110,735,000","107,021,000","103,088,000","95,799,000","95,368,000","93,845,000","91,368,000","82,723,000","82,079,000","77,184,000","76,735,000","73,393,000","72,439,000","73,769,000","72,600,000","69,820,000","74,217,000","74,332,000","72,172,000","69,565,000","69,544,000","68,637,000","67,569,000","59,351,000","60,420,000","54,932,000","54,112,000","50,332,000","51,155,000","50,139,000","49,151,000","44,858,000","44,307,000","42,306,000","43,185,000","40,659,000","44,734,000","41,811,000","44,263,000","41,462,000","39,120,000","37,874,000","36,135,000","32,325,000","37,232,000","34,693,000","33,316,000","28,656,000","31,204,000","28,435,000","30,977,000","27,272,000","-5,808,000","34,376,000","32,139,000","32,491,000","29,801,000","29,500,000","28,700,000","20,400,000","-41,800,000","35,700,000","33,200,000","23,400,000","18,200,000","20,200,000","23,000,000","26,500,000","45,200,000","25,900,000","26,600,000","30,800,000","-114,000,000","86,400,000","87,900,000","80,300,000","112,400,000","83,700,000","85,100,000","76,600,000","66,900,000","77,900,000","76,800,000","60,800,000","65,800,000","77,000,000","76,900,000","66,500,000","65,300,000","77,700,000","73,300,000","50,100,000","47,900,000","59,500,000","58,900,000","51,300,000","44,700,000","51,700,000","51,700,000","41,300,000","44,900,000","48,100,000","48,200,000","38,000,000"
CostOfRevenue,"882,643,000","246,377,000","263,657,000","222,014,000","150,595,000","144,616,000","142,237,000","139,888,000","147,410,000","146,562,000","144,683,000","147,264,000","131,018,000","126,110,000","124,441,000","126,784,000","118,369,000","112,351,000","110,717,000","113,260,000","105,194,000","100,464,000","101,017,000","102,036,000","97,175,000","85,694,000","79,012,000","78,042,000","71,087,000","66,949,000","66,872,000","65,813,000","60,096,000","57,968,000","57,472,000","56,046,000","51,954,000","50,728,000","48,901,000","50,669,000","45,304,000","43,059,000","41,052,000","42,598,000","40,770,000","39,823,000","40,562,000","40,125,000","39,801,000","40,978,000","41,097,000","40,175,000","39,273,000","40,599,000","38,687,000","38,480,000","37,548,000","35,984,000","33,302,000","33,775,000","32,310,000","30,916,000","29,982,000","30,205,000","29,396,000","28,202,000","26,286,000","26,936,000","27,546,000","26,670,000","26,515,000","27,163,000","26,637,000","23,264,000","22,404,000","22,272,000","20,681,000","23,004,000","22,381,000","21,608,000","18,922,000","19,858,000","18,515,000","20,845,000","16,135,000","2,360,000","17,520,000","17,163,000","17,799,000","16,867,000","12,700,000","11,800,000","9,100,000","-20,900,000","17,900,000","17,400,000","12,300,000","10,100,000","11,600,000","11,600,000","11,500,000","17,700,000","12,800,000","13,200,000","13,200,000","-122,000,000","63,200,000","63,900,000","54,900,000","72,800,000","61,400,000","59,200,000","50,100,000","48,600,000","59,200,000","56,500,000","46,000,000","48,200,000","56,500,000","57,200,000","50,800,000","49,600,000","57,700,000","55,900,000","41,900,000","39,700,000","46,400,000","48,000,000","41,100,000",,,,,,,,
GrossProfit,"709,644,000","187,160,000","196,216,000","182,061,000","144,207,000","138,669,000","143,509,000","131,203,000","129,131,000","142,275,000","130,717,000","127,860,000","116,048,000","115,871,000","111,626,000","109,276,000","102,805,000","105,500,000","103,429,000","95,863,000","94,348,000","92,817,000","93,480,000","86,936,000","82,118,000","73,222,000","71,833,000","68,253,000","63,879,000","60,491,000","61,792,000","58,558,000","52,530,000","52,767,000","49,549,000","47,042,000","43,845,000","44,640,000","44,944,000","40,699,000","37,419,000","39,020,000","36,132,000","34,137,000","32,623,000","32,616,000","33,207,000","32,475,000","30,019,000","33,239,000","33,235,000","31,997,000","30,292,000","28,945,000","29,951,000","29,089,000","21,803,000","24,436,000","21,630,000","20,337,000","18,022,000","20,239,000","20,157,000","18,946,000","15,462,000","16,105,000","16,020,000","16,249,000","13,113,000","18,064,000","15,296,000","17,100,000","14,825,000","15,856,000","15,470,000","13,863,000","11,644,000","14,228,000","12,312,000","11,708,000","9,734,000","11,346,000","9,920,000","10,132,000","11,137,000","-8,168,000","16,856,000","14,976,000","14,692,000","12,934,000","16,800,000","16,900,000","11,300,000","-20,900,000","17,800,000","15,800,000","11,100,000","8,100,000","8,600,000","11,400,000","15,000,000","27,500,000","13,100,000","13,400,000","17,600,000","8,000,000","23,200,000","24,000,000","25,400,000","39,600,000","22,300,000","25,900,000","26,500,000","18,300,000","18,700,000","20,300,000","14,800,000","17,600,000","20,500,000","19,700,000","15,700,000","15,700,000","20,000,000","17,400,000","8,200,000","8,200,000","13,100,000","10,900,000","10,200,000",,,,,,,,
OperatingExpense,"528,909,000","139,108,000","140,032,000","143,770,000","105,999,000","90,633,000","93,853,000","89,862,000","95,238,000","97,118,000","90,664,000","91,194,000","81,557,000","76,944,000","74,041,000","72,134,000","63,967,000","61,241,000","59,982,000","58,788,000","58,199,000","57,413,000","56,535,000","56,021,000","54,077,000","53,442,000","40,344,000","38,657,000","36,701,000","35,898,000","35,047,000","34,936,000","32,668,000","33,315,000","31,692,000","31,693,000","29,375,000","29,221,000","26,285,000","28,244,000","27,375,000","24,698,000","23,752,000","24,304,000","22,641,000","21,427,000","21,376,000","21,990,000","21,883,000","22,290,000","20,772,000","20,600,000","20,317,000","10,192,000","18,013,000","27,307,000","17,135,000","14,856,000","13,702,000","14,541,000","14,546,000","13,984,000","13,527,000","13,318,000","12,200,000","11,311,000","11,960,000","11,778,000","12,459,000","12,739,000","11,895,000","12,082,000","11,449,000","10,291,000","10,358,000","10,786,000","9,886,000","9,424,000","9,378,000","9,587,000","8,854,000","9,681,000","9,229,000","9,501,000","9,317,000","-6,128,000","16,197,000","17,231,000","16,489,000","16,670,000","13,100,000","12,100,000","7,300,000","-19,800,000","15,200,000","12,800,000","10,700,000","8,200,000","8,400,000","13,300,000","14,900,000","33,500,000","16,700,000","15,900,000","17,800,000","2,000,000","25,600,000","24,000,000","26,500,000","37,600,000","25,600,000","25,700,000","27,200,000","17,800,000","17,100,000","17,500,000","16,300,000","17,600,000","17,100,000","16,800,000","15,400,000","15,000,000","16,000,000","15,800,000","11,200,000","8,400,000","11,000,000","8,900,000","9,200,000",,,,,,,,
	SellingGeneralAndAdministration,"390,579,000","101,036,000","101,847,000","108,922,000","78,774,000","62,736,000","66,819,000","62,521,000","67,485,000","70,265,000","63,888,000","65,827,000","57,766,000","55,134,000","52,605,000","52,262,000","47,604,000","45,725,000","44,656,000","43,451,000","43,142,000","42,163,000","42,007,000","42,232,000","40,759,000","42,507,000","31,869,000","30,396,000","28,545,000","28,130,000","27,344,000","27,419,000","25,367,000","26,091,000","24,581,000","24,971,000","22,646,000","22,763,000","20,909,000","21,699,000","21,335,000","21,141,000","18,755,000","18,466,000","17,288,000","17,143,000","17,337,000","17,439,000","17,561,000","18,507,000","17,114,000","17,084,000","17,410,000","16,768,000","15,985,000","15,418,000","14,752,000","13,276,000","12,691,000","12,781,000","12,976,000","13,639,000","13,201,000","12,993,000","11,878,000","11,590,000","11,445,000","11,263,000","11,944,000","12,200,000","11,312,000","11,412,000","10,527,000","9,550,000","9,678,000","10,061,000","9,101,000","8,592,000","8,546,000","8,756,000","8,020,000","8,195,000","7,508,000","7,782,000","7,580,000","-2,139,000","11,295,000","12,655,000","12,292,000","13,009,000","9,800,000","9,600,000","5,500,000","-20,500,000","13,300,000","12,100,000","9,600,000","7,600,000","8,300,000","12,600,000","14,200,000","32,100,000","15,600,000","14,900,000","16,800,000","7,700,000","22,000,000","20,600,000","23,200,000","34,200,000","22,500,000","22,600,000","24,100,000","15,200,000","14,400,000","14,800,000","13,600,000","14,800,000","14,300,000","14,000,000","12,700,000","12,100,000","13,300,000","13,300,000","8,900,000","6,100,000","6,700,000","6,800,000","7,100,000",,,,,,,,
	ResearchAndDevelopment,"93,481,000","24,238,000","24,002,000","23,428,000","21,813,000","22,411,000","21,642,000","21,949,000","22,361,000","21,170,000","21,130,000","20,101,000","18,941,000","17,335,000","17,050,000","15,831,000","13,048,000","12,017,000","11,834,000","11,874,000","11,599,000","11,792,000","11,070,000","10,336,000","9,956,000","8,615,000","7,193,000","7,110,000","7,004,000","6,615,000","6,567,000","6,389,000","6,172,000","6,095,000","5,982,000","5,594,000","5,598,000","5,365,000","4,273,000","5,408,000","5,094,000","2,634,000","4,196,000","5,035,000","4,549,000","3,478,000","3,233,000","3,744,000","3,516,000","3,112,000","2,973,000","2,839,000","2,235,000","1,801,000","1,416,000","2,253,000","1,816,000","1,177,000","639,000","1,404,000","1,223,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"44,849,000","13,834,000","14,183,000","11,420,000","5,412,000","5,486,000","5,392,000","5,392,000","5,392,000","5,683,000","5,646,000","5,266,000","4,850,000","4,475,000","4,386,000","4,041,000","3,315,000","3,499,000","3,492,000","3,463,000","3,458,000","3,458,000","3,458,000","3,453,000","3,362,000","2,320,000","1,282,000","1,151,000","1,152,000","1,153,000","1,136,000","1,128,000","1,129,000","1,129,000","1,129,000","1,128,000","1,131,000","1,093,000","1,103,000","1,137,000","946,000","923,000","801,000","803,000","804,000","806,000","806,000","807,000","806,000","671,000","685,000","677,000","672,000","668,000","612,000","591,000","567,000","403,000","372,000","356,000","347,000","345,000","326,000","325,000","322,000","-279,000","515,000","515,000","515,000","539,000","583,000","670,000","922,000","741,000","680,000","725,000","785,000","832,000","832,000","831,000","834,000","1,721,000","1,721,000","1,719,000","4,253,000","-3,989,000","4,902,000","4,576,000","4,197,000","3,661,000","3,300,000","2,500,000","1,800,000","700,000","1,900,000","700,000","1,100,000","600,000","100,000","700,000","700,000","1,400,000","1,100,000","1,000,000","1,000,000","-5,700,000","3,600,000","3,400,000","3,300,000","3,400,000","3,100,000","3,100,000","3,100,000","2,600,000","2,700,000","2,700,000","2,700,000","2,800,000","2,800,000","2,800,000","2,700,000","2,900,000","2,700,000","2,500,000","2,300,000","2,300,000","4,300,000","2,100,000","2,100,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"44,849,000","13,834,000","14,183,000","11,420,000","5,412,000","5,486,000","5,392,000","5,392,000","5,392,000","5,683,000","5,646,000","5,266,000","4,850,000","4,475,000","4,386,000","4,041,000","3,315,000","3,499,000","3,492,000","3,463,000","3,458,000","3,458,000","3,458,000","3,453,000","3,362,000","2,320,000","1,282,000","1,151,000","1,152,000","1,153,000","1,136,000","1,128,000","1,129,000","1,129,000","1,129,000","1,128,000","1,131,000","1,093,000","1,103,000","1,137,000","946,000","923,000","801,000","803,000","804,000","806,000","806,000","807,000","806,000","671,000","685,000","677,000","672,000","668,000","612,000","591,000","567,000","403,000","372,000","356,000","347,000","345,000","326,000","325,000","322,000","-279,000","515,000","515,000","515,000","539,000","583,000","670,000","922,000","741,000","680,000","725,000","785,000","832,000","832,000","831,000","834,000","1,721,000","1,721,000","1,719,000","4,253,000","-3,989,000","4,902,000","4,576,000","4,197,000","3,661,000","3,300,000","2,500,000","1,800,000","700,000","1,900,000","700,000","1,100,000","600,000","100,000","700,000","700,000","1,400,000","1,100,000","1,000,000","1,000,000","-5,700,000","3,600,000","3,400,000","3,300,000","3,400,000","3,100,000","3,100,000","3,100,000","2,600,000","2,700,000","2,700,000","2,700,000","2,800,000","2,800,000","2,800,000","2,700,000","2,900,000","2,700,000","2,500,000","2,300,000","2,300,000","4,300,000","2,100,000","2,100,000",,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,516,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
