name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,12/31/2004
TotalRevenue,"5,683,466,000","1,529,205,000","1,545,532,000","1,351,534,000","1,257,195,000","1,403,766,000","1,433,021,000","707,640,000","930,240,000","1,441,225,000","1,429,456,000","1,191,729,000","1,204,722,000","1,389,980,000","1,442,976,000","1,174,859,000","1,185,370,000","1,365,361,000","1,405,615,000","1,088,245,000","1,117,331,000","1,305,277,000","1,471,573,000","1,000,783,000","1,047,702,000","1,170,686,000","1,204,109,000","783,577,000","804,941,000","895,201,000","937,908,000","609,654,000","641,607,000","682,756,000","723,146,000","454,541,000","471,608,000","505,863,000","575,196,000","369,473,000","384,389,000","403,126,000","465,523,000","291,336,000","312,699,000","301,166,000","328,568,000","204,786,000","229,407,000","222,217,000","269,546,000","164,648,000","200,000,000","179,279,000","231,946,000","156,677,000","157,342,000","174,838,000","186,863,000","120,531,000","124,329,000","135,283,000","127,745,000","79,965,000","87,696,000","87,303,000","64,583,000","69,645,000"
	OperatingRevenue,"5,683,466,000","1,529,205,000","1,545,532,000","1,351,534,000","1,257,195,000","1,403,766,000","1,433,021,000","707,640,000","930,240,000","1,441,225,000","1,429,456,000","1,191,729,000","1,204,722,000","1,389,980,000","1,442,976,000","1,174,859,000","1,185,370,000","1,365,361,000","1,405,615,000","1,088,245,000","1,117,331,000","1,305,277,000","1,471,573,000","1,000,783,000","1,047,702,000","1,170,686,000","1,204,109,000","783,577,000","804,941,000","895,201,000","937,908,000","609,654,000","641,607,000","682,756,000","723,146,000","454,541,000","471,608,000","505,863,000","575,196,000","369,473,000","384,389,000","403,126,000","465,523,000","291,336,000","312,699,000","301,166,000","328,568,000","204,786,000","229,407,000","222,217,000","269,546,000","164,648,000","200,000,000","179,279,000","231,946,000","156,677,000","157,342,000","174,838,000","186,863,000","120,531,000","124,329,000","135,283,000","127,745,000","79,965,000","87,696,000","87,303,000","64,583,000","69,645,000"
CostOfRevenue,"2,821,967,000","753,272,000","757,428,000","682,713,000","628,554,000","710,144,000","746,701,000","358,471,000","499,256,000","759,698,000","739,558,000","637,408,000","659,935,000","764,753,000","777,769,000","648,275,000","661,917,000","775,658,000","760,265,000","589,999,000","611,908,000","721,573,000","772,949,000","523,136,000","567,066,000","609,016,000","616,949,000","404,524,000","427,277,000","448,937,000","472,608,000","309,702,000","340,917,000","332,403,000","373,011,000","234,910,000","255,057,000","251,628,000","294,805,000","200,006,000","209,185,000","195,221,000","240,422,000","156,557,000","167,648,000","145,588,000","161,196,000","104,860,000","121,776,000","108,076,000","135,491,000","90,370,000","109,449,000","88,337,000","113,679,000","85,773,000","82,507,000","83,991,000","92,346,000","61,432,000","63,748,000","66,877,000","63,070,000","41,758,000","43,384,000","44,807,000","33,465,000","35,828,000"
GrossProfit,"2,861,499,000","775,933,000","788,104,000","668,821,000","628,641,000","693,622,000","686,320,000","349,169,000","430,984,000","681,527,000","689,898,000","554,321,000","544,787,000","625,227,000","665,207,000","526,584,000","523,453,000","589,703,000","645,350,000","498,246,000","505,423,000","583,704,000","698,624,000","477,647,000","480,636,000","561,670,000","587,160,000","379,053,000","377,664,000","446,264,000","465,300,000","299,952,000","300,690,000","350,353,000","350,135,000","219,631,000","216,551,000","254,235,000","280,391,000","169,467,000","175,204,000","207,905,000","225,101,000","134,779,000","145,051,000","155,578,000","167,372,000","99,926,000","107,631,000","114,141,000","134,055,000","74,278,000","90,551,000","90,942,000","118,267,000","70,904,000","74,835,000","90,847,000","94,517,000","59,099,000","60,581,000","68,406,000","64,675,000","38,207,000","44,312,000","42,496,000","31,118,000","33,817,000"
OperatingExpense,"2,334,691,000","675,666,000","599,384,000","545,003,000","514,638,000","585,778,000","553,549,000","479,906,000","552,701,000","607,454,000","550,978,000","565,803,000","509,528,000","587,446,000","527,640,000","552,619,000","514,634,000","590,839,000","498,172,000","503,031,000","497,887,000","419,804,000","499,314,000","458,269,000","445,753,000","384,088,000","415,763,000","347,152,000","349,997,000","299,965,000","319,194,000","265,258,000","273,834,000","251,886,000","229,306,000","187,321,000","203,059,000","172,643,000","189,411,000","157,747,000","150,801,000","152,603,000","150,136,000","123,421,000","123,909,000","120,388,000","110,683,000","93,034,000","94,047,000","87,208,000","86,992,000","70,897,000","82,655,000","68,069,000","71,788,000","67,630,000","70,536,000","62,593,000","60,034,000","50,934,000","44,544,000","50,661,000","42,692,000","34,838,000","30,132,000","29,632,000","23,443,000","24,149,000"
	SellingGeneralAndAdministration,"2,334,691,000","675,666,000","599,384,000","545,003,000","514,638,000","585,778,000","553,549,000","479,906,000","552,701,000","607,454,000","550,978,000","565,803,000","509,528,000","587,446,000","527,640,000","552,619,000","514,634,000","590,839,000","498,172,000","503,031,000","497,887,000","419,804,000","499,314,000","458,269,000","445,753,000","384,088,000","415,763,000","347,152,000","349,997,000","299,965,000","319,194,000","265,258,000","273,834,000","251,886,000","229,306,000","187,321,000","203,059,000","172,643,000","189,411,000","157,747,000","150,801,000","152,603,000","150,136,000","123,421,000","123,909,000","120,388,000","110,683,000","93,034,000","94,047,000","87,208,000","86,992,000","70,897,000","82,655,000","68,069,000","71,788,000","67,630,000","70,536,000","62,593,000","60,708,000","50,934,000","44,544,000","50,661,000","42,692,000","34,838,000","30,132,000","29,632,000","23,443,000","24,149,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-674,000",,,,,,,,,
OperatingIncome,"526,808,000","100,267,000","188,720,000","123,818,000","114,003,000","107,844,000","132,771,000","-130,737,000","-121,717,000","74,073,000","138,920,000","-11,482,000","35,259,000","37,781,000","137,567,000","-26,035,000","8,819,000","-1,136,000","147,178,000","-4,785,000","7,536,000","163,900,000","199,310,000","19,378,000","34,883,000","177,582,000","171,397,000","31,901,000","27,667,000","146,299,000","146,106,000","34,694,000","26,856,000","98,467,000","120,829,000","32,310,000","13,492,000","81,592,000","90,980,000","11,720,000","24,403,000","55,302,000","74,965,000","11,358,000","21,142,000","35,190,000","56,689,000","6,892,000","13,584,000","26,933,000","47,063,000","3,381,000","7,896,000","22,873,000","46,479,000","3,274,000","4,299,000","28,254,000","34,483,000","8,165,000","16,037,000","17,745,000","21,983,000","3,369,000","14,180,000","12,864,000","7,675,000","9,668,000"
NetNonOperatingInterestIncomeExpense,"-44,300,000","-7,595,000","-9,261,000","-13,307,000","-14,137,000","-15,008,000","-14,955,000","-11,336,000","-5,960,000","-5,359,000","-5,655,000","-5,988,000","-4,238,000","-7,302,000","-9,151,000","-8,552,000","-8,564,000","-9,301,000","-9,575,000","-7,841,000","-7,820,000","-7,958,000","-8,189,000","-5,754,000","-4,532,000","-4,056,000","-4,100,000","-4,262,000","-2,210,000","-1,727,000","-1,535,000","-1,227,000","-846,000","-806,000","-691,000","-711,000","-725,000","-1,205,000","-1,303,000","-1,320,000","-1,355,000","-1,413,000","-1,552,000","-297,000","-579,000","-590,000","-542,000","-580,000","-546,000","-435,000","-466,000","-583,000","-860,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,"14,137,000","15,008,000","14,955,000","11,336,000","5,960,000","5,359,000","5,655,000","5,988,000","4,238,000","7,302,000","9,151,000","8,552,000","8,564,000","9,301,000","9,575,000","7,841,000","7,820,000","7,958,000","8,189,000","5,754,000","4,532,000","4,056,000","4,100,000","4,262,000","2,210,000","1,727,000","1,535,000","1,227,000","846,000","806,000","691,000","711,000","725,000","1,205,000","1,303,000","1,320,000","1,355,000","1,413,000","1,552,000","297,000","579,000","590,000","542,000",,"546,000","435,000","466,000","583,000","860,000",,,,,,,,,,,,,,,
