name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"1,290,767,000","348,208,000","329,770,000","311,348,000","301,441,000","302,384,000","310,044,000","307,256,000","321,481,000","304,818,000","295,394,000","281,308,000","270,673,000","267,667,000","266,144,000","259,743,000","253,305,000","252,880,000","251,091,000","247,979,000","243,841,000","243,008,000","243,252,000","238,786,000","234,815,000","237,605,000","221,418,000","215,862,000","219,753,000","209,549,000","206,752,000","203,706,000","198,039,000","186,286,000","193,586,000","191,830,000","187,224,000","186,419,000","186,321,000","180,698,000","175,925,000","174,386,000","192,549,000","179,622,000","169,056,000","174,769,000","161,990,000","155,977,000","154,949,000","153,795,000","151,938,000","155,801,000","155,639,000","152,879,000","157,089,000","148,158,000","131,083,000","-36,346,000","183,437,000","178,928,000","181,622,000","180,674,000","178,881,000","174,981,000","177,988,000","181,484,000","174,833,000","169,466,000","184,305,000","149,448,000","155,943,000","157,816,000","155,269,000","153,337,000","152,464,000","149,312,000","151,620,000","155,700,000","148,963,000","147,794,000","159,289,000","158,262,000","154,177,000","151,584,000","153,952,000","153,872,000","156,028,000","157,124,000","155,127,000","122,891,000","156,200,000","187,100,000","154,400,000","112,700,000","124,100,000","140,000,000","104,900,000","89,995,000","108,600,000","96,800,000","92,400,000","65,419,000","64,800,000","57,500,000","56,200,000","46,340,000","50,500,000","52,700,000","45,700,000","105,000,000","14,800,000","11,200,000","9,700,000","8,700,000","8,200,000","7,700,000","7,500,000","-24,900,000","16,500,000","15,700,000","5,500,000","14,200,000","13,000,000","12,300,000","11,900,000","11,500,000","11,700,000","10,900,000","10,500,000","10,400,000","9,600,000","10,000,000","10,100,000","8,800,000","8,400,000","5,000,000","4,500,000","6,700,000","6,400,000","6,300,000","6,100,000","7,400,000","5,600,000","5,500,000","5,300,000","5,400,000","5,000,000"
	OperatingRevenue,"1,290,767,000","348,208,000","329,770,000","311,348,000","301,441,000","302,384,000","310,044,000","307,256,000","321,481,000","304,818,000","295,394,000","281,308,000","270,673,000","267,667,000","266,144,000","259,743,000","253,305,000","252,880,000","251,091,000","247,979,000","243,841,000","243,008,000","243,252,000","238,786,000","234,815,000","237,605,000","221,418,000","215,862,000","219,753,000","209,549,000","206,752,000","203,706,000","198,039,000","186,286,000","193,586,000","191,830,000","187,224,000","170,984,000","186,321,000","180,698,000","175,925,000","174,386,000","192,549,000","179,622,000","169,056,000","182,340,000","159,795,000","155,977,000","154,949,000","153,795,000","151,938,000","155,801,000","155,639,000","179,908,000","146,291,000","148,158,000","131,083,000","-36,346,000","183,437,000","178,928,000","181,622,000","180,674,000","178,881,000","174,981,000","177,988,000","181,484,000","174,833,000","169,466,000","184,305,000","149,448,000","155,943,000","157,816,000","155,269,000","153,337,000","152,464,000","149,312,000","151,620,000","155,700,000","148,963,000","147,794,000","160,448,000","183,010,000","154,177,000","151,584,000","158,054,000","134,150,000","156,028,000","163,052,000","157,660,000","122,891,000","156,200,000","187,100,000","154,400,000","112,700,000","124,100,000","140,000,000","104,900,000","102,700,000","108,600,000","96,800,000","92,400,000","69,700,000","64,800,000","57,500,000","56,200,000","53,100,000","50,500,000","52,700,000","45,700,000","105,000,000","14,800,000","11,200,000","9,700,000","8,700,000","8,200,000","7,700,000","7,500,000","-24,900,000","16,500,000","15,700,000","5,500,000","14,200,000","13,000,000","12,300,000","11,900,000","11,500,000","11,700,000","10,900,000","10,500,000","10,400,000","9,600,000","10,000,000","10,100,000","8,800,000","8,400,000","5,000,000","4,500,000","6,700,000","6,400,000","6,300,000","6,100,000","7,400,000","5,600,000","5,500,000","5,300,000","5,400,000","5,000,000"
CostOfRevenue,"417,540,000","109,073,000","109,219,000","100,480,000","98,768,000","96,324,000","97,713,000","93,729,000","94,628,000","87,509,000","85,359,000","78,728,000","78,239,000","77,320,000","78,442,000","73,359,000","73,869,000","72,440,000","73,543,000","70,035,000","69,788,000","68,801,000","69,899,000","68,853,000","67,823,000","68,055,000","64,200,000","62,332,000","63,472,000","62,113,000","63,783,000","60,556,000","62,151,000","57,403,000","61,736,000","59,960,000","58,985,000","-65,025,000","64,470,000","62,022,000","61,420,000","59,492,000","66,719,000","63,848,000","63,806,000","64,364,000","62,856,000","59,357,000","59,261,000","333,968,000","57,421,000","56,403,000","57,200,000","58,457,000","56,603,000","49,860,000","46,511,000","-17,928,000","69,743,000","67,545,000","71,884,000","70,899,000","69,557,000","67,751,000","72,833,000","69,500,000","71,986,000","67,850,000","70,633,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"873,227,000","239,135,000","220,551,000","210,868,000","202,673,000","206,060,000","212,331,000","213,527,000","226,853,000","217,309,000","210,035,000","202,580,000","192,434,000","190,347,000","187,702,000","186,384,000","179,436,000","180,440,000","177,548,000","177,944,000","174,053,000","174,207,000","173,353,000","169,933,000","166,992,000","169,550,000","157,218,000","153,530,000","156,281,000","147,436,000","142,969,000","143,150,000","135,888,000","128,883,000","131,850,000","131,870,000","128,239,000","251,444,000","121,851,000","118,676,000","114,505,000","114,894,000","125,830,000","115,774,000","105,250,000","110,405,000","99,134,000","96,620,000","95,688,000","-180,173,000","94,517,000","99,398,000","98,439,000","94,422,000","100,486,000","98,298,000","84,572,000","-18,418,000","113,694,000","111,383,000","109,738,000","109,775,000","109,324,000","107,230,000","105,155,000","111,984,000","102,847,000","101,616,000","113,672,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"737,563,000","201,351,000","185,813,000","177,544,000","172,855,000","174,999,000","182,216,000","182,951,000","186,648,000","171,211,000","152,267,000","142,691,000","139,940,000","130,272,000","132,013,000","130,459,000","130,483,000","132,567,000","130,000,000","130,548,000","128,041,000","126,223,000","127,397,000","126,644,000","128,867,000","134,780,000","116,476,000","113,385,000","110,012,000","113,087,000","109,885,000","110,288,000","108,878,000","108,442,000","103,829,000","103,129,000","100,775,000","223,538,000","100,790,000","100,663,000","98,204,000","103,599,000","109,877,000","106,555,000","93,579,000","93,793,000","88,787,000","85,246,000","83,005,000","-194,301,000","79,477,000","79,690,000","74,417,000","60,516,000","77,359,000","73,382,000","63,133,000","13,763,000","74,382,000","74,630,000","74,367,000","75,167,000","69,457,000","65,586,000","64,865,000","64,630,000","58,410,000","56,976,000","67,850,000","112,255,000","119,241,000","113,505,000","112,620,000","112,103,000","111,772,000","105,009,000","107,568,000","108,599,000","103,603,000","100,190,000","113,724,000","98,886,000","102,954,000","102,019,000","105,562,000","101,975,000","106,729,000","109,755,000","98,932,000","686,464,000","-93,600,000","-101,800,000","-91,800,000","547,523,000","-80,500,000","-75,700,000","-62,700,000","429,978,000","-64,300,000","-60,500,000","-54,300,000","270,550,000","-40,200,000","-36,600,000","-34,600,000","209,881,000","-32,100,000","-29,400,000","-27,900,000","93,807,000","-200,000","-200,000","-200,000","-200,000","-100,000","-100,000","-100,000","29,400,000","-11,100,000","-10,400,000","-100,000","-5,800,000","-8,800,000","-8,300,000","-7,600,000","-4,600,000","-7,500,000","-6,900,000","-6,700,000","-3,800,000","-6,000,000","-5,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"96,081,000","24,279,000","25,671,000","24,400,000","21,731,000","20,637,000","20,837,000","19,768,000","24,181,000","23,234,000","20,506,000","20,344,000","20,170,000","18,235,000","19,136,000","19,430,000","18,647,000","18,468,000","19,294,000","18,162,000","19,710,000","19,859,000","18,433,000","17,329,000","20,223,000","24,438,000","21,812,000","19,572,000","17,846,000","17,390,000","17,152,000","18,057,000","17,339,000","16,569,000","16,600,000","15,053,000","14,544,000","137,526,000","10,022,000","13,738,000","9,379,000","10,403,000","11,919,000","12,918,000","10,675,000","10,783,000","11,994,000","10,212,000","9,575,000","12,015,000","8,924,000","9,145,000","9,855,000","17,644,000","9,835,000","9,931,000","9,769,000","11,416,000","8,720,000","9,604,000","9,826,000","10,217,000","7,381,000","6,837,000","6,764,000","7,997,000","4,913,000","4,909,000","7,000,000","11,094,000","9,421,000","10,249,000","10,322,000","10,317,000","11,184,000","10,833,000","11,019,000","9,781,000","8,742,000","9,754,000","13,357,000","13,278,000","10,248,000","11,181,000","10,338,000","10,271,000","13,387,000","9,763,000","9,793,000","29,760,000","3,100,000","2,800,000","3,500,000","2,839,000","2,500,000","2,500,000","2,200,000","1,775,000","1,600,000","1,800,000","1,800,000","1,218,000","1,300,000","1,500,000","1,400,000","1,065,000","1,000,000","1,500,000","1,200,000","1,321,000","1,100,000","1,100,000","1,500,000","700,000","800,000","900,000","800,000","500,000","500,000","600,000","500,000","500,000","500,000","400,000","500,000","400,000","400,000","600,000","400,000","400,000","300,000","400,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"96,081,000","24,279,000","25,671,000","24,400,000","21,731,000","20,637,000","20,837,000","19,768,000","24,181,000","23,234,000","20,506,000","20,344,000","20,170,000","18,235,000","19,136,000","19,430,000","18,647,000","18,468,000","19,294,000","18,162,000","19,710,000","19,859,000","18,433,000","17,329,000","20,223,000","24,438,000","21,812,000","19,572,000","17,846,000","17,390,000","17,152,000","18,057,000","17,339,000","16,569,000","16,600,000","15,053,000","14,544,000","11,841,000",,,"30,814,000",,"23,411,000","24,617,000","23,320,000",,"32,713,000",,,,,,,,,,,,,,,,,,,,,,,"11,094,000","9,421,000","10,249,000","10,322,000","10,317,000","11,184,000","10,833,000","11,019,000","9,781,000","8,742,000","9,754,000","13,357,000","13,278,000","10,248,000","11,181,000","10,338,000","10,271,000","13,387,000","9,763,000","9,793,000","29,760,000","3,100,000","2,800,000","3,500,000","2,839,000","2,500,000","2,500,000","2,200,000","1,775,000","1,600,000","1,800,000","1,800,000","1,218,000","1,300,000","1,500,000","1,400,000","1,065,000","1,000,000","1,500,000","1,200,000","1,321,000","1,100,000","1,100,000","1,500,000","700,000","800,000","900,000","800,000","500,000","500,000","600,000","500,000","500,000","500,000","400,000","500,000","400,000","400,000","600,000","400,000","400,000","300,000","400,000",,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,509,000",,"14,575,000","15,439,000","14,821,000",,"14,787,000",,,,,,,,,,,,,,,,,,,,,,,"-10,205,000","9,421,000","10,249,000","10,322,000","-25,529,000","16,296,000","5,144,000","5,449,000","-24,725,000","15,774,000","4,893,000","7,244,000","-10,037,000","20,696,000","26,095,000","26,388,000","32,722,000","23,577,000","9,763,000","9,793,000","4,400,000","3,100,000","2,800,000","3,500,000","2,800,000","2,500,000","2,500,000","2,200,000","1,800,000","1,600,000","1,800,000","1,800,000","1,200,000","1,300,000","1,500,000","1,400,000","1,000,000","1,000,000","1,500,000","1,200,000","1,300,000","1,100,000","1,100,000","1,500,000","700,000","800,000","900,000","800,000","500,000","500,000","600,000","500,000","500,000","500,000","400,000","500,000","400,000","400,000","600,000","400,000","400,000","300,000","400,000",,,,,,,,,,,,,,,
			OtherGandA,"96,081,000","24,279,000","25,671,000","24,400,000","21,731,000","20,637,000","20,837,000","19,768,000","24,181,000","23,234,000","20,506,000","20,344,000","20,170,000","18,235,000","19,136,000","19,430,000","18,647,000","18,468,000","19,294,000","18,162,000","19,710,000","19,859,000","18,433,000","17,329,000","20,223,000","24,438,000","21,812,000","19,572,000","17,846,000","17,390,000","17,152,000","18,057,000","17,339,000","16,569,000","16,600,000","15,053,000","14,544,000","11,841,000",,,"17,305,000",,"8,836,000","9,178,000","8,499,000",,"17,926,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"35,846,000","-5,112,000","5,689,000","5,570,000","34,506,000","-7,032,000","4,861,000","6,113,000",,"-10,448,000","-14,914,000","-16,050,000",,"-10,190,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"619,833,000","168,468,000","155,905,000","148,771,000","146,689,000","148,209,000","155,836,000","157,083,000","157,501,000","145,177,000","129,010,000","119,612,000","114,124,000","108,085,000","109,563,000","108,204,000","109,827,000","111,049,000","108,756,000","110,017,000","106,640,000","103,995,000","107,328,000","107,423,000","106,892,000","106,808,000","92,025,000","92,044,000","90,400,000","93,523,000","90,724,000","90,069,000","89,613,000","89,974,000","85,442,000","86,269,000","84,588,000","84,548,000","89,301,000","85,491,000","88,825,000","91,746,000","96,419,000","92,093,000","82,904,000","83,010,000","76,793,000","75,034,000","73,430,000","-206,316,000","70,553,000","70,545,000","70,379,000","73,344,000","66,691,000","63,451,000","53,364,000","2,347,000","65,662,000","65,026,000","64,541,000","64,950,000","62,076,000","58,749,000","58,101,000","56,756,000","53,497,000","52,049,000","52,386,000","46,324,000","44,654,000","43,974,000","42,867,000","43,843,000","41,865,000","39,709,000","40,065,000","41,543,000","40,101,000","38,393,000","40,387,000","38,308,000","36,873,000","38,867,000","41,279,000","42,056,000","37,349,000","45,304,000","35,107,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
