name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,642,117,000","3,275,251,000","3,155,999,000","3,197,880,000","3,012,987,000","3,086,935,000","2,912,541,000","2,729,754,000","2,829,667,000","2,896,247,000","2,822,453,000","2,855,168,000","2,804,391,000","2,754,496,000","2,648,913,000","2,681,353,000","2,687,516,000","2,642,787,000","2,541,864,000","2,612,356,000","2,612,858,000","2,475,685,000","2,409,872,000","2,430,855,000","2,449,798,000","2,315,239,000","2,227,655,000","2,275,204,000","2,225,353,000","2,107,581,000","2,017,758,000","2,019,821,000","1,920,166,000","1,800,846,000","1,816,369,000","1,834,975,000","1,831,632,000","1,764,927,000","1,680,353,000","1,729,803,000","1,825,289,000","1,838,774,000","1,848,662,000","1,902,234,000","1,910,528,000","1,559,453,000","1,323,264,000","1,338,315,000","1,347,153,000","1,291,211,000","1,295,109,000","1,303,640,000","1,312,419,000","1,237,402,000","1,244,462,000","1,278,692,000","1,297,715,000","1,194,211,000","1,180,217,000","1,178,976,000","1,197,601,000","1,065,881,000","1,043,457,000","1,047,673,000","1,034,289,000","967,175,000","970,772,000","990,888,000","1,090,981,000","889,288,000","1,012,868,000","1,018,700,000","1,035,482,000","949,472,000","896,332,000","902,954,000","897,808,000","835,478,000","813,104,000","805,945,000","804,371,000","724,162,000","720,784,000","718,596,000","676,949,000","614,822,000","561,790,000","524,828,000","541,004,000","519,400,000","489,800,000","513,100,000","520,100,000","480,700,000","456,100,000","474,600,000","463,100,000","396,300,000","362,400,000","343,800,000","340,200,000","328,100,000","303,500,000","287,000,000","271,600,000","262,100,000","234,100,000","214,200,000","220,700,000","204,100,000","191,500,000","192,200,000","194,400,000","192,400,000","186,300,000","187,500,000","195,300,000","181,000,000","173,700,000","174,400,000","202,000,000","174,000,000","166,400,000","168,700,000","178,800,000","158,900,000","150,100,000","151,500,000","166,500,000","146,500,000","140,200,000","147,000,000","153,500,000","137,000,000","133,900,000","137,200,000","145,900,000","388,200,000","129,000,000","128,900,000","128,900,000","175,600,000","158,200,000","166,500,000","166,500,000","219,900,000","92,600,000"
	OperatingRevenue,"12,642,117,000","3,275,251,000","3,155,999,000","3,197,880,000","3,012,987,000","3,086,935,000","2,912,541,000","2,729,754,000","2,829,667,000","2,896,247,000","2,822,453,000","2,855,168,000","2,804,391,000","2,754,496,000","2,648,913,000","2,681,353,000","2,687,516,000","2,849,971,000","2,775,790,000","2,827,709,000","2,825,472,000","2,638,436,000","2,610,911,000","2,638,848,000","2,619,593,000","2,512,872,000","2,439,071,000","2,452,680,000","2,380,101,000","2,264,629,000","2,175,554,000","2,195,776,000","2,128,350,000","2,116,288,000","2,134,740,000","2,081,662,000","2,078,348,000","1,969,395,000","1,869,263,000","1,914,463,000","1,977,003,000","1,838,774,000","1,848,662,000","1,902,234,000","1,910,528,000","1,559,453,000","1,323,264,000","1,338,315,000","1,347,153,000","1,291,211,000","1,295,109,000","1,303,640,000","1,312,419,000","1,237,402,000","1,244,462,000","1,278,692,000","1,297,715,000","1,194,211,000","1,180,217,000","1,178,976,000","1,197,601,000","1,065,881,000","1,043,457,000","1,047,673,000","1,034,289,000","967,175,000","970,772,000","990,888,000","1,090,981,000","889,288,000","1,012,868,000","1,018,700,000","1,035,482,000","949,472,000","896,332,000","902,954,000","894,808,000","835,478,000","813,104,000","805,945,000","804,371,000","724,162,000","720,784,000","718,596,000","676,949,000","614,822,000","561,790,000","524,828,000","541,004,000","519,400,000","489,800,000","513,100,000","520,100,000","480,700,000","456,100,000","474,600,000","463,100,000","396,300,000","362,400,000","343,800,000","340,200,000","328,100,000","303,500,000","287,000,000","271,600,000","262,100,000","234,100,000","214,200,000","220,700,000","204,100,000","191,500,000","192,200,000","194,400,000","192,400,000","186,300,000","187,500,000","195,300,000","181,000,000","173,700,000","174,400,000","202,000,000","174,000,000","166,400,000","168,700,000","178,800,000","158,900,000","150,100,000","151,500,000","166,500,000","146,500,000","140,200,000","147,000,000","153,500,000","137,000,000","133,900,000","137,200,000","145,900,000","388,200,000","129,000,000","128,900,000","128,900,000","175,600,000","158,200,000","166,500,000","166,500,000","219,900,000","92,600,000"
CostOfRevenue,"1,427,134,000","374,157,000","367,834,000","338,033,000","347,110,000","351,324,000","335,409,000","283,572,000","317,827,000","324,090,000","313,936,000","305,857,000","307,463,000","300,791,000","285,201,000","289,733,000","292,929,000","284,854,000","268,089,000","274,539,000","277,614,000","263,872,000","257,793,000","254,422,000","255,250,000","252,109,000","242,259,000","240,979,000","238,741,000","233,413,000","222,708,000","223,774,000","215,798,000","207,108,000","206,995,000","202,344,000","204,642,000","204,697,000","191,747,000","198,100,000","209,532,000","1,057,437,000","1,048,635,000","205,594,000","1,053,034,000","897,209,000","752,766,000","0","762,742,000","740,150,000","729,896,000","718,361,000","715,264,000","170,231,000","170,743,000","713,355,000","732,277,000","687,998,000","673,259,000","667,825,000","686,351,000","617,931,000","606,043,000","559,570,000","570,745,000","536,033,000","513,065,000","534,021,000","587,559,000","489,959,000","553,817,000","554,087,000","566,094,000","353,300,000","333,321,000","333,172,000","324,647,000","247,917,000","323,331,000","302,153,000","295,404,000","270,755,000","262,233,000","262,855,000","240,274,000","225,783,000","206,903,000","193,212,000","190,849,000","219,200,000","201,700,000","204,700,000","203,100,000","184,600,000","192,100,000","195,100,000","181,000,000","161,900,000","147,300,000","136,300,000","129,700,000","128,000,000","118,100,000","109,600,000","102,300,000","100,400,000","92,000,000","84,100,000","84,500,000","-179,000,000","161,000,000","158,700,000","157,400,000","165,400,000","158,500,000","157,900,000","162,100,000","154,600,000","148,200,000","144,500,000","148,700,000","154,200,000","142,000,000","139,300,000","144,900,000","142,000,000","132,600,000","130,800,000",,,,,,,,,,,,,,,,,,,
GrossProfit,"11,214,983,000","2,901,094,000","2,788,165,000","2,859,847,000","2,665,877,000","2,735,611,000","2,577,132,000","2,446,182,000","2,511,840,000","2,572,157,000","2,508,517,000","2,549,311,000","2,496,928,000","2,453,705,000","2,363,712,000","2,391,620,000","2,394,587,000","2,357,933,000","2,273,775,000","2,337,817,000","2,335,244,000","2,211,813,000","2,152,079,000","2,176,433,000","2,194,548,000","2,063,130,000","1,985,396,000","2,034,225,000","1,986,612,000","1,874,168,000","1,795,050,000","1,796,047,000","1,704,368,000","1,593,738,000","1,609,374,000","1,632,631,000","1,626,990,000","1,560,230,000","1,488,606,000","1,531,703,000","1,615,757,000","781,337,000","800,027,000","1,696,640,000","857,494,000","662,244,000","570,498,000","1,338,315,000","584,411,000","551,061,000","565,213,000","585,279,000","597,155,000","1,067,171,000","1,073,719,000","565,337,000","565,438,000","506,213,000","506,958,000","511,151,000","511,250,000","447,950,000","437,414,000","488,103,000","463,544,000","431,142,000","457,707,000","456,867,000","503,422,000","399,329,000","459,051,000","464,613,000","469,388,000","596,172,000","563,011,000","569,782,000","573,161,000","587,561,000","489,773,000","503,792,000","508,967,000","453,407,000","458,551,000","455,741,000","436,675,000","389,039,000","354,887,000","331,616,000","350,155,000","300,200,000","288,100,000","308,400,000","317,000,000","296,100,000","264,000,000","279,500,000","282,100,000","234,400,000","215,100,000","207,500,000","210,500,000","200,100,000","185,400,000","177,400,000","169,300,000","161,700,000","142,100,000","130,100,000","136,200,000","383,100,000","30,500,000","33,500,000","37,000,000","27,000,000","27,800,000","29,600,000","33,200,000","26,400,000","25,500,000","29,900,000","53,300,000","19,800,000","24,400,000","29,400,000","33,900,000","16,900,000","17,500,000","20,700,000",,,,,,,,,,,,,,,,,,,
OperatingExpense,"9,851,889,000","2,587,445,000","2,473,357,000","2,420,879,000","2,370,208,000","2,321,652,000","2,227,462,000","2,088,151,000","2,275,146,000","2,231,178,000","2,319,588,000","2,203,748,000","2,156,491,000","2,193,883,000","2,106,548,000","2,067,158,000","2,060,773,000","2,019,189,000","2,016,465,000","2,007,626,000","1,981,311,000","1,902,922,000","1,874,510,000","1,843,145,000","1,838,224,000","1,755,402,000","1,710,595,000","1,700,228,000","1,659,558,000","1,575,755,000","1,583,693,000","1,504,789,000","1,433,822,000","1,384,218,000","1,407,636,000","1,328,660,000","1,387,780,000","1,303,253,000","1,301,275,000","1,301,371,000","1,346,729,000","572,387,000","604,499,000","1,464,403,000","597,081,000","531,528,000","465,814,000","1,208,566,000","443,863,000","432,199,000","463,336,000","422,236,000","460,405,000","978,939,000","991,225,000","451,806,000","438,407,000","417,622,000","440,453,000","403,143,000","404,084,000","376,113,000","366,921,000","392,338,000","378,370,000","368,154,000","385,093,000","383,461,000","392,383,000","323,139,000","381,344,000","372,653,000","380,812,000","511,057,000","476,521,000","470,524,000","471,560,000","507,027,000","410,724,000","420,630,000","422,199,000","389,925,000","397,378,000","390,674,000","365,944,000","338,605,000","309,549,000","284,630,000","295,436,000","265,800,000","265,500,000","262,100,000","258,800,000","256,000,000","235,100,000","237,200,000","234,200,000","206,300,000","188,700,000","175,700,000","171,500,000","171,500,000","162,600,000","152,200,000","140,500,000","137,300,000","127,500,000","114,200,000","115,300,000","374,300,000","19,400,000","18,800,000","18,400,000","20,500,000","18,300,000","17,700,000","17,400,000","18,600,000","17,200,000","16,900,000","30,400,000","18,000,000","17,400,000","17,000,000","17,000,000","9,800,000","9,700,000","9,500,000",,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,282,807,000","1,651,803,000","1,584,823,000","1,517,084,000","1,529,097,000","1,497,162,000","1,434,836,000","1,336,196,000","1,460,962,000","1,459,129,000","1,435,886,000","1,410,016,000","1,391,671,000","1,357,866,000","1,342,820,000","1,333,093,000","1,326,851,000","1,280,565,000","1,277,725,000","1,262,321,000","1,263,153,000","1,180,996,000","1,173,528,000","1,155,739,000","1,172,591,000","1,103,736,000","1,081,770,000","1,067,260,000","1,054,594,000","1,017,930,000","977,443,000","985,378,000","958,703,000","926,885,000","927,116,000","921,416,000","926,961,000","899,844,000","861,556,000","880,881,000","913,368,000","22,182,000","23,076,000","875,417,000","23,168,000","75,633,000","18,429,000","581,737,000","17,934,000","18,035,000","17,253,000","17,587,000","17,072,000","549,528,000","548,458,000","403,797,000","391,037,000","369,758,000","393,905,000","357,737,000","360,621,000","332,779,000","325,960,000","351,969,000","339,340,000","328,912,000","346,541,000","345,473,000","348,774,000","289,351,000","338,451,000","332,334,000","341,434,000","472,440,000","440,722,000","435,011,000","437,023,000","472,677,000","380,588,000","389,730,000","392,791,000","357,032,000","364,791,000","358,426,000","336,149,000","310,074,000","281,074,000","256,471,000","267,792,000","238,400,000","238,800,000","234,900,000","231,800,000","228,500,000","207,900,000","210,900,000","209,800,000","184,500,000","168,600,000","155,900,000","152,500,000","150,300,000","143,400,000","135,500,000","125,700,000","122,200,000","114,200,000","102,500,000","104,000,000","363,000,000","8,500,000","8,500,000","8,500,000","9,100,000","8,400,000","8,500,000","8,300,000","8,900,000","8,500,000","8,100,000","8,500,000","8,700,000","8,600,000","8,600,000","8,500,000",,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"6,282,807,000","1,651,803,000","1,584,823,000","1,517,084,000","1,529,097,000","1,497,162,000","1,434,836,000","1,336,196,000","1,460,962,000","1,459,129,000","1,435,886,000","1,410,016,000","1,391,671,000","1,357,866,000","1,342,820,000","1,333,093,000","1,326,851,000","1,280,565,000","1,277,725,000","1,262,321,000","1,263,153,000","1,180,996,000","1,173,528,000","1,155,739,000","1,172,591,000","1,103,736,000","1,081,770,000","1,067,260,000","1,054,594,000","1,017,930,000","977,443,000","985,378,000","958,703,000","926,885,000","927,116,000","921,416,000","926,961,000","899,844,000","861,556,000","880,881,000","913,368,000","22,182,000","23,076,000","875,417,000","23,168,000","75,633,000","18,429,000","581,737,000","17,934,000","18,035,000","17,253,000","17,587,000","17,072,000","549,528,000","548,458,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"6,163,944,000","1,621,788,000","1,556,448,000","1,487,935,000","1,497,773,000","1,466,070,000","1,406,348,000","1,308,010,000","1,432,669,000","1,431,640,000","1,408,226,000","1,383,481,000","1,365,546,000","1,331,704,000","1,316,710,000","1,305,974,000","1,300,148,000","1,254,851,000","1,251,528,000","1,236,294,000","1,237,964,000","1,156,729,000","1,149,729,000","1,130,933,000","1,148,139,000","1,079,394,000","1,057,226,000","1,044,064,000","1,031,703,000","994,593,000","953,583,000","961,920,000","935,365,000","901,778,000","903,212,000","897,334,000","902,296,000","875,865,000","838,075,000","856,878,000","889,506,000",,,"852,078,000",,,,"563,552,000",,,,,,"532,667,000","530,858,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"118,863,000","30,015,000","28,375,000","29,149,000","31,324,000","31,092,000","28,488,000","28,186,000","28,293,000","27,489,000","27,660,000","26,535,000","26,125,000","26,162,000","26,110,000","27,119,000","26,703,000","25,714,000","26,197,000","26,027,000","25,189,000","24,267,000","23,799,000","24,806,000","24,452,000","24,342,000","24,544,000","23,196,000","22,891,000","23,337,000","23,860,000","23,458,000","23,338,000","25,107,000","23,904,000","24,082,000","24,665,000","23,979,000","23,481,000","24,003,000","23,862,000","22,182,000","23,076,000","23,339,000","23,168,000","22,413,000","18,429,000","18,185,000","17,934,000","18,035,000","17,253,000","17,587,000","17,072,000","16,861,000","17,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"533,213,000","133,363,000","134,462,000","133,985,000","131,403,000","133,930,000","125,961,000","126,208,000","124,394,000","127,656,000","121,528,000","121,168,000","120,040,000","118,075,000","112,286,000","109,581,000","113,103,000","113,638,000","110,217,000","113,112,000","110,798,000","107,436,000","103,712,000","101,411,000","104,049,000","102,921,000","99,442,000","97,257,000","98,998,000","98,118,000","93,456,000","90,691,000","93,359,000","88,707,000","86,971,000","81,682,000","79,812,000","80,619,000","77,032,000","73,078,000","73,820,000","75,477,000","75,166,000","73,234,000","71,351,000","60,849,000","55,530,000","54,025,000","53,511,000","51,279,000","51,205,000","51,085,000","51,134,000","51,091,000","48,465,000","48,009,000","47,370,000","47,864,000","46,548,000","45,406,000","43,463,000","43,334,000","40,961,000","40,369,000","39,030,000","39,242,000","38,552,000","37,988,000","43,609,000","33,788,000","42,893,000","40,319,000","39,378,000","38,617,000","35,799,000","35,513,000","34,537,000","34,350,000","30,136,000","30,900,000","29,408,000","32,893,000","32,587,000","32,248,000","29,795,000","28,531,000","28,475,000","28,159,000","27,644,000","27,400,000","26,700,000","27,200,000","27,000,000","27,500,000","27,200,000","26,300,000","24,400,000","21,800,000","20,100,000","19,800,000","19,000,000","21,200,000","19,200,000","16,700,000","14,800,000","15,100,000","13,300,000","11,700,000","11,300,000","11,300,000","10,900,000","10,300,000","9,900,000","11,400,000","9,900,000","9,200,000","9,100,000","9,700,000","8,700,000","8,800,000","21,900,000","9,300,000","8,800,000","8,400,000","8,500,000","9,800,000","9,700,000","9,500,000",,,,,,,,,,,,,,,,,,,
