name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005
TotalRevenue,"8,630,889,000","2,729,388,000","1,995,775,000","1,967,207,000","1,938,519,000","2,198,701,000","1,552,033,000","1,228,009,000","1,173,210,000","2,305,918,000","1,682,514,000","1,666,607,000","1,743,029,000","2,124,716,000","1,560,011,000","1,488,221,000","1,543,667,000","1,937,592,000","1,342,181,000","1,289,854,000","1,314,879,000","1,580,574,000","1,131,232,000","1,069,215,000","1,073,716,000","1,268,295,000","910,700,000","876,999,000","868,122,000","1,047,641,000","745,722,000","734,236,000","713,770,000","868,082,000","618,781,000","600,998,000","582,712,000","758,835,000","505,640,000","481,683,000","474,098,000","582,511,000","413,067,000","394,567,000","386,006,000","473,659,000","339,179,000","321,804,000","320,196,000","396,364,000","284,043,000","273,539,000","268,825,000","341,394,000","254,843,000","249,111,000","239,298,000","309,344,000","208,235,000","200,449,000","194,113,000","216,543,000","216,544,000","162,558,000","159,468,000","144,768,000","144,769,000","144,769,000","144,769,000"
	OperatingRevenue,"8,630,889,000","2,729,388,000","1,995,775,000","1,967,207,000","1,938,519,000","2,198,701,000","1,552,033,000","1,228,009,000","1,173,210,000","2,305,918,000","1,682,514,000","1,666,607,000","1,743,029,000","2,124,716,000","1,560,011,000","1,488,221,000","1,543,667,000","1,937,592,000","1,342,181,000","1,289,854,000","1,314,879,000","1,580,574,000","1,131,232,000","1,069,215,000","1,073,716,000","1,268,295,000","910,700,000","876,999,000","868,122,000","1,047,641,000","745,722,000","734,236,000","713,770,000","868,082,000","618,781,000","600,998,000","582,712,000","758,835,000","505,640,000","481,683,000","474,098,000","582,511,000","413,067,000","394,567,000","386,006,000","473,659,000","339,179,000","321,804,000","320,196,000","396,364,000","284,043,000","273,539,000","268,825,000","341,394,000","254,843,000","249,111,000","239,298,000","309,344,000","208,235,000","200,449,000","194,113,000","216,543,000","216,544,000","162,558,000","159,468,000","144,768,000","144,769,000","144,769,000","144,769,000"
CostOfRevenue,"5,262,335,000","1,702,059,000","1,206,301,000","1,169,244,000","1,184,731,000","1,427,673,000","1,006,514,000","899,002,000","869,605,000","1,499,033,000","1,059,081,000","1,060,708,000","1,098,182,000","1,383,857,000","987,733,000","952,760,000","982,954,000","1,279,245,000","849,053,000","820,528,000","838,871,000","1,035,666,000","704,179,000","684,377,000","683,286,000","829,259,000","575,062,000","570,524,000","564,938,000","697,904,000","463,967,000","474,894,000","467,817,000","574,521,000","387,120,000","388,921,000","378,763,000","499,191,000","320,147,000","314,058,000","303,186,000","384,046,000","263,884,000","260,280,000","251,101,000","316,973,000","220,273,000","217,846,000","215,661,000","271,714,000","193,498,000","195,028,000","189,482,000","240,002,000","175,368,000","175,965,000","165,377,000","212,322,000","140,156,000","141,417,000","134,600,000",,,,,,,,
GrossProfit,"3,368,554,000","1,027,329,000","789,474,000","797,963,000","753,788,000","771,028,000","545,519,000","329,007,000","303,605,000","806,885,000","623,433,000","605,899,000","644,847,000","740,859,000","572,278,000","535,461,000","560,713,000","658,347,000","493,128,000","469,326,000","476,008,000","544,908,000","427,053,000","384,838,000","390,430,000","439,036,000","335,638,000","306,475,000","303,184,000","349,737,000","281,755,000","259,342,000","245,953,000","293,561,000","231,661,000","212,077,000","203,949,000","259,644,000","185,493,000","167,625,000","170,912,000","198,465,000","149,183,000","134,287,000","134,905,000","156,686,000","118,906,000","103,958,000","104,535,000","124,650,000","90,545,000","78,511,000","79,343,000","101,392,000","79,475,000","73,146,000","73,921,000","97,022,000","68,079,000","59,032,000","59,513,000",,,,,,,,
OperatingExpense,"2,071,062,000","651,707,000","505,235,000","465,656,000","448,464,000","516,358,000","420,618,000","275,494,000","385,547,000","519,129,000","455,653,000","397,881,000","407,307,000","459,649,000","403,065,000","341,646,000","350,871,000","403,928,000","330,461,000","289,526,000","287,603,000","320,678,000","287,392,000","241,069,000","243,266,000","269,550,000","224,869,000","188,015,000","195,602,000","212,270,000","187,667,000","161,363,000","165,072,000","179,423,000","158,774,000","139,209,000","136,254,000","155,878,000","124,186,000","110,166,000","113,466,000","125,218,000","104,955,000","94,627,000","95,845,000","107,682,000","94,614,000","81,702,000","81,203,000","90,378,000","75,854,000","68,275,000","70,389,000","79,988,000","69,869,000","65,939,000","65,837,000","73,082,000","60,103,000","54,102,000","49,638,000",,,,,,,,
	SellingGeneralAndAdministration,"2,061,545,000","649,968,000","503,403,000","464,299,000","443,875,000","514,140,000","416,378,000","271,587,000","380,912,000","515,542,000","449,198,000","392,843,000","403,133,000","457,245,000","395,453,000","337,142,000","345,624,000","399,631,000","320,729,000","283,427,000","283,445,000","316,266,000","280,464,000","236,380,000","240,724,000","268,169,000","218,763,000","183,937,000","192,485,000","210,702,000","181,093,000","157,768,000","162,443,000","177,636,000","151,306,000","134,400,000","133,048,000","153,963,000","117,934,000","106,040,000","110,943,000","115,231,000","104,955,000","94,627,000","95,845,000","107,682,000","94,614,000","81,702,000","81,203,000","90,378,000","75,854,000","68,275,000","70,389,000","79,988,000","69,869,000","65,939,000","65,837,000","73,082,000","60,103,000","54,102,000","49,638,000",,,,,,,,
		GeneralAndAdministrativeExpense,,,"503,403,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"503,403,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"9,517,000","1,739,000","1,832,000","1,357,000","4,589,000","2,218,000","4,240,000","3,907,000","4,635,000","3,587,000","6,455,000","5,038,000","4,174,000","2,404,000","7,612,000","4,504,000","5,247,000","4,297,000","9,732,000","6,099,000","4,158,000","4,412,000","6,928,000","4,689,000","2,542,000","1,381,000","6,106,000","4,078,000","3,117,000","1,568,000","6,574,000","3,595,000","2,629,000","1,787,000","7,468,000","4,809,000","3,206,000","1,915,000","6,252,000","4,126,000","2,523,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,297,492,000","375,622,000","284,239,000","332,307,000","305,324,000","254,670,000","124,901,000","53,513,000","-81,942,000","287,756,000","167,780,000","208,018,000","237,540,000","281,210,000","169,213,000","193,815,000","209,842,000","254,419,000","162,667,000","179,800,000","188,405,000","224,230,000","139,661,000","143,769,000","147,164,000","169,486,000","110,769,000","118,460,000","107,582,000","137,467,000","94,088,000","97,979,000","80,881,000","114,138,000","72,887,000","72,868,000","67,695,000","103,766,000","61,307,000","57,459,000","57,446,000","73,247,000","44,228,000","39,660,000","39,060,000","49,004,000","24,292,000","22,256,000","23,332,000","34,272,000","14,691,000","10,236,000","8,954,000","21,404,000","9,606,000","7,207,000","8,084,000","23,940,000","7,976,000","4,930,000","9,875,000","-498,482,000","216,544,000","162,558,000","159,468,000","-404,883,000","144,769,000","144,769,000","144,769,000"
