name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"285,273,000,000","72,930,000,000","71,834,000,000","70,765,000,000","69,744,000,000","65,022,000,000","64,764,000,000","61,797,000,000","64,056,000,000","60,468,000,000","59,885,000,000","60,013,000,000","59,903,000,000","58,076,000,000","56,174,000,000","55,731,000,000","54,890,000,000","51,763,000,000","50,075,000,000","49,797,000,000","48,501,000,000","47,274,000,000","46,102,000,000","46,292,000,000","44,344,000,000","43,419,000,000","41,319,000,000","36,049,000,000","35,610,000,000","33,267,000,000","32,587,000,000","32,324,000,000","31,517,000,000","30,933,000,000","30,461,000,000","30,213,000,000","30,137,000,000","28,584,000,000","27,157,000,000","27,087,000,000","27,110,000,000","25,774,000,000","25,110,000,000","25,074,000,000","25,250,000,000","23,421,000,000","23,668,000,000","23,264,000,000","23,193,000,000","21,784,000,000","21,695,000,000","21,655,000,000","22,004,000,000","19,683,000,000","20,156,000,000","20,272,000,000","20,304,000,000","18,705,000,000","18,679,000,000","19,000,000,000","19,047,000,000","17,257,000,000","17,970,000,000","17,863,000,000","17,586,000,000","11,546,000,000","11,322,000,000","11,111,000,000","10,887,000,000","10,123,000,000","9,859,000,000","8,704,000,000","8,144,000,000","7,266,000,000","7,238,000,000","7,087,000,000","6,975,000,000","6,682,000,000","6,247,000,000","6,078,000,000","6,013,000,000","6,020,000,000","5,941,000,000","5,813,000,000","5,680,000,000","5,434,000,000","5,369,000,000","5,220,000,000","5,099,000,000","4,992,000,000","4,903,000,000","4,858,000,000","4,809,000,000","4,645,000,000","4,360,000,000","4,235,000,000","4,115,000,000","3,053,500,000","2,958,900,000","2,930,500,000","2,851,111,000","2,676,139,000","2,587,358,000","2,492,183,000","2,318,110,000","2,193,562,000","1,215,536,000","1,157,945,000","1,103,835,000","968,982,000","956,800,000","939,500,000","697,500,000","713,000,000","634,900,000","513,700,000","474,600,000","388,400,000","367,100,000","351,000,000","335,300,000","260,200,000","220,800,000","186,700,000","179,400,000","168,500,000","156,800,000","150,200,000","129,900,000","107,900,000","105,300,000","102,800,000","96,000,000","77,100,000","120,900,000","118,700,000","117,200,000","108,600,000","111,600,000","111,100,000","104,200,000","70,000,000","56,300,000","49,000,000","37,600,000","32,100,000","27,800,000"
	OperatingRevenue,"285,273,000,000","72,930,000,000","71,834,000,000","70,765,000,000","69,744,000,000","65,022,000,000","64,764,000,000","61,797,000,000","64,056,000,000","60,468,000,000","59,885,000,000","60,013,000,000","59,903,000,000","58,076,000,000","56,174,000,000","55,731,000,000","54,890,000,000","51,763,000,000","50,075,000,000","49,797,000,000","48,501,000,000","47,274,000,000","46,102,000,000","46,292,000,000","44,344,000,000","43,419,000,000","41,319,000,000","36,049,000,000","35,610,000,000","33,267,000,000","32,587,000,000","32,324,000,000","31,517,000,000","30,933,000,000","30,461,000,000","30,213,000,000","30,137,000,000","28,584,000,000","27,157,000,000","27,087,000,000","27,110,000,000","25,774,000,000","25,110,000,000","25,074,000,000","25,250,000,000","23,879,000,000","23,532,000,000","23,115,000,000","23,020,000,000","21,643,000,000","21,555,000,000","21,502,000,000","21,846,000,000","20,345,000,000","20,013,000,000","20,032,000,000","20,304,000,000","18,705,000,000","18,679,000,000","19,000,000,000","19,047,000,000","17,257,000,000","17,970,000,000","17,863,000,000","17,586,000,000","11,546,000,000","11,322,000,000","11,111,000,000","10,887,000,000","10,123,000,000","9,859,000,000","8,704,000,000","8,144,000,000","7,266,000,000","7,238,000,000","7,087,000,000","6,975,000,000","6,682,000,000","6,247,000,000","6,078,000,000","6,013,000,000","6,020,000,000","5,941,000,000","5,813,000,000","5,680,000,000","5,461,000,000","5,369,000,000","5,220,000,000","5,099,000,000","4,992,000,000","4,903,000,000","4,858,000,000","4,809,000,000","4,645,000,000","4,360,000,000","4,235,000,000","4,115,000,000","3,053,500,000","2,958,900,000","2,930,500,000","2,851,111,000","2,676,139,000","2,587,358,000","2,492,183,000","2,318,110,000","2,193,562,000","1,215,536,000","1,157,945,000","1,103,835,000","969,000,000","956,800,000","939,500,000","697,500,000","713,000,000","634,900,000","513,700,000","474,600,000","388,400,000","367,100,000","351,000,000","335,300,000","260,200,000","220,800,000","186,700,000","179,400,000","168,500,000","156,800,000","150,200,000","129,900,000","107,900,000","105,300,000","102,800,000","96,000,000","77,100,000","120,900,000","118,700,000","117,200,000","108,600,000","111,600,000","111,100,000","104,200,000","70,000,000","56,300,000","49,000,000","37,600,000","32,100,000","27,800,000"
CostOfRevenue,"217,945,000,000","56,159,000,000","55,104,000,000","54,206,000,000","52,476,000,000","49,704,000,000","49,571,000,000","42,179,000,000","48,687,000,000","45,787,000,000","45,668,000,000","46,782,000,000","46,320,000,000","44,580,000,000","42,876,000,000","42,898,000,000","42,047,000,000","39,686,000,000","38,269,000,000","38,438,000,000","37,755,000,000","36,004,000,000","35,165,000,000","35,978,000,000","34,307,000,000","34,437,000,000","31,718,000,000","27,137,000,000","26,789,000,000","24,442,000,000","24,047,000,000","24,452,000,000","24,100,000,000","23,261,000,000","22,775,000,000","22,842,000,000","23,251,000,000","21,445,000,000","20,098,000,000","20,633,000,000","20,573,000,000","19,244,000,000","19,017,000,000","19,132,000,000","19,324,000,000","7,638,000,000","21,276,000,000","21,114,000,000","20,929,000,000","19,951,000,000","19,769,000,000","19,966,000,000","20,102,000,000","15,430,000,000","15,330,000,000","15,610,000,000","15,469,000,000","13,762,000,000","13,706,000,000","14,125,000,000","14,610,000,000","13,414,000,000","13,520,000,000","13,553,000,000","13,373,000,000","8,624,000,000","8,138,000,000","8,061,000,000","7,902,000,000","7,625,000,000","7,180,000,000","6,326,000,000","5,869,000,000","5,381,000,000","5,174,000,000","5,109,000,000","5,050,000,000","4,830,000,000","4,509,000,000","4,418,000,000","4,435,000,000","8,458,000,000","4,465,000,000","4,394,000,000","4,306,000,000","4,155,000,000","4,105,000,000","3,992,000,000","3,903,000,000",,,,,,,,,,,,,,,,,,,,,"685,607,000","675,700,000","652,400,000","475,700,000","454,900,000","451,000,000","352,700,000","321,800,000","248,700,000","245,800,000","235,800,000","228,900,000","170,800,000","139,600,000","111,300,000","112,000,000","105,800,000","100,200,000","97,900,000","116,000,000","61,400,000","62,800,000","62,500,000",,,,,,,,,,,,,,,
GrossProfit,"67,328,000,000","16,771,000,000","16,730,000,000","16,559,000,000","17,268,000,000","15,318,000,000","15,193,000,000","19,618,000,000","15,369,000,000","14,681,000,000","14,217,000,000","13,231,000,000","13,583,000,000","13,496,000,000","13,298,000,000","12,833,000,000","12,843,000,000","12,077,000,000","11,806,000,000","11,359,000,000","10,746,000,000","11,270,000,000","10,937,000,000","10,314,000,000","10,037,000,000","8,982,000,000","9,601,000,000","8,912,000,000","8,821,000,000","8,825,000,000","8,540,000,000","7,872,000,000","7,417,000,000","7,672,000,000","7,686,000,000","7,371,000,000","6,886,000,000","7,139,000,000","7,059,000,000","6,454,000,000","6,537,000,000","6,530,000,000","6,093,000,000","5,942,000,000","5,926,000,000","15,783,000,000","2,392,000,000","2,150,000,000","2,264,000,000","1,833,000,000","1,926,000,000","1,689,000,000","1,902,000,000","4,253,000,000","4,826,000,000","4,662,000,000","4,835,000,000","4,943,000,000","4,973,000,000","4,875,000,000","4,437,000,000","3,843,000,000","4,450,000,000","4,310,000,000","4,213,000,000","2,922,000,000","3,184,000,000","3,050,000,000","2,985,000,000","2,498,000,000","2,679,000,000","2,378,000,000","2,275,000,000","1,885,000,000","2,064,000,000","1,978,000,000","1,925,000,000","1,852,000,000","1,738,000,000","1,660,000,000","1,578,000,000","-2,438,000,000","1,476,000,000","1,419,000,000","1,374,000,000","1,279,000,000","1,264,000,000","1,228,000,000","1,196,000,000",,,,,,,,,,,,,,,,,,,,,"283,375,000","281,100,000","287,100,000","221,800,000","258,100,000","183,900,000","161,000,000","152,800,000","139,700,000","121,300,000","115,200,000","106,400,000","89,400,000","81,200,000","75,400,000","67,400,000","62,700,000","56,600,000","52,300,000","13,900,000","46,500,000","42,500,000","40,300,000",,,,,,,,,,,,,,,
OperatingExpense,"45,682,000,000","12,043,000,000","11,521,000,000","11,137,000,000","10,981,000,000","12,246,000,000","10,893,000,000","10,718,000,000","10,738,000,000","10,019,000,000","9,669,000,000","9,069,000,000","9,156,000,000","9,340,000,000","9,090,000,000","8,984,000,000","9,088,000,000","8,398,000,000","7,965,000,000","7,884,000,000","7,555,000,000","8,344,000,000","7,548,000,000","7,304,000,000","7,260,000,000","6,694,000,000","6,753,000,000","6,231,000,000","6,327,000,000","6,226,000,000","5,809,000,000","5,570,000,000","5,554,000,000","5,404,000,000","5,218,000,000","5,165,000,000","4,950,000,000","5,223,000,000","4,594,000,000","4,406,000,000","4,392,000,000","4,598,000,000","4,193,000,000","4,003,000,000","3,887,000,000","14,590,000,000","247,000,000","249,000,000","248,000,000","258,000,000","250,000,000","249,000,000","234,000,000","3,745,000,000","3,228,000,000","3,989,000,000","3,122,000,000","2,905,000,000","2,818,000,000","2,801,000,000","2,855,000,000","2,733,000,000","2,587,000,000","2,643,000,000","2,727,000,000","1,992,000,000","1,806,000,000","1,740,000,000","1,729,000,000","1,698,000,000","1,587,000,000","1,433,000,000","1,399,000,000","1,332,000,000","1,301,000,000","1,269,000,000","1,272,000,000","1,243,000,000","1,166,000,000","1,137,000,000","1,096,000,000","-2,859,000,000","1,080,000,000","1,035,000,000","1,009,000,000","949,000,000","955,000,000","940,000,000","923,000,000","17,461,000,000","-4,664,000,000","-4,633,000,000","-4,588,000,000","15,390,000,000","-4,146,000,000","-4,189,000,000","-3,906,000,000","10,700,600,000","-2,771,900,000","-2,745,800,000","-2,672,701,000","9,239,903,000","-2,437,959,000","-2,394,708,000","-2,124,504,000","4,165,140,000","-1,064,968,000","-1,014,064,000","-960,744,000","110,288,000","149,800,000","164,500,000","133,700,000","128,500,000","119,900,000","96,100,000","92,700,000","89,600,000","75,700,000","72,300,000","67,400,000","56,700,000","50,900,000","47,300,000","43,300,000","46,700,000","42,300,000","39,000,000","2,200,000","37,800,000","35,600,000","34,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,277,000,000","4,080,000,000","4,096,000,000","4,308,000,000","3,899,000,000","3,733,000,000","3,617,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,649,000","133,500,000","148,200,000","117,800,000","114,700,000","102,400,000","87,400,000","82,400,000","77,800,000","69,000,000","65,800,000","61,200,000","52,500,000","47,500,000","43,900,000","40,000,000","43,500,000","39,500,000","36,600,000",,"35,600,000","33,700,000","32,900,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"3,103,000,000","771,000,000","796,000,000","778,000,000","758,000,000","732,000,000","719,000,000","717,000,000","723,000,000","718,000,000","709,000,000","654,000,000","639,000,000","637,000,000","611,000,000","598,000,000","582,000,000","578,000,000","578,000,000","556,000,000","533,000,000","527,000,000","515,000,000","511,000,000","502,000,000","484,000,000","452,000,000","379,000,000","378,000,000","381,000,000","373,000,000","364,000,000","360,000,000","350,000,000","349,000,000","340,000,000","336,000,000","370,000,000","317,000,000","326,000,000","296,000,000","290,000,000","294,000,000","270,000,000","270,000,000","320,000,000","247,000,000","249,000,000","248,000,000","258,000,000","250,000,000","249,000,000","234,000,000","259,000,000","254,000,000","243,000,000","225,000,000","207,000,000","202,000,000","196,000,000","191,000,000","177,000,000","168,000,000","168,000,000","157,000,000","120,000,000","116,000,000","108,000,000","109,000,000","106,000,000","99,000,000","87,000,000","82,000,000","77,000,000","75,000,000","74,000,000","73,000,000","71,000,000","66,000,000","62,000,000","56,000,000","70,000,000","67,000,000","64,000,000","64,000,000","62,000,000","62,000,000","61,000,000","62,000,000",,,,,,,,,,,,,,,,,,,,,"15,579,000","16,300,000","16,300,000","15,900,000","13,800,000","17,500,000","8,700,000","10,300,000","11,800,000","6,700,000","6,500,000","6,200,000","4,200,000","3,400,000","3,400,000","3,300,000","3,200,000","2,800,000","2,400,000","2,200,000","2,200,000","1,900,000","1,800,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"3,103,000,000","771,000,000","796,000,000","778,000,000","758,000,000","732,000,000","719,000,000","717,000,000","723,000,000","718,000,000","709,000,000","654,000,000","639,000,000","637,000,000","611,000,000","598,000,000","582,000,000","578,000,000","578,000,000","556,000,000","533,000,000","527,000,000","515,000,000","511,000,000","502,000,000","484,000,000","452,000,000","379,000,000","378,000,000","381,000,000","373,000,000","364,000,000","360,000,000","350,000,000","349,000,000","340,000,000","336,000,000","370,000,000","317,000,000","326,000,000","296,000,000","290,000,000","294,000,000","270,000,000","270,000,000","320,000,000","247,000,000","249,000,000","248,000,000","258,000,000","250,000,000","249,000,000","234,000,000","259,000,000","254,000,000","243,000,000","225,000,000","207,000,000","202,000,000","196,000,000","191,000,000","177,000,000","168,000,000","168,000,000","157,000,000","120,000,000","116,000,000","108,000,000","109,000,000","106,000,000","99,000,000","87,000,000","82,000,000","77,000,000","75,000,000","74,000,000","73,000,000","71,000,000","66,000,000","62,000,000","56,000,000","70,000,000","67,000,000","64,000,000","64,000,000","62,000,000","62,000,000","61,000,000","62,000,000",,,,,,,,,,,,,,,,,,,,,"15,579,000","16,300,000","16,300,000","15,900,000","13,800,000","17,500,000","8,700,000","10,300,000","11,800,000","6,700,000","6,500,000","6,200,000","4,200,000","3,400,000","3,400,000","3,300,000","3,200,000","2,800,000","2,400,000","2,200,000","2,200,000","1,900,000","1,800,000",,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,579,000","16,300,000","16,300,000","15,900,000","13,800,000","17,500,000","8,700,000","10,300,000","11,800,000","6,700,000","6,500,000","6,200,000","4,200,000","3,400,000","3,400,000","3,300,000","3,200,000","2,800,000","2,400,000","2,200,000","2,200,000","1,900,000","1,800,000",,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,591,000,000","-16,667,000,000","-16,524,000,000","-16,926,000,000","-17,465,000,000",,"-16,107,000,000","-16,196,000,000","-16,100,000,000",,"-9,944,000,000","-9,801,000,000","-9,631,000,000",,"-8,767,000,000","-7,759,000,000","-7,268,000,000",,"-6,475,000,000","-6,378,000,000","-6,322,000,000","-6,073,000,000","-5,675,000,000","-5,555,000,000","-5,531,000,000","-5,599,000,000","-5,545,000,000","-5,429,000,000","-5,315,000,000","-5,104,000,000","-5,060,000,000","-4,932,000,000","-4,826,000,000","-4,734,000,000","-4,664,000,000","-4,633,000,000","-4,588,000,000","-4,431,000,000","-4,146,000,000","-4,189,000,000","-3,906,000,000","-2,861,400,000","-2,771,900,000","-2,745,800,000","-2,672,701,000","-2,520,210,000","-2,437,959,000","-2,394,708,000","-2,124,504,000","-2,016,521,000","-1,064,968,000","-1,014,064,000","-960,744,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
