name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"21,804,000,000","5,733,000,000","5,566,000,000","5,504,000,000","5,001,000,000","5,141,000,000","4,919,000,000","4,244,000,000","5,229,000,000","5,212,000,000","5,516,000,000","5,596,000,000","5,384,000,000","5,757,000,000","5,928,000,000","5,672,000,000","5,475,000,000","5,450,000,000","5,408,000,000","5,250,000,000","5,132,000,000","5,168,000,000","5,174,000,000","4,770,000,000","4,829,000,000","5,208,000,000","5,562,000,000","5,429,000,000","5,614,000,000","6,153,000,000","6,182,000,000","6,015,000,000","5,638,000,000","5,630,000,000","5,573,000,000","5,470,000,000","5,290,000,000","5,250,000,000","5,343,000,000","5,221,000,000","5,112,000,000","5,108,000,000","5,101,000,000","4,858,000,000","4,490,000,000","4,410,000,000","4,408,000,000","4,182,000,000","3,965,000,000","3,754,000,000","3,671,000,000","3,303,000,000","3,415,000,000","4,286,000,000","4,846,000,000","4,568,000,000","4,270,000,000","4,197,000,000","4,191,000,000","4,046,000,000","3,849,000,000","3,962,000,000","3,983,000,000","3,923,000,000","3,710,000,000","3,621,000,000","3,461,000,000","3,344,000,000","3,152,000,000","3,217,000,000","3,076,000,000","3,029,000,000","2,893,000,000","2,965,000,000","2,956,000,000","3,266,000,000","3,077,000,000","3,171,000,000","3,199,000,000","3,154,000,000","2,967,000,000","3,006,000,000","3,026,000,000","2,998,000,000","2,943,000,000","2,916,000,000","3,070,000,000","2,979,000,000","2,913,000,000","2,867,000,000","2,893,000,000","2,773,000,000","2,740,000,000","3,459,000,000","2,404,000,000","2,362,000,000","2,586,000,000","2,561,000,000","2,825,000,000","2,883,000,000","2,810,000,000","2,810,000,000","1,996,000,000","2,012,000,000","1,968,000,000","1,974,000,000","1,974,000,000","1,874,000,000","1,978,000,000","1,992,000,000","1,958,000,000","2,070,000,000","1,928,000,000","1,981,000,000","1,901,000,000","1,848,000,000","1,830,000,000","1,916,000,000","1,851,000,000","1,782,000,000","1,745,000,000","1,801,000,000","1,743,000,000","1,742,000,000","1,743,000,000","1,601,000,000","1,853,000,000","1,784,000,000","1,726,000,000","1,738,000,000","1,578,000,000","1,625,000,000","1,551,000,000","1,165,500,000","1,680,700,000","1,605,800,000","1,568,500,000","1,528,000,000","1,513,000,000","1,475,000,000","1,427,000,000","1,613,700,000","1,565,700,000","1,596,200,000","1,835,600,000","2,025,000,000","1,904,000,000"
	OperatingRevenue,"20,244,000,000","5,297,000,000","5,166,000,000","5,132,000,000","4,649,000,000","4,803,000,000","4,596,000,000","3,972,000,000","4,880,000,000","4,851,000,000","5,146,000,000","5,236,000,000","5,010,000,000","5,387,000,000","5,558,000,000","5,317,000,000","5,122,000,000","5,087,000,000","5,050,000,000","4,906,000,000","4,794,000,000","4,832,000,000","4,837,000,000","4,430,000,000","4,502,000,000","4,863,000,000","5,215,000,000","5,068,000,000","5,251,000,000","5,794,000,000","5,819,000,000","5,661,000,000","5,286,000,000","5,297,000,000","5,250,000,000","5,153,000,000","4,984,000,000","4,010,000,000","5,343,000,000","5,221,000,000","5,112,000,000","5,108,000,000","5,101,000,000","4,858,000,000","4,490,000,000","4,410,000,000","4,408,000,000","4,182,000,000","3,965,000,000","3,754,000,000","3,671,000,000","3,303,000,000","3,415,000,000","4,286,000,000","4,846,000,000","4,568,000,000","4,270,000,000","4,197,000,000","4,191,000,000","4,046,000,000","3,849,000,000","3,962,000,000","3,983,000,000","3,923,000,000","3,710,000,000","3,621,000,000","3,461,000,000","3,344,000,000","3,152,000,000","3,217,000,000","3,076,000,000","3,029,000,000","2,893,000,000","2,965,000,000","2,956,000,000","3,266,000,000","3,077,000,000","3,171,000,000","3,199,000,000","3,154,000,000","2,967,000,000","3,006,000,000","3,026,000,000","2,998,000,000","2,943,000,000","2,916,000,000","3,070,000,000","2,979,000,000","2,913,000,000","2,867,000,000","2,893,000,000","2,773,000,000","2,740,000,000","3,459,000,000","2,404,000,000","2,362,000,000","2,586,000,000","2,561,000,000","2,825,000,000","2,883,000,000","2,810,000,000","2,810,000,000","1,996,000,000","2,012,000,000","1,968,000,000","1,974,000,000","1,974,000,000","1,874,000,000","1,978,000,000","1,992,000,000","1,958,000,000","2,070,000,000","1,928,000,000","1,981,000,000","1,901,000,000","1,848,000,000","1,830,000,000","1,916,000,000","1,851,000,000","1,782,000,000","1,745,000,000","1,801,000,000","1,743,000,000","1,742,000,000","1,743,000,000","1,601,000,000","1,853,000,000","1,784,000,000","1,726,000,000","1,738,000,000","1,578,000,000","1,625,000,000","1,551,000,000","1,165,500,000","1,680,700,000","1,605,800,000","1,568,500,000","1,528,000,000","1,513,000,000","1,475,000,000","1,427,000,000","1,613,700,000","1,565,700,000","1,596,200,000","1,835,600,000","2,025,000,000","1,904,000,000"
CostOfRevenue,"11,290,000,000","2,991,000,000","2,864,000,000","2,747,000,000","2,688,000,000","2,622,000,000","2,589,000,000","2,355,000,000","2,788,000,000","2,881,000,000","3,005,000,000","3,089,000,000","3,119,000,000","3,326,000,000","3,372,000,000","3,325,000,000","3,270,000,000","2,960,000,000","3,166,000,000","3,026,000,000","3,079,000,000","2,970,000,000","2,943,000,000","2,866,000,000","2,893,000,000","3,055,000,000","3,149,000,000","3,255,000,000","3,378,000,000","3,552,000,000","3,610,000,000","3,591,000,000","3,558,000,000","3,469,000,000","3,406,000,000","3,373,000,000","3,420,000,000","8,200,000,000","1,722,000,000","1,723,000,000","1,748,000,000","1,732,000,000","1,715,000,000","1,703,000,000","1,603,000,000","1,432,000,000","1,365,000,000","1,362,000,000","1,305,000,000","1,228,000,000","1,159,000,000","1,068,000,000","468,000,000","1,510,000,000","1,942,000,000","1,991,000,000","2,352,000,000","460,000,000","2,098,000,000","2,139,000,000","1,978,000,000","149,000,000","2,130,000,000","2,129,000,000","2,040,000,000","220,000,000","1,949,000,000","1,849,000,000","1,804,000,000","-57,000,000","1,677,000,000","1,707,000,000","1,621,000,000","-227,000,000","1,428,000,000","1,556,000,000","1,581,000,000","-308,000,000","1,477,000,000","1,472,000,000","1,405,000,000","-1,208,000,000","1,433,000,000","1,479,000,000","1,456,000,000","-1,161,000,000","1,509,000,000","1,435,000,000","1,441,000,000","-1,286,000,000","1,349,000,000","1,332,000,000","1,363,000,000","-1,686,000,000","1,351,000,000","1,674,000,000","1,549,000,000","-663,000,000","1,416,000,000","1,401,000,000","1,503,000,000","-168,000,000","899,000,000","919,000,000","985,000,000","-757,000,000","897,000,000","826,000,000","852,000,000","849,000,000","802,000,000","893,000,000","843,000,000","695,000,000","658,000,000","610,000,000","625,000,000","601,000,000","587,000,000","548,000,000","571,000,000","604,000,000","562,000,000","570,000,000","582,000,000","433,000,000","671,000,000","615,000,000","584,000,000","598,000,000","489,000,000","538,000,000",,,,,,,,,,,,,,,
GrossProfit,"10,514,000,000","2,742,000,000","2,702,000,000","2,757,000,000","2,313,000,000","2,519,000,000","2,330,000,000","1,889,000,000","2,441,000,000","2,331,000,000","2,511,000,000","2,507,000,000","2,265,000,000","2,431,000,000","2,556,000,000","2,347,000,000","2,205,000,000","2,490,000,000","2,242,000,000","2,224,000,000","2,053,000,000","2,198,000,000","2,231,000,000","1,904,000,000","1,936,000,000","2,153,000,000","2,413,000,000","2,174,000,000","2,236,000,000","2,601,000,000","2,572,000,000","2,424,000,000","2,080,000,000","2,161,000,000","2,167,000,000","2,097,000,000","1,870,000,000","-2,950,000,000","3,621,000,000","3,498,000,000","3,364,000,000","3,376,000,000","3,386,000,000","3,155,000,000","2,887,000,000","2,978,000,000","3,043,000,000","2,820,000,000","2,660,000,000","2,526,000,000","2,512,000,000","2,235,000,000","2,947,000,000","2,776,000,000","2,904,000,000","2,577,000,000","1,918,000,000","3,737,000,000","2,093,000,000","1,907,000,000","1,871,000,000","3,813,000,000","1,853,000,000","1,794,000,000","1,670,000,000","3,401,000,000","1,512,000,000","1,495,000,000","1,348,000,000","3,274,000,000","1,399,000,000","1,322,000,000","1,272,000,000","3,192,000,000","1,528,000,000","1,710,000,000","1,496,000,000","3,479,000,000","1,722,000,000","1,682,000,000","1,562,000,000","4,214,000,000","1,593,000,000","1,519,000,000","1,487,000,000","4,077,000,000","1,561,000,000","1,544,000,000","1,472,000,000","4,153,000,000","1,544,000,000","1,441,000,000","1,377,000,000","5,145,000,000","1,053,000,000","688,000,000","1,037,000,000","3,224,000,000","1,409,000,000","1,482,000,000","1,307,000,000","2,978,000,000","1,097,000,000","1,093,000,000","983,000,000","2,731,000,000","1,077,000,000","1,048,000,000","1,126,000,000","1,143,000,000","1,156,000,000","1,177,000,000","1,085,000,000","1,286,000,000","1,243,000,000","1,238,000,000","1,205,000,000","1,315,000,000","1,264,000,000","1,234,000,000","1,174,000,000","1,197,000,000","1,181,000,000","1,172,000,000","1,161,000,000","1,168,000,000","1,182,000,000","1,169,000,000","1,142,000,000","1,140,000,000","1,089,000,000","1,087,000,000",,,,,,,,,,,,,,,
OperatingExpense,"1,176,000,000","302,000,000","270,000,000","284,000,000","320,000,000","513,000,000","299,000,000","235,000,000","298,000,000","231,000,000","277,000,000","247,000,000","305,000,000","221,000,000","287,000,000","248,000,000","266,000,000","239,000,000","230,000,000","219,000,000","260,000,000","233,000,000","271,000,000","244,000,000","249,000,000","235,000,000","205,000,000","225,000,000","259,000,000","228,000,000","242,000,000","228,000,000","226,000,000","188,000,000","205,000,000","219,000,000","237,000,000","-4,675,000,000","1,835,000,000","1,774,000,000","1,854,000,000","2,350,000,000","1,601,000,000","1,567,000,000","1,562,000,000","1,492,000,000","1,464,000,000","1,419,000,000","1,426,000,000","1,395,000,000","1,366,000,000","1,331,000,000","1,641,000,000","1,454,000,000","1,471,000,000","1,447,000,000","3,824,000,000","-4,966,000,000","3,599,000,000","3,727,000,000","3,552,000,000","-5,118,000,000","3,685,000,000","3,687,000,000","3,582,000,000","-4,502,000,000","3,445,000,000","3,320,000,000","3,287,000,000","-4,008,000,000","3,083,000,000","3,149,000,000","3,054,000,000","-3,314,000,000","2,781,000,000","3,117,000,000","3,154,000,000","-3,203,000,000","3,006,000,000","2,999,000,000","2,905,000,000","-3,284,000,000","2,881,000,000","2,922,000,000","2,931,000,000","-3,217,000,000","2,944,000,000","2,842,000,000","2,882,000,000","-966,000,000","2,099,000,000","2,079,000,000","2,156,000,000","-87,000,000","1,713,000,000","1,993,000,000","927,000,000","2,233,000,000","991,000,000","796,000,000","814,000,000","2,118,000,000","615,000,000","610,000,000","677,000,000","1,674,000,000","659,000,000","591,000,000","733,000,000","769,000,000","717,000,000","762,000,000","713,000,000","896,000,000","925,000,000","875,000,000","886,000,000","894,000,000","847,000,000","824,000,000","791,000,000","769,000,000","756,000,000","762,000,000","780,000,000","750,000,000","782,000,000","760,000,000","768,000,000","741,000,000","737,000,000","722,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,188,000,000","1,151,000,000","1,211,000,000","1,155,000,000","1,193,000,000","1,166,000,000","1,167,000,000","1,112,000,000","1,092,000,000","1,051,000,000","1,059,000,000","1,018,000,000","999,000,000","976,000,000","1,296,000,000","1,101,000,000","1,123,000,000","1,101,000,000","1,474,000,000","-391,000,000","1,582,000,000","1,729,000,000","1,671,000,000","-546,000,000","1,698,000,000","1,731,000,000","1,716,000,000","-557,000,000","1,667,000,000","1,623,000,000","1,642,000,000","-664,000,000","1,553,000,000","1,644,000,000","1,634,000,000","-547,000,000","1,503,000,000","1,750,000,000","1,742,000,000","-489,000,000","1,678,000,000","1,674,000,000","1,638,000,000","-487,000,000","1,585,000,000","1,568,000,000","1,610,000,000","-392,000,000","1,594,000,000","1,529,000,000","1,580,000,000","-520,000,000","1,604,000,000","1,572,000,000","1,629,000,000","531,000,000","1,255,000,000","1,278,000,000","389,000,000","3,048,000,000","398,000,000","343,000,000","350,000,000","2,536,000,000","232,000,000","235,000,000","255,000,000","2,205,000,000","226,000,000","202,000,000","201,000,000","195,000,000","193,000,000","196,000,000","172,000,000","658,000,000","680,000,000","644,000,000","651,000,000","671,000,000","658,000,000","647,000,000","629,000,000","645,000,000","614,000,000","622,000,000","636,000,000","633,000,000","636,000,000","629,000,000","647,000,000","618,000,000","612,000,000","620,000,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,188,000,000","1,151,000,000","1,211,000,000","1,155,000,000","1,193,000,000","1,166,000,000","1,167,000,000","1,112,000,000","1,092,000,000","1,051,000,000","1,059,000,000","1,018,000,000","999,000,000","976,000,000","1,296,000,000","1,101,000,000","1,123,000,000","1,101,000,000","1,474,000,000","-391,000,000","1,582,000,000","1,729,000,000","1,671,000,000","-546,000,000","1,698,000,000","1,731,000,000","1,716,000,000","-557,000,000","1,667,000,000","1,623,000,000","1,642,000,000","-664,000,000","1,553,000,000","1,644,000,000","1,634,000,000","-547,000,000","1,503,000,000","1,750,000,000","1,742,000,000","-489,000,000","1,678,000,000","1,674,000,000","1,638,000,000","-487,000,000","1,585,000,000","1,568,000,000","1,610,000,000","-392,000,000","1,594,000,000","1,529,000,000","1,580,000,000","-520,000,000","1,604,000,000","1,572,000,000","1,629,000,000","531,000,000","1,255,000,000","1,278,000,000","389,000,000","3,048,000,000","398,000,000","343,000,000","350,000,000","2,536,000,000","232,000,000","235,000,000","255,000,000","2,205,000,000","226,000,000","202,000,000","201,000,000","195,000,000","193,000,000","196,000,000","172,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,188,000,000","1,151,000,000","1,211,000,000","1,155,000,000","1,193,000,000","1,166,000,000","1,167,000,000","1,112,000,000","1,092,000,000","1,051,000,000","1,059,000,000","1,018,000,000","999,000,000","976,000,000","1,070,000,000","1,101,000,000","1,123,000,000","1,101,000,000","-1,132,000,000","8,046,000,000","-1,112,000,000","-1,163,000,000","-1,180,000,000","8,029,000,000","-1,161,000,000","-1,140,000,000","-1,129,000,000","7,642,000,000","-1,093,000,000","-1,075,000,000","-1,099,000,000","7,283,000,000","-1,057,000,000","-1,048,000,000","-1,011,000,000","6,785,000,000","-977,000,000","-1,173,000,000","-1,172,000,000","7,850,000,000","-1,125,000,000","-1,119,000,000","-1,105,000,000","7,483,000,000","-1,059,000,000","-1,063,000,000","-1,085,000,000","7,474,000,000","-1,058,000,000","-1,040,000,000","-1,065,000,000","7,517,000,000","-1,099,000,000","-1,057,000,000","-1,076,000,000","7,127,000,000","-926,000,000","-930,000,000","-1,078,000,000","7,269,000,000","-1,040,000,000","-1,037,000,000","-1,026,000,000","5,493,000,000","-716,000,000","-744,000,000","-773,000,000","4,938,000,000","-726,000,000","-730,000,000","-684,000,000","-634,000,000","-643,000,000","-667,000,000","-651,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"299,000,000",,,"293,000,000","283,000,000","302,000,000",,"292,000,000","282,000,000","290,000,000",,,"307,000,000","317,000,000",,,,"-342,000,000",,"-356,000,000","-370,000,000","-353,000,000",,"-371,000,000","-371,000,000","-367,000,000",,"-356,000,000","-340,000,000","-353,000,000",,"-354,000,000","-362,000,000","-327,000,000",,"-308,000,000","-335,000,000","-346,000,000",,"-349,000,000","-339,000,000","-341,000,000",,"-332,000,000","-331,000,000","-329,000,000",,"-352,000,000","-321,000,000","-327,000,000",,"-341,000,000","-325,000,000","-331,000,000",,"-329,000,000","-348,000,000","-363,000,000",,"-356,000,000","-317,000,000","-322,000,000",,"-208,000,000","-213,000,000","-227,000,000",,"-200,000,000","-178,000,000","-171,000,000","-164,000,000","-158,000,000","-175,000,000","-160,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-57,000,000","-98,000,000","-69,000,000",,"-83,000,000","-110,000,000","-110,000,000",,"-109,000,000","-104,000,000","-95,000,000",,"-71,000,000","-117,000,000","-148,000,000",,"-109,000,000","-121,000,000","-112,000,000",,"-102,000,000","-108,000,000","-96,000,000",,"-97,000,000","-87,000,000","-98,000,000",,"-92,000,000","-84,000,000","-94,000,000",,"-82,000,000","-95,000,000","-111,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
