name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"22,721,000,000","5,657,000,000","5,864,000,000","5,756,000,000","5,444,000,000","5,725,000,000","5,939,000,000","5,814,000,000","5,748,000,000","5,643,000,000","5,895,000,000","5,795,000,000","5,550,000,000","5,461,000,000","5,669,000,000","5,611,000,000","5,440,000,000","5,585,000,000","5,557,000,000","5,436,000,000","5,274,000,000","5,386,000,000","5,338,000,000","5,397,000,000","4,984,000,000","5,159,000,000","5,094,000,000","4,988,000,000","4,852,000,000","5,114,000,000","4,934,000,000","5,133,000,000","4,758,000,000","4,833,000,000","4,835,000,000","4,892,000,000","4,818,000,000","4,992,000,000","5,137,000,000","5,013,000,000","4,882,000,000","4,739,000,000","4,737,000,000","4,634,000,000","4,464,000,000","4,668,000,000","4,534,000,000","4,084,000,000","3,941,000,000","5,259,000,000","3,862,000,000","3,797,000,000","3,552,000,000","3,584,000,000","3,345,000,000","3,767,000,000","3,847,000,000","3,518,000,000","3,511,000,000","3,487,000,000","3,345,000,000","3,409,000,000","3,408,000,000","3,441,000,000","3,329,000,000","3,321,000,000","3,358,000,000","3,295,000,000","3,126,000,000","3,227,700,000","3,298,600,000","3,014,100,000","3,090,100,000","2,540,000,000","3,199,600,000","3,464,300,000","3,298,400,000","3,311,900,000","3,290,100,000","3,118,100,000","2,988,200,000","2,998,500,000","2,917,400,000","2,895,800,000","2,956,500,000","3,599,020,000","1,053,618,000","1,046,161,000","1,030,901,000","1,024,300,000","1,010,100,000","610,800,000","589,000,000","1,309,300,000","333,500,000","212,700,000","194,500,000","173,900,000","170,100,000","164,900,000","157,500,000","154,500,000","152,200,000","143,900,000","138,200,000","137,300,000","129,000,000","126,100,000","123,900,000","123,400,000","116,000,000","113,800,000","109,800,000","1,378,400,000","109,500,000","108,200,000","106,400,000","107,800,000","105,900,000","97,500,000","97,600,000","92,800,000","93,000,000","84,700,000","81,300,000","82,200,000","81,900,000","80,400,000","78,100,000","78,100,000","74,400,000",,,,,,,,,,,,,,,,
	OperatingRevenue,"22,721,000,000","5,657,000,000","5,864,000,000","5,756,000,000","5,444,000,000","5,725,000,000","5,939,000,000","5,814,000,000","5,748,000,000","5,643,000,000","5,895,000,000","5,795,000,000","5,550,000,000","5,461,000,000","5,669,000,000","5,611,000,000","5,440,000,000","5,585,000,000","5,557,000,000","5,436,000,000","5,274,000,000","5,386,000,000","5,338,000,000","5,397,000,000","4,984,000,000","5,159,000,000","5,094,000,000","4,988,000,000","4,852,000,000","5,114,000,000","4,934,000,000","5,133,000,000","4,758,000,000","4,833,000,000","4,835,000,000","4,892,000,000","4,818,000,000","4,992,000,000","5,137,000,000","5,013,000,000","4,882,000,000","4,739,000,000","4,737,000,000","4,634,000,000","4,464,000,000","4,668,000,000","4,534,000,000","4,084,000,000","3,941,000,000","5,259,000,000","3,862,000,000","3,797,000,000","3,552,000,000","3,584,000,000","3,345,000,000","3,767,000,000","3,847,000,000","3,518,000,000","3,511,000,000","3,487,000,000","3,345,000,000","3,409,000,000","3,408,000,000","3,441,000,000","3,329,000,000","3,321,000,000","3,358,000,000","3,295,000,000","3,126,000,000","3,227,700,000","3,298,600,000","3,014,100,000","3,090,100,000","2,540,000,000","3,199,600,000","3,464,300,000","3,298,400,000","3,311,900,000","3,290,100,000","3,118,100,000","2,988,200,000","2,998,500,000","2,917,400,000","2,895,800,000","2,956,500,000","3,599,020,000","1,053,618,000","1,046,161,000","1,030,901,000","1,024,300,000","1,010,100,000","610,800,000","589,000,000","1,309,300,000","333,500,000","212,700,000","194,500,000","173,900,000","170,100,000","164,900,000","157,500,000","154,500,000","152,200,000","143,900,000","138,200,000","137,300,000","129,000,000","126,100,000","123,900,000","123,400,000","116,000,000","113,800,000","109,800,000","1,378,400,000","109,500,000","108,200,000","106,400,000","107,800,000","105,900,000","97,500,000","97,600,000","92,800,000","93,000,000","84,700,000","81,300,000","82,200,000","81,900,000","80,400,000","78,100,000","78,100,000","74,400,000",,,,,,,,,,,,,,,,
PretaxIncome,"10,166,000,000","2,137,000,000","2,598,000,000","2,539,000,000","2,892,000,000","1,920,000,000","1,933,000,000","759,000,000","1,439,000,000","1,847,000,000","2,384,000,000","2,277,000,000","2,086,000,000","2,153,000,000","2,282,000,000","2,199,000,000","2,044,000,000","1,311,000,000","2,158,000,000","2,063,000,000","1,985,000,000","2,040,000,000","2,082,000,000","2,078,000,000","1,905,000,000","2,045,000,000","2,037,000,000","2,025,000,000","1,923,000,000","2,022,000,000","2,009,000,000","2,056,000,000","1,908,000,000","1,874,000,000","1,972,000,000","1,973,000,000","1,945,000,000","1,927,000,000","2,025,000,000","1,942,000,000","1,832,000,000","1,855,000,000","1,742,000,000","1,637,000,000","1,395,000,000","1,271,000,000","1,154,000,000","951,000,000","824,000,000","710,000,000","691,000,000","585,000,000","646,000,000","357,000,000","774,000,000","1,336,000,000","1,566,000,000","1,244,000,000","1,684,000,000","1,656,000,000","1,623,000,000","1,628,000,000","1,735,000,000","1,786,000,000","1,714,000,000","1,652,000,000","1,740,000,000","1,556,000,000","1,623,000,000","1,584,700,000","1,614,500,000","1,577,000,000","1,400,200,000","1,325,000,000","1,492,300,000","1,444,800,000","1,389,300,000","1,303,800,000","1,319,800,000","1,262,700,000","1,216,400,000","1,088,200,000","60,600,000","859,800,000","625,600,000","1,033,089,000","461,806,000","487,018,000","479,386,000","432,100,000","114,200,000","253,800,000","252,900,000","300,100,000","119,300,000","99,000,000","90,100,000","77,000,000","74,700,000","71,700,000","67,700,000","64,100,000","58,200,000","60,200,000","57,200,000","53,900,000","51,300,000","50,700,000","49,200,000","46,500,000","45,600,000","43,300,000","42,900,000","364,900,000","36,300,000","38,100,000","37,400,000","28,400,000","30,400,000","29,100,000","26,100,000","25,600,000","23,800,000","24,500,000","22,000,000","22,700,000","21,900,000","23,700,000","24,600,000","22,900,000","16,600,000",,,,,,,,,,,,,,,,
TaxProvision,"2,181,000,000","459,000,000","564,000,000","551,000,000","607,000,000","395,000,000","347,000,000","64,000,000","260,000,000","354,000,000","467,000,000","449,000,000","378,000,000","291,000,000","460,000,000","441,000,000","362,000,000","-375,000,000","589,000,000","551,000,000","499,000,000","549,000,000","566,000,000","542,000,000","504,000,000","556,000,000","534,000,000","528,000,000","479,000,000","521,000,000","523,000,000","547,000,000","496,000,000","403,000,000","542,000,000","529,000,000","558,000,000","552,000,000","593,000,000","564,000,000","527,000,000","527,000,000","490,000,000","458,000,000","366,000,000","315,000,000","260,000,000","199,000,000","161,000,000","108,000,000","86,000,000","100,000,000","101,000,000","27,000,000","198,000,000","386,000,000","476,000,000","382,000,000","508,000,000","500,000,000","493,000,000","434,000,000","532,000,000","585,000,000","561,000,000","509,000,000","586,000,000","435,000,000","552,000,000","528,700,000","549,000,000","540,100,000","391,800,000","464,600,000","507,400,000","491,200,000","478,100,000","454,000,000","459,500,000","439,600,000","423,200,000","392,800,000","21,900,000","297,500,000","215,500,000","374,625,000","152,812,000","170,275,000","171,587,000","164,100,000","85,800,000","83,000,000","83,300,000","101,100,000","37,800,000","34,000,000","30,800,000","25,200,000","24,600,000","24,100,000","22,400,000","21,800,000","20,000,000","20,400,000","19,100,000","18,000,000","17,100,000","16,900,000","16,400,000","16,000,000","15,800,000","14,800,000","15,100,000","140,700,000","12,800,000","12,800,000","12,500,000","9,800,000","10,200,000","9,500,000","8,500,000","8,200,000","7,500,000","7,600,000","6,800,000","6,900,000","6,600,000","7,000,000","7,400,000","6,600,000","4,500,000",,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"7,605,000,000","1,582,000,000","1,934,000,000","1,914,000,000","2,175,000,000","1,425,000,000","1,494,000,000","614,000,000","1,088,000,000","1,408,000,000","1,821,000,000","1,741,000,000","1,613,000,000","1,777,000,000","1,732,000,000","1,678,000,000","1,597,000,000","1,611,000,000","1,485,000,000","1,430,000,000","1,387,000,000","1,391,000,000","1,434,000,000","1,435,000,000","1,329,000,000","1,404,000,000","1,422,000,000","1,417,000,000","1,365,000,000","1,420,000,000","1,405,000,000","1,427,000,000","1,331,000,000","1,389,000,000","1,400,000,000","1,405,000,000","1,358,000,000","1,349,000,000","1,404,000,000","1,345,000,000","1,285,000,000","1,314,000,000","1,237,000,000","1,167,000,000","1,003,000,000","951,000,000","871,000,000","862,000,000","648,000,000","580,000,000","583,000,000","221,000,000","419,000,000","260,000,000","557,000,000","950,000,000","1,090,000,000","847,000,000","1,161,000,000","1,141,000,000","1,130,000,000","1,179,000,000","1,187,000,000","1,201,000,000","1,153,000,000","1,143,000,000","1,154,000,000","1,121,000,000","1,071,000,000","1,056,000,000","1,065,500,000","1,036,900,000","1,008,400,000","882,900,000","984,900,000","953,600,000","911,200,000","849,800,000","860,300,000","823,100,000","756,000,000","695,400,000","38,700,000","562,300,000","410,100,000","658,464,000","308,994,000","316,743,000","307,799,000","268,000,000","28,400,000","170,800,000","169,600,000","199,000,000","81,500,000","65,000,000","59,300,000","51,800,000","50,100,000","47,600,000","45,300,000","42,300,000","38,200,000","39,800,000","38,100,000","35,800,000","34,200,000","33,800,000","32,800,000","30,500,000","29,800,000","28,500,000","27,800,000","197,000,000","23,200,000","25,300,000","24,600,000","18,600,000","20,200,000","19,600,000","17,600,000","17,400,000","16,300,000","16,900,000","15,200,000","15,800,000","15,300,000","16,700,000","17,200,000","16,300,000","12,100,000",,,,,,,,,,,,,,,,
	NetIncome,"7,963,000,000","1,673,000,000","2,028,000,000","1,982,000,000","2,280,000,000","1,519,000,000","1,580,000,000","689,000,000","1,171,000,000","1,486,000,000","1,908,000,000","1,821,000,000","1,699,000,000","1,856,000,000","1,815,000,000","1,750,000,000","1,675,000,000","1,682,000,000","1,563,000,000","1,500,000,000","1,473,000,000","1,478,000,000","1,502,000,000","1,522,000,000","1,386,000,000","1,476,000,000","1,489,000,000","1,483,000,000","1,431,000,000","1,488,000,000","1,471,000,000","1,495,000,000","1,397,000,000","1,456,000,000","1,468,000,000","1,484,000,000","1,428,000,000","1,420,000,000","1,474,000,000","1,415,000,000","1,338,000,000","1,350,000,000","1,273,000,000","1,203,000,000","1,046,000,000","974,000,000","908,000,000","958,000,000","669,000,000","602,000,000","603,000,000","471,000,000","529,000,000","330,000,000","576,000,000","950,000,000","1,090,000,000","862,000,000","1,176,000,000","1,156,000,000","1,130,000,000","1,194,000,000","1,203,000,000","1,201,000,000","1,153,000,000","1,143,000,000","1,154,000,000","1,121,000,000","1,071,000,000","1,056,000,000","1,065,500,000","1,036,900,000","1,008,400,000","882,900,000","984,900,000","953,600,000","911,200,000","849,800,000","860,300,000","823,100,000","756,000,000","695,400,000","38,700,000","562,300,000","410,100,000","658,464,000","308,994,000","316,743,000","307,799,000","268,000,000","28,400,000","170,800,000","169,600,000","199,000,000","81,500,000","65,000,000","59,300,000","51,800,000","50,100,000","47,600,000","45,300,000","42,300,000","38,200,000","39,800,000","38,100,000","35,900,000","34,200,000","33,800,000","32,800,000","30,500,000","29,800,000","28,500,000","27,800,000","224,200,000","23,500,000","25,300,000","24,900,000","18,600,000","20,200,000","19,600,000","17,600,000","17,400,000","16,300,000","16,900,000","15,200,000","15,800,000","15,300,000","16,700,000","17,200,000","16,300,000","12,100,000",,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"7,985,000,000","1,678,000,000","2,034,000,000","1,988,000,000","2,285,000,000","1,525,000,000","1,586,000,000","695,000,000","1,179,000,000","1,493,000,000","1,917,000,000","1,828,000,000","1,708,000,000","1,862,000,000","1,822,000,000","1,758,000,000","1,682,000,000","1,686,000,000","1,569,000,000","1,512,000,000","1,486,000,000","1,491,000,000","1,516,000,000","1,536,000,000","1,401,000,000","1,489,000,000","1,503,000,000","1,497,000,000","1,444,000,000","1,501,000,000","1,486,000,000","1,509,000,000","1,412,000,000","1,471,000,000","1,430,000,000","1,444,000,000","1,387,000,000","1,375,000,000","1,432,000,000","1,378,000,000","1,305,000,000","1,328,000,000","1,252,000,000","1,179,000,000","1,029,000,000","956,000,000","894,000,000","752,000,000","663,000,000","602,000,000","605,000,000","485,000,000","545,000,000","330,000,000","576,000,000","950,000,000","1,090,000,000","862,000,000","1,176,000,000","1,156,000,000","1,130,000,000","1,194,000,000","1,203,000,000","1,201,000,000","1,153,000,000","1,143,000,000","1,154,000,000","1,121,000,000","1,071,000,000","1,056,000,000","1,065,500,000","1,036,900,000","1,008,400,000","882,900,000","984,900,000","953,600,000","911,200,000","849,800,000","860,300,000","823,100,000","756,000,000","695,400,000","38,700,000","562,300,000","410,100,000","658,464,000","308,994,000","316,743,000","307,799,000","268,000,000","28,400,000","170,800,000","169,600,000","199,000,000","81,500,000","65,000,000","59,300,000","51,800,000","50,100,000","47,600,000","45,300,000","42,300,000","38,200,000","39,800,000","38,100,000","35,900,000","34,200,000","33,800,000","32,800,000","30,500,000","29,800,000","28,500,000","27,800,000","224,200,000","23,500,000","25,300,000","24,900,000","18,600,000","20,200,000","19,600,000","17,600,000","17,400,000","16,300,000","16,900,000","15,200,000","15,800,000","15,300,000","16,700,000","17,200,000","16,300,000","12,100,000","14,100,000","15,500,000","14,000,000","13,600,000","13,100,000","14,100,000","8,200,000","11,000,000","10,800,000","11,400,000","10,900,000","9,600,000","8,700,000","8,800,000","9,300,000","8,800,000"
			NetIncomeContinuousOperations,"7,985,000,000","1,678,000,000","2,034,000,000","1,988,000,000","2,285,000,000","1,525,000,000","1,586,000,000","695,000,000","1,179,000,000","1,493,000,000","1,917,000,000","1,828,000,000","1,708,000,000","1,862,000,000","1,822,000,000","1,758,000,000","1,682,000,000","1,686,000,000","1,569,000,000","1,512,000,000","1,486,000,000","1,491,000,000","1,516,000,000","1,536,000,000","1,401,000,000","1,489,000,000","1,503,000,000","1,497,000,000","1,444,000,000","1,501,000,000","1,486,000,000","1,509,000,000","1,412,000,000","1,471,000,000","1,430,000,000","1,444,000,000","1,387,000,000","1,375,000,000","1,432,000,000","1,378,000,000","1,305,000,000","1,328,000,000","1,252,000,000","1,179,000,000","1,029,000,000","956,000,000","894,000,000","752,000,000","663,000,000","602,000,000","605,000,000","485,000,000","545,000,000","330,000,000","576,000,000","950,000,000","1,090,000,000","862,000,000","1,176,000,000","1,156,000,000","1,130,000,000","1,194,000,000","1,203,000,000","1,201,000,000","1,153,000,000","1,143,000,000","1,154,000,000","1,121,000,000","1,071,000,000","1,056,000,000","1,065,500,000","1,036,900,000","1,008,400,000","860,400,000","984,900,000","953,600,000","911,200,000","849,800,000","860,300,000","823,100,000","793,200,000","695,400,000","38,700,000","562,300,000","410,100,000","658,464,000","308,994,000","316,743,000","307,799,000","268,000,000","28,400,000","170,800,000","169,600,000","199,000,000","81,500,000","65,000,000","59,300,000","51,800,000","50,100,000","47,600,000","45,300,000","42,300,000","38,200,000","39,800,000","38,100,000","35,900,000","34,200,000","33,800,000","32,800,000","30,500,000","29,800,000","28,500,000","27,800,000","224,200,000","23,500,000","25,300,000","24,900,000","18,600,000","20,200,000","19,600,000","17,600,000","17,400,000","16,300,000","16,900,000","15,200,000","15,800,000","15,300,000","16,700,000","17,200,000","16,300,000","12,100,000","14,100,000","15,500,000","14,000,000","13,600,000","13,100,000","14,100,000","8,200,000","11,000,000","10,800,000","11,400,000","10,900,000","9,600,000","8,700,000","8,800,000","9,300,000","8,800,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-37,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-22,000,000","-5,000,000","-6,000,000","-6,000,000","-5,000,000","-6,000,000","-6,000,000","-6,000,000","-8,000,000","-7,000,000","-9,000,000","-7,000,000","-9,000,000","-6,000,000","-7,000,000","-8,000,000","-7,000,000","-4,000,000","-6,000,000","-12,000,000","-13,000,000","-13,000,000","-14,000,000","-14,000,000","-15,000,000","-13,000,000","-14,000,000","-14,000,000","-13,000,000","-13,000,000","-15,000,000","-14,000,000","-15,000,000","-15,000,000","38,000,000","40,000,000","41,000,000","45,000,000","42,000,000","37,000,000","33,000,000","22,000,000","21,000,000","24,000,000","17,000,000","18,000,000","14,000,000","14,000,000","6,000,000","0","-2,000,000","-14,000,000","-16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
