name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"11,599,848,000","3,624,384,000","3,198,235,000","2,194,557,000","2,582,672,000","2,971,541,000","2,608,324,000","1,076,293,000","1,439,063,000","3,384,746,000","3,393,268,000","2,271,479,000","3,212,969,000","3,940,159,000","3,907,386,000","2,788,146,000","3,045,446,000","3,361,101,000","3,508,818,000","2,359,581,000","2,581,677,000","3,320,574,000","3,488,226,000","2,445,259,000","2,839,300,000","3,412,763,000","3,612,820,000","2,513,860,000","2,837,301,000","3,578,860,000","3,520,447,000","2,402,076,000","2,780,778,000","3,290,099,000","3,297,269,000","2,220,411,000","2,611,869,000","3,033,260,000","3,148,354,000","2,141,786,000","2,556,455,000","2,910,239,000","2,750,071,000","1,840,123,000","1,958,799,000","2,126,239,000","2,232,367,000","1,594,104,000","1,749,879,000","1,915,369,000","2,093,806,000","1,485,637,000","1,725,474,000","1,912,150,000","2,206,627,000","1,677,482,000","1,846,341,000","1,955,188,000","2,073,159,000","1,517,393,000","1,673,619,000","949,444,000","2,033,789,000","1,566,828,000","1,665,733,000","1,626,110,000","1,803,064,000","1,435,831,000","1,563,643,000","1,559,761,000","1,792,569,000","1,269,537,000","1,432,669,000","1,387,259,000","1,435,403,000","1,134,742,000","1,250,055,000","1,310,616,000","1,400,389,000","1,193,458,000","1,273,056,000","1,295,352,000","1,477,196,000","1,322,958,000","1,423,299,000","1,441,471,000","1,588,607,000","1,351,053,000","1,366,748,000","1,363,700,000","1,464,900,000","1,364,800,000","1,358,200,000","1,343,500,000","1,458,800,000","1,350,300,000","1,326,200,000","1,287,000,000","1,416,900,000","1,255,500,000","1,262,800,000","1,377,200,000","1,380,900,000","1,221,000,000","1,158,100,000","1,270,700,000","1,332,100,000","1,271,900,000","1,187,600,000","1,289,300,000","1,373,000,000","1,186,300,000","1,123,000,000","1,097,500,000","1,152,800,000","1,053,400,000","1,016,600,000","1,029,000,000","1,125,300,000","852,500,000","817,600,000","850,200,000","834,800,000","654,000,000","613,300,000","687,600,000","723,100,000","634,700,000","567,200,000","663,400,000","695,400,000","611,100,000","562,800,000","605,000,000","672,400,000","642,900,000","595,900,000","620,000,000","731,600,000","640,700,000","581,500,000","452,100,000","430,200,000","345,500,000","316,700,000","403,800,000","429,000,000"
	OperatingRevenue,"11,599,848,000","3,624,384,000","3,198,235,000","2,194,557,000","2,582,672,000","2,971,541,000","2,608,324,000","1,076,293,000","1,439,063,000","3,384,746,000","3,393,268,000","2,271,479,000","3,212,969,000","3,940,159,000","3,907,386,000","2,788,146,000","3,045,446,000","3,361,101,000","3,508,818,000","2,359,581,000","2,581,677,000","3,320,574,000","3,488,226,000","2,445,259,000","2,839,300,000","3,412,763,000","3,612,820,000","2,513,860,000","2,837,301,000","3,578,860,000","3,520,447,000","2,402,076,000","2,780,778,000","3,290,099,000","3,297,269,000","2,220,411,000","2,611,869,000","3,033,260,000","3,148,354,000","2,141,786,000","2,556,455,000","2,910,239,000","2,750,071,000","1,840,123,000","1,958,799,000","2,126,239,000","2,232,367,000","1,594,104,000","1,749,879,000","1,915,369,000","2,093,806,000","1,485,637,000","1,725,474,000","1,912,150,000","2,206,627,000","1,677,482,000","1,846,341,000","1,955,188,000","2,073,159,000","1,517,393,000","1,673,619,000","1,006,121,000","2,015,213,000","1,548,055,000","1,646,405,000","1,626,110,000","1,803,064,000","1,435,831,000","1,563,643,000","1,559,761,000","1,792,569,000","1,269,537,000","1,432,669,000","1,387,259,000","1,435,403,000","1,134,742,000","1,250,055,000","1,310,616,000","1,400,389,000","1,193,458,000","1,273,056,000","1,295,352,000","1,477,196,000","1,322,958,000","1,423,299,000","1,441,471,000","1,588,607,000","1,351,053,000","1,366,748,000","1,363,700,000","1,464,900,000","1,364,800,000","1,358,200,000","1,343,500,000","1,458,800,000","1,350,300,000","1,326,200,000","1,287,000,000","1,416,900,000","1,255,500,000","1,262,800,000","1,377,200,000","1,380,900,000","1,221,000,000","1,158,100,000","1,270,700,000","1,332,100,000","1,271,900,000","1,187,600,000","1,289,300,000","1,373,000,000","1,186,300,000","1,123,000,000","1,097,500,000","1,152,800,000","1,053,400,000","1,016,600,000","1,029,000,000","1,125,300,000","852,500,000","817,600,000","850,200,000","834,800,000","654,000,000","613,300,000","687,600,000","723,100,000","634,700,000","567,200,000","663,400,000","695,400,000","611,100,000","562,800,000","605,000,000","672,400,000","642,900,000","595,900,000","620,000,000","731,600,000","640,700,000","581,500,000","452,100,000","430,200,000","345,500,000","316,700,000","403,800,000","429,000,000"
CostOfRevenue,"5,264,000,000","1,592,604,000","1,479,446,000","955,551,000","1,236,399,000","1,345,024,000","1,282,406,000","506,951,000","556,636,000","1,500,463,000","1,597,307,000","1,036,114,000","1,595,431,000","1,896,472,000","1,950,601,000","1,384,977,000","1,506,335,000","1,619,497,000","1,751,748,000","1,187,011,000","1,286,685,000","1,690,405,000","1,800,748,000","1,268,773,000","1,472,006,000","1,763,297,000","1,883,610,000","1,300,346,000","1,446,547,000","1,823,625,000","1,818,655,000","1,239,344,000","1,406,566,000","1,704,690,000","1,728,144,000","1,143,358,000","1,355,277,000","1,595,512,000","1,678,090,000","1,155,412,000","1,388,866,000","1,595,173,000","1,504,982,000","994,591,000","1,033,856,000","1,135,117,000","1,195,379,000","842,502,000","932,203,000","1,028,946,000","1,165,843,000","833,693,000","996,640,000","1,099,210,000","1,227,577,000","942,763,000","1,014,130,000","1,105,013,000","1,163,399,000","865,727,000","945,883,000","466,075,000","1,173,149,000","911,842,000","964,558,000","974,534,000","1,055,064,000","841,221,000","914,424,000","923,413,000","1,072,741,000","769,708,000","878,393,000","837,128,000","898,325,000","714,011,000","781,292,000","851,136,000","871,117,000","748,428,000","831,854,000","1,009,754,000","970,631,000","876,043,000","942,406,000","963,085,000","1,005,829,000","837,444,000","866,233,000","862,400,000","922,100,000","863,800,000","853,200,000","835,100,000","904,200,000","856,300,000","831,100,000","800,300,000","890,800,000","787,700,000","805,600,000","881,300,000","896,100,000","783,200,000","737,200,000","947,000,000","876,900,000","829,800,000","756,600,000","849,800,000","891,500,000","767,800,000","722,800,000","727,500,000","766,000,000","694,100,000","659,100,000","684,900,000","727,200,000","554,600,000","528,800,000","567,700,000","553,800,000","430,100,000","397,300,000","486,100,000","476,300,000","424,000,000","367,600,000","442,900,000","456,800,000","403,200,000","361,200,000",,,,,,,,,,,,,,
GrossProfit,"6,335,848,000","2,031,780,000","1,718,789,000","1,239,006,000","1,346,273,000","1,626,517,000","1,325,918,000","569,342,000","882,427,000","1,884,283,000","1,795,961,000","1,235,365,000","1,617,538,000","2,043,687,000","1,956,785,000","1,403,169,000","1,539,111,000","1,741,604,000","1,757,070,000","1,172,570,000","1,294,992,000","1,630,169,000","1,687,478,000","1,176,486,000","1,367,294,000","1,649,466,000","1,729,210,000","1,213,514,000","1,390,754,000","1,755,235,000","1,701,792,000","1,162,732,000","1,374,212,000","1,585,409,000","1,569,125,000","1,077,053,000","1,256,592,000","1,437,748,000","1,470,264,000","986,374,000","1,167,589,000","1,315,066,000","1,245,089,000","845,532,000","924,943,000","991,122,000","1,036,988,000","751,602,000","817,676,000","886,423,000","927,963,000","651,944,000","728,834,000","812,940,000","979,050,000","734,719,000","832,211,000","850,175,000","909,760,000","651,666,000","727,736,000","483,369,000","860,640,000","654,986,000","701,175,000","651,576,000","748,000,000","594,610,000","649,219,000","636,348,000","719,828,000","499,829,000","554,276,000","550,131,000","537,078,000","420,731,000","468,763,000","459,480,000","529,272,000","445,030,000","441,202,000","285,598,000","506,565,000","446,915,000","480,893,000","478,386,000","582,778,000","513,609,000","500,515,000","501,300,000","542,800,000","501,000,000","505,000,000","508,400,000","554,600,000","494,000,000","495,100,000","486,700,000","526,100,000","467,800,000","457,200,000","495,900,000","484,800,000","437,800,000","420,900,000","323,700,000","455,200,000","442,100,000","431,000,000","439,500,000","481,500,000","418,500,000","400,200,000","370,000,000","386,800,000","359,300,000","357,500,000","344,100,000","398,100,000","297,900,000","288,800,000","282,500,000","281,000,000","223,900,000","216,000,000","201,500,000","246,800,000","210,700,000","199,600,000","220,500,000","238,600,000","207,900,000","201,600,000",,,,,,,,,,,,,,
OperatingExpense,"4,753,182,000","1,353,338,000","1,160,303,000","1,036,122,000","1,203,419,000","1,214,518,000","1,005,970,000","816,151,000","922,558,000","1,305,481,000","1,216,896,000","1,102,073,000","1,423,154,000","1,451,782,000","1,298,116,000","1,172,287,000","1,227,752,000","1,286,610,000","1,168,470,000","1,004,548,000","1,003,518,000","1,230,404,000","1,052,050,000","965,062,000","1,031,042,000","1,108,698,000","1,086,282,000","990,487,000","992,919,000","1,177,229,000","1,068,710,000","942,924,000","971,022,000","1,077,027,000","989,422,000","875,719,000","898,864,000","987,460,000","933,372,000","822,389,000","853,487,000","963,707,000","814,971,000","656,861,000","650,300,000","715,853,000","682,443,000","582,078,000","594,416,000","626,730,000","610,072,000","532,206,000","567,386,000","633,137,000","627,839,000","570,863,000","588,086,000","599,560,000","578,721,000","483,204,000","512,411,000","328,148,000","553,871,000","493,779,000","498,228,000","473,430,000","455,535,000","435,940,000","450,323,000","432,298,000","468,424,000","350,054,000","381,717,000","388,190,000","332,502,000","295,118,000","316,004,000","343,071,000","312,957,000","292,688,000","302,233,000","410,997,000","315,990,000","311,974,000","329,669,000","441,410,000","399,240,000","368,114,000","356,531,000","333,700,000","356,300,000","356,300,000","351,000,000","325,600,000","345,000,000","337,900,000","351,800,000","338,000,000","336,400,000","327,500,000","330,000,000","345,500,000","318,500,000","308,500,000","310,200,000","349,300,000","319,800,000","313,900,000","315,700,000","298,700,000","313,600,000","297,200,000","291,500,000","263,900,000","266,900,000","255,000,000","256,100,000","231,700,000","255,800,000","208,900,000","203,200,000","198,300,000","180,700,000","161,800,000","158,600,000","162,300,000","154,600,000","147,700,000","144,500,000","143,400,000","144,500,000","133,000,000","134,800,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"4,753,182,000","1,353,338,000","1,160,303,000","1,036,122,000","1,203,419,000","1,214,518,000","1,005,970,000","816,151,000","922,558,000","1,305,481,000","1,216,896,000","1,102,073,000","1,423,154,000","1,451,782,000","1,298,116,000","1,172,287,000","1,227,752,000","1,286,610,000","1,168,470,000","1,004,548,000","1,003,518,000","1,230,404,000","1,052,050,000","965,062,000","1,031,042,000","1,108,698,000","1,086,282,000","990,487,000","992,919,000","1,177,229,000","1,068,710,000","942,924,000","971,022,000","1,077,027,000","989,422,000","875,719,000","898,864,000","987,460,000","933,372,000","822,389,000","853,487,000","963,707,000","814,971,000","656,861,000","650,300,000","715,853,000","682,443,000","582,078,000","594,416,000","626,730,000","610,072,000","532,206,000","567,386,000","633,137,000","627,839,000","570,863,000","588,086,000","599,560,000","578,721,000","483,204,000","512,411,000","328,148,000","553,871,000","493,779,000","498,228,000","508,719,000","470,753,000","445,813,000","463,672,000","446,776,000","466,197,000","371,785,000","394,957,000","366,462,000","341,861,000","301,157,000","322,334,000","325,180,000","321,027,000","298,195,000","306,973,000","410,997,000","315,990,000","311,974,000","329,669,000","396,731,000","355,266,000","325,458,000","314,418,000","291,700,000","313,500,000","314,200,000","310,500,000","286,000,000","304,500,000","298,500,000","309,900,000","301,200,000","296,900,000","287,000,000","290,500,000","305,400,000","280,000,000","267,000,000","269,800,000","308,000,000","277,100,000","272,700,000","273,200,000","258,700,000","274,100,000","258,900,000","253,900,000","233,500,000","235,100,000","223,200,000","221,800,000","209,100,000","225,900,000","180,200,000","176,100,000","174,700,000","157,900,000","139,400,000","136,600,000","137,000,000","130,400,000","123,700,000","119,700,000","123,000,000","121,000,000","110,100,000","112,300,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,679,000","43,974,000","42,656,000","42,113,000","42,000,000","42,800,000","42,100,000","40,500,000","39,600,000","40,500,000","39,400,000","41,900,000","36,800,000","39,500,000","40,500,000","39,500,000","40,100,000","38,500,000","41,500,000","40,400,000","41,300,000","42,700,000","41,200,000","42,500,000","40,000,000","39,500,000","38,300,000","37,600,000","30,400,000","31,800,000","31,800,000","34,300,000","22,600,000","29,900,000","28,700,000","27,100,000","23,600,000","22,800,000","22,400,000","22,000,000","25,300,000","24,200,000","24,000,000","24,800,000","20,400,000","23,500,000","22,900,000","22,500,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,679,000","43,974,000","42,656,000","42,113,000","42,000,000","42,800,000","42,100,000","40,500,000","39,600,000","40,500,000","39,400,000","41,900,000","36,800,000","39,500,000","40,500,000","39,500,000","40,100,000","38,500,000","41,500,000","40,400,000","41,300,000","42,700,000","41,200,000","42,500,000","40,000,000","39,500,000","38,300,000","37,600,000","30,400,000","31,800,000","31,800,000","34,300,000","22,600,000","29,900,000","28,700,000","27,100,000","23,600,000","22,800,000","22,400,000","22,000,000","25,300,000","24,200,000","24,000,000","24,800,000","20,400,000","23,500,000","22,900,000","22,500,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-35,289,000","-15,218,000","-9,873,000","-13,349,000","-14,478,000","2,227,000","-21,731,000","-13,240,000",,"-9,359,000","-6,039,000","-6,330,000",,"-8,070,000","-5,507,000","-4,740,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,582,666,000","678,442,000","558,486,000","202,884,000","142,854,000","411,999,000","319,948,000","-246,809,000","-40,131,000","578,802,000","579,065,000","133,292,000","194,384,000","591,905,000","658,669,000","230,882,000","311,359,000","454,994,000","588,600,000","168,022,000","291,474,000","399,765,000","635,428,000","211,424,000","336,252,000","540,768,000","642,928,000","223,027,000","397,835,000","578,006,000","633,082,000","219,808,000","403,190,000","508,382,000","579,703,000","201,334,000","357,728,000","450,288,000","536,892,000","163,985,000","314,102,000","351,359,000","430,118,000","188,671,000","274,643,000","275,269,000","354,545,000","169,524,000","223,260,000","259,693,000","317,891,000","119,738,000","161,448,000","179,803,000","351,211,000","163,856,000","244,125,000","250,615,000","331,039,000","168,462,000","215,325,000","155,221,000","306,769,000","161,207,000","202,947,000","178,146,000","292,465,000","158,670,000","198,896,000","204,050,000","251,404,000","149,775,000","172,559,000","161,941,000","204,576,000","125,613,000","152,759,000","116,409,000","216,315,000","152,342,000","138,969,000","-125,399,000","190,575,000","134,941,000","151,224,000","36,976,000","183,538,000","145,495,000","143,984,000","167,600,000","186,500,000","144,700,000","154,000,000","182,800,000","209,600,000","156,100,000","143,300,000","148,700,000","189,700,000","140,300,000","127,200,000","150,400,000","166,300,000","129,300,000","110,700,000","-25,600,000","135,400,000","128,200,000","115,300,000","140,800,000","167,900,000","121,300,000","108,700,000","106,100,000","119,900,000","104,300,000","101,400,000","112,400,000","142,300,000","89,000,000","85,600,000","84,200,000","100,300,000","62,100,000","57,400,000","39,200,000","92,200,000","63,000,000","55,100,000","77,100,000","94,100,000","74,900,000","66,800,000","-1,590,100,000","672,400,000","642,900,000","595,900,000","-1,595,200,000","731,600,000","640,700,000","581,500,000","-829,000,000","430,200,000","345,500,000","316,700,000","-795,000,000","429,000,000"
