name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,552,200,000","1,606,303,000","1,516,506,000","1,361,047,000","1,068,344,000","1,175,119,000","1,309,890,000","1,322,575,000","1,049,242,000","1,186,152,000","1,418,758,000","1,327,682,000","996,511,000","1,088,047,000","1,240,197,000","1,200,151,000","854,474,000","977,490,000","1,094,715,000","1,030,763,000","787,328,000","872,974,000","1,008,140,000","956,825,000","754,728,000","857,285,000","1,038,460,000","895,143,000","631,293,000","755,027,000","873,579,000","791,143,000","574,420,000","680,246,000","813,568,000","738,733,000","538,162,000","608,431,000","728,861,000","694,136,000","535,882,000","614,627,000","760,752,000","701,971,000","487,200,000","586,243,000","743,204,000","736,152,000","493,264,000","590,144,000","778,192,000","721,859,000","600,294,000","799,199,000","1,013,349,000","1,021,551,000","817,339,000","856,890,000","904,866,000","878,844,000","687,187,000","816,304,000","929,321,000","888,162,000","708,687,000","754,621,000","830,016,000","782,074,000","528,616,000","129,360,000","891,192,000","816,320,000","617,462,000","728,735,000","829,905,000","766,815,000","600,370,000","675,969,000","785,786,000","747,741,000","587,081,000","728,129,000","843,118,000","828,325,000","569,129,000","630,398,000","681,214,000","665,151,000","514,981,000","605,600,000","656,400,000","611,500,000","482,200,000","442,100,000","509,500,000","465,800,000","359,000,000","414,300,000","477,900,000","445,100,000","341,400,000","397,500,000","443,600,000","419,200,000","308,500,000","361,800,000","422,000,000","382,800,000","294,400,000","349,400,000","360,400,000","326,700,000","216,900,000","282,000,000","331,500,000","305,900,000","214,100,000","270,800,000","312,300,000","284,200,000","210,600,000","254,800,000","289,200,000","266,400,000","197,000,000","271,000,000","306,600,000","295,700,000","232,000,000","257,700,000","307,200,000","293,700,000","217,500,000","267,500,000","298,600,000","284,500,000","202,700,000","246,400,000","270,100,000","237,900,000","168,900,000","237,000,000","263,700,000","256,600,000","200,600,000","229,600,000","274,100,000"
	OperatingRevenue,"5,552,200,000","2,170,898,000","1,310,379,000","1,165,987,000","904,936,000","1,175,119,000","1,309,890,000","1,322,575,000","1,049,242,000","1,186,152,000","1,418,758,000","1,327,682,000","996,511,000","1,088,047,000","1,240,197,000","1,200,151,000","854,474,000","977,490,000","1,094,715,000","1,030,763,000","787,328,000","872,974,000","1,008,140,000","956,825,000","754,728,000","857,285,000","1,038,460,000","895,143,000","631,293,000","755,027,000","873,579,000","756,289,000","548,496,000","652,882,000","775,183,000","696,078,000","504,554,000","452,364,000","728,861,000","694,136,000","535,882,000","614,627,000","760,752,000","701,971,000","487,200,000","586,243,000","743,204,000","736,152,000","493,264,000","590,144,000","778,192,000","721,859,000","600,294,000","799,199,000","1,013,349,000","1,021,551,000","817,339,000","856,890,000","904,866,000","878,844,000","687,187,000","816,304,000","929,321,000","888,162,000","708,687,000","754,621,000","830,016,000","782,074,000","528,616,000","129,360,000","891,192,000","816,320,000","617,462,000","728,735,000","829,905,000","766,815,000","600,370,000","675,969,000","785,786,000","747,741,000","587,081,000","728,129,000","843,118,000","828,325,000","569,129,000","630,398,000","681,214,000","665,151,000","514,981,000","605,600,000","656,400,000","611,500,000","482,200,000","442,100,000","509,500,000","465,800,000","359,000,000","414,300,000","477,900,000","445,100,000","341,400,000","397,500,000","443,600,000","419,200,000","308,500,000","361,800,000","422,000,000","382,800,000","294,400,000","349,400,000","360,400,000","326,700,000","216,900,000","282,000,000","331,500,000","305,900,000","214,100,000","270,800,000","312,300,000","284,200,000","210,600,000","254,800,000","289,200,000","266,400,000","197,000,000","271,000,000","306,600,000","295,700,000","232,000,000","257,700,000","307,200,000","293,700,000","217,500,000","267,500,000","298,600,000","284,500,000","202,700,000","246,400,000","270,100,000","237,900,000","168,900,000","237,000,000","263,700,000","256,600,000","200,600,000","229,600,000","274,100,000"
CostOfRevenue,"4,178,800,000","1,254,594,000","1,122,445,000","962,683,000","839,077,000","872,378,000","929,392,000","926,056,000","847,519,000","893,071,000","1,018,115,000","957,180,000","804,836,000","812,763,000","897,055,000","876,967,000","695,140,000","734,199,000","789,199,000","738,988,000","627,349,000","633,269,000","703,931,000","664,641,000","590,010,000","603,356,000","747,170,000","660,694,000","553,428,000","585,367,000","664,537,000","616,355,000","540,328,000","562,899,000","654,585,000","605,838,000","520,507,000","529,225,000","601,938,000","588,197,000","513,924,000","540,272,000","644,972,000","601,131,000","494,306,000","535,493,000","616,457,000","613,817,000","492,370,000","522,103,000","623,712,000","576,025,000","522,687,000","650,009,000","812,503,000","776,325,000","662,889,000","635,807,000","627,474,000","593,611,000","519,992,000","578,997,000","656,033,000","630,426,000","544,892,000","576,009,000","602,760,000","571,699,000","436,383,000","30,610,000","671,069,000","638,592,000","532,994,000","569,205,000","633,223,000","608,748,000","525,697,000","557,577,000","615,217,000","586,011,000","496,780,000","574,913,000","631,270,000","629,446,000","483,618,000","441,290,000","449,356,000","442,608,000","368,660,000","407,900,000","431,100,000","406,900,000","339,000,000","270,700,000","297,500,000","286,200,000","240,700,000","264,200,000","302,100,000","280,200,000","237,400,000","254,400,000","275,800,000","263,500,000","213,000,000","219,700,000","260,900,000","243,300,000","210,000,000","243,000,000","243,400,000","223,100,000","170,400,000","196,900,000","221,200,000","206,800,000","160,600,000","182,500,000","207,000,000","185,200,000","150,500,000","180,800,000","190,500,000","172,300,000","142,200,000","182,900,000","191,600,000","182,500,000","155,600,000","174,800,000","180,600,000","180,100,000","147,600,000",,,,,,,,,,,,,,
GrossProfit,"1,373,400,000","351,709,000","394,061,000","398,364,000","229,267,000","302,741,000","380,498,000","396,519,000","201,723,000","293,081,000","400,643,000","370,502,000","191,675,000","275,284,000","343,142,000","323,184,000","159,334,000","243,291,000","305,516,000","291,775,000","159,979,000","239,705,000","304,209,000","292,184,000","164,718,000","253,929,000","291,290,000","234,449,000","77,865,000","169,660,000","209,042,000","174,788,000","34,092,000","117,347,000","158,983,000","132,895,000","17,655,000","79,206,000","126,923,000","105,939,000","21,958,000","74,355,000","115,780,000","100,840,000","-7,106,000","50,750,000","126,747,000","122,335,000","894,000","68,041,000","154,480,000","145,834,000","77,607,000","149,190,000","200,846,000","245,226,000","154,450,000","221,083,000","277,392,000","285,233,000","167,195,000","237,307,000","273,288,000","257,736,000","163,795,000","178,612,000","227,256,000","210,375,000","92,233,000","98,750,000","220,123,000","177,728,000","84,468,000","159,530,000","196,682,000","158,067,000","74,673,000","118,392,000","170,569,000","161,730,000","90,301,000","153,216,000","211,848,000","198,879,000","85,511,000","189,108,000","231,858,000","222,543,000","146,321,000","197,700,000","225,300,000","204,600,000","143,200,000","171,400,000","212,000,000","179,600,000","118,300,000","150,100,000","175,800,000","164,900,000","104,000,000","143,100,000","167,800,000","155,700,000","95,500,000","142,100,000","161,100,000","139,500,000","84,400,000","106,400,000","117,000,000","103,600,000","46,500,000","85,100,000","110,300,000","99,100,000","53,500,000","88,300,000","105,300,000","99,000,000","60,100,000","74,000,000","98,700,000","94,100,000","54,800,000","88,100,000","115,000,000","113,200,000","76,400,000","82,900,000","126,600,000","113,600,000","69,900,000",,,,,,,,,,,,,,
OperatingExpense,"482,700,000","140,107,000","134,635,000","111,039,000","96,919,000","107,991,000","93,970,000","97,365,000","90,421,000","112,275,000","97,501,000","97,879,000","94,539,000","95,365,000","96,062,000","95,037,000","82,315,000","105,254,000","77,517,000","100,561,000","87,948,000","78,723,000","79,846,000","88,856,000","90,386,000","82,953,000","79,435,000","79,642,000","70,663,000","74,905,000","68,963,000","72,704,000","75,787,000","65,899,000","68,566,000","69,439,000","70,314,000","72,545,000","66,647,000","93,974,000","74,977,000","106,848,000","50,569,000","80,271,000","80,078,000","82,223,000","76,791,000","81,125,000","37,664,000","51,113,000","87,340,000","81,458,000","83,939,000","80,955,000","72,543,000","6,757,000","87,692,000","75,346,000","63,091,000","68,000,000","30,049,000","65,667,000","66,570,000","65,180,000","65,042,000","34,036,000","62,350,000","55,688,000","54,465,000","35,087,000","60,990,000","58,074,000","53,513,000","43,552,000","60,225,000","56,885,000","65,265,000","63,703,000","62,460,000","61,441,000","60,724,000","73,712,000","67,702,000","70,544,000","67,074,000","117,256,000","112,120,000","111,900,000","108,067,000","105,400,000","100,700,000","103,400,000","103,200,000","93,600,000","85,700,000","81,500,000","77,900,000","80,700,000","80,700,000","77,100,000","72,500,000","79,000,000","73,300,000","70,300,000","65,100,000","72,400,000","67,800,000","66,100,000","64,200,000","61,700,000","60,400,000","54,900,000","54,600,000","54,300,000","54,900,000","53,100,000","52,300,000","54,400,000","51,100,000","53,000,000","51,000,000","79,100,000","51,900,000","52,600,000","52,900,000","60,200,000","49,800,000","50,200,000","48,600,000","51,200,000","47,800,000","46,900,000","46,100,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"417,600,000","124,548,000","103,792,000","100,667,000","88,593,000","98,626,000","83,511,000","91,205,000","86,430,000","95,801,000","88,789,000","95,689,000","90,268,000","84,382,000","81,606,000","89,043,000","78,340,000","85,655,000","73,350,000","82,793,000","82,120,000","79,526,000","76,311,000","82,681,000","76,468,000","79,494,000","71,390,000","69,197,000","66,763,000","72,480,000","66,074,000","67,615,000","66,119,000","64,016,000","65,854,000","64,902,000","64,655,000","23,542,000","66,647,000","93,974,000","74,977,000","68,726,000","67,859,000","75,893,000","77,516,000","120,106,000","77,560,000","83,376,000","86,495,000","82,979,000","79,558,000","79,353,000","79,717,000","88,863,000","76,364,000","84,781,000","92,576,000","77,496,000","66,398,000","71,308,000","74,402,000","93,128,000","66,570,000","65,180,000","65,042,000","66,709,000","62,350,000","55,688,000","54,465,000","35,087,000","60,990,000","58,074,000","53,513,000","43,552,000","60,225,000","56,885,000","65,265,000","63,703,000","62,460,000","61,441,000","60,724,000","73,712,000","67,702,000","70,544,000","67,074,000","50,147,000","54,815,000","57,068,000","54,948,000","50,800,000","48,300,000","52,300,000","54,200,000","58,300,000","47,100,000","46,900,000","46,700,000","48,200,000","50,500,000","47,800,000","43,900,000","49,100,000","44,200,000","42,900,000","38,900,000","44,000,000","39,600,000","38,800,000","37,400,000","34,800,000","33,800,000","28,600,000","27,800,000","27,100,000","29,700,000","28,000,000","27,300,000","27,800,000","25,500,000","27,200,000","25,300,000","51,600,000","24,500,000","25,200,000","25,700,000","32,600,000","24,800,000","25,600,000","24,500,000","27,200,000","24,400,000","23,800,000","23,600,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,109,000","57,305,000","54,832,000","53,119,000","54,600,000","52,400,000","51,100,000","49,000,000","35,300,000","38,600,000","34,600,000","31,200,000","32,500,000","30,200,000","29,300,000","28,600,000","29,900,000","29,100,000","27,400,000","26,200,000","28,400,000","28,200,000","27,300,000","26,800,000","26,900,000","26,600,000","26,300,000","26,800,000","27,200,000","25,200,000","25,100,000","25,000,000","26,600,000","25,600,000","25,800,000","25,700,000","27,500,000","27,400,000","27,400,000","27,200,000","27,600,000","25,000,000","24,600,000","24,100,000","24,000,000","23,400,000","23,100,000","22,500,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,109,000","57,305,000","54,832,000","53,119,000","54,600,000","52,400,000","51,100,000","49,000,000","35,300,000","38,600,000","34,600,000","31,200,000","32,500,000","30,200,000","29,300,000","28,600,000","29,900,000","29,100,000","27,400,000","26,200,000","28,400,000","28,200,000","27,300,000","26,800,000","26,900,000","26,600,000","26,300,000","26,800,000","27,200,000","25,200,000","25,100,000","25,000,000","26,600,000","25,600,000","25,800,000","25,700,000","27,500,000","27,400,000","27,400,000","27,200,000","27,600,000","25,000,000","24,600,000","24,100,000","24,000,000","23,400,000","23,100,000","22,500,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,"65,100,000","15,559,000","30,843,000","10,372,000","8,326,000","9,365,000","10,459,000","6,160,000","3,991,000","16,474,000","8,712,000","2,190,000","4,271,000","10,983,000","14,456,000","5,994,000","3,975,000","19,599,000","4,167,000","17,768,000","5,828,000","-803,000","3,535,000","6,175,000","13,918,000","3,459,000","8,045,000","10,445,000","3,900,000","2,425,000","2,889,000","5,089,000","9,668,000","1,883,000","2,712,000","4,537,000","5,659,000","3,029,000",,"904,000","9,851,000","38,122,000","-17,290,000","4,378,000","2,562,000",,"-769,000","-2,251,000","-48,831,000","-31,866,000","7,782,000","2,105,000","4,222,000","-7,908,000","-3,821,000","-78,024,000","-4,884,000","-2,150,000","-3,307,000","-3,308,000","-44,353,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"890,700,000","211,602,000","259,426,000","287,325,000","132,348,000","194,750,000","286,528,000","299,154,000","111,302,000","180,806,000","303,142,000","272,623,000","97,136,000","179,919,000","247,080,000","228,147,000","77,019,000","138,037,000","227,999,000","191,214,000","72,031,000","160,982,000","224,363,000","203,328,000","74,332,000","170,976,000","211,855,000","154,807,000","7,202,000","94,755,000","140,079,000","102,084,000","-41,695,000","51,448,000","90,417,000","63,456,000","-52,659,000","6,661,000","60,276,000","11,965,000","-53,019,000","-32,493,000","65,211,000","20,569,000","-87,184,000","-31,473,000","49,956,000","41,210,000","-36,770,000","16,928,000","67,140,000","64,376,000","-6,332,000","68,235,000","128,303,000","238,469,000","66,758,000","145,737,000","214,301,000","217,233,000","137,146,000","171,640,000","206,718,000","192,556,000","98,753,000","144,576,000","164,906,000","154,687,000","37,768,000","63,663,000","159,133,000","119,654,000","30,955,000","115,978,000","136,457,000","101,182,000","9,408,000","54,689,000","108,109,000","100,289,000","29,577,000","79,504,000","144,146,000","128,335,000","18,437,000","71,852,000","119,738,000","110,643,000","38,254,000","92,300,000","124,600,000","101,200,000","40,000,000","77,800,000","126,300,000","98,100,000","40,400,000","69,400,000","95,100,000","87,800,000","31,500,000","64,100,000","94,500,000","85,400,000","30,400,000","69,700,000","93,300,000","73,400,000","20,200,000","44,700,000","56,600,000","48,700,000","-8,100,000","30,800,000","55,400,000","46,000,000","1,200,000","33,900,000","54,200,000","46,000,000","9,100,000","-5,100,000","46,800,000","41,500,000","1,900,000","27,900,000","65,200,000","63,000,000","27,800,000","31,700,000","78,800,000","66,700,000","23,800,000","-577,300,000","298,600,000","284,500,000","202,700,000","-486,500,000","270,100,000","237,900,000","168,900,000","-565,100,000","263,700,000","256,600,000","200,600,000","-616,300,000","274,100,000"
