name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"1,589,210,000","421,080,000","409,212,000","378,941,000","379,977,000","376,431,000","363,962,000","343,026,000","444,532,000","460,968,000","465,961,000","463,103,000","534,668,000","543,417,000","542,048,000","541,818,000","536,437,000","536,226,000","528,755,000","626,039,000","620,848,000","638,260,000","633,197,000","621,708,000","613,037,000","651,581,000","627,596,000","616,288,000","606,802,000","638,238,000","670,909,000","666,606,000","660,618,000","674,531,000","683,380,000","685,858,000","721,016,000","687,970,000","710,977,000","700,591,000","727,466,000","741,815,000","727,343,000","730,151,000","737,111,000","680,259,000","707,032,000","696,105,000","696,331,000","719,003,000","671,219,000","678,385,000","682,014,000","696,259,000","677,145,000","674,365,000","652,521,000","591,558,000","853,036,000","793,457,000","737,056,000","723,252,000","678,474,000","663,032,000","647,601,000","697,219,000","656,955,000","594,785,000","597,478,000","497,308,000","416,850,000","400,054,000","393,050,000","377,035,000","383,842,000","374,536,000","377,005,000","374,291,000","361,208,000","353,247,000","346,324,000","240,717,000","250,265,000","246,075,000","242,610,000","193,928,000","215,655,000","198,745,000","195,279,000","150,193,000","182,821,000","166,188,000","163,564,000","94,994,000","140,672,000","128,523,000","90,211,000","60,773,000","61,868,000","50,662,000","29,297,000","30,382,000","29,063,000","29,245,000","28,610,000","22,898,000","26,630,000","27,056,000","26,216,000","40,500,000","16,200,000","15,800,000","15,600,000","13,400,000","11,900,000","11,700,000","11,000,000","11,200,000","9,400,000","10,200,000","9,900,000","9,700,000","11,300,000","9,100,000","10,400,000",,,,,,,,,,,,,,,,,,,,,
	OperatingRevenue,"1,589,210,000","421,080,000","409,212,000","378,941,000","379,977,000","351,067,000","363,962,000","343,026,000","444,532,000","460,968,000","465,961,000","458,369,000","531,899,000","473,960,000","471,523,000","478,973,000","536,437,000","719,275,000","461,812,000","556,939,000","544,617,000","854,005,000","553,580,000","553,775,000","544,842,000","877,208,000","550,462,000","543,751,000","530,846,000","911,184,000","576,759,000","581,888,000","566,381,000","937,542,000","590,634,000","600,604,000","635,207,000","912,257,000","630,480,000","621,758,000","645,859,000","657,252,000","633,290,000","647,826,000","646,152,000","598,647,000","609,197,000","608,025,000","603,410,000","627,955,000","581,689,000","594,909,000","583,880,000","607,792,000","579,233,000","589,467,000","565,044,000","830,868,000","763,554,000","716,087,000","664,523,000","653,027,000","609,875,000","602,112,000","585,868,000","642,695,000","603,094,000","544,420,000","547,132,000","448,064,000","368,057,000","355,356,000","344,726,000","268,854,000","337,386,000","330,478,000","332,438,000","326,759,000","310,515,000","309,869,000","301,760,000","351,156,000","211,541,000","212,252,000","204,718,000","290,868,000","178,159,000","168,575,000","166,005,000","229,285,000","153,598,000","141,724,000","138,159,000","154,476,000","118,197,000","109,362,000","72,365,000","89,247,000","49,882,000","41,004,000","22,467,000","52,216,000","21,927,000","21,820,000","21,337,000","43,410,000","20,406,000","20,012,000","18,972,000","40,500,000","16,200,000","15,800,000","15,600,000","13,400,000","11,900,000","11,700,000","11,000,000","11,200,000","9,400,000","10,200,000","9,900,000","9,700,000","11,300,000","9,100,000","10,400,000",,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"797,315,000","202,717,000","212,699,000","190,920,000","190,979,000","188,989,000","195,645,000","174,425,000","230,007,000","223,975,000","226,359,000","220,752,000","246,895,000","254,320,000","235,575,000","235,981,000","237,602,000","225,011,000","225,226,000","256,687,000","260,907,000","262,023,000","260,826,000","245,138,000","256,349,000","257,505,000","256,561,000","242,690,000","254,493,000","262,248,000","268,450,000","261,453,000","273,391,000","273,312,000","267,661,000","276,231,000","271,943,000","307,193,000","334,918,000","305,905,000","329,587,000","294,518,000","319,078,000","303,092,000","329,051,000","270,950,000","281,548,000","267,925,000","279,055,000","273,224,000","265,952,000","270,297,000","279,376,000","276,207,000","276,302,000","256,358,000","262,605,000",,"431,339,000","392,757,000","370,966,000","366,922,000","347,742,000","319,851,000","332,129,000","370,505,000","353,376,000","283,886,000","296,917,000","220,034,000","161,132,000","144,258,000","154,366,000","142,935,000","150,965,000","141,635,000","151,965,000","142,646,000","145,237,000","126,267,000","127,446,000",,"102,222,000","96,831,000","100,383,000",,"82,700,000","74,366,000","76,305,000",,"74,644,000","65,925,000","65,037,000",,"58,607,000","51,454,000","34,153,000",,"21,899,000","18,151,000","8,507,000",,"8,885,000","9,145,000","8,914,000",,"8,095,000","7,427,000","7,560,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"791,895,000","218,363,000","196,513,000","188,021,000","188,998,000","187,442,000","168,317,000","168,601,000","214,525,000","236,993,000","239,602,000","242,351,000","287,773,000","289,097,000","306,473,000","305,837,000","298,835,000","311,215,000","303,529,000","369,352,000","359,941,000","376,237,000","372,371,000","376,570,000","356,688,000","394,076,000","371,035,000","373,598,000","352,309,000","375,990,000","402,459,000","405,153,000","387,227,000","401,219,000","415,719,000","409,627,000","449,073,000","380,777,000","376,059,000","394,686,000","397,879,000","447,297,000","408,265,000","427,059,000","408,060,000","409,309,000","425,484,000","428,180,000","417,276,000","445,779,000","405,267,000","408,088,000","402,638,000","420,052,000","400,843,000","418,007,000","389,916,000",,"421,697,000","400,700,000","366,090,000","356,330,000","330,732,000","343,181,000","315,472,000","326,714,000","303,579,000","310,899,000","300,561,000","277,274,000","255,718,000","255,796,000","238,684,000","234,100,000","232,877,000","232,901,000","225,040,000","231,645,000","215,971,000","226,980,000","218,878,000",,"148,043,000","149,244,000","142,227,000",,"132,955,000","124,379,000","118,974,000",,"108,177,000","100,263,000","98,527,000",,"82,065,000","77,069,000","56,058,000",,"39,969,000","32,511,000","20,790,000",,"20,178,000","20,100,000","19,696,000",,"18,535,000","19,629,000","18,656,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"546,892,000","160,553,000","126,420,000","120,379,000","139,540,000","168,338,000","139,420,000","133,927,000","152,888,000","132,717,000","129,674,000","151,907,000","174,729,000","145,803,000","145,146,000","146,273,000","152,319,000","151,004,000","141,233,000","179,485,000","195,469,000","186,390,000","179,410,000","186,877,000","191,661,000","181,422,000","178,077,000","176,146,000","182,614,000","174,013,000","174,755,000","173,593,000","199,809,000","184,205,000","172,329,000","189,809,000","196,936,000","181,589,000","173,077,000","179,363,000","195,327,000","214,380,000","180,526,000","182,149,000","191,230,000","184,216,000","191,312,000","184,847,000","184,554,000","191,965,000","182,187,000","186,949,000","211,188,000","184,026,000","186,200,000","181,233,000","180,893,000",,"198,743,000","192,012,000","161,869,000","176,536,000","154,611,000","151,443,000","136,473,000","138,893,000","130,758,000","129,469,000","118,806,000","122,467,000","89,755,000","88,445,000","87,465,000","92,463,000","84,792,000","81,410,000","80,057,000","59,919,000","86,238,000","80,197,000","77,930,000",,"44,318,000","52,501,000","46,113,000",,"38,330,000","35,457,000","33,450,000",,"29,160,000","29,754,000","28,920,000",,"22,985,000","22,099,000","15,313,000",,"16,470,000","14,764,000","11,211,000",,"4,467,000","4,373,000","4,181,000",,"4,076,000","4,860,000","4,321,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"134,545,000","34,204,000","25,553,000","30,602,000","44,186,000","61,254,000","32,407,000","35,014,000","52,834,000","39,791,000","33,237,000","38,872,000","58,020,000","32,934,000","31,977,000","34,427,000","43,633,000","36,838,000","36,261,000","42,470,000","56,658,000","44,569,000","40,442,000","45,564,000","48,704,000","41,469,000","36,157,000","39,189,000","58,492,000","44,651,000","44,547,000","44,568,000","52,158,000","53,945,000","48,250,000","54,323,000","54,582,000","50,752,000","48,742,000","46,834,000","55,890,000","54,415,000","46,452,000","50,251,000","59,003,000","59,356,000","56,557,000","49,582,000","48,730,000","51,307,000","51,684,000","49,632,000","79,069,000","44,862,000","49,495,000","50,285,000","49,388,000","61,278,000","58,366,000","59,555,000","53,063,000","70,611,000","52,318,000","52,563,000","45,867,000","48,387,000","48,107,000","45,805,000","40,700,000","54,566,000","29,774,000","30,033,000","30,845,000","35,763,000","31,970,000","27,436,000","27,474,000","3,255,000","34,227,000","30,634,000","30,342,000","20,866,000","15,043,000","22,415,000","14,248,000","13,640,000","13,304,000","10,770,000","10,197,000","12,681,000","7,722,000","10,169,000","9,628,000","9,808,000","6,775,000","7,070,000","4,947,000","-13,355,000","9,709,000","9,152,000","8,094,000","1,311,000","1,381,000","1,319,000","1,189,000","1,682,000","1,181,000","2,134,000","1,703,000","2,900,000","1,200,000","1,300,000","1,200,000","1,200,000","700,000","1,200,000","1,200,000","1,000,000","1,100,000","1,200,000","1,000,000","1,500,000","1,200,000","1,200,000","900,000",,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"134,545,000","34,204,000","25,553,000","30,602,000","44,186,000","61,254,000","32,407,000","35,014,000","52,834,000","39,791,000","33,237,000","38,872,000","58,020,000","32,934,000","31,977,000","34,427,000","43,633,000","36,838,000","36,261,000","42,470,000","56,658,000","44,569,000","40,442,000","45,564,000","48,704,000","41,469,000","36,157,000","39,189,000","58,492,000","44,651,000","44,547,000","44,568,000","52,158,000","53,945,000","48,250,000","54,323,000","54,582,000","50,752,000","48,742,000","46,834,000","55,890,000","54,415,000","46,452,000","50,251,000","59,003,000","59,356,000","56,557,000","49,582,000","48,730,000","51,307,000","51,684,000","49,632,000","79,069,000","44,862,000","49,495,000","50,285,000","49,388,000","61,278,000","58,366,000","59,555,000","53,063,000","70,611,000","52,318,000","52,563,000","45,867,000","48,387,000","48,107,000","45,805,000","40,700,000","54,566,000","29,774,000","30,033,000","30,845,000","35,763,000","31,970,000","27,436,000","27,474,000","3,255,000","34,227,000","30,634,000","30,342,000","20,866,000","15,043,000","22,415,000","14,248,000","13,640,000","13,304,000","10,770,000","10,197,000","12,681,000","7,722,000","10,169,000","9,628,000","9,808,000","6,775,000","7,070,000","4,947,000","-13,355,000","9,709,000","9,152,000","8,094,000","1,311,000","1,381,000","1,319,000","1,189,000","1,682,000","1,181,000","2,134,000","1,703,000","2,900,000","1,200,000","1,300,000","1,200,000","1,200,000","700,000","1,200,000","1,200,000","1,000,000","1,100,000","1,200,000","1,000,000","1,500,000","1,200,000","1,200,000","900,000",,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,"0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,495,000","50,285,000","49,388,000","61,278,000","58,366,000","59,555,000","53,063,000","70,611,000","52,318,000","52,563,000","45,867,000","48,387,000","48,107,000","45,805,000","40,700,000","54,566,000","29,774,000","30,033,000","30,845,000","0","0","0","0","6,875,000","6,875,000","6,875,000","6,875,000","20,866,000","15,043,000","22,415,000","14,248,000","13,640,000","13,304,000","10,770,000","10,197,000","12,700,000","7,700,000","10,200,000","9,600,000","9,800,000","6,800,000","7,100,000","0","-5,147,000","6,249,000","6,249,000","6,249,000","1,300,000","1,400,000","1,300,000","1,200,000","1,700,000","1,200,000","2,100,000","1,700,000","2,900,000","1,200,000","1,300,000","1,200,000","1,200,000","700,000","1,200,000","1,200,000","1,000,000","1,100,000","1,200,000","1,000,000","1,500,000","1,200,000","1,200,000","900,000",,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"134,545,000","34,204,000","25,553,000","30,602,000","44,186,000","61,254,000","32,407,000","35,014,000","52,834,000","39,791,000","33,237,000","38,872,000","58,020,000","32,934,000","31,977,000","34,427,000","43,633,000","36,838,000","36,261,000","42,470,000","56,658,000","44,569,000","40,442,000","45,564,000","48,704,000","41,469,000","36,157,000","39,189,000","58,492,000","44,651,000","44,547,000","44,568,000","52,158,000","53,945,000","48,250,000","54,323,000","54,582,000","50,752,000","48,742,000","46,834,000","55,890,000","54,415,000","46,452,000","50,251,000","59,003,000","59,356,000","56,557,000","49,582,000","48,730,000","51,307,000","51,684,000","49,632,000","79,069,000","44,862,000","49,495,000","50,285,000","49,388,000",,"58,366,000","59,555,000","53,063,000","70,611,000","52,318,000","52,563,000","45,867,000","48,387,000","48,107,000","45,805,000","40,700,000","54,566,000","29,774,000","30,033,000","30,845,000","35,763,000","31,970,000","27,436,000","27,474,000","23,880,000","27,352,000","23,759,000","23,467,000",,"15,043,000","22,415,000","14,248,000",,"13,304,000","10,770,000","10,197,000",,"7,722,000","10,169,000","9,628,000",,"6,775,000","7,070,000","4,947,000",,"3,460,000","2,903,000","1,845,000",,"1,381,000","1,319,000","1,189,000",,"1,181,000","2,134,000","1,703,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","2,446,000","3,239,000","15,151,000","11,374,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
