name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"17,886,300,000","4,341,600,000","4,536,600,000","4,577,800,000","4,430,300,000","3,623,500,000","2,972,100,000","2,731,200,000","2,619,200,000","3,191,800,000","2,961,700,000","2,851,500,000","2,495,500,000","3,078,700,000","2,862,400,000","2,808,300,000","2,684,500,000","3,238,900,000","2,987,100,000","2,962,200,000","2,719,500,000","3,267,800,000","3,057,100,000","2,560,700,000","2,191,300,000","2,490,700,000","2,695,200,000","2,371,700,000","1,871,700,000","2,082,700,000","2,084,000,000","1,837,300,000","1,715,600,000","1,808,526,000","1,767,426,000","1,701,701,000","1,631,490,000","1,702,393,000","1,809,772,000","1,691,537,000","1,592,408,000","1,531,235,000","1,575,756,000","1,573,877,000","1,448,958,000","1,434,499,000","1,355,113,000","1,368,536,000","1,292,374,000","1,351,817,000","1,264,074,000","1,266,977,000","1,209,917,000","1,203,155,000","1,656,848,000","1,203,122,000","1,074,461,000","477,091,000","546,321,000","487,262,000","401,761,000","366,657,000","356,140,000","324,546,000","311,246,000","297,994,000","323,378,000","316,435,000","290,972,000","306,955,000","339,012,000","333,363,000","349,786,000","360,060,000","331,408,000","353,686,000","320,494,000","319,539,000","275,473,000","282,598,000","297,191,000","286,328,000","237,933,000","248,648,000","223,238,000","207,555,000","167,255,000","214,645,000","203,900,000","194,500,000","177,100,000","190,600,000","186,200,000","177,600,000","166,700,000","135,900,000","129,500,000","154,000,000","109,200,000","118,700,000","114,000,000","109,000,000","98,500,000","94,700,000","91,300,000","97,700,000","109,200,000","110,700,000","104,300,000","96,000,000","85,100,000","69,100,000","66,400,000","57,800,000","58,500,000","61,000,000","61,100,000","51,000,000","38,800,000","38,800,000","34,900,000","26,200,000","23,400,000","24,000,000","22,900,000","20,900,000","23,300,000","27,100,000","24,100,000","23,200,000","21,100,000","21,500,000","22,200,000","21,100,000","23,000,000","26,700,000","22,700,000","25,100,000","21,500,000","24,100,000","23,800,000","25,000,000","22,200,000","20,300,000","23,100,000","21,400,000"
	OperatingRevenue,"17,813,600,000","-5,245,200,000","7,739,500,000","7,752,300,000","7,567,000,000","6,031,100,000","4,986,400,000","4,457,600,000","4,424,000,000","-2,470,700,000","5,051,500,000","4,631,000,000","2,460,600,000","3,035,500,000","2,827,300,000","2,755,500,000","2,650,400,000","3,189,800,000","2,956,300,000","2,926,500,000","2,687,400,000","3,221,600,000","3,029,500,000","2,539,900,000","2,176,100,000","2,474,800,000","2,676,200,000","2,357,000,000","1,854,600,000","2,057,700,000","2,069,400,000","1,816,400,000","1,703,000,000","1,793,815,000","1,756,046,000","1,687,337,000","1,619,408,000","1,656,529,000","1,809,772,000","1,691,537,000","1,592,408,000","1,531,235,000","1,575,756,000","1,573,877,000","1,448,958,000","1,434,499,000","1,355,113,000","1,368,536,000","1,292,374,000","1,351,817,000","1,264,074,000","1,266,977,000","1,209,917,000","1,203,155,000","1,656,848,000","1,203,122,000","1,074,461,000","477,091,000","546,321,000","487,262,000","401,761,000","366,657,000","356,140,000","324,546,000","311,246,000","297,994,000","323,378,000","316,435,000","290,972,000","306,955,000","339,012,000","333,363,000","349,786,000","360,060,000","331,408,000","353,686,000","320,494,000","319,539,000","275,473,000","282,598,000","297,191,000","286,328,000","237,933,000","248,648,000","223,238,000","207,555,000","167,255,000","214,645,000","203,900,000","194,500,000","177,100,000","190,600,000","186,200,000","177,600,000","166,700,000","135,900,000","129,500,000","154,000,000","109,200,000","118,700,000","114,000,000","109,000,000","98,500,000","94,700,000","91,300,000","97,700,000","109,200,000","110,700,000","104,300,000","96,000,000","85,100,000","69,100,000","66,400,000","57,800,000","58,500,000","61,000,000","61,100,000","51,000,000","38,800,000","38,800,000","34,900,000","26,200,000","23,400,000","24,000,000","22,900,000","20,900,000","23,300,000","27,100,000","24,100,000","23,200,000","21,100,000","21,500,000","22,200,000","21,100,000","23,000,000","26,700,000","22,700,000","25,100,000","21,500,000","24,100,000","23,800,000","25,000,000","22,200,000","20,300,000","23,100,000","21,400,000"
CostOfRevenue,"12,310,800,000","2,795,200,000","2,962,500,000","3,250,100,000","3,303,000,000","2,917,100,000","1,813,600,000","1,705,500,000","1,713,100,000","2,104,400,000","1,889,300,000","1,918,900,000","1,690,300,000","2,063,100,000","1,823,200,000","1,845,800,000","1,700,200,000","1,944,300,000","1,809,000,000","1,736,800,000","1,634,500,000","1,932,800,000","1,773,800,000","1,389,000,000","1,284,300,000","1,428,100,000","1,379,900,000","1,363,600,000","1,041,600,000","1,113,700,000","1,071,600,000","1,028,500,000","977,800,000","1,012,575,000","958,908,000","959,317,000","938,000,000","948,066,000","1,021,247,000","992,358,000","926,135,000","886,636,000","917,365,000","904,448,000","858,012,000","855,307,000","775,056,000","826,686,000","776,076,000","835,825,000","759,094,000","739,210,000","684,184,000","808,501,000","745,711,000","788,912,000","724,240,000","255,450,000","249,613,000","252,415,000","177,230,000","170,567,000","167,940,000","163,791,000","155,449,000","154,763,000","155,424,000","163,248,000","155,625,000","151,702,000","159,259,000","155,216,000","150,602,000","152,352,000","153,979,000","166,160,000","150,918,000","152,807,000","127,871,000","121,667,000","119,819,000","122,551,000","116,074,000","131,421,000","107,183,000","101,301,000","82,296,000","95,912,000","83,500,000","74,500,000","72,100,000","75,300,000","78,700,000","79,800,000","76,100,000","74,900,000","69,600,000","65,800,000","56,300,000","70,000,000","61,700,000","59,100,000","51,600,000","51,100,000","43,300,000","42,700,000","47,100,000","46,200,000","43,500,000","37,200,000","30,000,000","32,000,000","28,200,000","28,400,000","25,900,000","23,100,000","22,100,000","19,900,000","17,800,000","17,500,000","17,300,000","14,600,000","13,100,000","14,900,000","12,900,000","11,700,000","12,500,000","15,200,000","13,700,000","14,300,000","12,300,000",,,,,,,,,,,,,,,
GrossProfit,"5,575,500,000","1,546,400,000","1,574,100,000","1,327,700,000","1,127,300,000","706,400,000","1,158,500,000","1,025,700,000","906,100,000","1,087,400,000","1,072,400,000","932,600,000","805,200,000","1,015,600,000","1,039,200,000","962,500,000","984,300,000","1,294,600,000","1,178,100,000","1,225,400,000","1,085,000,000","1,335,000,000","1,283,300,000","1,171,700,000","907,000,000","1,062,600,000","1,315,300,000","1,008,100,000","830,100,000","969,000,000","1,012,400,000","808,800,000","737,800,000","795,951,000","808,518,000","742,384,000","693,490,000","754,327,000","788,525,000","699,179,000","666,273,000","644,599,000","658,391,000","669,429,000","590,946,000","579,192,000","580,057,000","541,850,000","516,298,000","515,992,000","504,980,000","527,767,000","525,733,000","394,654,000","911,137,000","414,210,000","350,221,000","221,641,000","296,708,000","234,847,000","224,531,000","196,090,000","188,200,000","160,755,000","155,797,000","143,231,000","167,954,000","153,187,000","135,347,000","155,253,000","179,753,000","178,147,000","199,184,000","207,708,000","177,429,000","187,526,000","169,576,000","166,732,000","147,602,000","160,931,000","177,372,000","163,777,000","121,859,000","117,227,000","116,055,000","106,254,000","84,959,000","118,733,000","120,400,000","120,000,000","105,000,000","115,300,000","107,500,000","97,800,000","90,600,000","61,000,000","59,900,000","88,200,000","52,900,000","48,700,000","52,300,000","49,900,000","46,900,000","43,600,000","48,000,000","55,000,000","62,100,000","64,500,000","60,800,000","58,800,000","55,100,000","37,100,000","38,200,000","29,400,000","32,600,000","37,900,000","39,000,000","31,100,000","21,000,000","21,300,000","17,600,000","11,600,000","10,300,000","9,100,000","10,000,000","9,200,000","10,800,000","11,900,000","10,400,000","8,900,000","8,800,000",,,,,,,,,,,,,,,
OperatingExpense,"5,280,300,000","1,350,100,000","1,207,100,000","1,352,500,000","1,370,600,000","1,516,200,000","788,200,000","875,700,000","719,600,000","806,200,000","800,600,000","816,200,000","780,500,000","781,700,000","721,400,000","830,000,000","812,400,000","861,400,000","846,900,000","802,000,000","848,800,000","903,100,000","856,000,000","760,900,000","802,900,000","755,200,000","711,900,000","732,400,000","653,100,000","575,800,000","496,500,000","559,500,000","495,700,000","535,914,000","478,863,000","426,822,000","477,853,000","480,121,000","450,662,000","453,577,000","417,728,000","377,104,000","390,236,000","386,714,000","355,305,000","372,259,000","344,277,000","335,160,000","317,057,000","341,785,000","329,421,000","353,054,000","298,392,000","-41,571,000","350,305,000","340,210,000","721,757,000","129,745,000","108,634,000","95,640,000","40,879,000","61,544,000","71,051,000","68,954,000","77,759,000","85,248,000","108,389,000","100,018,000","86,365,000","81,730,000","53,256,000","69,926,000","73,695,000","73,532,000","50,514,000","75,877,000","66,883,000","61,737,000","52,951,000","49,276,000","57,425,000","64,539,000","57,520,000","164,162,000","67,381,000","65,381,000","65,601,000","60,874,000","62,000,000","59,600,000","58,600,000","65,600,000","56,100,000","47,500,000","44,600,000","44,500,000","34,600,000","49,000,000","36,500,000","34,000,000","35,300,000","34,400,000","36,000,000","28,200,000","29,400,000","25,300,000","25,700,000","26,600,000","26,100,000","24,800,000","23,700,000","20,600,000","23,800,000","19,100,000","18,500,000","14,600,000","16,900,000","13,600,000","11,700,000","11,100,000","11,600,000","6,400,000","5,600,000","3,900,000","5,600,000","5,500,000","5,600,000","4,600,000","5,200,000","4,900,000","5,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"4,529,200,000","1,082,900,000","1,055,000,000","1,204,800,000","1,186,500,000","1,361,400,000","658,400,000","719,400,000","605,400,000","654,400,000","632,700,000","668,600,000","607,900,000","632,900,000","577,300,000","623,300,000","607,500,000","659,000,000","664,600,000","620,900,000","631,300,000","708,500,000","656,900,000","581,400,000","549,300,000","596,200,000","537,100,000","564,200,000","483,200,000","425,600,000","418,300,000","404,100,000","377,700,000","380,005,000","364,868,000","315,389,000","351,367,000","362,350,000","342,412,000","359,216,000","336,769,000","301,027,000","319,389,000","314,220,000","279,995,000","290,189,000","272,285,000","268,373,000","255,761,000","269,192,000","259,609,000","279,038,000","239,556,000","265,532,000","275,584,000","259,457,000","252,913,000","97,016,000","76,914,000","62,754,000","52,602,000","50,348,000","49,826,000","49,414,000","48,132,000","57,089,000","71,302,000","78,846,000","63,198,000","59,688,000","57,746,000","53,459,000","51,123,000","49,586,000","47,444,000","51,452,000","43,942,000","41,568,000","36,108,000","37,116,000","43,984,000","48,076,000","40,737,000","33,356,000","40,600,000","38,173,000","39,083,000","38,847,000","40,400,000","38,900,000","38,100,000","35,600,000","36,000,000","28,400,000","25,000,000","24,200,000","21,200,000","31,500,000","19,700,000","-12,000,000","30,300,000","29,700,000","31,800,000","24,700,000","25,100,000","23,100,000","22,200,000","23,100,000","22,900,000","21,800,000","20,700,000","17,600,000","19,800,000","17,600,000","15,800,000","13,200,000","14,500,000","12,300,000","10,200,000","9,600,000","9,700,000","5,600,000","4,700,000","3,900,000","4,600,000","4,600,000","4,600,000","3,700,000","4,200,000","4,400,000","4,400,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"751,100,000","267,200,000","152,100,000","147,700,000","184,100,000","154,800,000","129,800,000","156,300,000","114,200,000","151,800,000","167,900,000","147,600,000","172,600,000","148,800,000","144,100,000","206,700,000","204,900,000","202,400,000","182,300,000","181,100,000","217,500,000","194,600,000","199,100,000","179,500,000","253,600,000","159,000,000","174,800,000","168,200,000","169,900,000","150,200,000","158,200,000","155,400,000","118,000,000","155,909,000","113,995,000","111,433,000","126,486,000","117,771,000","108,250,000","94,361,000","80,959,000","76,077,000","70,847,000","72,494,000","75,310,000","82,070,000","71,992,000","66,787,000","61,296,000","72,593,000","69,812,000","74,016,000","58,836,000","77,897,000","74,721,000","80,753,000","83,844,000","33,577,000","31,720,000","36,848,000","22,922,000","22,696,000","21,225,000","19,530,000","29,282,000","28,159,000","25,087,000","21,177,000","23,167,000","22,042,000","21,495,000","26,880,000","25,248,000","23,946,000","24,739,000","26,795,000","22,941,000","20,169,000","16,843,000","12,160,000","13,441,000","16,463,000","16,783,000","14,771,000","15,816,000","17,263,000","16,535,000","13,421,000","12,400,000","11,500,000","11,800,000","22,100,000","12,300,000","13,400,000","14,100,000","14,600,000","7,900,000","12,100,000","11,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,427,000","10,965,000","9,945,000","9,983,000","8,606,000","9,200,000","9,200,000","8,700,000","7,900,000","7,800,000","5,700,000","5,500,000","5,700,000","5,500,000","5,400,000","5,100,000","3,400,000","5,000,000","4,700,000","4,200,000","3,500,000","4,300,000","2,200,000","3,500,000","3,500,000","3,200,000","3,000,000","3,000,000","3,000,000","4,000,000","1,500,000","2,700,000","1,400,000","2,400,000","1,300,000","1,500,000","1,500,000","1,900,000","800,000","900,000","0","1,000,000","900,000","1,000,000","900,000","1,000,000","500,000","600,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,427,000","10,965,000","9,945,000","9,983,000","8,606,000","9,200,000","9,200,000","8,700,000","7,900,000","7,800,000","5,700,000","5,500,000","5,700,000","5,500,000","5,400,000","5,100,000","3,400,000","5,000,000","4,700,000","4,200,000","3,500,000","4,300,000","2,200,000","3,500,000","3,500,000","3,200,000","3,000,000","3,000,000","3,000,000","4,000,000","1,500,000","2,700,000","1,400,000","2,400,000","1,300,000","1,500,000","1,500,000","1,900,000","800,000","900,000","0","1,000,000","900,000","1,000,000","900,000","1,000,000","500,000","600,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-80,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"385,000,000","-848,000",,"-3,962,000","-34,645,000","-11,500,000",,"10,000","345,000",,"12,000,000","-5,000",,,"-25,985,000","-10,413,000","-2,676,000",,"-21,669,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
