name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"3,828,007,000","1,022,444,000","976,078,000","919,194,000","910,291,000","921,165,000","918,940,000","943,198,000","1,012,054,000","996,004,000","983,155,000","950,717,000","942,874,000","923,263,000","936,538,000","942,304,000","943,705,000","895,288,000","899,928,000","895,490,000","883,443,000","875,713,000","867,116,000","848,404,000","852,289,000","841,274,000","827,606,000","891,322,000","884,024,000","803,987,000","779,035,000","751,254,000","741,470,000","728,406,000","712,386,000","685,846,000","684,868,000","659,306,000","641,950,000","616,448,000","573,694,000","563,913,000","565,957,000","364,660,000","270,461,000","267,994,000","264,665,000","243,978,000","241,545,000","238,836,000","235,830,000","231,988,000","230,851,000","227,956,000","238,554,000","233,513,000","231,764,000","232,553,000","226,294,000","193,722,000","121,848,000","110,662,000","109,667,000","100,306,000","97,814,000","89,427,000","96,135,000","75,154,000","64,003,000","57,259,000","61,608,000","59,767,000","54,277,000","46,817,000","59,779,000","50,185,000","50,423,000","49,835,000","49,079,000","51,246,000","46,739,000","62,305,000","47,296,000","47,356,000","47,624,000","62,369,000","60,879,000","59,974,000","59,100,000","59,345,000","59,300,000","57,900,000","56,600,000"
	OperatingRevenue,"3,738,217,000","999,401,000","946,932,000","900,944,000","890,940,000","902,219,000","899,702,000","922,167,000","983,155,000","972,747,000","952,371,000","921,986,000","925,461,000","904,394,000","905,876,000","883,540,000","902,890,000","857,999,000","866,772,000","862,920,000","862,816,000","855,633,000","834,988,000","824,147,000","829,784,000","820,580,000","808,608,000","865,018,000","860,653,000","784,800,000","764,624,000","736,456,000","730,430,000","715,336,000","697,872,000","670,316,000","667,727,000","618,287,000","641,950,000","616,448,000","573,694,000","563,913,000","565,957,000","364,660,000","270,461,000","267,994,000","264,665,000","243,978,000","132,796,000","238,836,000","235,830,000","228,547,000","227,284,000","227,956,000","238,554,000","233,513,000","231,843,000","202,728,000","226,178,000","193,722,000","127,634,000","122,331,000","109,667,000","100,306,000","97,814,000","97,521,000","96,135,000","75,154,000","64,003,000","61,204,000","61,608,000","59,767,000","54,277,000","46,817,000","59,779,000","50,185,000","50,423,000","49,835,000","49,079,000","51,246,000","46,739,000","62,595,000","47,296,000","47,356,000","47,624,000","63,326,000","60,879,000","59,974,000","59,100,000","59,300,000","59,300,000","57,900,000","56,600,000"
CostOfRevenue,"2,088,497,000","582,576,000","523,850,000","494,853,000","487,218,000","463,373,000","495,542,000","499,148,000","481,695,000","480,854,000","462,120,000","436,416,000","431,137,000","427,503,000","428,820,000","421,947,000","413,028,000","373,731,000","376,625,000","366,382,000","369,725,000","366,502,000","362,091,000","353,807,000","359,673,000","359,801,000","354,261,000","348,337,000","347,629,000","319,805,000","310,989,000","290,385,000","291,011,000","290,691,000","286,763,000","271,405,000","269,088,000","264,367,000","254,492,000","241,233,000","219,744,000","217,841,000","215,508,000","152,971,000","92,323,000","84,769,000","86,640,000","75,183,000","78,879,000","78,443,000","76,338,000","72,564,000","75,468,000","76,447,000","81,698,000","71,842,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,739,510,000","439,868,000","452,228,000","424,341,000","423,073,000","457,792,000","423,398,000","444,050,000","530,359,000","515,150,000","521,035,000","514,301,000","511,737,000","495,760,000","507,718,000","520,357,000","530,677,000","521,557,000","523,303,000","529,108,000","513,718,000","509,211,000","505,025,000","494,597,000","492,616,000","481,473,000","473,345,000","542,985,000","536,395,000","484,182,000","468,046,000","460,869,000","450,459,000","437,715,000","425,623,000","414,441,000","415,780,000","394,939,000","387,458,000","375,215,000","353,950,000","346,072,000","350,449,000","211,689,000","178,138,000","183,225,000","178,025,000","168,795,000","162,666,000","160,393,000","159,492,000","159,424,000","155,383,000","151,509,000","156,856,000","161,671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,318,079,000","347,500,000","343,795,000","281,229,000","345,555,000","274,961,000","288,593,000","409,233,000","291,372,000","390,537,000","275,133,000","269,266,000","276,680,000","282,751,000","258,256,000","260,290,000","270,324,000","267,580,000","246,724,000","257,390,000","251,744,000","263,677,000","239,954,000","254,055,000","268,113,000","264,431,000","258,446,000","283,157,000","281,771,000","269,383,000","230,690,000","222,124,000","226,460,000","224,125,000","206,369,000","200,033,000","207,791,000","204,463,000","219,288,000","216,059,000","185,397,000","20,574,000","181,651,000","96,309,000","66,591,000","74,944,000","67,382,000","60,043,000","63,053,000","66,314,000","60,006,000","65,182,000","60,582,000","60,210,000","62,939,000","68,987,000","156,795,000","-38,802,000","151,529,000","97,849,000","36,173,000","38,499,000","44,278,000","36,052,000","101,637,000","21,369,000","34,997,000","24,985,000","19,258,000","-31,560,000","34,941,000","34,113,000","15,674,000","18,524,000","14,099,000","18,433,000","3,990,000","17,136,000","15,527,000","16,044,000","16,292,000","15,787,000","16,146,000","16,084,000","-1,799,000","-21,604,000","28,637,000","28,685,000","28,311,000","143,557,000","-13,800,000","-14,500,000","-14,400,000"
	SellingGeneralAndAdministration,"129,758,000","28,602,000","30,259,000","30,588,000","40,309,000","23,411,000","34,228,000","29,984,000","42,535,000","41,627,000","40,530,000","43,079,000","40,760,000","38,475,000","39,677,000","36,656,000","37,174,000","34,930,000","33,317,000","33,282,000","33,961,000","31,488,000","31,567,000","32,094,000","31,726,000","27,636,000","32,114,000","33,962,000","34,330,000","28,108,000","29,466,000","31,306,000","32,866,000","30,346,000","28,659,000","27,327,000","28,774,000","23,022,000","26,872,000","26,710,000","22,200,000","23,527,000","20,624,000","15,554,000","14,832,000","14,011,000","15,278,000","9,858,000","10,683,000","8,220,000","9,657,000","10,355,000","10,598,000","11,158,000","11,626,000","9,610,000","8,257,000","11,506,000","9,315,000","8,023,000","7,583,000","6,679,000","6,539,000","6,287,000","6,631,000","6,422,000","6,109,000","5,553,000","5,020,000","5,970,000","3,563,000","3,653,000","3,731,000","3,368,000","3,136,000","3,080,000","3,140,000","2,441,000","2,410,000","2,601,000","2,311,000","2,504,000","2,598,000","2,593,000","2,549,000","2,302,000","2,602,000","2,497,000","2,288,000","-4,533,000","5,200,000","4,600,000","2,600,000"
		GeneralAndAdministrativeExpense,,,,,,"29,537,000","34,228,000","29,984,000","42,535,000","41,627,000","40,530,000","43,079,000","40,760,000","38,475,000","39,677,000","36,656,000","37,174,000","34,930,000","33,317,000","33,282,000","33,961,000","31,488,000","31,567,000","32,094,000","31,726,000","27,636,000","32,114,000","33,962,000","34,330,000","28,108,000","29,466,000","31,306,000","32,866,000","30,346,000","28,659,000","27,327,000","28,774,000","23,022,000",,,,,,,"14,832,000",,,,,,,,,,,,"8,257,000","11,506,000","9,315,000","8,023,000","7,583,000","6,679,000","6,539,000","6,287,000","6,631,000","6,422,000","6,109,000","5,553,000","5,020,000","5,970,000","3,563,000","3,653,000","3,731,000","3,368,000","3,136,000","3,080,000","3,140,000","2,441,000","2,410,000","2,601,000","2,311,000",,,"2,593,000","2,549,000","2,302,000","2,602,000","2,497,000","2,288,000","-4,533,000","5,200,000","4,600,000","2,600,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,016,000",,,,,,,,,,,,"8,257,000",,"9,315,000","8,023,000","7,583,000","6,679,000","6,539,000","6,287,000","6,631,000","8,393,000","6,109,000","5,553,000","5,020,000","5,970,000","3,563,000","3,653,000","3,731,000","3,368,000","3,136,000","3,080,000","3,140,000","2,441,000","2,410,000","2,601,000","2,311,000",,,"2,593,000","2,549,000","2,302,000","2,602,000","5,768,000","5,610,000","-4,500,000","5,200,000","4,600,000","2,600,000"
			OtherGandA,,,,,,"29,537,000","34,228,000","29,984,000","42,535,000","41,627,000","40,530,000","43,079,000","40,760,000","38,475,000","39,677,000","36,656,000","37,174,000","34,930,000","33,317,000","33,282,000","33,961,000","31,488,000","31,567,000","32,094,000","31,726,000","27,636,000","32,114,000","33,962,000","34,330,000","28,108,000","29,466,000","31,306,000","32,866,000","30,346,000","28,659,000","27,327,000","28,774,000","23,022,000",,,,,,,"10,816,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,271,000","-3,322,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,197,403,000","318,959,000","313,596,000","250,700,000","314,148,000","261,966,000","249,366,000","349,594,000","248,837,000","348,910,000","234,603,000","226,187,000","235,920,000","244,276,000","218,579,000","223,634,000","233,150,000","232,650,000","213,407,000","224,108,000","217,783,000","232,189,000","208,387,000","221,961,000","236,387,000","236,795,000","226,332,000","249,195,000","247,441,000","241,275,000","201,224,000","190,818,000","193,594,000","193,779,000","177,710,000","172,706,000","179,017,000","187,035,000","189,908,000","189,349,000","163,197,000","163,049,000","161,027,000","80,755,000","51,759,000","51,142,000","52,104,000","50,185,000","52,476,000","52,014,000","50,349,000","48,847,000","49,885,000","51,910,000","50,969,000","57,975,000","71,660,000","72,545,000","70,716,000","57,994,000","33,433,000","32,421,000","29,651,000","29,111,000","28,470,000","28,557,000","27,740,000","18,285,000","13,266,000","13,122,000","13,576,000","12,415,000","11,129,000","9,421,000","10,547,000","10,521,000","11,092,000","11,137,000","10,768,000","11,105,000","10,888,000","10,971,000","10,954,000","10,946,000","10,901,000","10,801,000","10,831,000","10,856,000","11,039,000",,,,
