name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"133,613,000,000","34,067,000,000","32,915,000,000","33,764,000,000","32,867,000,000","34,692,000,000","31,543,000,000","30,447,000,000","31,610,000,000","34,775,000,000","32,894,000,000","32,071,000,000","32,128,000,000","34,281,000,000","32,607,000,000","32,203,000,000","31,772,000,000","33,955,000,000","31,717,000,000","30,548,000,000","29,814,000,000","32,340,000,000","30,937,000,000","30,532,000,000","32,171,000,000","34,254,000,000","33,158,000,000","32,224,000,000","31,984,000,000","33,192,000,000","31,586,000,000","31,483,000,000","30,818,000,000","31,065,000,000","30,279,000,000","29,786,000,000","29,420,000,000","30,045,000,000","29,007,000,000","28,552,000,000","28,242,000,000","28,436,000,000","27,913,000,000","27,536,000,000","26,990,000,000","26,395,000,000","26,484,000,000","26,773,000,000","26,913,000,000","27,091,000,000","27,265,000,000","26,861,000,000","26,591,000,000","24,645,000,000","24,752,000,000","24,124,000,000","23,833,000,000","23,840,000,000","23,772,000,000","23,273,000,000","22,584,000,000","20,154,000,000","23,254,000,000","22,678,000,000","22,743,000,000","19,326,000,000","19,038,000,000","18,569,000,000","18,179,000,000","18,263,000,000","18,206,000,000","17,838,000,000","17,136,000,000","17,278,000,000","17,155,000,000","16,829,000,000","16,279,000,000","17,214,000,000","17,201,000,000","16,835,000,000","16,375,000,000","17,011,000,000","17,004,000,000","16,909,000,000","16,266,000,000","16,814,000,000","16,557,000,000","16,787,000,000","8,534,000,000","8,608,000,000","8,304,000,000","8,295,000,000","7,967,000,000","8,077,100,000","7,909,900,000","7,927,800,000","7,651,100,000","7,695,700,000","7,373,900,000","3,440,700,000","3,413,900,000","3,316,500,000","3,297,800,000","3,259,500,000","3,207,600,000","3,154,200,000","3,261,100,000","3,564,500,000","3,449,700,000","3,608,800,000","3,415,300,000","3,394,100,000","3,373,200,000","3,317,200,000","3,289,600,000","3,220,100,000","3,163,300,000","3,254,200,000","3,167,000,000","3,149,000,000","3,019,200,000","3,098,600,000","3,104,000,000","3,081,400,000","2,995,700,000","3,105,200,000","3,098,700,000","3,075,500,000","3,018,600,000","2,888,700,000","2,909,400,000","2,882,200,000","2,768,300,000","2,771,600,000","2,755,300,000","2,719,500,000","2,633,700,000","2,603,300,000","2,590,000,000","2,640,300,000","2,464,800,000","2,602,700,000","2,486,400,000","2,472,900,000","2,358,800,000","2,326,600,000","2,330,100,000"
	OperatingRevenue,"133,613,000,000","34,067,000,000","32,915,000,000","33,764,000,000","32,867,000,000","34,692,000,000","31,543,000,000","30,447,000,000","31,610,000,000","34,775,000,000","32,894,000,000","32,071,000,000","32,128,000,000","34,281,000,000","32,607,000,000","32,203,000,000","31,772,000,000","33,955,000,000","31,717,000,000","30,548,000,000","29,814,000,000","32,340,000,000","30,937,000,000","30,532,000,000","32,171,000,000","34,254,000,000","33,158,000,000","32,224,000,000","31,984,000,000","33,192,000,000","31,586,000,000","31,483,000,000","30,818,000,000","31,065,000,000","30,279,000,000","29,786,000,000","29,420,000,000","30,045,000,000","29,007,000,000","28,552,000,000","28,242,000,000","28,436,000,000","27,913,000,000","27,536,000,000","26,990,000,000","26,395,000,000","26,484,000,000","26,773,000,000","26,913,000,000","27,091,000,000","27,265,000,000","26,861,000,000","26,591,000,000","24,645,000,000","24,752,000,000","24,124,000,000","23,833,000,000","23,840,000,000","23,772,000,000","23,273,000,000","22,584,000,000","20,154,000,000","23,254,000,000","22,678,000,000","22,743,000,000","19,326,000,000","19,038,000,000","18,569,000,000","18,179,000,000","18,263,000,000","18,206,000,000","17,838,000,000","17,136,000,000","17,278,000,000","17,155,000,000","16,829,000,000","16,279,000,000","17,214,000,000","17,201,000,000","16,835,000,000","16,375,000,000","17,011,000,000","17,004,000,000","16,909,000,000","16,266,000,000","16,814,000,000","16,557,000,000","16,787,000,000","8,534,000,000","8,608,000,000","8,304,000,000","8,295,000,000","7,967,000,000","8,077,100,000","7,909,900,000","7,927,800,000","7,651,100,000","7,695,700,000","7,373,900,000","3,440,700,000","3,413,900,000","3,316,500,000","3,297,800,000","3,259,500,000","3,207,600,000","3,154,200,000","3,261,100,000","3,564,500,000","3,449,700,000","3,608,800,000","3,415,300,000","3,394,100,000","3,373,200,000","3,317,200,000","3,289,600,000","3,220,100,000","3,163,300,000","3,254,200,000","3,167,000,000","3,149,000,000","3,019,200,000","3,098,600,000","3,104,000,000","3,081,400,000","2,995,700,000","3,105,200,000","3,098,700,000","3,075,500,000","3,018,600,000","2,888,700,000","2,909,400,000","2,882,200,000","2,768,300,000","2,771,600,000","2,755,300,000","2,719,500,000","2,633,700,000","2,603,300,000","2,590,000,000","2,640,300,000","2,464,800,000","2,602,700,000","2,486,400,000","2,472,900,000","2,358,800,000","2,326,600,000","2,330,100,000"
CostOfRevenue,"56,301,000,000","14,996,000,000","13,528,000,000","14,255,000,000","13,522,000,000","14,822,000,000","12,334,000,000","11,749,000,000","12,296,000,000","15,631,000,000","13,384,000,000","12,721,000,000","12,990,000,000","15,291,000,000","13,331,000,000","13,631,000,000","13,255,000,000","15,175,000,000","12,605,000,000","12,110,000,000","11,666,000,000","14,362,000,000","12,229,000,000","12,221,000,000","12,612,000,000","14,707,000,000","13,305,000,000","12,449,000,000","12,096,000,000","14,403,000,000","12,252,000,000","12,087,000,000","11,189,000,000","11,962,000,000","10,960,000,000","11,033,000,000","10,932,000,000","13,069,000,000","10,991,000,000","10,896,000,000","11,319,000,000","12,090,000,000","11,398,000,000","11,158,000,000","11,229,000,000","9,943,000,000","11,250,000,000","12,239,000,000","10,717,000,000","12,514,000,000","10,996,000,000","10,481,000,000","10,308,000,000","9,976,000,000","10,048,000,000","9,466,000,000","9,517,000,000","9,796,000,000","9,608,000,000","9,231,000,000","8,912,000,000","8,645,000,000","8,982,000,000","8,778,000,000","8,749,000,000","6,552,000,000","6,536,000,000","6,258,000,000","6,123,000,000","6,064,000,000","5,994,000,000","5,641,000,000","5,510,000,000","5,877,000,000","5,740,000,000","5,042,000,000","5,141,000,000","11,001,000,000","10,391,000,000","10,796,000,000","9,764,000,000","12,714,000,000","9,925,000,000","9,713,000,000","9,299,000,000","10,217,000,000","9,627,000,000","11,411,000,000","2,641,000,000","2,638,000,000","2,584,000,000","2,591,000,000","2,404,000,000","3,278,400,000","2,164,100,000","2,061,700,000","1,881,800,000","2,341,800,000","2,415,900,000","893,800,000","891,500,000","1,162,200,000","840,600,000","837,800,000","982,400,000","934,200,000","864,600,000","979,100,000","916,300,000","688,700,000","1,236,200,000","1,028,800,000","1,047,900,000","1,019,000,000","1,036,600,000","998,000,000","974,000,000","1,004,300,000","1,009,000,000","973,700,000","939,900,000","1,012,000,000","986,000,000","975,800,000","962,800,000","971,500,000","934,600,000","941,300,000","913,700,000",,,,,,,,,,,,,,,,,,
GrossProfit,"77,312,000,000","19,071,000,000","19,387,000,000","19,509,000,000","19,345,000,000","19,870,000,000","19,209,000,000","18,698,000,000","19,314,000,000","19,144,000,000","19,510,000,000","19,350,000,000","19,138,000,000","18,990,000,000","19,276,000,000","18,572,000,000","18,517,000,000","18,780,000,000","19,112,000,000","18,438,000,000","18,148,000,000","17,978,000,000","18,708,000,000","18,311,000,000","19,559,000,000","19,547,000,000","19,853,000,000","19,775,000,000","19,888,000,000","18,789,000,000","19,334,000,000","19,396,000,000","19,629,000,000","19,103,000,000","19,319,000,000","18,753,000,000","18,488,000,000","16,976,000,000","18,016,000,000","17,656,000,000","16,923,000,000","16,346,000,000","16,515,000,000","16,378,000,000","15,761,000,000","16,452,000,000","15,234,000,000","14,534,000,000","16,196,000,000","14,577,000,000","16,269,000,000","16,380,000,000","16,283,000,000","14,669,000,000","14,704,000,000","14,658,000,000","14,316,000,000","14,044,000,000","14,164,000,000","14,042,000,000","13,672,000,000","11,509,000,000","14,272,000,000","13,900,000,000","13,994,000,000","12,774,000,000","12,502,000,000","12,311,000,000","12,056,000,000","12,199,000,000","12,212,000,000","12,197,000,000","11,626,000,000","11,401,000,000","11,415,000,000","11,787,000,000","11,138,000,000","6,213,000,000","6,810,000,000","6,039,000,000","6,611,000,000","4,297,000,000","7,079,000,000","7,196,000,000","6,967,000,000","6,597,000,000","6,930,000,000","5,376,000,000","5,893,000,000","5,970,000,000","5,720,000,000","5,704,000,000","5,563,000,000","4,798,700,000","5,745,800,000","5,866,100,000","5,769,300,000","5,353,900,000","4,958,000,000","2,546,900,000","2,522,400,000","2,154,300,000","2,457,200,000","2,421,700,000","2,225,200,000","2,220,000,000","2,396,500,000","2,585,400,000","2,533,400,000","2,920,100,000","2,179,100,000","2,365,300,000","2,325,300,000","2,298,200,000","2,253,000,000","2,222,100,000","2,189,300,000","2,249,900,000","2,158,000,000","2,175,300,000","2,079,300,000","2,086,600,000","2,118,000,000","2,105,600,000","2,032,900,000","2,133,700,000","2,164,100,000","2,134,200,000","2,104,900,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"44,864,000,000","11,463,000,000","10,482,000,000","11,344,000,000","11,575,000,000","12,690,000,000","11,531,000,000","11,337,000,000","12,735,000,000","12,413,000,000","11,330,000,000","11,500,000,000","11,429,000,000","13,762,000,000","11,601,000,000","11,955,000,000","11,168,000,000","13,987,000,000","11,904,000,000","8,432,000,000","10,967,000,000","9,955,000,000","12,168,000,000","13,757,000,000","11,617,000,000","9,803,000,000","12,318,000,000","11,954,000,000","11,928,000,000","20,925,000,000","12,444,000,000","11,711,000,000","12,469,000,000","7,040,000,000","12,191,000,000","12,198,000,000","12,266,000,000","20,145,000,000","12,533,000,000","12,005,000,000","11,728,000,000","17,458,000,000","11,868,000,000","11,486,000,000","11,308,000,000","11,944,000,000","11,487,000,000","12,495,000,000","11,845,000,000","13,648,000,000","12,283,000,000","11,962,000,000","11,589,000,000","10,837,000,000","10,531,000,000","10,112,000,000","9,983,000,000","10,621,000,000","9,954,000,000","9,893,000,000","9,876,000,000","9,243,000,000","10,348,000,000","10,309,000,000","10,139,000,000","9,597,000,000","8,869,000,000","8,219,000,000","8,674,000,000","8,846,000,000","8,615,000,000","8,469,000,000","9,131,000,000","13,690,000,000","8,210,000,000","9,057,000,000","7,638,000,000","3,427,000,000","793,000,000","3,356,000,000","3,100,000,000","3,850,000,000","3,402,000,000","3,395,000,000","3,360,000,000","3,239,000,000","3,211,000,000","3,220,000,000","3,688,000,000","3,818,000,000","3,602,000,000","3,557,000,000","3,485,000,000","2,966,200,000","4,615,700,000","3,913,500,000","4,057,300,000","3,739,800,000","4,537,000,000","1,648,100,000","1,625,900,000","1,616,300,000","1,668,000,000","1,620,600,000","1,416,900,000","1,527,700,000","1,677,100,000","1,742,400,000","1,701,900,000","2,252,800,000","1,588,100,000","1,567,800,000","1,576,500,000","1,691,000,000","1,532,300,000","1,469,900,000","1,471,800,000","1,731,800,000","1,489,800,000","1,525,300,000","1,410,200,000","1,593,500,000","1,470,400,000","1,405,500,000","1,348,300,000","1,555,800,000","1,481,200,000","1,448,000,000","1,442,300,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"28,658,000,000","7,412,000,000","6,521,000,000","7,324,000,000","7,401,000,000","8,493,000,000","7,339,000,000","7,156,000,000","8,585,000,000","8,308,000,000","7,216,000,000","7,268,000,000","7,198,000,000","9,410,000,000","7,224,000,000","7,605,000,000","6,844,000,000","9,531,000,000","7,632,000,000","4,265,000,000","6,908,000,000","5,968,000,000","8,226,000,000","9,775,000,000","7,600,000,000","5,764,000,000","8,309,000,000","7,974,000,000","7,939,000,000","16,857,000,000","8,277,000,000","7,550,000,000","8,332,000,000","2,857,000,000","8,037,000,000","8,047,000,000","8,148,000,000","16,008,000,000","8,366,000,000","7,877,000,000","7,700,000,000","13,278,000,000","7,689,000,000","7,373,000,000","7,284,000,000","7,858,000,000","7,465,000,000","8,319,000,000","7,724,000,000","9,407,000,000","8,111,000,000","7,871,000,000","7,561,000,000","7,090,000,000","6,879,000,000","6,528,000,000","6,401,000,000","6,955,000,000","6,349,000,000","6,320,000,000","6,343,000,000","5,645,000,000","6,720,000,000","6,679,000,000","6,363,000,000","5,494,000,000","5,351,000,000","5,253,000,000","5,214,000,000","5,281,000,000","5,132,000,000","5,029,000,000","5,703,000,000","10,102,000,000","4,932,000,000","5,673,000,000","4,253,000,000",,,,,,,,,,,,"2,068,000,000","2,089,000,000","2,083,000,000","2,051,000,000","2,018,000,000","2,590,300,000","2,792,000,000","2,116,000,000","2,304,400,000","2,090,300,000","2,337,800,000","963,100,000","954,500,000","938,500,000","1,018,900,000","981,800,000","788,000,000","892,500,000","1,034,600,000","1,060,700,000","1,034,200,000","1,573,100,000","913,400,000","918,700,000","927,900,000","1,041,200,000","875,200,000","831,800,000","871,700,000","1,134,600,000","876,500,000","921,300,000","818,600,000","989,300,000","899,800,000","842,100,000","787,800,000","964,000,000","891,300,000","849,100,000","845,700,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"16,206,000,000","4,051,000,000","3,961,000,000","4,020,000,000","4,174,000,000","4,197,000,000","4,192,000,000","4,181,000,000","4,150,000,000","4,105,000,000","4,114,000,000","4,232,000,000","4,231,000,000","4,352,000,000","4,377,000,000","4,350,000,000","4,324,000,000","4,456,000,000","4,272,000,000","4,167,000,000","4,059,000,000","3,987,000,000","3,942,000,000","3,982,000,000","4,017,000,000","4,039,000,000","4,009,000,000","3,980,000,000","3,989,000,000","4,068,000,000","4,167,000,000","4,161,000,000","4,137,000,000","4,183,000,000","4,154,000,000","4,151,000,000","4,118,000,000","4,137,000,000","4,167,000,000","4,128,000,000","4,028,000,000","4,180,000,000","4,179,000,000","4,113,000,000","4,024,000,000","4,086,000,000","4,022,000,000","4,176,000,000","4,121,000,000","4,241,000,000","4,172,000,000","4,091,000,000","4,028,000,000","3,747,000,000","3,652,000,000","3,584,000,000","3,582,000,000","3,666,000,000","3,605,000,000","3,573,000,000","3,533,000,000","3,598,000,000","3,628,000,000","3,630,000,000","3,776,000,000","3,573,000,000","3,518,000,000","3,496,000,000","3,460,000,000","3,565,000,000","3,483,000,000","3,440,000,000","3,428,000,000","3,447,000,000","3,419,000,000","3,384,000,000","3,385,000,000","3,427,000,000","3,320,000,000","3,356,000,000","3,320,000,000","3,495,000,000","3,402,000,000","3,400,000,000","3,360,000,000","3,239,000,000","3,211,000,000","3,220,000,000","1,620,000,000","1,729,000,000","1,519,000,000","1,506,000,000","1,467,000,000","1,510,800,000","1,440,400,000","1,417,800,000","1,381,000,000","1,295,000,000","1,724,000,000","685,000,000","671,400,000","677,800,000","649,100,000","638,800,000","628,900,000","635,200,000","642,500,000","681,700,000","667,700,000","679,700,000","674,700,000","649,100,000","648,600,000","649,800,000","657,100,000","638,100,000","600,100,000","597,200,000","613,300,000","604,000,000","591,600,000","604,200,000","570,600,000","563,400,000","560,500,000","591,800,000","589,900,000","598,900,000","596,600,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"16,206,000,000","4,051,000,000","3,961,000,000","4,020,000,000","4,174,000,000","4,197,000,000","4,192,000,000","4,181,000,000","4,150,000,000","4,105,000,000","4,114,000,000","4,232,000,000","4,231,000,000","4,352,000,000","4,377,000,000","4,350,000,000","4,324,000,000","4,456,000,000","4,272,000,000","4,167,000,000","4,059,000,000","3,987,000,000","3,942,000,000","3,982,000,000","4,017,000,000","4,039,000,000","4,009,000,000","3,980,000,000","3,989,000,000","4,068,000,000","4,167,000,000","4,161,000,000","4,137,000,000","4,183,000,000","4,154,000,000","4,151,000,000","4,118,000,000","4,137,000,000","4,167,000,000","4,128,000,000","4,028,000,000","4,180,000,000","4,179,000,000","4,113,000,000","4,024,000,000","4,086,000,000","4,022,000,000","4,176,000,000","4,121,000,000","4,241,000,000","4,172,000,000","4,091,000,000","4,028,000,000","3,747,000,000","3,652,000,000","3,584,000,000","3,582,000,000","3,666,000,000","3,605,000,000","3,573,000,000","3,533,000,000","3,598,000,000","3,628,000,000","3,630,000,000","3,776,000,000","3,573,000,000","3,518,000,000","3,496,000,000","3,460,000,000","3,565,000,000","3,483,000,000","3,440,000,000","3,428,000,000","3,447,000,000","3,419,000,000","3,384,000,000","3,385,000,000","3,427,000,000","3,320,000,000","3,356,000,000","3,320,000,000","3,495,000,000","3,402,000,000","3,400,000,000","3,360,000,000","3,239,000,000","3,211,000,000","3,220,000,000","1,620,000,000","1,729,000,000","1,519,000,000","1,506,000,000","1,467,000,000","1,510,800,000","1,440,400,000","1,417,800,000","1,381,000,000","1,295,000,000","1,724,000,000","685,000,000","671,400,000","677,800,000","649,100,000","638,800,000","628,900,000","635,200,000","642,500,000","681,700,000","667,700,000","679,700,000","674,700,000","649,100,000","648,600,000","649,800,000","657,100,000","638,100,000","600,100,000","597,200,000","613,300,000","604,000,000","591,600,000","604,200,000","570,600,000","563,400,000","560,500,000","591,800,000","589,900,000","598,900,000","596,600,000",,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-530,000,000",,,,,,,"-141,000,000",,,"0","-2,527,000,000",,"-220,000,000","355,000,000",,"-5,000,000",,,,,,,,,,,"383,300,000","379,700,000","371,900,000","354,500,000","475,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"32,448,000,000","7,608,000,000","8,905,000,000","8,165,000,000","7,770,000,000","7,180,000,000","7,678,000,000","7,361,000,000","6,579,000,000","6,731,000,000","8,180,000,000","7,850,000,000","7,709,000,000","5,228,000,000","7,675,000,000","6,617,000,000","7,349,000,000","4,793,000,000","7,208,000,000","10,006,000,000","7,181,000,000","8,023,000,000","6,540,000,000","4,554,000,000","7,942,000,000","9,744,000,000","7,535,000,000","7,821,000,000","7,960,000,000","-2,136,000,000","6,890,000,000","7,685,000,000","7,160,000,000","12,063,000,000","7,128,000,000","6,555,000,000","6,222,000,000","-3,169,000,000","5,483,000,000","5,651,000,000","5,195,000,000","-1,112,000,000","4,647,000,000","4,892,000,000","4,453,000,000","4,508,000,000","3,747,000,000","2,039,000,000","4,351,000,000","929,000,000","3,986,000,000","4,418,000,000","4,694,000,000","3,832,000,000","4,173,000,000","4,546,000,000","4,333,000,000","3,423,000,000","4,210,000,000","4,149,000,000","3,796,000,000","2,266,000,000","3,924,000,000","3,591,000,000","3,855,000,000","3,177,000,000","3,633,000,000","4,092,000,000","3,382,000,000","3,353,000,000","3,597,000,000","3,728,000,000","2,495,000,000","-2,289,000,000","3,205,000,000","2,730,000,000","3,500,000,000","2,786,000,000","6,017,000,000","2,683,000,000","3,511,000,000","447,000,000","3,677,000,000","3,801,000,000","3,607,000,000","3,358,000,000","3,719,000,000","2,156,000,000","2,205,000,000","2,152,000,000","2,118,000,000","2,147,000,000","2,078,000,000","1,832,500,000","1,130,100,000","1,952,600,000","1,712,000,000","1,614,100,000","421,000,000","898,800,000","896,500,000","538,000,000","789,200,000","801,100,000","808,300,000","692,300,000","719,400,000","843,000,000","831,500,000","667,300,000","591,000,000","797,500,000","748,800,000","607,200,000","720,700,000","752,200,000","717,500,000","518,100,000","668,200,000","650,000,000","669,100,000","493,100,000","647,600,000","700,100,000","684,600,000","577,900,000","682,900,000","686,200,000","662,600,000","-6,547,100,000","2,909,400,000","2,882,200,000","2,768,300,000","-5,864,000,000","2,755,300,000","2,719,500,000","2,633,700,000","-5,349,000,000","2,590,000,000","2,640,300,000","2,464,800,000","-4,854,200,000","2,486,400,000","2,472,900,000","2,358,800,000","-4,433,100,000","2,330,100,000"
