name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,316,000,000","2,201,900,000","1,746,500,000","1,676,200,000","2,691,400,000","1,933,400,000","1,651,000,000","1,548,700,000","2,108,600,000","1,947,500,000","1,608,000,000","1,590,200,000","2,377,400,000","2,076,800,000","1,643,700,000","1,672,500,000","2,286,500,000","2,055,000,000","1,657,500,000","1,631,500,000","2,304,500,000","1,963,000,000","1,712,500,000","1,602,000,000","2,194,800,000","1,848,300,000","1,698,700,000","991,200,000","1,387,900,000","1,225,100,000","1,033,300,000","1,043,700,000","1,695,000,000","1,178,300,000","1,053,200,000","1,012,300,000","1,275,200,000","1,071,200,000","1,039,300,000","944,700,000","1,191,200,000","1,113,200,000","1,052,800,000","991,700,000","1,328,700,000","1,089,800,000","973,200,000","890,900,000","1,255,900,000","1,067,300,000","821,900,000","842,500,000","1,396,200,000","1,200,600,000","852,500,000","946,100,000","1,431,800,000","1,148,700,000","881,500,000","906,500,000","1,301,100,000","1,095,200,000","839,800,000","814,400,000","1,247,000,000","1,135,000,000","797,300,000","792,900,000","1,099,100,000","952,200,000","696,600,000","716,400,000","1,065,900,000","1,032,300,000","878,500,000","914,300,000","1,229,200,000","1,009,500,000","869,800,000","870,900,000","986,000,000","892,300,000","822,000,000","859,200,000","1,355,000,000","1,120,900,000","850,800,000","755,000,000","627,750,000","585,700,000","591,300,000","539,000,000","536,800,000","497,900,000","506,300,000","464,900,000","510,600,000","475,400,000","400,600,000","403,200,000","510,300,000","478,000,000","398,800,000","401,700,000","495,400,000","467,900,000","426,400,000","405,100,000","471,100,000","431,800,000","400,500,000","400,400,000","509,700,000","431,700,000","393,200,000","375,500,000","443,300,000","414,000,000","358,300,000","357,400,000","422,100,000","401,800,000","364,200,000","355,200,000","417,700,000","372,100,000","341,200,000","337,800,000","391,300,000","388,100,000","343,000,000","334,100,000","420,000,000","401,800,000","360,300,000","340,800,000","437,800,000","356,500,000","319,400,000","314,800,000","374,000,000","368,300,000","316,200,000","312,800,000","413,800,000","385,700,000","320,100,000"
	OperatingRevenue,"8,235,700,000","2,179,400,000","1,733,000,000","1,654,300,000","2,691,400,000","1,900,800,000","1,638,600,000","1,543,000,000","2,086,900,000","1,921,300,000","1,587,600,000","1,590,200,000","2,377,400,000","2,077,600,000","1,643,700,000","1,672,500,000","2,286,500,000","2,055,000,000","1,657,500,000","1,631,500,000","2,304,500,000","1,963,000,000","1,712,500,000","1,602,000,000","2,194,800,000","1,848,300,000","1,698,700,000","991,200,000","1,387,900,000","1,225,100,000","1,033,300,000","1,043,700,000","1,695,000,000","1,178,300,000","1,053,200,000","1,012,300,000","1,275,200,000","1,071,200,000","1,039,300,000","944,700,000","1,191,200,000","1,113,200,000","1,052,800,000","991,700,000","1,328,700,000","1,089,800,000","973,200,000","890,900,000","1,255,900,000","1,067,300,000","821,900,000","842,500,000","1,396,200,000","1,200,600,000","852,500,000","946,100,000","1,431,800,000","1,148,700,000","881,500,000","906,500,000","1,301,100,000","1,095,200,000","839,800,000","814,400,000","1,247,000,000","1,135,000,000","797,300,000","792,900,000","1,099,100,000","952,200,000","696,600,000","716,400,000","1,065,900,000","1,032,300,000","878,500,000","914,300,000","1,229,200,000","1,009,500,000","869,800,000","870,900,000","986,000,000","892,300,000","822,000,000","859,200,000","1,355,000,000","1,120,900,000","850,800,000","755,000,000","627,750,000","585,700,000","591,300,000","539,000,000","536,800,000","497,900,000","506,300,000","464,900,000","510,600,000","475,400,000","400,600,000","403,200,000","510,300,000","478,000,000","398,800,000","401,700,000","495,400,000","467,900,000","426,400,000","405,100,000","471,100,000","431,800,000","400,500,000","400,400,000","509,700,000","431,700,000","393,200,000","375,500,000","443,300,000","414,000,000","358,300,000","357,400,000","422,100,000","401,800,000","364,200,000","355,200,000","417,700,000","372,100,000","341,200,000","337,800,000","391,300,000","388,100,000","343,000,000","334,100,000","420,000,000","401,800,000","360,300,000","340,800,000","437,800,000","356,500,000","319,400,000","314,800,000","374,000,000","368,300,000","316,200,000","312,800,000","413,800,000","385,700,000","320,100,000"
CostOfRevenue,"5,316,500,000","1,546,900,000","1,034,400,000","989,700,000","1,745,500,000","1,262,200,000","981,500,000","917,600,000","1,190,400,000","1,294,400,000","1,013,500,000","995,500,000","1,560,200,000","1,521,800,000","1,077,200,000","1,085,400,000","1,484,000,000","1,390,800,000","1,014,400,000","1,021,600,000","1,443,000,000","1,360,000,000","1,072,200,000","1,030,300,000","1,370,400,000","1,238,300,000","1,126,500,000","690,000,000","894,600,000","855,100,000","656,800,000","674,400,000","1,185,500,000","827,400,000","668,800,000","656,700,000","829,200,000","1,543,600,000","391,900,000","333,700,000","491,300,000","460,500,000","420,100,000","407,800,000","610,000,000","461,000,000","403,000,000","354,200,000","633,700,000","495,200,000","355,800,000","355,600,000","769,100,000","260,300,000","344,100,000","298,100,000","338,200,000","280,300,000","254,300,000","232,300,000","229,500,000","218,200,000","229,800,000","184,800,000","169,200,000","191,800,000","240,500,000","186,400,000","158,000,000","-461,200,000","242,400,000","281,600,000","144,300,000","-490,500,000","245,000,000","282,100,000","534,200,000","130,600,000","173,000,000","240,700,000","348,100,000","135,100,000","181,200,000","163,300,000","180,500,000","189,300,000","169,500,000","163,000,000","229,624,000","152,100,000","168,400,000","147,200,000","105,700,000","104,200,000","129,300,000","117,500,000","110,500,000","110,700,000","119,700,000","109,100,000","105,100,000","87,800,000","84,800,000","77,700,000","81,600,000","84,100,000","94,700,000","79,700,000","86,900,000","78,100,000","84,800,000","81,500,000","84,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,999,500,000","655,000,000","712,100,000","686,500,000","945,900,000","671,200,000","669,500,000","631,100,000","918,200,000","653,100,000","594,500,000","594,700,000","817,200,000","555,000,000","566,500,000","587,100,000","802,500,000","664,200,000","643,100,000","609,900,000","861,500,000","603,000,000","640,300,000","571,700,000","824,400,000","610,000,000","572,200,000","301,200,000","493,300,000","370,000,000","376,500,000","369,300,000","509,500,000","350,900,000","384,400,000","355,600,000","446,000,000","-472,400,000","647,400,000","611,000,000","699,900,000","652,700,000","632,700,000","583,900,000","718,700,000","628,800,000","570,200,000","536,700,000","622,200,000","572,100,000","466,100,000","486,900,000","627,100,000","940,300,000","508,400,000","648,000,000","1,093,600,000","868,400,000","627,200,000","674,200,000","1,071,600,000","877,000,000","610,000,000","629,600,000","1,077,800,000","943,200,000","556,800,000","606,500,000","941,100,000","1,413,400,000","454,200,000","434,800,000","921,600,000","1,522,800,000","633,500,000","632,200,000","695,000,000","878,900,000","696,800,000","630,200,000","637,900,000","757,200,000","640,800,000","695,900,000","1,174,500,000","931,600,000","681,300,000","592,000,000","398,126,000","433,600,000","422,900,000","391,800,000","431,100,000","393,700,000","377,000,000","347,400,000","400,100,000","364,700,000","280,900,000","294,100,000","405,200,000","390,200,000","314,000,000","324,000,000","413,800,000","383,800,000","331,700,000","325,400,000","384,200,000","353,700,000","315,700,000","318,900,000","425,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,284,600,000","328,200,000","322,100,000","317,700,000","316,600,000","300,700,000","299,300,000","292,300,000","291,600,000","290,000,000","283,600,000","280,100,000","274,400,000","265,200,000","263,800,000","256,300,000","257,400,000","252,100,000","249,500,000","247,700,000","244,200,000","241,300,000","241,300,000","239,600,000","235,100,000","229,800,000","226,500,000","135,400,000","134,500,000","126,500,000","130,400,000","128,600,000","127,700,000","79,300,000","126,400,000","126,100,000","125,000,000","-673,800,000","366,800,000","388,400,000","404,200,000","459,700,000","408,400,000","409,500,000","423,100,000","261,300,000","422,400,000","420,600,000","441,900,000","429,000,000","419,100,000","422,800,000","448,300,000","829,500,000","526,800,000","539,800,000","1,034,700,000","682,600,000","474,100,000","569,100,000","887,100,000","738,400,000","478,800,000","522,500,000","886,200,000","765,400,000","428,400,000","516,800,000","774,800,000","1,261,800,000","504,000,000","361,400,000","739,900,000","1,371,400,000","538,500,000","515,900,000","506,900,000","704,500,000","559,800,000","517,900,000","603,600,000","590,300,000","490,300,000","592,200,000","990,700,000","842,700,000","546,600,000","489,900,000","309,527,000","315,300,000","288,000,000","289,600,000","322,800,000","300,300,000","256,400,000","278,900,000","308,000,000","289,500,000","225,000,000","294,700,000","317,500,000","279,300,000","206,400,000","228,900,000","291,000,000","248,400,000","213,000,000","223,500,000","263,000,000","221,900,000","216,600,000","228,500,000","354,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,074,300,000","275,100,000","271,600,000","266,200,000","261,400,000","249,300,000","245,000,000","242,500,000","239,100,000","236,200,000","233,800,000","229,900,000","226,400,000","217,700,000","212,800,000","206,700,000","208,600,000","205,100,000","201,200,000","197,700,000","194,600,000","193,100,000","191,600,000","190,000,000","187,900,000","179,200,000","176,500,000","105,700,000","105,100,000","103,500,000","103,300,000","101,400,000","100,600,000","99,000,000","96,900,000","96,700,000","95,500,000","94,500,000","91,800,000","90,300,000","87,600,000","84,000,000","82,600,000","82,300,000","81,300,000","77,000,000","77,400,000","76,800,000","75,200,000","86,700,000","87,300,000","86,300,000","85,800,000","84,500,000","84,100,000","80,500,000","77,700,000","70,800,000","85,600,000","81,200,000","84,100,000","83,000,000","82,000,000","78,800,000","82,600,000","86,600,000","84,600,000","79,400,000","82,200,000","82,800,000","83,500,000","83,600,000","77,200,000","82,600,000","85,100,000","83,400,000","81,200,000","82,100,000","81,400,000","79,000,000","78,100,000","82,200,000","85,600,000","86,800,000","87,500,000","52,800,000","128,100,000","83,300,000","113,422,000","79,800,000","86,700,000","79,800,000","76,400,000","75,000,000","74,400,000","67,900,000","71,600,000","71,500,000","70,100,000","64,900,000","67,100,000","61,200,000","63,900,000","64,600,000","67,300,000","61,200,000","61,700,000","59,700,000","58,200,000","56,600,000","60,300,000","57,600,000","59,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,074,300,000","275,100,000","271,600,000","266,200,000","261,400,000","249,300,000","245,000,000","242,500,000","239,100,000","236,200,000","233,800,000","229,900,000","226,400,000","217,700,000","212,800,000","206,700,000","208,600,000","205,100,000","201,200,000","197,700,000","194,600,000","193,100,000","191,600,000","190,000,000","187,900,000","179,200,000","176,500,000","105,700,000","105,100,000","103,500,000","103,300,000","101,400,000","100,600,000","99,000,000","96,900,000","96,700,000","95,500,000","94,500,000","91,800,000","90,300,000","87,600,000","84,000,000","82,600,000","82,300,000","81,300,000","77,000,000","77,400,000","76,800,000","75,200,000","86,700,000","87,300,000","86,300,000","85,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
