name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"78,492,000,000","20,856,000,000","18,834,000,000","20,270,000,000","18,063,000,000","18,084,000,000","18,844,000,000","17,867,000,000","17,545,000,000","19,860,000,000","22,010,000,000","21,584,000,000","21,609,000,000","20,980,000,000","21,941,000,000","21,553,000,000","21,934,000,000","21,005,000,000","21,688,000,000","21,981,000,000","21,599,000,000","20,616,000,000","22,188,000,000","21,683,000,000","21,570,000,000","21,163,000,000","20,955,000,000","20,801,000,000","20,908,000,000","21,071,000,000","20,501,000,000","20,617,000,000","19,778,000,000","20,011,000,000","19,976,000,000","21,175,000,000","21,146,000,000","21,233,000,000","21,049,000,000","21,047,000,000","21,272,000,000","20,544,000,000","19,284,000,000","19,662,000,000","19,976,000,000","21,177,000,000","20,743,000,000","21,106,000,000","21,405,000,000","22,423,000,000","22,437,000,000","22,467,000,000","21,174,000,000","10,233,000,000","10,379,000,000","11,459,000,000","10,563,000,000","9,471,000,000","9,853,000,000","9,891,000,000","9,441,000,000","8,675,000,000","8,934,000,000","8,789,000,000","8,555,000,000","8,492,000,000","8,503,000,000","7,865,000,000","8,089,000,000","8,168,000,000","7,318,000,000","7,426,000,000","7,147,000,000","7,959,000,000","7,166,000,000","6,755,000,000","6,509,000,000","6,483,000,000","6,040,000,000","6,017,000,000","5,956,000,000","5,879,000,000","5,484,000,000","3,553,000,000","5,234,000,000","6,025,000,000","4,770,000,000","4,562,000,000","4,351,000,000","4,466,000,000","4,191,000,000","4,125,000,000","3,993,000,000","9,503,900,000","2,004,900,000","2,031,300,000","1,876,900,000","1,820,600,000","1,776,000,000","1,756,200,000","1,648,900,000","1,684,400,000","1,579,500,000","1,563,100,000","1,445,900,000","1,415,300,000","1,329,200,000","1,249,500,000","1,171,900,000","1,172,500,000","1,101,200,000","1,084,200,000","1,084,000,000","1,045,100,000","961,000,000","994,400,000","918,100,000","848,600,000","849,200,000","771,000,000","742,900,000","686,400,000","657,700,000","640,300,000","543,700,000","492,700,000","476,700,000","454,900,000","407,300,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"78,492,000,000","20,856,000,000","18,834,000,000","20,270,000,000","18,063,000,000","18,084,000,000","18,844,000,000","17,867,000,000","17,545,000,000","19,860,000,000","22,010,000,000","21,584,000,000","21,609,000,000","20,980,000,000","21,941,000,000","21,553,000,000","21,934,000,000","21,005,000,000","21,688,000,000","21,981,000,000","21,599,000,000","20,616,000,000","22,188,000,000","21,683,000,000","21,570,000,000","21,163,000,000","20,955,000,000","20,801,000,000","20,908,000,000","21,071,000,000","20,501,000,000","20,617,000,000","19,778,000,000","20,011,000,000","19,976,000,000","21,175,000,000","21,146,000,000","21,233,000,000","21,049,000,000","21,047,000,000","21,272,000,000","20,544,000,000","19,284,000,000","19,662,000,000","19,976,000,000","21,177,000,000","20,743,000,000","21,106,000,000","21,405,000,000","22,423,000,000","22,437,000,000","22,467,000,000","21,174,000,000","10,233,000,000","10,379,000,000","11,459,000,000","10,563,000,000","9,471,000,000","9,853,000,000","9,891,000,000","9,441,000,000","8,675,000,000","8,934,000,000","8,789,000,000","8,555,000,000","8,492,000,000","8,503,000,000","7,865,000,000","8,089,000,000","8,168,000,000","7,318,000,000","7,426,000,000","7,147,000,000","7,959,000,000","7,166,000,000","6,755,000,000","6,509,000,000","6,483,000,000","6,040,000,000","6,017,000,000","5,956,000,000","5,879,000,000","5,484,000,000","3,553,000,000","5,234,000,000","6,025,000,000","4,770,000,000","4,562,000,000","4,351,000,000","4,466,000,000","4,191,000,000","4,125,000,000","3,993,000,000","9,503,900,000","2,004,900,000","2,031,300,000","1,876,900,000","1,820,600,000","1,776,000,000","1,756,200,000","1,648,900,000","1,684,400,000","1,579,500,000","1,563,100,000","1,445,900,000","1,415,300,000","1,329,200,000","1,249,500,000","1,171,900,000","1,172,500,000","1,101,200,000","1,084,200,000","1,084,000,000","1,045,100,000","961,000,000","994,400,000","918,100,000","848,600,000","849,200,000","771,000,000","742,900,000","686,400,000","657,700,000","640,300,000","543,700,000","492,700,000","476,700,000","454,900,000","407,300,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"28,816,000,000","8,110,000,000","6,926,000,000","8,189,000,000","5,122,000,000","3,302,000,000","2,864,000,000","-6,249,000,000","664,000,000","3,602,000,000","6,116,000,000","7,632,000,000","6,848,000,000","7,120,000,000","7,598,000,000","7,119,000,000","6,701,000,000","4,841,000,000","6,858,000,000","8,073,000,000","7,605,000,000","7,562,000,000","8,255,000,000","8,222,000,000","8,081,000,000","8,156,000,000","8,773,000,000","8,549,000,000","8,163,000,000","8,311,000,000","8,597,000,000","8,655,000,000","8,352,000,000","8,217,000,000","8,301,000,000","8,471,000,000","7,640,000,000","7,221,000,000","7,510,000,000","7,092,000,000","6,648,000,000","6,057,000,000","6,140,000,000","6,073,000,000","5,386,000,000","5,165,000,000","5,176,000,000","4,659,000,000","4,001,000,000","3,962,000,000","4,671,000,000","4,724,000,000","4,641,000,000","-4,770,000,000","2,367,000,000","2,587,000,000","3,073,000,000","1,523,000,000","3,460,000,000","3,444,000,000","3,200,000,000","3,276,000,000","3,240,000,000","3,181,000,000","3,048,000,000","2,906,000,000","2,973,000,000","2,857,000,000","2,812,000,000","2,732,000,000","2,690,000,000","2,633,000,000","2,714,000,000","2,479,000,000","2,332,000,000","2,351,000,000","2,314,000,000","2,275,000,000","2,238,000,000","2,202,000,000","2,138,000,000","1,889,000,000","1,842,000,000","-129,000,000","1,877,000,000","1,467,000,000","1,788,000,000","1,676,000,000","1,617,000,000","1,533,000,000","1,533,000,000","1,501,000,000","1,381,000,000","1,591,400,000","591,800,000","567,400,000","542,400,000","525,600,000","518,000,000","513,700,000","492,400,000","467,800,000","441,200,000","459,900,000","412,600,000","379,100,000","370,800,000","348,900,000","324,000,000","301,400,000","299,100,000","301,500,000","278,600,000","254,200,000","226,600,000","229,700,000","227,200,000","179,400,000","193,500,000","165,600,000","161,100,000","127,000,000","121,800,000","108,200,000","107,600,000","90,900,000","98,600,000","94,000,000","85,900,000",,,,,,,,,,,,,,,,,,
TaxProvision,"5,578,000,000","1,711,000,000","1,521,000,000","1,445,000,000","326,000,000","108,000,000","645,000,000","-3,917,000,000","159,000,000","678,000,000","1,304,000,000","1,294,000,000","881,000,000","966,000,000","1,512,000,000","1,810,000,000","1,374,000,000","-1,569,000,000","2,204,000,000","2,225,000,000","2,057,000,000","2,258,000,000","2,601,000,000","2,649,000,000","2,567,000,000","2,533,000,000","2,790,000,000","2,763,000,000","2,279,000,000","2,519,000,000","2,642,000,000","2,869,000,000","2,277,000,000","2,504,000,000","2,618,000,000","2,863,000,000","2,420,000,000","1,924,000,000","2,480,000,000","2,371,000,000","2,328,000,000","1,874,000,000","1,998,000,000","2,001,000,000","1,572,000,000","1,672,000,000","1,751,000,000","1,514,000,000","1,401,000,000","949,000,000","1,355,000,000","1,475,000,000","1,552,000,000","-2,036,000,000","730,000,000","834,000,000","1,074,000,000","272,000,000","1,177,000,000","1,165,000,000","956,000,000","1,095,000,000","1,046,000,000","1,092,000,000","1,030,000,000","976,000,000","998,000,000","947,000,000","956,000,000","947,000,000","942,000,000","919,000,000","947,000,000","855,000,000","771,000,000","826,000,000","822,000,000","809,000,000","794,000,000","782,000,000","759,000,000","708,000,000","678,000,000","-42,000,000","712,000,000","560,000,000","718,000,000","637,000,000","607,000,000","563,000,000","571,000,000","570,000,000","497,000,000","784,100,000","198,900,000","185,300,000","174,700,000","169,500,000","176,400,000","182,300,000","170,500,000","159,700,000","152,200,000","174,500,000","141,200,000","119,400,000","125,600,000","114,600,000","107,200,000","96,500,000","96,100,000","99,500,000","88,100,000","79,200,000","59,300,000","68,600,000","77,000,000","45,200,000","59,600,000","37,700,000","38,700,000","18,100,000","17,700,000","10,200,000","30,600,000","20,200,000","27,100,000","24,000,000","23,100,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"20,256,000,000","5,470,000,000","4,787,000,000","5,743,000,000","4,363,000,000","2,642,000,000","1,720,000,000","-2,694,000,000","42,000,000","2,546,000,000","4,037,000,000","5,848,000,000","5,507,000,000","5,711,000,000","5,453,000,000","4,792,000,000","4,733,000,000","5,909,000,000","4,185,000,000","5,404,000,000","5,056,000,000","4,872,000,000","5,243,000,000","5,173,000,000","5,085,000,000","5,203,000,000","5,443,000,000","5,363,000,000","5,461,000,000","5,382,000,000","5,408,000,000","5,424,000,000","5,607,000,000","5,369,000,000","5,317,000,000","5,272,000,000","4,931,000,000","4,857,000,000","4,717,000,000","4,403,000,000","4,022,000,000","3,888,000,000","3,839,000,000","3,728,000,000","3,570,000,000","3,232,000,000","3,150,000,000","2,878,000,000","2,372,000,000","394,000,000","2,637,000,000","2,575,000,000","2,384,000,000","-3,020,000,000","1,637,000,000","1,753,000,000","1,999,000,000","1,251,000,000","2,283,000,000","2,279,000,000","2,244,000,000","2,181,000,000","2,194,000,000","2,089,000,000","2,018,000,000","1,930,000,000","1,975,000,000","1,910,000,000","1,856,000,000","1,785,000,000","1,748,000,000","1,714,000,000","1,767,000,000","1,624,000,000","1,561,000,000","1,524,000,000","1,491,000,000","1,465,000,000","1,443,000,000","1,419,000,000","1,102,000,000","1,176,000,000","1,164,000,000","-87,000,000","1,161,000,000","899,000,000","1,070,000,000","1,035,000,000","1,006,000,000","961,000,000","953,000,000","922,000,000","875,000,000","785,600,000","388,500,000","377,600,000","363,300,000","351,600,000","337,200,000","327,000,000","317,500,000","303,600,000","284,600,000","281,000,000","266,900,000","250,700,000","245,200,000","234,300,000","216,800,000","198,100,000","196,100,000","195,900,000","182,500,000","168,100,000","160,400,000","154,200,000","143,300,000","55,600,000","126,900,000","121,000,000","115,400,000","101,200,000","101,200,000","94,300,000","74,000,000","70,600,000","71,500,000","70,000,000","62,800,000",,,,,,,,,,,,,,,,,,
	NetIncome,"21,548,000,000","5,750,000,000","5,122,000,000","6,040,000,000","4,742,000,000","2,992,000,000","2,035,000,000","-2,379,000,000","653,000,000","2,873,000,000","4,610,000,000","6,206,000,000","5,860,000,000","6,064,000,000","6,007,000,000","5,186,000,000","5,136,000,000","6,320,000,000","4,596,000,000","5,810,000,000","5,457,000,000","5,274,000,000","5,644,000,000","5,558,000,000","5,462,000,000","5,575,000,000","5,796,000,000","5,719,000,000","5,804,000,000","5,709,000,000","5,729,000,000","5,726,000,000","5,893,000,000","5,610,000,000","5,578,000,000","5,519,000,000","5,171,000,000","5,090,000,000","4,937,000,000","4,622,000,000","4,248,000,000","4,107,000,000","4,055,000,000","3,948,000,000","3,759,000,000","3,414,000,000","3,339,000,000","3,062,000,000","2,547,000,000","2,823,000,000","3,235,000,000","3,172,000,000","3,045,000,000","-2,734,000,000","1,637,000,000","1,753,000,000","1,999,000,000","1,251,000,000","2,283,000,000","2,279,000,000","2,244,000,000","2,181,000,000","2,194,000,000","2,089,000,000","2,018,000,000","1,930,000,000","1,975,000,000","1,910,000,000","1,856,000,000","1,785,000,000","1,748,000,000","1,714,000,000","1,767,000,000","1,624,000,000","1,561,000,000","1,525,000,000","1,492,000,000","1,466,000,000","1,444,000,000","1,420,000,000","1,103,000,000","1,181,000,000","1,164,000,000","-87,000,000","1,165,000,000","907,000,000","1,070,000,000","1,039,000,000","1,010,000,000","970,000,000","962,000,000","931,000,000","884,000,000","807,300,000","392,900,000","382,100,000","367,700,000","356,100,000","341,600,000","331,400,000","321,900,000","308,100,000","289,000,000","285,400,000","271,400,000","259,700,000","245,200,000","234,300,000","216,800,000","204,900,000","203,000,000","202,000,000","190,500,000","175,000,000","167,300,000","161,100,000","150,200,000","62,500,000","133,900,000","127,900,000","122,400,000","108,900,000","104,100,000","98,000,000","77,000,000","70,700,000","71,500,000","70,000,000","62,800,000",,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"23,238,000,000","6,399,000,000","5,405,000,000","6,744,000,000","4,796,000,000","3,194,000,000","2,219,000,000","-2,332,000,000","505,000,000","2,924,000,000","4,812,000,000","6,338,000,000","5,967,000,000","6,154,000,000","6,086,000,000","5,309,000,000","5,327,000,000","6,410,000,000","4,654,000,000","5,848,000,000","5,548,000,000","5,304,000,000","5,654,000,000","5,573,000,000","5,514,000,000","5,623,000,000","5,983,000,000","5,786,000,000","5,884,000,000","5,792,000,000","5,955,000,000","5,786,000,000","6,075,000,000","5,713,000,000","5,683,000,000","5,608,000,000","5,220,000,000","5,297,000,000","5,030,000,000","4,721,000,000","4,320,000,000","4,183,000,000","4,142,000,000","4,072,000,000","3,814,000,000","3,493,000,000","3,425,000,000","3,145,000,000","2,600,000,000","3,013,000,000","3,316,000,000","3,249,000,000","3,089,000,000","-2,734,000,000","1,637,000,000","1,753,000,000","1,999,000,000","1,251,000,000","2,283,000,000","2,279,000,000","2,244,000,000","2,181,000,000","2,194,000,000","2,089,000,000","2,018,000,000","1,930,000,000","1,975,000,000","1,910,000,000","1,856,000,000","1,785,000,000","1,748,000,000","1,714,000,000","1,767,000,000","1,624,000,000","1,561,000,000","1,525,000,000","1,492,000,000","1,466,000,000","1,444,000,000","1,420,000,000","1,103,000,000","1,181,000,000","1,164,000,000","-87,000,000","1,165,000,000","907,000,000","1,070,000,000","1,039,000,000","1,010,000,000","970,000,000","962,000,000","931,000,000","884,000,000","807,300,000","392,900,000","382,100,000","367,700,000","356,100,000","341,600,000","331,400,000","321,900,000","308,100,000","289,000,000","285,400,000","271,400,000","259,700,000","245,200,000","234,300,000","216,800,000","204,900,000","203,000,000","202,000,000","190,500,000","175,000,000","167,300,000","161,100,000","150,200,000","62,500,000","133,900,000","127,900,000","122,400,000","108,900,000","104,100,000","98,000,000","77,000,000","70,700,000","71,500,000","70,000,000","62,800,000","61,100,000","60,100,000","58,800,000","57,000,000","55,900,000","53,900,000","51,300,000","50,100,000","48,700,000","48,600,000","-157,800,000","30,700,000","33,200,000","32,300,000","29,100,000","27,100,000","22,200,000","26,900,000"
			NetIncomeContinuousOperations,"23,238,000,000","6,399,000,000","5,405,000,000","6,744,000,000","4,796,000,000","3,194,000,000","2,219,000,000","-2,332,000,000","505,000,000","2,924,000,000","4,812,000,000","6,338,000,000","5,967,000,000","6,154,000,000","6,086,000,000","5,309,000,000","5,327,000,000","6,410,000,000","4,654,000,000","5,848,000,000","5,548,000,000","5,304,000,000","5,654,000,000","5,573,000,000","5,514,000,000","5,623,000,000","5,983,000,000","5,786,000,000","5,884,000,000","5,792,000,000","5,955,000,000","5,786,000,000","6,075,000,000","5,713,000,000","5,683,000,000","5,608,000,000","5,220,000,000","5,297,000,000","5,030,000,000","4,721,000,000","4,320,000,000","4,183,000,000","4,142,000,000","4,072,000,000","3,814,000,000","3,493,000,000","3,425,000,000","3,145,000,000","2,600,000,000","3,013,000,000","3,316,000,000","3,249,000,000","3,089,000,000","-2,734,000,000","1,637,000,000","1,753,000,000","1,999,000,000","1,251,000,000","2,283,000,000","2,279,000,000","2,244,000,000","2,181,000,000","2,194,000,000","2,089,000,000","2,018,000,000","1,930,000,000","1,975,000,000","1,910,000,000","1,856,000,000","1,785,000,000","1,748,000,000","1,714,000,000","1,767,000,000","1,624,000,000","1,561,000,000","1,525,000,000","1,492,000,000","1,466,000,000","1,444,000,000","1,420,000,000","1,379,000,000","1,181,000,000","1,164,000,000","-87,000,000","1,165,000,000","907,000,000","1,070,000,000","1,039,000,000","1,010,000,000","970,000,000","962,000,000","931,000,000","884,000,000","807,300,000","392,900,000","382,100,000","367,700,000","356,100,000","341,600,000","331,400,000","321,900,000","308,100,000","289,000,000","285,400,000","271,400,000","259,700,000","245,200,000","234,300,000","216,800,000","204,900,000","203,000,000","202,000,000","190,500,000","175,000,000","167,300,000","161,100,000","150,200,000","134,200,000","133,900,000","127,900,000","122,400,000","108,900,000","104,100,000","98,000,000","77,000,000","70,700,000","71,500,000","70,000,000","62,800,000","61,100,000","60,100,000","58,800,000","57,000,000","55,900,000","53,900,000","51,300,000","50,100,000","48,700,000","48,600,000","-157,800,000","30,700,000","33,200,000","32,300,000","29,100,000","27,100,000","22,200,000","26,900,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-276,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-1,690,000,000","-649,000,000","-283,000,000","-704,000,000","-54,000,000","-202,000,000","-184,000,000","-47,000,000","148,000,000","-51,000,000","-202,000,000","-132,000,000","-107,000,000","-90,000,000","-79,000,000","-123,000,000","-191,000,000","-90,000,000","-58,000,000","-38,000,000","-91,000,000","-30,000,000","-10,000,000","-15,000,000","-52,000,000","-48,000,000","-187,000,000","-67,000,000","-80,000,000","-83,000,000","-226,000,000","-60,000,000","-182,000,000","-103,000,000","-105,000,000","-89,000,000","-49,000,000","-207,000,000","-93,000,000","-99,000,000","-72,000,000","-76,000,000","-87,000,000","-124,000,000","-55,000,000","-79,000,000","-86,000,000","-83,000,000","-53,000,000","-190,000,000","-81,000,000","-77,000,000","-44,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
