name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"10,627,000,000","3,257,000,000","2,475,000,000","2,283,000,000","2,612,000,000","2,092,000,000","1,933,000,000","1,781,000,000","1,913,000,000","2,107,000,000","1,999,000,000","2,041,000,000","2,054,000,000","2,204,000,000","2,303,000,000","2,091,000,000","2,088,000,000","2,228,000,000","1,891,000,000","1,924,000,000","1,988,000,000","2,198,000,000","1,905,000,000","1,736,000,000","1,660,000,000","2,006,000,000","1,799,000,000","1,839,000,000","1,716,000,000","2,141,000,000","2,069,000,000","1,678,000,000","1,749,000,000","1,660,000,000","1,623,000,000","1,767,000,000","1,810,000,000","1,869,000,000","1,752,000,000","1,846,000,000","2,019,000,000","-17,000,000","2,703,000,000","2,669,000,000","2,575,000,000","2,424,000,000","2,304,000,000","2,292,000,000","2,596,000,000","2,326,000,000","2,098,000,000","1,909,000,000","2,128,000,000","2,132,000,000","3,267,000,000","3,729,000,000","3,224,000,000","2,506,200,000","2,860,100,000","2,823,400,000","2,852,100,000","2,770,300,000","3,300,000,000","2,715,100,000","3,027,500,000","3,676,100,000","3,082,300,000","2,871,200,000","2,954,000,000","2,974,300,000","3,372,800,000","3,048,700,000","3,114,200,000","3,549,200,000","4,795,300,000","3,763,800,000","5,360,200,000","-909,800,000","2,103,900,000","2,155,600,000","2,184,800,000","2,315,700,000","2,810,400,000","2,820,600,000","3,088,000,000","2,252,400,000","2,858,800,000","2,859,100,000","2,394,300,000","2,410,100,000","2,212,700,000","1,986,300,000","1,984,000,000","2,016,900,000","1,901,000,000","1,780,600,000","1,959,800,000","1,266,600,000","1,121,000,000","1,020,600,000","1,001,400,000","957,800,000","842,200,000","837,500,000","893,700,000","837,000,000","712,400,000","947,400,000","958,000,000","477,300,000","467,300,000","633,900,000","582,000,000","573,300,000","572,200,000","541,900,000","750,800,000","763,600,000","554,900,000","546,400,000","583,200,000","619,100,000","430,000,000","448,000,000","607,600,000","542,000,000","348,900,000","383,000,000","548,200,000","538,800,000","325,500,000","338,000,000","515,000,000","449,700,000","292,000,000","304,000,000","627,400,000","559,700,000","335,700,000","340,800,000","543,600,000","130,200,000","425,000,000","507,000,000","796,400,000","816,000,000","552,500,000"
	OperatingRevenue,"10,775,000,000","2,964,000,000","2,866,000,000","2,283,000,000","2,612,000,000","2,092,000,000","1,933,000,000","1,781,000,000","1,913,000,000","2,107,000,000","1,999,000,000","2,041,000,000","2,054,000,000","2,204,000,000","2,303,000,000","2,091,000,000","2,088,000,000","2,228,000,000","1,891,000,000","1,924,000,000","1,988,000,000","2,198,000,000","1,905,000,000","1,736,000,000","1,660,000,000","2,006,000,000","1,799,000,000","1,839,000,000","1,716,000,000","2,141,000,000","2,069,000,000","1,678,000,000","1,749,000,000","1,660,000,000","1,623,000,000","1,767,000,000","1,810,000,000","1,869,000,000","1,752,000,000","1,846,000,000","2,019,000,000","-17,000,000","2,703,000,000","2,669,000,000","2,575,000,000","2,424,000,000","2,304,000,000","2,292,000,000","2,596,000,000","2,326,000,000","2,098,000,000","1,909,000,000","2,128,000,000","2,132,000,000","3,267,000,000","3,729,000,000","3,224,000,000","2,506,200,000","2,860,100,000","2,823,400,000","2,852,100,000","2,770,300,000","3,300,000,000","2,715,100,000","3,027,500,000","3,676,100,000","3,082,300,000","2,871,200,000","2,954,000,000","2,974,300,000","3,372,800,000","3,048,700,000","3,114,200,000","3,549,200,000","4,795,300,000","3,763,800,000","5,360,200,000","-909,800,000","2,103,900,000","2,155,600,000","2,184,800,000","2,315,700,000","2,810,400,000","2,820,600,000","3,088,000,000","2,252,400,000","2,858,800,000","2,859,100,000","2,394,300,000","2,410,100,000","2,212,700,000","1,986,300,000","1,984,000,000","2,016,900,000","1,901,000,000","1,780,600,000","1,959,800,000","1,266,600,000","1,121,000,000","1,020,600,000","1,001,400,000","957,800,000","842,200,000","837,500,000","893,700,000","837,000,000","712,400,000","947,400,000","958,000,000","477,300,000","467,300,000","633,900,000","582,000,000","573,300,000","572,200,000","541,900,000","750,800,000","763,600,000","554,900,000","546,400,000","583,200,000","619,100,000","430,000,000","448,000,000","607,600,000","542,000,000","348,900,000","383,000,000","548,200,000","538,800,000","325,500,000","338,000,000","515,000,000","449,700,000","292,000,000","304,000,000","627,400,000","559,700,000","335,700,000","340,800,000","543,600,000","130,200,000","425,000,000","507,000,000","796,400,000","816,000,000","552,500,000"
CostOfRevenue,"5,874,000,000","1,747,000,000","1,558,000,000","1,178,000,000","1,391,000,000","953,000,000","827,000,000","716,000,000","838,000,000","980,000,000","888,000,000","931,000,000","981,000,000","1,149,000,000","1,245,000,000","1,096,000,000","1,079,000,000","1,108,000,000","937,000,000","970,000,000","1,021,000,000","982,000,000","896,000,000","847,000,000","763,000,000","848,000,000","858,000,000","922,000,000","889,000,000","1,095,000,000","1,176,000,000","938,000,000","983,000,000","935,000,000","917,000,000","999,000,000","1,000,000,000","325,000,000","1,226,000,000","1,350,000,000","1,348,000,000","-321,000,000","2,025,000,000","1,938,000,000","1,908,000,000","1,788,000,000","1,752,000,000","1,723,000,000","1,922,000,000","1,708,000,000","1,537,000,000","1,392,000,000","1,668,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"4,753,000,000","1,510,000,000","917,000,000","1,105,000,000","1,221,000,000","1,139,000,000","1,106,000,000","1,065,000,000","1,075,000,000","1,127,000,000","1,111,000,000","1,110,000,000","1,073,000,000","1,055,000,000","1,058,000,000","995,000,000","1,009,000,000","1,120,000,000","954,000,000","954,000,000","967,000,000","1,216,000,000","1,009,000,000","889,000,000","897,000,000","1,158,000,000","941,000,000","917,000,000","827,000,000","1,046,000,000","893,000,000","740,000,000","766,000,000","725,000,000","706,000,000","768,000,000","810,000,000","1,544,000,000","526,000,000","496,000,000","671,000,000","304,000,000","678,000,000","731,000,000","667,000,000","636,000,000","552,000,000","569,000,000","674,000,000","618,000,000","561,000,000","517,000,000","460,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"2,120,000,000","571,000,000","562,000,000","505,000,000","482,000,000","439,000,000","465,000,000","453,000,000","457,000,000","503,000,000","483,000,000","548,000,000","512,000,000","549,000,000","557,000,000","519,000,000","518,000,000","630,000,000","562,000,000","548,000,000","534,000,000","580,000,000","663,000,000","575,000,000","635,000,000","809,000,000","585,000,000","651,000,000","600,000,000","586,000,000","586,000,000","471,000,000","465,000,000","462,000,000","370,000,000","418,000,000","384,000,000","1,195,000,000","139,000,000","155,000,000","136,000,000","-41,000,000","184,000,000","181,000,000","188,000,000","183,000,000","162,000,000","154,000,000","196,000,000","162,000,000","167,000,000","166,000,000","483,000,000","-7,346,000,000","2,553,000,000","2,920,000,000","2,526,000,000","-6,045,900,000","2,369,300,000","2,323,400,000","2,519,600,000","2,584,100,000","2,953,800,000","2,581,900,000","2,669,200,000","3,310,100,000","2,959,600,000","2,589,800,000","2,491,800,000","2,685,600,000","2,966,600,000","2,768,500,000","2,852,900,000","3,298,800,000","4,549,800,000","3,082,400,000","5,133,100,000","-1,240,400,000","2,107,700,000","2,133,500,000","1,733,700,000","2,086,900,000","2,107,100,000","2,111,700,000","2,296,900,000","1,565,300,000","2,531,200,000","2,385,200,000","2,159,900,000","2,178,700,000","2,016,300,000","1,771,400,000","1,764,200,000","1,847,400,000","1,669,400,000","1,522,700,000","1,697,800,000","1,000,500,000","921,900,000","778,200,000","750,400,000","743,200,000","658,900,000","643,000,000","645,900,000","698,900,000","565,400,000","811,100,000","792,300,000","398,700,000","396,800,000","524,200,000","483,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"558,000,000","169,000,000","152,000,000","114,000,000","123,000,000","112,000,000","114,000,000","127,000,000","113,000,000","148,000,000","130,000,000","152,000,000","128,000,000","133,000,000","174,000,000","130,000,000","132,000,000","156,000,000","138,000,000","153,000,000","161,000,000","167,000,000","177,000,000","158,000,000","221,000,000","194,000,000","177,000,000","174,000,000","196,000,000","204,000,000","171,000,000","136,000,000","150,000,000","127,000,000","130,000,000","123,000,000","132,000,000","144,000,000","139,000,000","155,000,000","136,000,000","-41,000,000","184,000,000","181,000,000","188,000,000","190,000,000","166,000,000","167,000,000","196,000,000","14,000,000","166,000,000","167,000,000","163,000,000","160,000,000","167,000,000","173,000,000","153,000,000","198,900,000","148,000,000","143,200,000","156,900,000","273,000,000","128,000,000","143,000,000","80,500,000","147,200,000","133,400,000","98,200,000","101,500,000","136,600,000","112,100,000","110,200,000","117,400,000","115,100,000","115,100,000","138,600,000","172,300,000","109,900,000","262,800,000","267,400,000","196,500,000","180,100,000","276,100,000","223,200,000","255,500,000","5,300,000","361,000,000","414,700,000","357,300,000","386,700,000","323,900,000","340,400,000","321,600,000","374,400,000","292,200,000","263,600,000","274,700,000","247,700,000","216,600,000","197,600,000","169,100,000","181,700,000","149,600,000","149,100,000","146,500,000","146,900,000","126,500,000","127,500,000","125,600,000","68,900,000","61,400,000","95,400,000","93,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196,900,000","194,100,000","178,100,000","172,900,000","174,500,000","166,000,000","150,500,000","155,300,000","129,900,000","124,500,000","129,200,000","115,900,000","85,000,000","107,400,000","106,200,000","112,800,000","96,600,000","99,400,000","89,900,000","83,500,000","39,500,000","1,200,000","54,100,000","55,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"14,000,000","2,000,000","1,000,000","12,000,000","-1,000,000","-6,000,000","15,000,000","6,000,000","7,000,000","-22,000,000","-11,000,000","9,000,000","44,000,000","43,000,000","-6,000,000","1,000,000","29,000,000","46,000,000","24,000,000","6,000,000","5,000,000","12,000,000","92,000,000","23,000,000","23,000,000","187,000,000","5,000,000","40,000,000","17,000,000","-92,000,000","3,000,000","27,000,000","17,000,000","58,000,000","-29,000,000","4,000,000","-8,000,000","-7,000,000",,"-9,000,000","-32,000,000",,,,,"-7,000,000","-4,000,000","-13,000,000",,"148,000,000","1,000,000","-1,000,000","270,000,000",,"2,386,000,000","2,747,000,000","2,373,000,000",,"2,221,300,000","2,180,200,000","2,362,700,000","2,311,100,000","2,825,800,000","2,438,900,000","2,588,700,000","3,162,900,000","2,826,200,000","2,491,600,000","2,390,300,000","2,549,000,000","2,854,500,000","2,658,300,000","2,735,500,000","3,183,700,000","4,434,700,000","2,943,800,000","4,960,800,000","-1,350,300,000","1,844,900,000","1,866,100,000","1,537,200,000","1,906,800,000","1,831,000,000","1,888,500,000","2,041,400,000","1,560,000,000","2,170,200,000","1,970,500,000","1,802,600,000","1,595,100,000","1,498,300,000","1,252,900,000","1,269,700,000","1,298,500,000","1,211,200,000","1,108,600,000","1,267,800,000","622,900,000","580,800,000","451,400,000","465,400,000","476,500,000","401,900,000","387,700,000","386,600,000","455,400,000","339,500,000","593,700,000","583,200,000","290,300,000","334,200,000","374,700,000","335,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,633,000,000","939,000,000","355,000,000","600,000,000","739,000,000","700,000,000","641,000,000","612,000,000","618,000,000","624,000,000","628,000,000","562,000,000","561,000,000","506,000,000","501,000,000","476,000,000","491,000,000","490,000,000","392,000,000","406,000,000","433,000,000","636,000,000","346,000,000","314,000,000","262,000,000","349,000,000","356,000,000","266,000,000","227,000,000","460,000,000","307,000,000","269,000,000","301,000,000","263,000,000","336,000,000","350,000,000","426,000,000","349,000,000","387,000,000","341,000,000","535,000,000","345,000,000","494,000,000","550,000,000","479,000,000","453,000,000","390,000,000","415,000,000","478,000,000","456,000,000","394,000,000","351,000,000","-23,000,000","322,000,000","714,000,000","809,000,000","698,000,000","473,100,000","490,800,000","500,000,000","332,500,000","186,200,000","346,200,000","133,200,000","358,300,000","366,000,000","122,700,000","281,400,000","462,200,000","288,700,000","406,200,000","280,200,000","261,300,000","250,400,000","245,500,000","681,400,000","227,100,000","330,600,000","-3,800,000","22,100,000","451,100,000","228,800,000","703,300,000","708,900,000","791,100,000","687,100,000","327,600,000","473,900,000","234,400,000","231,400,000","196,400,000","214,900,000","219,800,000","169,500,000","231,600,000","257,900,000","262,000,000","266,100,000","199,100,000","242,400,000","251,000,000","214,600,000","183,300,000","194,500,000","247,800,000","138,100,000","147,000,000","136,300,000","165,700,000","78,600,000","70,500,000","109,700,000","98,400,000","573,300,000","572,200,000","541,900,000","750,800,000","763,600,000","554,900,000","546,400,000","583,200,000","619,100,000","430,000,000","448,000,000","607,600,000","542,000,000","348,900,000","383,000,000","548,200,000","538,800,000","325,500,000","338,000,000","515,000,000","449,700,000","292,000,000","304,000,000","627,400,000","559,700,000","335,700,000","340,800,000","543,600,000","130,200,000","425,000,000","507,000,000","796,400,000","816,000,000","552,500,000"
