name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"572,754,000,000","152,871,000,000","140,525,000,000","141,048,000,000","138,310,000,000","152,079,000,000","134,708,000,000","137,742,000,000","134,622,000,000","141,671,000,000","127,991,000,000","130,377,000,000","123,925,000,000","138,793,000,000","124,894,000,000","128,028,000,000","122,690,000,000","136,267,000,000","123,179,000,000","123,355,000,000","117,542,000,000","130,936,000,000","118,179,000,000","120,854,000,000","115,904,000,000","129,667,000,000","117,408,000,000","120,229,000,000","114,826,000,000","131,565,000,000","119,001,000,000","120,125,000,000","114,960,000,000","129,706,000,000","115,688,000,000","116,945,000,000","114,187,000,000","127,919,000,000","113,929,000,000","114,296,000,000","113,018,000,000","123,169,000,000","110,226,000,000","109,366,000,000","104,189,000,000","116,360,000,000","101,952,000,000","103,726,000,000","99,848,000,000","113,651,000,000","99,411,000,000","100,910,000,000","94,242,000,000","109,116,000,000","98,642,000,000","102,667,000,000","95,303,000,000","107,428,000,000","91,949,000,000","93,012,000,000","86,410,000,000","99,078,000,000","84,467,000,000","85,430,000,000","80,468,000,000","90,128,000,000","76,253,000,000","77,520,000,000","71,680,000,000","82,819,000,000","69,261,000,000","70,466,000,000","65,443,000,000","75,190,000,000","63,035,000,000","63,232,000,000","57,224,000,000","71,586,000,000","59,330,000,000","60,255,000,000","55,418,000,000","64,765,000,000","53,214,000,000","53,269,000,000","48,565,000,000","57,079,000,000","46,181,000,000","46,588,000,000","43,447,000,000","51,869,000,000","40,907,000,000","38,910,000,000","35,123,000,000","41,247,000,000","33,924,000,000","33,880,000,000","30,157,000,000","35,773,000,000","29,118,000,000","28,699,000,000","25,684,000,000","31,223,000,000","26,077,000,000","25,844,000,000","23,001,000,000","27,909,000,000","23,181,000,000","23,007,000,000","20,652,000,000","25,365,800,000","20,417,700,000","19,942,300,000","17,686,100,000","20,360,600,000","16,827,000,000","16,236,600,000","13,920,400,000","17,122,100,000","13,683,800,000","13,028,400,000","11,649,400,000","13,638,900,000","10,627,500,000","10,340,000,000","9,280,600,000","10,358,900,000","7,931,000,000","7,543,500,000","6,768,200,000","8,107,500,000","6,283,500,000","6,046,400,000","5,373,300,000","6,530,700,000","4,991,200,000","4,845,100,000","4,282,000,000","5,000,300,000","4,015,000,000","3,732,200,000","3,211,800,000","3,845,600,000","2,949,000,000","2,770,300,000","2,344,300,000","2,786,900,000","2,087,500,000"
	OperatingRevenue,"572,754,000,000","152,871,000,000","140,525,000,000","141,048,000,000","138,310,000,000","152,079,000,000","134,708,000,000","137,742,000,000","134,622,000,000","141,671,000,000","127,991,000,000","130,377,000,000","123,925,000,000","138,793,000,000","124,894,000,000","128,028,000,000","122,690,000,000","136,267,000,000","123,179,000,000","123,355,000,000","117,542,000,000","130,936,000,000","118,179,000,000","120,854,000,000","115,904,000,000","129,667,000,000","117,408,000,000","120,229,000,000","114,826,000,000","131,565,000,000","119,001,000,000","120,125,000,000","114,960,000,000","129,706,000,000","115,688,000,000","116,945,000,000","114,187,000,000","127,919,000,000","113,929,000,000","114,296,000,000","113,018,000,000","123,169,000,000","110,226,000,000","109,366,000,000","104,189,000,000","116,360,000,000","101,952,000,000","103,726,000,000","99,848,000,000","113,651,000,000","99,411,000,000","100,910,000,000","94,242,000,000","109,116,000,000","98,642,000,000","102,667,000,000","95,303,000,000","107,428,000,000","91,949,000,000","93,012,000,000","86,410,000,000","99,078,000,000","84,467,000,000","85,430,000,000","80,468,000,000","90,128,000,000","76,253,000,000","77,520,000,000","71,680,000,000","82,819,000,000","69,261,000,000","70,466,000,000","65,443,000,000","75,190,000,000","63,035,000,000","63,232,000,000","57,224,000,000","71,586,000,000","59,330,000,000","60,255,000,000","55,418,000,000","64,765,000,000","53,214,000,000","53,269,000,000","48,565,000,000","57,079,000,000","46,181,000,000","46,588,000,000","43,447,000,000","51,869,000,000","40,907,000,000","38,910,000,000","35,123,000,000","41,247,000,000","33,924,000,000","33,880,000,000","30,157,000,000","35,773,000,000","29,118,000,000","28,699,000,000","25,684,000,000","31,223,000,000","26,077,000,000","25,844,000,000","23,001,000,000","27,909,000,000","23,181,000,000","23,007,000,000","20,652,000,000","25,365,800,000","20,417,700,000","19,942,300,000","17,686,100,000","20,360,600,000","16,827,000,000","16,236,600,000","13,920,400,000","17,122,100,000","13,683,800,000","13,028,400,000","11,649,400,000","13,638,900,000","10,627,500,000","10,340,000,000","9,280,600,000","10,358,900,000","7,931,000,000","7,543,500,000","6,768,200,000","8,107,500,000","6,283,500,000","6,046,400,000","5,373,300,000","6,530,700,000","4,991,200,000","4,845,100,000","4,282,000,000","5,000,300,000","4,015,000,000","3,732,200,000","3,211,800,000","3,845,600,000","2,949,000,000","2,770,300,000","2,344,300,000","2,786,900,000","2,087,500,000"
CostOfRevenue,"429,000,000,000","115,522,000,000","105,023,000,000","105,183,000,000","103,272,000,000","115,261,000,000","100,339,000,000","102,689,000,000","102,026,000,000","107,748,000,000","95,900,000,000","97,923,000,000","93,034,000,000","104,907,000,000","93,116,000,000","95,571,000,000","91,707,000,000","102,640,000,000","91,547,000,000","91,521,000,000","87,688,000,000","97,743,000,000","87,484,000,000","89,485,000,000","86,544,000,000","96,999,000,000","87,446,000,000","90,056,000,000","86,483,000,000","99,115,000,000","89,247,000,000","90,010,000,000","86,714,000,000","97,971,000,000","86,687,000,000","87,455,000,000","86,027,000,000","96,128,000,000","85,517,000,000","85,657,000,000","85,186,000,000","92,589,000,000","82,591,000,000","81,770,000,000","78,177,000,000","87,158,000,000","75,906,000,000","77,523,000,000","74,703,000,000","85,311,000,000","73,805,000,000","75,153,000,000","70,388,000,000","82,601,000,000","74,114,000,000","77,642,000,000","71,886,000,000","81,323,000,000","69,292,000,000","70,589,000,000","65,311,000,000","75,565,000,000","63,765,000,000","64,585,000,000","60,851,000,000","69,045,000,000","57,988,000,000","58,787,000,000","54,571,000,000","63,724,000,000","52,567,000,000","53,533,000,000","49,969,000,000","58,239,000,000","48,292,000,000","48,298,000,000","43,918,000,000","56,247,000,000","45,893,000,000","46,639,000,000","43,058,000,000","50,912,000,000","41,388,000,000","41,412,000,000","37,850,000,000","44,852,000,000","35,694,000,000","36,044,000,000","33,665,000,000","40,694,000,000","31,606,000,000","30,123,000,000","27,241,000,000","32,397,000,000","26,380,000,000","26,422,000,000","23,526,000,000","28,153,000,000","22,680,000,000","22,478,000,000","20,127,000,000","24,772,000,000","20,450,000,000","20,376,000,000","18,064,000,000","22,097,000,000","18,176,000,000","18,095,000,000","16,196,000,000","20,117,900,000","15,948,500,000","15,714,800,000","13,833,200,000","15,902,200,000","13,109,900,000","12,771,400,000","10,829,600,000","13,406,400,000","10,732,200,000","10,271,300,000","9,115,500,000","10,705,400,000","8,290,900,000","8,102,500,000","7,230,200,000","8,016,300,000","6,115,900,000","5,826,600,000","5,200,000,000","6,217,200,000","4,810,000,000","4,662,900,000","4,110,500,000",,,,,,,,,,,,,,
GrossProfit,"143,754,000,000","37,349,000,000","35,502,000,000","35,865,000,000","35,038,000,000","36,818,000,000","34,369,000,000","35,053,000,000","32,596,000,000","33,923,000,000","32,091,000,000","32,454,000,000","30,891,000,000","33,886,000,000","31,778,000,000","32,457,000,000","30,983,000,000","33,627,000,000","31,632,000,000","31,834,000,000","29,854,000,000","33,193,000,000","30,695,000,000","31,369,000,000","29,360,000,000","32,668,000,000","29,962,000,000","30,173,000,000","28,343,000,000","32,450,000,000","29,754,000,000","30,115,000,000","28,246,000,000","31,735,000,000","29,001,000,000","29,490,000,000","28,160,000,000","31,791,000,000","28,412,000,000","28,639,000,000","27,832,000,000","30,580,000,000","27,635,000,000","27,596,000,000","26,012,000,000","29,202,000,000","26,046,000,000","26,203,000,000","25,145,000,000","28,340,000,000","25,606,000,000","25,757,000,000","23,854,000,000","26,515,000,000","24,528,000,000","25,025,000,000","23,417,000,000","26,105,000,000","22,657,000,000","22,423,000,000","21,099,000,000","23,513,000,000","20,702,000,000","20,845,000,000","19,617,000,000","21,083,000,000","18,265,000,000","18,733,000,000","17,109,000,000","19,095,000,000","16,694,000,000","16,933,000,000","15,474,000,000","16,951,000,000","14,743,000,000","14,934,000,000","13,306,000,000","15,339,000,000","13,437,000,000","13,616,000,000","12,360,000,000","13,853,000,000","11,826,000,000","11,857,000,000","10,715,000,000","12,227,000,000","10,487,000,000","10,544,000,000","9,782,000,000","11,175,000,000","9,301,000,000","8,787,000,000","7,882,000,000","8,850,000,000","7,544,000,000","7,458,000,000","6,631,000,000","7,620,000,000","6,438,000,000","6,221,000,000","5,557,000,000","6,451,000,000","5,627,000,000","5,468,000,000","4,937,000,000","5,812,000,000","5,005,000,000","4,912,000,000","4,456,000,000","5,247,900,000","4,469,200,000","4,227,500,000","3,852,900,000","4,458,400,000","3,717,100,000","3,465,200,000","3,090,800,000","3,715,700,000","2,951,600,000","2,757,100,000","2,533,900,000","2,933,500,000","2,336,600,000","2,237,500,000","2,050,400,000","2,342,600,000","1,815,100,000","1,716,900,000","1,568,200,000","1,890,300,000","1,473,500,000","1,383,500,000","1,262,800,000",,,,,,,,,,,,,,
OperatingExpense,"117,812,000,000","31,462,000,000","29,710,000,000","28,511,000,000","28,129,000,000","31,331,000,000","28,591,000,000","28,994,000,000","27,372,000,000","28,601,000,000","27,373,000,000","26,871,000,000","25,946,000,000","27,819,000,000","26,792,000,000","26,707,000,000","25,829,000,000","29,160,000,000","26,868,000,000","25,865,000,000","24,617,000,000","26,988,000,000","25,576,000,000","25,204,000,000","24,085,000,000","26,026,000,000","24,248,000,000","24,104,000,000","22,663,000,000","24,501,000,000","23,489,000,000","23,375,000,000","22,053,000,000","24,388,000,000","22,691,000,000","22,697,000,000","21,704,000,000","23,191,000,000","22,296,000,000","21,941,000,000","21,445,000,000","22,179,000,000","21,757,000,000","21,213,000,000","20,116,000,000","21,198,000,000","20,435,000,000","20,013,000,000","19,373,000,000","21,082,000,000","20,013,000,000","19,875,000,000","18,637,000,000","20,138,000,000","19,236,000,000","19,228,000,000","18,107,000,000","19,224,000,000","17,685,000,000","17,130,000,000","16,249,000,000","17,081,000,000","16,237,000,000","15,741,000,000","15,166,000,000","15,222,000,000","14,216,000,000","14,054,000,000","13,168,000,000","13,797,000,000","12,910,000,000","12,529,000,000","11,869,000,000","12,205,000,000","11,344,000,000","11,142,000,000","10,216,000,000","11,112,000,000","10,330,000,000","10,147,000,000","9,454,000,000","10,024,000,000","9,114,000,000","8,893,000,000","8,143,000,000","8,688,000,000","7,918,000,000","7,625,000,000","7,318,000,000","7,672,000,000","6,907,000,000","6,573,000,000","5,888,000,000","6,022,000,000","5,691,000,000","5,577,000,000","5,073,000,000","5,300,000,000","4,958,000,000","4,767,000,000","4,333,000,000","4,519,000,000","4,329,000,000","4,130,000,000","3,810,000,000","4,080,000,000","3,801,000,000","3,693,000,000","3,377,000,000","2,745,200,000","3,592,700,000","3,414,800,000","3,076,800,000","3,102,400,000","2,917,300,000","2,711,000,000","2,433,300,000","2,584,800,000","2,295,700,000","2,140,700,000","1,948,700,000","2,026,500,000","1,808,900,000","1,721,200,000","1,584,900,000","1,615,200,000","1,391,300,000","1,306,700,000","1,180,000,000","1,238,100,000","1,112,400,000","1,043,700,000","944,800,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"117,812,000,000","31,462,000,000","29,710,000,000","28,511,000,000","28,129,000,000","31,331,000,000","28,591,000,000","28,994,000,000","27,372,000,000","28,601,000,000","27,373,000,000","26,871,000,000","25,946,000,000","27,819,000,000","26,792,000,000","26,707,000,000","25,829,000,000","29,160,000,000","26,868,000,000","25,865,000,000","24,617,000,000","26,988,000,000","25,576,000,000","25,204,000,000","24,085,000,000","26,026,000,000","24,248,000,000","24,104,000,000","22,663,000,000","24,501,000,000","23,489,000,000","23,375,000,000","22,053,000,000","24,388,000,000","22,691,000,000","22,697,000,000","21,704,000,000","23,191,000,000","22,296,000,000","21,941,000,000","21,445,000,000","22,179,000,000","21,757,000,000","21,213,000,000","20,116,000,000","21,198,000,000","20,435,000,000","20,013,000,000","19,373,000,000","21,082,000,000","20,013,000,000","19,875,000,000","18,637,000,000","20,138,000,000","19,236,000,000","19,228,000,000","18,107,000,000","19,224,000,000","17,685,000,000","17,130,000,000","16,249,000,000","17,081,000,000","16,237,000,000","15,741,000,000","15,166,000,000","15,222,000,000","14,216,000,000","14,054,000,000","13,168,000,000","13,797,000,000","12,910,000,000","12,529,000,000","11,869,000,000","12,205,000,000","11,344,000,000","11,142,000,000","10,216,000,000","11,112,000,000","10,330,000,000","10,147,000,000","9,454,000,000","10,024,000,000","9,114,000,000","8,893,000,000","8,143,000,000","8,688,000,000","7,918,000,000","7,625,000,000","7,318,000,000","7,672,000,000","6,907,000,000","6,573,000,000","5,888,000,000","6,022,000,000","5,691,000,000","5,577,000,000","5,073,000,000","5,300,000,000","4,958,000,000","4,767,000,000","4,333,000,000","4,519,000,000","4,329,000,000","4,130,000,000","3,810,000,000","4,080,000,000","3,801,000,000","3,693,000,000","3,377,000,000","3,502,400,000","3,340,300,000","3,169,300,000","2,846,000,000","2,848,400,000","2,719,000,000","2,519,600,000","2,246,200,000","2,374,400,000","2,143,000,000","1,995,500,000","1,807,900,000","1,886,800,000","1,697,000,000","1,615,600,000","1,484,900,000","1,511,700,000","1,310,300,000","1,227,200,000","1,103,100,000","1,166,800,000","1,041,200,000","978,000,000","883,600,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"751,000,000","854,000,000","683,000,000","675,000,000","656,000,000","763,000,000","556,000,000","526,000,000","530,000,000","472,000,000","515,000,000","444,000,000","441,000,000","456,000,000","408,000,000","404,000,000","366,000,000","402,000,000","354,000,000","359,000,000","348,000,000","366,000,000","334,000,000","328,000,000","276,000,000","312,800,000","252,400,000","245,500,000","230,800,000","254,000,000","198,300,000","191,400,000","187,100,000","210,400,000","152,700,000","145,200,000","140,800,000","139,700,000","111,900,000","105,600,000","100,000,000","103,500,000","81,000,000","79,500,000","76,900,000","71,300,000","71,200,000","65,700,000","61,200,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"751,000,000","854,000,000","683,000,000","675,000,000","656,000,000","763,000,000","556,000,000","526,000,000","530,000,000","472,000,000","515,000,000","444,000,000","441,000,000","456,000,000","408,000,000","404,000,000","366,000,000","402,000,000","354,000,000","359,000,000","348,000,000","366,000,000","334,000,000","328,000,000","276,000,000","312,800,000","252,400,000","245,500,000","230,800,000","254,000,000","198,300,000","191,400,000","187,100,000","210,400,000","152,700,000","145,200,000","140,800,000","139,700,000","111,900,000","105,600,000","100,000,000","103,500,000","81,000,000","79,500,000","76,900,000","71,300,000","71,200,000","65,700,000","61,200,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-906,000,000","-855,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"25,942,000,000","5,887,000,000","5,792,000,000","7,354,000,000","6,909,000,000","5,487,000,000","5,778,000,000","6,059,000,000","5,224,000,000","5,322,000,000","4,718,000,000","5,583,000,000","4,945,000,000","6,067,000,000","4,986,000,000","5,750,000,000","5,154,000,000","4,467,000,000","4,764,000,000","5,969,000,000","5,237,000,000","6,205,000,000","5,119,000,000","6,165,000,000","5,275,000,000","6,642,000,000","5,714,000,000","6,069,000,000","5,680,000,000","7,949,000,000","6,265,000,000","6,740,000,000","6,193,000,000","7,347,000,000","6,310,000,000","6,793,000,000","6,456,000,000","8,600,000,000","6,116,000,000","6,698,000,000","6,387,000,000","8,401,000,000","5,878,000,000","6,383,000,000","5,896,000,000","8,004,000,000","5,611,000,000","6,190,000,000","5,772,000,000","7,258,000,000","5,593,000,000","5,882,000,000","5,217,000,000","6,377,000,000","5,292,000,000","5,797,000,000","5,310,000,000","6,881,000,000","4,972,000,000","5,293,000,000","4,850,000,000","6,432,000,000","4,465,000,000","5,104,000,000","4,451,000,000","5,861,000,000","4,049,000,000","4,679,000,000","3,941,000,000","5,298,000,000","3,784,000,000","4,404,000,000","3,605,000,000","4,746,000,000","3,399,000,000","3,792,000,000","3,090,000,000","4,227,000,000","3,107,000,000","3,469,000,000","2,906,000,000","3,829,000,000","2,712,000,000","2,964,000,000","2,572,000,000","3,539,000,000","2,569,000,000","2,919,000,000","2,464,000,000","3,503,000,000","2,394,000,000","2,214,000,000","1,994,000,000","2,828,000,000","1,853,000,000","1,881,000,000","1,558,000,000","2,320,000,000","1,480,000,000","1,454,000,000","1,224,000,000","1,932,000,000","1,298,000,000","1,338,000,000","1,127,000,000","1,732,000,000","1,204,000,000","1,219,000,000","1,079,000,000","2,502,700,000","876,500,000","812,700,000","776,100,000","1,356,000,000","799,800,000","754,200,000","657,500,000","1,130,900,000","655,900,000","616,400,000","585,200,000","907,000,000","527,700,000","516,300,000","465,500,000","727,400,000","423,800,000","410,200,000","388,200,000","652,200,000","361,100,000","339,800,000","318,000,000","-12,794,000,000","4,991,200,000","4,845,100,000","4,282,000,000","-9,880,900,000","4,015,000,000","3,732,200,000","3,211,800,000","-7,215,200,000","2,949,000,000","2,770,300,000","2,344,300,000","-5,059,600,000","2,087,500,000"
