name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"2,831,600,000","730,800,000","706,500,000","723,600,000","670,700,000","580,200,000","548,000,000","527,200,000","491,500,000","470,600,000","456,100,000","469,700,000","443,500,000","422,500,000","431,700,000","447,500,000","415,700,000","415,600,000","398,200,000","397,600,000","387,700,000","382,300,000","376,700,000","388,000,000","362,100,000","359,700,000","344,500,000","359,700,000","335,900,000","349,800,000","355,900,000","368,900,000","346,800,000","342,700,000","341,800,000","344,500,000","339,400,000","321,500,000","303,800,000","324,800,000","316,300,000","295,400,000","293,600,000","307,900,000","295,400,000","276,800,000","271,400,000","281,800,000","274,700,000","293,400,000","258,900,000","261,000,000","242,400,000","244,800,000","256,200,000","279,300,000","270,700,000","256,100,000","242,700,000","263,700,000","257,600,000","231,900,000","218,400,000","240,200,000","222,800,000","195,700,000","181,600,000","173,000,000","149,500,000","134,600,000","135,300,000","138,100,000","133,600,000","126,400,000","120,100,000","126,400,000","117,800,000","103,400,000","104,900,000","107,700,000","103,700,000","50,600,000","112,900,000","117,200,000","116,200,000","105,200,000","104,500,000","112,700,000","107,700,000","115,400,000","115,100,000","124,400,000","114,200,000","114,800,000","113,900,000","115,800,000","105,200,000","109,500,000","105,200,000","123,100,000","114,700,000","114,600,000","111,300,000","119,000,000","113,900,000","107,600,000","101,100,000","109,000,000","95,200,000","99,100,000","87,400,000","91,500,000","87,100,000","92,800,000","81,900,000","87,100,000","86,900,000","88,400,000","81,300,000","86,700,000","81,800,000","82,200,000","79,600,000","81,800,000","86,100,000","80,400,000","76,900,000","82,100,000","83,800,000","79,700,000","69,400,000","79,500,000","80,100,000","75,400,000","69,000,000","74,500,000","69,300,000","66,500,000","57,000,000","67,900,000","61,900,000","61,100,000","57,000,000","64,300,000","53,200,000","47,700,000","42,700,000"
	OperatingRevenue,"2,831,600,000","730,800,000","706,500,000","723,600,000","670,700,000","580,200,000","548,000,000","527,200,000","491,500,000","470,600,000","456,100,000","469,700,000","443,500,000","422,500,000","431,700,000","447,500,000","415,700,000","415,600,000","398,200,000","397,600,000","387,700,000","382,300,000","376,700,000","388,000,000","362,100,000","359,700,000","344,500,000","359,700,000","335,900,000","349,800,000","355,900,000","368,900,000","346,800,000","342,700,000","341,800,000","344,500,000","339,400,000","321,500,000","303,800,000","324,800,000","316,300,000","295,400,000","293,600,000","307,900,000","295,400,000","276,800,000","271,400,000","281,800,000","274,700,000","293,400,000","258,900,000","261,000,000","242,400,000","244,800,000","256,200,000","279,300,000","270,700,000","256,100,000","242,700,000","263,700,000","257,600,000","231,900,000","218,400,000","240,200,000","222,800,000","195,700,000","181,600,000","173,000,000","149,500,000","134,600,000","135,300,000","138,100,000","133,600,000","126,400,000","120,100,000","126,400,000","117,800,000","103,400,000","104,900,000","107,700,000","103,700,000","50,600,000","112,900,000","117,200,000","116,200,000","105,200,000","104,500,000","112,700,000","107,700,000","115,400,000","115,100,000","124,400,000","114,200,000","114,800,000","113,900,000","115,800,000","105,200,000","109,500,000","105,200,000","123,100,000","114,700,000","114,600,000","111,300,000","119,000,000","113,900,000","107,600,000","101,100,000","109,000,000","95,200,000","99,100,000","87,400,000","91,500,000","87,100,000","92,800,000","81,900,000","87,100,000","86,900,000","88,400,000","81,300,000","86,700,000","81,800,000","82,200,000","79,600,000","81,800,000","86,100,000","80,400,000","76,900,000","82,100,000","83,800,000","79,700,000","69,400,000","79,500,000","80,100,000","75,400,000","69,000,000","74,500,000","69,300,000","66,500,000","57,000,000","67,900,000","61,900,000","61,100,000","57,000,000","64,300,000","53,200,000","47,700,000","42,700,000"
CostOfRevenue,"1,655,800,000","430,200,000","418,300,000","408,500,000","398,800,000","369,100,000","353,400,000","332,100,000","324,500,000","317,400,000","308,300,000","311,800,000","296,700,000","289,300,000","296,100,000","305,300,000","281,300,000","287,100,000","273,200,000","272,600,000","253,600,000","258,900,000","255,600,000","254,700,000","238,800,000","240,100,000","236,200,000","241,500,000","226,200,000","240,100,000","246,000,000","247,100,000","240,400,000","236,100,000","236,300,000","233,600,000","227,700,000","224,000,000","213,400,000","226,100,000","215,200,000","210,100,000","212,200,000","223,300,000","207,400,000","198,800,000","196,700,000","198,600,000","192,500,000","209,500,000","187,200,000","182,300,000","173,100,000","175,200,000","190,200,000","195,700,000","187,200,000","185,600,000","178,400,000","187,000,000","177,200,000","166,300,000","159,600,000","169,700,000","155,900,000","143,900,000","137,800,000","122,400,000","103,100,000","98,800,000","98,600,000","95,300,000","93,000,000","84,200,000","84,300,000","85,000,000","81,400,000","74,900,000","78,200,000","76,700,000","72,300,000","24,800,000","84,900,000","85,600,000","85,500,000","45,800,000","79,900,000","84,500,000","79,500,000","43,900,000","80,800,000","84,600,000","79,800,000","46,800,000","80,500,000","81,000,000","73,900,000","43,700,000","76,000,000","86,800,000","82,000,000","50,600,000","81,700,000","87,100,000","82,600,000","48,900,000","76,400,000","77,100,000","63,100,000","44,000,000","62,000,000","61,700,000","58,200,000","41,300,000","57,800,000","60,200,000","62,800,000","40,600,000","59,100,000","61,000,000","57,400,000","37,900,000","59,800,000","60,400,000","63,300,000","37,600,000","59,400,000","62,900,000","61,300,000",,,,,,,,,,,,,,,,,,
GrossProfit,"1,175,800,000","300,600,000","288,200,000","315,100,000","271,900,000","211,100,000","194,600,000","195,100,000","167,000,000","153,200,000","147,800,000","157,900,000","146,800,000","133,200,000","135,600,000","142,200,000","134,400,000","128,500,000","125,000,000","125,000,000","134,100,000","123,400,000","121,100,000","133,300,000","123,300,000","119,600,000","108,300,000","118,200,000","109,700,000","109,700,000","109,900,000","121,800,000","106,400,000","106,600,000","105,500,000","110,900,000","111,700,000","97,500,000","90,400,000","98,700,000","101,100,000","85,300,000","81,400,000","84,600,000","88,000,000","78,000,000","74,700,000","83,200,000","82,200,000","83,900,000","71,700,000","78,700,000","69,300,000","69,600,000","66,000,000","83,600,000","83,500,000","70,500,000","64,300,000","76,700,000","80,400,000","65,600,000","58,800,000","70,500,000","66,900,000","51,800,000","43,800,000","50,600,000","46,400,000","35,800,000","36,700,000","42,800,000","40,600,000","42,200,000","35,800,000","41,400,000","36,400,000","28,500,000","26,700,000","31,000,000","31,400,000","25,800,000","28,000,000","31,600,000","30,700,000","59,400,000","24,600,000","28,200,000","28,200,000","71,500,000","34,300,000","39,800,000","34,400,000","68,000,000","33,400,000","34,800,000","31,300,000","65,800,000","29,200,000","36,300,000","32,700,000","64,000,000","29,600,000","31,900,000","31,300,000","58,700,000","24,700,000","31,900,000","32,100,000","55,100,000","25,400,000","29,800,000","28,900,000","51,500,000","24,100,000","26,900,000","24,100,000","47,800,000","22,200,000","25,700,000","24,400,000","44,300,000","19,800,000","21,400,000","22,800,000","42,800,000","17,500,000","19,200,000","22,500,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"415,600,000","111,700,000","105,000,000","106,500,000","92,400,000","89,200,000","88,700,000","88,500,000","82,500,000","74,500,000","74,100,000","79,900,000","78,400,000","69,500,000","75,000,000","80,800,000","77,900,000","68,600,000","70,600,000","70,600,000","71,900,000","68,400,000","67,300,000","71,300,000","67,500,000","72,400,000","63,100,000","79,800,000","62,700,000","66,600,000","66,800,000","67,400,000","66,400,000","69,700,000","65,700,000","69,200,000","68,200,000","67,200,000","61,900,000","62,600,000","59,600,000","53,500,000","53,400,000","55,800,000","57,500,000","57,400,000","50,800,000","51,500,000","52,000,000","51,200,000","49,400,000","49,800,000","47,200,000","40,700,000","46,100,000","45,800,000","44,400,000","34,600,000","51,400,000","41,800,000","40,800,000","44,600,000","39,100,000","38,400,000","38,700,000","32,600,000","30,700,000","32,100,000","26,300,000","15,400,000","30,300,000","31,200,000","29,800,000","4,900,000","28,900,000","30,600,000","29,900,000","21,400,000","19,700,000","21,200,000","18,700,000","15,100,000","18,800,000","19,000,000","19,300,000","53,800,000","16,500,000","17,000,000","17,400,000","57,700,000","19,200,000","19,700,000","17,000,000","22,100,000","17,300,000","18,400,000","45,000,000","48,700,000","16,300,000","19,100,000","18,000,000","48,200,000","18,100,000","18,100,000","19,100,000","47,600,000","16,600,000","18,100,000","16,800,000","44,100,000","15,600,000","16,900,000","15,500,000","39,700,000","15,100,000","15,800,000","14,900,000","39,600,000","14,300,000","13,800,000","13,000,000","69,600,000","12,300,000","13,700,000","13,900,000","42,300,000","11,800,000","13,400,000","13,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"362,800,000","98,000,000","91,900,000","92,700,000","80,200,000","76,300,000","76,200,000","77,700,000","71,800,000","69,000,000","64,800,000","70,300,000","68,600,000","59,700,000","64,900,000","70,000,000","68,300,000","58,900,000","61,500,000","60,600,000","61,600,000","58,800,000","58,300,000","62,500,000","58,100,000","62,400,000","54,600,000","71,700,000","55,200,000","58,800,000","56,000,000","57,500,000","56,400,000","60,000,000","56,100,000","59,700,000","59,100,000","58,600,000","53,700,000","54,400,000","51,300,000","46,300,000","45,700,000","48,500,000","50,600,000","50,500,000","44,900,000","45,800,000","46,600,000","45,400,000","44,300,000","45,100,000","42,900,000","36,800,000","41,500,000","40,900,000","40,100,000","39,700,000","37,700,000","38,200,000","37,000,000","43,900,000","37,100,000","36,900,000","38,000,000","32,400,000","30,700,000","31,900,000","25,200,000","15,100,000","30,300,000","30,800,000","29,000,000","32,000,000","27,800,000","26,800,000","24,400,000","21,000,000","19,300,000","21,800,000","20,500,000","15,700,000","19,400,000","19,000,000","19,300,000","16,800,000","16,500,000","17,000,000","17,400,000","22,000,000","19,200,000","19,700,000","17,000,000","18,000,000","17,300,000","18,400,000","16,800,000","16,800,000","16,300,000","19,100,000","18,000,000","17,500,000","18,100,000","18,100,000","19,100,000","18,000,000","16,600,000","18,100,000","16,800,000","21,000,000","15,600,000","16,900,000","15,500,000","17,700,000","15,100,000","15,800,000","14,900,000","16,000,000","14,300,000","13,800,000","13,000,000","45,100,000","12,300,000","13,700,000","13,900,000","19,600,000","11,800,000","13,400,000","13,000,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,"70,300,000","68,600,000","59,700,000","64,900,000","70,000,000","68,300,000","58,900,000","61,500,000","60,600,000","61,600,000","58,800,000","58,300,000","62,500,000","58,100,000","62,400,000","54,600,000","71,700,000","55,200,000","58,800,000","56,000,000","57,500,000","56,400,000","60,000,000","56,100,000","59,700,000","59,100,000","58,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0","0","10,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,"70,300,000","68,600,000","59,700,000","64,900,000","70,000,000","68,300,000","58,900,000","61,500,000","60,600,000","61,600,000","60,900,000","58,300,000","62,500,000","58,100,000","62,400,000","54,600,000","60,800,000","55,200,000","58,800,000","56,000,000","57,500,000","56,400,000","60,000,000","56,100,000","59,700,000","59,100,000","58,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"52,800,000","13,700,000","13,100,000","13,800,000","12,200,000","12,900,000","12,500,000","10,800,000","10,700,000","10,200,000","9,300,000","9,600,000","9,800,000","9,800,000","10,100,000","10,800,000","9,600,000","9,700,000","9,100,000","10,000,000","10,300,000","9,600,000","9,000,000","8,800,000","9,400,000","10,000,000","8,500,000","8,100,000","7,500,000","7,800,000","10,800,000","9,900,000","10,000,000","9,700,000","9,600,000","9,500,000","9,100,000","8,600,000","8,200,000","8,200,000","8,300,000","7,200,000","7,700,000","7,300,000","6,900,000","6,900,000","5,900,000","5,700,000","5,400,000","5,800,000","5,100,000","4,700,000","4,300,000","3,900,000","4,600,000","4,900,000","5,400,000","4,600,000","4,100,000","3,800,000","3,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
