name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"8,998,000,000","2,706,000,000","1,973,000,000","2,286,000,000","2,590,000,000","2,764,000,000","2,009,000,000","2,113,000,000","2,466,000,000","2,690,000,000","1,989,000,000","2,048,000,000","2,312,000,000","2,372,000,000","1,859,000,000","1,990,000,000","2,292,000,000","2,078,000,000","1,852,000,000","1,953,000,000","2,319,000,000","1,927,000,000","1,777,000,000","1,949,000,000","2,234,000,000","974,000,000","846,000,000","922,000,000","1,087,000,000","958,000,000","812,000,000","935,000,000","1,097,000,000","919,000,000","795,000,000","890,000,000","1,051,000,000","871,000,000","754,000,000","842,000,000","1,013,000,000","814,000,000","762,000,000","863,000,000","1,008,000,000","835,000,000","733,000,000","799,000,000","972,000,000","824,000,000","725,000,000","784,000,000","930,000,000","799,000,000","579,000,000","661,000,000","795,000,000","639,000,000","574,000,000","626,000,000","739,000,000","621,000,000","543,000,000","593,000,000","671,000,000","562,000,000","487,000,000","549,000,000","669,000,000","588,000,000","490,000,000","532,000,000","665,000,000","577,000,000","452,000,000","492,000,000","555,000,000","483,000,000","390,000,000","411,000,000","451,000,000","387,000,000","325,000,000","337,000,000","375,000,000"
	OperatingRevenue,"8,998,000,000","2,706,000,000","1,973,000,000","2,286,000,000","2,590,000,000","2,764,000,000","2,009,000,000","2,113,000,000","2,466,000,000","2,690,000,000","1,989,000,000","2,048,000,000","2,312,000,000","2,372,000,000","1,859,000,000","1,990,000,000","2,292,000,000","2,051,000,000","1,832,000,000","1,930,000,000","2,303,000,000","1,904,000,000","1,761,000,000","1,894,000,000","2,219,000,000","970,000,000","841,000,000","917,000,000","1,081,000,000","939,000,000","808,000,000","930,000,000","1,090,000,000","911,000,000","791,000,000","885,000,000","1,046,000,000","849,000,000","754,000,000","842,000,000","1,013,000,000","814,000,000","762,000,000","863,000,000","1,008,000,000","835,000,000","733,000,000","799,000,000","972,000,000","3,225,000,000","11,000,000","784,000,000","930,000,000","799,000,000","579,000,000","661,000,000","795,000,000","639,000,000","574,000,000","626,000,000","715,000,000","621,000,000","543,000,000","593,000,000","652,000,000","617,000,000","469,000,000","530,000,000","651,000,000","569,000,000","472,000,000","516,000,000","648,000,000","558,000,000","434,000,000","472,000,000","540,000,000","461,000,000","371,000,000","393,000,000","436,000,000","370,000,000","309,000,000","319,000,000","359,000,000"
CostOfRevenue,"6,796,000,000","2,016,000,000","842,000,000","2,026,000,000","2,138,000,000","2,177,000,000","1,936,000,000","1,950,000,000","2,106,000,000","2,003,000,000","1,882,000,000","1,872,000,000","1,826,000,000","1,902,000,000","1,842,000,000","1,927,000,000","1,892,000,000","1,968,000,000","1,811,000,000","1,829,000,000","1,856,000,000","1,248,000,000","1,776,000,000","1,813,000,000","1,908,000,000","949,000,000","796,000,000","801,000,000","780,000,000","803,000,000","765,000,000","775,000,000","758,000,000","756,000,000","706,000,000","705,000,000","750,000,000","3,135,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"131,000,000","141,000,000","149,000,000",,"116,000,000","114,000,000","111,000,000",,"138,000,000","108,000,000",,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,202,000,000","690,000,000","1,131,000,000","260,000,000","452,000,000","587,000,000","73,000,000","163,000,000","360,000,000","687,000,000","107,000,000","176,000,000","486,000,000","470,000,000","17,000,000","63,000,000","400,000,000","110,000,000","41,000,000","124,000,000","463,000,000","679,000,000","1,000,000","136,000,000","326,000,000","25,000,000","50,000,000","121,000,000","307,000,000","155,000,000","47,000,000","160,000,000","339,000,000","163,000,000","89,000,000","185,000,000","301,000,000","-2,264,000,000","754,000,000","842,000,000","1,013,000,000","814,000,000","762,000,000","863,000,000","1,008,000,000","835,000,000","733,000,000","799,000,000","972,000,000","824,000,000","725,000,000","784,000,000","930,000,000",,"448,000,000","520,000,000","646,000,000",,"458,000,000","512,000,000","628,000,000",,"405,000,000","485,000,000",,,,,,,,,,,,,,,,,,,,,
OperatingExpense,,,,,"591,000,000","689,000,000","563,000,000","573,000,000","703,000,000","662,000,000","593,000,000","594,000,000","127,000,000","615,000,000","554,000,000","597,000,000","141,000,000","568,000,000","561,000,000","591,000,000","598,000,000","574,000,000","572,000,000","542,000,000","635,000,000","23,000,000","23,000,000","16,000,000","14,000,000","16,000,000","13,000,000","12,000,000","13,000,000","13,000,000","14,000,000","14,000,000","14,000,000","-1,983,000,000","683,000,000","663,000,000","696,000,000","733,000,000","672,000,000","706,000,000","774,000,000","656,000,000","627,000,000","628,000,000","671,000,000","651,000,000","643,000,000","619,000,000","656,000,000","1,084,000,000","382,000,000","443,000,000","421,000,000","829,000,000","365,000,000","374,000,000","390,000,000","847,000,000","301,000,000","366,000,000","467,000,000","455,000,000","415,000,000","343,000,000","575,000,000","418,000,000","381,000,000","379,000,000","431,000,000","385,000,000","346,000,000","356,000,000","369,000,000","286,000,000","326,000,000","381,000,000","323,000,000","305,000,000","397,000,000","275,000,000","286,000,000"
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,000,000","500,000,000","506,000,000","507,000,000","490,000,000","506,000,000","584,000,000","469,000,000","462,000,000","456,000,000","486,000,000","455,000,000","449,000,000","443,000,000","480,000,000","1,049,000,000","359,000,000","428,000,000","411,000,000","819,000,000","352,000,000","360,000,000","377,000,000","829,000,000","383,000,000","351,000,000","348,000,000","492,000,000","402,000,000","407,000,000","511,000,000","412,000,000","369,000,000","373,000,000","419,000,000","375,000,000","343,000,000","351,000,000","359,000,000","290,000,000","317,000,000","372,000,000","315,000,000","283,000,000","402,000,000","259,000,000","268,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,000,000","500,000,000","506,000,000","507,000,000","490,000,000","506,000,000","584,000,000","469,000,000","462,000,000","456,000,000","486,000,000","455,000,000","449,000,000","443,000,000","480,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,000,000","500,000,000","506,000,000","507,000,000","490,000,000","506,000,000","584,000,000","469,000,000","462,000,000","456,000,000","486,000,000","455,000,000","449,000,000","443,000,000","480,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,"174,000,000","184,000,000","181,000,000","186,000,000","219,000,000","190,000,000","176,000,000","182,000,000","127,000,000","181,000,000","180,000,000","191,000,000","141,000,000","192,000,000","195,000,000","200,000,000","197,000,000","194,000,000","202,000,000","169,000,000","204,000,000","23,000,000","23,000,000","16,000,000","14,000,000","16,000,000","13,000,000","12,000,000","13,000,000","13,000,000","14,000,000","14,000,000","14,000,000","-44,000,000","35,000,000","34,000,000","34,000,000","34,000,000","35,000,000","36,000,000","37,000,000","36,000,000","36,000,000","37,000,000","36,000,000","41,000,000","44,000,000","37,000,000","38,000,000","37,000,000","20,000,000","17,000,000","16,000,000","17,000,000","16,000,000","17,000,000","16,000,000","17,000,000","17,000,000","15,000,000","14,000,000","14,000,000","13,000,000","14,000,000","13,000,000","12,000,000","12,000,000","11,000,000","12,000,000","11,000,000","9,000,000","9,000,000","10,000,000","10,000,000","9,000,000","8,000,000","8,000,000","17,000,000","17,000,000","16,000,000","18,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,"174,000,000","184,000,000","181,000,000","186,000,000","219,000,000","190,000,000","176,000,000","182,000,000","127,000,000","181,000,000","180,000,000","191,000,000","141,000,000","192,000,000","195,000,000","200,000,000","197,000,000","194,000,000","202,000,000","169,000,000","204,000,000","23,000,000","23,000,000","16,000,000","14,000,000","16,000,000","13,000,000","12,000,000","13,000,000","13,000,000","14,000,000","14,000,000","14,000,000","-44,000,000","35,000,000","34,000,000","34,000,000","34,000,000","35,000,000","36,000,000","37,000,000","36,000,000","36,000,000","37,000,000","36,000,000","41,000,000","44,000,000","37,000,000","38,000,000","37,000,000","20,000,000","17,000,000","16,000,000","17,000,000","16,000,000","17,000,000","16,000,000","17,000,000","17,000,000","15,000,000","14,000,000","14,000,000","13,000,000","14,000,000","13,000,000","12,000,000","12,000,000","11,000,000","12,000,000","11,000,000","9,000,000","9,000,000","10,000,000","10,000,000","9,000,000","8,000,000","8,000,000","17,000,000","17,000,000","16,000,000","18,000,000"
