name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalRevenue,"3,763,664,000","1,042,225,000","994,644,000","990,113,000","725,783,000","685,995,000","370,452,000","85,698,000","953,716,000","1,653,459,000","1,647,762,000","1,658,332,000","1,651,546,000","1,687,586,000","1,709,072,000","1,605,424,000","1,715,578,000","1,689,096,000","1,612,331,000","1,529,261,000","1,475,680,000","1,300,433,000","1,109,822,000","1,058,364,000","997,678,000","946,902,000","996,285,000","1,040,458,000","1,092,238,000","1,137,975,000","1,370,010,000","1,412,063,000","1,513,613,000","1,519,897,000","1,390,112,000","1,332,273,000","1,378,654,000","1,289,084,000","1,298,495,000","1,253,207,000","1,313,498,000","1,343,863,000","1,298,304,000","1,367,353,000","1,260,272,000","1,237,188,000","1,005,949,000","1,032,643,000","908,918,000","809,329,000","773,071,000","723,256,000","739,955,000","614,275,000","769,186,000","825,157,000","778,706,000","711,275,000","653,386,000","687,541,000","635,317,000","563,570,000","318,092,000","273,370,000","277,225,000","269,412,000","251,441,000","201,120,000",,"0","1,000","103,000","198,000","279,000","261,000","285,000","193,000","220,000","207,000"
	OperatingRevenue,"3,763,664,000","1,042,225,000","994,644,000","990,113,000","725,783,000","685,995,000","370,452,000","85,698,000","953,716,000","1,653,459,000","1,647,762,000","1,658,332,000","1,651,546,000","1,687,586,000","1,709,072,000","1,605,424,000","1,715,578,000","1,814,186,000","1,728,064,000","1,638,760,000","1,587,236,000","1,415,372,000","1,202,054,000","1,138,168,000","1,080,761,000","1,030,718,000","1,080,765,000","1,122,595,000","1,184,543,000","1,236,656,000","1,469,010,000","1,505,893,000","1,611,306,000","1,615,855,000","1,486,035,000","1,418,122,000","1,468,232,000","1,381,617,000","1,390,131,000","1,340,809,000","1,407,831,000","1,434,615,000","1,388,739,000","1,452,244,000","1,349,504,000","1,322,262,000","1,082,318,000","1,104,139,000","979,116,000","874,902,000","836,905,000","784,552,000","812,783,000","673,662,000","827,092,000","880,361,000","836,252,000","711,275,000","653,386,000","687,541,000","635,317,000","563,570,000","318,092,000","273,370,000","318,282,000","269,412,000","251,441,000","201,120,000",,"0","1,000","103,000","198,000","279,000","261,000","285,000","193,000","220,000","207,000"
CostOfRevenue,"2,558,581,000","707,917,000","687,561,000","630,195,000","522,009,000","478,585,000","286,707,000","240,267,000","737,660,000","1,007,123,000","1,036,619,000","1,016,729,000","1,006,582,000","1,034,760,000","1,052,475,000","985,754,000","1,013,286,000","1,071,738,000","1,001,659,000","968,677,000","921,319,000","818,947,000","695,294,000","651,813,000","607,968,000","575,983,000","622,884,000","654,068,000","677,439,000","699,764,000","818,521,000","859,459,000","938,567,000","933,077,000","863,139,000","837,829,000","844,777,000","801,958,000","813,340,000","809,583,000","826,694,000","851,306,000","836,016,000","845,512,000","777,199,000","784,180,000","653,158,000","670,983,000","591,294,000","538,769,000","496,514,000","456,585,000","497,466,000","425,888,000","488,682,000","518,741,000","504,997,000","441,255,000","401,321,000","407,432,000","375,057,000","334,435,000","191,189,000","159,595,000","157,494,000","149,383,000","140,684,000","108,028,000","38,108,000","29,429,000","21,525,000","16,544,000","14,656,000","14,978,000","12,124,000","11,232,000","9,001,000","9,862,000","6,391,000"
GrossProfit,"1,205,083,000","334,308,000","307,083,000","359,918,000","203,774,000","207,410,000","83,745,000","-154,569,000","216,056,000","646,336,000","611,143,000","641,603,000","644,964,000","652,826,000","656,597,000","619,670,000","702,292,000","617,358,000","610,672,000","560,584,000","554,361,000","481,486,000","414,528,000","406,551,000","389,710,000","370,919,000","373,401,000","386,390,000","414,799,000","438,211,000","551,489,000","552,604,000","575,046,000","586,820,000","526,973,000","494,444,000","533,877,000","487,126,000","485,155,000","443,624,000","486,804,000","492,557,000","462,288,000","521,841,000","483,073,000","453,008,000","352,791,000","361,660,000","317,624,000","270,560,000","276,557,000","266,671,000","242,489,000","188,387,000","280,504,000","306,416,000","273,709,000","270,020,000","252,065,000","280,109,000","260,260,000","229,135,000","126,903,000","113,775,000","119,731,000","120,029,000","110,757,000","93,092,000","-38,108,000","-29,429,000","-21,524,000","-16,441,000","-14,458,000","-14,699,000","-11,863,000","-10,947,000","-8,808,000","-9,642,000","-6,184,000"
OperatingExpense,"1,548,862,000","415,739,000","375,446,000","383,788,000","373,889,000","362,267,000","356,847,000","361,880,000","436,238,000","417,392,000","425,092,000","415,957,000","387,014,000","376,959,000","346,784,000","331,307,000","316,978,000","324,857,000","325,052,000","306,530,000","301,395,000","319,136,000","319,083,000","247,681,000","229,891,000","212,487,000","219,640,000","216,797,000","227,236,000","225,918,000","217,274,000","209,162,000","188,281,000","214,812,000","210,382,000","214,808,000","194,883,000","189,186,000","238,063,000","179,501,000","226,705,000","217,751,000","222,443,000","308,808,000","202,517,000","222,699,000","220,842,000","213,514,000","202,776,000","225,043,000","197,058,000","183,873,000","215,340,000","188,599,000","202,745,000","162,065,000","183,106,000","161,245,000","165,769,000","153,956,000","152,081,000","1,050,349,000","145,612,000","95,064,000","105,574,000","100,399,000","97,479,000","108,896,000","3,552,000","2,629,000","2,690,000","1,671,000","956,000","728,000","1,411,000","2,588,000","2,508,000","2,672,000","2,499,000"
	SellingGeneralAndAdministration,"796,592,000","221,923,000","197,350,000","197,545,000","179,774,000","173,544,000","160,896,000","152,081,000","234,328,000","230,682,000","246,442,000","202,224,000","217,322,000","215,872,000","192,327,000","183,631,000","169,585,000","182,848,000","178,506,000","164,169,000","159,962,000","166,985,000","144,206,000","119,505,000","117,445,000","112,247,000","116,639,000","113,707,000","122,200,000","125,833,000","126,834,000","128,520,000","111,277,000","116,472,000","105,026,000","132,381,000","94,909,000","83,640,000","138,506,000","103,317,000","116,236,000","108,124,000","117,597,000","202,972,000","91,009,000","108,825,000","120,642,000","105,309,000","91,193,000","119,874,000","90,001,000","77,207,000","109,978,000","117,413,000","100,905,000","97,092,000","108,852,000","91,604,000","85,100,000","102,566,000","101,012,000","100,982,000","103,630,000","52,657,000","60,860,000","71,338,000","54,004,000","82,974,000","5,000","38,000","5,000","109,000","183,000","1,050,000","193,000","150,000","101,000","1,033,000","193,000"
		GeneralAndAdministrativeExpense,"796,592,000","221,923,000","197,350,000","197,545,000","179,774,000","173,544,000","160,896,000","152,081,000","234,328,000","230,682,000","246,442,000","202,224,000","217,322,000","215,872,000","192,327,000","183,631,000","169,585,000","182,848,000","178,506,000","164,169,000","159,962,000","166,985,000","144,206,000","119,505,000","117,445,000","112,247,000","116,639,000","113,707,000","122,200,000","125,833,000","126,834,000","128,520,000","111,277,000","116,472,000","105,026,000","132,381,000","94,909,000","120,187,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"796,592,000","221,923,000","197,350,000","197,545,000","179,774,000","173,544,000","160,896,000","152,081,000","234,328,000","230,682,000","246,442,000","202,224,000","217,322,000","215,872,000","192,327,000","183,631,000","169,585,000","182,848,000","178,506,000","164,169,000","159,962,000","166,985,000","144,206,000","119,505,000","117,445,000","112,247,000","116,639,000","113,707,000","122,200,000","125,833,000","126,834,000","128,520,000","111,277,000","116,472,000","105,026,000","132,381,000","94,909,000","120,187,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"715,962,000","170,424,000","177,110,000","183,307,000","185,121,000","184,004,000","183,486,000","179,266,000","178,746,000","175,054,000","172,998,000","140,269,000","136,557,000","138,911,000","137,458,000","137,870,000","136,357,000","136,880,000","137,982,000","137,686,000","139,820,000","140,543,000","106,467,000","79,749,000","77,971,000","77,201,000","80,649,000","81,913,000","82,866,000","80,082,000","79,027,000","78,351,000","76,659,000","91,990,000","93,325,000","93,218,000","92,518,000","93,057,000","94,274,000","93,463,000","92,405,000","94,118,000","100,522,000","102,052,000","101,347,000","100,299,000","99,341,000","101,353,000","104,565,000","104,441,000","101,907,000","102,731,000","101,468,000","70,793,000","65,544,000","63,779,000","62,732,000","60,496,000","56,001,000","51,902,000","51,524,000","50,667,000","42,470,000","40,542,000","41,785,000","35,839,000","37,886,000","26,125,000","3,494,000","3,252,000","1,904,000","1,042,000","781,000","753,000","638,000","2,180,000","2,173,000","2,169,000","2,167,000"
		DepreciationAndAmortizationInIncomeStatement,"715,962,000","170,424,000","177,110,000","183,307,000","185,121,000","184,004,000","183,486,000","179,266,000","178,746,000","175,054,000","172,998,000","140,269,000","136,557,000","138,911,000","137,458,000","137,870,000","136,357,000","136,880,000","137,982,000","137,686,000","139,820,000","140,543,000","106,467,000","79,749,000","77,971,000","77,201,000","80,649,000","81,913,000","82,866,000","80,082,000","79,027,000","78,351,000","76,659,000","91,990,000","93,325,000","93,218,000","92,518,000","93,057,000","94,274,000","93,463,000","92,405,000","94,118,000","100,522,000","102,052,000","101,347,000","100,299,000","99,341,000","101,353,000","104,565,000","104,441,000","101,907,000","102,731,000","101,468,000","70,793,000","65,544,000","63,779,000","62,732,000","60,496,000","56,001,000","51,902,000","51,524,000","50,667,000","42,470,000","40,542,000","41,785,000","35,839,000","37,886,000","26,125,000","3,494,000","3,252,000","1,904,000","1,042,000","781,000","753,000","638,000","2,180,000","2,173,000","2,169,000","2,167,000"
