name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,431,000,000","3,355,000,000","3,467,000,000","3,068,000,000","3,541,000,000","2,947,000,000","3,182,000,000","2,586,000,000","2,811,000,000","2,798,000,000","3,013,000,000","2,577,000,000","3,141,000,000","2,880,000,000","3,048,000,000","2,658,000,000","2,951,000,000","2,795,753,000","3,016,897,000","2,644,928,000","2,946,422,000","2,794,651,000","3,040,147,000","2,499,849,000","2,772,273,000","2,645,821,000","2,901,312,000","2,515,134,000","2,962,219,000","2,928,628,000","2,869,807,000","2,685,096,000","3,202,604,000","2,730,822,000","2,822,338,000","2,578,913,000","2,782,849,000","2,551,135,000","2,724,341,000","2,274,668,000","2,578,079,000","2,568,410,000","2,831,598,000","2,438,222,000","2,816,540,000","2,566,934,000","2,628,787,000","2,307,764,000","2,807,462,000","2,618,116,000","2,314,562,000","2,016,083,000","2,695,542,000","2,707,573,000","2,851,680,000","2,615,515,000","3,028,388,000","2,603,219,000","2,399,997,000","2,267,292,000","2,763,662,000","2,466,736,000","2,411,591,000","2,073,873,000","2,888,104,000","2,884,938,000","2,286,123,000","2,067,017,000","2,399,689,000","2,259,361,000","2,008,612,000","1,807,351,000","2,290,585,000","1,962,195,000","2,057,724,000","1,771,015,000","2,720,352,000","2,283,601,000","2,536,089,000","3,427,967,000","3,317,587,000","3,118,535,000","3,763,474,000","3,636,755,000","4,207,106,000","4,636,313,000","2,562,719,000","679,051,000","793,005,000","652,900,000","813,400,000","659,400,000","743,200,000","712,800,000","766,400,000","638,700,000","701,300,000","699,600,000","697,500,000","594,300,000","742,500,000","710,000,000","633,300,000","592,300,000","718,700,000","652,800,000","664,900,000","589,700,000","661,200,000","608,700,000","612,300,000","582,000,000","683,400,000","630,000,000","588,000,000","545,300,000","640,800,000","572,000,000","523,400,000","500,300,000","563,800,000","533,500,000","589,200,000","501,500,000","577,000,000","431,200,000","554,900,000","494,800,000","583,600,000","499,600,000","483,000,000","446,500,000","560,600,000","484,000,000","530,300,000","442,800,000","549,400,000","428,800,000","470,300,000","398,700,000","472,500,000","421,100,000","432,700,000","387,200,000","540,600,000","465,800,000","389,900,000"
	OperatingRevenue,"13,337,000,000","3,330,000,000","3,444,000,000","3,046,000,000","3,517,000,000","2,926,000,000","3,160,000,000","2,566,000,000","2,786,000,000","2,774,000,000","2,993,000,000","2,557,000,000","3,119,000,000","2,858,000,000","3,029,000,000","2,640,000,000","2,932,000,000","2,775,559,000","2,997,822,000","2,627,856,000","2,924,763,000","2,775,424,000","3,021,920,000","2,483,041,000","2,750,808,000","2,626,118,000","2,883,499,000","2,497,591,000","2,940,859,000","2,907,465,000","2,853,000,000","2,666,765,000","3,181,398,000","2,710,451,000","2,805,283,000","2,561,198,000","2,761,792,000","2,477,582,000","2,724,341,000","2,274,668,000","2,578,079,000","2,568,410,000","2,831,598,000","2,438,222,000","2,816,540,000","2,566,934,000","2,628,787,000","2,307,764,000","2,807,462,000","2,618,116,000","2,314,562,000","2,016,083,000","2,695,542,000","2,707,573,000","2,851,680,000","2,615,515,000","3,028,388,000","2,603,219,000","2,399,997,000","2,267,292,000","2,763,662,000","2,466,736,000","2,411,591,000","2,073,873,000","2,888,104,000","2,884,938,000","2,286,123,000","2,067,017,000","2,399,689,000","2,259,361,000","2,008,612,000","1,807,351,000","2,290,585,000","1,962,195,000","2,057,724,000","1,771,015,000","2,720,352,000","2,283,601,000","2,536,089,000","3,427,967,000","3,317,587,000","3,118,535,000","3,763,474,000","3,636,755,000","4,207,106,000","4,636,313,000","2,562,719,000","679,051,000","793,005,000","652,900,000","813,400,000","659,400,000","743,200,000","712,800,000","766,400,000","638,700,000","701,300,000","699,600,000","697,500,000","594,300,000","742,500,000","710,000,000","633,300,000","592,300,000","718,700,000","652,800,000","664,900,000","589,700,000","661,200,000","608,700,000","612,300,000","582,000,000","683,400,000","630,000,000","588,000,000","545,300,000","640,800,000","572,000,000","523,400,000","500,300,000","563,800,000","533,500,000","589,200,000","501,500,000","577,000,000","431,200,000","554,900,000","494,800,000","583,600,000","499,600,000","483,000,000","446,500,000","560,600,000","484,000,000","530,300,000","442,800,000","549,400,000","428,800,000","470,300,000","398,700,000","472,500,000","421,100,000","432,700,000","387,200,000","540,600,000","465,800,000","389,900,000"
CostOfRevenue,"8,173,000,000","2,147,000,000","1,875,000,000","1,874,000,000","2,277,000,000","1,790,000,000","1,625,000,000","1,477,000,000","1,670,000,000","1,689,000,000","1,596,000,000","1,521,000,000","2,000,000,000","1,885,000,000","1,700,000,000","1,625,000,000","1,872,000,000","1,791,750,000","1,620,148,000","1,619,730,000","1,885,372,000","1,798,548,000","1,703,486,000","1,551,349,000","1,759,624,000","1,726,452,000","1,654,984,000","1,633,815,000","2,018,382,000","2,089,860,000","1,755,602,000","1,845,469,000","2,260,421,000","1,980,335,000","1,755,636,000","1,770,247,000","1,902,060,000","3,406,910,000","1,063,820,000","950,076,000","1,289,230,000","1,298,935,000","1,244,513,000","1,159,360,000","1,483,259,000","1,321,888,000","1,186,200,000","1,117,755,000","1,577,283,000","1,433,026,000","1,058,656,000","947,476,000","1,521,879,000","1,610,510,000","1,669,739,000","1,589,222,000","1,088,080,000","1,521,701,000","1,191,089,000","1,251,473,000","979,571,000","996,251,000","1,160,896,000","951,214,000","994,695,000","1,127,372,000","1,121,154,000","912,400,000","761,408,000","750,199,000","888,845,000","723,022,000","678,693,000","660,307,000","816,554,000","640,904,000","592,690,000","2,761,591,000","618,442,000","544,405,000","488,114,000","6,896,084,000","940,161,000","827,430,000","779,665,000","3,535,164,000","1,172,651,000","233,363,000","323,952,000","253,700,000","294,400,000","223,700,000","280,200,000","250,500,000","234,600,000","209,500,000","261,700,000","260,200,000","193,100,000","182,600,000","291,600,000","258,700,000","165,700,000","180,500,000","271,800,000","215,600,000","187,600,000","189,400,000","234,400,000","202,700,000","183,200,000","194,100,000","254,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"5,258,000,000","1,208,000,000","1,592,000,000","1,194,000,000","1,264,000,000","1,157,000,000","1,557,000,000","1,109,000,000","1,141,000,000","1,109,000,000","1,417,000,000","1,056,000,000","1,141,000,000","995,000,000","1,348,000,000","1,033,000,000","1,079,000,000","1,004,003,000","1,396,749,000","1,025,198,000","1,061,050,000","996,103,000","1,336,661,000","948,500,000","1,012,649,000","919,369,000","1,246,328,000","881,319,000","943,837,000","838,768,000","1,114,205,000","839,627,000","942,183,000","750,487,000","1,066,702,000","808,666,000","880,789,000","-855,775,000","1,660,521,000","1,324,592,000","1,288,849,000","1,269,475,000","1,587,085,000","1,278,862,000","1,333,281,000","1,245,046,000","1,442,587,000","1,190,009,000","1,230,179,000","1,185,090,000","1,255,906,000","1,068,607,000","1,173,663,000","1,097,063,000","1,181,941,000","1,026,293,000","1,940,308,000","1,081,518,000","1,208,908,000","1,015,819,000","1,784,091,000","1,470,485,000","1,250,695,000","1,122,659,000","1,893,409,000","1,757,566,000","1,164,969,000","1,154,617,000","1,638,281,000","1,509,162,000","1,119,767,000","1,084,329,000","1,611,892,000","1,301,888,000","1,241,170,000","1,130,111,000","2,127,662,000","-477,990,000","1,917,647,000","2,883,562,000","2,829,473,000","-3,777,549,000","2,823,313,000","2,809,325,000","3,427,441,000","1,101,149,000","1,390,068,000","445,688,000","469,053,000","399,200,000","519,000,000","435,700,000","463,000,000","462,300,000","531,800,000","429,200,000","439,600,000","439,400,000","504,400,000","411,700,000","450,900,000","451,300,000","467,600,000","411,800,000","446,900,000","437,200,000","477,300,000","400,300,000","426,800,000","406,000,000","429,100,000","387,900,000","429,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"3,055,000,000","775,000,000","767,000,000","756,000,000","757,000,000","731,000,000","744,000,000","687,000,000","686,000,000","659,000,000","659,000,000","646,000,000","655,000,000","655,000,000","652,000,000","585,000,000","599,000,000","578,724,000","578,918,000","566,528,000","575,830,000","531,558,000","510,755,000","517,839,000","523,279,000","480,632,000","459,827,000","458,696,000","595,037,000","449,778,000","448,942,000","444,857,000","449,999,000","427,265,000","403,975,000","407,837,000","428,304,000","-1,164,807,000","940,087,000","918,902,000","908,687,000","925,474,000","935,589,000","919,420,000","906,618,000","922,676,000","873,957,000","864,705,000","826,514,000","831,831,000","790,758,000","789,239,000","802,866,000","744,220,000","733,947,000","766,457,000","1,610,190,000","795,732,000","713,138,000","725,272,000","1,505,963,000","1,241,002,000","840,592,000","898,001,000","1,580,660,000","1,507,011,000","800,244,000","952,112,000","1,363,757,000","1,294,358,000","781,710,000","891,978,000","1,297,769,000","1,056,069,000","880,163,000","963,938,000","1,820,088,000","-971,750,000","4,458,603,000","2,538,001,000","2,501,555,000","-3,911,610,000","2,161,651,000","2,434,227,000","2,957,648,000","919,490,000","984,786,000","350,607,000","357,320,000","183,600,000","396,500,000","380,500,000","332,800,000","231,700,000","396,900,000","364,000,000","360,600,000","331,000,000","333,100,000","375,200,000","362,400,000","189,300,000","362,100,000","340,900,000","357,600,000","211,500,000","365,600,000","332,100,000","339,000,000","208,800,000","340,100,000","322,200,000","343,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,"0","2,000,000","0","451,000","528,000","1,022,000","999,000","805,000","1,148,000","920,000","500,000","2,273,000","-689,000","222,000","2,045,000","2,260,000","417,000","2,438,000","1,808,000","2,360,000","2,386,000","1,407,000","2,139,000","-183,877,000","68,920,000","58,615,000","63,707,000","69,303,000","71,280,000","65,497,000","75,298,000","65,376,000","60,861,000","55,551,000","58,039,000","48,319,000","47,157,000","41,417,000","45,219,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,899,000","38,100,000","27,300,000","34,300,000","35,200,000","30,600,000","38,900,000","36,900,000","36,500,000","37,800,000","33,300,000","37,500,000","36,300,000","34,600,000","32,100,000","41,200,000","40,400,000","34,900,000","57,300,000","45,300,000","39,700,000","43,700,000","51,300,000","48,300,000","45,100,000","49,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"2,000,000",,"451,000","528,000","1,022,000","999,000","805,000","1,148,000","920,000","500,000","2,273,000","-689,000","222,000","2,045,000","2,260,000","417,000","2,438,000","1,808,000","2,360,000","2,386,000","1,407,000","2,139,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,"0","2,000,000","0","451,000","528,000","1,022,000","999,000","805,000","1,148,000","920,000","500,000","2,273,000","-689,000","222,000","2,045,000","2,260,000","417,000","2,438,000","1,808,000","2,360,000","2,386,000","1,407,000","2,139,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,121,000,000","535,000,000","537,000,000","528,000,000","521,000,000","499,000,000","513,000,000","473,000,000","463,000,000","446,000,000","447,000,000","439,000,000","433,000,000","443,000,000","440,000,000","377,000,000","383,000,000","376,985,000","371,091,000","365,720,000","365,204,000","332,146,000","328,503,000","322,534,000","320,020,000","296,703,000","280,121,000","274,602,000","273,098,000","262,400,000","255,395,000","255,307,000","245,943,000","256,732,000","228,491,000","243,934,000","248,706,000","231,689,000","239,051,000","226,641,000","228,672,000","194,303,000","242,329,000","229,264,000","224,723,000","219,579,000","221,671,000","211,506,000","206,126,000","208,767,000","198,222,000","202,348,000","208,715,000","205,867,000","209,131,000","207,774,000","219,288,000","207,403,000","191,663,000","214,694,000","213,413,000","206,916,000","208,657,000","203,665,000","202,660,000","191,853,000","189,798,000","194,076,000","191,789,000","187,708,000","176,903,000","179,864,000","175,771,000","158,266,000","193,793,000","210,051,000","263,473,000","245,311,000","270,899,000","272,496,000","260,544,000","264,237,000","250,578,000","221,075,000","213,310,000","208,825,000","201,073,000","91,688,000","132,671,000","128,700,000","121,100,000","112,400,000","111,600,000","106,000,000","108,600,000","104,900,000","103,800,000","102,700,000","100,600,000","98,800,000","96,800,000","99,100,000","97,100,000","94,000,000","91,200,000","94,200,000","95,000,000","90,600,000","92,300,000","88,500,000","89,200,000","86,000,000","86,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,121,000,000","535,000,000","537,000,000","528,000,000","521,000,000","499,000,000","513,000,000","473,000,000","463,000,000","446,000,000","447,000,000","439,000,000","433,000,000","443,000,000","440,000,000","377,000,000","383,000,000","376,985,000","371,091,000","365,720,000","365,204,000","332,146,000","328,503,000","322,534,000","320,020,000","296,703,000","280,121,000","274,602,000","273,098,000","262,400,000","255,395,000","255,307,000","245,943,000","256,732,000","228,491,000","243,934,000","248,706,000","231,689,000","239,051,000","226,641,000","228,672,000","194,303,000","242,329,000","229,264,000","224,723,000","219,579,000","221,671,000","211,506,000","206,126,000","208,767,000","198,222,000","202,348,000","208,715,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
