name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"276,692,000,000","81,305,000,000","71,892,000,000","65,943,000,000","57,552,000,000","45,738,000,000","45,425,000,000","32,277,000,000","55,134,000,000","63,024,000,000","63,422,000,000","67,491,000,000","61,646,000,000","68,253,000,000","74,187,000,000","71,456,000,000","65,436,000,000","50,832,000,000","64,415,000,000","60,825,000,000","61,090,000,000","58,376,000,000","56,767,000,000","56,360,000,000","47,105,000,000","57,691,000,000","65,679,000,000","71,360,000,000","64,758,000,000","82,621,000,000","103,566,000,000","106,158,000,000","101,760,000,000","106,018,000,000","108,390,000,000","102,853,000,000","103,828,000,000","97,248,000,000","112,320,000,000","123,712,000,000","119,843,000,000","117,782,000,000","121,415,000,000","121,766,000,000","110,177,000,000","101,733,000,000","92,855,000,000","92,486,000,000","90,251,000,000","87,426,000,000","80,585,000,000","74,457,000,000","64,028,000,000","84,696,000,000","137,737,000,000","138,072,000,000","116,854,000,000","116,642,000,000","102,337,000,000","98,350,000,000","87,223,000,000","90,028,000,000","99,593,000,000","99,034,000,000","88,980,000,000","99,344,000,000","100,717,000,000","88,568,000,000","82,051,000,000","83,365,000,000","76,375,000,000","70,693,000,000","67,602,000,000","65,952,000,000","59,841,000,000","57,165,000,000","63,780,000,000","55,884,000,000","54,182,000,000","50,909,000,000","43,531,000,000","47,891,000,000","52,113,000,000","49,875,000,000","57,300,000,000","83,311,000,000","52,178,000,000","49,479,000,000","47,780,000,000","83,591,000,000","29,015,000,000","25,295,000,000","22,982,000,000","24,102,000,000","24,859,000,000","25,525,000,000","26,211,000,000","30,403,000,000","28,765,000,000","28,683,000,000","29,556,000,000","32,503,000,000","29,086,000,000","27,975,000,000","27,164,000,000","26,895,000,000","27,025,000,000","27,846,000,000","26,127,000,000","26,507,000,000","26,047,000,000","24,246,000,000","22,883,000,000","24,529,000,000","24,455,000,000","24,702,000,000","24,139,000,000","26,897,000,000","27,241,000,000","24,547,000,000","24,475,000,000","27,121,000,000","24,238,000,000","24,251,000,000","27,237,000,000","31,862,000,000","26,086,000,000","23,444,000,000","24,127,000,000","23,696,000,000","21,248,000,000","23,611,000,000","22,244,000,000","19,478,000,000","19,745,000,000","19,928,000,000","20,406,000,000","20,447,000,000","19,600,000,000","18,588,000,000","17,781,000,000","17,525,000,000","15,570,000,000","16,427,000,000","20,366,000,000","22,706,300,000","20,862,300,000"
	OperatingRevenue,"276,692,000,000","81,305,000,000","71,892,000,000","65,943,000,000","57,552,000,000","45,738,000,000","45,425,000,000","32,277,000,000","55,134,000,000","63,024,000,000","63,422,000,000","67,491,000,000","61,646,000,000","68,253,000,000","74,187,000,000","71,456,000,000","65,436,000,000","50,832,000,000","64,415,000,000","60,825,000,000","61,090,000,000","58,376,000,000","56,767,000,000","56,360,000,000","47,105,000,000","57,691,000,000","65,679,000,000","71,360,000,000","64,758,000,000","82,621,000,000","103,566,000,000","106,158,000,000","101,760,000,000","106,018,000,000","108,390,000,000","102,853,000,000","103,828,000,000","109,635,000,000","111,554,000,000","112,745,000,000","119,189,000,000","115,909,000,000","120,475,000,000","121,394,000,000","109,251,000,000","99,314,000,000","92,855,000,000","89,693,000,000","90,251,000,000","87,426,000,000","80,585,000,000","72,167,000,000","62,128,000,000","73,284,000,000","122,758,000,000","133,776,000,000","113,223,000,000","103,301,000,000","91,160,000,000","87,249,000,000","76,890,000,000","110,497,000,000","88,504,000,000","87,813,000,000","78,653,000,000","88,298,000,000","88,571,000,000","79,107,000,000","72,237,000,000","73,830,000,000","67,809,000,000","62,706,000,000","59,644,000,000","55,711,000,000","52,860,000,000","50,271,000,000","54,357,000,000","49,060,000,000","47,495,000,000","44,427,000,000","37,927,000,000","41,037,000,000","45,816,000,000","49,875,000,000","50,782,000,000","56,646,000,000","52,178,000,000","49,479,000,000","47,780,000,000","83,591,000,000","29,015,000,000","25,295,000,000","22,982,000,000","24,102,000,000","24,859,000,000","25,525,000,000","26,211,000,000","30,403,000,000","28,765,000,000","28,683,000,000","29,556,000,000","32,503,000,000","29,086,000,000","27,975,000,000","27,164,000,000","26,895,000,000","27,025,000,000","27,846,000,000","26,127,000,000","26,507,000,000","26,047,000,000","24,246,000,000","22,883,000,000","24,529,000,000","24,455,000,000","24,702,000,000","24,139,000,000","26,897,000,000","27,241,000,000","24,547,000,000","24,475,000,000","27,121,000,000","24,238,000,000","24,251,000,000","27,237,000,000","31,862,000,000","26,086,000,000","23,444,000,000","24,127,000,000","23,696,000,000","21,248,000,000","23,611,000,000","22,244,000,000","19,478,000,000","19,745,000,000","19,928,000,000","20,406,000,000","20,447,000,000","19,600,000,000","18,588,000,000","17,781,000,000","17,525,000,000","15,570,000,000","16,427,000,000","20,366,000,000","22,706,300,000","20,862,300,000"
CostOfRevenue,"211,806,000,000","61,933,000,000","53,454,000,000","50,752,000,000","45,667,000,000","62,332,000,000","36,036,000,000","25,880,000,000","46,199,000,000","49,177,000,000","49,011,000,000","53,095,000,000","48,342,000,000","51,985,000,000","55,531,000,000","54,834,000,000","49,249,000,000","34,821,000,000","50,510,000,000","48,842,000,000","48,065,000,000","50,400,000,000","45,786,000,000","45,462,000,000","37,848,000,000","46,850,000,000","51,245,000,000","56,963,000,000","51,258,000,000","65,917,000,000","82,260,000,000","85,283,000,000","80,010,000,000","83,780,000,000","85,972,000,000","81,716,000,000","81,237,000,000","97,196,000,000","82,445,000,000","76,131,000,000","88,168,000,000","86,018,000,000","87,972,000,000","88,382,000,000","77,933,000,000","92,376,000,000","57,857,000,000","64,198,000,000","62,035,000,000","55,342,000,000","49,786,000,000","51,638,000,000","42,030,000,000","47,926,000,000","83,579,000,000","87,099,000,000","70,206,000,000","69,391,000,000","60,206,000,000","55,658,000,000","47,597,000,000","50,183,000,000","56,773,000,000","55,772,000,000","49,225,000,000","56,944,000,000","59,130,000,000","51,358,000,000","45,570,000,000","45,254,000,000","43,156,000,000","38,894,000,000","36,243,000,000","33,857,000,000","32,777,000,000","29,729,000,000","33,565,000,000","30,242,000,000","30,235,000,000","27,135,000,000","22,089,000,000","23,223,000,000","27,638,000,000","30,623,000,000","30,147,000,000","35,390,000,000","32,211,000,000","30,962,000,000","29,459,000,000","49,027,000,000","18,098,000,000","14,874,000,000","13,064,000,000","13,561,000,000","14,049,000,000","14,504,000,000","15,309,000,000","18,069,000,000","16,979,000,000","17,051,000,000","17,915,000,000","20,232,000,000","17,423,000,000","16,744,000,000","16,025,000,000","14,873,000,000","15,459,000,000","16,570,000,000","15,450,000,000","15,393,000,000","15,601,000,000","14,767,000,000","13,463,000,000","13,971,000,000","14,822,000,000","15,056,000,000","15,034,000,000","16,561,000,000","16,473,000,000","14,997,000,000","14,256,000,000","16,660,000,000","14,503,000,000","14,322,000,000","15,763,000,000","19,714,000,000","15,944,000,000","13,601,000,000","14,439,000,000","14,255,000,000","12,287,000,000",,,,,,,,,,,,,,,,
GrossProfit,"64,886,000,000","19,372,000,000","18,438,000,000","15,191,000,000","11,885,000,000","-16,594,000,000","9,389,000,000","6,397,000,000","8,935,000,000","13,847,000,000","14,411,000,000","14,396,000,000","13,304,000,000","16,268,000,000","18,656,000,000","16,622,000,000","16,187,000,000","16,011,000,000","13,905,000,000","11,983,000,000","13,025,000,000","7,976,000,000","10,981,000,000","10,898,000,000","9,257,000,000","10,841,000,000","14,434,000,000","14,397,000,000","13,500,000,000","16,704,000,000","21,306,000,000","20,875,000,000","21,750,000,000","22,238,000,000","22,418,000,000","21,137,000,000","22,591,000,000","52,000,000","29,875,000,000","47,581,000,000","31,675,000,000","31,764,000,000","33,443,000,000","33,384,000,000","32,244,000,000","9,357,000,000","34,998,000,000","28,288,000,000","28,216,000,000","32,084,000,000","30,799,000,000","22,819,000,000","21,998,000,000","36,770,000,000","54,158,000,000","50,973,000,000","46,648,000,000","47,251,000,000","42,131,000,000","42,692,000,000","39,626,000,000","39,845,000,000","42,820,000,000","43,262,000,000","39,755,000,000","42,400,000,000","41,587,000,000","37,210,000,000","36,481,000,000","38,111,000,000","33,219,000,000","31,799,000,000","31,359,000,000","32,095,000,000","27,064,000,000","27,436,000,000","30,215,000,000","25,642,000,000","23,947,000,000","23,774,000,000","21,442,000,000","24,668,000,000","24,475,000,000","19,252,000,000","27,153,000,000","47,921,000,000","19,967,000,000","18,517,000,000","18,321,000,000","34,564,000,000","10,917,000,000","10,421,000,000","9,918,000,000","10,541,000,000","10,810,000,000","11,021,000,000","10,902,000,000","12,334,000,000","11,786,000,000","11,632,000,000","11,641,000,000","12,271,000,000","11,663,000,000","11,231,000,000","11,139,000,000","12,022,000,000","11,566,000,000","11,276,000,000","10,677,000,000","11,114,000,000","10,446,000,000","9,479,000,000","9,420,000,000","10,558,000,000","9,633,000,000","9,646,000,000","9,105,000,000","10,336,000,000","10,768,000,000","9,550,000,000","10,219,000,000","10,461,000,000","9,735,000,000","9,929,000,000","11,474,000,000","12,148,000,000","10,142,000,000","9,843,000,000","9,688,000,000","9,441,000,000","8,961,000,000",,,,,,,,,,,,,,,,
OperatingExpense,"40,867,000,000","10,982,000,000","10,366,000,000","10,267,000,000","9,252,000,000","10,115,000,000","9,984,000,000","7,777,000,000","9,699,000,000","11,174,000,000","10,728,000,000","10,835,000,000","10,455,000,000","11,241,000,000","11,487,000,000","11,700,000,000","11,181,000,000","14,011,000,000","9,961,000,000","9,720,000,000","9,158,000,000","9,804,000,000","9,559,000,000","9,761,000,000","9,052,000,000","10,269,000,000","10,272,000,000","10,111,000,000","9,637,000,000","11,202,000,000","11,732,000,000","12,149,000,000","11,470,000,000","12,516,000,000","12,159,000,000","11,900,000,000","11,508,000,000","166,000,000","15,882,000,000","16,964,000,000","18,263,000,000","18,475,000,000","18,580,000,000","18,440,000,000","17,125,000,000","-2,627,000,000","24,529,000,000","15,542,000,000","16,093,000,000","24,257,000,000","23,208,000,000","14,959,000,000","14,041,000,000","15,642,000,000","17,820,000,000","28,435,000,000","26,044,000,000","18,454,000,000","17,044,000,000","16,670,000,000","15,925,000,000","47,498,000,000","16,305,000,000","16,487,000,000","16,285,000,000","16,399,000,000","17,128,000,000","16,493,000,000","16,189,000,000","17,196,000,000","15,982,000,000","15,613,000,000","15,779,000,000","16,315,000,000","15,060,000,000","14,622,000,000","14,091,000,000","14,004,000,000","13,410,000,000","13,721,000,000","13,103,000,000","14,276,000,000","13,573,000,000","13,143,000,000","13,229,000,000","13,614,000,000","13,788,000,000","12,393,000,000","13,087,000,000","28,648,000,000","8,897,000,000","9,227,000,000","9,431,000,000","9,467,000,000","9,148,000,000","9,107,000,000","8,566,000,000","9,465,000,000","9,185,000,000","8,803,000,000","8,437,000,000","9,153,000,000","9,330,000,000","8,949,000,000","8,814,000,000","9,698,000,000","9,191,000,000","8,923,000,000","8,531,000,000","9,005,000,000","8,609,000,000","8,114,000,000","7,697,000,000","8,393,000,000","7,879,000,000","7,982,000,000","7,384,000,000","8,596,000,000","8,714,000,000","8,244,000,000","8,435,000,000","9,010,000,000","8,115,000,000","8,207,000,000","8,196,000,000","9,708,000,000","8,179,000,000","7,962,000,000","7,366,000,000","7,595,000,000","6,962,000,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"9,574,000,000","2,514,000,000","2,287,000,000","2,345,000,000","2,428,000,000","2,736,000,000","2,444,000,000","2,409,000,000","2,579,000,000","3,048,000,000","2,753,000,000","2,827,000,000","2,770,000,000","2,848,000,000","2,892,000,000","2,993,000,000","2,747,000,000","3,004,000,000","2,725,000,000","2,628,000,000","2,599,000,000","2,824,000,000","2,736,000,000","2,646,000,000","2,593,000,000","2,990,000,000","2,967,000,000","2,831,000,000","2,713,000,000","3,128,000,000","3,169,000,000","3,169,000,000","3,132,000,000","3,341,000,000","3,150,000,000","3,268,000,000","3,118,000,000","3,322,000,000","3,468,000,000","3,486,000,000","3,601,000,000","3,911,000,000","3,764,000,000","3,681,000,000","3,627,000,000","3,855,000,000","3,707,000,000","3,607,000,000","3,514,000,000","3,881,000,000","3,887,000,000","3,519,000,000","3,448,000,000","3,859,000,000","3,823,000,000","4,389,000,000","3,802,000,000","4,054,000,000","3,656,000,000","3,788,000,000","3,392,000,000","3,838,000,000","3,412,000,000","3,557,000,000","3,466,000,000","3,678,000,000","3,765,000,000","3,508,000,000","3,451,000,000","3,903,000,000","3,372,000,000","3,332,000,000","3,242,000,000","3,708,000,000","3,246,000,000","3,340,000,000","3,102,000,000","3,178,000,000","2,730,000,000","3,310,000,000","3,138,000,000","3,429,000,000","3,196,000,000","3,215,000,000","3,060,000,000","2,979,000,000","3,358,000,000","2,830,000,000","2,877,000,000","6,759,000,000","1,785,000,000","2,276,000,000","2,314,000,000","2,066,000,000","2,112,000,000","2,183,000,000","2,011,000,000","2,130,000,000","2,088,000,000","2,012,000,000","1,879,000,000","1,954,000,000","2,051,000,000","2,020,000,000","1,936,000,000","2,286,000,000","1,857,000,000","1,755,000,000","1,731,000,000","2,092,000,000","1,783,000,000","1,735,000,000","1,616,000,000","1,963,000,000","1,676,000,000","1,762,000,000","1,608,000,000","1,823,000,000","1,812,000,000","1,927,000,000","1,870,000,000","2,214,000,000","1,905,000,000","1,928,000,000","1,834,000,000","2,492,000,000","1,863,000,000","1,800,000,000","1,621,000,000","1,535,000,000","1,750,000,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,037,000,000","3,899,000,000","3,842,000,000","4,075,000,000","3,866,000,000","3,881,000,000","3,761,000,000","4,270,000,000","3,844,000,000","3,366,000,000","3,280,000,000","3,193,000,000","2,927,000,000","3,004,000,000","2,793,000,000","3,177,000,000","3,008,000,000","3,090,000,000","3,104,000,000","3,155,000,000","3,159,000,000","2,994,000,000","2,942,000,000","3,282,000,000","2,730,000,000","2,760,000,000","2,644,000,000","2,671,000,000","2,513,000,000","2,516,000,000","2,553,000,000","2,613,000,000","2,431,000,000","2,350,000,000","2,373,000,000","2,493,000,000","2,203,000,000","2,169,000,000","2,182,000,000","2,075,000,000","2,195,000,000","2,020,000,000","2,020,000,000","2,140,000,000","1,957,000,000","1,871,000,000","1,976,000,000","2,162,000,000","1,901,000,000","1,939,000,000","2,128,000,000","4,110,000,000","1,319,000,000","1,347,000,000","1,528,000,000","1,225,000,000","1,337,000,000","1,390,000,000","1,388,000,000","1,406,000,000","1,299,000,000","1,342,000,000","1,365,000,000","1,344,000,000","1,307,000,000","1,306,000,000","1,372,000,000","1,382,000,000","1,340,000,000","1,328,000,000","1,336,000,000","1,306,000,000","1,187,000,000","1,233,000,000","1,289,000,000","1,244,000,000","1,210,000,000","1,236,000,000","1,194,000,000","1,484,000,000","1,035,000,000","1,223,000,000","1,302,000,000","1,237,000,000","1,194,000,000","1,188,000,000","1,205,000,000","1,751,000,000","1,185,000,000","1,323,000,000","1,286,000,000","1,483,000,000","1,205,000,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,177,000,000","3,008,000,000","3,090,000,000","3,104,000,000","3,155,000,000","3,159,000,000","2,994,000,000","2,942,000,000","3,282,000,000","2,730,000,000","2,760,000,000","2,644,000,000","2,671,000,000","2,513,000,000","2,516,000,000","2,553,000,000","2,613,000,000","2,431,000,000","2,350,000,000","2,373,000,000","2,493,000,000","2,203,000,000","2,169,000,000","2,182,000,000","2,075,000,000","2,195,000,000","2,020,000,000","2,020,000,000","2,140,000,000","1,957,000,000","1,871,000,000","1,976,000,000","2,162,000,000","1,901,000,000","1,939,000,000","2,128,000,000","4,110,000,000","1,319,000,000","1,347,000,000","1,528,000,000","1,225,000,000","1,337,000,000","1,390,000,000","1,388,000,000","1,406,000,000","1,299,000,000","1,342,000,000","1,365,000,000","1,344,000,000","1,307,000,000","1,306,000,000","1,372,000,000","1,382,000,000","1,340,000,000","1,328,000,000","1,336,000,000","1,306,000,000","1,187,000,000","1,233,000,000","1,289,000,000","1,244,000,000","1,210,000,000","1,236,000,000","1,194,000,000","1,484,000,000","1,035,000,000","1,223,000,000","1,302,000,000","1,237,000,000","1,194,000,000","1,188,000,000","1,205,000,000","1,751,000,000","1,185,000,000","1,323,000,000","1,286,000,000","1,483,000,000","1,205,000,000",,,,,,,,,,,,,,,,
	OtherTaxes,"30,239,000,000","7,944,000,000","7,889,000,000","7,746,000,000","6,660,000,000","6,784,000,000","7,352,000,000","5,154,000,000","6,832,000,000","7,769,000,000","7,676,000,000","7,675,000,000","7,405,000,000","7,838,000,000","8,303,000,000","8,375,000,000","8,147,000,000","10,304,000,000","6,952,000,000","6,578,000,000","6,270,000,000","6,640,000,000","6,496,000,000","6,670,000,000","6,104,000,000","6,761,000,000","6,981,000,000","6,910,000,000","6,613,000,000","7,537,000,000","8,244,000,000","8,484,000,000","8,021,000,000","8,584,000,000","8,523,000,000","8,178,000,000","7,945,000,000","8,170,000,000","7,883,000,000","17,234,000,000","10,298,000,000","10,062,000,000","10,222,000,000","10,286,000,000","9,403,000,000","-11,303,000,000","16,478,000,000","8,569,000,000","8,613,000,000","16,498,000,000","15,899,000,000","8,436,000,000","7,800,000,000","8,606,000,000","10,989,000,000","20,956,000,000","19,138,000,000","11,245,000,000","10,229,000,000","9,888,000,000","9,591,000,000","40,378,000,000","10,163,000,000","10,170,000,000","10,175,000,000","10,050,000,000","10,850,000,000","10,469,000,000","10,185,000,000","10,680,000,000","10,179,000,000","9,931,000,000","10,164,000,000","10,114,000,000","9,611,000,000","9,113,000,000","8,807,000,000","8,751,000,000","8,485,000,000","8,391,000,000","7,945,000,000","8,707,000,000","8,420,000,000","8,057,000,000","8,193,000,000","8,473,000,000","8,529,000,000","7,624,000,000","8,082,000,000","17,779,000,000","5,793,000,000","5,604,000,000","5,589,000,000","6,176,000,000","5,699,000,000","5,534,000,000","5,167,000,000","5,929,000,000","5,798,000,000","5,449,000,000","5,193,000,000","5,855,000,000","5,972,000,000","5,623,000,000","5,506,000,000","6,030,000,000","5,994,000,000","5,840,000,000","5,464,000,000","5,607,000,000","5,639,000,000","5,146,000,000","4,792,000,000","5,186,000,000","4,993,000,000","4,984,000,000","4,582,000,000","5,289,000,000","5,867,000,000","5,094,000,000","5,263,000,000","5,559,000,000","5,016,000,000","5,091,000,000","5,157,000,000","5,465,000,000","5,131,000,000","4,839,000,000","4,459,000,000","4,577,000,000","4,007,000,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"1,054,000,000","524,000,000","190,000,000","176,000,000","164,000,000","595,000,000","188,000,000","214,000,000","288,000,000","357,000,000","299,000,000","333,000,000","280,000,000","555,000,000","292,000,000","332,000,000","287,000,000","703,000,000","284,000,000","514,000,000","289,000,000","340,000,000","327,000,000","445,000,000","355,000,000","518,000,000","324,000,000","370,000,000","311,000,000","537,000,000","319,000,000","496,000,000","317,000,000","591,000,000","486,000,000","454,000,000","445,000,000","452,000,000","494,000,000","-7,655,000,000","522,000,000","427,000,000","728,000,000","592,000,000","334,000,000","551,000,000","500,000,000",,"686,000,000","685,000,000","495,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
