name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010
TotalRevenue,"5,195,000,000","1,323,000,000","1,265,000,000","1,351,000,000","1,256,000,000","1,373,000,000","1,220,000,000","1,160,000,000","1,123,000,000","1,371,000,000","1,296,000,000","1,345,000,000","1,237,000,000","1,386,000,000","1,287,000,000","1,317,000,000","1,217,000,000","1,277,000,000","1,195,000,000","1,164,000,000","1,071,000,000","1,095,000,000","897,000,000","932,000,000","847,000,000","994,000,000","902,000,000","920,000,000","837,000,000","1,042,000,000","963,000,000","1,005,000,000","906,000,000","1,033,000,000","965,000,000","960,000,000","879,000,000","969,000,000","931,000,000","966,000,000","925,000,000","1,003,000,000","939,000,000","971,000,000","890,000,000","935,000,000","806,000,000","686,000,000"
	OperatingRevenue,"5,195,000,000","1,323,000,000","1,265,000,000","1,351,000,000","1,256,000,000","1,373,000,000","1,220,000,000","1,160,000,000","1,123,000,000","1,371,000,000","1,296,000,000","1,345,000,000","1,237,000,000","1,386,000,000","1,287,000,000","1,317,000,000","1,217,000,000","1,277,000,000","1,195,000,000","1,164,000,000","1,071,000,000","1,095,000,000","897,000,000","932,000,000","847,000,000","994,000,000","902,000,000","920,000,000","837,000,000","1,042,000,000","963,000,000","1,005,000,000","906,000,000","1,033,000,000","965,000,000","960,000,000","879,000,000","969,000,000","931,000,000","966,000,000","925,000,000","1,003,000,000","939,000,000","971,000,000","890,000,000","935,000,000","806,000,000","686,000,000"
CostOfRevenue,"3,220,000,000","830,000,000","793,000,000","831,000,000","766,000,000","847,000,000","759,000,000","726,000,000","714,000,000","834,000,000","787,000,000","819,000,000","763,000,000","844,000,000","782,000,000","798,000,000","757,000,000","768,000,000","724,000,000","705,000,000","659,000,000","689,000,000","540,000,000","563,000,000","518,000,000","604,000,000","551,000,000","572,000,000","522,000,000","635,000,000","587,000,000","617,000,000","564,000,000","623,000,000","581,000,000","589,000,000","545,000,000","587,000,000","557,000,000","583,000,000","562,000,000","623,000,000","574,000,000","592,000,000","553,000,000","576,000,000","497,000,000","431,000,000"
GrossProfit,"1,975,000,000","493,000,000","472,000,000","520,000,000","490,000,000","526,000,000","461,000,000","434,000,000","409,000,000","537,000,000","509,000,000","526,000,000","474,000,000","542,000,000","505,000,000","519,000,000","460,000,000","509,000,000","471,000,000","459,000,000","412,000,000","406,000,000","357,000,000","369,000,000","329,000,000","390,000,000","351,000,000","348,000,000","315,000,000","407,000,000","376,000,000","388,000,000","342,000,000","410,000,000","384,000,000","371,000,000","334,000,000","382,000,000","374,000,000","383,000,000","363,000,000","380,000,000","365,000,000","379,000,000","337,000,000","359,000,000","309,000,000","255,000,000"
OperatingExpense,"1,383,000,000","353,000,000","322,000,000","357,000,000","351,000,000","341,000,000","311,000,000","332,000,000","346,000,000","337,000,000","317,000,000","341,000,000","354,000,000","345,000,000","325,000,000","343,000,000","337,000,000","327,000,000","315,000,000","314,000,000","314,000,000","285,000,000","242,000,000","254,000,000","244,000,000","247,000,000","230,000,000","243,000,000","229,000,000","258,000,000","246,000,000","269,000,000","251,000,000","268,000,000","280,000,000","280,000,000","262,000,000","243,000,000","259,000,000","254,000,000","264,000,000","348,000,000","238,000,000","263,000,000","237,000,000","241,000,000","201,000,000","182,000,000"
	SellingGeneralAndAdministration,"1,179,000,000","301,000,000","273,000,000","304,000,000","301,000,000","292,000,000","266,000,000","288,000,000","297,000,000","288,000,000","273,000,000","294,000,000","303,000,000","293,000,000","279,000,000","293,000,000","296,000,000","278,000,000","270,000,000","270,000,000","272,000,000","250,000,000","219,000,000","227,000,000","219,000,000","223,000,000","207,000,000","218,000,000","206,000,000","232,000,000","222,000,000","242,000,000","224,000,000","242,000,000","256,000,000","252,000,000","236,000,000","217,000,000","235,000,000","226,000,000","231,000,000","321,000,000","215,000,000","237,000,000","213,000,000","220,000,000","183,000,000","164,000,000"
	ResearchAndDevelopment,"204,000,000","52,000,000","49,000,000","53,000,000","50,000,000","49,000,000","45,000,000","44,000,000","49,000,000","49,000,000","44,000,000","47,000,000","51,000,000","52,000,000","46,000,000","50,000,000","41,000,000","49,000,000","45,000,000","44,000,000","42,000,000","35,000,000","23,000,000","27,000,000","25,000,000","24,000,000","23,000,000","25,000,000","23,000,000","26,000,000","24,000,000","27,000,000","27,000,000","26,000,000","24,000,000","28,000,000","26,000,000","26,000,000","24,000,000","28,000,000","28,000,000","27,000,000","23,000,000","26,000,000","24,000,000","21,000,000","18,000,000","18,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,,,,
OperatingIncome,"592,000,000","140,000,000","150,000,000","163,000,000","139,000,000","185,000,000","150,000,000","102,000,000","63,000,000","200,000,000","192,000,000","185,000,000","120,000,000","197,000,000","180,000,000","176,000,000","123,000,000","182,000,000","156,000,000","145,000,000","98,000,000","121,000,000","115,000,000","115,000,000","85,000,000","143,000,000","121,000,000","105,000,000","86,000,000","149,000,000","130,000,000","119,000,000","91,000,000","142,000,000","104,000,000","91,000,000","72,000,000","139,000,000","115,000,000","129,000,000","99,000,000","32,000,000","127,000,000","116,000,000","100,000,000","118,000,000","108,000,000","73,000,000"
NetNonOperatingInterestIncomeExpense,"-69,000,000","-6,000,000","-21,000,000","-21,000,000","-21,000,000","-14,000,000","-22,000,000","-18,000,000","-16,000,000","-10,000,000","-16,000,000","-18,000,000","-18,000,000","-15,000,000","-21,000,000","-21,000,000","-21,000,000","-17,000,000","-21,000,000","-21,000,000","-20,000,000","-18,000,000","-16,000,000","-20,000,000","-14,000,000","-12,000,000","-13,000,000","-14,000,000","-14,000,000","-11,000,000","-14,000,000","-13,000,000","-14,000,000","-11,000,000","-14,000,000","-14,000,000","-13,000,000","-10,000,000","-14,000,000","-13,000,000","-14,000,000","-12,000,000","-1,000,000","-1,000,000",,,"0",
	InterestIncomeNonOperating,"7,000,000"
	InterestExpenseNonOperating,"76,000,000","13,000,000","21,000,000","21,000,000","21,000,000","21,000,000","22,000,000","18,000,000","16,000,000","15,000,000","16,000,000","18,000,000","18,000,000","19,000,000","21,000,000","21,000,000","21,000,000","20,000,000","21,000,000","21,000,000","20,000,000","20,000,000","16,000,000","20,000,000","14,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","14,000,000","13,000,000","14,000,000","14,000,000","14,000,000","14,000,000","13,000,000","14,000,000","14,000,000","13,000,000","14,000,000","15,000,000","1,000,000","1,000,000",,,"0",
OtherIncomeExpense,"-12,000,000","-8,000,000","4,000,000","-4,000,000","-4,000,000","-13,000,000","-78,000,000","-49,000,000","-5,000,000","-12,000,000","-188,000,000","-11,000,000","-8,000,000","-3,000,000","2,000,000","-5,000,000","-7,000,000","-21,000,000","-4,000,000","-3,000,000","-8,000,000","-13,000,000","-4,000,000","-5,000,000","-6,000,000","-3,000,000","-1,000,000",,"5,000,000","-10,000,000","12,000,000","-2,000,000","-16,000,000","-24,000,000","-7,000,000","-20,000,000","-8,000,000","-40,000,000","-1,000,000","-1,000,000","-1,000,000",,"-44,000,000",,"1,000,000","-7,000,000","2,000,000","-6,000,000"
	EarningsFromEquityInterest,"9,000,000"
	SpecialIncomeCharges,"-5,000,000","0","2,000,000","-1,000,000","-6,000,000","-6,000,000","-77,000,000","-48,000,000","-2,000,000","-5,000,000","-181,000,000","-14,000,000","-10,000,000","-3,000,000","-2,000,000","-7,000,000","-10,000,000","-17,000,000","-5,000,000","-6,000,000","-7,000,000","-12,000,000","-6,000,000","-6,000,000","-6,000,000","-1,000,000","-1,000,000","-1,000,000","6,000,000","-8,000,000","11,000,000","-3,000,000","-15,000,000","-13,000,000","-6,000,000","-21,000,000","-6,000,000","-36,000,000","-1,000,000","-1,000,000","-1,000,000","60,000,000","-44,000,000","0","1,000,000","-7,000,000","2,000,000","-6,000,000"
		RestructuringAndMergernAcquisition,"6,000,000","0","-2,000,000","3,000,000","5,000,000","6,000,000","8,000,000","38,000,000","2,000,000","5,000,000","26,000,000","14,000,000","8,000,000","1,000,000","4,000,000","5,000,000","10,000,000","3,000,000","4,000,000","6,000,000","7,000,000","12,000,000","6,000,000","6,000,000","6,000,000","1,000,000","1,000,000","1,000,000","3,000,000","8,000,000","0","3,000,000","15,000,000","11,000,000","6,000,000","21,000,000","6,000,000","33,000,000","4,000,000",,,"-67,000,000","48,000,000",,"0","7,000,000","1,000,000","4,000,000"
		ImpairmentOfCapitalAssets,"0","0","0",,"1,000,000","21,000,000","58,000,000","10,000,000","0","0","155,000,000",,"3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"1,000,000","0","0","0",,,"11,000,000",,,,,,,,,"0","0","0","0","0","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000,000","1,000,000",,"7,000,000","-4,000,000",,"-1,000,000",,"-3,000,000","2,000,000"
		GainOnSaleOfBusiness,"2,000,000","0","0","2,000,000",,"0","0","0","0","0","0","0","1,000,000","0","2,000,000","-2,000,000","0","-14,000,000","-1,000,000","0","5,000,000","0","0","0","0","0","0","0","9,000,000","0","11,000,000",,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-16,000,000","-17,000,000","2,000,000","-3,000,000","2,000,000","-9,000,000","-1,000,000","-1,000,000","-3,000,000","-10,000,000","-7,000,000","3,000,000","2,000,000","-5,000,000","4,000,000","2,000,000","3,000,000","-7,000,000","1,000,000","3,000,000","-1,000,000","-4,000,000","2,000,000","1,000,000",,,,"1,000,000","-1,000,000","-4,000,000","1,000,000","1,000,000","-1,000,000","-13,000,000","-1,000,000","1,000,000","-2,000,000",,,,,,,,,,,
PretaxIncome,"511,000,000","126,000,000","133,000,000","138,000,000","114,000,000","158,000,000","50,000,000","35,000,000","42,000,000","178,000,000","-12,000,000","156,000,000","94,000,000","179,000,000","161,000,000","150,000,000","95,000,000","144,000,000","131,000,000","121,000,000","70,000,000","90,000,000","95,000,000","90,000,000","65,000,000","128,000,000","107,000,000","91,000,000","77,000,000","128,000,000","128,000,000","104,000,000","61,000,000","107,000,000","83,000,000","57,000,000","51,000,000","89,000,000","100,000,000","115,000,000","84,000,000","84,000,000","82,000,000","115,000,000","101,000,000","111,000,000","110,000,000","67,000,000"
TaxProvision,"84,000,000","13,000,000","19,000,000","25,000,000","27,000,000","10,000,000","13,000,000","4,000,000","4,000,000","60,000,000","-77,000,000","17,000,000","15,000,000","-46,000,000","31,000,000","35,000,000","16,000,000","74,000,000","27,000,000","21,000,000","14,000,000","40,000,000","22,000,000","19,000,000","-1,000,000","14,000,000","19,000,000","17,000,000","13,000,000","32,000,000","22,000,000","18,000,000","12,000,000","39,000,000","10,000,000","11,000,000","10,000,000","16,000,000","28,000,000","26,000,000","21,000,000","32,000,000","5,000,000","43,000,000","23,000,000","14,000,000","19,000,000","11,000,000"
NetIncomeCommonStockholders,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","71,000,000","105,000,000","99,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","82,000,000","91,000,000","56,000,000"
	NetIncome,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","71,000,000","105,000,000","99,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","97,000,000","91,000,000","56,000,000"
