name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"6,584,000,000","1,890,000,000","1,606,000,000","1,602,000,000","1,486,000,000","1,743,000,000","1,448,000,000","1,198,000,000","1,263,000,000","1,694,000,000","1,339,000,000","1,310,000,000","1,254,000,000","1,558,000,000","1,391,000,000","1,368,000,000","1,371,000,000","1,577,000,000","1,436,000,000","1,448,000,000","1,417,000,000","-2,577,000,000","3,316,000,000","3,008,000,000","2,619,000,000","3,951,000,000","3,427,000,000","3,105,000,000","2,622,000,000","3,997,000,000","3,354,000,000","3,204,000,000","2,724,000,000","4,179,000,000","3,466,000,000","2,904,000,000","2,535,000,000","4,153,000,000","3,569,000,000","3,168,000,000","2,743,000,000","4,111,000,000","3,274,000,000","2,816,000,000","2,425,000,000","3,562,000,000","2,862,000,000","2,574,000,000","2,345,000,000","3,365,000,000","2,778,000,000","2,476,000,000","2,217,000,000","3,383,000,000","2,835,000,000","2,653,000,000","2,408,000,000","3,262,000,000","2,564,000,000","2,367,000,000","2,223,000,000","3,016,000,000","2,278,000,000","2,182,000,000","2,085,000,000","2,899,000,000","2,243,000,000","2,153,000,000","2,054,000,000","2,785,000,000","2,179,000,000","2,077,000,000","1,970,000,000","2,653,000,000","1,989,000,000","1,936,000,000","1,802,000,000","2,461,000,000","1,915,000,000","1,767,000,000","1,614,000,000","2,202,000,000","1,640,000,000","1,605,000,000","1,506,000,000","2,182,000,000","1,658,000,000","1,656,000,000","1,597,000,000","2,311,000,000","1,812,000,000","1,886,000,000","1,813,000,000","2,526,000,000","2,017,000,000","2,001,000,000","1,921,000,000"
	OperatingRevenue,"6,584,000,000","1,890,000,000","1,606,000,000","1,602,000,000","1,486,000,000","1,743,000,000","1,448,000,000","1,198,000,000","1,263,000,000","1,694,000,000","1,339,000,000","1,310,000,000","1,254,000,000","1,558,000,000","1,391,000,000","1,368,000,000","1,371,000,000","1,577,000,000","1,436,000,000","1,448,000,000","1,417,000,000","-2,577,000,000","3,316,000,000","3,008,000,000","2,619,000,000","3,951,000,000","3,427,000,000","3,105,000,000","2,622,000,000","3,997,000,000","3,354,000,000","3,204,000,000","2,724,000,000","4,179,000,000","3,466,000,000","2,904,000,000","2,535,000,000","4,153,000,000","3,569,000,000","3,168,000,000","2,743,000,000","4,111,000,000","3,274,000,000","2,816,000,000","2,425,000,000","3,562,000,000","2,862,000,000","2,574,000,000","2,345,000,000","3,365,000,000","2,778,000,000","2,476,000,000","2,217,000,000","3,383,000,000","2,835,000,000","2,653,000,000","2,408,000,000","3,262,000,000","2,564,000,000","2,367,000,000","2,223,000,000","3,016,000,000","2,278,000,000","2,182,000,000","2,085,000,000","2,899,000,000","2,243,000,000","2,153,000,000","2,054,000,000","2,785,000,000","2,179,000,000","2,077,000,000","1,970,000,000","2,653,000,000","1,989,000,000","1,936,000,000","1,802,000,000","2,461,000,000","1,915,000,000","1,767,000,000","1,614,000,000","2,202,000,000","1,640,000,000","1,605,000,000","1,506,000,000","2,182,000,000","1,658,000,000","1,656,000,000","1,597,000,000","2,311,000,000","1,812,000,000","1,886,000,000","1,813,000,000","2,526,000,000","2,017,000,000","2,001,000,000","1,921,000,000"
CostOfRevenue,"3,418,000,000","1,017,000,000","827,000,000","816,000,000","758,000,000","925,000,000","725,000,000","649,000,000","666,000,000","868,000,000","660,000,000","639,000,000","616,000,000","811,000,000","727,000,000","735,000,000","757,000,000","807,000,000","778,000,000","802,000,000","804,000,000","-2,594,000,000","2,318,000,000","2,196,000,000","1,780,000,000","2,981,000,000","2,494,000,000","2,295,000,000","1,831,000,000","3,090,000,000","2,504,000,000","2,364,000,000","1,884,000,000","3,131,000,000","2,534,000,000","2,198,000,000","1,796,000,000","3,115,000,000","2,575,000,000","2,365,000,000","1,930,000,000","3,085,000,000","2,401,000,000","2,078,000,000","1,691,000,000","2,632,000,000","2,041,000,000","1,878,000,000","1,679,000,000","2,533,000,000","2,036,000,000","1,828,000,000","1,610,000,000","2,617,000,000","2,124,000,000","2,025,000,000","1,253,000,000","2,506,000,000","1,890,000,000","1,773,000,000","1,140,000,000","3,741,000,000","1,176,000,000","1,119,000,000","1,058,000,000","2,215,000,000","1,698,000,000","1,130,000,000","1,065,000,000","1,484,000,000","1,143,000,000","1,083,000,000","1,011,000,000","1,400,000,000","1,025,000,000","994,000,000","922,000,000","1,253,000,000","967,000,000","887,000,000","808,000,000","1,132,000,000","845,000,000","735,000,000","696,000,000","1,000,000,000","766,000,000","755,000,000","732,000,000","1,088,000,000","850,000,000","883,000,000","845,000,000","1,250,000,000","972,000,000","965,000,000","947,000,000"
GrossProfit,"3,166,000,000","873,000,000","779,000,000","786,000,000","728,000,000","818,000,000","723,000,000","549,000,000","597,000,000","826,000,000","679,000,000","671,000,000","638,000,000","747,000,000","664,000,000","633,000,000","614,000,000","770,000,000","658,000,000","646,000,000","613,000,000","17,000,000","998,000,000","812,000,000","839,000,000","970,000,000","933,000,000","810,000,000","791,000,000","907,000,000","850,000,000","840,000,000","840,000,000","1,048,000,000","932,000,000","706,000,000","739,000,000","1,038,000,000","994,000,000","803,000,000","813,000,000","1,026,000,000","873,000,000","738,000,000","734,000,000","930,000,000","821,000,000","696,000,000","666,000,000","832,000,000","742,000,000","648,000,000","607,000,000","766,000,000","711,000,000","628,000,000","1,155,000,000","756,000,000","674,000,000","594,000,000","1,083,000,000","-725,000,000","1,102,000,000","1,063,000,000","1,027,000,000","684,000,000","545,000,000","1,023,000,000","989,000,000","1,301,000,000","1,036,000,000","994,000,000","959,000,000","1,253,000,000","964,000,000","942,000,000","880,000,000","1,208,000,000","948,000,000","880,000,000","806,000,000","1,070,000,000","795,000,000","870,000,000","810,000,000","1,182,000,000","892,000,000","901,000,000","865,000,000","1,223,000,000","962,000,000","1,003,000,000","968,000,000","1,276,000,000","1,045,000,000","1,036,000,000","974,000,000"
OperatingExpense,"1,060,000,000","371,000,000","253,000,000","230,000,000","206,000,000","340,000,000","257,000,000","259,000,000","208,000,000","300,000,000","208,000,000","198,000,000","211,000,000","264,000,000","204,000,000","208,000,000","219,000,000","300,000,000","215,000,000","247,000,000","237,000,000","133,000,000","377,000,000","365,000,000","286,000,000","528,000,000","328,000,000","353,000,000","295,000,000","473,000,000","323,000,000","352,000,000","271,000,000","479,000,000","327,000,000","333,000,000","273,000,000","560,000,000","332,000,000","346,000,000","272,000,000","499,000,000","310,000,000","308,000,000","266,000,000","464,000,000","285,000,000","283,000,000","298,000,000","488,000,000","267,000,000","232,000,000","252,000,000","372,000,000","301,000,000","313,000,000","733,000,000","414,000,000","274,000,000","275,000,000","763,000,000","-1,088,000,000","757,000,000","738,000,000","735,000,000","391,000,000","223,000,000","749,000,000","725,000,000","955,000,000","745,000,000","719,000,000","716,000,000","900,000,000","695,000,000","722,000,000","663,000,000","928,000,000","690,000,000","639,000,000","580,000,000","826,000,000","564,000,000","655,000,000","634,000,000","944,000,000","677,000,000","683,000,000","673,000,000","971,000,000","726,000,000","783,000,000","766,000,000","1,056,000,000","825,000,000","847,000,000","835,000,000"
	SellingGeneralAndAdministration,"1,060,000,000","371,000,000","253,000,000","230,000,000","206,000,000","340,000,000","257,000,000","259,000,000","208,000,000","300,000,000","208,000,000","198,000,000","211,000,000","264,000,000","204,000,000","208,000,000","219,000,000","300,000,000","215,000,000","247,000,000","237,000,000","133,000,000","377,000,000","365,000,000","286,000,000","528,000,000","328,000,000","353,000,000","295,000,000","473,000,000","323,000,000","352,000,000","271,000,000","479,000,000","327,000,000","333,000,000","273,000,000","560,000,000","332,000,000","346,000,000","272,000,000","499,000,000","310,000,000","308,000,000","285,000,000","464,000,000","285,000,000","283,000,000","245,000,000","512,000,000","276,000,000","306,000,000","275,000,000","399,000,000","323,000,000","317,000,000","823,000,000","433,000,000","294,000,000","287,000,000","784,000,000","-1,052,000,000","770,000,000","765,000,000","739,000,000","407,000,000","252,000,000","774,000,000","739,000,000","991,000,000","758,000,000","727,000,000","728,000,000","966,000,000","692,000,000","681,000,000","660,000,000","916,000,000","688,000,000","638,000,000","587,000,000","784,000,000","579,000,000","597,000,000","561,000,000","835,000,000","595,000,000","602,000,000","591,000,000","850,000,000","644,000,000","695,000,000","671,000,000","937,000,000","728,000,000","750,000,000","731,000,000"
		GeneralAndAdministrativeExpense,"1,060,000,000","371,000,000","253,000,000","230,000,000","206,000,000","340,000,000","257,000,000","259,000,000","208,000,000","300,000,000","208,000,000","198,000,000","211,000,000","264,000,000","204,000,000","208,000,000","219,000,000","300,000,000","215,000,000","247,000,000","237,000,000","133,000,000","377,000,000","365,000,000","286,000,000","528,000,000","328,000,000","353,000,000","295,000,000","473,000,000","323,000,000","352,000,000","271,000,000","479,000,000","327,000,000","333,000,000","273,000,000","560,000,000","332,000,000","346,000,000",,,"310,000,000","308,000,000",,,"285,000,000","283,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,060,000,000","371,000,000","253,000,000","230,000,000","206,000,000","340,000,000","257,000,000","259,000,000","208,000,000","300,000,000","208,000,000","198,000,000","211,000,000","264,000,000","204,000,000","208,000,000","219,000,000","300,000,000","215,000,000","247,000,000","237,000,000","133,000,000","377,000,000","365,000,000","286,000,000","528,000,000","328,000,000","353,000,000","295,000,000","473,000,000","323,000,000","352,000,000","271,000,000","479,000,000","327,000,000","333,000,000","273,000,000","560,000,000","332,000,000","346,000,000",,,"310,000,000","308,000,000",,,"285,000,000","283,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,"313,000,000","264,000,000","310,000,000","427,000,000","325,000,000","315,000,000","301,000,000","374,000,000","288,000,000","274,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,000,000","73,000,000","109,000,000","82,000,000","81,000,000","82,000,000","121,000,000","82,000,000","88,000,000","95,000,000","119,000,000","97,000,000","97,000,000","104,000,000"
