name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalRevenue,"5,627,000,000","1,467,000,000","1,436,000,000","1,377,000,000","1,347,000,000","1,308,000,000","1,132,000,000","956,000,000","1,052,000,000","1,192,000,000","1,130,000,000","1,097,000,000","1,066,000,000","1,137,000,000","1,092,000,000","1,012,000,000","977,000,000","1,026,000,000","935,000,000","896,000,000","865,000,000","942,000,000","904,000,000","879,000,000","847,000,000","952,769,000","916,273,000","889,774,000","893,184,000","790,611,000","303,272,000","288,421,000","288,268,000","284,539,000","263,523,000","253,160,000","236,937,000","253,179,000","252,037,000","247,077,000","243,875,000","247,308,000","253,338,000","245,541,000","237,301,000","248,175,000","246,507,000","235,735,000","226,431,000","222,522,000","200,778,000","187,676,000","192,609,000","232,568,000","244,073,000","253,782,000","246,277,000","233,573,000","217,218,000","208,912,000","208,576,000","209,903,000","186,386,000","187,421,000","175,814,000","179,294,000","175,636,000","176,614,000","170,727,000","174,874,000","171,176,000","162,830,000","154,174,000","147,200,000","134,649,000","129,863,000","124,685,000","126,325,000","123,151,000","115,951,000","110,185,000","111,611,000","110,318,000","112,935,000","115,144,000","126,365,000","128,230,000","128,355,000","98,619,000","107,400,000","104,000,000","97,300,000","89,800,000","173,100,000","57,400,000","55,400,000","50,200,000","53,400,000","49,900,000","47,800,000","42,400,000","47,100,000","43,800,000","40,500,000","38,400,000","41,200,000","37,500,000","35,500,000","34,400,000","31,000,000","28,200,000","25,900,000","22,000,000","23,800,000","23,100,000","21,600,000","19,000,000","16,000,000","14,600,000","14,900,000","13,200,000","12,800,000","11,900,000","10,500,000","10,400,000","11,200,000","9,600,000","9,600,000","7,700,000"
	OperatingRevenue,"5,627,000,000","1,467,000,000","1,436,000,000","1,377,000,000","1,347,000,000","1,308,000,000","1,132,000,000","956,000,000","1,052,000,000","1,192,000,000","1,130,000,000","1,097,000,000","1,066,000,000","1,137,000,000","1,092,000,000","1,012,000,000","977,000,000","1,026,000,000","935,000,000","896,000,000","865,000,000","942,000,000","904,000,000","879,000,000","847,000,000","952,769,000","916,273,000","889,774,000","893,184,000","790,611,000","303,272,000","288,421,000","288,268,000","284,539,000","263,523,000","253,160,000","236,937,000","253,179,000","252,037,000","247,077,000","243,875,000","247,308,000","253,338,000","245,541,000","237,301,000","248,175,000","246,507,000","235,735,000","226,431,000","222,522,000","200,778,000","187,676,000","192,609,000","232,568,000","244,073,000","253,782,000","246,277,000","233,573,000","217,218,000","208,912,000","208,576,000","209,903,000","186,386,000","187,421,000","175,814,000","179,294,000","175,636,000","176,614,000","170,727,000","174,874,000","171,176,000","162,830,000","154,174,000","147,200,000","134,649,000","129,863,000","124,685,000","126,325,000","123,151,000","115,951,000","110,185,000","111,611,000","110,318,000","112,935,000","115,144,000","126,365,000","128,230,000","128,355,000","98,619,000","107,400,000","104,000,000","97,300,000","89,800,000","173,100,000","57,400,000","55,400,000","50,200,000","53,400,000","49,900,000","47,800,000","42,400,000","47,100,000","43,800,000","40,500,000","38,400,000","41,200,000","37,500,000","35,500,000","34,400,000","31,000,000","28,200,000","25,900,000","22,000,000","23,800,000","23,100,000","21,600,000","19,000,000","16,000,000","14,600,000","14,900,000","13,200,000","12,800,000","11,900,000","10,500,000","10,400,000","11,200,000","9,600,000","9,600,000","7,700,000"
CostOfRevenue,"2,999,000,000","798,000,000","790,000,000","719,000,000","692,000,000","690,000,000","639,000,000","537,000,000","579,000,000","648,000,000","595,000,000","577,000,000","565,000,000","598,000,000","587,000,000","540,000,000","512,000,000","557,000,000","506,000,000","485,000,000","464,000,000","510,000,000","490,000,000","473,000,000","457,000,000","525,225,000","502,217,000","496,896,000","483,662,000","454,199,000","151,766,000","146,252,000","140,330,000","143,511,000","134,913,000","132,253,000","123,872,000","128,719,000","125,113,000","126,700,000","124,012,000","125,788,000","129,785,000","123,843,000","117,303,000","124,534,000","127,793,000","124,556,000","119,096,000","121,044,000","109,080,000","105,940,000","106,800,000","121,679,000","126,287,000","126,067,000","123,480,000","120,275,000","112,590,000","109,510,000","108,786,000","111,493,000","98,600,000","97,895,000","93,116,000","89,503,000","87,959,000","87,266,000","83,362,000","83,979,000","84,030,000","78,315,000","73,571,000","72,803,000","66,876,000","63,305,000","60,336,000","63,761,000","62,729,000","60,202,000","58,173,000","60,111,000","58,281,000","60,601,000","61,122,000","66,179,000","59,503,000","63,392,000","46,712,000","49,800,000","45,700,000","45,900,000","45,600,000","98,200,000","25,600,000","22,300,000","22,900,000","22,800,000","25,800,000","21,900,000","19,700,000","22,900,000","21,600,000","20,400,000","19,100,000",,,,"17,500,000","15,700,000","13,800,000","13,100,000","11,100,000","11,100,000","11,400,000","10,800,000","9,400,000","7,700,000","7,100,000","7,300,000","6,800,000","6,500,000","6,200,000",,,,,,
GrossProfit,"2,628,000,000","669,000,000","646,000,000","658,000,000","655,000,000","618,000,000","493,000,000","419,000,000","473,000,000","544,000,000","535,000,000","520,000,000","501,000,000","539,000,000","505,000,000","472,000,000","465,000,000","469,000,000","429,000,000","411,000,000","401,000,000","432,000,000","414,000,000","406,000,000","390,000,000","427,544,000","414,056,000","392,878,000","409,522,000","336,412,000","151,506,000","142,169,000","147,938,000","141,028,000","128,610,000","120,907,000","113,065,000","124,460,000","126,924,000","120,377,000","119,863,000","121,520,000","123,553,000","121,698,000","119,998,000","123,641,000","118,714,000","111,179,000","107,335,000","101,478,000","91,698,000","81,736,000","85,809,000","110,889,000","117,786,000","127,715,000","122,797,000","113,298,000","104,628,000","99,402,000","99,790,000","98,410,000","87,786,000","89,526,000","82,698,000","89,791,000","87,677,000","89,348,000","87,365,000","90,895,000","87,146,000","84,515,000","80,603,000","74,397,000","67,773,000","66,558,000","64,349,000","62,564,000","60,422,000","55,749,000","52,012,000","51,500,000","52,037,000","52,334,000","54,022,000","60,186,000","68,727,000","64,963,000","51,907,000","57,600,000","58,300,000","51,400,000","44,200,000","74,900,000","31,800,000","33,100,000","27,300,000","30,600,000","24,100,000","25,900,000","22,700,000","24,200,000","22,200,000","20,100,000","19,300,000",,,,"16,900,000","15,300,000","14,400,000","12,800,000","10,900,000","12,700,000","11,700,000","10,800,000","9,600,000","8,300,000","7,500,000","7,600,000","6,400,000","6,300,000","5,700,000",,,,,,
OperatingExpense,"1,617,000,000","425,000,000","403,000,000","407,000,000","382,000,000","381,000,000","323,000,000","297,000,000","317,000,000","346,000,000","338,000,000","355,000,000","337,000,000","358,000,000","333,000,000","346,000,000","315,000,000","330,000,000","329,000,000","333,000,000","330,000,000","332,000,000","341,000,000","345,000,000","347,000,000","351,895,000","346,291,000","357,566,000","352,248,000","289,584,000","89,344,000","88,453,000","89,336,000","86,253,000","81,054,000","82,947,000","82,512,000","78,345,000","78,479,000","79,666,000","77,854,000","79,446,000","74,535,000","74,961,000","73,750,000","81,402,000","79,857,000","77,762,000","73,799,000","72,504,000","72,945,000","65,999,000","69,339,000","83,149,000","72,802,000","90,746,000","83,443,000","76,436,000","67,606,000","65,433,000","62,604,000","72,691,000","104,064,000","51,696,000","49,540,000","51,597,000","47,582,000","51,946,000","48,845,000","44,668,000","42,050,000","41,285,000","39,861,000","41,443,000","34,077,000","34,933,000","32,705,000","34,147,000","31,538,000","30,783,000","32,401,000","28,539,000","28,012,000","30,537,000","28,507,000","34,802,000","32,221,000","32,335,000","26,622,000","25,900,000","25,200,000","26,600,000","24,400,000","51,300,000","14,800,000","17,100,000","14,100,000","15,200,000","10,500,000","13,400,000","11,900,000","12,600,000","10,200,000","12,100,000","11,400,000",,,,"7,300,000","6,400,000","5,900,000","5,700,000","5,000,000","5,800,000","5,200,000","4,700,000","4,100,000","4,300,000","3,500,000","3,500,000","3,100,000","3,000,000","2,300,000",,,,,,
	SellingGeneralAndAdministration,"935,000,000","246,000,000","233,000,000","240,000,000","216,000,000","218,000,000","190,000,000","183,000,000","196,000,000","209,000,000","202,000,000","217,000,000","198,000,000","211,000,000","195,000,000","214,000,000","191,000,000","199,000,000","184,000,000","182,000,000","184,000,000","189,000,000","186,000,000","190,000,000","195,000,000","192,527,000","187,452,000","194,779,000","188,242,000","164,113,000","61,522,000","62,076,000","63,807,000","60,715,000","56,847,000","57,883,000","58,791,000","54,277,000","54,802,000","56,560,000","56,665,000","55,466,000","51,108,000","51,638,000","51,234,000","53,317,000","50,667,000","50,046,000","48,369,000","48,379,000","49,141,000","42,810,000","44,901,000","52,523,000","51,682,000","58,538,000","55,906,000","57,537,000","50,774,000","48,944,000","46,096,000","45,986,000","38,109,000","38,591,000","36,758,000","38,950,000","35,289,000","39,364,000","37,530,000","34,573,000","31,082,000","30,550,000","29,953,000","30,962,000","25,808,000","27,002,000","24,755,000","27,087,000","23,556,000","22,944,000","21,279,000","20,089,000","19,837,000","21,625,000","20,628,000","22,853,000","19,729,000","20,970,000","18,347,000","18,400,000","17,600,000","18,000,000","17,100,000","35,000,000","10,200,000","9,900,000","9,500,000","10,200,000","8,600,000","9,000,000","7,900,000","5,600,000","7,200,000","8,400,000","7,900,000",,,,"5,200,000","6,200,000","5,500,000","5,300,000","4,600,000","5,600,000","4,900,000","4,500,000","3,800,000","4,100,000","3,300,000","3,300,000","2,900,000","2,900,000","2,200,000",,,,,,
		GeneralAndAdministrativeExpense,"348,000,000","89,000,000","85,000,000","92,000,000","82,000,000","85,000,000","71,000,000","74,000,000","74,000,000","79,000,000","78,000,000","90,000,000","76,000,000","89,000,000","75,000,000","93,000,000","71,000,000","87,000,000","71,000,000","68,000,000","75,000,000","82,000,000","74,000,000","78,000,000","74,000,000","73,970,000","67,235,000","69,659,000","66,136,000","58,761,000","24,741,000","26,321,000","28,391,000","24,435,000","22,452,000","24,053,000","25,276,000","20,964,000","22,481,000","24,402,000","24,551,000","19,089,000","19,166,000","20,688,000","22,706,000","18,821,000","20,302,000","19,718,000","20,869,000","20,373,000","23,348,000","19,086,000","22,225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"348,000,000","89,000,000","85,000,000","92,000,000","82,000,000","85,000,000","71,000,000","74,000,000","74,000,000","79,000,000","78,000,000","90,000,000","76,000,000","89,000,000","75,000,000","93,000,000","71,000,000","87,000,000","71,000,000","68,000,000","75,000,000","82,000,000","74,000,000","78,000,000","74,000,000","73,970,000","67,235,000","69,659,000","66,136,000","58,761,000","24,741,000","26,321,000","28,391,000","24,435,000","22,452,000","24,053,000","25,276,000","20,964,000","22,481,000","24,402,000","24,551,000","19,089,000","19,166,000","20,688,000","22,706,000","18,821,000","20,302,000","19,718,000","20,869,000","20,373,000","23,348,000","19,086,000","22,225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"587,000,000","157,000,000","148,000,000","148,000,000","134,000,000","133,000,000","119,000,000","109,000,000","122,000,000","130,000,000","124,000,000","127,000,000","122,000,000","122,000,000","120,000,000","121,000,000","120,000,000","112,000,000","113,000,000","114,000,000","109,000,000","107,000,000","112,000,000","112,000,000","121,000,000","118,557,000","120,217,000","125,120,000","122,106,000","105,352,000","36,781,000","35,755,000","35,416,000","36,280,000","34,395,000","33,830,000","33,515,000","33,313,000","32,321,000","32,158,000","32,114,000","36,377,000","31,942,000","30,950,000","28,528,000","34,496,000","30,365,000","30,328,000","27,500,000","28,006,000","25,793,000","23,724,000","22,676,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"567,000,000","145,000,000","141,000,000","141,000,000","140,000,000","137,000,000","113,000,000","98,000,000","105,000,000","118,000,000","110,000,000","108,000,000","111,000,000","121,000,000","113,000,000","109,000,000","101,000,000","98,000,000","96,000,000","99,000,000","96,000,000","92,000,000","96,000,000","95,000,000","93,000,000","98,156,000","100,340,000","99,087,000","96,417,000","79,311,000","25,225,000","23,710,000","22,857,000","23,712,000","22,376,000","23,201,000","21,858,000","22,605,000","22,007,000","22,336,000","20,419,000","23,174,000","22,584,000","22,487,000","21,681,000","26,741,000","26,746,000","25,371,000","23,072,000","21,516,000","21,155,000","20,614,000","21,804,000","20,653,000","21,711,000","22,849,000","19,789,000","15,642,000","13,904,000","13,869,000","14,185,000","12,768,000","11,774,000","12,382,000","12,035,000","11,778,000","11,501,000","12,054,000","10,668,000","9,368,000","9,596,000","9,233,000","8,896,000","8,722,000","7,898,000","7,560,000","7,579,000","6,674,000","7,609,000","7,472,000","7,455,000","7,124,000","6,849,000","7,615,000","6,596,000","7,019,000","6,609,000","7,370,000","5,748,000","5,800,000","5,200,000","5,400,000","5,600,000","11,600,000","3,500,000","2,900,000","3,400,000","2,900,000","2,800,000","2,800,000","2,500,000","5,400,000","2,300,000","3,000,000","2,700,000",,,,"1,700,000",,,,,,,,,,,,,,,,,,,,
