name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"2,923,000,000","755,000,000","694,000,000","760,000,000","714,000,000","717,000,000","712,000,000","680,000,000","682,000,000","711,000,000","713,000,000","701,000,000","708,000,000","716,000,000","701,000,000","686,000,000","680,000,000","666,000,000","661,000,000","660,000,000","621,000,000","608,714,000","614,074,000","590,566,000","569,603,000","572,897,000","556,190,000","424,125,000","539,168,000","559,826,000","532,890,000","541,133,000","554,784,000","400,885,000","537,711,000","555,805,000","539,334,000","506,571,000","554,437,000","540,775,000","550,027,000","573,238,000","595,615,000","532,440,000","553,076,000","472,525,000","576,913,000","542,319,000","586,473,000","195,955,000","803,305,000","1,121,620,000","409,423,000","426,152,000","581,613,000","557,115,000","643,447,000","458,651,000","622,460,000","610,688,000","602,497,000","598,920,000","591,840,000","574,086,000","552,778,000","492,865,000","451,901,000","437,480,000","417,947,000","408,331,000","404,271,000","391,524,000","388,233,000","381,007,000","467,255,000","374,758,000","362,547,000","365,150,000","336,121,000","363,052,000","352,013,000","356,556,000","355,422,000","328,911,000","327,606,000","292,286,000","283,378,000","265,197,000","251,592,000","304,900,000","237,500,000","235,300,000","230,200,000","233,300,000","180,300,000","164,600,000","151,700,000","169,300,000","118,200,000","108,200,000","99,400,000","100,600,000","94,800,000","90,000,000","86,000,000","84,600,000","81,800,000","78,000,000","69,200,000","71,400,000","72,000,000","67,200,000","61,200,000","65,800,000","59,900,000","57,900,000","51,300,000","57,400,000","52,300,000","48,500,000","49,900,000","50,300,000","47,900,000","46,400,000","45,800,000","47,800,000","44,900,000","44,600,000","41,000,000","41,500,000","40,600,000","40,200,000",,,,,,,,,,,,,,,
	OperatingRevenue,"2,923,000,000","755,000,000","694,000,000","760,000,000","714,000,000","717,000,000","712,000,000","680,000,000","682,000,000","711,000,000","713,000,000","701,000,000","708,000,000","716,000,000","701,000,000","686,000,000","680,000,000","666,000,000","661,000,000","660,000,000","621,000,000","608,714,000","614,074,000","590,566,000","569,603,000","572,897,000","556,190,000","424,125,000","539,168,000","559,826,000","532,890,000","541,133,000","554,784,000","400,885,000","537,711,000","555,805,000","539,334,000","506,571,000","554,437,000","540,775,000","550,027,000","573,238,000","595,615,000","532,440,000","553,076,000","472,525,000","576,913,000","542,319,000","586,473,000","195,955,000","803,305,000","1,121,620,000","409,423,000","426,152,000","581,613,000","557,115,000","643,447,000","458,651,000","622,460,000","610,688,000","602,497,000","598,920,000","591,840,000","574,086,000","552,778,000","492,865,000","451,901,000","437,480,000","417,947,000","408,331,000","404,271,000","391,524,000","388,233,000","381,007,000","467,255,000","374,758,000","362,547,000","365,150,000","336,121,000","363,052,000","352,013,000","356,556,000","355,422,000","328,911,000","327,606,000","292,286,000","283,378,000","265,197,000","251,592,000","304,900,000","237,500,000","235,300,000","230,200,000","233,300,000","180,300,000","164,600,000","151,700,000","169,300,000","118,200,000","108,200,000","99,400,000","100,600,000","94,800,000","90,000,000","86,000,000","84,600,000","81,800,000","78,000,000","69,200,000","71,400,000","72,000,000","67,200,000","61,200,000","65,800,000","59,900,000","57,900,000","51,300,000","57,400,000","52,300,000","48,500,000","49,900,000","50,300,000","47,900,000","46,400,000","45,800,000","47,800,000","44,900,000","44,600,000","41,000,000","41,500,000","40,600,000","40,200,000",,,,,,,,,,,,,,,
PretaxIncome,"1,446,000,000","269,000,000","311,000,000","455,000,000","411,000,000","359,000,000","215,000,000","82,000,000","16,000,000","235,000,000","288,000,000","256,000,000","274,000,000","290,000,000","292,000,000","253,000,000","308,000,000","260,000,000","243,000,000","248,000,000","184,000,000","206,886,000","191,957,000","174,180,000","131,885,000","147,420,000","141,779,000","19,459,000","143,201,000","125,573,000","148,997,000","189,522,000","157,331,000","-63,327,000","172,621,000","126,117,000","171,021,000","87,503,000","170,301,000","142,500,000","141,262,000","136,648,000","168,066,000","126,935,000","89,624,000","-96,491,000","-78,637,000","-136,259,000","-91,781,000","-287,774,000","-253,847,000","-103,091,000","-978,308,000","-614,552,000","48,974,000","94,235,000","156,645,000","42,522,000","207,585,000","245,279,000","242,112,000","238,438,000","237,464,000","224,131,000","212,891,000","197,246,000","191,170,000","185,140,000","169,983,000","157,622,000","160,635,000","153,473,000","154,383,000","147,500,000","130,710,000","141,364,000","133,770,000","131,016,000","97,140,000","125,061,000","121,666,000","108,387,000","114,004,000","112,549,000","113,039,000","100,499,000","100,290,000","91,028,000","-50,447,000","64,100,000","83,800,000","79,900,000","75,800,000","46,800,000","65,000,000","55,000,000","53,000,000","58,700,000","44,900,000","43,300,000","40,700,000","40,500,000","39,600,000","37,900,000","35,700,000","33,200,000","34,100,000","31,200,000","23,800,000","24,800,000","26,800,000","24,700,000","18,400,000","23,400,000","19,700,000","21,900,000","11,100,000","21,400,000","18,200,000","14,700,000","10,300,000","9,700,000","10,900,000","11,100,000","10,400,000","12,100,000","9,900,000","8,200,000","8,000,000","6,900,000","5,700,000","4,300,000",,,,,,,,,,,,,,,
TaxProvision,"317,000,000","56,000,000","71,000,000","101,000,000","89,000,000","75,000,000","40,000,000","16,000,000","2,000,000","52,000,000","66,000,000","58,000,000","61,000,000","64,000,000","69,000,000","56,000,000","70,000,000","137,000,000","83,000,000","80,000,000","45,000,000","69,485,000","64,694,000","60,231,000","41,448,000","44,933,000","40,780,000","5,499,000","51,176,000","43,759,000","53,109,000","69,972,000","56,121,000","-21,855,000","61,107,000","43,091,000","60,634,000","29,817,000","60,704,000","51,036,000","51,859,000","47,877,000","59,348,000","54,325,000","37,033,000","-24,097,000","-31,180,000","-22,898,000","-28,644,000","-116,812,000","-98,565,000","-34,239,000","-151,727,000","-126,512,000","11,214,000","22,037,000","49,896,000","-11,035,000","71,853,000","86,065,000","88,854,000","80,081,000","83,790,000","78,821,000","75,258,000","69,139,000","68,200,000","66,330,000","59,749,000","52,641,000","58,140,000","54,631,000","54,714,000","51,890,000","66,511,000","48,956,000","46,394,000","46,958,000","31,772,000","42,986,000","42,035,000","36,501,000","41,207,000","38,954,000","41,138,000","34,525,000","35,646,000","31,445,000","-21,955,000","26,500,000","29,000,000","27,100,000","26,900,000","14,700,000","22,300,000","17,600,000","16,600,000","20,400,000","15,500,000","15,300,000","14,000,000","13,600,000","13,800,000","12,800,000","12,000,000","10,700,000","11,800,000","10,700,000","7,800,000","7,500,000","9,100,000","8,300,000","6,000,000","7,700,000","6,300,000","7,100,000","3,600,000","7,000,000","6,200,000","5,300,000","2,700,000","1,700,000","3,800,000","3,900,000","3,600,000","4,400,000","3,100,000","2,100,000","2,000,000","2,400,000","1,500,000","1,000,000",,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,088,000,000","195,000,000","234,000,000","340,000,000","312,000,000","272,000,000","166,000,000","56,000,000","7,000,000","171,000,000","213,000,000","188,000,000","204,000,000","215,000,000","214,000,000","186,000,000","231,000,000","109,000,000","152,000,000","154,000,000","129,000,000","120,691,000","116,895,000","90,647,000","78,777,000","86,044,000","84,238,000","-1,100,000","75,279,000","63,594,000","79,127,000","104,490,000","76,190,000","-62,447,000","209,707,000","55,385,000","88,324,000","33,934,000","62,322,000","55,215,000","25,489,000","43,051,000","65,165,000","29,038,000","14,767,000","-110,287,000","-80,469,000","-135,228,000","-86,521,000","-161,957,000","-179,491,000","-40,672,000","-852,327,000","-498,084,000","33,351,000","69,744,000","104,296,000","42,198,000","131,962,000","155,607,000","149,655,000","150,343,000","153,674,000","145,310,000","137,633,000","128,107,000","122,970,000","118,810,000","110,234,000","104,981,000","102,495,000","98,842,000","99,669,000","95,610,000","62,084,000","92,425,000","87,704,000","87,495,000","39,446,000","82,075,000","79,631,000","71,886,000","72,797,000","73,595,000","64,742,000","65,974,000","64,644,000","59,583,000","-28,492,000","37,600,000","54,800,000","52,800,000","48,900,000","32,100,000","42,700,000","37,400,000","36,400,000","38,300,000","29,400,000","28,000,000","26,700,000","26,900,000","25,800,000","25,100,000","23,700,000","22,500,000","22,300,000","20,500,000","16,000,000","17,300,000","17,700,000","16,400,000","12,400,000","15,700,000","13,400,000","14,800,000","9,100,000","14,400,000","12,000,000","9,400,000","7,600,000","8,000,000","7,100,000","7,200,000","6,800,000","7,700,000","6,800,000","6,100,000","6,000,000","6,300,000","5,400,000","4,100,000",,,,,,,,,,,,,,,
	NetIncome,"1,129,000,000","213,000,000","240,000,000","354,000,000","322,000,000","284,000,000","175,000,000","66,000,000","14,000,000","183,000,000","222,000,000","198,000,000","213,000,000","226,000,000","223,000,000","197,000,000","238,000,000","123,000,000","160,000,000","168,000,000","139,000,000","137,401,000","127,263,000","113,949,000","90,437,000","102,487,000","100,999,000","13,960,000","92,025,000","81,814,000","95,888,000","119,550,000","101,210,000","-41,472,000","111,514,000","83,026,000","110,723,000","58,252,000","109,851,000","91,737,000","89,676,000","89,019,000","109,093,000","72,875,000","52,817,000","-72,200,000","-47,325,000","-112,993,000","-60,210,000","-169,539,000","-152,888,000","-67,643,000","-826,041,000","-482,976,000","37,760,000","72,198,000","106,749,000","45,541,000","135,732,000","159,214,000","153,258,000","146,508,000","153,674,000","145,310,000","137,633,000","128,107,000","122,970,000","118,810,000","110,234,000","104,981,000","102,495,000","98,842,000","99,669,000","95,610,000","62,084,000","92,425,000","87,704,000","87,495,000","39,446,000","82,075,000","79,631,000","71,886,000","72,797,000","73,595,000","64,742,000","65,974,000","64,644,000","59,583,000","-28,492,000","37,600,000","54,800,000","52,800,000","48,900,000","32,100,000","42,700,000","37,400,000","36,400,000","38,300,000","29,400,000","28,000,000","26,700,000","26,900,000","25,800,000","25,100,000","23,700,000","22,500,000","22,300,000","20,500,000","16,000,000","17,300,000","17,700,000","16,400,000","12,400,000","15,700,000","13,400,000","14,800,000","9,100,000","14,400,000","12,000,000","9,400,000","7,600,000","8,000,000","7,100,000","7,200,000","6,800,000","7,700,000","6,800,000","6,100,000","6,000,000","6,300,000","5,400,000","4,100,000",,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"1,129,000,000","213,000,000","240,000,000","354,000,000","322,000,000","284,000,000","175,000,000","66,000,000","14,000,000","183,000,000","222,000,000","198,000,000","213,000,000","226,000,000","223,000,000","197,000,000","238,000,000","123,000,000","160,000,000","168,000,000","139,000,000","137,401,000","127,263,000","113,949,000","90,437,000","102,487,000","100,999,000","13,960,000","92,025,000","81,814,000","95,888,000","119,550,000","101,210,000","-41,472,000","111,514,000","83,026,000","110,387,000","57,686,000","109,597,000","91,464,000","89,403,000","88,771,000","108,718,000","72,610,000","52,591,000","-72,394,000","-47,457,000","-113,361,000","-63,137,000","-170,962,000","-155,282,000","-68,852,000","-826,581,000","-484,496,000","41,517,000","66,469,000","105,177,000","46,738,000","143,222,000","159,248,000","152,553,000","149,238,000","163,659,000","144,967,000","137,110,000","128,800,000","123,122,000","117,067,000","109,480,000","104,359,000","103,353,000","96,616,000","99,937,000","95,170,000","59,235,000","91,266,000","84,967,000","87,046,000","36,960,000","81,500,000","79,481,000","70,726,000","69,546,000","71,812,000","63,138,000","66,254,000","65,687,000","60,226,000","-28,924,000","39,500,000","55,700,000","53,400,000","50,400,000","32,600,000","42,700,000","37,400,000","36,400,000","38,300,000","29,400,000","28,000,000","26,700,000","26,900,000","25,800,000","25,100,000","23,700,000","22,500,000","22,300,000","20,500,000","16,000,000","17,300,000","17,700,000","16,400,000","12,400,000","15,700,000","13,400,000","14,800,000","9,100,000","14,400,000","12,000,000","9,400,000","7,600,000","8,000,000","7,100,000","7,200,000","6,800,000","7,700,000","6,800,000","6,100,000","6,000,000","6,300,000","5,400,000","4,100,000","1,900,000","-12,300,000","-8,400,000","-400,000","3,200,000","-6,700,000","4,200,000","-16,400,000","4,500,000","3,600,000","5,200,000","5,300,000","6,600,000","7,400,000","7,000,000"
			NetIncomeContinuousOperations,"1,129,000,000","213,000,000","240,000,000","354,000,000","322,000,000","284,000,000","175,000,000","66,000,000","14,000,000","183,000,000","222,000,000","198,000,000","213,000,000","226,000,000","223,000,000","197,000,000","238,000,000","123,000,000","160,000,000","168,000,000","139,000,000","137,401,000","127,263,000","113,949,000","90,437,000","102,487,000","100,999,000","13,960,000","92,025,000","81,814,000","95,888,000","119,550,000","101,210,000","-41,472,000","111,514,000","83,026,000","110,387,000","57,686,000","109,597,000","91,464,000","89,403,000","88,771,000","108,718,000","72,610,000","52,591,000","-72,394,000","-47,457,000","-113,361,000","-63,137,000","-170,962,000","-155,282,000","-68,852,000","-826,581,000","-488,040,000","37,760,000","72,198,000","106,749,000","53,557,000","135,732,000","159,214,000","153,258,000","158,357,000","153,674,000","145,310,000","137,633,000","128,107,000","122,970,000","118,810,000","110,234,000","104,981,000","102,495,000","98,842,000","99,669,000","95,610,000","64,199,000","92,408,000","87,376,000","84,058,000","65,368,000","82,075,000","79,631,000","71,886,000","72,797,000","73,595,000","71,901,000","65,974,000","64,644,000","59,583,000","-28,492,000","37,600,000","54,800,000","52,800,000","48,900,000","32,100,000","42,700,000","37,400,000","36,400,000","38,300,000","29,400,000","28,000,000","26,700,000","26,900,000","25,800,000","25,100,000","23,700,000","22,500,000","22,300,000","20,500,000","16,000,000","17,300,000","17,700,000","16,400,000","12,400,000","15,700,000","13,400,000","14,800,000","7,500,000","14,400,000","12,000,000","9,400,000","7,600,000","8,000,000","7,100,000","7,200,000","6,800,000","7,700,000","6,800,000","6,100,000","6,000,000","4,500,000","4,200,000","3,300,000","1,900,000","-12,300,000","-8,400,000","-400,000","3,200,000","-6,700,000","4,200,000","-16,400,000","4,500,000","3,600,000","5,200,000","5,300,000","6,600,000","7,400,000","7,000,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-2,115,000","17,000","328,000","3,437,000","-25,922,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,"-7,159,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
