name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
TotalRevenue,"7,776,000,000","1,967,000,000","1,990,000,000","1,948,000,000","1,871,000,000","1,807,000,000","1,786,000,000","1,548,000,000","1,534,000,000","1,674,000,000","1,584,000,000","1,547,000,000","1,455,000,000","1,564,000,000","1,480,000,000","1,415,000,000","1,366,000,000","1,460,000,000","1,347,000,000","1,269,000,000","1,231,000,000","1,277,000,000","1,241,000,000","1,208,000,000","1,162,000,000","1,274,000,000","1,214,000,000","1,175,000,000","1,102,000,000","1,320,000,000","1,210,000,000","1,158,000,000","1,097,000,000","1,254,000,000","1,103,000,000","1,114,000,000","1,090,000,000","1,176,000,000","1,019,000,000","1,094,000,000","1,047,000,000","1,127,000,000","1,049,000,000","1,074,000,000","983,000,000"
	OperatingRevenue,"7,776,000,000","1,967,000,000","1,990,000,000","1,948,000,000","1,871,000,000","1,807,000,000","1,786,000,000","1,548,000,000","1,534,000,000","1,674,000,000","1,584,000,000","1,547,000,000","1,455,000,000","1,564,000,000","1,480,000,000","1,415,000,000","1,366,000,000","1,460,000,000","1,347,000,000","1,269,000,000","1,231,000,000","1,277,000,000","1,241,000,000","1,208,000,000","1,162,000,000","1,274,000,000","1,214,000,000","1,175,000,000","1,102,000,000","1,320,000,000","1,210,000,000","1,158,000,000","1,097,000,000","1,254,000,000","1,103,000,000","1,114,000,000","1,090,000,000","1,176,000,000","1,019,000,000","1,094,000,000","1,047,000,000","1,127,000,000","1,049,000,000","1,074,000,000","983,000,000"
CostOfRevenue,"2,303,000,000","600,000,000","586,000,000","568,000,000","549,000,000","601,000,000","546,000,000","451,000,000","459,000,000","530,000,000","479,000,000","465,000,000","518,000,000","544,000,000","473,000,000","447,000,000","447,000,000","457,000,000","435,000,000","440,000,000","443,000,000","468,000,000","410,000,000","399,000,000","389,000,000","496,000,000","421,000,000","427,000,000","394,000,000","491,000,000","434,000,000","413,000,000","379,000,000","466,000,000","385,000,000","416,000,000","402,000,000","433,000,000","359,000,000","378,000,000","393,000,000","419,000,000","398,000,000","454,000,000","381,000,000"
GrossProfit,"5,473,000,000","1,367,000,000","1,404,000,000","1,380,000,000","1,322,000,000","1,206,000,000","1,240,000,000","1,097,000,000","1,075,000,000","1,144,000,000","1,105,000,000","1,082,000,000","937,000,000","1,020,000,000","1,007,000,000","968,000,000","919,000,000","1,003,000,000","912,000,000","829,000,000","788,000,000","809,000,000","831,000,000","809,000,000","773,000,000","778,000,000","793,000,000","748,000,000","708,000,000","829,000,000","776,000,000","745,000,000","718,000,000","788,000,000","718,000,000","698,000,000","688,000,000","743,000,000","660,000,000","716,000,000","654,000,000","708,000,000","651,000,000","620,000,000","602,000,000"
OperatingExpense,"2,670,000,000","771,000,000","676,000,000","656,000,000","567,000,000","693,000,000","576,000,000","544,000,000","536,000,000","644,000,000","541,000,000","556,000,000","509,000,000","584,000,000","507,000,000","484,000,000","458,000,000","494,000,000","447,000,000","445,000,000","421,000,000","490,000,000","456,000,000","453,000,000","426,000,000","550,000,000","480,000,000","478,000,000","449,000,000","635,000,000","503,000,000","503,000,000","458,000,000","594,000,000","507,000,000","509,000,000","462,000,000","590,000,000","445,000,000","452,000,000","456,000,000","564,000,000","450,000,000","483,000,000","452,000,000"
	SellingGeneralAndAdministration,"2,001,000,000","593,000,000","504,000,000","495,000,000","409,000,000","520,000,000","424,000,000","393,000,000","389,000,000","472,000,000","391,000,000","406,000,000","369,000,000","420,000,000","367,000,000","359,000,000","338,000,000","361,000,000","328,000,000","336,000,000","309,000,000","361,000,000","345,000,000","343,000,000","315,000,000","425,000,000","374,000,000","379,000,000","354,000,000","497,000,000","394,000,000","396,000,000","356,000,000","458,000,000","399,000,000","399,000,000","357,000,000","453,000,000","335,000,000","344,000,000","338,000,000","427,000,000","331,000,000","360,000,000","335,000,000"
	ResearchAndDevelopment,"508,000,000","138,000,000","132,000,000","120,000,000","118,000,000","133,000,000","112,000,000","111,000,000","107,000,000","132,000,000","112,000,000","111,000,000","102,000,000","125,000,000","108,000,000","102,000,000","97,000,000","110,000,000","96,000,000","86,000,000","90,000,000","108,000,000","90,000,000","88,000,000","90,000,000","109,000,000","91,000,000","84,000,000","80,000,000","124,000,000","93,000,000","92,000,000","87,000,000","121,000,000","93,000,000","95,000,000","90,000,000","121,000,000","94,000,000","92,000,000","102,000,000","119,000,000","102,000,000","105,000,000","101,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"161,000,000","40,000,000","40,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","38,000,000","39,000,000","38,000,000","39,000,000","32,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","22,000,000","21,000,000","21,000,000","22,000,000","21,000,000","16,000,000","15,000,000","15,000,000","15,000,000","14,000,000","16,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","16,000,000","16,000,000","16,000,000","16,000,000","18,000,000","17,000,000","18,000,000","16,000,000"
		DepreciationAndAmortizationInIncomeStatement,"161,000,000","40,000,000","40,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","38,000,000","39,000,000","38,000,000","39,000,000","32,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","22,000,000","21,000,000","21,000,000","22,000,000","21,000,000","16,000,000","15,000,000","15,000,000","15,000,000","14,000,000","16,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","16,000,000","16,000,000","16,000,000","16,000,000","18,000,000","17,000,000","18,000,000","16,000,000"
			Amortization,"161,000,000","40,000,000","40,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","38,000,000","39,000,000","38,000,000","39,000,000","32,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","22,000,000","21,000,000","21,000,000","22,000,000","21,000,000","16,000,000","15,000,000","15,000,000","15,000,000","14,000,000","16,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","16,000,000","16,000,000","16,000,000","16,000,000","18,000,000","17,000,000","18,000,000","16,000,000"
				AmortizationOfIntangiblesIncomeStatement,"161,000,000","40,000,000","40,000,000","41,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","38,000,000","39,000,000","38,000,000","39,000,000","32,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","22,000,000","21,000,000","21,000,000","22,000,000","21,000,000","16,000,000","15,000,000","15,000,000","15,000,000","14,000,000","16,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","16,000,000","16,000,000","16,000,000","16,000,000","18,000,000","17,000,000","18,000,000","16,000,000"
OperatingIncome,"2,803,000,000","596,000,000","728,000,000","724,000,000","755,000,000","513,000,000","664,000,000","553,000,000","539,000,000","500,000,000","564,000,000","526,000,000","428,000,000","436,000,000","500,000,000","484,000,000","461,000,000","509,000,000","465,000,000","384,000,000","367,000,000","319,000,000","375,000,000","356,000,000","347,000,000","228,000,000","313,000,000","270,000,000","259,000,000","194,000,000","273,000,000","242,000,000","260,000,000","194,000,000","211,000,000","189,000,000","226,000,000","153,000,000","215,000,000","264,000,000","198,000,000","144,000,000","201,000,000","137,000,000","150,000,000"
NetNonOperatingInterestIncomeExpense,"-218,000,000","-52,000,000","-55,000,000","-55,000,000","-56,000,000","-55,000,000","-61,000,000","-56,000,000","-47,000,000","-48,000,000","-46,000,000","-46,000,000","-46,000,000","-48,000,000","-48,000,000","-46,000,000","-47,000,000","-50,000,000","-43,000,000","-41,000,000","-41,000,000","-41,000,000","-41,000,000","-41,000,000","-43,000,000","-38,000,000","-29,000,000","-29,000,000","-28,000,000","-30,000,000","-29,000,000","-29,000,000","-29,000,000","-30,000,000","-29,000,000","-32,000,000","-22,000,000","-8,000,000","-7,000,000","-8,000,000","-8,000,000","-9,000,000","-9,000,000","-9,000,000","-9,000,000"
	InterestIncomeNonOperating,"6,000,000","2,000,000","1,000,000","2,000,000","1,000,000","3,000,000","1,000,000","2,000,000","6,000,000","8,000,000","10,000,000","9,000,000","10,000,000","11,000,000","6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
